name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,motion,topo,mchange,tchange
csq,23,女,,,,,,,,,,,,,
,,,529.0,4,4.0,"[""blue"",""green""]",blue_2,True,"[{""x"":772,""y"":326,""t"":3},{""x"":836,""y"":363,""t"":37},{""x"":871,""y"":393,""t"":72},{""x"":910,""y"":426,""t"":108},{""x"":939,""y"":452,""t"":137},{""x"":947,""y"":468,""t"":190},{""x"":937,""y"":465,""t"":209},{""x"":929,""y"":472,""t"":254},{""x"":923,""y"":474,""t"":282},{""x"":868,""y"":442,""t"":311},{""x"":824,""y"":427,""t"":353},{""x"":794,""y"":422,""t"":382},{""x"":775,""y"":388,""t"":412},{""x"":750,""y"":357,""t"":462},{""x"":731,""y"":332,""t"":481}], [{""x"":708,""y"":305,""t"":3},{""x"":703,""y"":339,""t"":38},{""x"":696,""y"":344,""t"":82},{""x"":667,""y"":333,""t"":109},{""x"":668,""y"":325,""t"":139},{""x"":678,""y"":302,""t"":185},{""x"":675,""y"":306,""t"":213},{""x"":691,""y"":352,""t"":243},{""x"":657,""y"":308,""t"":288},{""x"":648,""y"":299,""t"":315},{""x"":644,""y"":306,""t"":344},{""x"":629,""y"":305,""t"":400},{""x"":617,""y"":305,""t"":412},{""x"":613,""y"":308,""t"":446}], [{""x"":633,""y"":292,""t"":-14},{""x"":650,""y"":278,""t"":3},{""x"":680,""y"":296,""t"":37},{""x"":677,""y"":292,""t"":82},{""x"":692,""y"":293,""t"":111},{""x"":671,""y"":314,""t"":140},{""x"":617,""y"":314,""t"":179},{""x"":627,""y"":321,""t"":208},{""x"":639,""y"":334,""t"":250},{""x"":646,""y"":334,""t"":276},{""x"":734,""y"":404,""t"":319},{""x"":955,""y"":462,""t"":347},{""x"":1106,""y"":567,""t"":378},{""x"":1265,""y"":581,""t"":419},{""x"":1370,""y"":616,""t"":444},{""x"":1467,""y"":587,""t"":483}], [{""x"":1523,""y"":633,""t"":1},{""x"":1600,""y"":649,""t"":49},{""x"":1680,""y"":639,""t"":78},{""x"":1739,""y"":628,""t"":104},{""x"":1728,""y"":644,""t"":145},{""x"":1556,""y"":649,""t"":173},{""x"":1356,""y"":574,""t"":211},{""x"":1170,""y"":515,""t"":240},{""x"":1004,""y"":469,""t"":275},{""x"":849,""y"":424,""t"":325},{""x"":723,""y"":388,""t"":343},{""x"":644,""y"":379,""t"":389},{""x"":564,""y"":356,""t"":418},{""x"":536,""y"":320,""t"":446}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",0.0,1.0,trans,double
,,,406.0,4,4.0,"[""blue"",""red""]",blue,True,"[{""x"":602,""y"":287,""t"":4},{""x"":657,""y"":326,""t"":40},{""x"":695,""y"":364,""t"":73},{""x"":762,""y"":380,""t"":105},{""x"":825,""y"":379,""t"":155},{""x"":855,""y"":399,""t"":173},{""x"":880,""y"":416,""t"":215},{""x"":878,""y"":443,""t"":243},{""x"":886,""y"":452,""t"":276},{""x"":831,""y"":458,""t"":313},{""x"":758,""y"":455,""t"":344},{""x"":712,""y"":438,""t"":377},{""x"":666,""y"":427,""t"":427},{""x"":629,""y"":417,""t"":446}], [{""x"":596,""y"":377,""t"":-15},{""x"":583,""y"":364,""t"":3},{""x"":561,""y"":362,""t"":38},{""x"":581,""y"":380,""t"":82},{""x"":560,""y"":358,""t"":107},{""x"":558,""y"":352,""t"":140},{""x"":560,""y"":309,""t"":176},{""x"":563,""y"":274,""t"":205},{""x"":590,""y"":271,""t"":257},{""x"":634,""y"":281,""t"":276},{""x"":639,""y"":317,""t"":321},{""x"":662,""y"":331,""t"":349},{""x"":678,""y"":341,""t"":379},{""x"":655,""y"":354,""t"":420},{""x"":683,""y"":386,""t"":448},{""x"":743,""y"":449,""t"":480}], [{""x"":902,""y"":498,""t"":3},{""x"":1033,""y"":541,""t"":38},{""x"":1126,""y"":569,""t"":84},{""x"":1227,""y"":594,""t"":111},{""x"":1346,""y"":616,""t"":140},{""x"":1433,""y"":620,""t"":186},{""x"":1494,""y"":633,""t"":214},{""x"":1563,""y"":684,""t"":243},{""x"":1600,""y"":676,""t"":276},{""x"":1620,""y"":713,""t"":319},{""x"":1626,""y"":769,""t"":343},{""x"":1613,""y"":772,""t"":387},{""x"":1653,""y"":791,""t"":414},{""x"":1634,""y"":830,""t"":446}], [{""x"":1647,""y"":764,""t"":-15},{""x"":1651,""y"":747,""t"":3},{""x"":1628,""y"":720,""t"":38},{""x"":1624,""y"":729,""t"":82},{""x"":1573,""y"":680,""t"":109},{""x"":1565,""y"":675,""t"":140},{""x"":1568,""y"":717,""t"":179},{""x"":1566,""y"":697,""t"":208},{""x"":1584,""y"":718,""t"":251},{""x"":1558,""y"":701,""t"":278},{""x"":1390,""y"":646,""t"":310},{""x"":1187,""y"":561,""t"":350},{""x"":1006,""y"":494,""t"":377},{""x"":842,""y"":443,""t"":422},{""x"":733,""y"":389,""t"":446}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",1.0,0.0,zoom,
,,,407.0,6,6.0,"[""red"",""blue""]",blue_1,True,"[{""x"":660,""y"":407,""t"":4},{""x"":686,""y"":442,""t"":44},{""x"":693,""y"":459,""t"":72},{""x"":729,""y"":478,""t"":107},{""x"":765,""y"":495,""t"":137},{""x"":816,""y"":513,""t"":189},{""x"":861,""y"":528,""t"":207},{""x"":879,""y"":543,""t"":253},{""x"":860,""y"":540,""t"":281},{""x"":785,""y"":513,""t"":310},{""x"":744,""y"":483,""t"":352},{""x"":724,""y"":498,""t"":380},{""x"":682,""y"":472,""t"":411},{""x"":643,""y"":412,""t"":457},{""x"":622,""y"":424,""t"":484}], [{""x"":610,""y"":404,""t"":3},{""x"":631,""y"":387,""t"":37},{""x"":615,""y"":397,""t"":84},{""x"":608,""y"":401,""t"":111},{""x"":617,""y"":436,""t"":139},{""x"":646,""y"":424,""t"":183},{""x"":662,""y"":415,""t"":214},{""x"":672,""y"":422,""t"":242},{""x"":665,""y"":406,""t"":281},{""x"":657,""y"":398,""t"":308},{""x"":664,""y"":429,""t"":352},{""x"":656,""y"":439,""t"":378},{""x"":685,""y"":450,""t"":418},{""x"":837,""y"":524,""t"":445}], [{""x"":1047,""y"":571,""t"":-19},{""x"":1222,""y"":610,""t"":3},{""x"":1362,""y"":649,""t"":44},{""x"":1459,""y"":658,""t"":72},{""x"":1544,""y"":671,""t"":109},{""x"":1606,""y"":680,""t"":138},{""x"":1557,""y"":660,""t"":173},{""x"":1494,""y"":639,""t"":230},{""x"":1438,""y"":615,""t"":242},{""x"":1386,""y"":533,""t"":276},{""x"":1356,""y"":508,""t"":317},{""x"":1387,""y"":481,""t"":341},{""x"":1401,""y"":541,""t"":381},{""x"":1411,""y"":594,""t"":410},{""x"":1426,""y"":603,""t"":445}], [{""x"":1448,""y"":611,""t"":-14},{""x"":1462,""y"":650,""t"":3},{""x"":1471,""y"":686,""t"":39},{""x"":1506,""y"":679,""t"":83},{""x"":1505,""y"":697,""t"":111},{""x"":1504,""y"":678,""t"":138},{""x"":1525,""y"":688,""t"":175},{""x"":1542,""y"":696,""t"":205},{""x"":1551,""y"":720,""t"":258},{""x"":1496,""y"":684,""t"":276},{""x"":1514,""y"":655,""t"":322},{""x"":1518,""y"":685,""t"":349},{""x"":1525,""y"":689,""t"":379},{""x"":1548,""y"":700,""t"":412},{""x"":1561,""y"":722,""t"":452},{""x"":1582,""y"":741,""t"":480}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",0.0,1.0,trans,single
,,,460.0,4,4.0,"[""green"",""blue""]",green,True,"[{""x"":1389,""y"":694,""t"":4},{""x"":1252,""y"":633,""t"":46},{""x"":1137,""y"":601,""t"":77},{""x"":1032,""y"":564,""t"":107},{""x"":945,""y"":525,""t"":159},{""x"":883,""y"":496,""t"":177},{""x"":848,""y"":519,""t"":208},{""x"":806,""y"":540,""t"":259},{""x"":778,""y"":560,""t"":278},{""x"":726,""y"":542,""t"":310},{""x"":693,""y"":516,""t"":344},{""x"":685,""y"":482,""t"":378},{""x"":637,""y"":471,""t"":428},{""x"":638,""y"":478,""t"":447},{""x"":619,""y"":459,""t"":480}], [{""x"":636,""y"":458,""t"":3},{""x"":668,""y"":443,""t"":37},{""x"":663,""y"":409,""t"":81},{""x"":674,""y"":389,""t"":105},{""x"":674,""y"":365,""t"":149},{""x"":685,""y"":376,""t"":178},{""x"":695,""y"":371,""t"":208},{""x"":704,""y"":347,""t"":253},{""x"":723,""y"":293,""t"":281},{""x"":725,""y"":279,""t"":311},{""x"":726,""y"":283,""t"":355},{""x"":792,""y"":327,""t"":383},{""x"":1011,""y"":413,""t"":411},{""x"":1164,""y"":499,""t"":453},{""x"":1304,""y"":547,""t"":481}], [{""x"":1420,""y"":602,""t"":3},{""x"":1469,""y"":623,""t"":38},{""x"":1510,""y"":643,""t"":81},{""x"":1545,""y"":660,""t"":105},{""x"":1545,""y"":667,""t"":140},{""x"":1545,""y"":689,""t"":180},{""x"":1550,""y"":692,""t"":207},{""x"":1542,""y"":702,""t"":252},{""x"":1553,""y"":689,""t"":276},{""x"":1556,""y"":714,""t"":319},{""x"":1577,""y"":710,""t"":348},{""x"":1565,""y"":707,""t"":378},{""x"":1555,""y"":713,""t"":417},{""x"":1553,""y"":721,""t"":445},{""x"":1533,""y"":757,""t"":481}], [{""x"":1534,""y"":731,""t"":3},{""x"":1498,""y"":696,""t"":37},{""x"":1509,""y"":660,""t"":82},{""x"":1526,""y"":638,""t"":110},{""x"":1552,""y"":612,""t"":140},{""x"":1547,""y"":596,""t"":179},{""x"":1543,""y"":583,""t"":206},{""x"":1553,""y"":568,""t"":243},{""x"":1566,""y"":575,""t"":276},{""x"":1548,""y"":584,""t"":319},{""x"":1539,""y"":601,""t"":347},{""x"":1527,""y"":581,""t"":378},{""x"":1502,""y"":591,""t"":419},{""x"":1470,""y"":631,""t"":445},{""x"":1451,""y"":639,""t"":483}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",1.0,0.0,trans,
,,,384.0,6,6.0,"[""green"",""blue""]",blue,True,"[{""x"":1322,""y"":621,""t"":4},{""x"":1223,""y"":592,""t"":39},{""x"":1106,""y"":585,""t"":75},{""x"":1028,""y"":562,""t"":104},{""x"":975,""y"":550,""t"":146},{""x"":915,""y"":525,""t"":174},{""x"":860,""y"":515,""t"":210},{""x"":818,""y"":500,""t"":242},{""x"":726,""y"":440,""t"":297},{""x"":647,""y"":436,""t"":311},{""x"":607,""y"":455,""t"":343},{""x"":605,""y"":433,""t"":382},{""x"":591,""y"":422,""t"":412},{""x"":581,""y"":387,""t"":452},{""x"":572,""y"":372,""t"":481}], [{""x"":567,""y"":375,""t"":1},{""x"":583,""y"":363,""t"":37},{""x"":611,""y"":340,""t"":72},{""x"":624,""y"":298,""t"":121},{""x"":606,""y"":276,""t"":140},{""x"":617,""y"":305,""t"":192},{""x"":628,""y"":331,""t"":209},{""x"":620,""y"":357,""t"":241},{""x"":608,""y"":359,""t"":292},{""x"":599,""y"":362,""t"":310},{""x"":640,""y"":378,""t"":351},{""x"":657,""y"":364,""t"":380},{""x"":677,""y"":383,""t"":412},{""x"":694,""y"":361,""t"":457}], [{""x"":720,""y"":398,""t"":-20},{""x"":700,""y"":396,""t"":3},{""x"":714,""y"":371,""t"":37},{""x"":720,""y"":375,""t"":87},{""x"":697,""y"":392,""t"":114},{""x"":698,""y"":385,""t"":144},{""x"":714,""y"":408,""t"":175},{""x"":719,""y"":403,""t"":219},{""x"":723,""y"":390,""t"":246},{""x"":722,""y"":382,""t"":277},{""x"":756,""y"":416,""t"":324},{""x"":902,""y"":498,""t"":352},{""x"":1098,""y"":538,""t"":380},{""x"":1251,""y"":598,""t"":411},{""x"":1379,""y"":628,""t"":456},{""x"":1467,""y"":642,""t"":483}], [{""x"":1534,""y"":666,""t"":3},{""x"":1569,""y"":710,""t"":38},{""x"":1595,""y"":696,""t"":77},{""x"":1631,""y"":709,""t"":103},{""x"":1639,""y"":708,""t"":141},{""x"":1656,""y"":691,""t"":175},{""x"":1665,""y"":676,""t"":217},{""x"":1670,""y"":669,""t"":241},{""x"":1671,""y"":691,""t"":284},{""x"":1641,""y"":716,""t"":312},{""x"":1641,""y"":699,""t"":343},{""x"":1602,""y"":743,""t"":380},{""x"":1582,""y"":761,""t"":410},{""x"":1532,""y"":759,""t"":445}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",1.0,0.0,trans,
,,,448.0,4,4.0,"[""blue"",""green""]",blue_1,True,"[{""x"":1325,""y"":624,""t"":4},{""x"":1212,""y"":553,""t"":45},{""x"":1080,""y"":541,""t"":74},{""x"":980,""y"":512,""t"":106},{""x"":889,""y"":498,""t"":151},{""x"":863,""y"":465,""t"":178},{""x"":859,""y"":450,""t"":209},{""x"":827,""y"":453,""t"":244},{""x"":813,""y"":465,""t"":281},{""x"":806,""y"":477,""t"":308},{""x"":712,""y"":418,""t"":345},{""x"":664,""y"":375,""t"":377},{""x"":624,""y"":352,""t"":427},{""x"":594,""y"":334,""t"":451},{""x"":585,""y"":308,""t"":480}], [{""x"":567,""y"":321,""t"":3},{""x"":567,""y"":329,""t"":38},{""x"":580,""y"":316,""t"":75},{""x"":595,""y"":306,""t"":104},{""x"":599,""y"":316,""t"":157},{""x"":588,""y"":316,""t"":175},{""x"":585,""y"":299,""t"":208},{""x"":595,""y"":306,""t"":253},{""x"":590,""y"":322,""t"":280},{""x"":599,""y"":328,""t"":309},{""x"":600,""y"":374,""t"":345},{""x"":597,""y"":400,""t"":378},{""x"":748,""y"":472,""t"":425},{""x"":887,""y"":501,""t"":453},{""x"":992,""y"":516,""t"":480}], [{""x"":1095,""y"":568,""t"":3},{""x"":1162,""y"":608,""t"":39},{""x"":1254,""y"":614,""t"":82},{""x"":1345,""y"":677,""t"":109},{""x"":1385,""y"":717,""t"":141},{""x"":1385,""y"":722,""t"":182},{""x"":1449,""y"":713,""t"":210},{""x"":1471,""y"":694,""t"":241},{""x"":1422,""y"":660,""t"":287},{""x"":1435,""y"":672,""t"":315},{""x"":1451,""y"":637,""t"":344},{""x"":1427,""y"":636,""t"":391},{""x"":1410,""y"":629,""t"":418},{""x"":1393,""y"":630,""t"":446}], [{""x"":1377,""y"":626,""t"":-19},{""x"":1363,""y"":622,""t"":3},{""x"":1392,""y"":618,""t"":37},{""x"":1384,""y"":617,""t"":81},{""x"":1390,""y"":608,""t"":110},{""x"":1379,""y"":604,""t"":139},{""x"":1362,""y"":604,""t"":180},{""x"":1347,""y"":623,""t"":208},{""x"":1317,""y"":617,""t"":253},{""x"":1269,""y"":601,""t"":283},{""x"":1237,""y"":599,""t"":310},{""x"":1245,""y"":583,""t"":352},{""x"":1236,""y"":618,""t"":380},{""x"":1166,""y"":604,""t"":411},{""x"":1024,""y"":552,""t"":456},{""x"":900,""y"":519,""t"":484}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",0.0,1.0,trans,single
,,,440.0,6,6.0,"[""red"",""blue""]",blue,True,"[{""x"":904,""y"":494,""t"":4},{""x"":875,""y"":497,""t"":41},{""x"":894,""y"":510,""t"":75},{""x"":898,""y"":495,""t"":106},{""x"":905,""y"":513,""t"":151},{""x"":916,""y"":515,""t"":180},{""x"":939,""y"":515,""t"":209},{""x"":942,""y"":523,""t"":242},{""x"":965,""y"":497,""t"":288},{""x"":910,""y"":492,""t"":316},{""x"":847,""y"":444,""t"":344},{""x"":792,""y"":388,""t"":390},{""x"":761,""y"":366,""t"":419},{""x"":709,""y"":362,""t"":449},{""x"":688,""y"":359,""t"":480}], [{""x"":668,""y"":323,""t"":3},{""x"":641,""y"":326,""t"":39},{""x"":643,""y"":337,""t"":78},{""x"":631,""y"":343,""t"":104},{""x"":630,""y"":326,""t"":149},{""x"":626,""y"":338,""t"":175},{""x"":624,""y"":352,""t"":207},{""x"":628,""y"":347,""t"":253},{""x"":623,""y"":354,""t"":280},{""x"":627,""y"":358,""t"":311},{""x"":636,""y"":351,""t"":350},{""x"":644,""y"":346,""t"":376},{""x"":654,""y"":384,""t"":414},{""x"":662,""y"":416,""t"":443}], [{""x"":668,""y"":434,""t"":-14},{""x"":672,""y"":448,""t"":1},{""x"":646,""y"":462,""t"":38},{""x"":636,""y"":469,""t"":80},{""x"":639,""y"":434,""t"":107},{""x"":660,""y"":426,""t"":140},{""x"":652,""y"":444,""t"":177},{""x"":655,""y"":455,""t"":208},{""x"":718,""y"":489,""t"":259},{""x"":771,""y"":517,""t"":276},{""x"":910,""y"":552,""t"":323},{""x"":1076,""y"":597,""t"":350},{""x"":1221,""y"":624,""t"":379},{""x"":1338,""y"":646,""t"":409},{""x"":1415,""y"":653,""t"":449},{""x"":1475,""y"":645,""t"":477}], [{""x"":1539,""y"":632,""t"":3},{""x"":1511,""y"":601,""t"":37},{""x"":1557,""y"":595,""t"":73},{""x"":1514,""y"":570,""t"":121},{""x"":1527,""y"":577,""t"":140},{""x"":1551,""y"":570,""t"":184},{""x"":1575,""y"":615,""t"":213},{""x"":1581,""y"":619,""t"":241},{""x"":1580,""y"":618,""t"":286},{""x"":1565,""y"":614,""t"":313},{""x"":1541,""y"":668,""t"":343},{""x"":1553,""y"":670,""t"":393},{""x"":1560,""y"":653,""t"":411},{""x"":1580,""y"":663,""t"":457},{""x"":1571,""y"":669,""t"":484}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",1.0,0.0,zoom,
,,,473.0,6,6.0,"[""blue"",""green""]",green_2,True,"[{""x"":1403,""y"":621,""t"":5},{""x"":1252,""y"":593,""t"":41},{""x"":1115,""y"":563,""t"":73},{""x"":1013,""y"":544,""t"":111},{""x"":924,""y"":513,""t"":140},{""x"":851,""y"":506,""t"":184},{""x"":814,""y"":484,""t"":212},{""x"":782,""y"":469,""t"":242},{""x"":769,""y"":457,""t"":280},{""x"":764,""y"":448,""t"":307},{""x"":696,""y"":451,""t"":345},{""x"":666,""y"":450,""t"":394},{""x"":634,""y"":453,""t"":418},{""x"":626,""y"":431,""t"":445},{""x"":619,""y"":408,""t"":483}], [{""x"":606,""y"":381,""t"":3},{""x"":610,""y"":366,""t"":37},{""x"":593,""y"":312,""t"":88},{""x"":611,""y"":263,""t"":112},{""x"":622,""y"":260,""t"":142},{""x"":613,""y"":248,""t"":174},{""x"":644,""y"":266,""t"":219},{""x"":648,""y"":284,""t"":247},{""x"":643,""y"":316,""t"":276},{""x"":647,""y"":341,""t"":316},{""x"":660,""y"":352,""t"":344},{""x"":706,""y"":401,""t"":392},{""x"":856,""y"":469,""t"":421},{""x"":1043,""y"":505,""t"":449},{""x"":1187,""y"":576,""t"":479}], [{""x"":1290,""y"":634,""t"":3},{""x"":1379,""y"":656,""t"":38},{""x"":1446,""y"":664,""t"":83},{""x"":1505,""y"":647,""t"":110},{""x"":1535,""y"":696,""t"":140},{""x"":1552,""y"":665,""t"":183},{""x"":1533,""y"":729,""t"":210},{""x"":1550,""y"":767,""t"":241},{""x"":1536,""y"":782,""t"":288},{""x"":1500,""y"":759,""t"":316},{""x"":1520,""y"":797,""t"":345},{""x"":1365,""y"":741,""t"":378},{""x"":1170,""y"":634,""t"":418},{""x"":995,""y"":575,""t"":447},{""x"":859,""y"":451,""t"":480}], [{""x"":736,""y"":405,""t"":3},{""x"":681,""y"":356,""t"":38},{""x"":628,""y"":341,""t"":81},{""x"":591,""y"":332,""t"":107},{""x"":578,""y"":328,""t"":140},{""x"":538,""y"":298,""t"":184},{""x"":541,""y"":286,""t"":212},{""x"":520,""y"":289,""t"":242},{""x"":502,""y"":294,""t"":281},{""x"":495,""y"":272,""t"":309},{""x"":506,""y"":285,""t"":352},{""x"":602,""y"":333,""t"":379},{""x"":804,""y"":415,""t"":412},{""x"":965,""y"":511,""t"":450},{""x"":1102,""y"":596,""t"":480}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",0.0,1.0,trans,double
,,,398.0,6,6.0,"[""red"",""blue""]",blue_1,True,"[{""x"":1088,""y"":607,""t"":4},{""x"":1087,""y"":608,""t"":49},{""x"":1063,""y"":623,""t"":81},{""x"":1078,""y"":638,""t"":109},{""x"":1030,""y"":613,""t"":140},{""x"":968,""y"":605,""t"":185},{""x"":940,""y"":566,""t"":212},{""x"":949,""y"":574,""t"":242},{""x"":932,""y"":540,""t"":288},{""x"":944,""y"":510,""t"":316},{""x"":875,""y"":478,""t"":343},{""x"":823,""y"":433,""t"":390},{""x"":786,""y"":364,""t"":418},{""x"":752,""y"":343,""t"":448},{""x"":728,""y"":357,""t"":480}], [{""x"":694,""y"":342,""t"":3},{""x"":680,""y"":343,""t"":37},{""x"":670,""y"":353,""t"":78},{""x"":628,""y"":341,""t"":106},{""x"":624,""y"":327,""t"":142},{""x"":624,""y"":315,""t"":173},{""x"":610,""y"":332,""t"":215},{""x"":628,""y"":334,""t"":244},{""x"":639,""y"":305,""t"":276},{""x"":638,""y"":309,""t"":317},{""x"":661,""y"":344,""t"":345},{""x"":680,""y"":383,""t"":382},{""x"":700,""y"":410,""t"":409},{""x"":870,""y"":465,""t"":445}], [{""x"":1056,""y"":533,""t"":-15},{""x"":1211,""y"":590,""t"":3},{""x"":1337,""y"":627,""t"":37},{""x"":1354,""y"":645,""t"":79},{""x"":1376,""y"":643,""t"":105},{""x"":1297,""y"":689,""t"":140},{""x"":1268,""y"":663,""t"":175},{""x"":1294,""y"":631,""t"":207},{""x"":1325,""y"":587,""t"":263},{""x"":1361,""y"":561,""t"":276},{""x"":1403,""y"":590,""t"":321},{""x"":1448,""y"":585,""t"":348},{""x"":1507,""y"":580,""t"":378},{""x"":1548,""y"":612,""t"":422},{""x"":1569,""y"":626,""t"":451},{""x"":1587,""y"":630,""t"":481}], [{""x"":1598,""y"":638,""t"":3},{""x"":1597,""y"":631,""t"":38},{""x"":1611,""y"":645,""t"":84},{""x"":1614,""y"":637,""t"":111},{""x"":1595,""y"":648,""t"":139},{""x"":1429,""y"":637,""t"":182},{""x"":1240,""y"":547,""t"":208},{""x"":1075,""y"":513,""t"":254},{""x"":957,""y"":458,""t"":278},{""x"":849,""y"":429,""t"":309},{""x"":760,""y"":401,""t"":355},{""x"":690,""y"":396,""t"":382},{""x"":677,""y"":374,""t"":412},{""x"":648,""y"":346,""t"":455},{""x"":622,""y"":314,""t"":483}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}",0.0,1.0,trans,single
