index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,lisuya,23.0,男,,,,,,,,,,,,
1,,,,844.0,5.0,5.0,"[""purple"",""blue"",""green"",""red""]",yellow,True,"[{""x"":859,""y"":516,""t"":1},{""x"":930,""y"":481,""t"":45},{""x"":932,""y"":433,""t"":80},{""x"":958,""y"":430,""t"":113},{""x"":978,""y"":422,""t"":146},{""x"":1003,""y"":426,""t"":176},{""x"":967,""y"":414,""t"":209},{""x"":944,""y"":393,""t"":240},{""x"":936,""y"":368,""t"":274},{""x"":929,""y"":348,""t"":306},{""x"":913,""y"":339,""t"":350},{""x"":878,""y"":308,""t"":385},{""x"":857,""y"":289,""t"":414},{""x"":893,""y"":300,""t"":446},{""x"":944,""y"":305,""t"":482},{""x"":925,""y"":316,""t"":512},{""x"":943,""y"":339,""t"":558},{""x"":963,""y"":344,""t"":582},{""x"":982,""y"":343,""t"":614},{""x"":972,""y"":337,""t"":652},{""x"":929,""y"":319,""t"":682},{""x"":893,""y"":304,""t"":719},{""x"":912,""y"":336,""t"":751},{""x"":887,""y"":353,""t"":796}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
2,,,,560.0,8.0,8.0,"[""purple"",""blue"",""yellow"",""green""]",blue_1,True,"[{""x"":828,""y"":383,""t"":1},{""x"":793,""y"":397,""t"":39},{""x"":787,""y"":408,""t"":74},{""x"":833,""y"":443,""t"":104},{""x"":850,""y"":448,""t"":138},{""x"":842,""y"":465,""t"":171},{""x"":807,""y"":476,""t"":206},{""x"":779,""y"":471,""t"":242},{""x"":757,""y"":467,""t"":272},{""x"":758,""y"":462,""t"":317},{""x"":747,""y"":460,""t"":349},{""x"":752,""y"":440,""t"":381},{""x"":757,""y"":423,""t"":416},{""x"":776,""y"":397,""t"":448},{""x"":800,""y"":389,""t"":482},{""x"":822,""y"":384,""t"":513}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'purple': 0}, {'blue': 0}, {'yellow': 0}, {'green': 0}]",,purple
3,,,,667.0,5.0,5.0,"[""red"",""blue"",""purple"",""yellow""]",green,True,"[{""x"":840,""y"":369,""t"":8},{""x"":857,""y"":372,""t"":49},{""x"":900,""y"":393,""t"":81},{""x"":948,""y"":404,""t"":111},{""x"":957,""y"":411,""t"":148},{""x"":937,""y"":395,""t"":177},{""x"":947,""y"":404,""t"":213},{""x"":946,""y"":414,""t"":246},{""x"":906,""y"":391,""t"":278},{""x"":912,""y"":394,""t"":313},{""x"":924,""y"":394,""t"":343},{""x"":950,""y"":424,""t"":377},{""x"":957,""y"":432,""t"":416},{""x"":904,""y"":459,""t"":446},{""x"":878,""y"":486,""t"":479},{""x"":881,""y"":529,""t"":514},{""x"":896,""y"":555,""t"":559},{""x"":931,""y"":586,""t"":589},{""x"":965,""y"":605,""t"":621}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
4,,,,606.0,8.0,8.0,"[""yellow"",""purple"",""blue"",""red""]",purple_1,True,"[{""x"":933,""y"":589,""t"":2},{""x"":899,""y"":547,""t"":49},{""x"":863,""y"":520,""t"":70},{""x"":821,""y"":500,""t"":105},{""x"":795,""y"":476,""t"":140},{""x"":760,""y"":461,""t"":171},{""x"":729,""y"":441,""t"":206},{""x"":711,""y"":431,""t"":239},{""x"":741,""y"":453,""t"":275},{""x"":755,""y"":470,""t"":309},{""x"":760,""y"":461,""t"":344},{""x"":765,""y"":412,""t"":378},{""x"":771,""y"":379,""t"":410},{""x"":783,""y"":354,""t"":451},{""x"":805,""y"":334,""t"":479},{""x"":852,""y"":306,""t"":513},{""x"":878,""y"":301,""t"":546}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'yellow': 1}, {'purple': 4}, {'blue': 0}, {'red': 0}]",{'purple_1': 4},purple_1
5,,,,527.0,4.0,4.0,"[""green"",""purple"",""blue"",""red""]",green_1,True,"[{""x"":1009,""y"":342,""t"":2},{""x"":1028,""y"":375,""t"":46},{""x"":1065,""y"":372,""t"":78},{""x"":1112,""y"":411,""t"":110},{""x"":1125,""y"":464,""t"":141},{""x"":1138,""y"":498,""t"":178},{""x"":1151,""y"":497,""t"":210},{""x"":1144,""y"":493,""t"":241},{""x"":1109,""y"":505,""t"":274},{""x"":1115,""y"":526,""t"":308},{""x"":1160,""y"":549,""t"":354},{""x"":1117,""y"":552,""t"":384},{""x"":1079,""y"":554,""t"":412},{""x"":954,""y"":549,""t"":443},{""x"":879,""y"":535,""t"":480}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'green': 0}, {'purple': 0}, {'blue': 14}, {'red': 0}]",,blue
6,,,,529.0,2.0,2.0,"[""yellow"",""blue"",""green"",""red""]",red_1,True,"[{""x"":791,""y"":470,""t"":3},{""x"":809,""y"":438,""t"":51},{""x"":774,""y"":405,""t"":73},{""x"":795,""y"":383,""t"":105},{""x"":827,""y"":381,""t"":138},{""x"":788,""y"":359,""t"":173},{""x"":799,""y"":355,""t"":206},{""x"":845,""y"":400,""t"":242},{""x"":878,""y"":411,""t"":275},{""x"":886,""y"":420,""t"":322},{""x"":893,""y"":427,""t"":343},{""x"":858,""y"":420,""t"":380},{""x"":877,""y"":452,""t"":412},{""x"":912,""y"":489,""t"":443},{""x"":837,""y"":499,""t"":480}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'yellow': 0}, {'blue': 2}, {'green': 0}, {'red': 0}]",,blue
7,,,,422.0,8.0,8.0,"[""red"",""blue"",""purple"",""yellow""]",blue,True,"[{""x"":858,""y"":483,""t"":3},{""x"":847,""y"":460,""t"":50},{""x"":866,""y"":441,""t"":73},{""x"":894,""y"":453,""t"":105},{""x"":899,""y"":423,""t"":143},{""x"":899,""y"":397,""t"":174},{""x"":854,""y"":403,""t"":211},{""x"":811,""y"":387,""t"":242},{""x"":758,""y"":361,""t"":278},{""x"":734,""y"":341,""t"":311},{""x"":711,""y"":317,""t"":356},{""x"":739,""y"":333,""t"":388}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'red': 0}, {'blue': 4}, {'purple': 0}, {'yellow': 0}]",{'blue': 4},blue
8,,,,526.0,6.0,6.0,"[""yellow"",""green"",""blue"",""purple""]",blue,True,"[{""x"":797,""y"":341,""t"":1},{""x"":868,""y"":368,""t"":53},{""x"":910,""y"":384,""t"":72},{""x"":923,""y"":353,""t"":107},{""x"":958,""y"":381,""t"":139},{""x"":930,""y"":358,""t"":174},{""x"":921,""y"":357,""t"":211},{""x"":899,""y"":362,""t"":240},{""x"":896,""y"":365,""t"":276},{""x"":897,""y"":366,""t"":308},{""x"":890,""y"":361,""t"":343},{""x"":884,""y"":357,""t"":376},{""x"":985,""y"":379,""t"":425},{""x"":1008,""y"":394,""t"":448},{""x"":1026,""y"":406,""t"":479}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'yellow': 0}, {'green': 2}, {'blue': 4}, {'purple': 0}]",{'blue': 4},blue
9,,,,455.0,6.0,6.0,"[""yellow"",""green"",""purple"",""blue""]",purple_1,True,"[{""x"":1050,""y"":464,""t"":3},{""x"":1051,""y"":495,""t"":47},{""x"":1049,""y"":515,""t"":81},{""x"":1045,""y"":542,""t"":112},{""x"":1042,""y"":564,""t"":143},{""x"":1005,""y"":559,""t"":178},{""x"":979,""y"":536,""t"":208},{""x"":950,""y"":533,""t"":241},{""x"":932,""y"":521,""t"":273},{""x"":950,""y"":536,""t"":308},{""x"":969,""y"":520,""t"":348},{""x"":970,""y"":499,""t"":381},{""x"":959,""y"":492,""t"":412}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}","[{'yellow': 0}, {'green': 0}, {'purple': 13}, {'blue': 0}]",{'purple_1': 13},purple_1
10,,,,1110.0,5.0,5.0,"[""red"",""blue"",""yellow"",""green""]",purple,True,"[{""x"":945,""y"":496,""t"":1},{""x"":918,""y"":484,""t"":54},{""x"":925,""y"":502,""t"":73},{""x"":948,""y"":524,""t"":106},{""x"":971,""y"":523,""t"":141},{""x"":984,""y"":535,""t"":171},{""x"":989,""y"":536,""t"":208},{""x"":992,""y"":537,""t"":239},{""x"":1001,""y"":543,""t"":274},{""x"":1001,""y"":534,""t"":322},{""x"":1004,""y"":520,""t"":341},{""x"":973,""y"":544,""t"":387},{""x"":945,""y"":565,""t"":409},{""x"":900,""y"":542,""t"":449},{""x"":833,""y"":518,""t"":479},{""x"":703,""y"":513,""t"":513},{""x"":720,""y"":516,""t"":561},{""x"":738,""y"":519,""t"":589},{""x"":725,""y"":520,""t"":620},{""x"":695,""y"":494,""t"":651},{""x"":775,""y"":505,""t"":681},{""x"":832,""y"":517,""t"":718},{""x"":874,""y"":496,""t"":751},{""x"":913,""y"":473,""t"":788},{""x"":946,""y"":495,""t"":818},{""x"":973,""y"":514,""t"":853},{""x"":949,""y"":496,""t"":886},{""x"":967,""y"":526,""t"":925},{""x"":1007,""y"":546,""t"":953},{""x"":1026,""y"":529,""t"":989},{""x"":1001,""y"":511,""t"":1035},{""x"":970,""y"":498,""t"":1063}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":550,""y"":125,""width"":80,""height"":80,""top"":85,""right"":590,""bottom"":165,""left"":510},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":550,""y"":725,""width"":80,""height"":80,""top"":685,""right"":590,""bottom"":765,""left"":510}]","{""#container"":{""x"":266.42919921875,""y"":48.58407211303711,""width"":1099.9910888671875,""height"":849.9955444335938,""top"":48.58407211303711,""right"":1366.4202880859375,""bottom"":898.5796165466309,""left"":266.42919921875}}",,,
