index,name,age,sex,rt,response,answer,stimulus,target,correct,webgazer_data,webgazer_targets_data,canvas_data,fixation,fixation_target,first_dot
0,scc,24.0,男,,,,,,,,,,,,
1,,,,452.0,9.0,9.0,"[""blue"",""red"",""purple"",""green"",""yellow"",""cyan""]",purple,True,"[{""x"":881,""y"":597,""t"":4},{""x"":898,""y"":553,""t"":38},{""x"":946,""y"":541,""t"":73},{""x"":939,""y"":524,""t"":107},{""x"":910,""y"":485,""t"":140},{""x"":888,""y"":496,""t"":174},{""x"":907,""y"":501,""t"":208},{""x"":922,""y"":512,""t"":242},{""x"":904,""y"":535,""t"":276},{""x"":908,""y"":519,""t"":311},{""x"":917,""y"":527,""t"":344},{""x"":924,""y"":514,""t"":377},{""x"":926,""y"":479,""t"":411}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'blue': 0}, {'red': 0}, {'purple': 0}, {'green': 0}, {'yellow': 0}, {'cyan': 0}]",,blue
2,,,,469.0,4.0,4.0,"[""yellow"",""green"",""red"",""blue"",""purple"",""cyan""]",yellow_1,True,"[{""x"":958,""y"":457,""t"":4},{""x"":953,""y"":442,""t"":38},{""x"":950,""y"":480,""t"":72},{""x"":1004,""y"":465,""t"":106},{""x"":1034,""y"":459,""t"":140},{""x"":1070,""y"":454,""t"":174},{""x"":1025,""y"":453,""t"":208},{""x"":1085,""y"":431,""t"":242},{""x"":1064,""y"":454,""t"":275},{""x"":1044,""y"":474,""t"":307},{""x"":1062,""y"":535,""t"":343},{""x"":1057,""y"":547,""t"":378},{""x"":1014,""y"":539,""t"":411},{""x"":964,""y"":558,""t"":446}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'yellow': 0}, {'green': 0}, {'red': 1}, {'blue': 0}, {'purple': 0}, {'cyan': 0}]",,red
3,,,,420.0,7.0,7.0,"[""blue"",""cyan"",""red"",""yellow"",""green"",""purple""]",cyan_1,True,"[{""x"":930,""y"":537,""t"":4},{""x"":956,""y"":531,""t"":39},{""x"":942,""y"":551,""t"":70},{""x"":957,""y"":520,""t"":106},{""x"":951,""y"":523,""t"":139},{""x"":964,""y"":537,""t"":174},{""x"":959,""y"":520,""t"":208},{""x"":972,""y"":492,""t"":242},{""x"":989,""y"":443,""t"":275},{""x"":1008,""y"":413,""t"":309},{""x"":1033,""y"":388,""t"":343},{""x"":1010,""y"":432,""t"":378}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'blue': 0}, {'cyan': 0}, {'red': 1}, {'yellow': 0}, {'green': 0}, {'purple': 0}]",,red
4,,,,453.0,9.0,9.0,"[""blue"",""green"",""red"",""yellow"",""cyan"",""purple""]",red_1,True,"[{""x"":1005,""y"":408,""t"":4},{""x"":989,""y"":374,""t"":38},{""x"":992,""y"":349,""t"":72},{""x"":1004,""y"":370,""t"":106},{""x"":991,""y"":393,""t"":139},{""x"":980,""y"":404,""t"":174},{""x"":963,""y"":418,""t"":208},{""x"":959,""y"":402,""t"":242},{""x"":963,""y"":412,""t"":275},{""x"":955,""y"":412,""t"":310},{""x"":973,""y"":397,""t"":343},{""x"":930,""y"":399,""t"":377},{""x"":936,""y"":382,""t"":411}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'blue': 0}, {'green': 0}, {'red': 3}, {'yellow': 0}, {'cyan': 0}, {'purple': 0}]",{'red_1': 3},red_1
5,,,,519.0,1.0,1.0,"[""yellow"",""red"",""blue"",""purple"",""green"",""cyan""]",cyan,True,"[{""x"":929,""y"":355,""t"":4},{""x"":935,""y"":360,""t"":43},{""x"":944,""y"":321,""t"":72},{""x"":937,""y"":331,""t"":105},{""x"":918,""y"":372,""t"":140},{""x"":896,""y"":357,""t"":174},{""x"":869,""y"":341,""t"":208},{""x"":939,""y"":328,""t"":241},{""x"":923,""y"":349,""t"":276},{""x"":883,""y"":330,""t"":310},{""x"":933,""y"":352,""t"":344},{""x"":945,""y"":385,""t"":378},{""x"":989,""y"":369,""t"":412},{""x"":997,""y"":384,""t"":446},{""x"":1002,""y"":359,""t"":478}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'yellow': 0}, {'red': 11}, {'blue': 3}, {'purple': 0}, {'green': 0}, {'cyan': 0}]",,red
6,,,,485.0,4.0,4.0,"[""cyan"",""purple"",""yellow"",""red"",""green"",""blue""]",cyan_1,True,"[{""x"":1012,""y"":378,""t"":5},{""x"":975,""y"":424,""t"":40},{""x"":1018,""y"":436,""t"":72},{""x"":978,""y"":452,""t"":106},{""x"":945,""y"":452,""t"":141},{""x"":922,""y"":451,""t"":173},{""x"":942,""y"":474,""t"":207},{""x"":949,""y"":457,""t"":240},{""x"":938,""y"":506,""t"":275},{""x"":968,""y"":485,""t"":310},{""x"":1005,""y"":488,""t"":344},{""x"":1014,""y"":516,""t"":378},{""x"":964,""y"":491,""t"":411},{""x"":988,""y"":459,""t"":446}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'cyan': 0}, {'purple': 0}, {'yellow': 1}, {'red': 0}, {'green': 0}, {'blue': 0}]",,yellow
7,,,,594.0,3.0,3.0,"[""red"",""blue"",""purple"",""cyan"",""yellow"",""green""]",yellow,True,"[{""x"":998,""y"":438,""t"":4},{""x"":975,""y"":454,""t"":38},{""x"":942,""y"":475,""t"":72},{""x"":924,""y"":502,""t"":107},{""x"":973,""y"":488,""t"":141},{""x"":1014,""y"":466,""t"":174},{""x"":1042,""y"":430,""t"":208},{""x"":1089,""y"":403,""t"":243},{""x"":1117,""y"":381,""t"":276},{""x"":1115,""y"":402,""t"":310},{""x"":1154,""y"":388,""t"":343},{""x"":1108,""y"":413,""t"":378},{""x"":1066,""y"":435,""t"":410},{""x"":1062,""y"":414,""t"":446},{""x"":1057,""y"":389,""t"":479},{""x"":1024,""y"":382,""t"":515},{""x"":989,""y"":395,""t"":548}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'red': 0}, {'blue': 0}, {'purple': 9}, {'cyan': 0}, {'yellow': 0}, {'green': 0}]",,purple
8,,,,526.0,4.0,4.0,"[""blue"",""purple"",""yellow"",""cyan"",""red"",""green""]",blue_1,True,"[{""x"":947,""y"":473,""t"":4},{""x"":912,""y"":465,""t"":39},{""x"":901,""y"":452,""t"":73},{""x"":870,""y"":505,""t"":106},{""x"":848,""y"":494,""t"":140},{""x"":912,""y"":454,""t"":174},{""x"":905,""y"":495,""t"":208},{""x"":960,""y"":430,""t"":242},{""x"":946,""y"":457,""t"":277},{""x"":986,""y"":461,""t"":311},{""x"":1003,""y"":411,""t"":343},{""x"":1023,""y"":388,""t"":377},{""x"":1036,""y"":390,""t"":412},{""x"":1013,""y"":446,""t"":446},{""x"":1019,""y"":467,""t"":480}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'blue': 0}, {'purple': 0}, {'yellow': 2}, {'cyan': 0}, {'red': 0}, {'green': 0}]",,yellow
9,,,,437.0,4.0,4.0,"[""blue"",""red"",""cyan"",""green"",""purple"",""yellow""]",blue,True,"[{""x"":1000,""y"":450,""t"":4},{""x"":985,""y"":451,""t"":39},{""x"":947,""y"":442,""t"":72},{""x"":930,""y"":429,""t"":106},{""x"":966,""y"":405,""t"":140},{""x"":983,""y"":364,""t"":174},{""x"":999,""y"":330,""t"":206},{""x"":993,""y"":337,""t"":242},{""x"":970,""y"":351,""t"":276},{""x"":975,""y"":337,""t"":310},{""x"":1009,""y"":310,""t"":344},{""x"":971,""y"":316,""t"":378},{""x"":965,""y"":310,""t"":411}]","[{""x"":250,""y"":425,""width"":80,""height"":80,""top"":385,""right"":290,""bottom"":465,""left"":210},{""x"":400,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":440,""bottom"":205.1923788646684,""left"":360},{""x"":700,""y"":165.1923788646684,""width"":80,""height"":80,""top"":125.1923788646684,""right"":740,""bottom"":205.1923788646684,""left"":660},{""x"":850,""y"":425,""width"":80,""height"":80,""top"":385,""right"":890,""bottom"":465,""left"":810},{""x"":700,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":740,""bottom"":724.8076211353316,""left"":660},{""x"":400,""y"":684.8076211353316,""width"":80,""height"":80,""top"":644.8076211353316,""right"":440,""bottom"":724.8076211353316,""left"":360}]","{""#container"":{""x"":410,""y"":129.390625,""width"":1100,""height"":850,""top"":129.390625,""right"":1510,""bottom"":979.390625,""left"":410}}","[{'blue': 0}, {'red': 0}, {'cyan': 7}, {'green': 0}, {'purple': 0}, {'yellow': 0}]",,cyan
