"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","8744","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","13802","0.0-1.0-0.0","5055","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","16098","0.0-1.0-1.0","2295","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","24164","0.0-2.0","","","","2130","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","25506","0.0-3.0-0.0","1339","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","48708","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","49785","0.0-3.0-2.0","1076","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","67132","0.0-3.0-3.0","","","","","","[[{""x"":581,""y"":215,""dx"":90,""dy"":-66,""t"":990},{""x"":562,""y"":203,""dx"":71,""dy"":-78,""t"":1024},{""x"":558,""y"":228,""dx"":67,""dy"":-53,""t"":1058},{""x"":552,""y"":243,""dx"":61,""dy"":-38,""t"":1091},{""x"":550,""y"":264,""dx"":59,""dy"":-17,""t"":1126},{""x"":534,""y"":275,""dx"":43,""dy"":-6,""t"":1160},{""x"":549,""y"":281,""dx"":58,""dy"":0,""t"":1194},{""x"":537,""y"":272,""dx"":46,""dy"":-9,""t"":1228},{""x"":529,""y"":272,""dx"":38,""dy"":-9,""t"":1262},{""x"":520,""y"":252,""dx"":29,""dy"":-29,""t"":1296},{""x"":510,""y"":234,""dx"":19,""dy"":-47,""t"":1329},{""x"":511,""y"":210,""dx"":20,""dy"":-71,""t"":1363},{""x"":483,""y"":211,""dx"":-8,""dy"":-70,""t"":1397},{""x"":460,""y"":213,""dx"":-31,""dy"":-68,""t"":1432},{""x"":450,""y"":214,""dx"":-41,""dy"":-67,""t"":1466},{""x"":439,""y"":205,""dx"":-52,""dy"":-76,""t"":1499},{""x"":410,""y"":209,""dx"":-81,""dy"":-72,""t"":1535},{""x"":408,""y"":200,""dx"":-83,""dy"":-81,""t"":1568},{""x"":405,""y"":188,""dx"":-86,""dy"":-93,""t"":1603},{""x"":392,""y"":196,""dx"":-99,""dy"":-85,""t"":1636},{""x"":388,""y"":188,""dx"":-103,""dy"":-93,""t"":1669},{""x"":387,""y"":182,""dx"":-104,""dy"":-99,""t"":1703},{""x"":382,""y"":190,""dx"":-109,""dy"":-91,""t"":1739},{""x"":391,""y"":193,""dx"":-100,""dy"":-88,""t"":1772},{""x"":383,""y"":195,""dx"":-108,""dy"":-86,""t"":1806},{""x"":388,""y"":192,""dx"":-103,""dy"":-89,""t"":1841},{""x"":375,""y"":196,""dx"":-116,""dy"":-85,""t"":1874},{""x"":371,""y"":201,""dx"":-120,""dy"":-80,""t"":1908},{""x"":369,""y"":202,""dx"":-122,""dy"":-79,""t"":1942},{""x"":372,""y"":211,""dx"":-119,""dy"":-70,""t"":1975},{""x"":373,""y"":208,""dx"":-118,""dy"":-73,""t"":2010},{""x"":380,""y"":214,""dx"":-111,""dy"":-67,""t"":2044},{""x"":364,""y"":220,""dx"":-127,""dy"":-61,""t"":2079},{""x"":377,""y"":228,""dx"":-114,""dy"":-53,""t"":2112},{""x"":389,""y"":229,""dx"":-102,""dy"":-52,""t"":2146},{""x"":384,""y"":233,""dx"":-107,""dy"":-48,""t"":2180},{""x"":382,""y"":242,""dx"":-109,""dy"":-39,""t"":2214},{""x"":384,""y"":238,""dx"":-107,""dy"":-43,""t"":2247},{""x"":405,""y"":221,""dx"":-86,""dy"":-60,""t"":2282},{""x"":417,""y"":217,""dx"":-74,""dy"":-64,""t"":2316},{""x"":423,""y"":219,""dx"":-68,""dy"":-62,""t"":2349},{""x"":413,""y"":249,""dx"":-78,""dy"":-32,""t"":2383},{""x"":404,""y"":275,""dx"":-87,""dy"":-6,""t"":2416},{""x"":418,""y"":292,""dx"":-73,""dy"":11,""t"":2452},{""x"":427,""y"":296,""dx"":-64,""dy"":15,""t"":2486},{""x"":424,""y"":326,""dx"":-67,""dy"":45,""t"":2519},{""x"":456,""y"":338,""dx"":-35,""dy"":57,""t"":2554},{""x"":456,""y"":349,""dx"":-35,""dy"":68,""t"":2588},{""x"":449,""y"":352,""dx"":-42,""dy"":71,""t"":2622},{""x"":451,""y"":334,""dx"":-40,""dy"":53,""t"":2656},{""x"":467,""y"":314,""dx"":-24,""dy"":33,""t"":2690},{""x"":479,""y"":299,""dx"":-12,""dy"":18,""t"":2724},{""x"":483,""y"":286,""dx"":-8,""dy"":5,""t"":2758},{""x"":467,""y"":269,""dx"":-24,""dy"":-12,""t"":2792},{""x"":462,""y"":265,""dx"":-29,""dy"":-16,""t"":2827},{""x"":448,""y"":264,""dx"":-43,""dy"":-17,""t"":2861},{""x"":443,""y"":255,""dx"":-48,""dy"":-26,""t"":2894},{""x"":448,""y"":237,""dx"":-43,""dy"":-44,""t"":2928},{""x"":446,""y"":235,""dx"":-45,""dy"":-46,""t"":2962},{""x"":445,""y"":220,""dx"":-46,""dy"":-61,""t"":2996}],[{""x"":512,""y"":465,""dx"":21,""dy"":-356,""t"":4014},{""x"":513,""y"":477,""dx"":22,""dy"":-344,""t"":4050},{""x"":500,""y"":466,""dx"":9,""dy"":-355,""t"":4084},{""x"":507,""y"":456,""dx"":16,""dy"":-365,""t"":4117},{""x"":501,""y"":440,""dx"":10,""dy"":-381,""t"":4151},{""x"":501,""y"":415,""dx"":10,""dy"":-406,""t"":4186},{""x"":506,""y"":417,""dx"":15,""dy"":-404,""t"":4220},{""x"":518,""y"":421,""dx"":27,""dy"":-400,""t"":4254},{""x"":524,""y"":440,""dx"":33,""dy"":-381,""t"":4288},{""x"":523,""y"":486,""dx"":32,""dy"":-335,""t"":4322},{""x"":528,""y"":490,""dx"":37,""dy"":-331,""t"":4356},{""x"":542,""y"":498,""dx"":51,""dy"":-323,""t"":4390},{""x"":541,""y"":507,""dx"":50,""dy"":-314,""t"":4423},{""x"":537,""y"":490,""dx"":46,""dy"":-331,""t"":4459},{""x"":550,""y"":489,""dx"":59,""dy"":-332,""t"":4491},{""x"":531,""y"":499,""dx"":40,""dy"":-322,""t"":4525},{""x"":517,""y"":464,""dx"":26,""dy"":-357,""t"":4560},{""x"":525,""y"":474,""dx"":34,""dy"":-347,""t"":4595},{""x"":516,""y"":491,""dx"":25,""dy"":-330,""t"":4628},{""x"":517,""y"":500,""dx"":26,""dy"":-321,""t"":4661},{""x"":520,""y"":538,""dx"":29,""dy"":-283,""t"":4695},{""x"":525,""y"":538,""dx"":34,""dy"":-283,""t"":4730},{""x"":537,""y"":524,""dx"":46,""dy"":-297,""t"":4764},{""x"":535,""y"":529,""dx"":44,""dy"":-292,""t"":4798},{""x"":511,""y"":506,""dx"":20,""dy"":-315,""t"":4832},{""x"":519,""y"":531,""dx"":28,""dy"":-290,""t"":4866},{""x"":508,""y"":530,""dx"":17,""dy"":-291,""t"":4899},{""x"":496,""y"":506,""dx"":5,""dy"":-315,""t"":4934},{""x"":477,""y"":468,""dx"":-14,""dy"":-353,""t"":4967},{""x"":492,""y"":483,""dx"":1,""dy"":-338,""t"":5003},{""x"":488,""y"":456,""dx"":-3,""dy"":-365,""t"":5036},{""x"":502,""y"":479,""dx"":11,""dy"":-342,""t"":5070},{""x"":495,""y"":477,""dx"":4,""dy"":-344,""t"":5104},{""x"":509,""y"":475,""dx"":18,""dy"":-346,""t"":5137},{""x"":481,""y"":471,""dx"":-10,""dy"":-350,""t"":5172},{""x"":471,""y"":474,""dx"":-20,""dy"":-347,""t"":5206},{""x"":477,""y"":492,""dx"":-14,""dy"":-329,""t"":5239},{""x"":471,""y"":494,""dx"":-20,""dy"":-327,""t"":5273},{""x"":470,""y"":494,""dx"":-21,""dy"":-327,""t"":5307},{""x"":482,""y"":487,""dx"":-9,""dy"":-334,""t"":5342},{""x"":499,""y"":487,""dx"":8,""dy"":-334,""t"":5376},{""x"":504,""y"":475,""dx"":13,""dy"":-346,""t"":5409},{""x"":517,""y"":469,""dx"":26,""dy"":-352,""t"":5443},{""x"":525,""y"":482,""dx"":34,""dy"":-339,""t"":5478},{""x"":537,""y"":486,""dx"":46,""dy"":-335,""t"":5511},{""x"":540,""y"":505,""dx"":49,""dy"":-316,""t"":5547},{""x"":542,""y"":521,""dx"":51,""dy"":-300,""t"":5578},{""x"":533,""y"":541,""dx"":42,""dy"":-280,""t"":5613},{""x"":560,""y"":524,""dx"":69,""dy"":-297,""t"":5648},{""x"":550,""y"":526,""dx"":59,""dy"":-295,""t"":5682},{""x"":540,""y"":536,""dx"":49,""dy"":-285,""t"":5716},{""x"":542,""y"":557,""dx"":51,""dy"":-264,""t"":5749},{""x"":551,""y"":551,""dx"":60,""dy"":-270,""t"":5783},{""x"":538,""y"":559,""dx"":47,""dy"":-262,""t"":5818},{""x"":559,""y"":535,""dx"":68,""dy"":-286,""t"":5852},{""x"":551,""y"":549,""dx"":60,""dy"":-272,""t"":5886},{""x"":554,""y"":561,""dx"":63,""dy"":-260,""t"":5920},{""x"":541,""y"":578,""dx"":50,""dy"":-243,""t"":5954},{""x"":530,""y"":592,""dx"":39,""dy"":-229,""t"":5986}],[{""x"":1019,""y"":367,""dx"":48,""dy"":-184,""t"":7008},{""x"":1031,""y"":366,""dx"":60,""dy"":-185,""t"":7041},{""x"":1029,""y"":353,""dx"":58,""dy"":-198,""t"":7075},{""x"":1029,""y"":352,""dx"":58,""dy"":-199,""t"":7110},{""x"":1043,""y"":332,""dx"":72,""dy"":-219,""t"":7143},{""x"":1045,""y"":337,""dx"":74,""dy"":-214,""t"":7179},{""x"":1032,""y"":336,""dx"":61,""dy"":-215,""t"":7212},{""x"":1037,""y"":316,""dx"":66,""dy"":-235,""t"":7245},{""x"":1040,""y"":324,""dx"":69,""dy"":-227,""t"":7280},{""x"":1053,""y"":308,""dx"":82,""dy"":-243,""t"":7314},{""x"":1048,""y"":304,""dx"":77,""dy"":-247,""t"":7348},{""x"":1049,""y"":311,""dx"":78,""dy"":-240,""t"":7382},{""x"":1057,""y"":309,""dx"":86,""dy"":-242,""t"":7416},{""x"":1059,""y"":299,""dx"":88,""dy"":-252,""t"":7449},{""x"":1063,""y"":342,""dx"":92,""dy"":-209,""t"":7483},{""x"":1059,""y"":349,""dx"":88,""dy"":-202,""t"":7517},{""x"":1049,""y"":354,""dx"":78,""dy"":-197,""t"":7552},{""x"":1041,""y"":358,""dx"":70,""dy"":-193,""t"":7583},{""x"":1018,""y"":374,""dx"":47,""dy"":-177,""t"":7621},{""x"":995,""y"":379,""dx"":24,""dy"":-172,""t"":7654},{""x"":988,""y"":382,""dx"":17,""dy"":-169,""t"":7687},{""x"":982,""y"":354,""dx"":11,""dy"":-197,""t"":7722},{""x"":974,""y"":341,""dx"":3,""dy"":-210,""t"":7756},{""x"":962,""y"":321,""dx"":-9,""dy"":-230,""t"":7791},{""x"":978,""y"":341,""dx"":7,""dy"":-210,""t"":7824},{""x"":976,""y"":317,""dx"":5,""dy"":-234,""t"":7857},{""x"":960,""y"":345,""dx"":-11,""dy"":-206,""t"":7892},{""x"":955,""y"":316,""dx"":-16,""dy"":-235,""t"":7925},{""x"":944,""y"":297,""dx"":-27,""dy"":-254,""t"":7960},{""x"":971,""y"":293,""dx"":0,""dy"":-258,""t"":7994},{""x"":991,""y"":302,""dx"":20,""dy"":-249,""t"":8027},{""x"":994,""y"":304,""dx"":23,""dy"":-247,""t"":8061},{""x"":1007,""y"":338,""dx"":36,""dy"":-213,""t"":8096},{""x"":998,""y"":323,""dx"":27,""dy"":-228,""t"":8129},{""x"":999,""y"":321,""dx"":28,""dy"":-230,""t"":8164},{""x"":984,""y"":282,""dx"":13,""dy"":-269,""t"":8199},{""x"":1002,""y"":284,""dx"":31,""dy"":-267,""t"":8232},{""x"":1013,""y"":310,""dx"":42,""dy"":-241,""t"":8265},{""x"":1021,""y"":294,""dx"":50,""dy"":-257,""t"":8299},{""x"":1042,""y"":295,""dx"":71,""dy"":-256,""t"":8333},{""x"":1058,""y"":326,""dx"":87,""dy"":-225,""t"":8367},{""x"":1050,""y"":317,""dx"":79,""dy"":-234,""t"":8401},{""x"":1073,""y"":303,""dx"":102,""dy"":-248,""t"":8436},{""x"":1050,""y"":282,""dx"":79,""dy"":-269,""t"":8469},{""x"":1046,""y"":273,""dx"":75,""dy"":-278,""t"":8504},{""x"":1058,""y"":288,""dx"":87,""dy"":-263,""t"":8537},{""x"":1045,""y"":306,""dx"":74,""dy"":-245,""t"":8573},{""x"":1048,""y"":319,""dx"":77,""dy"":-232,""t"":8605},{""x"":1052,""y"":306,""dx"":81,""dy"":-245,""t"":8640},{""x"":1050,""y"":298,""dx"":79,""dy"":-253,""t"":8674},{""x"":1051,""y"":301,""dx"":80,""dy"":-250,""t"":8708},{""x"":1052,""y"":289,""dx"":81,""dy"":-262,""t"":8742},{""x"":1073,""y"":302,""dx"":102,""dy"":-249,""t"":8776},{""x"":1076,""y"":306,""dx"":105,""dy"":-245,""t"":8809},{""x"":1071,""y"":307,""dx"":100,""dy"":-244,""t"":8843},{""x"":1077,""y"":308,""dx"":106,""dy"":-243,""t"":8879},{""x"":1093,""y"":340,""dx"":122,""dy"":-211,""t"":8911},{""x"":1095,""y"":336,""dx"":124,""dy"":-215,""t"":8945},{""x"":1090,""y"":347,""dx"":119,""dy"":-204,""t"":8980}],[{""x"":1493,""y"":129,""dx"":42,""dy"":-152,""t"":10033},{""x"":1482,""y"":99,""dx"":31,""dy"":-182,""t"":10069},{""x"":1480,""y"":78,""dx"":29,""dy"":-203,""t"":10102},{""x"":1468,""y"":56,""dx"":17,""dy"":-225,""t"":10136},{""x"":1473,""y"":49,""dx"":22,""dy"":-232,""t"":10170},{""x"":1453,""y"":43,""dx"":2,""dy"":-238,""t"":10204},{""x"":1431,""y"":27,""dx"":-20,""dy"":-254,""t"":10238},{""x"":1411,""y"":48,""dx"":-40,""dy"":-233,""t"":10272},{""x"":1418,""y"":58,""dx"":-33,""dy"":-223,""t"":10307},{""x"":1422,""y"":49,""dx"":-29,""dy"":-232,""t"":10340},{""x"":1425,""y"":44,""dx"":-26,""dy"":-237,""t"":10373},{""x"":1424,""y"":76,""dx"":-27,""dy"":-205,""t"":10408},{""x"":1412,""y"":76,""dx"":-39,""dy"":-205,""t"":10443},{""x"":1431,""y"":79,""dx"":-20,""dy"":-202,""t"":10476},{""x"":1449,""y"":86,""dx"":-2,""dy"":-195,""t"":10509},{""x"":1457,""y"":95,""dx"":6,""dy"":-186,""t"":10544},{""x"":1468,""y"":103,""dx"":17,""dy"":-178,""t"":10578},{""x"":1466,""y"":109,""dx"":15,""dy"":-172,""t"":10612},{""x"":1475,""y"":132,""dx"":24,""dy"":-149,""t"":10647},{""x"":1479,""y"":139,""dx"":28,""dy"":-142,""t"":10679},{""x"":1494,""y"":149,""dx"":43,""dy"":-132,""t"":10714},{""x"":1487,""y"":155,""dx"":36,""dy"":-126,""t"":10745},{""x"":1489,""y"":151,""dx"":38,""dy"":-130,""t"":10782},{""x"":1478,""y"":140,""dx"":27,""dy"":-141,""t"":10815},{""x"":1477,""y"":134,""dx"":26,""dy"":-147,""t"":10850},{""x"":1461,""y"":103,""dx"":10,""dy"":-178,""t"":10884},{""x"":1461,""y"":75,""dx"":10,""dy"":-206,""t"":10918},{""x"":1455,""y"":58,""dx"":4,""dy"":-223,""t"":10951},{""x"":1453,""y"":65,""dx"":2,""dy"":-216,""t"":10987},{""x"":1446,""y"":71,""dx"":-5,""dy"":-210,""t"":11020},{""x"":1453,""y"":73,""dx"":2,""dy"":-208,""t"":11053},{""x"":1450,""y"":67,""dx"":-1,""dy"":-214,""t"":11089},{""x"":1447,""y"":76,""dx"":-4,""dy"":-205,""t"":11122},{""x"":1445,""y"":84,""dx"":-6,""dy"":-197,""t"":11153},{""x"":1438,""y"":74,""dx"":-13,""dy"":-207,""t"":11191},{""x"":1442,""y"":52,""dx"":-9,""dy"":-229,""t"":11223},{""x"":1449,""y"":62,""dx"":-2,""dy"":-219,""t"":11258},{""x"":1432,""y"":49,""dx"":-19,""dy"":-232,""t"":11292},{""x"":1437,""y"":34,""dx"":-14,""dy"":-247,""t"":11326},{""x"":1423,""y"":54,""dx"":-28,""dy"":-227,""t"":11360},{""x"":1417,""y"":36,""dx"":-34,""dy"":-245,""t"":11393},{""x"":1412,""y"":28,""dx"":-39,""dy"":-253,""t"":11427},{""x"":1426,""y"":4,""dx"":-25,""dy"":-277,""t"":11461},{""x"":1419,""y"":-26,""dx"":-32,""dy"":-307,""t"":11495},{""x"":1426,""y"":-32,""dx"":-25,""dy"":-313,""t"":11530},{""x"":1424,""y"":-15,""dx"":-27,""dy"":-296,""t"":11564},{""x"":1420,""y"":6,""dx"":-31,""dy"":-275,""t"":11598},{""x"":1435,""y"":32,""dx"":-16,""dy"":-249,""t"":11631},{""x"":1447,""y"":14,""dx"":-4,""dy"":-267,""t"":11666},{""x"":1452,""y"":27,""dx"":1,""dy"":-254,""t"":11700},{""x"":1451,""y"":11,""dx"":0,""dy"":-270,""t"":11734},{""x"":1443,""y"":11,""dx"":-8,""dy"":-270,""t"":11767},{""x"":1424,""y"":53,""dx"":-27,""dy"":-228,""t"":11802},{""x"":1429,""y"":84,""dx"":-22,""dy"":-197,""t"":11836},{""x"":1436,""y"":81,""dx"":-15,""dy"":-200,""t"":11870},{""x"":1451,""y"":86,""dx"":0,""dy"":-195,""t"":11903},{""x"":1434,""y"":71,""dx"":-17,""dy"":-210,""t"":11937},{""x"":1453,""y"":65,""dx"":2,""dy"":-216,""t"":11972},{""x"":1462,""y"":59,""dx"":11,""dy"":-222,""t"":12006}],[{""x"":1300,""y"":590,""dx"":-151,""dy"":-231,""t"":13026},{""x"":1324,""y"":555,""dx"":-127,""dy"":-266,""t"":13060},{""x"":1343,""y"":516,""dx"":-108,""dy"":-305,""t"":13093},{""x"":1348,""y"":497,""dx"":-103,""dy"":-324,""t"":13125},{""x"":1346,""y"":490,""dx"":-105,""dy"":-331,""t"":13162},{""x"":1320,""y"":529,""dx"":-131,""dy"":-292,""t"":13195},{""x"":1286,""y"":525,""dx"":-165,""dy"":-296,""t"":13229},{""x"":1257,""y"":483,""dx"":-194,""dy"":-338,""t"":13264},{""x"":1269,""y"":446,""dx"":-182,""dy"":-375,""t"":13299},{""x"":1282,""y"":424,""dx"":-169,""dy"":-397,""t"":13332},{""x"":1298,""y"":460,""dx"":-153,""dy"":-361,""t"":13366},{""x"":1266,""y"":506,""dx"":-185,""dy"":-315,""t"":13399},{""x"":1238,""y"":540,""dx"":-213,""dy"":-281,""t"":13434},{""x"":1214,""y"":575,""dx"":-237,""dy"":-246,""t"":13467},{""x"":1230,""y"":548,""dx"":-221,""dy"":-273,""t"":13502},{""x"":1237,""y"":538,""dx"":-214,""dy"":-283,""t"":13537},{""x"":1253,""y"":565,""dx"":-198,""dy"":-256,""t"":13570},{""x"":1278,""y"":575,""dx"":-173,""dy"":-246,""t"":13603},{""x"":1302,""y"":531,""dx"":-149,""dy"":-290,""t"":13638},{""x"":1306,""y"":537,""dx"":-145,""dy"":-284,""t"":13671},{""x"":1325,""y"":526,""dx"":-126,""dy"":-295,""t"":13706},{""x"":1319,""y"":520,""dx"":-132,""dy"":-301,""t"":13740},{""x"":1320,""y"":542,""dx"":-131,""dy"":-279,""t"":13774},{""x"":1333,""y"":532,""dx"":-118,""dy"":-289,""t"":13808},{""x"":1333,""y"":494,""dx"":-118,""dy"":-327,""t"":13841},{""x"":1287,""y"":531,""dx"":-164,""dy"":-290,""t"":13876},{""x"":1304,""y"":492,""dx"":-147,""dy"":-329,""t"":13909},{""x"":1325,""y"":497,""dx"":-126,""dy"":-324,""t"":13943},{""x"":1303,""y"":538,""dx"":-148,""dy"":-283,""t"":13978},{""x"":1306,""y"":525,""dx"":-145,""dy"":-296,""t"":14011},{""x"":1317,""y"":483,""dx"":-134,""dy"":-338,""t"":14046},{""x"":1296,""y"":517,""dx"":-155,""dy"":-304,""t"":14081},{""x"":1285,""y"":495,""dx"":-166,""dy"":-326,""t"":14114},{""x"":1265,""y"":544,""dx"":-186,""dy"":-277,""t"":14148},{""x"":1243,""y"":571,""dx"":-208,""dy"":-250,""t"":14182},{""x"":1306,""y"":572,""dx"":-145,""dy"":-249,""t"":14215},{""x"":1365,""y"":529,""dx"":-86,""dy"":-292,""t"":14249},{""x"":1414,""y"":491,""dx"":-37,""dy"":-330,""t"":14282},{""x"":1457,""y"":461,""dx"":6,""dy"":-360,""t"":14317},{""x"":1468,""y"":492,""dx"":17,""dy"":-329,""t"":14352},{""x"":1469,""y"":507,""dx"":18,""dy"":-314,""t"":14385},{""x"":1454,""y"":498,""dx"":3,""dy"":-323,""t"":14420},{""x"":1472,""y"":473,""dx"":21,""dy"":-348,""t"":14454},{""x"":1406,""y"":499,""dx"":-45,""dy"":-322,""t"":14487},{""x"":1372,""y"":512,""dx"":-79,""dy"":-309,""t"":14522},{""x"":1331,""y"":521,""dx"":-120,""dy"":-300,""t"":14555},{""x"":1301,""y"":540,""dx"":-150,""dy"":-281,""t"":14591},{""x"":1250,""y"":548,""dx"":-201,""dy"":-273,""t"":14624},{""x"":1223,""y"":579,""dx"":-228,""dy"":-242,""t"":14657},{""x"":1190,""y"":588,""dx"":-261,""dy"":-233,""t"":14690},{""x"":1197,""y"":608,""dx"":-254,""dy"":-213,""t"":14726},{""x"":1180,""y"":619,""dx"":-271,""dy"":-202,""t"":14759},{""x"":1160,""y"":607,""dx"":-291,""dy"":-214,""t"":14795},{""x"":1193,""y"":596,""dx"":-258,""dy"":-225,""t"":14828},{""x"":1196,""y"":588,""dx"":-255,""dy"":-233,""t"":14862},{""x"":1237,""y"":528,""dx"":-214,""dy"":-293,""t"":14896},{""x"":1234,""y"":517,""dx"":-217,""dy"":-304,""t"":14930},{""x"":1245,""y"":514,""dx"":-206,""dy"":-307,""t"":14964},{""x"":1237,""y"":525,""dx"":-214,""dy"":-296,""t"":14998},{""x"":1248,""y"":524,""dx"":-203,""dy"":-297,""t"":15031}]]","[100,0,10.16949152542373,28.8135593220339,0]","[{""x"":-49.166666666666664,""y"":-40.016666666666666,""r"":102.97374419416867},{""x"":27.440677966101696,""y"":-323.1864406779661,""r"":35.310129260350344},{""x"":58.57627118644068,""y"":-229.23728813559322,""r"":39.76411704425369},{""x"":-3.6271186440677967,""y"":-214.96610169491527,""r"":31.40124989049695},{""x"":-153.28333333333333,""y"":-293.1166666666667,""r"":89.31011912696812}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","68394","0.0-3.0-4.0-0.0-0.0","1261","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","94939","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
