"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","1692","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","5276","0.0-1.0-0.0","3582","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","7619","0.0-1.0-1.0","2342","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","11914","0.0-2.0","","","","2138","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","12723","0.0-3.0-0.0","806","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","25434","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","26994","0.0-3.0-2.0","1560","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","44618","0.0-3.0-3.0","","","","","","[[{""x"":475,""y"":190,""dx"":-16,""dy"":-91,""t"":990},{""x"":464,""y"":185,""dx"":-27,""dy"":-96,""t"":1024},{""x"":492,""y"":163,""dx"":1,""dy"":-118,""t"":1058},{""x"":517,""y"":193,""dx"":26,""dy"":-88,""t"":1093},{""x"":504,""y"":197,""dx"":13,""dy"":-84,""t"":1126},{""x"":522,""y"":193,""dx"":31,""dy"":-88,""t"":1159},{""x"":524,""y"":194,""dx"":33,""dy"":-87,""t"":1195},{""x"":531,""y"":192,""dx"":40,""dy"":-89,""t"":1228},{""x"":518,""y"":199,""dx"":27,""dy"":-82,""t"":1262},{""x"":524,""y"":198,""dx"":33,""dy"":-83,""t"":1296},{""x"":505,""y"":203,""dx"":14,""dy"":-78,""t"":1329},{""x"":498,""y"":212,""dx"":7,""dy"":-69,""t"":1364},{""x"":491,""y"":225,""dx"":0,""dy"":-56,""t"":1397},{""x"":481,""y"":226,""dx"":-10,""dy"":-55,""t"":1432},{""x"":493,""y"":269,""dx"":2,""dy"":-12,""t"":1465},{""x"":489,""y"":289,""dx"":-2,""dy"":8,""t"":1501},{""x"":441,""y"":316,""dx"":-50,""dy"":35,""t"":1533},{""x"":449,""y"":310,""dx"":-42,""dy"":29,""t"":1568},{""x"":497,""y"":309,""dx"":6,""dy"":28,""t"":1602},{""x"":508,""y"":318,""dx"":17,""dy"":37,""t"":1636},{""x"":518,""y"":324,""dx"":27,""dy"":43,""t"":1669},{""x"":480,""y"":319,""dx"":-11,""dy"":38,""t"":1703},{""x"":480,""y"":347,""dx"":-11,""dy"":66,""t"":1737},{""x"":484,""y"":352,""dx"":-7,""dy"":71,""t"":1772},{""x"":484,""y"":354,""dx"":-7,""dy"":73,""t"":1805},{""x"":485,""y"":316,""dx"":-6,""dy"":35,""t"":1839},{""x"":472,""y"":282,""dx"":-19,""dy"":1,""t"":1874},{""x"":488,""y"":281,""dx"":-3,""dy"":0,""t"":1908},{""x"":486,""y"":266,""dx"":-5,""dy"":-15,""t"":1942},{""x"":511,""y"":298,""dx"":20,""dy"":17,""t"":1975},{""x"":497,""y"":314,""dx"":6,""dy"":33,""t"":2009},{""x"":489,""y"":314,""dx"":-2,""dy"":33,""t"":2044},{""x"":480,""y"":318,""dx"":-11,""dy"":37,""t"":2075},{""x"":473,""y"":346,""dx"":-18,""dy"":65,""t"":2112},{""x"":469,""y"":330,""dx"":-22,""dy"":49,""t"":2146},{""x"":451,""y"":332,""dx"":-40,""dy"":51,""t"":2180},{""x"":454,""y"":311,""dx"":-37,""dy"":30,""t"":2215},{""x"":457,""y"":310,""dx"":-34,""dy"":29,""t"":2247},{""x"":480,""y"":297,""dx"":-11,""dy"":16,""t"":2282},{""x"":467,""y"":282,""dx"":-24,""dy"":1,""t"":2316},{""x"":477,""y"":264,""dx"":-14,""dy"":-17,""t"":2351},{""x"":485,""y"":256,""dx"":-6,""dy"":-25,""t"":2384},{""x"":483,""y"":274,""dx"":-8,""dy"":-7,""t"":2418},{""x"":471,""y"":270,""dx"":-20,""dy"":-11,""t"":2452},{""x"":479,""y"":295,""dx"":-12,""dy"":14,""t"":2486},{""x"":487,""y"":274,""dx"":-4,""dy"":-7,""t"":2520},{""x"":493,""y"":282,""dx"":2,""dy"":1,""t"":2554},{""x"":463,""y"":279,""dx"":-28,""dy"":-2,""t"":2587},{""x"":469,""y"":292,""dx"":-22,""dy"":11,""t"":2623},{""x"":445,""y"":294,""dx"":-46,""dy"":13,""t"":2656},{""x"":456,""y"":312,""dx"":-35,""dy"":31,""t"":2690},{""x"":463,""y"":315,""dx"":-28,""dy"":34,""t"":2724},{""x"":480,""y"":317,""dx"":-11,""dy"":36,""t"":2757},{""x"":460,""y"":317,""dx"":-31,""dy"":36,""t"":2793},{""x"":453,""y"":325,""dx"":-38,""dy"":44,""t"":2826},{""x"":443,""y"":318,""dx"":-48,""dy"":37,""t"":2860},{""x"":444,""y"":352,""dx"":-47,""dy"":71,""t"":2893},{""x"":439,""y"":355,""dx"":-52,""dy"":74,""t"":2927},{""x"":475,""y"":334,""dx"":-16,""dy"":53,""t"":2961}],[{""x"":688,""y"":706,""dx"":197,""dy"":-115,""t"":4016},{""x"":690,""y"":697,""dx"":199,""dy"":-124,""t"":4048},{""x"":686,""y"":703,""dx"":195,""dy"":-118,""t"":4084},{""x"":682,""y"":695,""dx"":191,""dy"":-126,""t"":4117},{""x"":688,""y"":682,""dx"":197,""dy"":-139,""t"":4152},{""x"":674,""y"":692,""dx"":183,""dy"":-129,""t"":4186},{""x"":699,""y"":710,""dx"":208,""dy"":-111,""t"":4219},{""x"":684,""y"":725,""dx"":193,""dy"":-96,""t"":4254},{""x"":699,""y"":714,""dx"":208,""dy"":-107,""t"":4287},{""x"":691,""y"":717,""dx"":200,""dy"":-104,""t"":4322},{""x"":719,""y"":720,""dx"":228,""dy"":-101,""t"":4356},{""x"":725,""y"":706,""dx"":234,""dy"":-115,""t"":4390},{""x"":698,""y"":687,""dx"":207,""dy"":-134,""t"":4424},{""x"":667,""y"":678,""dx"":176,""dy"":-143,""t"":4458},{""x"":673,""y"":685,""dx"":182,""dy"":-136,""t"":4493},{""x"":676,""y"":671,""dx"":185,""dy"":-150,""t"":4526},{""x"":671,""y"":656,""dx"":180,""dy"":-165,""t"":4560},{""x"":645,""y"":647,""dx"":154,""dy"":-174,""t"":4594},{""x"":646,""y"":648,""dx"":155,""dy"":-173,""t"":4628},{""x"":674,""y"":670,""dx"":183,""dy"":-151,""t"":4664},{""x"":672,""y"":668,""dx"":181,""dy"":-153,""t"":4697},{""x"":661,""y"":662,""dx"":170,""dy"":-159,""t"":4730},{""x"":655,""y"":668,""dx"":164,""dy"":-153,""t"":4763},{""x"":653,""y"":691,""dx"":162,""dy"":-130,""t"":4797},{""x"":644,""y"":687,""dx"":153,""dy"":-134,""t"":4832},{""x"":623,""y"":692,""dx"":132,""dy"":-129,""t"":4866},{""x"":652,""y"":678,""dx"":161,""dy"":-143,""t"":4901},{""x"":672,""y"":680,""dx"":181,""dy"":-141,""t"":4934},{""x"":646,""y"":688,""dx"":155,""dy"":-133,""t"":4967},{""x"":643,""y"":703,""dx"":152,""dy"":-118,""t"":5001},{""x"":641,""y"":718,""dx"":150,""dy"":-103,""t"":5035},{""x"":606,""y"":729,""dx"":115,""dy"":-92,""t"":5070},{""x"":582,""y"":709,""dx"":91,""dy"":-112,""t"":5104},{""x"":614,""y"":708,""dx"":123,""dy"":-113,""t"":5138},{""x"":615,""y"":695,""dx"":124,""dy"":-126,""t"":5172},{""x"":616,""y"":683,""dx"":125,""dy"":-138,""t"":5204},{""x"":614,""y"":656,""dx"":123,""dy"":-165,""t"":5240},{""x"":626,""y"":658,""dx"":135,""dy"":-163,""t"":5274},{""x"":615,""y"":648,""dx"":124,""dy"":-173,""t"":5307},{""x"":630,""y"":635,""dx"":139,""dy"":-186,""t"":5342},{""x"":638,""y"":652,""dx"":147,""dy"":-169,""t"":5375},{""x"":654,""y"":649,""dx"":163,""dy"":-172,""t"":5409},{""x"":660,""y"":634,""dx"":169,""dy"":-187,""t"":5445},{""x"":657,""y"":648,""dx"":166,""dy"":-173,""t"":5478},{""x"":630,""y"":648,""dx"":139,""dy"":-173,""t"":5513},{""x"":614,""y"":664,""dx"":123,""dy"":-157,""t"":5547},{""x"":618,""y"":671,""dx"":127,""dy"":-150,""t"":5580},{""x"":622,""y"":676,""dx"":131,""dy"":-145,""t"":5612},{""x"":628,""y"":694,""dx"":137,""dy"":-127,""t"":5649},{""x"":627,""y"":710,""dx"":136,""dy"":-111,""t"":5682},{""x"":617,""y"":710,""dx"":126,""dy"":-111,""t"":5717},{""x"":628,""y"":691,""dx"":137,""dy"":-130,""t"":5751},{""x"":628,""y"":708,""dx"":137,""dy"":-113,""t"":5784},{""x"":649,""y"":679,""dx"":158,""dy"":-142,""t"":5817},{""x"":640,""y"":678,""dx"":149,""dy"":-143,""t"":5853},{""x"":637,""y"":651,""dx"":146,""dy"":-170,""t"":5917},{""x"":603,""y"":667,""dx"":112,""dy"":-154,""t"":5924},{""x"":628,""y"":685,""dx"":137,""dy"":-136,""t"":5954},{""x"":645,""y"":664,""dx"":154,""dy"":-157,""t"":5988}],[{""x"":1011,""y"":507,""dx"":40,""dy"":-44,""t"":7043},{""x"":1025,""y"":513,""dx"":54,""dy"":-38,""t"":7076},{""x"":1042,""y"":525,""dx"":71,""dy"":-26,""t"":7110},{""x"":1052,""y"":511,""dx"":81,""dy"":-40,""t"":7144},{""x"":1056,""y"":515,""dx"":85,""dy"":-36,""t"":7178},{""x"":1058,""y"":519,""dx"":87,""dy"":-32,""t"":7210},{""x"":1027,""y"":493,""dx"":56,""dy"":-58,""t"":7246},{""x"":1017,""y"":494,""dx"":46,""dy"":-57,""t"":7279},{""x"":1003,""y"":486,""dx"":32,""dy"":-65,""t"":7314},{""x"":986,""y"":507,""dx"":15,""dy"":-44,""t"":7348},{""x"":958,""y"":492,""dx"":-13,""dy"":-59,""t"":7382},{""x"":959,""y"":488,""dx"":-12,""dy"":-63,""t"":7416},{""x"":959,""y"":480,""dx"":-12,""dy"":-71,""t"":7450},{""x"":951,""y"":485,""dx"":-20,""dy"":-66,""t"":7483},{""x"":956,""y"":474,""dx"":-15,""dy"":-77,""t"":7517},{""x"":958,""y"":493,""dx"":-13,""dy"":-58,""t"":7551},{""x"":991,""y"":509,""dx"":20,""dy"":-42,""t"":7586},{""x"":985,""y"":510,""dx"":14,""dy"":-41,""t"":7620},{""x"":987,""y"":517,""dx"":16,""dy"":-34,""t"":7655},{""x"":967,""y"":524,""dx"":-4,""dy"":-27,""t"":7688},{""x"":953,""y"":487,""dx"":-18,""dy"":-64,""t"":7722},{""x"":957,""y"":486,""dx"":-14,""dy"":-65,""t"":7755},{""x"":973,""y"":495,""dx"":2,""dy"":-56,""t"":7790},{""x"":964,""y"":498,""dx"":-7,""dy"":-53,""t"":7823},{""x"":967,""y"":502,""dx"":-4,""dy"":-49,""t"":7858},{""x"":973,""y"":493,""dx"":2,""dy"":-58,""t"":7892},{""x"":1002,""y"":513,""dx"":31,""dy"":-38,""t"":7925},{""x"":1016,""y"":534,""dx"":45,""dy"":-17,""t"":7961},{""x"":1001,""y"":537,""dx"":30,""dy"":-14,""t"":7995},{""x"":980,""y"":542,""dx"":9,""dy"":-9,""t"":8028},{""x"":973,""y"":509,""dx"":2,""dy"":-42,""t"":8062},{""x"":1008,""y"":520,""dx"":37,""dy"":-31,""t"":8097},{""x"":996,""y"":516,""dx"":25,""dy"":-35,""t"":8130},{""x"":1006,""y"":525,""dx"":35,""dy"":-26,""t"":8164},{""x"":987,""y"":511,""dx"":16,""dy"":-40,""t"":8198},{""x"":1004,""y"":516,""dx"":33,""dy"":-35,""t"":8232},{""x"":1015,""y"":527,""dx"":44,""dy"":-24,""t"":8266},{""x"":1005,""y"":532,""dx"":34,""dy"":-19,""t"":8300},{""x"":999,""y"":539,""dx"":28,""dy"":-12,""t"":8334},{""x"":993,""y"":514,""dx"":22,""dy"":-37,""t"":8368},{""x"":1014,""y"":543,""dx"":43,""dy"":-8,""t"":8402},{""x"":1002,""y"":531,""dx"":31,""dy"":-20,""t"":8437},{""x"":1007,""y"":516,""dx"":36,""dy"":-35,""t"":8471},{""x"":1012,""y"":506,""dx"":41,""dy"":-45,""t"":8504},{""x"":1025,""y"":514,""dx"":54,""dy"":-37,""t"":8538},{""x"":1043,""y"":532,""dx"":72,""dy"":-19,""t"":8572},{""x"":1035,""y"":528,""dx"":64,""dy"":-23,""t"":8606},{""x"":1031,""y"":544,""dx"":60,""dy"":-7,""t"":8641},{""x"":1020,""y"":538,""dx"":49,""dy"":-13,""t"":8674},{""x"":1039,""y"":521,""dx"":68,""dy"":-30,""t"":8709},{""x"":1035,""y"":517,""dx"":64,""dy"":-34,""t"":8742},{""x"":1051,""y"":518,""dx"":80,""dy"":-33,""t"":8773},{""x"":1048,""y"":500,""dx"":77,""dy"":-51,""t"":8810},{""x"":1046,""y"":518,""dx"":75,""dy"":-33,""t"":8844},{""x"":1023,""y"":528,""dx"":52,""dy"":-23,""t"":8877},{""x"":1008,""y"":518,""dx"":37,""dy"":-33,""t"":8912},{""x"":1012,""y"":499,""dx"":41,""dy"":-52,""t"":8946},{""x"":1012,""y"":496,""dx"":41,""dy"":-55,""t"":8980},{""x"":998,""y"":486,""dx"":27,""dy"":-65,""t"":9014}],[{""x"":1567,""y"":400,""dx"":116,""dy"":119,""t"":10034},{""x"":1501,""y"":388,""dx"":50,""dy"":107,""t"":10067},{""x"":1483,""y"":388,""dx"":32,""dy"":107,""t"":10101},{""x"":1438,""y"":381,""dx"":-13,""dy"":100,""t"":10137},{""x"":1413,""y"":393,""dx"":-38,""dy"":112,""t"":10171},{""x"":1386,""y"":422,""dx"":-65,""dy"":141,""t"":10205},{""x"":1428,""y"":435,""dx"":-23,""dy"":154,""t"":10238},{""x"":1445,""y"":431,""dx"":-6,""dy"":150,""t"":10272},{""x"":1459,""y"":444,""dx"":8,""dy"":163,""t"":10306},{""x"":1502,""y"":452,""dx"":51,""dy"":171,""t"":10340},{""x"":1538,""y"":459,""dx"":87,""dy"":178,""t"":10372},{""x"":1526,""y"":454,""dx"":75,""dy"":173,""t"":10408},{""x"":1501,""y"":446,""dx"":50,""dy"":165,""t"":10442},{""x"":1516,""y"":473,""dx"":65,""dy"":192,""t"":10476},{""x"":1515,""y"":467,""dx"":64,""dy"":186,""t"":10510},{""x"":1519,""y"":449,""dx"":68,""dy"":168,""t"":10544},{""x"":1492,""y"":450,""dx"":41,""dy"":169,""t"":10578},{""x"":1433,""y"":449,""dx"":-18,""dy"":168,""t"":10611},{""x"":1419,""y"":443,""dx"":-32,""dy"":162,""t"":10647},{""x"":1380,""y"":435,""dx"":-71,""dy"":154,""t"":10681},{""x"":1392,""y"":445,""dx"":-59,""dy"":164,""t"":10713},{""x"":1420,""y"":462,""dx"":-31,""dy"":181,""t"":10749},{""x"":1444,""y"":476,""dx"":-7,""dy"":195,""t"":10780},{""x"":1434,""y"":475,""dx"":-17,""dy"":194,""t"":10816},{""x"":1482,""y"":491,""dx"":31,""dy"":210,""t"":10850},{""x"":1445,""y"":483,""dx"":-6,""dy"":202,""t"":10884},{""x"":1451,""y"":485,""dx"":0,""dy"":204,""t"":10917},{""x"":1447,""y"":489,""dx"":-4,""dy"":208,""t"":10953},{""x"":1436,""y"":460,""dx"":-15,""dy"":179,""t"":10985},{""x"":1463,""y"":434,""dx"":12,""dy"":153,""t"":11021},{""x"":1461,""y"":385,""dx"":10,""dy"":104,""t"":11053},{""x"":1449,""y"":338,""dx"":-2,""dy"":57,""t"":11088},{""x"":1463,""y"":337,""dx"":12,""dy"":56,""t"":11121},{""x"":1459,""y"":326,""dx"":8,""dy"":45,""t"":11157},{""x"":1459,""y"":305,""dx"":8,""dy"":24,""t"":11190},{""x"":1440,""y"":319,""dx"":-11,""dy"":38,""t"":11225},{""x"":1445,""y"":324,""dx"":-6,""dy"":43,""t"":11258},{""x"":1459,""y"":327,""dx"":8,""dy"":46,""t"":11292},{""x"":1462,""y"":328,""dx"":11,""dy"":47,""t"":11326},{""x"":1439,""y"":335,""dx"":-12,""dy"":54,""t"":11361},{""x"":1440,""y"":325,""dx"":-11,""dy"":44,""t"":11394},{""x"":1417,""y"":304,""dx"":-34,""dy"":23,""t"":11428},{""x"":1424,""y"":300,""dx"":-27,""dy"":19,""t"":11462},{""x"":1407,""y"":303,""dx"":-44,""dy"":22,""t"":11496},{""x"":1416,""y"":298,""dx"":-35,""dy"":17,""t"":11530},{""x"":1390,""y"":308,""dx"":-61,""dy"":27,""t"":11564},{""x"":1432,""y"":314,""dx"":-19,""dy"":33,""t"":11598},{""x"":1424,""y"":301,""dx"":-27,""dy"":20,""t"":11631},{""x"":1431,""y"":301,""dx"":-20,""dy"":20,""t"":11667},{""x"":1488,""y"":310,""dx"":37,""dy"":29,""t"":11701},{""x"":1502,""y"":321,""dx"":51,""dy"":40,""t"":11734},{""x"":1526,""y"":315,""dx"":75,""dy"":34,""t"":11768},{""x"":1537,""y"":313,""dx"":86,""dy"":32,""t"":11802},{""x"":1531,""y"":323,""dx"":80,""dy"":42,""t"":11837},{""x"":1541,""y"":315,""dx"":90,""dy"":34,""t"":11869},{""x"":1533,""y"":315,""dx"":82,""dy"":34,""t"":11905},{""x"":1506,""y"":299,""dx"":55,""dy"":18,""t"":11938},{""x"":1503,""y"":311,""dx"":52,""dy"":30,""t"":11972},{""x"":1497,""y"":325,""dx"":46,""dy"":44,""t"":12006}],[{""x"":1090,""y"":566,""dx"":-361,""dy"":-255,""t"":13026},{""x"":1081,""y"":569,""dx"":-370,""dy"":-252,""t"":13060},{""x"":1050,""y"":548,""dx"":-401,""dy"":-273,""t"":13094},{""x"":1074,""y"":546,""dx"":-377,""dy"":-275,""t"":13129},{""x"":1053,""y"":526,""dx"":-398,""dy"":-295,""t"":13163},{""x"":1106,""y"":532,""dx"":-345,""dy"":-289,""t"":13195},{""x"":1130,""y"":515,""dx"":-321,""dy"":-306,""t"":13229},{""x"":1156,""y"":537,""dx"":-295,""dy"":-284,""t"":13264},{""x"":1209,""y"":545,""dx"":-242,""dy"":-276,""t"":13297},{""x"":1227,""y"":558,""dx"":-224,""dy"":-263,""t"":13331},{""x"":1163,""y"":548,""dx"":-288,""dy"":-273,""t"":13366},{""x"":1140,""y"":525,""dx"":-311,""dy"":-296,""t"":13400},{""x"":1138,""y"":526,""dx"":-313,""dy"":-295,""t"":13434},{""x"":1118,""y"":540,""dx"":-333,""dy"":-281,""t"":13467},{""x"":1128,""y"":542,""dx"":-323,""dy"":-279,""t"":13503},{""x"":1155,""y"":530,""dx"":-296,""dy"":-291,""t"":13536},{""x"":1165,""y"":537,""dx"":-286,""dy"":-284,""t"":13571},{""x"":1169,""y"":546,""dx"":-282,""dy"":-275,""t"":13604},{""x"":1132,""y"":546,""dx"":-319,""dy"":-275,""t"":13638},{""x"":1126,""y"":553,""dx"":-325,""dy"":-268,""t"":13672},{""x"":1147,""y"":565,""dx"":-304,""dy"":-256,""t"":13706},{""x"":1111,""y"":549,""dx"":-340,""dy"":-272,""t"":13739},{""x"":1150,""y"":542,""dx"":-301,""dy"":-279,""t"":13774},{""x"":1121,""y"":536,""dx"":-330,""dy"":-285,""t"":13808},{""x"":1147,""y"":524,""dx"":-304,""dy"":-297,""t"":13842},{""x"":1191,""y"":532,""dx"":-260,""dy"":-289,""t"":13877},{""x"":1212,""y"":540,""dx"":-239,""dy"":-281,""t"":13911},{""x"":1224,""y"":539,""dx"":-227,""dy"":-282,""t"":13942},{""x"":1230,""y"":551,""dx"":-221,""dy"":-270,""t"":13978},{""x"":1204,""y"":567,""dx"":-247,""dy"":-254,""t"":14012},{""x"":1217,""y"":560,""dx"":-234,""dy"":-261,""t"":14046},{""x"":1211,""y"":553,""dx"":-240,""dy"":-268,""t"":14081},{""x"":1191,""y"":560,""dx"":-260,""dy"":-261,""t"":14113},{""x"":1185,""y"":569,""dx"":-266,""dy"":-252,""t"":14148},{""x"":1201,""y"":573,""dx"":-250,""dy"":-248,""t"":14183},{""x"":1193,""y"":550,""dx"":-258,""dy"":-271,""t"":14215},{""x"":1165,""y"":537,""dx"":-286,""dy"":-284,""t"":14250},{""x"":1133,""y"":540,""dx"":-318,""dy"":-281,""t"":14284},{""x"":1159,""y"":541,""dx"":-292,""dy"":-280,""t"":14317},{""x"":1096,""y"":535,""dx"":-355,""dy"":-286,""t"":14349},{""x"":1103,""y"":514,""dx"":-348,""dy"":-307,""t"":14386},{""x"":1118,""y"":515,""dx"":-333,""dy"":-306,""t"":14420},{""x"":1134,""y"":533,""dx"":-317,""dy"":-288,""t"":14454},{""x"":1135,""y"":544,""dx"":-316,""dy"":-277,""t"":14488},{""x"":1139,""y"":559,""dx"":-312,""dy"":-262,""t"":14523},{""x"":1126,""y"":564,""dx"":-325,""dy"":-257,""t"":14556},{""x"":1167,""y"":581,""dx"":-284,""dy"":-240,""t"":14590},{""x"":1169,""y"":591,""dx"":-282,""dy"":-230,""t"":14623},{""x"":1175,""y"":601,""dx"":-276,""dy"":-220,""t"":14658},{""x"":1172,""y"":603,""dx"":-279,""dy"":-218,""t"":14693},{""x"":1172,""y"":588,""dx"":-279,""dy"":-233,""t"":14726},{""x"":1177,""y"":593,""dx"":-274,""dy"":-228,""t"":14760},{""x"":1188,""y"":577,""dx"":-263,""dy"":-244,""t"":14794},{""x"":1134,""y"":581,""dx"":-317,""dy"":-240,""t"":14829},{""x"":1129,""y"":563,""dx"":-322,""dy"":-258,""t"":14862},{""x"":1155,""y"":562,""dx"":-296,""dy"":-259,""t"":14896},{""x"":1139,""y"":563,""dx"":-312,""dy"":-258,""t"":14930},{""x"":1145,""y"":577,""dx"":-306,""dy"":-244,""t"":14964},{""x"":1153,""y"":563,""dx"":-298,""dy"":-258,""t"":15029}]]","[100,30.508474576271187,100,91.52542372881356,0]","[{""x"":-9.76271186440678,""y"":0.3389830508474576,""r"":41.50578920104945},{""x"":159.47457627118644,""y"":-138.89830508474577,""r"":34.349622726343206},{""x"":32.067796610169495,""y"":-39.28813559322034,""r"":30.18984268841556},{""x"":12.661016949152541,""y"":101.77966101694915,""r"":82.02507306499999},{""x"":-299.6779661016949,""y"":-268.96610169491527,""r"":37.7101313637213}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.33","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","45306","0.0-3.0-4.0-0.0-0.0","687","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","55973","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
