"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2713","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","6457","0.0-1.0-0.0","3741","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","8401","0.0-1.0-1.0","1943","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","13369","0.0-2.0","","","","2133","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","14585","0.0-3.0-0.0","1214","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","25691","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","26585","0.0-3.0-2.0","894","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","43561","0.0-3.0-3.0","","","","","","[[{""x"":453,""y"":210,""dx"":-38,""dy"":-71,""t"":990},{""x"":470,""y"":212,""dx"":-21,""dy"":-69,""t"":1023},{""x"":486,""y"":233,""dx"":-5,""dy"":-48,""t"":1058},{""x"":506,""y"":239,""dx"":15,""dy"":-42,""t"":1092},{""x"":469,""y"":270,""dx"":-22,""dy"":-11,""t"":1127},{""x"":442,""y"":297,""dx"":-49,""dy"":16,""t"":1159},{""x"":422,""y"":310,""dx"":-69,""dy"":29,""t"":1193},{""x"":393,""y"":325,""dx"":-98,""dy"":44,""t"":1229},{""x"":398,""y"":335,""dx"":-93,""dy"":54,""t"":1262},{""x"":434,""y"":317,""dx"":-57,""dy"":36,""t"":1295},{""x"":448,""y"":301,""dx"":-43,""dy"":20,""t"":1330},{""x"":464,""y"":292,""dx"":-27,""dy"":11,""t"":1364},{""x"":483,""y"":280,""dx"":-8,""dy"":-1,""t"":1398},{""x"":485,""y"":276,""dx"":-6,""dy"":-5,""t"":1432},{""x"":508,""y"":258,""dx"":17,""dy"":-23,""t"":1466},{""x"":503,""y"":271,""dx"":12,""dy"":-10,""t"":1500},{""x"":504,""y"":280,""dx"":13,""dy"":-1,""t"":1534},{""x"":527,""y"":265,""dx"":36,""dy"":-16,""t"":1567},{""x"":531,""y"":279,""dx"":40,""dy"":-2,""t"":1602},{""x"":528,""y"":274,""dx"":37,""dy"":-7,""t"":1636},{""x"":524,""y"":278,""dx"":33,""dy"":-3,""t"":1670},{""x"":521,""y"":281,""dx"":30,""dy"":0,""t"":1702},{""x"":526,""y"":284,""dx"":35,""dy"":3,""t"":1737},{""x"":537,""y"":261,""dx"":46,""dy"":-20,""t"":1772},{""x"":547,""y"":240,""dx"":56,""dy"":-41,""t"":1806},{""x"":540,""y"":253,""dx"":49,""dy"":-28,""t"":1840},{""x"":545,""y"":253,""dx"":54,""dy"":-28,""t"":1874},{""x"":552,""y"":253,""dx"":61,""dy"":-28,""t"":1908},{""x"":556,""y"":262,""dx"":65,""dy"":-19,""t"":1942},{""x"":550,""y"":269,""dx"":59,""dy"":-12,""t"":1976},{""x"":545,""y"":275,""dx"":54,""dy"":-6,""t"":2010},{""x"":543,""y"":269,""dx"":52,""dy"":-12,""t"":2045},{""x"":541,""y"":264,""dx"":50,""dy"":-17,""t"":2077},{""x"":542,""y"":259,""dx"":51,""dy"":-22,""t"":2112},{""x"":494,""y"":269,""dx"":3,""dy"":-12,""t"":2146},{""x"":482,""y"":283,""dx"":-9,""dy"":2,""t"":2180},{""x"":501,""y"":273,""dx"":10,""dy"":-8,""t"":2214},{""x"":485,""y"":290,""dx"":-6,""dy"":9,""t"":2249},{""x"":465,""y"":307,""dx"":-26,""dy"":26,""t"":2281},{""x"":464,""y"":303,""dx"":-27,""dy"":22,""t"":2316},{""x"":456,""y"":292,""dx"":-35,""dy"":11,""t"":2349},{""x"":450,""y"":295,""dx"":-41,""dy"":14,""t"":2384},{""x"":448,""y"":296,""dx"":-43,""dy"":15,""t"":2418},{""x"":452,""y"":287,""dx"":-39,""dy"":6,""t"":2453},{""x"":453,""y"":286,""dx"":-38,""dy"":5,""t"":2485},{""x"":421,""y"":320,""dx"":-70,""dy"":39,""t"":2520},{""x"":436,""y"":314,""dx"":-55,""dy"":33,""t"":2554},{""x"":451,""y"":315,""dx"":-40,""dy"":34,""t"":2588},{""x"":453,""y"":316,""dx"":-38,""dy"":35,""t"":2622},{""x"":464,""y"":298,""dx"":-27,""dy"":17,""t"":2656},{""x"":481,""y"":287,""dx"":-10,""dy"":6,""t"":2703},{""x"":491,""y"":288,""dx"":0,""dy"":7,""t"":2732},{""x"":496,""y"":282,""dx"":5,""dy"":1,""t"":2760},{""x"":520,""y"":278,""dx"":29,""dy"":-3,""t"":2791},{""x"":492,""y"":294,""dx"":1,""dy"":13,""t"":2826},{""x"":512,""y"":285,""dx"":21,""dy"":4,""t"":2860},{""x"":527,""y"":280,""dx"":36,""dy"":-1,""t"":2894},{""x"":540,""y"":276,""dx"":49,""dy"":-5,""t"":2928},{""x"":522,""y"":299,""dx"":31,""dy"":18,""t"":2962}],[{""x"":518,""y"":794,""dx"":27,""dy"":-27,""t"":4016},{""x"":522,""y"":791,""dx"":31,""dy"":-30,""t"":4051},{""x"":525,""y"":789,""dx"":34,""dy"":-32,""t"":4084},{""x"":507,""y"":781,""dx"":16,""dy"":-40,""t"":4118},{""x"":503,""y"":769,""dx"":12,""dy"":-52,""t"":4152},{""x"":512,""y"":750,""dx"":21,""dy"":-71,""t"":4186},{""x"":519,""y"":730,""dx"":28,""dy"":-91,""t"":4221},{""x"":498,""y"":729,""dx"":7,""dy"":-92,""t"":4254},{""x"":509,""y"":694,""dx"":18,""dy"":-127,""t"":4289},{""x"":484,""y"":705,""dx"":-7,""dy"":-116,""t"":4322},{""x"":484,""y"":729,""dx"":-7,""dy"":-92,""t"":4356},{""x"":475,""y"":743,""dx"":-16,""dy"":-78,""t"":4390},{""x"":482,""y"":753,""dx"":-9,""dy"":-68,""t"":4424},{""x"":475,""y"":763,""dx"":-16,""dy"":-58,""t"":4458},{""x"":468,""y"":776,""dx"":-23,""dy"":-45,""t"":4492},{""x"":473,""y"":795,""dx"":-18,""dy"":-26,""t"":4527},{""x"":528,""y"":769,""dx"":37,""dy"":-52,""t"":4561},{""x"":535,""y"":790,""dx"":44,""dy"":-31,""t"":4594},{""x"":527,""y"":810,""dx"":36,""dy"":-11,""t"":4628},{""x"":532,""y"":799,""dx"":41,""dy"":-22,""t"":4661},{""x"":534,""y"":791,""dx"":43,""dy"":-30,""t"":4696},{""x"":544,""y"":785,""dx"":53,""dy"":-36,""t"":4730},{""x"":536,""y"":772,""dx"":45,""dy"":-49,""t"":4764},{""x"":540,""y"":768,""dx"":49,""dy"":-53,""t"":4798},{""x"":566,""y"":774,""dx"":75,""dy"":-47,""t"":4832},{""x"":586,""y"":762,""dx"":95,""dy"":-59,""t"":4866},{""x"":594,""y"":773,""dx"":103,""dy"":-48,""t"":4899},{""x"":567,""y"":765,""dx"":76,""dy"":-56,""t"":4933},{""x"":580,""y"":776,""dx"":89,""dy"":-45,""t"":4969},{""x"":571,""y"":776,""dx"":80,""dy"":-45,""t"":5003},{""x"":555,""y"":780,""dx"":64,""dy"":-41,""t"":5036},{""x"":539,""y"":777,""dx"":48,""dy"":-44,""t"":5069},{""x"":527,""y"":780,""dx"":36,""dy"":-41,""t"":5104},{""x"":521,""y"":782,""dx"":30,""dy"":-39,""t"":5138},{""x"":536,""y"":799,""dx"":45,""dy"":-22,""t"":5172},{""x"":553,""y"":812,""dx"":62,""dy"":-9,""t"":5206},{""x"":564,""y"":821,""dx"":73,""dy"":0,""t"":5240},{""x"":574,""y"":828,""dx"":83,""dy"":7,""t"":5271},{""x"":593,""y"":834,""dx"":102,""dy"":13,""t"":5307},{""x"":602,""y"":825,""dx"":111,""dy"":4,""t"":5342},{""x"":604,""y"":825,""dx"":113,""dy"":4,""t"":5376},{""x"":590,""y"":819,""dx"":99,""dy"":-2,""t"":5410},{""x"":607,""y"":856,""dx"":116,""dy"":35,""t"":5444},{""x"":628,""y"":871,""dx"":137,""dy"":50,""t"":5478},{""x"":663,""y"":864,""dx"":172,""dy"":43,""t"":5512},{""x"":644,""y"":856,""dx"":153,""dy"":35,""t"":5546},{""x"":623,""y"":843,""dx"":132,""dy"":22,""t"":5579},{""x"":603,""y"":834,""dx"":112,""dy"":13,""t"":5614},{""x"":601,""y"":818,""dx"":110,""dy"":-3,""t"":5645},{""x"":587,""y"":803,""dx"":96,""dy"":-18,""t"":5682},{""x"":578,""y"":801,""dx"":87,""dy"":-20,""t"":5717},{""x"":551,""y"":790,""dx"":60,""dy"":-31,""t"":5750},{""x"":545,""y"":783,""dx"":54,""dy"":-38,""t"":5784},{""x"":526,""y"":774,""dx"":35,""dy"":-47,""t"":5817},{""x"":538,""y"":786,""dx"":47,""dy"":-35,""t"":5852},{""x"":559,""y"":773,""dx"":68,""dy"":-48,""t"":5886},{""x"":568,""y"":778,""dx"":77,""dy"":-43,""t"":5920},{""x"":570,""y"":787,""dx"":79,""dy"":-34,""t"":5953}],[{""x"":1084,""y"":500,""dx"":113,""dy"":-51,""t"":7008},{""x"":1075,""y"":510,""dx"":104,""dy"":-41,""t"":7041},{""x"":1074,""y"":530,""dx"":103,""dy"":-21,""t"":7076},{""x"":1075,""y"":557,""dx"":104,""dy"":6,""t"":7110},{""x"":1083,""y"":572,""dx"":112,""dy"":21,""t"":7144},{""x"":1085,""y"":583,""dx"":114,""dy"":32,""t"":7179},{""x"":1087,""y"":591,""dx"":116,""dy"":40,""t"":7211},{""x"":1085,""y"":570,""dx"":114,""dy"":19,""t"":7246},{""x"":1082,""y"":594,""dx"":111,""dy"":43,""t"":7281},{""x"":1088,""y"":600,""dx"":117,""dy"":49,""t"":7314},{""x"":1079,""y"":605,""dx"":108,""dy"":54,""t"":7348},{""x"":1076,""y"":615,""dx"":105,""dy"":64,""t"":7382},{""x"":1070,""y"":620,""dx"":99,""dy"":69,""t"":7416},{""x"":1083,""y"":628,""dx"":112,""dy"":77,""t"":7450},{""x"":1084,""y"":628,""dx"":113,""dy"":77,""t"":7484},{""x"":1069,""y"":614,""dx"":98,""dy"":63,""t"":7518},{""x"":1068,""y"":618,""dx"":97,""dy"":67,""t"":7553},{""x"":1071,""y"":607,""dx"":100,""dy"":56,""t"":7586},{""x"":1073,""y"":610,""dx"":102,""dy"":59,""t"":7620},{""x"":1089,""y"":610,""dx"":118,""dy"":59,""t"":7654},{""x"":1081,""y"":615,""dx"":110,""dy"":64,""t"":7689},{""x"":1076,""y"":617,""dx"":105,""dy"":66,""t"":7722},{""x"":1077,""y"":622,""dx"":106,""dy"":71,""t"":7756},{""x"":1084,""y"":620,""dx"":113,""dy"":69,""t"":7790},{""x"":1080,""y"":621,""dx"":109,""dy"":70,""t"":7824},{""x"":1076,""y"":613,""dx"":105,""dy"":62,""t"":7858},{""x"":1082,""y"":612,""dx"":111,""dy"":61,""t"":7891},{""x"":1076,""y"":619,""dx"":105,""dy"":68,""t"":7925},{""x"":1081,""y"":622,""dx"":110,""dy"":71,""t"":7961},{""x"":1087,""y"":621,""dx"":116,""dy"":70,""t"":7994},{""x"":1072,""y"":620,""dx"":101,""dy"":69,""t"":8027},{""x"":1062,""y"":592,""dx"":91,""dy"":41,""t"":8062},{""x"":1069,""y"":595,""dx"":98,""dy"":44,""t"":8096},{""x"":1070,""y"":593,""dx"":99,""dy"":42,""t"":8130},{""x"":1077,""y"":578,""dx"":106,""dy"":27,""t"":8164},{""x"":1061,""y"":555,""dx"":90,""dy"":4,""t"":8198},{""x"":1062,""y"":555,""dx"":91,""dy"":4,""t"":8231},{""x"":1062,""y"":549,""dx"":91,""dy"":-2,""t"":8265},{""x"":1061,""y"":545,""dx"":90,""dy"":-6,""t"":8299},{""x"":1051,""y"":539,""dx"":80,""dy"":-12,""t"":8333},{""x"":1056,""y"":543,""dx"":85,""dy"":-8,""t"":8368},{""x"":1046,""y"":550,""dx"":75,""dy"":-1,""t"":8401},{""x"":1055,""y"":555,""dx"":84,""dy"":4,""t"":8437},{""x"":1062,""y"":572,""dx"":91,""dy"":21,""t"":8470},{""x"":1060,""y"":551,""dx"":89,""dy"":0,""t"":8504},{""x"":1064,""y"":564,""dx"":93,""dy"":13,""t"":8538},{""x"":1074,""y"":581,""dx"":103,""dy"":30,""t"":8571},{""x"":1083,""y"":594,""dx"":112,""dy"":43,""t"":8606},{""x"":1089,""y"":610,""dx"":118,""dy"":59,""t"":8639},{""x"":1092,""y"":619,""dx"":121,""dy"":68,""t"":8673},{""x"":1087,""y"":611,""dx"":116,""dy"":60,""t"":8707},{""x"":1093,""y"":622,""dx"":122,""dy"":71,""t"":8742},{""x"":1094,""y"":620,""dx"":123,""dy"":69,""t"":8776},{""x"":1094,""y"":618,""dx"":123,""dy"":67,""t"":8807},{""x"":1074,""y"":611,""dx"":103,""dy"":60,""t"":8844},{""x"":1076,""y"":608,""dx"":105,""dy"":57,""t"":8877},{""x"":1076,""y"":594,""dx"":105,""dy"":43,""t"":8912},{""x"":1069,""y"":596,""dx"":98,""dy"":45,""t"":8946},{""x"":1065,""y"":589,""dx"":94,""dy"":38,""t"":8980}],[{""x"":1614,""y"":304,""dx"":163,""dy"":23,""t"":10034},{""x"":1609,""y"":288,""dx"":158,""dy"":7,""t"":10069},{""x"":1613,""y"":276,""dx"":162,""dy"":-5,""t"":10102},{""x"":1596,""y"":254,""dx"":145,""dy"":-27,""t"":10136},{""x"":1599,""y"":259,""dx"":148,""dy"":-22,""t"":10170},{""x"":1597,""y"":243,""dx"":146,""dy"":-38,""t"":10204},{""x"":1595,""y"":248,""dx"":144,""dy"":-33,""t"":10239},{""x"":1607,""y"":251,""dx"":156,""dy"":-30,""t"":10272},{""x"":1625,""y"":256,""dx"":174,""dy"":-25,""t"":10305},{""x"":1621,""y"":245,""dx"":170,""dy"":-36,""t"":10339},{""x"":1617,""y"":236,""dx"":166,""dy"":-45,""t"":10371},{""x"":1612,""y"":227,""dx"":161,""dy"":-54,""t"":10408},{""x"":1591,""y"":215,""dx"":140,""dy"":-66,""t"":10441},{""x"":1596,""y"":224,""dx"":145,""dy"":-57,""t"":10475},{""x"":1605,""y"":229,""dx"":154,""dy"":-52,""t"":10510},{""x"":1618,""y"":241,""dx"":167,""dy"":-40,""t"":10544},{""x"":1621,""y"":252,""dx"":170,""dy"":-29,""t"":10577},{""x"":1623,""y"":259,""dx"":172,""dy"":-22,""t"":10612},{""x"":1630,""y"":260,""dx"":179,""dy"":-21,""t"":10645},{""x"":1637,""y"":259,""dx"":186,""dy"":-22,""t"":10681},{""x"":1643,""y"":263,""dx"":192,""dy"":-18,""t"":10714},{""x"":1622,""y"":253,""dx"":171,""dy"":-28,""t"":10748},{""x"":1604,""y"":244,""dx"":153,""dy"":-37,""t"":10780},{""x"":1610,""y"":251,""dx"":159,""dy"":-30,""t"":10817},{""x"":1603,""y"":251,""dx"":152,""dy"":-30,""t"":10849},{""x"":1596,""y"":247,""dx"":145,""dy"":-34,""t"":10883},{""x"":1603,""y"":248,""dx"":152,""dy"":-33,""t"":10918},{""x"":1598,""y"":255,""dx"":147,""dy"":-26,""t"":10952},{""x"":1609,""y"":259,""dx"":158,""dy"":-22,""t"":10987},{""x"":1626,""y"":266,""dx"":175,""dy"":-15,""t"":11020},{""x"":1627,""y"":267,""dx"":176,""dy"":-14,""t"":11054},{""x"":1623,""y"":262,""dx"":172,""dy"":-19,""t"":11088},{""x"":1609,""y"":250,""dx"":158,""dy"":-31,""t"":11123},{""x"":1583,""y"":259,""dx"":132,""dy"":-22,""t"":11156},{""x"":1560,""y"":260,""dx"":109,""dy"":-21,""t"":11189},{""x"":1542,""y"":268,""dx"":91,""dy"":-13,""t"":11224},{""x"":1521,""y"":251,""dx"":70,""dy"":-30,""t"":11257},{""x"":1510,""y"":252,""dx"":59,""dy"":-29,""t"":11292},{""x"":1505,""y"":252,""dx"":54,""dy"":-29,""t"":11326},{""x"":1496,""y"":272,""dx"":45,""dy"":-9,""t"":11360},{""x"":1497,""y"":274,""dx"":46,""dy"":-7,""t"":11394},{""x"":1505,""y"":290,""dx"":54,""dy"":9,""t"":11429},{""x"":1508,""y"":319,""dx"":57,""dy"":38,""t"":11462},{""x"":1520,""y"":342,""dx"":69,""dy"":61,""t"":11496},{""x"":1524,""y"":322,""dx"":73,""dy"":41,""t"":11530},{""x"":1539,""y"":325,""dx"":88,""dy"":44,""t"":11563},{""x"":1540,""y"":307,""dx"":89,""dy"":26,""t"":11598},{""x"":1545,""y"":301,""dx"":94,""dy"":20,""t"":11632},{""x"":1556,""y"":308,""dx"":105,""dy"":27,""t"":11665},{""x"":1548,""y"":303,""dx"":97,""dy"":22,""t"":11700},{""x"":1559,""y"":311,""dx"":108,""dy"":30,""t"":11733},{""x"":1571,""y"":322,""dx"":120,""dy"":41,""t"":11767},{""x"":1560,""y"":310,""dx"":109,""dy"":29,""t"":11803},{""x"":1557,""y"":316,""dx"":106,""dy"":35,""t"":11837},{""x"":1563,""y"":319,""dx"":112,""dy"":38,""t"":11870},{""x"":1567,""y"":310,""dx"":116,""dy"":29,""t"":11904},{""x"":1566,""y"":321,""dx"":115,""dy"":40,""t"":11937},{""x"":1572,""y"":318,""dx"":121,""dy"":37,""t"":11971}],[{""x"":1438,""y"":755,""dx"":-13,""dy"":-66,""t"":13026},{""x"":1444,""y"":778,""dx"":-7,""dy"":-43,""t"":13061},{""x"":1446,""y"":773,""dx"":-5,""dy"":-48,""t"":13095},{""x"":1457,""y"":796,""dx"":6,""dy"":-25,""t"":13128},{""x"":1444,""y"":795,""dx"":-7,""dy"":-26,""t"":13162},{""x"":1459,""y"":812,""dx"":8,""dy"":-9,""t"":13195},{""x"":1472,""y"":816,""dx"":21,""dy"":-5,""t"":13231},{""x"":1472,""y"":818,""dx"":21,""dy"":-3,""t"":13264},{""x"":1483,""y"":821,""dx"":32,""dy"":0,""t"":13298},{""x"":1490,""y"":821,""dx"":39,""dy"":0,""t"":13332},{""x"":1498,""y"":823,""dx"":47,""dy"":2,""t"":13365},{""x"":1499,""y"":822,""dx"":48,""dy"":1,""t"":13399},{""x"":1511,""y"":816,""dx"":60,""dy"":-5,""t"":13433},{""x"":1515,""y"":809,""dx"":64,""dy"":-12,""t"":13468},{""x"":1517,""y"":805,""dx"":66,""dy"":-16,""t"":13502},{""x"":1517,""y"":796,""dx"":66,""dy"":-25,""t"":13536},{""x"":1525,""y"":797,""dx"":74,""dy"":-24,""t"":13570},{""x"":1532,""y"":803,""dx"":81,""dy"":-18,""t"":13604},{""x"":1510,""y"":807,""dx"":59,""dy"":-14,""t"":13637},{""x"":1498,""y"":805,""dx"":47,""dy"":-16,""t"":13671},{""x"":1483,""y"":798,""dx"":32,""dy"":-23,""t"":13706},{""x"":1469,""y"":800,""dx"":18,""dy"":-21,""t"":13739},{""x"":1469,""y"":803,""dx"":18,""dy"":-18,""t"":13774},{""x"":1470,""y"":792,""dx"":19,""dy"":-29,""t"":13807},{""x"":1474,""y"":789,""dx"":23,""dy"":-32,""t"":13841},{""x"":1482,""y"":791,""dx"":31,""dy"":-30,""t"":13877},{""x"":1500,""y"":787,""dx"":49,""dy"":-34,""t"":13910},{""x"":1512,""y"":783,""dx"":61,""dy"":-38,""t"":13942},{""x"":1515,""y"":773,""dx"":64,""dy"":-48,""t"":13978},{""x"":1523,""y"":769,""dx"":72,""dy"":-52,""t"":14012},{""x"":1514,""y"":771,""dx"":63,""dy"":-50,""t"":14047},{""x"":1508,""y"":773,""dx"":57,""dy"":-48,""t"":14080},{""x"":1494,""y"":775,""dx"":43,""dy"":-46,""t"":14114},{""x"":1487,""y"":776,""dx"":36,""dy"":-45,""t"":14148},{""x"":1479,""y"":771,""dx"":28,""dy"":-50,""t"":14182},{""x"":1469,""y"":768,""dx"":18,""dy"":-53,""t"":14217},{""x"":1463,""y"":758,""dx"":12,""dy"":-63,""t"":14250},{""x"":1459,""y"":747,""dx"":8,""dy"":-74,""t"":14284},{""x"":1463,""y"":739,""dx"":12,""dy"":-82,""t"":14317},{""x"":1466,""y"":733,""dx"":15,""dy"":-88,""t"":14349},{""x"":1461,""y"":729,""dx"":10,""dy"":-92,""t"":14385},{""x"":1464,""y"":726,""dx"":13,""dy"":-95,""t"":14420},{""x"":1464,""y"":722,""dx"":13,""dy"":-99,""t"":14454},{""x"":1470,""y"":724,""dx"":19,""dy"":-97,""t"":14488},{""x"":1459,""y"":730,""dx"":8,""dy"":-91,""t"":14522},{""x"":1465,""y"":739,""dx"":14,""dy"":-82,""t"":14556},{""x"":1463,""y"":748,""dx"":12,""dy"":-73,""t"":14590},{""x"":1467,""y"":756,""dx"":16,""dy"":-65,""t"":14624},{""x"":1475,""y"":759,""dx"":24,""dy"":-62,""t"":14658},{""x"":1478,""y"":760,""dx"":27,""dy"":-61,""t"":14692},{""x"":1483,""y"":765,""dx"":32,""dy"":-56,""t"":14727},{""x"":1494,""y"":770,""dx"":43,""dy"":-51,""t"":14760},{""x"":1491,""y"":769,""dx"":40,""dy"":-52,""t"":14794},{""x"":1490,""y"":760,""dx"":39,""dy"":-61,""t"":14829},{""x"":1507,""y"":759,""dx"":56,""dy"":-62,""t"":14862},{""x"":1505,""y"":753,""dx"":54,""dy"":-68,""t"":14896},{""x"":1508,""y"":751,""dx"":57,""dy"":-70,""t"":14930},{""x"":1507,""y"":743,""dx"":56,""dy"":-78,""t"":14965},{""x"":1513,""y"":713,""dx"":62,""dy"":-108,""t"":14999}]]","[100,100,100,100,100]","[{""x"":0.1694915254237288,""y"":-0.6949152542372882,""r"":39.737525798943004},{""x"":58.01724137931034,""y"":-33.06896551724138,""r"":51.353023307667655},{""x"":104.1864406779661,""y"":40.067796610169495,""r"":25.94496196609286},{""x"":130.25862068965517,""y"":-9.03448275862069,""r"":68.81123324235145},{""x"":33.57627118644068,""y"":-45.74576271186441,""r"":38.110990180479796}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","",""
"","html-button-response","8","44185","0.0-4.0-0.0","622","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","45203","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""4"",""4"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""6"",""6"",""2"",""2"",""2"",""2"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""8"",""8"",""4"",""4"",""8"",""8"",""6"",""6"",""6"",""6"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""2"",""2"",""4"",""4"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""6"",""6"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
