"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","2270","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","5809","0.0-1.0-0.0","3535","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","7272","0.0-1.0-1.0","1463","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","12696","0.0-2.0","","","","2186","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","14656","0.0-3.0-0.0","1958","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","24317","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","24880","0.0-3.0-2.0","562","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","41720","0.0-3.0-3.0","","","","","","[[{""x"":518,""y"":435,""dx"":27,""dy"":154,""t"":990},{""x"":535,""y"":393,""dx"":44,""dy"":112,""t"":1024},{""x"":521,""y"":423,""dx"":30,""dy"":142,""t"":1058},{""x"":517,""y"":443,""dx"":26,""dy"":162,""t"":1093},{""x"":505,""y"":477,""dx"":14,""dy"":196,""t"":1125},{""x"":502,""y"":460,""dx"":11,""dy"":179,""t"":1159},{""x"":506,""y"":427,""dx"":15,""dy"":146,""t"":1194},{""x"":530,""y"":408,""dx"":39,""dy"":127,""t"":1229},{""x"":546,""y"":376,""dx"":55,""dy"":95,""t"":1262},{""x"":543,""y"":396,""dx"":52,""dy"":115,""t"":1296},{""x"":561,""y"":383,""dx"":70,""dy"":102,""t"":1329},{""x"":556,""y"":395,""dx"":65,""dy"":114,""t"":1364},{""x"":550,""y"":421,""dx"":59,""dy"":140,""t"":1398},{""x"":546,""y"":372,""dx"":55,""dy"":91,""t"":1431},{""x"":543,""y"":331,""dx"":52,""dy"":50,""t"":1464},{""x"":545,""y"":331,""dx"":54,""dy"":50,""t"":1500},{""x"":537,""y"":358,""dx"":46,""dy"":77,""t"":1559},{""x"":539,""y"":341,""dx"":48,""dy"":60,""t"":1573},{""x"":526,""y"":342,""dx"":35,""dy"":61,""t"":1601},{""x"":528,""y"":313,""dx"":37,""dy"":32,""t"":1637},{""x"":548,""y"":291,""dx"":57,""dy"":10,""t"":1671},{""x"":575,""y"":309,""dx"":84,""dy"":28,""t"":1704},{""x"":573,""y"":286,""dx"":82,""dy"":5,""t"":1738},{""x"":568,""y"":296,""dx"":77,""dy"":15,""t"":1771},{""x"":578,""y"":297,""dx"":87,""dy"":16,""t"":1806},{""x"":565,""y"":314,""dx"":74,""dy"":33,""t"":1841},{""x"":564,""y"":304,""dx"":73,""dy"":23,""t"":1874},{""x"":548,""y"":306,""dx"":57,""dy"":25,""t"":1908},{""x"":541,""y"":300,""dx"":50,""dy"":19,""t"":1942},{""x"":543,""y"":300,""dx"":52,""dy"":19,""t"":1976},{""x"":537,""y"":326,""dx"":46,""dy"":45,""t"":2009},{""x"":542,""y"":311,""dx"":51,""dy"":30,""t"":2044},{""x"":551,""y"":325,""dx"":60,""dy"":44,""t"":2078},{""x"":563,""y"":319,""dx"":72,""dy"":38,""t"":2112},{""x"":562,""y"":324,""dx"":71,""dy"":43,""t"":2146},{""x"":562,""y"":342,""dx"":71,""dy"":61,""t"":2180},{""x"":549,""y"":325,""dx"":58,""dy"":44,""t"":2214},{""x"":549,""y"":321,""dx"":58,""dy"":40,""t"":2247},{""x"":536,""y"":316,""dx"":45,""dy"":35,""t"":2282},{""x"":554,""y"":308,""dx"":63,""dy"":27,""t"":2316},{""x"":544,""y"":291,""dx"":53,""dy"":10,""t"":2350},{""x"":553,""y"":305,""dx"":62,""dy"":24,""t"":2384},{""x"":550,""y"":299,""dx"":59,""dy"":18,""t"":2419},{""x"":542,""y"":310,""dx"":51,""dy"":29,""t"":2451},{""x"":550,""y"":310,""dx"":59,""dy"":29,""t"":2486},{""x"":554,""y"":309,""dx"":63,""dy"":28,""t"":2520},{""x"":542,""y"":301,""dx"":51,""dy"":20,""t"":2554},{""x"":532,""y"":315,""dx"":41,""dy"":34,""t"":2588},{""x"":536,""y"":335,""dx"":45,""dy"":54,""t"":2621},{""x"":525,""y"":334,""dx"":34,""dy"":53,""t"":2656},{""x"":530,""y"":334,""dx"":39,""dy"":53,""t"":2689},{""x"":536,""y"":336,""dx"":45,""dy"":55,""t"":2724},{""x"":549,""y"":341,""dx"":58,""dy"":60,""t"":2758},{""x"":548,""y"":345,""dx"":57,""dy"":64,""t"":2792},{""x"":531,""y"":376,""dx"":40,""dy"":95,""t"":2826},{""x"":531,""y"":373,""dx"":40,""dy"":92,""t"":2860},{""x"":541,""y"":380,""dx"":50,""dy"":99,""t"":2894},{""x"":544,""y"":381,""dx"":53,""dy"":100,""t"":2928},{""x"":546,""y"":385,""dx"":55,""dy"":104,""t"":2961},{""x"":549,""y"":371,""dx"":58,""dy"":90,""t"":2996}],[{""x"":438,""y"":785,""dx"":-53,""dy"":-36,""t"":4016},{""x"":449,""y"":788,""dx"":-42,""dy"":-33,""t"":4050},{""x"":456,""y"":761,""dx"":-35,""dy"":-60,""t"":4084},{""x"":467,""y"":763,""dx"":-24,""dy"":-58,""t"":4118},{""x"":473,""y"":734,""dx"":-18,""dy"":-87,""t"":4151},{""x"":483,""y"":742,""dx"":-8,""dy"":-79,""t"":4186},{""x"":487,""y"":725,""dx"":-4,""dy"":-96,""t"":4219},{""x"":504,""y"":736,""dx"":13,""dy"":-85,""t"":4254},{""x"":503,""y"":741,""dx"":12,""dy"":-80,""t"":4287},{""x"":503,""y"":746,""dx"":12,""dy"":-75,""t"":4321},{""x"":497,""y"":735,""dx"":6,""dy"":-86,""t"":4356},{""x"":491,""y"":751,""dx"":0,""dy"":-70,""t"":4389},{""x"":501,""y"":788,""dx"":10,""dy"":-33,""t"":4423},{""x"":495,""y"":780,""dx"":4,""dy"":-41,""t"":4458},{""x"":501,""y"":789,""dx"":10,""dy"":-32,""t"":4493},{""x"":506,""y"":795,""dx"":15,""dy"":-26,""t"":4526},{""x"":510,""y"":802,""dx"":19,""dy"":-19,""t"":4559},{""x"":505,""y"":812,""dx"":14,""dy"":-9,""t"":4593},{""x"":500,""y"":820,""dx"":9,""dy"":-1,""t"":4625},{""x"":487,""y"":810,""dx"":-4,""dy"":-11,""t"":4662},{""x"":494,""y"":815,""dx"":3,""dy"":-6,""t"":4696},{""x"":485,""y"":795,""dx"":-6,""dy"":-26,""t"":4730},{""x"":494,""y"":795,""dx"":3,""dy"":-26,""t"":4764},{""x"":485,""y"":795,""dx"":-6,""dy"":-26,""t"":4799},{""x"":500,""y"":786,""dx"":9,""dy"":-35,""t"":4832},{""x"":502,""y"":783,""dx"":11,""dy"":-38,""t"":4865},{""x"":497,""y"":758,""dx"":6,""dy"":-63,""t"":4900},{""x"":515,""y"":762,""dx"":24,""dy"":-59,""t"":4933},{""x"":525,""y"":782,""dx"":34,""dy"":-39,""t"":4968},{""x"":520,""y"":778,""dx"":29,""dy"":-43,""t"":5001},{""x"":516,""y"":775,""dx"":25,""dy"":-46,""t"":5034},{""x"":516,""y"":765,""dx"":25,""dy"":-56,""t"":5069},{""x"":510,""y"":749,""dx"":19,""dy"":-72,""t"":5104},{""x"":496,""y"":760,""dx"":5,""dy"":-61,""t"":5140},{""x"":485,""y"":752,""dx"":-6,""dy"":-69,""t"":5173},{""x"":483,""y"":751,""dx"":-8,""dy"":-70,""t"":5206},{""x"":481,""y"":757,""dx"":-10,""dy"":-64,""t"":5239},{""x"":480,""y"":751,""dx"":-11,""dy"":-70,""t"":5274},{""x"":473,""y"":754,""dx"":-18,""dy"":-67,""t"":5308},{""x"":483,""y"":749,""dx"":-8,""dy"":-72,""t"":5342},{""x"":489,""y"":749,""dx"":-2,""dy"":-72,""t"":5375},{""x"":480,""y"":766,""dx"":-11,""dy"":-55,""t"":5410},{""x"":495,""y"":775,""dx"":4,""dy"":-46,""t"":5444},{""x"":506,""y"":765,""dx"":15,""dy"":-56,""t"":5478},{""x"":519,""y"":758,""dx"":28,""dy"":-63,""t"":5511},{""x"":516,""y"":759,""dx"":25,""dy"":-62,""t"":5546},{""x"":527,""y"":751,""dx"":36,""dy"":-70,""t"":5580},{""x"":527,""y"":789,""dx"":36,""dy"":-32,""t"":5614},{""x"":519,""y"":776,""dx"":28,""dy"":-45,""t"":5648},{""x"":515,""y"":776,""dx"":24,""dy"":-45,""t"":5682},{""x"":498,""y"":751,""dx"":7,""dy"":-70,""t"":5715},{""x"":490,""y"":726,""dx"":-1,""dy"":-95,""t"":5749},{""x"":475,""y"":714,""dx"":-16,""dy"":-107,""t"":5784},{""x"":480,""y"":729,""dx"":-11,""dy"":-92,""t"":5818},{""x"":489,""y"":724,""dx"":-2,""dy"":-97,""t"":5853},{""x"":488,""y"":717,""dx"":-3,""dy"":-104,""t"":5885},{""x"":476,""y"":737,""dx"":-15,""dy"":-84,""t"":5920},{""x"":477,""y"":733,""dx"":-14,""dy"":-88,""t"":5955},{""x"":478,""y"":750,""dx"":-13,""dy"":-71,""t"":5988}],[{""x"":960,""y"":546,""dx"":-11,""dy"":-5,""t"":7041},{""x"":946,""y"":542,""dx"":-25,""dy"":-9,""t"":7076},{""x"":935,""y"":538,""dx"":-36,""dy"":-13,""t"":7109},{""x"":924,""y"":539,""dx"":-47,""dy"":-12,""t"":7143},{""x"":929,""y"":539,""dx"":-42,""dy"":-12,""t"":7178},{""x"":937,""y"":540,""dx"":-34,""dy"":-11,""t"":7212},{""x"":930,""y"":564,""dx"":-41,""dy"":13,""t"":7245},{""x"":928,""y"":553,""dx"":-43,""dy"":2,""t"":7279},{""x"":923,""y"":550,""dx"":-48,""dy"":-1,""t"":7315},{""x"":913,""y"":552,""dx"":-58,""dy"":1,""t"":7348},{""x"":930,""y"":532,""dx"":-41,""dy"":-19,""t"":7382},{""x"":949,""y"":556,""dx"":-22,""dy"":5,""t"":7416},{""x"":911,""y"":574,""dx"":-60,""dy"":23,""t"":7450},{""x"":914,""y"":580,""dx"":-57,""dy"":29,""t"":7484},{""x"":915,""y"":602,""dx"":-56,""dy"":51,""t"":7518},{""x"":913,""y"":585,""dx"":-58,""dy"":34,""t"":7552},{""x"":889,""y"":612,""dx"":-82,""dy"":61,""t"":7586},{""x"":889,""y"":596,""dx"":-82,""dy"":45,""t"":7620},{""x"":880,""y"":590,""dx"":-91,""dy"":39,""t"":7654},{""x"":891,""y"":552,""dx"":-80,""dy"":1,""t"":7687},{""x"":916,""y"":552,""dx"":-55,""dy"":1,""t"":7721},{""x"":923,""y"":553,""dx"":-48,""dy"":2,""t"":7756},{""x"":942,""y"":552,""dx"":-29,""dy"":1,""t"":7791},{""x"":936,""y"":541,""dx"":-35,""dy"":-10,""t"":7823},{""x"":950,""y"":551,""dx"":-21,""dy"":0,""t"":7857},{""x"":960,""y"":545,""dx"":-11,""dy"":-6,""t"":7893},{""x"":973,""y"":546,""dx"":2,""dy"":-5,""t"":7925},{""x"":953,""y"":582,""dx"":-18,""dy"":31,""t"":7960},{""x"":955,""y"":582,""dx"":-16,""dy"":31,""t"":7994},{""x"":948,""y"":588,""dx"":-23,""dy"":37,""t"":8028},{""x"":958,""y"":551,""dx"":-13,""dy"":0,""t"":8062},{""x"":970,""y"":533,""dx"":-1,""dy"":-18,""t"":8095},{""x"":979,""y"":524,""dx"":8,""dy"":-27,""t"":8131},{""x"":958,""y"":542,""dx"":-13,""dy"":-9,""t"":8164},{""x"":940,""y"":558,""dx"":-31,""dy"":7,""t"":8195},{""x"":921,""y"":573,""dx"":-50,""dy"":22,""t"":8231},{""x"":917,""y"":576,""dx"":-54,""dy"":25,""t"":8265},{""x"":931,""y"":590,""dx"":-40,""dy"":39,""t"":8299},{""x"":939,""y"":594,""dx"":-32,""dy"":43,""t"":8334},{""x"":935,""y"":600,""dx"":-36,""dy"":49,""t"":8368},{""x"":940,""y"":584,""dx"":-31,""dy"":33,""t"":8403},{""x"":934,""y"":576,""dx"":-37,""dy"":25,""t"":8436},{""x"":936,""y"":579,""dx"":-35,""dy"":28,""t"":8469},{""x"":932,""y"":571,""dx"":-39,""dy"":20,""t"":8503},{""x"":916,""y"":556,""dx"":-55,""dy"":5,""t"":8538},{""x"":919,""y"":597,""dx"":-52,""dy"":46,""t"":8571},{""x"":905,""y"":587,""dx"":-66,""dy"":36,""t"":8604},{""x"":922,""y"":593,""dx"":-49,""dy"":42,""t"":8641},{""x"":926,""y"":604,""dx"":-45,""dy"":53,""t"":8674},{""x"":927,""y"":599,""dx"":-44,""dy"":48,""t"":8708},{""x"":937,""y"":584,""dx"":-34,""dy"":33,""t"":8742},{""x"":943,""y"":550,""dx"":-28,""dy"":-1,""t"":8776},{""x"":923,""y"":576,""dx"":-48,""dy"":25,""t"":8810},{""x"":943,""y"":595,""dx"":-28,""dy"":44,""t"":8844},{""x"":953,""y"":578,""dx"":-18,""dy"":27,""t"":8878},{""x"":919,""y"":586,""dx"":-52,""dy"":35,""t"":8912},{""x"":944,""y"":553,""dx"":-27,""dy"":2,""t"":8946},{""x"":956,""y"":541,""dx"":-15,""dy"":-10,""t"":8979},{""x"":977,""y"":537,""dx"":6,""dy"":-14,""t"":9014}],[{""x"":1444,""y"":303,""dx"":-7,""dy"":22,""t"":10035},{""x"":1441,""y"":297,""dx"":-10,""dy"":16,""t"":10069},{""x"":1443,""y"":309,""dx"":-8,""dy"":28,""t"":10101},{""x"":1445,""y"":313,""dx"":-6,""dy"":32,""t"":10135},{""x"":1453,""y"":337,""dx"":2,""dy"":56,""t"":10170},{""x"":1459,""y"":357,""dx"":8,""dy"":76,""t"":10201},{""x"":1462,""y"":370,""dx"":11,""dy"":89,""t"":10238},{""x"":1465,""y"":409,""dx"":14,""dy"":128,""t"":10271},{""x"":1458,""y"":439,""dx"":7,""dy"":158,""t"":10305},{""x"":1460,""y"":444,""dx"":9,""dy"":163,""t"":10340},{""x"":1457,""y"":481,""dx"":6,""dy"":200,""t"":10374},{""x"":1449,""y"":490,""dx"":-2,""dy"":209,""t"":10407},{""x"":1467,""y"":505,""dx"":16,""dy"":224,""t"":10441},{""x"":1462,""y"":498,""dx"":11,""dy"":217,""t"":10476},{""x"":1451,""y"":482,""dx"":0,""dy"":201,""t"":10511},{""x"":1454,""y"":466,""dx"":3,""dy"":185,""t"":10544},{""x"":1449,""y"":462,""dx"":-2,""dy"":181,""t"":10577},{""x"":1444,""y"":463,""dx"":-7,""dy"":182,""t"":10641},{""x"":1439,""y"":463,""dx"":-12,""dy"":182,""t"":10648},{""x"":1437,""y"":463,""dx"":-14,""dy"":182,""t"":10680},{""x"":1437,""y"":469,""dx"":-14,""dy"":188,""t"":10713},{""x"":1435,""y"":458,""dx"":-16,""dy"":177,""t"":10748},{""x"":1436,""y"":427,""dx"":-15,""dy"":146,""t"":10782},{""x"":1429,""y"":428,""dx"":-22,""dy"":147,""t"":10817},{""x"":1422,""y"":430,""dx"":-29,""dy"":149,""t"":10850},{""x"":1425,""y"":471,""dx"":-26,""dy"":190,""t"":10883},{""x"":1423,""y"":487,""dx"":-28,""dy"":206,""t"":10918},{""x"":1418,""y"":470,""dx"":-33,""dy"":189,""t"":10953},{""x"":1424,""y"":481,""dx"":-27,""dy"":200,""t"":10986},{""x"":1421,""y"":464,""dx"":-30,""dy"":183,""t"":11019},{""x"":1437,""y"":430,""dx"":-14,""dy"":149,""t"":11054},{""x"":1442,""y"":457,""dx"":-9,""dy"":176,""t"":11088},{""x"":1429,""y"":421,""dx"":-22,""dy"":140,""t"":11121},{""x"":1418,""y"":388,""dx"":-33,""dy"":107,""t"":11156},{""x"":1448,""y"":400,""dx"":-3,""dy"":119,""t"":11190},{""x"":1454,""y"":380,""dx"":3,""dy"":99,""t"":11223},{""x"":1443,""y"":375,""dx"":-8,""dy"":94,""t"":11258},{""x"":1432,""y"":353,""dx"":-19,""dy"":72,""t"":11292},{""x"":1436,""y"":377,""dx"":-15,""dy"":96,""t"":11326},{""x"":1439,""y"":373,""dx"":-12,""dy"":92,""t"":11359},{""x"":1434,""y"":424,""dx"":-17,""dy"":143,""t"":11394},{""x"":1437,""y"":431,""dx"":-14,""dy"":150,""t"":11428},{""x"":1442,""y"":461,""dx"":-9,""dy"":180,""t"":11462},{""x"":1441,""y"":476,""dx"":-10,""dy"":195,""t"":11495},{""x"":1444,""y"":486,""dx"":-7,""dy"":205,""t"":11529},{""x"":1430,""y"":495,""dx"":-21,""dy"":214,""t"":11563},{""x"":1405,""y"":445,""dx"":-46,""dy"":164,""t"":11598},{""x"":1404,""y"":482,""dx"":-47,""dy"":201,""t"":11631},{""x"":1407,""y"":466,""dx"":-44,""dy"":185,""t"":11665},{""x"":1422,""y"":445,""dx"":-29,""dy"":164,""t"":11700},{""x"":1424,""y"":429,""dx"":-27,""dy"":148,""t"":11733},{""x"":1426,""y"":450,""dx"":-25,""dy"":169,""t"":11765},{""x"":1439,""y"":460,""dx"":-12,""dy"":179,""t"":11803},{""x"":1432,""y"":430,""dx"":-19,""dy"":149,""t"":11836},{""x"":1427,""y"":452,""dx"":-24,""dy"":171,""t"":11870},{""x"":1397,""y"":395,""dx"":-54,""dy"":114,""t"":11904},{""x"":1397,""y"":396,""dx"":-54,""dy"":115,""t"":11937},{""x"":1395,""y"":411,""dx"":-56,""dy"":130,""t"":11971},{""x"":1400,""y"":409,""dx"":-51,""dy"":128,""t"":12006}],[{""x"":1390,""y"":792,""dx"":-61,""dy"":-29,""t"":13060},{""x"":1378,""y"":772,""dx"":-73,""dy"":-49,""t"":13094},{""x"":1380,""y"":797,""dx"":-71,""dy"":-24,""t"":13129},{""x"":1386,""y"":791,""dx"":-65,""dy"":-30,""t"":13162},{""x"":1385,""y"":756,""dx"":-66,""dy"":-65,""t"":13196},{""x"":1383,""y"":775,""dx"":-68,""dy"":-46,""t"":13229},{""x"":1375,""y"":779,""dx"":-76,""dy"":-42,""t"":13264},{""x"":1381,""y"":768,""dx"":-70,""dy"":-53,""t"":13297},{""x"":1365,""y"":787,""dx"":-86,""dy"":-34,""t"":13333},{""x"":1353,""y"":788,""dx"":-98,""dy"":-33,""t"":13363},{""x"":1363,""y"":773,""dx"":-88,""dy"":-48,""t"":13399},{""x"":1359,""y"":756,""dx"":-92,""dy"":-65,""t"":13433},{""x"":1357,""y"":763,""dx"":-94,""dy"":-58,""t"":13468},{""x"":1386,""y"":759,""dx"":-65,""dy"":-62,""t"":13501},{""x"":1382,""y"":757,""dx"":-69,""dy"":-64,""t"":13536},{""x"":1387,""y"":779,""dx"":-64,""dy"":-42,""t"":13571},{""x"":1390,""y"":773,""dx"":-61,""dy"":-48,""t"":13604},{""x"":1386,""y"":772,""dx"":-65,""dy"":-49,""t"":13637},{""x"":1375,""y"":775,""dx"":-76,""dy"":-46,""t"":13671},{""x"":1369,""y"":786,""dx"":-82,""dy"":-35,""t"":13706},{""x"":1376,""y"":791,""dx"":-75,""dy"":-30,""t"":13740},{""x"":1383,""y"":796,""dx"":-68,""dy"":-25,""t"":13772},{""x"":1401,""y"":792,""dx"":-50,""dy"":-29,""t"":13808},{""x"":1392,""y"":807,""dx"":-59,""dy"":-14,""t"":13841},{""x"":1381,""y"":792,""dx"":-70,""dy"":-29,""t"":13876},{""x"":1397,""y"":776,""dx"":-54,""dy"":-45,""t"":13910},{""x"":1417,""y"":762,""dx"":-34,""dy"":-59,""t"":13943},{""x"":1416,""y"":726,""dx"":-35,""dy"":-95,""t"":13978},{""x"":1419,""y"":714,""dx"":-32,""dy"":-107,""t"":14013},{""x"":1428,""y"":721,""dx"":-23,""dy"":-100,""t"":14046},{""x"":1429,""y"":724,""dx"":-22,""dy"":-97,""t"":14080},{""x"":1412,""y"":717,""dx"":-39,""dy"":-104,""t"":14115},{""x"":1419,""y"":718,""dx"":-32,""dy"":-103,""t"":14147},{""x"":1418,""y"":690,""dx"":-33,""dy"":-131,""t"":14181},{""x"":1410,""y"":709,""dx"":-41,""dy"":-112,""t"":14216},{""x"":1418,""y"":693,""dx"":-33,""dy"":-128,""t"":14250},{""x"":1425,""y"":731,""dx"":-26,""dy"":-90,""t"":14284},{""x"":1411,""y"":709,""dx"":-40,""dy"":-112,""t"":14318},{""x"":1404,""y"":732,""dx"":-47,""dy"":-89,""t"":14352},{""x"":1418,""y"":720,""dx"":-33,""dy"":-101,""t"":14386},{""x"":1423,""y"":725,""dx"":-28,""dy"":-96,""t"":14420},{""x"":1423,""y"":708,""dx"":-28,""dy"":-113,""t"":14453},{""x"":1415,""y"":701,""dx"":-36,""dy"":-120,""t"":14488},{""x"":1419,""y"":698,""dx"":-32,""dy"":-123,""t"":14522},{""x"":1420,""y"":696,""dx"":-31,""dy"":-125,""t"":14556},{""x"":1418,""y"":687,""dx"":-33,""dy"":-134,""t"":14589},{""x"":1422,""y"":674,""dx"":-29,""dy"":-147,""t"":14624},{""x"":1404,""y"":680,""dx"":-47,""dy"":-141,""t"":14659},{""x"":1388,""y"":690,""dx"":-63,""dy"":-131,""t"":14692},{""x"":1392,""y"":690,""dx"":-59,""dy"":-131,""t"":14726},{""x"":1397,""y"":695,""dx"":-54,""dy"":-126,""t"":14760},{""x"":1381,""y"":716,""dx"":-70,""dy"":-105,""t"":14794},{""x"":1399,""y"":706,""dx"":-52,""dy"":-115,""t"":14827},{""x"":1388,""y"":686,""dx"":-63,""dy"":-135,""t"":14862},{""x"":1398,""y"":684,""dx"":-53,""dy"":-137,""t"":14896},{""x"":1406,""y"":707,""dx"":-45,""dy"":-114,""t"":14929},{""x"":1398,""y"":765,""dx"":-53,""dy"":-56,""t"":14964},{""x"":1398,""y"":751,""dx"":-53,""dy"":-70,""t"":14997},{""x"":1403,""y"":745,""dx"":-48,""dy"":-76,""t"":15032}]]","[100,100,100,83.05084745762711,100]","[{""x"":52.25,""y"":65.26666666666667,""r"":55.04028002639846},{""x"":2.8983050847457625,""y"":-57.271186440677965,""r"":26.25008447203273},{""x"":-37.74576271186441,""y"":15.457627118644067,""r"":26.721466483761773},{""x"":-15.576271186440678,""y"":148.3728813559322,""r"":42.91236568852763},{""x"":-54.45762711864407,""y"":-79.94915254237289,""r"":40.207198207593166}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","",""
"","html-button-response","8","42232","0.0-4.0-0.0","510","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","43260","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""8"",""8"",""8"",""8"",""6"",""6"",""6"",""6"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""6"",""6"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""6"",""6"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""2"",""2""]","1000","shape","4","","","","","","","","","",""
