"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","3957","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","9865","0.0-1.0-0.0","5906","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","11865","0.0-1.0-1.0","1999","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","15593","0.0-2.0","","","","2192","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","16473","0.0-3.0-0.0","878","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","44610","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","45832","0.0-3.0-2.0","1222","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","62944","0.0-3.0-3.0","","","","","","[[{""x"":578,""y"":498,""dx"":87,""dy"":217,""t"":989},{""x"":693,""y"":587,""dx"":202,""dy"":306,""t"":1024},{""x"":673,""y"":604,""dx"":182,""dy"":323,""t"":1059},{""x"":649,""y"":603,""dx"":158,""dy"":322,""t"":1092},{""x"":626,""y"":545,""dx"":135,""dy"":264,""t"":1125},{""x"":610,""y"":495,""dx"":119,""dy"":214,""t"":1160},{""x"":566,""y"":461,""dx"":75,""dy"":180,""t"":1194},{""x"":548,""y"":413,""dx"":57,""dy"":132,""t"":1228},{""x"":546,""y"":379,""dx"":55,""dy"":98,""t"":1262},{""x"":509,""y"":348,""dx"":18,""dy"":67,""t"":1296},{""x"":491,""y"":303,""dx"":0,""dy"":22,""t"":1329},{""x"":492,""y"":305,""dx"":1,""dy"":24,""t"":1364},{""x"":456,""y"":294,""dx"":-35,""dy"":13,""t"":1397},{""x"":442,""y"":274,""dx"":-49,""dy"":-7,""t"":1432},{""x"":441,""y"":288,""dx"":-50,""dy"":7,""t"":1466},{""x"":442,""y"":282,""dx"":-49,""dy"":1,""t"":1500},{""x"":441,""y"":300,""dx"":-50,""dy"":19,""t"":1534},{""x"":434,""y"":301,""dx"":-57,""dy"":20,""t"":1568},{""x"":441,""y"":302,""dx"":-50,""dy"":21,""t"":1602},{""x"":444,""y"":302,""dx"":-47,""dy"":21,""t"":1636},{""x"":446,""y"":309,""dx"":-45,""dy"":28,""t"":1671},{""x"":453,""y"":293,""dx"":-38,""dy"":12,""t"":1703},{""x"":455,""y"":297,""dx"":-36,""dy"":16,""t"":1735},{""x"":460,""y"":312,""dx"":-31,""dy"":31,""t"":1772},{""x"":471,""y"":332,""dx"":-20,""dy"":51,""t"":1806},{""x"":480,""y"":349,""dx"":-11,""dy"":68,""t"":1840},{""x"":473,""y"":356,""dx"":-18,""dy"":75,""t"":1874},{""x"":475,""y"":357,""dx"":-16,""dy"":76,""t"":1908},{""x"":482,""y"":338,""dx"":-9,""dy"":57,""t"":1942},{""x"":475,""y"":336,""dx"":-16,""dy"":55,""t"":1975},{""x"":472,""y"":315,""dx"":-19,""dy"":34,""t"":2010},{""x"":483,""y"":327,""dx"":-8,""dy"":46,""t"":2044},{""x"":491,""y"":346,""dx"":0,""dy"":65,""t"":2078},{""x"":507,""y"":328,""dx"":16,""dy"":47,""t"":2109},{""x"":511,""y"":302,""dx"":20,""dy"":21,""t"":2146},{""x"":517,""y"":296,""dx"":26,""dy"":15,""t"":2180},{""x"":505,""y"":303,""dx"":14,""dy"":22,""t"":2214},{""x"":510,""y"":332,""dx"":19,""dy"":51,""t"":2247},{""x"":499,""y"":306,""dx"":8,""dy"":25,""t"":2282},{""x"":481,""y"":299,""dx"":-10,""dy"":18,""t"":2316},{""x"":472,""y"":327,""dx"":-19,""dy"":46,""t"":2350},{""x"":445,""y"":340,""dx"":-46,""dy"":59,""t"":2384},{""x"":453,""y"":332,""dx"":-38,""dy"":51,""t"":2418},{""x"":464,""y"":306,""dx"":-27,""dy"":25,""t"":2451},{""x"":467,""y"":299,""dx"":-24,""dy"":18,""t"":2486},{""x"":469,""y"":294,""dx"":-22,""dy"":13,""t"":2517},{""x"":474,""y"":292,""dx"":-17,""dy"":11,""t"":2554},{""x"":469,""y"":314,""dx"":-22,""dy"":33,""t"":2588},{""x"":469,""y"":329,""dx"":-22,""dy"":48,""t"":2622},{""x"":464,""y"":318,""dx"":-27,""dy"":37,""t"":2655},{""x"":462,""y"":309,""dx"":-29,""dy"":28,""t"":2690},{""x"":465,""y"":299,""dx"":-26,""dy"":18,""t"":2724},{""x"":471,""y"":330,""dx"":-20,""dy"":49,""t"":2758},{""x"":484,""y"":350,""dx"":-7,""dy"":69,""t"":2791},{""x"":476,""y"":349,""dx"":-15,""dy"":68,""t"":2825},{""x"":475,""y"":358,""dx"":-16,""dy"":77,""t"":2860},{""x"":478,""y"":319,""dx"":-13,""dy"":38,""t"":2893},{""x"":486,""y"":311,""dx"":-5,""dy"":30,""t"":2928},{""x"":507,""y"":309,""dx"":16,""dy"":28,""t"":2962},{""x"":501,""y"":329,""dx"":10,""dy"":48,""t"":2996}],[{""x"":550,""y"":778,""dx"":59,""dy"":-43,""t"":4016},{""x"":541,""y"":777,""dx"":50,""dy"":-44,""t"":4050},{""x"":537,""y"":785,""dx"":46,""dy"":-36,""t"":4084},{""x"":546,""y"":768,""dx"":55,""dy"":-53,""t"":4116},{""x"":525,""y"":740,""dx"":34,""dy"":-81,""t"":4151},{""x"":523,""y"":676,""dx"":32,""dy"":-145,""t"":4185},{""x"":554,""y"":673,""dx"":63,""dy"":-148,""t"":4219},{""x"":601,""y"":728,""dx"":110,""dy"":-93,""t"":4254},{""x"":602,""y"":758,""dx"":111,""dy"":-63,""t"":4288},{""x"":608,""y"":775,""dx"":117,""dy"":-46,""t"":4322},{""x"":596,""y"":783,""dx"":105,""dy"":-38,""t"":4356},{""x"":580,""y"":769,""dx"":89,""dy"":-52,""t"":4391},{""x"":575,""y"":763,""dx"":84,""dy"":-58,""t"":4423},{""x"":586,""y"":796,""dx"":95,""dy"":-25,""t"":4457},{""x"":583,""y"":793,""dx"":92,""dy"":-28,""t"":4492},{""x"":592,""y"":789,""dx"":101,""dy"":-32,""t"":4527},{""x"":588,""y"":757,""dx"":97,""dy"":-64,""t"":4559},{""x"":620,""y"":775,""dx"":129,""dy"":-46,""t"":4593},{""x"":599,""y"":748,""dx"":108,""dy"":-73,""t"":4628},{""x"":580,""y"":740,""dx"":89,""dy"":-81,""t"":4661},{""x"":578,""y"":712,""dx"":87,""dy"":-109,""t"":4696},{""x"":594,""y"":774,""dx"":103,""dy"":-47,""t"":4730},{""x"":575,""y"":733,""dx"":84,""dy"":-88,""t"":4765},{""x"":551,""y"":691,""dx"":60,""dy"":-130,""t"":4798},{""x"":534,""y"":660,""dx"":43,""dy"":-161,""t"":4832},{""x"":525,""y"":647,""dx"":34,""dy"":-174,""t"":4866},{""x"":533,""y"":621,""dx"":42,""dy"":-200,""t"":4900},{""x"":538,""y"":619,""dx"":47,""dy"":-202,""t"":4933},{""x"":551,""y"":588,""dx"":60,""dy"":-233,""t"":4968},{""x"":554,""y"":585,""dx"":63,""dy"":-236,""t"":5002},{""x"":538,""y"":577,""dx"":47,""dy"":-244,""t"":5036},{""x"":527,""y"":581,""dx"":36,""dy"":-240,""t"":5069},{""x"":507,""y"":579,""dx"":16,""dy"":-242,""t"":5104},{""x"":548,""y"":625,""dx"":57,""dy"":-196,""t"":5137},{""x"":528,""y"":631,""dx"":37,""dy"":-190,""t"":5173},{""x"":537,""y"":620,""dx"":46,""dy"":-201,""t"":5206},{""x"":526,""y"":615,""dx"":35,""dy"":-206,""t"":5239},{""x"":521,""y"":605,""dx"":30,""dy"":-216,""t"":5274},{""x"":518,""y"":596,""dx"":27,""dy"":-225,""t"":5305},{""x"":524,""y"":588,""dx"":33,""dy"":-233,""t"":5343},{""x"":493,""y"":576,""dx"":2,""dy"":-245,""t"":5376},{""x"":507,""y"":599,""dx"":16,""dy"":-222,""t"":5410},{""x"":506,""y"":603,""dx"":15,""dy"":-218,""t"":5444},{""x"":516,""y"":634,""dx"":25,""dy"":-187,""t"":5478},{""x"":540,""y"":681,""dx"":49,""dy"":-140,""t"":5511},{""x"":544,""y"":679,""dx"":53,""dy"":-142,""t"":5546},{""x"":543,""y"":672,""dx"":52,""dy"":-149,""t"":5580},{""x"":579,""y"":720,""dx"":88,""dy"":-101,""t"":5613},{""x"":584,""y"":732,""dx"":93,""dy"":-89,""t"":5647},{""x"":588,""y"":741,""dx"":97,""dy"":-80,""t"":5680},{""x"":579,""y"":714,""dx"":88,""dy"":-107,""t"":5716},{""x"":577,""y"":715,""dx"":86,""dy"":-106,""t"":5750},{""x"":568,""y"":700,""dx"":77,""dy"":-121,""t"":5783},{""x"":555,""y"":672,""dx"":64,""dy"":-149,""t"":5817},{""x"":556,""y"":658,""dx"":65,""dy"":-163,""t"":5852},{""x"":546,""y"":633,""dx"":55,""dy"":-188,""t"":5886},{""x"":554,""y"":630,""dx"":63,""dy"":-191,""t"":5919},{""x"":525,""y"":606,""dx"":34,""dy"":-215,""t"":5956},{""x"":550,""y"":662,""dx"":59,""dy"":-159,""t"":5994}],[{""x"":953,""y"":506,""dx"":-18,""dy"":-45,""t"":7041},{""x"":995,""y"":486,""dx"":24,""dy"":-65,""t"":7075},{""x"":1019,""y"":479,""dx"":48,""dy"":-72,""t"":7110},{""x"":987,""y"":492,""dx"":16,""dy"":-59,""t"":7143},{""x"":951,""y"":505,""dx"":-20,""dy"":-46,""t"":7178},{""x"":926,""y"":507,""dx"":-45,""dy"":-44,""t"":7212},{""x"":941,""y"":507,""dx"":-30,""dy"":-44,""t"":7245},{""x"":956,""y"":507,""dx"":-15,""dy"":-44,""t"":7278},{""x"":974,""y"":524,""dx"":3,""dy"":-27,""t"":7314},{""x"":964,""y"":551,""dx"":-7,""dy"":0,""t"":7348},{""x"":985,""y"":542,""dx"":14,""dy"":-9,""t"":7382},{""x"":1000,""y"":541,""dx"":29,""dy"":-10,""t"":7415},{""x"":1007,""y"":533,""dx"":36,""dy"":-18,""t"":7450},{""x"":992,""y"":576,""dx"":21,""dy"":25,""t"":7484},{""x"":1000,""y"":551,""dx"":29,""dy"":0,""t"":7518},{""x"":984,""y"":584,""dx"":13,""dy"":33,""t"":7551},{""x"":994,""y"":562,""dx"":23,""dy"":11,""t"":7585},{""x"":997,""y"":538,""dx"":26,""dy"":-13,""t"":7619},{""x"":974,""y"":564,""dx"":3,""dy"":13,""t"":7654},{""x"":975,""y"":548,""dx"":4,""dy"":-3,""t"":7687},{""x"":988,""y"":529,""dx"":17,""dy"":-22,""t"":7721},{""x"":967,""y"":572,""dx"":-4,""dy"":21,""t"":7757},{""x"":985,""y"":570,""dx"":14,""dy"":19,""t"":7791},{""x"":1011,""y"":554,""dx"":40,""dy"":3,""t"":7824},{""x"":1015,""y"":534,""dx"":44,""dy"":-17,""t"":7857},{""x"":988,""y"":475,""dx"":17,""dy"":-76,""t"":7892},{""x"":969,""y"":515,""dx"":-2,""dy"":-36,""t"":7925},{""x"":940,""y"":509,""dx"":-31,""dy"":-42,""t"":7960},{""x"":918,""y"":494,""dx"":-53,""dy"":-57,""t"":7993},{""x"":900,""y"":483,""dx"":-71,""dy"":-68,""t"":8028},{""x"":892,""y"":484,""dx"":-79,""dy"":-67,""t"":8063},{""x"":926,""y"":510,""dx"":-45,""dy"":-41,""t"":8097},{""x"":951,""y"":511,""dx"":-20,""dy"":-40,""t"":8130},{""x"":938,""y"":538,""dx"":-33,""dy"":-13,""t"":8164},{""x"":910,""y"":520,""dx"":-61,""dy"":-31,""t"":8198},{""x"":890,""y"":512,""dx"":-81,""dy"":-39,""t"":8231},{""x"":918,""y"":507,""dx"":-53,""dy"":-44,""t"":8265},{""x"":941,""y"":498,""dx"":-30,""dy"":-53,""t"":8301},{""x"":962,""y"":516,""dx"":-9,""dy"":-35,""t"":8334},{""x"":978,""y"":538,""dx"":7,""dy"":-13,""t"":8368},{""x"":997,""y"":511,""dx"":26,""dy"":-40,""t"":8402},{""x"":998,""y"":503,""dx"":27,""dy"":-48,""t"":8435},{""x"":995,""y"":496,""dx"":24,""dy"":-55,""t"":8470},{""x"":984,""y"":537,""dx"":13,""dy"":-14,""t"":8505},{""x"":1007,""y"":516,""dx"":36,""dy"":-35,""t"":8538},{""x"":981,""y"":500,""dx"":10,""dy"":-51,""t"":8571},{""x"":978,""y"":529,""dx"":7,""dy"":-22,""t"":8606},{""x"":971,""y"":528,""dx"":0,""dy"":-23,""t"":8641},{""x"":970,""y"":552,""dx"":-1,""dy"":1,""t"":8674},{""x"":983,""y"":534,""dx"":12,""dy"":-17,""t"":8708},{""x"":964,""y"":554,""dx"":-7,""dy"":3,""t"":8743},{""x"":933,""y"":579,""dx"":-38,""dy"":28,""t"":8775},{""x"":908,""y"":577,""dx"":-63,""dy"":26,""t"":8810},{""x"":939,""y"":545,""dx"":-32,""dy"":-6,""t"":8844},{""x"":970,""y"":517,""dx"":-1,""dy"":-34,""t"":8875},{""x"":969,""y"":495,""dx"":-2,""dy"":-56,""t"":8911},{""x"":954,""y"":566,""dx"":-17,""dy"":15,""t"":8945},{""x"":946,""y"":555,""dx"":-25,""dy"":4,""t"":8980},{""x"":921,""y"":553,""dx"":-50,""dy"":2,""t"":9014}],[{""x"":1356,""y"":236,""dx"":-95,""dy"":-45,""t"":10034},{""x"":1353,""y"":204,""dx"":-98,""dy"":-77,""t"":10068},{""x"":1352,""y"":169,""dx"":-99,""dy"":-112,""t"":10102},{""x"":1351,""y"":148,""dx"":-100,""dy"":-133,""t"":10136},{""x"":1353,""y"":138,""dx"":-98,""dy"":-143,""t"":10170},{""x"":1352,""y"":151,""dx"":-99,""dy"":-130,""t"":10203},{""x"":1331,""y"":144,""dx"":-120,""dy"":-137,""t"":10238},{""x"":1323,""y"":149,""dx"":-128,""dy"":-132,""t"":10272},{""x"":1315,""y"":148,""dx"":-136,""dy"":-133,""t"":10306},{""x"":1318,""y"":156,""dx"":-133,""dy"":-125,""t"":10341},{""x"":1316,""y"":185,""dx"":-135,""dy"":-96,""t"":10374},{""x"":1331,""y"":196,""dx"":-120,""dy"":-85,""t"":10407},{""x"":1344,""y"":205,""dx"":-107,""dy"":-76,""t"":10439},{""x"":1348,""y"":219,""dx"":-103,""dy"":-62,""t"":10476},{""x"":1349,""y"":230,""dx"":-102,""dy"":-51,""t"":10510},{""x"":1359,""y"":228,""dx"":-92,""dy"":-53,""t"":10544},{""x"":1370,""y"":240,""dx"":-81,""dy"":-41,""t"":10578},{""x"":1382,""y"":257,""dx"":-69,""dy"":-24,""t"":10612},{""x"":1362,""y"":251,""dx"":-89,""dy"":-30,""t"":10646},{""x"":1363,""y"":249,""dx"":-88,""dy"":-32,""t"":10679},{""x"":1370,""y"":254,""dx"":-81,""dy"":-27,""t"":10714},{""x"":1368,""y"":240,""dx"":-83,""dy"":-41,""t"":10748},{""x"":1385,""y"":253,""dx"":-66,""dy"":-28,""t"":10782},{""x"":1368,""y"":226,""dx"":-83,""dy"":-55,""t"":10816},{""x"":1340,""y"":201,""dx"":-111,""dy"":-80,""t"":10848},{""x"":1356,""y"":203,""dx"":-95,""dy"":-78,""t"":10884},{""x"":1360,""y"":237,""dx"":-91,""dy"":-44,""t"":10917},{""x"":1369,""y"":249,""dx"":-82,""dy"":-32,""t"":10951},{""x"":1389,""y"":270,""dx"":-62,""dy"":-11,""t"":10985},{""x"":1388,""y"":290,""dx"":-63,""dy"":9,""t"":11020},{""x"":1387,""y"":267,""dx"":-64,""dy"":-14,""t"":11053},{""x"":1384,""y"":254,""dx"":-67,""dy"":-27,""t"":11088},{""x"":1388,""y"":269,""dx"":-63,""dy"":-12,""t"":11123},{""x"":1391,""y"":262,""dx"":-60,""dy"":-19,""t"":11156},{""x"":1391,""y"":263,""dx"":-60,""dy"":-18,""t"":11191},{""x"":1385,""y"":265,""dx"":-66,""dy"":-16,""t"":11224},{""x"":1390,""y"":310,""dx"":-61,""dy"":29,""t"":11257},{""x"":1386,""y"":291,""dx"":-65,""dy"":10,""t"":11291},{""x"":1391,""y"":347,""dx"":-60,""dy"":66,""t"":11325},{""x"":1394,""y"":334,""dx"":-57,""dy"":53,""t"":11359},{""x"":1387,""y"":321,""dx"":-64,""dy"":40,""t"":11393},{""x"":1372,""y"":313,""dx"":-79,""dy"":32,""t"":11427},{""x"":1373,""y"":319,""dx"":-78,""dy"":38,""t"":11462},{""x"":1373,""y"":312,""dx"":-78,""dy"":31,""t"":11495},{""x"":1368,""y"":320,""dx"":-83,""dy"":39,""t"":11530},{""x"":1385,""y"":300,""dx"":-66,""dy"":19,""t"":11563},{""x"":1387,""y"":299,""dx"":-64,""dy"":18,""t"":11598},{""x"":1392,""y"":349,""dx"":-59,""dy"":68,""t"":11633},{""x"":1391,""y"":340,""dx"":-60,""dy"":59,""t"":11665},{""x"":1390,""y"":335,""dx"":-61,""dy"":54,""t"":11699},{""x"":1399,""y"":331,""dx"":-52,""dy"":50,""t"":11734},{""x"":1386,""y"":355,""dx"":-65,""dy"":74,""t"":11768},{""x"":1379,""y"":342,""dx"":-72,""dy"":61,""t"":11801},{""x"":1363,""y"":321,""dx"":-88,""dy"":40,""t"":11835},{""x"":1361,""y"":308,""dx"":-90,""dy"":27,""t"":11869},{""x"":1356,""y"":289,""dx"":-95,""dy"":8,""t"":11904},{""x"":1370,""y"":281,""dx"":-81,""dy"":0,""t"":11937},{""x"":1391,""y"":325,""dx"":-60,""dy"":44,""t"":11971},{""x"":1389,""y"":310,""dx"":-62,""dy"":29,""t"":12006},{""x"":1404,""y"":363,""dx"":-47,""dy"":82,""t"":12039}],[{""x"":1316,""y"":824,""dx"":-135,""dy"":3,""t"":13059},{""x"":1314,""y"":812,""dx"":-137,""dy"":-9,""t"":13094},{""x"":1309,""y"":809,""dx"":-142,""dy"":-12,""t"":13128},{""x"":1296,""y"":802,""dx"":-155,""dy"":-19,""t"":13163},{""x"":1321,""y"":806,""dx"":-130,""dy"":-15,""t"":13197},{""x"":1303,""y"":821,""dx"":-148,""dy"":0,""t"":13229},{""x"":1289,""y"":821,""dx"":-162,""dy"":0,""t"":13263},{""x"":1322,""y"":810,""dx"":-129,""dy"":-11,""t"":13298},{""x"":1343,""y"":776,""dx"":-108,""dy"":-45,""t"":13333},{""x"":1316,""y"":787,""dx"":-135,""dy"":-34,""t"":13366},{""x"":1338,""y"":769,""dx"":-113,""dy"":-52,""t"":13399},{""x"":1310,""y"":788,""dx"":-141,""dy"":-33,""t"":13434},{""x"":1306,""y"":780,""dx"":-145,""dy"":-41,""t"":13468},{""x"":1287,""y"":793,""dx"":-164,""dy"":-28,""t"":13502},{""x"":1305,""y"":811,""dx"":-146,""dy"":-10,""t"":13536},{""x"":1318,""y"":804,""dx"":-133,""dy"":-17,""t"":13569},{""x"":1311,""y"":798,""dx"":-140,""dy"":-23,""t"":13604},{""x"":1303,""y"":802,""dx"":-148,""dy"":-19,""t"":13639},{""x"":1317,""y"":808,""dx"":-134,""dy"":-13,""t"":13671},{""x"":1327,""y"":818,""dx"":-124,""dy"":-3,""t"":13706},{""x"":1321,""y"":801,""dx"":-130,""dy"":-20,""t"":13739},{""x"":1299,""y"":788,""dx"":-152,""dy"":-33,""t"":13774},{""x"":1279,""y"":782,""dx"":-172,""dy"":-39,""t"":13808},{""x"":1297,""y"":746,""dx"":-154,""dy"":-75,""t"":13841},{""x"":1309,""y"":758,""dx"":-142,""dy"":-63,""t"":13875},{""x"":1305,""y"":741,""dx"":-146,""dy"":-80,""t"":13910},{""x"":1317,""y"":741,""dx"":-134,""dy"":-80,""t"":13943},{""x"":1299,""y"":765,""dx"":-152,""dy"":-56,""t"":13977},{""x"":1295,""y"":762,""dx"":-156,""dy"":-59,""t"":14009},{""x"":1316,""y"":790,""dx"":-135,""dy"":-31,""t"":14046},{""x"":1329,""y"":752,""dx"":-122,""dy"":-69,""t"":14079},{""x"":1333,""y"":749,""dx"":-118,""dy"":-72,""t"":14114},{""x"":1343,""y"":755,""dx"":-108,""dy"":-66,""t"":14149},{""x"":1311,""y"":783,""dx"":-140,""dy"":-38,""t"":14182},{""x"":1328,""y"":784,""dx"":-123,""dy"":-37,""t"":14215},{""x"":1310,""y"":803,""dx"":-141,""dy"":-18,""t"":14250},{""x"":1324,""y"":813,""dx"":-127,""dy"":-8,""t"":14283},{""x"":1328,""y"":797,""dx"":-123,""dy"":-24,""t"":14318},{""x"":1330,""y"":817,""dx"":-121,""dy"":-4,""t"":14352},{""x"":1340,""y"":826,""dx"":-111,""dy"":5,""t"":14386},{""x"":1352,""y"":810,""dx"":-99,""dy"":-11,""t"":14419},{""x"":1324,""y"":818,""dx"":-127,""dy"":-3,""t"":14454},{""x"":1311,""y"":800,""dx"":-140,""dy"":-21,""t"":14487},{""x"":1308,""y"":762,""dx"":-143,""dy"":-59,""t"":14522},{""x"":1312,""y"":762,""dx"":-139,""dy"":-59,""t"":14556},{""x"":1330,""y"":733,""dx"":-121,""dy"":-88,""t"":14590},{""x"":1324,""y"":771,""dx"":-127,""dy"":-50,""t"":14624},{""x"":1336,""y"":775,""dx"":-115,""dy"":-46,""t"":14658},{""x"":1323,""y"":752,""dx"":-128,""dy"":-69,""t"":14691},{""x"":1302,""y"":745,""dx"":-149,""dy"":-76,""t"":14725},{""x"":1293,""y"":740,""dx"":-158,""dy"":-81,""t"":14760},{""x"":1316,""y"":754,""dx"":-135,""dy"":-67,""t"":14794},{""x"":1291,""y"":769,""dx"":-160,""dy"":-52,""t"":14828},{""x"":1285,""y"":760,""dx"":-166,""dy"":-61,""t"":14861},{""x"":1298,""y"":795,""dx"":-153,""dy"":-26,""t"":14896},{""x"":1267,""y"":860,""dx"":-184,""dy"":39,""t"":14929},{""x"":1284,""y"":823,""dx"":-167,""dy"":2,""t"":14965},{""x"":1274,""y"":847,""dx"":-177,""dy"":26,""t"":14997},{""x"":1275,""y"":805,""dx"":-176,""dy"":-16,""t"":15032}]]","[90,69.49152542372882,100,100,100]","[{""x"":2.65,""y"":64.51666666666667,""r"":70.59491796866836},{""x"":63.28813559322034,""y"":-135.4915254237288,""r"":68.47394067501624},{""x"":-6.101694915254237,""y"":-23.559322033898304,""r"":37.67525551218793},{""x"":-82.26666666666667,""y"":-20.65,""r"":79.56476674742808},{""x"":-139.66101694915255,""y"":-33.32203389830509,""r"":28.310894562582092}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.39","validate","","","","","","","","","","","","","",""
"","html-button-response","8","63592","0.0-4.0-0.0","646","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的""4"", ""7"", ""9"", ""6"", ""3"", ""1""进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","64600","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""6"",""6"",""1"",""1"",""6"",""6"",""1"",""1"",""6"",""6"",""7"",""7"",""1"",""1"",""9"",""9"",""9"",""9"",""6"",""6"",""7"",""7"",""9"",""9"",""3"",""3"",""4"",""4"",""3"",""3"",""1"",""1"",""7"",""7"",""9"",""9"",""3"",""3"",""6"",""6"",""3"",""3"",""9"",""9"",""3"",""3"",""7"",""7"",""9"",""9"",""3"",""3"",""4"",""4"",""1"",""1"",""4"",""4"",""6"",""6"",""4"",""4"",""4"",""4"",""4"",""4"",""7"",""7"",""1"",""1"",""7"",""7""]","1000","color","6","","","","","","","","","",""
