"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","4632","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","9800","0.0-1.0-0.0","5166","{""name"":""王炜"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","11151","0.0-1.0-1.0","1350","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","16863","0.0-2.0","","","","2167","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","17600","0.0-3.0-0.0","734","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","27659","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","28447","0.0-3.0-2.0","787","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","45896","0.0-3.0-3.0","","","","","","[[{""x"":468,""y"":294,""dx"":-23,""dy"":13,""t"":990},{""x"":467,""y"":290,""dx"":-24,""dy"":9,""t"":1024},{""x"":488,""y"":287,""dx"":-3,""dy"":6,""t"":1058},{""x"":502,""y"":284,""dx"":11,""dy"":3,""t"":1092},{""x"":508,""y"":287,""dx"":17,""dy"":6,""t"":1126},{""x"":529,""y"":291,""dx"":38,""dy"":10,""t"":1160},{""x"":554,""y"":288,""dx"":63,""dy"":7,""t"":1193},{""x"":547,""y"":295,""dx"":56,""dy"":14,""t"":1227},{""x"":565,""y"":320,""dx"":74,""dy"":39,""t"":1262},{""x"":574,""y"":338,""dx"":83,""dy"":57,""t"":1296},{""x"":572,""y"":353,""dx"":81,""dy"":72,""t"":1331},{""x"":543,""y"":338,""dx"":52,""dy"":57,""t"":1363},{""x"":515,""y"":311,""dx"":24,""dy"":30,""t"":1397},{""x"":522,""y"":326,""dx"":31,""dy"":45,""t"":1431},{""x"":505,""y"":312,""dx"":14,""dy"":31,""t"":1466},{""x"":492,""y"":291,""dx"":1,""dy"":10,""t"":1499},{""x"":485,""y"":287,""dx"":-6,""dy"":6,""t"":1534},{""x"":470,""y"":276,""dx"":-21,""dy"":-5,""t"":1568},{""x"":472,""y"":279,""dx"":-19,""dy"":-2,""t"":1602},{""x"":464,""y"":274,""dx"":-27,""dy"":-7,""t"":1640},{""x"":469,""y"":290,""dx"":-22,""dy"":9,""t"":1672},{""x"":499,""y"":314,""dx"":8,""dy"":33,""t"":1703},{""x"":519,""y"":304,""dx"":28,""dy"":23,""t"":1738},{""x"":536,""y"":295,""dx"":45,""dy"":14,""t"":1770},{""x"":552,""y"":318,""dx"":61,""dy"":37,""t"":1807},{""x"":534,""y"":329,""dx"":43,""dy"":48,""t"":1840},{""x"":536,""y"":334,""dx"":45,""dy"":53,""t"":1874},{""x"":543,""y"":354,""dx"":52,""dy"":73,""t"":1908},{""x"":548,""y"":353,""dx"":57,""dy"":72,""t"":1941},{""x"":558,""y"":357,""dx"":67,""dy"":76,""t"":1976},{""x"":558,""y"":357,""dx"":67,""dy"":76,""t"":2011},{""x"":561,""y"":367,""dx"":70,""dy"":86,""t"":2044},{""x"":557,""y"":359,""dx"":66,""dy"":78,""t"":2078},{""x"":551,""y"":351,""dx"":60,""dy"":70,""t"":2112},{""x"":548,""y"":351,""dx"":57,""dy"":70,""t"":2147},{""x"":559,""y"":363,""dx"":68,""dy"":82,""t"":2177},{""x"":573,""y"":370,""dx"":82,""dy"":89,""t"":2215},{""x"":564,""y"":346,""dx"":73,""dy"":65,""t"":2248},{""x"":576,""y"":343,""dx"":85,""dy"":62,""t"":2282},{""x"":588,""y"":351,""dx"":97,""dy"":70,""t"":2317},{""x"":585,""y"":363,""dx"":94,""dy"":82,""t"":2350},{""x"":590,""y"":373,""dx"":99,""dy"":92,""t"":2383},{""x"":597,""y"":384,""dx"":106,""dy"":103,""t"":2418},{""x"":585,""y"":359,""dx"":94,""dy"":78,""t"":2451},{""x"":595,""y"":358,""dx"":104,""dy"":77,""t"":2486},{""x"":586,""y"":349,""dx"":95,""dy"":68,""t"":2519},{""x"":578,""y"":338,""dx"":87,""dy"":57,""t"":2554},{""x"":568,""y"":334,""dx"":77,""dy"":53,""t"":2588},{""x"":564,""y"":329,""dx"":73,""dy"":48,""t"":2622},{""x"":565,""y"":343,""dx"":74,""dy"":62,""t"":2656},{""x"":558,""y"":332,""dx"":67,""dy"":51,""t"":2690},{""x"":541,""y"":324,""dx"":50,""dy"":43,""t"":2724},{""x"":534,""y"":323,""dx"":43,""dy"":42,""t"":2758},{""x"":518,""y"":340,""dx"":27,""dy"":59,""t"":2792},{""x"":530,""y"":391,""dx"":39,""dy"":110,""t"":2827},{""x"":543,""y"":427,""dx"":52,""dy"":146,""t"":2860},{""x"":551,""y"":438,""dx"":60,""dy"":157,""t"":2893},{""x"":561,""y"":475,""dx"":70,""dy"":194,""t"":2927},{""x"":571,""y"":513,""dx"":80,""dy"":232,""t"":2962},{""x"":566,""y"":538,""dx"":75,""dy"":257,""t"":2996}],[{""x"":653,""y"":909,""dx"":162,""dy"":88,""t"":4016},{""x"":665,""y"":934,""dx"":174,""dy"":113,""t"":4050},{""x"":674,""y"":927,""dx"":183,""dy"":106,""t"":4084},{""x"":666,""y"":925,""dx"":175,""dy"":104,""t"":4118},{""x"":669,""y"":921,""dx"":178,""dy"":100,""t"":4151},{""x"":673,""y"":915,""dx"":182,""dy"":94,""t"":4186},{""x"":668,""y"":921,""dx"":177,""dy"":100,""t"":4220},{""x"":669,""y"":918,""dx"":178,""dy"":97,""t"":4253},{""x"":672,""y"":926,""dx"":181,""dy"":105,""t"":4287},{""x"":680,""y"":907,""dx"":189,""dy"":86,""t"":4321},{""x"":692,""y"":909,""dx"":201,""dy"":88,""t"":4356},{""x"":678,""y"":896,""dx"":187,""dy"":75,""t"":4391},{""x"":675,""y"":891,""dx"":184,""dy"":70,""t"":4423},{""x"":652,""y"":872,""dx"":161,""dy"":51,""t"":4457},{""x"":638,""y"":864,""dx"":147,""dy"":43,""t"":4492},{""x"":641,""y"":853,""dx"":150,""dy"":32,""t"":4525},{""x"":632,""y"":851,""dx"":141,""dy"":30,""t"":4560},{""x"":633,""y"":860,""dx"":142,""dy"":39,""t"":4594},{""x"":626,""y"":861,""dx"":135,""dy"":40,""t"":4627},{""x"":603,""y"":856,""dx"":112,""dy"":35,""t"":4663},{""x"":583,""y"":844,""dx"":92,""dy"":23,""t"":4696},{""x"":591,""y"":843,""dx"":100,""dy"":22,""t"":4729},{""x"":615,""y"":863,""dx"":124,""dy"":42,""t"":4763},{""x"":600,""y"":844,""dx"":109,""dy"":23,""t"":4798},{""x"":507,""y"":752,""dx"":16,""dy"":-69,""t"":4831},{""x"":466,""y"":680,""dx"":-25,""dy"":-141,""t"":4865},{""x"":456,""y"":684,""dx"":-35,""dy"":-137,""t"":4899},{""x"":513,""y"":734,""dx"":22,""dy"":-87,""t"":4934},{""x"":551,""y"":770,""dx"":60,""dy"":-51,""t"":4968},{""x"":593,""y"":785,""dx"":102,""dy"":-36,""t"":5002},{""x"":617,""y"":800,""dx"":126,""dy"":-21,""t"":5036},{""x"":634,""y"":808,""dx"":143,""dy"":-13,""t"":5070},{""x"":654,""y"":831,""dx"":163,""dy"":10,""t"":5105},{""x"":691,""y"":856,""dx"":200,""dy"":35,""t"":5137},{""x"":698,""y"":864,""dx"":207,""dy"":43,""t"":5171},{""x"":734,""y"":881,""dx"":243,""dy"":60,""t"":5207},{""x"":742,""y"":886,""dx"":251,""dy"":65,""t"":5240},{""x"":733,""y"":895,""dx"":242,""dy"":74,""t"":5274},{""x"":710,""y"":906,""dx"":219,""dy"":85,""t"":5308},{""x"":699,""y"":900,""dx"":208,""dy"":79,""t"":5340},{""x"":687,""y"":897,""dx"":196,""dy"":76,""t"":5376},{""x"":684,""y"":903,""dx"":193,""dy"":82,""t"":5410},{""x"":674,""y"":901,""dx"":183,""dy"":80,""t"":5444},{""x"":673,""y"":899,""dx"":182,""dy"":78,""t"":5477},{""x"":638,""y"":899,""dx"":147,""dy"":78,""t"":5512},{""x"":641,""y"":879,""dx"":150,""dy"":58,""t"":5546},{""x"":633,""y"":874,""dx"":142,""dy"":53,""t"":5581},{""x"":620,""y"":875,""dx"":129,""dy"":54,""t"":5613},{""x"":632,""y"":865,""dx"":141,""dy"":44,""t"":5648},{""x"":649,""y"":871,""dx"":158,""dy"":50,""t"":5682},{""x"":636,""y"":866,""dx"":145,""dy"":45,""t"":5716},{""x"":636,""y"":870,""dx"":145,""dy"":49,""t"":5750},{""x"":620,""y"":865,""dx"":129,""dy"":44,""t"":5784},{""x"":604,""y"":858,""dx"":113,""dy"":37,""t"":5817},{""x"":604,""y"":851,""dx"":113,""dy"":30,""t"":5853},{""x"":599,""y"":854,""dx"":108,""dy"":33,""t"":5886},{""x"":590,""y"":844,""dx"":99,""dy"":23,""t"":5919},{""x"":575,""y"":850,""dx"":84,""dy"":29,""t"":5954},{""x"":572,""y"":851,""dx"":81,""dy"":30,""t"":5988}],[{""x"":1043,""y"":679,""dx"":72,""dy"":128,""t"":7042},{""x"":1042,""y"":687,""dx"":71,""dy"":136,""t"":7075},{""x"":1059,""y"":691,""dx"":88,""dy"":140,""t"":7109},{""x"":1054,""y"":702,""dx"":83,""dy"":151,""t"":7144},{""x"":1060,""y"":720,""dx"":89,""dy"":169,""t"":7178},{""x"":1055,""y"":722,""dx"":84,""dy"":171,""t"":7211},{""x"":1058,""y"":713,""dx"":87,""dy"":162,""t"":7245},{""x"":1046,""y"":707,""dx"":75,""dy"":156,""t"":7280},{""x"":1034,""y"":702,""dx"":63,""dy"":151,""t"":7311},{""x"":1026,""y"":694,""dx"":55,""dy"":143,""t"":7348},{""x"":1009,""y"":696,""dx"":38,""dy"":145,""t"":7382},{""x"":1019,""y"":692,""dx"":48,""dy"":141,""t"":7416},{""x"":1013,""y"":682,""dx"":42,""dy"":131,""t"":7451},{""x"":1007,""y"":671,""dx"":36,""dy"":120,""t"":7483},{""x"":1023,""y"":673,""dx"":52,""dy"":122,""t"":7517},{""x"":1033,""y"":676,""dx"":62,""dy"":125,""t"":7551},{""x"":1042,""y"":679,""dx"":71,""dy"":128,""t"":7586},{""x"":1028,""y"":667,""dx"":57,""dy"":116,""t"":7619},{""x"":1025,""y"":669,""dx"":54,""dy"":118,""t"":7653},{""x"":1005,""y"":662,""dx"":34,""dy"":111,""t"":7687},{""x"":990,""y"":659,""dx"":19,""dy"":108,""t"":7722},{""x"":993,""y"":686,""dx"":22,""dy"":135,""t"":7757},{""x"":961,""y"":736,""dx"":-10,""dy"":185,""t"":7790},{""x"":892,""y"":731,""dx"":-79,""dy"":180,""t"":7824},{""x"":878,""y"":786,""dx"":-93,""dy"":235,""t"":7858},{""x"":917,""y"":808,""dx"":-54,""dy"":257,""t"":7892},{""x"":944,""y"":825,""dx"":-27,""dy"":274,""t"":7926},{""x"":938,""y"":807,""dx"":-33,""dy"":256,""t"":7961},{""x"":954,""y"":779,""dx"":-17,""dy"":228,""t"":7994},{""x"":967,""y"":759,""dx"":-4,""dy"":208,""t"":8028},{""x"":980,""y"":727,""dx"":9,""dy"":176,""t"":8062},{""x"":975,""y"":712,""dx"":4,""dy"":161,""t"":8096},{""x"":985,""y"":692,""dx"":14,""dy"":141,""t"":8131},{""x"":1017,""y"":686,""dx"":46,""dy"":135,""t"":8163},{""x"":1014,""y"":667,""dx"":43,""dy"":116,""t"":8199},{""x"":964,""y"":654,""dx"":-7,""dy"":103,""t"":8231},{""x"":963,""y"":651,""dx"":-8,""dy"":100,""t"":8266},{""x"":954,""y"":650,""dx"":-17,""dy"":99,""t"":8300},{""x"":964,""y"":641,""dx"":-7,""dy"":90,""t"":8333},{""x"":964,""y"":637,""dx"":-7,""dy"":86,""t"":8367},{""x"":974,""y"":630,""dx"":3,""dy"":79,""t"":8402},{""x"":979,""y"":620,""dx"":8,""dy"":69,""t"":8436},{""x"":853,""y"":617,""dx"":-118,""dy"":66,""t"":8469},{""x"":734,""y"":603,""dx"":-237,""dy"":52,""t"":8501},{""x"":596,""y"":557,""dx"":-375,""dy"":6,""t"":8538},{""x"":541,""y"":543,""dx"":-430,""dy"":-8,""t"":8571},{""x"":581,""y"":604,""dx"":-390,""dy"":53,""t"":8606},{""x"":684,""y"":651,""dx"":-287,""dy"":100,""t"":8639},{""x"":766,""y"":686,""dx"":-205,""dy"":135,""t"":8673},{""x"":848,""y"":708,""dx"":-123,""dy"":157,""t"":8708},{""x"":892,""y"":695,""dx"":-79,""dy"":144,""t"":8741},{""x"":945,""y"":689,""dx"":-26,""dy"":138,""t"":8776},{""x"":992,""y"":691,""dx"":21,""dy"":140,""t"":8810},{""x"":1009,""y"":684,""dx"":38,""dy"":133,""t"":8844},{""x"":1034,""y"":671,""dx"":63,""dy"":120,""t"":8875},{""x"":1041,""y"":665,""dx"":70,""dy"":114,""t"":8912},{""x"":1057,""y"":652,""dx"":86,""dy"":101,""t"":8946},{""x"":1065,""y"":648,""dx"":94,""dy"":97,""t"":8980},{""x"":1045,""y"":641,""dx"":74,""dy"":90,""t"":9015}],[{""x"":1443,""y"":379,""dx"":-8,""dy"":98,""t"":10034},{""x"":1446,""y"":372,""dx"":-5,""dy"":91,""t"":10067},{""x"":1443,""y"":378,""dx"":-8,""dy"":97,""t"":10102},{""x"":1451,""y"":386,""dx"":0,""dy"":105,""t"":10136},{""x"":1453,""y"":384,""dx"":2,""dy"":103,""t"":10170},{""x"":1463,""y"":375,""dx"":12,""dy"":94,""t"":10204},{""x"":1474,""y"":379,""dx"":23,""dy"":98,""t"":10238},{""x"":1488,""y"":375,""dx"":37,""dy"":94,""t"":10272},{""x"":1497,""y"":365,""dx"":46,""dy"":84,""t"":10307},{""x"":1507,""y"":362,""dx"":56,""dy"":81,""t"":10339},{""x"":1531,""y"":367,""dx"":80,""dy"":86,""t"":10373},{""x"":1546,""y"":393,""dx"":95,""dy"":112,""t"":10409},{""x"":1542,""y"":381,""dx"":91,""dy"":100,""t"":10442},{""x"":1544,""y"":388,""dx"":93,""dy"":107,""t"":10476},{""x"":1555,""y"":401,""dx"":104,""dy"":120,""t"":10508},{""x"":1535,""y"":375,""dx"":84,""dy"":94,""t"":10545},{""x"":1549,""y"":386,""dx"":98,""dy"":105,""t"":10578},{""x"":1559,""y"":388,""dx"":108,""dy"":107,""t"":10611},{""x"":1540,""y"":391,""dx"":89,""dy"":110,""t"":10647},{""x"":1504,""y"":379,""dx"":53,""dy"":98,""t"":10680},{""x"":1486,""y"":354,""dx"":35,""dy"":73,""t"":10714},{""x"":1464,""y"":355,""dx"":13,""dy"":74,""t"":10748},{""x"":1456,""y"":360,""dx"":5,""dy"":79,""t"":10782},{""x"":1476,""y"":384,""dx"":25,""dy"":103,""t"":10815},{""x"":1451,""y"":363,""dx"":0,""dy"":82,""t"":10849},{""x"":1472,""y"":407,""dx"":21,""dy"":126,""t"":10881},{""x"":1455,""y"":378,""dx"":4,""dy"":97,""t"":10917},{""x"":1449,""y"":383,""dx"":-2,""dy"":102,""t"":10953},{""x"":1465,""y"":403,""dx"":14,""dy"":122,""t"":10985},{""x"":1497,""y"":431,""dx"":46,""dy"":150,""t"":11019},{""x"":1511,""y"":440,""dx"":60,""dy"":159,""t"":11054},{""x"":1507,""y"":412,""dx"":56,""dy"":131,""t"":11087},{""x"":1498,""y"":402,""dx"":47,""dy"":121,""t"":11122},{""x"":1502,""y"":404,""dx"":51,""dy"":123,""t"":11156},{""x"":1489,""y"":425,""dx"":38,""dy"":144,""t"":11191},{""x"":1474,""y"":415,""dx"":23,""dy"":134,""t"":11224},{""x"":1459,""y"":418,""dx"":8,""dy"":137,""t"":11258},{""x"":1436,""y"":392,""dx"":-15,""dy"":111,""t"":11292},{""x"":1425,""y"":387,""dx"":-26,""dy"":106,""t"":11325},{""x"":1411,""y"":374,""dx"":-40,""dy"":93,""t"":11360},{""x"":1401,""y"":368,""dx"":-50,""dy"":87,""t"":11394},{""x"":1439,""y"":395,""dx"":-12,""dy"":114,""t"":11427},{""x"":1426,""y"":389,""dx"":-25,""dy"":108,""t"":11462},{""x"":1419,""y"":382,""dx"":-32,""dy"":101,""t"":11497},{""x"":1408,""y"":388,""dx"":-43,""dy"":107,""t"":11530},{""x"":1404,""y"":379,""dx"":-47,""dy"":98,""t"":11563},{""x"":1439,""y"":418,""dx"":-12,""dy"":137,""t"":11597},{""x"":1477,""y"":454,""dx"":26,""dy"":173,""t"":11632},{""x"":1451,""y"":418,""dx"":0,""dy"":137,""t"":11665},{""x"":1482,""y"":440,""dx"":31,""dy"":159,""t"":11700},{""x"":1472,""y"":414,""dx"":21,""dy"":133,""t"":11734},{""x"":1447,""y"":377,""dx"":-4,""dy"":96,""t"":11767},{""x"":1470,""y"":409,""dx"":19,""dy"":128,""t"":11801},{""x"":1449,""y"":374,""dx"":-2,""dy"":93,""t"":11836},{""x"":1426,""y"":345,""dx"":-25,""dy"":64,""t"":11869},{""x"":1424,""y"":337,""dx"":-27,""dy"":56,""t"":11903},{""x"":1462,""y"":375,""dx"":11,""dy"":94,""t"":11937},{""x"":1440,""y"":368,""dx"":-11,""dy"":87,""t"":11972},{""x"":1462,""y"":402,""dx"":11,""dy"":121,""t"":12005}],[{""x"":1373,""y"":841,""dx"":-78,""dy"":20,""t"":13027},{""x"":1363,""y"":832,""dx"":-88,""dy"":11,""t"":13060},{""x"":1337,""y"":835,""dx"":-114,""dy"":14,""t"":13094},{""x"":1342,""y"":852,""dx"":-109,""dy"":31,""t"":13128},{""x"":1333,""y"":859,""dx"":-118,""dy"":38,""t"":13162},{""x"":1309,""y"":841,""dx"":-142,""dy"":20,""t"":13196},{""x"":1285,""y"":823,""dx"":-166,""dy"":2,""t"":13229},{""x"":1272,""y"":813,""dx"":-179,""dy"":-8,""t"":13264},{""x"":1062,""y"":741,""dx"":-389,""dy"":-80,""t"":13297},{""x"":856,""y"":696,""dx"":-595,""dy"":-125,""t"":13332},{""x"":756,""y"":659,""dx"":-695,""dy"":-162,""t"":13366},{""x"":746,""y"":662,""dx"":-705,""dy"":-159,""t"":13400},{""x"":792,""y"":675,""dx"":-659,""dy"":-146,""t"":13433},{""x"":856,""y"":683,""dx"":-595,""dy"":-138,""t"":13469},{""x"":942,""y"":712,""dx"":-509,""dy"":-109,""t"":13502},{""x"":1013,""y"":719,""dx"":-438,""dy"":-102,""t"":13536},{""x"":1101,""y"":746,""dx"":-350,""dy"":-75,""t"":13569},{""x"":1175,""y"":771,""dx"":-276,""dy"":-50,""t"":13604},{""x"":1229,""y"":793,""dx"":-222,""dy"":-28,""t"":13637},{""x"":1282,""y"":807,""dx"":-169,""dy"":-14,""t"":13671},{""x"":1323,""y"":813,""dx"":-128,""dy"":-8,""t"":13706},{""x"":1345,""y"":831,""dx"":-106,""dy"":10,""t"":13740},{""x"":1364,""y"":834,""dx"":-87,""dy"":13,""t"":13774},{""x"":1381,""y"":846,""dx"":-70,""dy"":25,""t"":13808},{""x"":1405,""y"":852,""dx"":-46,""dy"":31,""t"":13843},{""x"":1412,""y"":851,""dx"":-39,""dy"":30,""t"":13876},{""x"":1389,""y"":839,""dx"":-62,""dy"":18,""t"":13911},{""x"":1386,""y"":829,""dx"":-65,""dy"":8,""t"":13944},{""x"":1376,""y"":834,""dx"":-75,""dy"":13,""t"":13979},{""x"":1355,""y"":825,""dx"":-96,""dy"":4,""t"":14012},{""x"":1319,""y"":812,""dx"":-132,""dy"":-9,""t"":14046},{""x"":1289,""y"":801,""dx"":-162,""dy"":-20,""t"":14079},{""x"":1207,""y"":788,""dx"":-244,""dy"":-33,""t"":14114},{""x"":1072,""y"":770,""dx"":-379,""dy"":-51,""t"":14148},{""x"":1063,""y"":774,""dx"":-388,""dy"":-47,""t"":14181},{""x"":1064,""y"":767,""dx"":-387,""dy"":-54,""t"":14216},{""x"":1089,""y"":777,""dx"":-362,""dy"":-44,""t"":14249},{""x"":1088,""y"":756,""dx"":-363,""dy"":-65,""t"":14283},{""x"":1126,""y"":768,""dx"":-325,""dy"":-53,""t"":14319},{""x"":1171,""y"":779,""dx"":-280,""dy"":-42,""t"":14352},{""x"":1220,""y"":785,""dx"":-231,""dy"":-36,""t"":14386},{""x"":1257,""y"":812,""dx"":-194,""dy"":-9,""t"":14420},{""x"":1283,""y"":829,""dx"":-168,""dy"":8,""t"":14453},{""x"":1306,""y"":832,""dx"":-145,""dy"":11,""t"":14488},{""x"":1312,""y"":828,""dx"":-139,""dy"":7,""t"":14522},{""x"":1294,""y"":822,""dx"":-157,""dy"":1,""t"":14556},{""x"":1320,""y"":823,""dx"":-131,""dy"":2,""t"":14590},{""x"":1326,""y"":828,""dx"":-125,""dy"":7,""t"":14624},{""x"":1304,""y"":823,""dx"":-147,""dy"":2,""t"":14658},{""x"":1307,""y"":824,""dx"":-144,""dy"":3,""t"":14691},{""x"":1308,""y"":824,""dx"":-143,""dy"":3,""t"":14725},{""x"":1322,""y"":814,""dx"":-129,""dy"":-7,""t"":14760},{""x"":1323,""y"":824,""dx"":-128,""dy"":3,""t"":14793},{""x"":1335,""y"":818,""dx"":-116,""dy"":-3,""t"":14827},{""x"":1343,""y"":821,""dx"":-108,""dy"":0,""t"":14862},{""x"":1322,""y"":817,""dx"":-129,""dy"":-4,""t"":14896},{""x"":1324,""y"":827,""dx"":-127,""dy"":6,""t"":14930},{""x"":1327,""y"":829,""dx"":-124,""dy"":8,""t"":14964},{""x"":1325,""y"":813,""dx"":-126,""dy"":-8,""t"":14998},{""x"":1326,""y"":815,""dx"":-125,""dy"":-6,""t"":15032}]]","[95,66.10169491525424,79.66101694915254,100,66.66666666666666]","[{""x"":49.95,""y"":59.96666666666667,""r"":66.12540421617003},{""x"":144.8135593220339,""y"":41.94915254237288,""r"":54.979072041455005},{""x"":-12.847457627118644,""y"":132.59322033898306,""r"":75.92404049646474},{""x"":21.050847457627118,""y"":107.52542372881356,""r"":36.21790003130208},{""x"":-220.46666666666667,""y"":-22.433333333333334,""r"":160.71417582924443}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","",""
"","html-button-response","8","46551","0.0-4.0-0.0","654","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的""4"", ""7"", ""9"", ""6"", ""3"", ""1""进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","47570","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""9"",""9"",""1"",""1"",""9"",""9"",""1"",""1"",""6"",""6"",""7"",""7"",""1"",""1"",""3"",""3"",""7"",""7"",""3"",""3"",""6"",""6"",""3"",""3"",""4"",""4"",""1"",""1"",""7"",""7"",""7"",""7"",""4"",""4"",""4"",""4"",""6"",""6"",""4"",""4"",""7"",""7"",""6"",""6"",""6"",""6"",""6"",""6"",""4"",""4"",""9"",""9"",""1"",""1"",""9"",""9"",""9"",""9"",""7"",""7"",""9"",""9"",""4"",""4"",""3"",""3"",""3"",""3"",""1"",""1"",""3"",""3""]","1000","shape","6","","","","","","","","","",""
