"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","4573","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","13525","0.0-1.0-0.0","8949","{""name"":""pxh"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","14869","0.0-1.0-1.0","1342","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","88811","0.0-2.0","","","","2141","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","91653","0.0-3.0-0.0","2840","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","107187","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","108796","0.0-3.0-2.0","1608","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","130452","0.0-3.0-3.0","","","","","","[[{""x"":400,""y"":305,""dx"":-91,""dy"":24,""t"":989},{""x"":423,""y"":319,""dx"":-68,""dy"":38,""t"":1023},{""x"":425,""y"":340,""dx"":-66,""dy"":59,""t"":1057},{""x"":412,""y"":312,""dx"":-79,""dy"":31,""t"":1092},{""x"":405,""y"":279,""dx"":-86,""dy"":-2,""t"":1126},{""x"":409,""y"":271,""dx"":-82,""dy"":-10,""t"":1160},{""x"":394,""y"":261,""dx"":-97,""dy"":-20,""t"":1194},{""x"":419,""y"":250,""dx"":-72,""dy"":-31,""t"":1227},{""x"":407,""y"":230,""dx"":-84,""dy"":-51,""t"":1262},{""x"":417,""y"":240,""dx"":-74,""dy"":-41,""t"":1297},{""x"":398,""y"":258,""dx"":-93,""dy"":-23,""t"":1330},{""x"":402,""y"":246,""dx"":-89,""dy"":-35,""t"":1364},{""x"":415,""y"":241,""dx"":-76,""dy"":-40,""t"":1399},{""x"":418,""y"":294,""dx"":-73,""dy"":13,""t"":1432},{""x"":424,""y"":339,""dx"":-67,""dy"":58,""t"":1466},{""x"":421,""y"":352,""dx"":-70,""dy"":71,""t"":1500},{""x"":414,""y"":378,""dx"":-77,""dy"":97,""t"":1534},{""x"":425,""y"":344,""dx"":-66,""dy"":63,""t"":1567},{""x"":460,""y"":379,""dx"":-31,""dy"":98,""t"":1602},{""x"":507,""y"":406,""dx"":16,""dy"":125,""t"":1636},{""x"":541,""y"":393,""dx"":50,""dy"":112,""t"":1670},{""x"":556,""y"":388,""dx"":65,""dy"":107,""t"":1704},{""x"":547,""y"":361,""dx"":56,""dy"":80,""t"":1737},{""x"":547,""y"":380,""dx"":56,""dy"":99,""t"":1772},{""x"":590,""y"":381,""dx"":99,""dy"":100,""t"":1806},{""x"":581,""y"":399,""dx"":90,""dy"":118,""t"":1839},{""x"":600,""y"":391,""dx"":109,""dy"":110,""t"":1874},{""x"":610,""y"":372,""dx"":119,""dy"":91,""t"":1907},{""x"":616,""y"":358,""dx"":125,""dy"":77,""t"":1942},{""x"":634,""y"":301,""dx"":143,""dy"":20,""t"":1976},{""x"":649,""y"":253,""dx"":158,""dy"":-28,""t"":2008},{""x"":649,""y"":256,""dx"":158,""dy"":-25,""t"":2044},{""x"":603,""y"":271,""dx"":112,""dy"":-10,""t"":2077},{""x"":564,""y"":248,""dx"":73,""dy"":-33,""t"":2111},{""x"":590,""y"":256,""dx"":99,""dy"":-25,""t"":2147},{""x"":621,""y"":249,""dx"":130,""dy"":-32,""t"":2180},{""x"":608,""y"":251,""dx"":117,""dy"":-30,""t"":2213},{""x"":625,""y"":253,""dx"":134,""dy"":-28,""t"":2248},{""x"":655,""y"":268,""dx"":164,""dy"":-13,""t"":2282},{""x"":644,""y"":254,""dx"":153,""dy"":-27,""t"":2317},{""x"":625,""y"":229,""dx"":134,""dy"":-52,""t"":2349},{""x"":640,""y"":240,""dx"":149,""dy"":-41,""t"":2385},{""x"":613,""y"":244,""dx"":122,""dy"":-37,""t"":2418},{""x"":600,""y"":225,""dx"":109,""dy"":-56,""t"":2452},{""x"":616,""y"":243,""dx"":125,""dy"":-38,""t"":2486},{""x"":619,""y"":237,""dx"":128,""dy"":-44,""t"":2520},{""x"":631,""y"":249,""dx"":140,""dy"":-32,""t"":2554},{""x"":579,""y"":202,""dx"":88,""dy"":-79,""t"":2588},{""x"":513,""y"":194,""dx"":22,""dy"":-87,""t"":2622},{""x"":463,""y"":207,""dx"":-28,""dy"":-74,""t"":2656},{""x"":453,""y"":196,""dx"":-38,""dy"":-85,""t"":2690},{""x"":468,""y"":208,""dx"":-23,""dy"":-73,""t"":2725},{""x"":470,""y"":220,""dx"":-21,""dy"":-61,""t"":2759},{""x"":475,""y"":225,""dx"":-16,""dy"":-56,""t"":2792},{""x"":494,""y"":241,""dx"":3,""dy"":-40,""t"":2825},{""x"":514,""y"":237,""dx"":23,""dy"":-44,""t"":2861},{""x"":523,""y"":260,""dx"":32,""dy"":-21,""t"":2893},{""x"":556,""y"":251,""dx"":65,""dy"":-30,""t"":2927},{""x"":603,""y"":256,""dx"":112,""dy"":-25,""t"":2963}],[{""x"":633,""y"":823,""dx"":142,""dy"":2,""t"":4015},{""x"":635,""y"":804,""dx"":144,""dy"":-17,""t"":4049},{""x"":656,""y"":779,""dx"":165,""dy"":-42,""t"":4085},{""x"":661,""y"":748,""dx"":170,""dy"":-73,""t"":4119},{""x"":636,""y"":739,""dx"":145,""dy"":-82,""t"":4152},{""x"":652,""y"":736,""dx"":161,""dy"":-85,""t"":4186},{""x"":652,""y"":751,""dx"":161,""dy"":-70,""t"":4219},{""x"":674,""y"":743,""dx"":183,""dy"":-78,""t"":4254},{""x"":661,""y"":754,""dx"":170,""dy"":-67,""t"":4288},{""x"":684,""y"":749,""dx"":193,""dy"":-72,""t"":4323},{""x"":651,""y"":741,""dx"":160,""dy"":-80,""t"":4355},{""x"":679,""y"":734,""dx"":188,""dy"":-87,""t"":4418},{""x"":683,""y"":745,""dx"":192,""dy"":-76,""t"":4430},{""x"":658,""y"":758,""dx"":167,""dy"":-63,""t"":4459},{""x"":659,""y"":749,""dx"":168,""dy"":-72,""t"":4491},{""x"":649,""y"":767,""dx"":158,""dy"":-54,""t"":4527},{""x"":629,""y"":778,""dx"":138,""dy"":-43,""t"":4561},{""x"":618,""y"":797,""dx"":127,""dy"":-24,""t"":4593},{""x"":601,""y"":817,""dx"":110,""dy"":-4,""t"":4627},{""x"":655,""y"":811,""dx"":164,""dy"":-10,""t"":4662},{""x"":681,""y"":807,""dx"":190,""dy"":-14,""t"":4695},{""x"":723,""y"":760,""dx"":232,""dy"":-61,""t"":4731},{""x"":748,""y"":670,""dx"":257,""dy"":-151,""t"":4764},{""x"":688,""y"":597,""dx"":197,""dy"":-224,""t"":4798},{""x"":704,""y"":601,""dx"":213,""dy"":-220,""t"":4832},{""x"":725,""y"":614,""dx"":234,""dy"":-207,""t"":4867},{""x"":772,""y"":599,""dx"":281,""dy"":-222,""t"":4900},{""x"":805,""y"":573,""dx"":314,""dy"":-248,""t"":4935},{""x"":851,""y"":570,""dx"":360,""dy"":-251,""t"":4967},{""x"":865,""y"":587,""dx"":374,""dy"":-234,""t"":5002},{""x"":860,""y"":625,""dx"":369,""dy"":-196,""t"":5036},{""x"":827,""y"":683,""dx"":336,""dy"":-138,""t"":5070},{""x"":839,""y"":783,""dx"":348,""dy"":-38,""t"":5103},{""x"":840,""y"":987,""dx"":349,""dy"":166,""t"":5139},{""x"":840,""y"":1159,""dx"":349,""dy"":338,""t"":5170},{""x"":842,""y"":1271,""dx"":351,""dy"":450,""t"":5207},{""x"":837,""y"":1297,""dx"":346,""dy"":476,""t"":5241},{""x"":838,""y"":1260,""dx"":347,""dy"":439,""t"":5274},{""x"":772,""y"":1214,""dx"":281,""dy"":393,""t"":5307},{""x"":734,""y"":1163,""dx"":243,""dy"":342,""t"":5341},{""x"":710,""y"":1098,""dx"":219,""dy"":277,""t"":5376},{""x"":677,""y"":1030,""dx"":186,""dy"":209,""t"":5411},{""x"":636,""y"":919,""dx"":145,""dy"":98,""t"":5443},{""x"":639,""y"":849,""dx"":148,""dy"":28,""t"":5477},{""x"":669,""y"":757,""dx"":178,""dy"":-64,""t"":5512},{""x"":670,""y"":702,""dx"":179,""dy"":-119,""t"":5547},{""x"":671,""y"":658,""dx"":180,""dy"":-163,""t"":5577},{""x"":692,""y"":633,""dx"":201,""dy"":-188,""t"":5614},{""x"":693,""y"":600,""dx"":202,""dy"":-221,""t"":5647},{""x"":690,""y"":591,""dx"":199,""dy"":-230,""t"":5682},{""x"":685,""y"":635,""dx"":194,""dy"":-186,""t"":5716},{""x"":666,""y"":642,""dx"":175,""dy"":-179,""t"":5750},{""x"":690,""y"":650,""dx"":199,""dy"":-171,""t"":5783},{""x"":674,""y"":636,""dx"":183,""dy"":-185,""t"":5817},{""x"":665,""y"":646,""dx"":174,""dy"":-175,""t"":5853},{""x"":692,""y"":637,""dx"":201,""dy"":-184,""t"":5885},{""x"":718,""y"":628,""dx"":227,""dy"":-193,""t"":5920},{""x"":705,""y"":630,""dx"":214,""dy"":-191,""t"":5953},{""x"":722,""y"":651,""dx"":231,""dy"":-170,""t"":5989}],[{""x"":1071,""y"":514,""dx"":100,""dy"":-37,""t"":7007},{""x"":1073,""y"":651,""dx"":102,""dy"":100,""t"":7042},{""x"":1059,""y"":707,""dx"":88,""dy"":156,""t"":7076},{""x"":1041,""y"":736,""dx"":70,""dy"":185,""t"":7110},{""x"":1025,""y"":760,""dx"":54,""dy"":209,""t"":7142},{""x"":1016,""y"":761,""dx"":45,""dy"":210,""t"":7177},{""x"":1028,""y"":730,""dx"":57,""dy"":179,""t"":7213},{""x"":1030,""y"":710,""dx"":59,""dy"":159,""t"":7246},{""x"":1037,""y"":685,""dx"":66,""dy"":134,""t"":7280},{""x"":1051,""y"":682,""dx"":80,""dy"":131,""t"":7314},{""x"":1057,""y"":650,""dx"":86,""dy"":99,""t"":7349},{""x"":1074,""y"":637,""dx"":103,""dy"":86,""t"":7382},{""x"":1072,""y"":602,""dx"":101,""dy"":51,""t"":7415},{""x"":1069,""y"":588,""dx"":98,""dy"":37,""t"":7449},{""x"":1070,""y"":579,""dx"":99,""dy"":28,""t"":7484},{""x"":1069,""y"":565,""dx"":98,""dy"":14,""t"":7518},{""x"":1068,""y"":555,""dx"":97,""dy"":4,""t"":7549},{""x"":1054,""y"":522,""dx"":83,""dy"":-29,""t"":7585},{""x"":1032,""y"":524,""dx"":61,""dy"":-27,""t"":7620},{""x"":1016,""y"":526,""dx"":45,""dy"":-25,""t"":7655},{""x"":1021,""y"":529,""dx"":50,""dy"":-22,""t"":7688},{""x"":1009,""y"":549,""dx"":38,""dy"":-2,""t"":7722},{""x"":1020,""y"":563,""dx"":49,""dy"":12,""t"":7756},{""x"":1017,""y"":587,""dx"":46,""dy"":36,""t"":7791},{""x"":1025,""y"":617,""dx"":54,""dy"":66,""t"":7824},{""x"":1023,""y"":608,""dx"":52,""dy"":57,""t"":7858},{""x"":1021,""y"":613,""dx"":50,""dy"":62,""t"":7892},{""x"":1020,""y"":616,""dx"":49,""dy"":65,""t"":7925},{""x"":1026,""y"":646,""dx"":55,""dy"":95,""t"":7959},{""x"":1031,""y"":642,""dx"":60,""dy"":91,""t"":7994},{""x"":1047,""y"":626,""dx"":76,""dy"":75,""t"":8027},{""x"":1062,""y"":656,""dx"":91,""dy"":105,""t"":8062},{""x"":1051,""y"":662,""dx"":80,""dy"":111,""t"":8097},{""x"":1057,""y"":621,""dx"":86,""dy"":70,""t"":8130},{""x"":1050,""y"":630,""dx"":79,""dy"":79,""t"":8164},{""x"":1062,""y"":619,""dx"":91,""dy"":68,""t"":8198},{""x"":1062,""y"":653,""dx"":91,""dy"":102,""t"":8231},{""x"":1068,""y"":632,""dx"":97,""dy"":81,""t"":8266},{""x"":1055,""y"":662,""dx"":84,""dy"":111,""t"":8301},{""x"":1054,""y"":647,""dx"":83,""dy"":96,""t"":8334},{""x"":1057,""y"":636,""dx"":86,""dy"":85,""t"":8367},{""x"":1065,""y"":589,""dx"":94,""dy"":38,""t"":8402},{""x"":1073,""y"":608,""dx"":102,""dy"":57,""t"":8436},{""x"":1072,""y"":611,""dx"":101,""dy"":60,""t"":8471},{""x"":1082,""y"":601,""dx"":111,""dy"":50,""t"":8503},{""x"":1074,""y"":650,""dx"":103,""dy"":99,""t"":8538},{""x"":1071,""y"":670,""dx"":100,""dy"":119,""t"":8572},{""x"":1066,""y"":662,""dx"":95,""dy"":111,""t"":8607},{""x"":1061,""y"":634,""dx"":90,""dy"":83,""t"":8639},{""x"":1056,""y"":594,""dx"":85,""dy"":43,""t"":8675},{""x"":1047,""y"":582,""dx"":76,""dy"":31,""t"":8709},{""x"":1039,""y"":573,""dx"":68,""dy"":22,""t"":8741},{""x"":1032,""y"":568,""dx"":61,""dy"":17,""t"":8776},{""x"":1032,""y"":551,""dx"":61,""dy"":0,""t"":8810},{""x"":1028,""y"":570,""dx"":57,""dy"":19,""t"":8844},{""x"":1025,""y"":586,""dx"":54,""dy"":35,""t"":8877},{""x"":1027,""y"":609,""dx"":56,""dy"":58,""t"":8911},{""x"":1022,""y"":648,""dx"":51,""dy"":97,""t"":8946},{""x"":1043,""y"":616,""dx"":72,""dy"":65,""t"":8980}],[{""x"":1563,""y"":193,""dx"":112,""dy"":-88,""t"":10034},{""x"":1497,""y"":290,""dx"":46,""dy"":9,""t"":10068},{""x"":1412,""y"":379,""dx"":-39,""dy"":98,""t"":10102},{""x"":1415,""y"":401,""dx"":-36,""dy"":120,""t"":10136},{""x"":1431,""y"":388,""dx"":-20,""dy"":107,""t"":10170},{""x"":1401,""y"":428,""dx"":-50,""dy"":147,""t"":10203},{""x"":1405,""y"":407,""dx"":-46,""dy"":126,""t"":10239},{""x"":1440,""y"":377,""dx"":-11,""dy"":96,""t"":10271},{""x"":1456,""y"":360,""dx"":5,""dy"":79,""t"":10307},{""x"":1463,""y"":337,""dx"":12,""dy"":56,""t"":10340},{""x"":1483,""y"":321,""dx"":32,""dy"":40,""t"":10373},{""x"":1528,""y"":273,""dx"":77,""dy"":-8,""t"":10409},{""x"":1515,""y"":258,""dx"":64,""dy"":-23,""t"":10442},{""x"":1553,""y"":217,""dx"":102,""dy"":-64,""t"":10477},{""x"":1548,""y"":202,""dx"":97,""dy"":-79,""t"":10510},{""x"":1560,""y"":171,""dx"":109,""dy"":-110,""t"":10543},{""x"":1556,""y"":143,""dx"":105,""dy"":-138,""t"":10577},{""x"":1557,""y"":136,""dx"":106,""dy"":-145,""t"":10613},{""x"":1549,""y"":136,""dx"":98,""dy"":-145,""t"":10646},{""x"":1556,""y"":134,""dx"":105,""dy"":-147,""t"":10680},{""x"":1563,""y"":135,""dx"":112,""dy"":-146,""t"":10712},{""x"":1563,""y"":136,""dx"":112,""dy"":-145,""t"":10748},{""x"":1563,""y"":142,""dx"":112,""dy"":-139,""t"":10782},{""x"":1558,""y"":162,""dx"":107,""dy"":-119,""t"":10815},{""x"":1576,""y"":162,""dx"":125,""dy"":-119,""t"":10851},{""x"":1565,""y"":199,""dx"":114,""dy"":-82,""t"":10885},{""x"":1525,""y"":231,""dx"":74,""dy"":-50,""t"":10919},{""x"":1514,""y"":256,""dx"":63,""dy"":-25,""t"":10952},{""x"":1503,""y"":280,""dx"":52,""dy"":-1,""t"":10986},{""x"":1489,""y"":268,""dx"":38,""dy"":-13,""t"":11020},{""x"":1493,""y"":260,""dx"":42,""dy"":-21,""t"":11054},{""x"":1481,""y"":315,""dx"":30,""dy"":34,""t"":11087},{""x"":1498,""y"":302,""dx"":47,""dy"":21,""t"":11123},{""x"":1499,""y"":297,""dx"":48,""dy"":16,""t"":11156},{""x"":1489,""y"":295,""dx"":38,""dy"":14,""t"":11191},{""x"":1480,""y"":327,""dx"":29,""dy"":46,""t"":11223},{""x"":1477,""y"":327,""dx"":26,""dy"":46,""t"":11258},{""x"":1465,""y"":337,""dx"":14,""dy"":56,""t"":11293},{""x"":1431,""y"":332,""dx"":-20,""dy"":51,""t"":11326},{""x"":1411,""y"":377,""dx"":-40,""dy"":96,""t"":11360},{""x"":1384,""y"":398,""dx"":-67,""dy"":117,""t"":11394},{""x"":1405,""y"":409,""dx"":-46,""dy"":128,""t"":11427},{""x"":1405,""y"":386,""dx"":-46,""dy"":105,""t"":11463},{""x"":1416,""y"":369,""dx"":-35,""dy"":88,""t"":11496},{""x"":1429,""y"":373,""dx"":-22,""dy"":92,""t"":11530},{""x"":1458,""y"":340,""dx"":7,""dy"":59,""t"":11564},{""x"":1477,""y"":309,""dx"":26,""dy"":28,""t"":11598},{""x"":1491,""y"":281,""dx"":40,""dy"":0,""t"":11632},{""x"":1510,""y"":271,""dx"":59,""dy"":-10,""t"":11666},{""x"":1539,""y"":212,""dx"":88,""dy"":-69,""t"":11701},{""x"":1551,""y"":228,""dx"":100,""dy"":-53,""t"":11734},{""x"":1557,""y"":227,""dx"":106,""dy"":-54,""t"":11768},{""x"":1569,""y"":264,""dx"":118,""dy"":-17,""t"":11801},{""x"":1555,""y"":254,""dx"":104,""dy"":-27,""t"":11837},{""x"":1539,""y"":264,""dx"":88,""dy"":-17,""t"":11870},{""x"":1529,""y"":264,""dx"":78,""dy"":-17,""t"":11905},{""x"":1526,""y"":247,""dx"":75,""dy"":-34,""t"":11938},{""x"":1524,""y"":256,""dx"":73,""dy"":-25,""t"":11972},{""x"":1509,""y"":286,""dx"":58,""dy"":5,""t"":12006}],[{""x"":1281,""y"":828,""dx"":-170,""dy"":7,""t"":13026},{""x"":1232,""y"":885,""dx"":-219,""dy"":64,""t"":13059},{""x"":1221,""y"":885,""dx"":-230,""dy"":64,""t"":13093},{""x"":1196,""y"":903,""dx"":-255,""dy"":82,""t"":13128},{""x"":1195,""y"":939,""dx"":-256,""dy"":118,""t"":13162},{""x"":1210,""y"":920,""dx"":-241,""dy"":99,""t"":13196},{""x"":1219,""y"":881,""dx"":-232,""dy"":60,""t"":13230},{""x"":1240,""y"":843,""dx"":-211,""dy"":22,""t"":13264},{""x"":1291,""y"":766,""dx"":-160,""dy"":-55,""t"":13297},{""x"":1322,""y"":751,""dx"":-129,""dy"":-70,""t"":13333},{""x"":1365,""y"":753,""dx"":-86,""dy"":-68,""t"":13367},{""x"":1380,""y"":763,""dx"":-71,""dy"":-58,""t"":13401},{""x"":1385,""y"":755,""dx"":-66,""dy"":-66,""t"":13434},{""x"":1413,""y"":756,""dx"":-38,""dy"":-65,""t"":13467},{""x"":1422,""y"":722,""dx"":-29,""dy"":-99,""t"":13502},{""x"":1430,""y"":736,""dx"":-21,""dy"":-85,""t"":13536},{""x"":1420,""y"":731,""dx"":-31,""dy"":-90,""t"":13570},{""x"":1433,""y"":718,""dx"":-18,""dy"":-103,""t"":13603},{""x"":1444,""y"":694,""dx"":-7,""dy"":-127,""t"":13638},{""x"":1444,""y"":634,""dx"":-7,""dy"":-187,""t"":13672},{""x"":1456,""y"":591,""dx"":5,""dy"":-230,""t"":13706},{""x"":1485,""y"":550,""dx"":34,""dy"":-271,""t"":13740},{""x"":1462,""y"":530,""dx"":11,""dy"":-291,""t"":13774},{""x"":1473,""y"":545,""dx"":22,""dy"":-276,""t"":13808},{""x"":1455,""y"":568,""dx"":4,""dy"":-253,""t"":13842},{""x"":1439,""y"":588,""dx"":-12,""dy"":-233,""t"":13874},{""x"":1404,""y"":578,""dx"":-47,""dy"":-243,""t"":13910},{""x"":1402,""y"":569,""dx"":-49,""dy"":-252,""t"":13944},{""x"":1328,""y"":642,""dx"":-123,""dy"":-179,""t"":13978},{""x"":1239,""y"":784,""dx"":-212,""dy"":-37,""t"":14012},{""x"":1158,""y"":889,""dx"":-293,""dy"":68,""t"":14047},{""x"":1120,""y"":960,""dx"":-331,""dy"":139,""t"":14079},{""x"":1121,""y"":923,""dx"":-330,""dy"":102,""t"":14114},{""x"":1134,""y"":931,""dx"":-317,""dy"":110,""t"":14148},{""x"":1175,""y"":927,""dx"":-276,""dy"":106,""t"":14221},{""x"":1210,""y"":892,""dx"":-241,""dy"":71,""t"":14250},{""x"":1258,""y"":824,""dx"":-193,""dy"":3,""t"":14281},{""x"":1271,""y"":810,""dx"":-180,""dy"":-11,""t"":14318},{""x"":1306,""y"":769,""dx"":-145,""dy"":-52,""t"":14351},{""x"":1303,""y"":775,""dx"":-148,""dy"":-46,""t"":14385},{""x"":1285,""y"":768,""dx"":-166,""dy"":-53,""t"":14420},{""x"":1300,""y"":777,""dx"":-151,""dy"":-44,""t"":14454},{""x"":1352,""y"":751,""dx"":-99,""dy"":-70,""t"":14488},{""x"":1416,""y"":701,""dx"":-35,""dy"":-120,""t"":14522},{""x"":1435,""y"":626,""dx"":-16,""dy"":-195,""t"":14556},{""x"":1466,""y"":570,""dx"":15,""dy"":-251,""t"":14590},{""x"":1471,""y"":578,""dx"":20,""dy"":-243,""t"":14624},{""x"":1477,""y"":619,""dx"":26,""dy"":-202,""t"":14657},{""x"":1498,""y"":572,""dx"":47,""dy"":-249,""t"":14692},{""x"":1492,""y"":525,""dx"":41,""dy"":-296,""t"":14726},{""x"":1463,""y"":576,""dx"":12,""dy"":-245,""t"":14760},{""x"":1455,""y"":601,""dx"":4,""dy"":-220,""t"":14794},{""x"":1440,""y"":644,""dx"":-11,""dy"":-177,""t"":14827},{""x"":1393,""y"":683,""dx"":-58,""dy"":-138,""t"":14862},{""x"":1434,""y"":669,""dx"":-17,""dy"":-152,""t"":14897},{""x"":1450,""y"":679,""dx"":-1,""dy"":-142,""t"":14930},{""x"":1449,""y"":702,""dx"":-2,""dy"":-119,""t"":14964},{""x"":1420,""y"":691,""dx"":-31,""dy"":-130,""t"":14998}]]","[100,35.59322033898305,96.61016949152543,100,48.275862068965516]","[{""x"":32.389830508474574,""y"":1.8983050847457628,""r"":112.08158168829044},{""x"":217.15254237288136,""y"":-45.83050847457627,""r"":131.08155488264174},{""x"":75.86440677966101,""y"":69.67796610169492,""r"":40.031175010346516},{""x"":47.3728813559322,""y"":-4.237288135593221,""r"":76.4511060570829},{""x"":-98.62068965517241,""y"":-92.72413793103448,""r"":198.69165082931295}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.29","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","132499","0.0-3.0-4.0-0.0-0.0","2046","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","148266","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
