"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","1806","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","4533","0.0-1.0-0.0","2725","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","6540","0.0-1.0-1.0","2006","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","22558","0.0-2.0","","","","2129","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","23956","0.0-3.0-0.0","1396","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","36698","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","37660","0.0-3.0-2.0","962","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","55540","0.0-3.0-3.0","","","","","","[[{""x"":397,""y"":386,""dx"":-94,""dy"":105,""t"":989},{""x"":406,""y"":384,""dx"":-85,""dy"":103,""t"":1021},{""x"":414,""y"":383,""dx"":-77,""dy"":102,""t"":1059},{""x"":419,""y"":371,""dx"":-72,""dy"":90,""t"":1092},{""x"":395,""y"":371,""dx"":-96,""dy"":90,""t"":1126},{""x"":375,""y"":385,""dx"":-116,""dy"":104,""t"":1159},{""x"":364,""y"":389,""dx"":-127,""dy"":108,""t"":1194},{""x"":354,""y"":401,""dx"":-137,""dy"":120,""t"":1228},{""x"":347,""y"":421,""dx"":-144,""dy"":140,""t"":1261},{""x"":343,""y"":434,""dx"":-148,""dy"":153,""t"":1295},{""x"":344,""y"":450,""dx"":-147,""dy"":169,""t"":1331},{""x"":342,""y"":411,""dx"":-149,""dy"":130,""t"":1364},{""x"":368,""y"":399,""dx"":-123,""dy"":118,""t"":1398},{""x"":390,""y"":391,""dx"":-101,""dy"":110,""t"":1431},{""x"":377,""y"":416,""dx"":-114,""dy"":135,""t"":1466},{""x"":384,""y"":397,""dx"":-107,""dy"":116,""t"":1500},{""x"":386,""y"":388,""dx"":-105,""dy"":107,""t"":1534},{""x"":375,""y"":378,""dx"":-116,""dy"":97,""t"":1568},{""x"":351,""y"":382,""dx"":-140,""dy"":101,""t"":1602},{""x"":342,""y"":379,""dx"":-149,""dy"":98,""t"":1637},{""x"":364,""y"":367,""dx"":-127,""dy"":86,""t"":1670},{""x"":369,""y"":357,""dx"":-122,""dy"":76,""t"":1704},{""x"":400,""y"":346,""dx"":-91,""dy"":65,""t"":1738},{""x"":388,""y"":349,""dx"":-103,""dy"":68,""t"":1772},{""x"":417,""y"":343,""dx"":-74,""dy"":62,""t"":1806},{""x"":413,""y"":334,""dx"":-78,""dy"":53,""t"":1839},{""x"":403,""y"":338,""dx"":-88,""dy"":57,""t"":1874},{""x"":390,""y"":351,""dx"":-101,""dy"":70,""t"":1908},{""x"":381,""y"":362,""dx"":-110,""dy"":81,""t"":1942},{""x"":366,""y"":382,""dx"":-125,""dy"":101,""t"":1976},{""x"":364,""y"":393,""dx"":-127,""dy"":112,""t"":2009},{""x"":352,""y"":419,""dx"":-139,""dy"":138,""t"":2045},{""x"":348,""y"":430,""dx"":-143,""dy"":149,""t"":2078},{""x"":384,""y"":416,""dx"":-107,""dy"":135,""t"":2112},{""x"":406,""y"":398,""dx"":-85,""dy"":117,""t"":2145},{""x"":430,""y"":386,""dx"":-61,""dy"":105,""t"":2180},{""x"":451,""y"":376,""dx"":-40,""dy"":95,""t"":2212},{""x"":475,""y"":368,""dx"":-16,""dy"":87,""t"":2247},{""x"":466,""y"":374,""dx"":-25,""dy"":93,""t"":2282},{""x"":467,""y"":367,""dx"":-24,""dy"":86,""t"":2317},{""x"":468,""y"":374,""dx"":-23,""dy"":93,""t"":2350},{""x"":476,""y"":367,""dx"":-15,""dy"":86,""t"":2383},{""x"":495,""y"":360,""dx"":4,""dy"":79,""t"":2417},{""x"":495,""y"":383,""dx"":4,""dy"":102,""t"":2455},{""x"":479,""y"":364,""dx"":-12,""dy"":83,""t"":2491},{""x"":461,""y"":336,""dx"":-30,""dy"":55,""t"":2520},{""x"":458,""y"":354,""dx"":-33,""dy"":73,""t"":2554},{""x"":460,""y"":347,""dx"":-31,""dy"":66,""t"":2588},{""x"":489,""y"":342,""dx"":-2,""dy"":61,""t"":2620},{""x"":498,""y"":334,""dx"":7,""dy"":53,""t"":2656},{""x"":477,""y"":317,""dx"":-14,""dy"":36,""t"":2689},{""x"":485,""y"":320,""dx"":-6,""dy"":39,""t"":2724},{""x"":503,""y"":325,""dx"":12,""dy"":44,""t"":2758},{""x"":516,""y"":331,""dx"":25,""dy"":50,""t"":2793},{""x"":503,""y"":360,""dx"":12,""dy"":79,""t"":2826},{""x"":479,""y"":385,""dx"":-12,""dy"":104,""t"":2860},{""x"":471,""y"":403,""dx"":-20,""dy"":122,""t"":2894},{""x"":461,""y"":411,""dx"":-30,""dy"":130,""t"":2928},{""x"":453,""y"":418,""dx"":-38,""dy"":137,""t"":2963},{""x"":470,""y"":421,""dx"":-21,""dy"":140,""t"":2995}],[{""x"":625,""y"":805,""dx"":134,""dy"":-16,""t"":4017},{""x"":632,""y"":782,""dx"":141,""dy"":-39,""t"":4049},{""x"":623,""y"":791,""dx"":132,""dy"":-30,""t"":4084},{""x"":621,""y"":803,""dx"":130,""dy"":-18,""t"":4119},{""x"":623,""y"":811,""dx"":132,""dy"":-10,""t"":4152},{""x"":624,""y"":817,""dx"":133,""dy"":-4,""t"":4184},{""x"":645,""y"":811,""dx"":154,""dy"":-10,""t"":4219},{""x"":666,""y"":795,""dx"":175,""dy"":-26,""t"":4253},{""x"":672,""y"":802,""dx"":181,""dy"":-19,""t"":4289},{""x"":665,""y"":798,""dx"":174,""dy"":-23,""t"":4321},{""x"":686,""y"":787,""dx"":195,""dy"":-34,""t"":4355},{""x"":704,""y"":796,""dx"":213,""dy"":-25,""t"":4389},{""x"":721,""y"":802,""dx"":230,""dy"":-19,""t"":4425},{""x"":698,""y"":800,""dx"":207,""dy"":-21,""t"":4458},{""x"":702,""y"":793,""dx"":211,""dy"":-28,""t"":4492},{""x"":681,""y"":803,""dx"":190,""dy"":-18,""t"":4526},{""x"":671,""y"":811,""dx"":180,""dy"":-10,""t"":4560},{""x"":681,""y"":815,""dx"":190,""dy"":-6,""t"":4593},{""x"":707,""y"":810,""dx"":216,""dy"":-11,""t"":4627},{""x"":721,""y"":804,""dx"":230,""dy"":-17,""t"":4662},{""x"":707,""y"":782,""dx"":216,""dy"":-39,""t"":4696},{""x"":717,""y"":778,""dx"":226,""dy"":-43,""t"":4729},{""x"":733,""y"":784,""dx"":242,""dy"":-37,""t"":4763},{""x"":750,""y"":794,""dx"":259,""dy"":-27,""t"":4798},{""x"":753,""y"":797,""dx"":262,""dy"":-24,""t"":4832},{""x"":765,""y"":795,""dx"":274,""dy"":-26,""t"":4865},{""x"":768,""y"":801,""dx"":277,""dy"":-20,""t"":4899},{""x"":780,""y"":797,""dx"":289,""dy"":-24,""t"":4934},{""x"":784,""y"":791,""dx"":293,""dy"":-30,""t"":4968},{""x"":760,""y"":795,""dx"":269,""dy"":-26,""t"":5002},{""x"":754,""y"":794,""dx"":263,""dy"":-27,""t"":5036},{""x"":739,""y"":778,""dx"":248,""dy"":-43,""t"":5070},{""x"":716,""y"":766,""dx"":225,""dy"":-55,""t"":5103},{""x"":710,""y"":739,""dx"":219,""dy"":-82,""t"":5138},{""x"":694,""y"":727,""dx"":203,""dy"":-94,""t"":5172},{""x"":674,""y"":720,""dx"":183,""dy"":-101,""t"":5205},{""x"":676,""y"":725,""dx"":185,""dy"":-96,""t"":5239},{""x"":677,""y"":723,""dx"":186,""dy"":-98,""t"":5274},{""x"":676,""y"":720,""dx"":185,""dy"":-101,""t"":5307},{""x"":689,""y"":725,""dx"":198,""dy"":-96,""t"":5342},{""x"":669,""y"":733,""dx"":178,""dy"":-88,""t"":5376},{""x"":666,""y"":743,""dx"":175,""dy"":-78,""t"":5409},{""x"":679,""y"":744,""dx"":188,""dy"":-77,""t"":5444},{""x"":687,""y"":745,""dx"":196,""dy"":-76,""t"":5478},{""x"":713,""y"":742,""dx"":222,""dy"":-79,""t"":5511},{""x"":723,""y"":738,""dx"":232,""dy"":-83,""t"":5545},{""x"":734,""y"":742,""dx"":243,""dy"":-79,""t"":5580},{""x"":744,""y"":765,""dx"":253,""dy"":-56,""t"":5614},{""x"":737,""y"":774,""dx"":246,""dy"":-47,""t"":5647},{""x"":715,""y"":799,""dx"":224,""dy"":-22,""t"":5681},{""x"":711,""y"":812,""dx"":220,""dy"":-9,""t"":5716},{""x"":720,""y"":812,""dx"":229,""dy"":-9,""t"":5750},{""x"":728,""y"":810,""dx"":237,""dy"":-11,""t"":5782},{""x"":701,""y"":819,""dx"":210,""dy"":-2,""t"":5817},{""x"":715,""y"":818,""dx"":224,""dy"":-3,""t"":5851},{""x"":725,""y"":834,""dx"":234,""dy"":13,""t"":5886},{""x"":717,""y"":844,""dx"":226,""dy"":23,""t"":5920},{""x"":702,""y"":854,""dx"":211,""dy"":33,""t"":5953},{""x"":703,""y"":872,""dx"":212,""dy"":51,""t"":5988}],[{""x"":1052,""y"":468,""dx"":81,""dy"":-83,""t"":7008},{""x"":1049,""y"":483,""dx"":78,""dy"":-68,""t"":7041},{""x"":1045,""y"":475,""dx"":74,""dy"":-76,""t"":7076},{""x"":1040,""y"":469,""dx"":69,""dy"":-82,""t"":7110},{""x"":1037,""y"":476,""dx"":66,""dy"":-75,""t"":7144},{""x"":1049,""y"":472,""dx"":78,""dy"":-79,""t"":7178},{""x"":1044,""y"":482,""dx"":73,""dy"":-69,""t"":7212},{""x"":1039,""y"":486,""dx"":68,""dy"":-65,""t"":7247},{""x"":1013,""y"":514,""dx"":42,""dy"":-37,""t"":7281},{""x"":1022,""y"":509,""dx"":51,""dy"":-42,""t"":7313},{""x"":1009,""y"":519,""dx"":38,""dy"":-32,""t"":7348},{""x"":997,""y"":526,""dx"":26,""dy"":-25,""t"":7379},{""x"":996,""y"":548,""dx"":25,""dy"":-3,""t"":7416},{""x"":988,""y"":546,""dx"":17,""dy"":-5,""t"":7450},{""x"":1003,""y"":527,""dx"":32,""dy"":-24,""t"":7484},{""x"":1007,""y"":522,""dx"":36,""dy"":-29,""t"":7519},{""x"":1011,""y"":509,""dx"":40,""dy"":-42,""t"":7552},{""x"":1023,""y"":491,""dx"":52,""dy"":-60,""t"":7585},{""x"":1023,""y"":484,""dx"":52,""dy"":-67,""t"":7620},{""x"":1037,""y"":478,""dx"":66,""dy"":-73,""t"":7653},{""x"":1045,""y"":467,""dx"":74,""dy"":-84,""t"":7688},{""x"":1060,""y"":467,""dx"":89,""dy"":-84,""t"":7721},{""x"":1072,""y"":468,""dx"":101,""dy"":-83,""t"":7753},{""x"":1074,""y"":478,""dx"":103,""dy"":-73,""t"":7789},{""x"":1086,""y"":477,""dx"":115,""dy"":-74,""t"":7823},{""x"":1071,""y"":473,""dx"":100,""dy"":-78,""t"":7857},{""x"":1058,""y"":467,""dx"":87,""dy"":-84,""t"":7892},{""x"":1040,""y"":458,""dx"":69,""dy"":-93,""t"":7925},{""x"":1046,""y"":423,""dx"":75,""dy"":-128,""t"":7959},{""x"":1028,""y"":436,""dx"":57,""dy"":-115,""t"":7994},{""x"":1021,""y"":426,""dx"":50,""dy"":-125,""t"":8028},{""x"":1022,""y"":410,""dx"":51,""dy"":-141,""t"":8061},{""x"":1036,""y"":403,""dx"":65,""dy"":-148,""t"":8096},{""x"":1038,""y"":395,""dx"":67,""dy"":-156,""t"":8129},{""x"":1013,""y"":421,""dx"":42,""dy"":-130,""t"":8164},{""x"":991,""y"":435,""dx"":20,""dy"":-116,""t"":8198},{""x"":981,""y"":434,""dx"":10,""dy"":-117,""t"":8232},{""x"":950,""y"":447,""dx"":-21,""dy"":-104,""t"":8266},{""x"":929,""y"":461,""dx"":-42,""dy"":-90,""t"":8300},{""x"":904,""y"":477,""dx"":-67,""dy"":-74,""t"":8335},{""x"":891,""y"":487,""dx"":-80,""dy"":-64,""t"":8368},{""x"":885,""y"":497,""dx"":-86,""dy"":-54,""t"":8402},{""x"":901,""y"":494,""dx"":-70,""dy"":-57,""t"":8436},{""x"":892,""y"":502,""dx"":-79,""dy"":-49,""t"":8470},{""x"":900,""y"":502,""dx"":-71,""dy"":-49,""t"":8504},{""x"":936,""y"":469,""dx"":-35,""dy"":-82,""t"":8537},{""x"":949,""y"":483,""dx"":-22,""dy"":-68,""t"":8573},{""x"":960,""y"":486,""dx"":-11,""dy"":-65,""t"":8606},{""x"":994,""y"":484,""dx"":23,""dy"":-67,""t"":8640},{""x"":992,""y"":488,""dx"":21,""dy"":-63,""t"":8675},{""x"":1013,""y"":496,""dx"":42,""dy"":-55,""t"":8709},{""x"":1023,""y"":492,""dx"":52,""dy"":-59,""t"":8742},{""x"":1034,""y"":499,""dx"":63,""dy"":-52,""t"":8777},{""x"":1053,""y"":486,""dx"":82,""dy"":-65,""t"":8810},{""x"":1052,""y"":494,""dx"":81,""dy"":-57,""t"":8843},{""x"":1041,""y"":516,""dx"":70,""dy"":-35,""t"":8878},{""x"":1044,""y"":506,""dx"":73,""dy"":-45,""t"":8912},{""x"":1037,""y"":521,""dx"":66,""dy"":-30,""t"":8946},{""x"":1055,""y"":513,""dx"":84,""dy"":-38,""t"":8980},{""x"":1059,""y"":522,""dx"":88,""dy"":-29,""t"":9013}],[{""x"":1466,""y"":366,""dx"":15,""dy"":85,""t"":10033},{""x"":1464,""y"":337,""dx"":13,""dy"":56,""t"":10067},{""x"":1468,""y"":334,""dx"":17,""dy"":53,""t"":10101},{""x"":1452,""y"":352,""dx"":1,""dy"":71,""t"":10136},{""x"":1450,""y"":347,""dx"":-1,""dy"":66,""t"":10169},{""x"":1463,""y"":314,""dx"":12,""dy"":33,""t"":10203},{""x"":1445,""y"":327,""dx"":-6,""dy"":46,""t"":10237},{""x"":1444,""y"":324,""dx"":-7,""dy"":43,""t"":10272},{""x"":1434,""y"":334,""dx"":-17,""dy"":53,""t"":10305},{""x"":1451,""y"":330,""dx"":0,""dy"":49,""t"":10339},{""x"":1454,""y"":335,""dx"":3,""dy"":54,""t"":10373},{""x"":1440,""y"":338,""dx"":-11,""dy"":57,""t"":10408},{""x"":1441,""y"":354,""dx"":-10,""dy"":73,""t"":10441},{""x"":1442,""y"":369,""dx"":-9,""dy"":88,""t"":10476},{""x"":1437,""y"":381,""dx"":-14,""dy"":100,""t"":10510},{""x"":1444,""y"":382,""dx"":-7,""dy"":101,""t"":10544},{""x"":1428,""y"":400,""dx"":-23,""dy"":119,""t"":10578},{""x"":1419,""y"":420,""dx"":-32,""dy"":139,""t"":10611},{""x"":1428,""y"":409,""dx"":-23,""dy"":128,""t"":10646},{""x"":1430,""y"":402,""dx"":-21,""dy"":121,""t"":10680},{""x"":1434,""y"":396,""dx"":-17,""dy"":115,""t"":10714},{""x"":1442,""y"":401,""dx"":-9,""dy"":120,""t"":10747},{""x"":1446,""y"":378,""dx"":-5,""dy"":97,""t"":10782},{""x"":1451,""y"":367,""dx"":0,""dy"":86,""t"":10815},{""x"":1454,""y"":327,""dx"":3,""dy"":46,""t"":10849},{""x"":1463,""y"":306,""dx"":12,""dy"":25,""t"":10883},{""x"":1465,""y"":294,""dx"":14,""dy"":13,""t"":10917},{""x"":1466,""y"":286,""dx"":15,""dy"":5,""t"":10949},{""x"":1474,""y"":280,""dx"":23,""dy"":-1,""t"":10985},{""x"":1484,""y"":269,""dx"":33,""dy"":-12,""t"":11020},{""x"":1501,""y"":271,""dx"":50,""dy"":-10,""t"":11055},{""x"":1517,""y"":258,""dx"":66,""dy"":-23,""t"":11087},{""x"":1543,""y"":259,""dx"":92,""dy"":-22,""t"":11121},{""x"":1537,""y"":283,""dx"":86,""dy"":2,""t"":11156},{""x"":1530,""y"":302,""dx"":79,""dy"":21,""t"":11189},{""x"":1512,""y"":265,""dx"":61,""dy"":-16,""t"":11224},{""x"":1482,""y"":250,""dx"":31,""dy"":-31,""t"":11257},{""x"":1469,""y"":280,""dx"":18,""dy"":-1,""t"":11292},{""x"":1458,""y"":306,""dx"":7,""dy"":25,""t"":11324},{""x"":1449,""y"":291,""dx"":-2,""dy"":10,""t"":11360},{""x"":1464,""y"":301,""dx"":13,""dy"":20,""t"":11393},{""x"":1491,""y"":332,""dx"":40,""dy"":51,""t"":11427},{""x"":1515,""y"":341,""dx"":64,""dy"":60,""t"":11462},{""x"":1535,""y"":368,""dx"":84,""dy"":87,""t"":11495},{""x"":1547,""y"":376,""dx"":96,""dy"":95,""t"":11530},{""x"":1559,""y"":360,""dx"":108,""dy"":79,""t"":11564},{""x"":1567,""y"":354,""dx"":116,""dy"":73,""t"":11599},{""x"":1562,""y"":347,""dx"":111,""dy"":66,""t"":11633},{""x"":1569,""y"":333,""dx"":118,""dy"":52,""t"":11666},{""x"":1567,""y"":332,""dx"":116,""dy"":51,""t"":11700},{""x"":1578,""y"":362,""dx"":127,""dy"":81,""t"":11733},{""x"":1556,""y"":369,""dx"":105,""dy"":88,""t"":11767},{""x"":1544,""y"":386,""dx"":93,""dy"":105,""t"":11801},{""x"":1533,""y"":380,""dx"":82,""dy"":99,""t"":11836},{""x"":1511,""y"":390,""dx"":60,""dy"":109,""t"":11870},{""x"":1480,""y"":401,""dx"":29,""dy"":120,""t"":11903},{""x"":1464,""y"":391,""dx"":13,""dy"":110,""t"":11937},{""x"":1450,""y"":398,""dx"":-1,""dy"":117,""t"":11971},{""x"":1441,""y"":342,""dx"":-10,""dy"":61,""t"":12006}],[{""x"":1484,""y"":800,""dx"":33,""dy"":-21,""t"":13025},{""x"":1472,""y"":799,""dx"":21,""dy"":-22,""t"":13061},{""x"":1461,""y"":796,""dx"":10,""dy"":-25,""t"":13094},{""x"":1447,""y"":805,""dx"":-4,""dy"":-16,""t"":13128},{""x"":1436,""y"":809,""dx"":-15,""dy"":-12,""t"":13162},{""x"":1432,""y"":804,""dx"":-19,""dy"":-17,""t"":13197},{""x"":1452,""y"":785,""dx"":1,""dy"":-36,""t"":13230},{""x"":1464,""y"":773,""dx"":13,""dy"":-48,""t"":13265},{""x"":1480,""y"":768,""dx"":29,""dy"":-53,""t"":13298},{""x"":1471,""y"":767,""dx"":20,""dy"":-54,""t"":13332},{""x"":1478,""y"":766,""dx"":27,""dy"":-55,""t"":13366},{""x"":1487,""y"":746,""dx"":36,""dy"":-75,""t"":13400},{""x"":1487,""y"":761,""dx"":36,""dy"":-60,""t"":13433},{""x"":1506,""y"":741,""dx"":55,""dy"":-80,""t"":13467},{""x"":1498,""y"":760,""dx"":47,""dy"":-61,""t"":13501},{""x"":1515,""y"":738,""dx"":64,""dy"":-83,""t"":13536},{""x"":1497,""y"":756,""dx"":46,""dy"":-65,""t"":13570},{""x"":1493,""y"":778,""dx"":42,""dy"":-43,""t"":13604},{""x"":1460,""y"":811,""dx"":9,""dy"":-10,""t"":13638},{""x"":1428,""y"":851,""dx"":-23,""dy"":30,""t"":13672},{""x"":1430,""y"":848,""dx"":-21,""dy"":27,""t"":13705},{""x"":1435,""y"":851,""dx"":-16,""dy"":30,""t"":13739},{""x"":1448,""y"":835,""dx"":-3,""dy"":14,""t"":13775},{""x"":1444,""y"":839,""dx"":-7,""dy"":18,""t"":13808},{""x"":1454,""y"":804,""dx"":3,""dy"":-17,""t"":13841},{""x"":1462,""y"":776,""dx"":11,""dy"":-45,""t"":13877},{""x"":1461,""y"":750,""dx"":10,""dy"":-71,""t"":13911},{""x"":1475,""y"":718,""dx"":24,""dy"":-103,""t"":13944},{""x"":1480,""y"":728,""dx"":29,""dy"":-93,""t"":13978},{""x"":1492,""y"":727,""dx"":41,""dy"":-94,""t"":14012},{""x"":1488,""y"":720,""dx"":37,""dy"":-101,""t"":14046},{""x"":1492,""y"":732,""dx"":41,""dy"":-89,""t"":14080},{""x"":1504,""y"":732,""dx"":53,""dy"":-89,""t"":14114},{""x"":1501,""y"":733,""dx"":50,""dy"":-88,""t"":14149},{""x"":1494,""y"":750,""dx"":43,""dy"":-71,""t"":14182},{""x"":1484,""y"":755,""dx"":33,""dy"":-66,""t"":14217},{""x"":1458,""y"":801,""dx"":7,""dy"":-20,""t"":14250},{""x"":1456,""y"":793,""dx"":5,""dy"":-28,""t"":14283},{""x"":1460,""y"":769,""dx"":9,""dy"":-52,""t"":14318},{""x"":1489,""y"":729,""dx"":38,""dy"":-92,""t"":14352},{""x"":1479,""y"":746,""dx"":28,""dy"":-75,""t"":14385},{""x"":1486,""y"":723,""dx"":35,""dy"":-98,""t"":14420},{""x"":1488,""y"":719,""dx"":37,""dy"":-102,""t"":14454},{""x"":1479,""y"":735,""dx"":28,""dy"":-86,""t"":14485},{""x"":1481,""y"":721,""dx"":30,""dy"":-100,""t"":14522},{""x"":1479,""y"":717,""dx"":28,""dy"":-104,""t"":14556},{""x"":1480,""y"":746,""dx"":29,""dy"":-75,""t"":14590},{""x"":1508,""y"":731,""dx"":57,""dy"":-90,""t"":14624},{""x"":1528,""y"":726,""dx"":77,""dy"":-95,""t"":14657},{""x"":1504,""y"":769,""dx"":53,""dy"":-52,""t"":14692},{""x"":1493,""y"":778,""dx"":42,""dy"":-43,""t"":14726},{""x"":1467,""y"":801,""dx"":16,""dy"":-20,""t"":14760},{""x"":1478,""y"":785,""dx"":27,""dy"":-36,""t"":14795},{""x"":1460,""y"":795,""dx"":9,""dy"":-26,""t"":14829},{""x"":1476,""y"":767,""dx"":25,""dy"":-54,""t"":14862},{""x"":1475,""y"":757,""dx"":24,""dy"":-64,""t"":14893},{""x"":1460,""y"":766,""dx"":9,""dy"":-55,""t"":14929},{""x"":1440,""y"":774,""dx"":-11,""dy"":-47,""t"":14964},{""x"":1438,""y"":758,""dx"":-13,""dy"":-63,""t"":14997},{""x"":1450,""y"":760,""dx"":-1,""dy"":-61,""t"":15033}]]","[93.33333333333333,27.11864406779661,100,100,100]","[{""x"":-72.6,""y"":96.06666666666666,""r"":81.94598032690122},{""x"":210.33898305084745,""y"":-35.11864406779661,""r"":47.674676177562546},{""x"":40,""y"":-70.26666666666667,""r"":71.82031098034471},{""x"":30.52542372881356,""y"":59.45762711864407,""r"":60.15074905035336},{""x"":22.4,""y"":-53.03333333333333,""r"":50.518393519029615}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","56084","0.0-3.0-4.0-0.0-0.0","542","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","65608","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
