"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","3656","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","11727","0.0-1.0-0.0","8068","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","12751","0.0-1.0-1.0","1022","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","21254","0.0-2.0","","","","2144","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","22078","0.0-3.0-0.0","822","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","30977","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","31558","0.0-3.0-2.0","581","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","49310","0.0-3.0-3.0","","","","","","[[{""x"":534,""y"":434,""dx"":43,""dy"":153,""t"":989},{""x"":486,""y"":425,""dx"":-5,""dy"":144,""t"":1024},{""x"":427,""y"":401,""dx"":-64,""dy"":120,""t"":1058},{""x"":387,""y"":369,""dx"":-104,""dy"":88,""t"":1092},{""x"":370,""y"":341,""dx"":-121,""dy"":60,""t"":1126},{""x"":357,""y"":321,""dx"":-134,""dy"":40,""t"":1161},{""x"":388,""y"":335,""dx"":-103,""dy"":54,""t"":1193},{""x"":393,""y"":323,""dx"":-98,""dy"":42,""t"":1228},{""x"":395,""y"":307,""dx"":-96,""dy"":26,""t"":1262},{""x"":391,""y"":299,""dx"":-100,""dy"":18,""t"":1296},{""x"":409,""y"":276,""dx"":-82,""dy"":-5,""t"":1330},{""x"":418,""y"":303,""dx"":-73,""dy"":22,""t"":1364},{""x"":406,""y"":310,""dx"":-85,""dy"":29,""t"":1399},{""x"":428,""y"":321,""dx"":-63,""dy"":40,""t"":1432},{""x"":435,""y"":324,""dx"":-56,""dy"":43,""t"":1464},{""x"":451,""y"":325,""dx"":-40,""dy"":44,""t"":1500},{""x"":490,""y"":358,""dx"":-1,""dy"":77,""t"":1533},{""x"":525,""y"":341,""dx"":34,""dy"":60,""t"":1568},{""x"":507,""y"":308,""dx"":16,""dy"":27,""t"":1602},{""x"":536,""y"":324,""dx"":45,""dy"":43,""t"":1637},{""x"":544,""y"":330,""dx"":53,""dy"":49,""t"":1670},{""x"":557,""y"":361,""dx"":66,""dy"":80,""t"":1704},{""x"":539,""y"":362,""dx"":48,""dy"":81,""t"":1738},{""x"":524,""y"":349,""dx"":33,""dy"":68,""t"":1772},{""x"":520,""y"":395,""dx"":29,""dy"":114,""t"":1806},{""x"":517,""y"":381,""dx"":26,""dy"":100,""t"":1840},{""x"":509,""y"":356,""dx"":18,""dy"":75,""t"":1872},{""x"":528,""y"":364,""dx"":37,""dy"":83,""t"":1908},{""x"":531,""y"":395,""dx"":40,""dy"":114,""t"":1942},{""x"":511,""y"":401,""dx"":20,""dy"":120,""t"":1976},{""x"":517,""y"":426,""dx"":26,""dy"":145,""t"":2010},{""x"":513,""y"":406,""dx"":22,""dy"":125,""t"":2043},{""x"":508,""y"":385,""dx"":17,""dy"":104,""t"":2078},{""x"":524,""y"":389,""dx"":33,""dy"":108,""t"":2112},{""x"":516,""y"":375,""dx"":25,""dy"":94,""t"":2146},{""x"":558,""y"":356,""dx"":67,""dy"":75,""t"":2180},{""x"":578,""y"":352,""dx"":87,""dy"":71,""t"":2214},{""x"":576,""y"":327,""dx"":85,""dy"":46,""t"":2248},{""x"":607,""y"":339,""dx"":116,""dy"":58,""t"":2282},{""x"":616,""y"":316,""dx"":125,""dy"":35,""t"":2315},{""x"":590,""y"":290,""dx"":99,""dy"":9,""t"":2350},{""x"":585,""y"":272,""dx"":94,""dy"":-9,""t"":2383},{""x"":559,""y"":257,""dx"":68,""dy"":-24,""t"":2419},{""x"":521,""y"":268,""dx"":30,""dy"":-13,""t"":2453},{""x"":492,""y"":279,""dx"":1,""dy"":-2,""t"":2486},{""x"":481,""y"":274,""dx"":-10,""dy"":-7,""t"":2519},{""x"":476,""y"":330,""dx"":-15,""dy"":49,""t"":2554},{""x"":453,""y"":333,""dx"":-38,""dy"":52,""t"":2588},{""x"":490,""y"":325,""dx"":-1,""dy"":44,""t"":2622},{""x"":489,""y"":323,""dx"":-2,""dy"":42,""t"":2656},{""x"":487,""y"":320,""dx"":-4,""dy"":39,""t"":2690},{""x"":448,""y"":297,""dx"":-43,""dy"":16,""t"":2724},{""x"":437,""y"":288,""dx"":-54,""dy"":7,""t"":2758},{""x"":418,""y"":307,""dx"":-73,""dy"":26,""t"":2792},{""x"":480,""y"":283,""dx"":-11,""dy"":2,""t"":2826},{""x"":498,""y"":308,""dx"":7,""dy"":27,""t"":2860},{""x"":497,""y"":326,""dx"":6,""dy"":45,""t"":2894},{""x"":505,""y"":320,""dx"":14,""dy"":39,""t"":2928},{""x"":498,""y"":341,""dx"":7,""dy"":60,""t"":2961},{""x"":494,""y"":342,""dx"":3,""dy"":61,""t"":2997}],[{""x"":518,""y"":776,""dx"":27,""dy"":-45,""t"":4016},{""x"":532,""y"":776,""dx"":41,""dy"":-45,""t"":4050},{""x"":542,""y"":780,""dx"":51,""dy"":-41,""t"":4083},{""x"":560,""y"":755,""dx"":69,""dy"":-66,""t"":4118},{""x"":568,""y"":779,""dx"":77,""dy"":-42,""t"":4152},{""x"":575,""y"":729,""dx"":84,""dy"":-92,""t"":4185},{""x"":584,""y"":755,""dx"":93,""dy"":-66,""t"":4219},{""x"":596,""y"":763,""dx"":105,""dy"":-58,""t"":4254},{""x"":581,""y"":791,""dx"":90,""dy"":-30,""t"":4288},{""x"":570,""y"":725,""dx"":79,""dy"":-96,""t"":4321},{""x"":559,""y"":710,""dx"":68,""dy"":-111,""t"":4355},{""x"":582,""y"":703,""dx"":91,""dy"":-118,""t"":4390},{""x"":604,""y"":705,""dx"":113,""dy"":-116,""t"":4423},{""x"":603,""y"":682,""dx"":112,""dy"":-139,""t"":4458},{""x"":595,""y"":699,""dx"":104,""dy"":-122,""t"":4492},{""x"":605,""y"":680,""dx"":114,""dy"":-141,""t"":4526},{""x"":592,""y"":647,""dx"":101,""dy"":-174,""t"":4561},{""x"":589,""y"":620,""dx"":98,""dy"":-201,""t"":4593},{""x"":603,""y"":610,""dx"":112,""dy"":-211,""t"":4629},{""x"":597,""y"":632,""dx"":106,""dy"":-189,""t"":4660},{""x"":611,""y"":645,""dx"":120,""dy"":-176,""t"":4696},{""x"":606,""y"":646,""dx"":115,""dy"":-175,""t"":4730},{""x"":603,""y"":654,""dx"":112,""dy"":-167,""t"":4764},{""x"":597,""y"":684,""dx"":106,""dy"":-137,""t"":4798},{""x"":620,""y"":692,""dx"":129,""dy"":-129,""t"":4832},{""x"":600,""y"":685,""dx"":109,""dy"":-136,""t"":4865},{""x"":606,""y"":695,""dx"":115,""dy"":-126,""t"":4900},{""x"":596,""y"":702,""dx"":105,""dy"":-119,""t"":4933},{""x"":597,""y"":706,""dx"":106,""dy"":-115,""t"":4969},{""x"":608,""y"":722,""dx"":117,""dy"":-99,""t"":5002},{""x"":618,""y"":736,""dx"":127,""dy"":-85,""t"":5033},{""x"":623,""y"":747,""dx"":132,""dy"":-74,""t"":5070},{""x"":601,""y"":735,""dx"":110,""dy"":-86,""t"":5104},{""x"":604,""y"":735,""dx"":113,""dy"":-86,""t"":5138},{""x"":583,""y"":728,""dx"":92,""dy"":-93,""t"":5171},{""x"":562,""y"":715,""dx"":71,""dy"":-106,""t"":5206},{""x"":571,""y"":720,""dx"":80,""dy"":-101,""t"":5240},{""x"":566,""y"":723,""dx"":75,""dy"":-98,""t"":5273},{""x"":564,""y"":744,""dx"":73,""dy"":-77,""t"":5308},{""x"":555,""y"":756,""dx"":64,""dy"":-65,""t"":5342},{""x"":583,""y"":754,""dx"":92,""dy"":-67,""t"":5376},{""x"":593,""y"":747,""dx"":102,""dy"":-74,""t"":5410},{""x"":593,""y"":774,""dx"":102,""dy"":-47,""t"":5445},{""x"":588,""y"":775,""dx"":97,""dy"":-46,""t"":5478},{""x"":584,""y"":761,""dx"":93,""dy"":-60,""t"":5512},{""x"":580,""y"":739,""dx"":89,""dy"":-82,""t"":5546},{""x"":584,""y"":752,""dx"":93,""dy"":-69,""t"":5580},{""x"":597,""y"":735,""dx"":106,""dy"":-86,""t"":5613},{""x"":617,""y"":741,""dx"":126,""dy"":-80,""t"":5648},{""x"":601,""y"":739,""dx"":110,""dy"":-82,""t"":5682},{""x"":588,""y"":757,""dx"":97,""dy"":-64,""t"":5716},{""x"":592,""y"":754,""dx"":101,""dy"":-67,""t"":5750},{""x"":547,""y"":731,""dx"":56,""dy"":-90,""t"":5783},{""x"":531,""y"":734,""dx"":40,""dy"":-87,""t"":5818},{""x"":550,""y"":737,""dx"":59,""dy"":-84,""t"":5852},{""x"":637,""y"":693,""dx"":146,""dy"":-128,""t"":5886},{""x"":729,""y"":646,""dx"":238,""dy"":-175,""t"":5920},{""x"":773,""y"":624,""dx"":282,""dy"":-197,""t"":5954},{""x"":837,""y"":592,""dx"":346,""dy"":-229,""t"":5988}],[{""x"":1002,""y"":481,""dx"":31,""dy"":-70,""t"":7008},{""x"":1008,""y"":493,""dx"":37,""dy"":-58,""t"":7040},{""x"":1003,""y"":456,""dx"":32,""dy"":-95,""t"":7077},{""x"":1034,""y"":471,""dx"":63,""dy"":-80,""t"":7111},{""x"":1006,""y"":444,""dx"":35,""dy"":-107,""t"":7143},{""x"":1020,""y"":443,""dx"":49,""dy"":-108,""t"":7177},{""x"":994,""y"":446,""dx"":23,""dy"":-105,""t"":7212},{""x"":994,""y"":415,""dx"":23,""dy"":-136,""t"":7245},{""x"":986,""y"":382,""dx"":15,""dy"":-169,""t"":7279},{""x"":994,""y"":346,""dx"":23,""dy"":-205,""t"":7314},{""x"":988,""y"":351,""dx"":17,""dy"":-200,""t"":7348},{""x"":1024,""y"":393,""dx"":53,""dy"":-158,""t"":7381},{""x"":999,""y"":392,""dx"":28,""dy"":-159,""t"":7416},{""x"":1008,""y"":376,""dx"":37,""dy"":-175,""t"":7450},{""x"":1023,""y"":364,""dx"":52,""dy"":-187,""t"":7483},{""x"":1014,""y"":364,""dx"":43,""dy"":-187,""t"":7518},{""x"":1018,""y"":400,""dx"":47,""dy"":-151,""t"":7551},{""x"":1035,""y"":386,""dx"":64,""dy"":-165,""t"":7586},{""x"":1062,""y"":368,""dx"":91,""dy"":-183,""t"":7620},{""x"":1038,""y"":402,""dx"":67,""dy"":-149,""t"":7653},{""x"":1030,""y"":404,""dx"":59,""dy"":-147,""t"":7688},{""x"":1010,""y"":407,""dx"":39,""dy"":-144,""t"":7722},{""x"":1025,""y"":423,""dx"":54,""dy"":-128,""t"":7756},{""x"":1029,""y"":443,""dx"":58,""dy"":-108,""t"":7789},{""x"":1013,""y"":461,""dx"":42,""dy"":-90,""t"":7824},{""x"":1025,""y"":475,""dx"":54,""dy"":-76,""t"":7858},{""x"":1037,""y"":492,""dx"":66,""dy"":-59,""t"":7892},{""x"":1049,""y"":511,""dx"":78,""dy"":-40,""t"":7926},{""x"":1066,""y"":513,""dx"":95,""dy"":-38,""t"":7959},{""x"":1082,""y"":533,""dx"":111,""dy"":-18,""t"":7994},{""x"":1094,""y"":516,""dx"":123,""dy"":-35,""t"":8028},{""x"":1088,""y"":487,""dx"":117,""dy"":-64,""t"":8062},{""x"":1090,""y"":479,""dx"":119,""dy"":-72,""t"":8096},{""x"":1091,""y"":477,""dx"":120,""dy"":-74,""t"":8129},{""x"":1083,""y"":473,""dx"":112,""dy"":-78,""t"":8164},{""x"":1076,""y"":471,""dx"":105,""dy"":-80,""t"":8196},{""x"":1049,""y"":468,""dx"":78,""dy"":-83,""t"":8232},{""x"":1062,""y"":484,""dx"":91,""dy"":-67,""t"":8266},{""x"":1065,""y"":454,""dx"":94,""dy"":-97,""t"":8300},{""x"":1092,""y"":489,""dx"":121,""dy"":-62,""t"":8333},{""x"":1073,""y"":461,""dx"":102,""dy"":-90,""t"":8368},{""x"":1048,""y"":451,""dx"":77,""dy"":-100,""t"":8402},{""x"":1042,""y"":445,""dx"":71,""dy"":-106,""t"":8436},{""x"":1033,""y"":428,""dx"":62,""dy"":-123,""t"":8470},{""x"":1006,""y"":452,""dx"":35,""dy"":-99,""t"":8504},{""x"":977,""y"":454,""dx"":6,""dy"":-97,""t"":8538},{""x"":960,""y"":425,""dx"":-11,""dy"":-126,""t"":8572},{""x"":946,""y"":400,""dx"":-25,""dy"":-151,""t"":8604},{""x"":947,""y"":388,""dx"":-24,""dy"":-163,""t"":8640},{""x"":966,""y"":415,""dx"":-5,""dy"":-136,""t"":8674},{""x"":1004,""y"":439,""dx"":33,""dy"":-112,""t"":8708},{""x"":1004,""y"":418,""dx"":33,""dy"":-133,""t"":8742},{""x"":989,""y"":446,""dx"":18,""dy"":-105,""t"":8775},{""x"":999,""y"":459,""dx"":28,""dy"":-92,""t"":8810},{""x"":1011,""y"":477,""dx"":40,""dy"":-74,""t"":8844},{""x"":1020,""y"":455,""dx"":49,""dy"":-96,""t"":8878},{""x"":1001,""y"":427,""dx"":30,""dy"":-124,""t"":8912},{""x"":1027,""y"":446,""dx"":56,""dy"":-105,""t"":8946},{""x"":1013,""y"":460,""dx"":42,""dy"":-91,""t"":8980},{""x"":1033,""y"":488,""dx"":62,""dy"":-63,""t"":9014}],[{""x"":1565,""y"":220,""dx"":114,""dy"":-61,""t"":10033},{""x"":1574,""y"":232,""dx"":123,""dy"":-49,""t"":10068},{""x"":1541,""y"":219,""dx"":90,""dy"":-62,""t"":10101},{""x"":1499,""y"":214,""dx"":48,""dy"":-67,""t"":10135},{""x"":1484,""y"":206,""dx"":33,""dy"":-75,""t"":10168},{""x"":1496,""y"":188,""dx"":45,""dy"":-93,""t"":10204},{""x"":1535,""y"":295,""dx"":84,""dy"":14,""t"":10238},{""x"":1539,""y"":271,""dx"":88,""dy"":-10,""t"":10271},{""x"":1557,""y"":305,""dx"":106,""dy"":24,""t"":10306},{""x"":1530,""y"":284,""dx"":79,""dy"":3,""t"":10339},{""x"":1538,""y"":323,""dx"":87,""dy"":42,""t"":10375},{""x"":1522,""y"":303,""dx"":71,""dy"":22,""t"":10407},{""x"":1525,""y"":338,""dx"":74,""dy"":57,""t"":10442},{""x"":1531,""y"":361,""dx"":80,""dy"":80,""t"":10476},{""x"":1525,""y"":321,""dx"":74,""dy"":40,""t"":10510},{""x"":1537,""y"":296,""dx"":86,""dy"":15,""t"":10544},{""x"":1548,""y"":274,""dx"":97,""dy"":-7,""t"":10575},{""x"":1579,""y"":330,""dx"":128,""dy"":49,""t"":10612},{""x"":1639,""y"":417,""dx"":188,""dy"":136,""t"":10647},{""x"":1680,""y"":507,""dx"":229,""dy"":226,""t"":10680},{""x"":1701,""y"":546,""dx"":250,""dy"":265,""t"":10714},{""x"":1706,""y"":516,""dx"":255,""dy"":235,""t"":10748},{""x"":1723,""y"":542,""dx"":272,""dy"":261,""t"":10782},{""x"":1646,""y"":461,""dx"":195,""dy"":180,""t"":10816},{""x"":1648,""y"":502,""dx"":197,""dy"":221,""t"":10850},{""x"":1586,""y"":418,""dx"":135,""dy"":137,""t"":10883},{""x"":1589,""y"":369,""dx"":138,""dy"":88,""t"":10918},{""x"":1629,""y"":414,""dx"":178,""dy"":133,""t"":10952},{""x"":1574,""y"":325,""dx"":123,""dy"":44,""t"":10986},{""x"":1532,""y"":274,""dx"":81,""dy"":-7,""t"":11020},{""x"":1532,""y"":346,""dx"":81,""dy"":65,""t"":11053},{""x"":1471,""y"":286,""dx"":20,""dy"":5,""t"":11088},{""x"":1493,""y"":357,""dx"":42,""dy"":76,""t"":11122},{""x"":1514,""y"":352,""dx"":63,""dy"":71,""t"":11156},{""x"":1468,""y"":304,""dx"":17,""dy"":23,""t"":11189},{""x"":1491,""y"":301,""dx"":40,""dy"":20,""t"":11224},{""x"":1488,""y"":324,""dx"":37,""dy"":43,""t"":11258},{""x"":1493,""y"":314,""dx"":42,""dy"":33,""t"":11292},{""x"":1510,""y"":303,""dx"":59,""dy"":22,""t"":11325},{""x"":1515,""y"":306,""dx"":64,""dy"":25,""t"":11360},{""x"":1547,""y"":351,""dx"":96,""dy"":70,""t"":11394},{""x"":1490,""y"":342,""dx"":39,""dy"":61,""t"":11428},{""x"":1473,""y"":323,""dx"":22,""dy"":42,""t"":11461},{""x"":1487,""y"":337,""dx"":36,""dy"":56,""t"":11496},{""x"":1471,""y"":336,""dx"":20,""dy"":55,""t"":11530},{""x"":1473,""y"":324,""dx"":22,""dy"":43,""t"":11564},{""x"":1467,""y"":334,""dx"":16,""dy"":53,""t"":11597},{""x"":1462,""y"":340,""dx"":11,""dy"":59,""t"":11632},{""x"":1457,""y"":341,""dx"":6,""dy"":60,""t"":11665},{""x"":1471,""y"":355,""dx"":20,""dy"":74,""t"":11700},{""x"":1493,""y"":388,""dx"":42,""dy"":107,""t"":11733},{""x"":1512,""y"":415,""dx"":61,""dy"":134,""t"":11766},{""x"":1511,""y"":451,""dx"":60,""dy"":170,""t"":11802},{""x"":1528,""y"":453,""dx"":77,""dy"":172,""t"":11835},{""x"":1552,""y"":463,""dx"":101,""dy"":182,""t"":11869},{""x"":1527,""y"":466,""dx"":76,""dy"":185,""t"":11904},{""x"":1537,""y"":417,""dx"":86,""dy"":136,""t"":11938},{""x"":1529,""y"":374,""dx"":78,""dy"":93,""t"":11971},{""x"":1515,""y"":343,""dx"":64,""dy"":62,""t"":12007},{""x"":1514,""y"":327,""dx"":63,""dy"":46,""t"":12039}],[{""x"":1313,""y"":806,""dx"":-138,""dy"":-15,""t"":13060},{""x"":1327,""y"":817,""dx"":-124,""dy"":-4,""t"":13094},{""x"":1324,""y"":802,""dx"":-127,""dy"":-19,""t"":13128},{""x"":1363,""y"":814,""dx"":-88,""dy"":-7,""t"":13162},{""x"":1359,""y"":835,""dx"":-92,""dy"":14,""t"":13197},{""x"":1345,""y"":834,""dx"":-106,""dy"":13,""t"":13230},{""x"":1342,""y"":850,""dx"":-109,""dy"":29,""t"":13264},{""x"":1327,""y"":798,""dx"":-124,""dy"":-23,""t"":13298},{""x"":1313,""y"":788,""dx"":-138,""dy"":-33,""t"":13332},{""x"":1291,""y"":754,""dx"":-160,""dy"":-67,""t"":13366},{""x"":1290,""y"":761,""dx"":-161,""dy"":-60,""t"":13400},{""x"":1287,""y"":765,""dx"":-164,""dy"":-56,""t"":13433},{""x"":1303,""y"":776,""dx"":-148,""dy"":-45,""t"":13468},{""x"":1334,""y"":776,""dx"":-117,""dy"":-45,""t"":13502},{""x"":1332,""y"":786,""dx"":-119,""dy"":-35,""t"":13536},{""x"":1371,""y"":784,""dx"":-80,""dy"":-37,""t"":13570},{""x"":1367,""y"":754,""dx"":-84,""dy"":-67,""t"":13605},{""x"":1362,""y"":738,""dx"":-89,""dy"":-83,""t"":13638},{""x"":1386,""y"":772,""dx"":-65,""dy"":-49,""t"":13672},{""x"":1391,""y"":721,""dx"":-60,""dy"":-100,""t"":13706},{""x"":1413,""y"":757,""dx"":-38,""dy"":-64,""t"":13738},{""x"":1432,""y"":788,""dx"":-19,""dy"":-33,""t"":13774},{""x"":1414,""y"":762,""dx"":-37,""dy"":-59,""t"":13808},{""x"":1430,""y"":783,""dx"":-21,""dy"":-38,""t"":13841},{""x"":1397,""y"":744,""dx"":-54,""dy"":-77,""t"":13876},{""x"":1371,""y"":718,""dx"":-80,""dy"":-103,""t"":13910},{""x"":1346,""y"":714,""dx"":-105,""dy"":-107,""t"":13944},{""x"":1320,""y"":676,""dx"":-131,""dy"":-145,""t"":13978},{""x"":1326,""y"":680,""dx"":-125,""dy"":-141,""t"":14011},{""x"":1314,""y"":662,""dx"":-137,""dy"":-159,""t"":14046},{""x"":1303,""y"":637,""dx"":-148,""dy"":-184,""t"":14079},{""x"":1286,""y"":637,""dx"":-165,""dy"":-184,""t"":14114},{""x"":1286,""y"":646,""dx"":-165,""dy"":-175,""t"":14149},{""x"":1272,""y"":641,""dx"":-179,""dy"":-180,""t"":14182},{""x"":1276,""y"":630,""dx"":-175,""dy"":-191,""t"":14216},{""x"":1279,""y"":628,""dx"":-172,""dy"":-193,""t"":14250},{""x"":1275,""y"":647,""dx"":-176,""dy"":-174,""t"":14283},{""x"":1271,""y"":647,""dx"":-180,""dy"":-174,""t"":14318},{""x"":1283,""y"":667,""dx"":-168,""dy"":-154,""t"":14352},{""x"":1296,""y"":682,""dx"":-155,""dy"":-139,""t"":14387},{""x"":1309,""y"":688,""dx"":-142,""dy"":-133,""t"":14421},{""x"":1325,""y"":701,""dx"":-126,""dy"":-120,""t"":14453},{""x"":1337,""y"":721,""dx"":-114,""dy"":-100,""t"":14488},{""x"":1348,""y"":740,""dx"":-103,""dy"":-81,""t"":14521},{""x"":1362,""y"":746,""dx"":-89,""dy"":-75,""t"":14556},{""x"":1363,""y"":757,""dx"":-88,""dy"":-64,""t"":14590},{""x"":1366,""y"":771,""dx"":-85,""dy"":-50,""t"":14624},{""x"":1370,""y"":774,""dx"":-81,""dy"":-47,""t"":14658},{""x"":1370,""y"":779,""dx"":-81,""dy"":-42,""t"":14692},{""x"":1376,""y"":784,""dx"":-75,""dy"":-37,""t"":14726},{""x"":1363,""y"":752,""dx"":-88,""dy"":-69,""t"":14759},{""x"":1357,""y"":742,""dx"":-94,""dy"":-79,""t"":14795},{""x"":1352,""y"":736,""dx"":-99,""dy"":-85,""t"":14828},{""x"":1338,""y"":741,""dx"":-113,""dy"":-80,""t"":14862},{""x"":1316,""y"":740,""dx"":-135,""dy"":-81,""t"":14896},{""x"":1327,""y"":740,""dx"":-124,""dy"":-81,""t"":14930},{""x"":1333,""y"":721,""dx"":-118,""dy"":-100,""t"":14963},{""x"":1317,""y"":697,""dx"":-134,""dy"":-124,""t"":14997},{""x"":1331,""y"":687,""dx"":-120,""dy"":-134,""t"":15032}]]","[100,83.05084745762711,95,83.33333333333334,81.35593220338984]","[{""x"":-0.6,""y"":55.55,""r"":97.06716441942247},{""x"":104.76271186440678,""y"":-104.52542372881356,""r"":39.63640044404731},{""x"":54.083333333333336,""y"":-109.88333333333334,""r"":69.85519026050508},{""x"":86.81666666666666,""y"":68.06666666666666,""r"":102.8297767684067},{""x"":-114.10169491525424,""y"":-83.8135593220339,""r"":57.126481884417345}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","",""
"","html-button-response","8","74158","0.0-4.0-0.0","24847","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","75168","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""8"",""8"",""2"",""2"",""2"",""2"",""2"",""2"",""8"",""8"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6"",""8"",""8"",""2"",""2"",""4"",""4"",""8"",""8"",""8"",""8"",""6"",""6"",""8"",""8"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","color","4","","","","","","","","","",""
