"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","19300","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","33103","0.0-1.0-0.0","13800","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","35878","0.0-1.0-1.0","2774","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","41430","0.0-2.0","","","","2198","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","42606","0.0-3.0-0.0","1174","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","65591","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","67262","0.0-3.0-2.0","1671","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","84814","0.0-3.0-3.0","","","","","","[[{""x"":521,""y"":292,""dx"":30,""dy"":11,""t"":990},{""x"":514,""y"":325,""dx"":23,""dy"":44,""t"":1023},{""x"":520,""y"":309,""dx"":29,""dy"":28,""t"":1058},{""x"":504,""y"":337,""dx"":13,""dy"":56,""t"":1092},{""x"":514,""y"":325,""dx"":23,""dy"":44,""t"":1126},{""x"":506,""y"":342,""dx"":15,""dy"":61,""t"":1160},{""x"":516,""y"":326,""dx"":25,""dy"":45,""t"":1194},{""x"":524,""y"":334,""dx"":33,""dy"":53,""t"":1225},{""x"":541,""y"":325,""dx"":50,""dy"":44,""t"":1263},{""x"":544,""y"":334,""dx"":53,""dy"":53,""t"":1296},{""x"":545,""y"":329,""dx"":54,""dy"":48,""t"":1330},{""x"":534,""y"":354,""dx"":43,""dy"":73,""t"":1363},{""x"":545,""y"":349,""dx"":54,""dy"":68,""t"":1398},{""x"":534,""y"":368,""dx"":43,""dy"":87,""t"":1431},{""x"":542,""y"":363,""dx"":51,""dy"":82,""t"":1467},{""x"":534,""y"":363,""dx"":43,""dy"":82,""t"":1499},{""x"":511,""y"":371,""dx"":20,""dy"":90,""t"":1534},{""x"":494,""y"":361,""dx"":3,""dy"":80,""t"":1567},{""x"":500,""y"":391,""dx"":9,""dy"":110,""t"":1601},{""x"":498,""y"":407,""dx"":7,""dy"":126,""t"":1636},{""x"":497,""y"":406,""dx"":6,""dy"":125,""t"":1670},{""x"":498,""y"":397,""dx"":7,""dy"":116,""t"":1703},{""x"":475,""y"":415,""dx"":-16,""dy"":134,""t"":1737},{""x"":466,""y"":420,""dx"":-25,""dy"":139,""t"":1771},{""x"":472,""y"":444,""dx"":-19,""dy"":163,""t"":1806},{""x"":465,""y"":445,""dx"":-26,""dy"":164,""t"":1840},{""x"":463,""y"":464,""dx"":-28,""dy"":183,""t"":1875},{""x"":445,""y"":483,""dx"":-46,""dy"":202,""t"":1909},{""x"":456,""y"":463,""dx"":-35,""dy"":182,""t"":1941},{""x"":480,""y"":447,""dx"":-11,""dy"":166,""t"":1975},{""x"":498,""y"":429,""dx"":7,""dy"":148,""t"":2011},{""x"":507,""y"":417,""dx"":16,""dy"":136,""t"":2044},{""x"":510,""y"":412,""dx"":19,""dy"":131,""t"":2078},{""x"":503,""y"":401,""dx"":12,""dy"":120,""t"":2112},{""x"":500,""y"":396,""dx"":9,""dy"":115,""t"":2146},{""x"":493,""y"":407,""dx"":2,""dy"":126,""t"":2179},{""x"":483,""y"":421,""dx"":-8,""dy"":140,""t"":2213},{""x"":482,""y"":419,""dx"":-9,""dy"":138,""t"":2247},{""x"":489,""y"":426,""dx"":-2,""dy"":145,""t"":2282},{""x"":481,""y"":411,""dx"":-10,""dy"":130,""t"":2315},{""x"":497,""y"":416,""dx"":6,""dy"":135,""t"":2350},{""x"":492,""y"":384,""dx"":1,""dy"":103,""t"":2384},{""x"":487,""y"":357,""dx"":-4,""dy"":76,""t"":2417},{""x"":499,""y"":321,""dx"":8,""dy"":40,""t"":2452},{""x"":517,""y"":315,""dx"":26,""dy"":34,""t"":2486},{""x"":508,""y"":316,""dx"":17,""dy"":35,""t"":2520},{""x"":506,""y"":313,""dx"":15,""dy"":32,""t"":2554},{""x"":523,""y"":337,""dx"":32,""dy"":56,""t"":2587},{""x"":535,""y"":372,""dx"":44,""dy"":91,""t"":2621},{""x"":543,""y"":374,""dx"":52,""dy"":93,""t"":2657},{""x"":524,""y"":366,""dx"":33,""dy"":85,""t"":2690},{""x"":507,""y"":399,""dx"":16,""dy"":118,""t"":2724},{""x"":497,""y"":410,""dx"":6,""dy"":129,""t"":2758},{""x"":488,""y"":404,""dx"":-3,""dy"":123,""t"":2791},{""x"":492,""y"":404,""dx"":1,""dy"":123,""t"":2824},{""x"":497,""y"":398,""dx"":6,""dy"":117,""t"":2859},{""x"":509,""y"":407,""dx"":18,""dy"":126,""t"":2894},{""x"":516,""y"":400,""dx"":25,""dy"":119,""t"":2929},{""x"":524,""y"":401,""dx"":33,""dy"":120,""t"":2962},{""x"":519,""y"":404,""dx"":28,""dy"":123,""t"":2996}],[{""x"":484,""y"":822,""dx"":-7,""dy"":1,""t"":4016},{""x"":513,""y"":818,""dx"":22,""dy"":-3,""t"":4050},{""x"":520,""y"":808,""dx"":29,""dy"":-13,""t"":4084},{""x"":535,""y"":767,""dx"":44,""dy"":-54,""t"":4117},{""x"":554,""y"":763,""dx"":63,""dy"":-58,""t"":4152},{""x"":559,""y"":767,""dx"":68,""dy"":-54,""t"":4186},{""x"":555,""y"":778,""dx"":64,""dy"":-43,""t"":4219},{""x"":549,""y"":763,""dx"":58,""dy"":-58,""t"":4254},{""x"":565,""y"":750,""dx"":74,""dy"":-71,""t"":4287},{""x"":568,""y"":726,""dx"":77,""dy"":-95,""t"":4322},{""x"":572,""y"":723,""dx"":81,""dy"":-98,""t"":4357},{""x"":575,""y"":721,""dx"":84,""dy"":-100,""t"":4388},{""x"":585,""y"":676,""dx"":94,""dy"":-145,""t"":4423},{""x"":594,""y"":716,""dx"":103,""dy"":-105,""t"":4458},{""x"":577,""y"":681,""dx"":86,""dy"":-140,""t"":4491},{""x"":559,""y"":661,""dx"":68,""dy"":-160,""t"":4526},{""x"":555,""y"":672,""dx"":64,""dy"":-149,""t"":4560},{""x"":552,""y"":696,""dx"":61,""dy"":-125,""t"":4594},{""x"":542,""y"":704,""dx"":51,""dy"":-117,""t"":4628},{""x"":515,""y"":702,""dx"":24,""dy"":-119,""t"":4662},{""x"":507,""y"":735,""dx"":16,""dy"":-86,""t"":4697},{""x"":502,""y"":730,""dx"":11,""dy"":-91,""t"":4730},{""x"":486,""y"":741,""dx"":-5,""dy"":-80,""t"":4764},{""x"":501,""y"":725,""dx"":10,""dy"":-96,""t"":4799},{""x"":489,""y"":750,""dx"":-2,""dy"":-71,""t"":4832},{""x"":500,""y"":754,""dx"":9,""dy"":-67,""t"":4866},{""x"":516,""y"":765,""dx"":25,""dy"":-56,""t"":4900},{""x"":518,""y"":736,""dx"":27,""dy"":-85,""t"":4934},{""x"":533,""y"":718,""dx"":42,""dy"":-103,""t"":4968},{""x"":541,""y"":734,""dx"":50,""dy"":-87,""t"":5002},{""x"":546,""y"":726,""dx"":55,""dy"":-95,""t"":5035},{""x"":530,""y"":735,""dx"":39,""dy"":-86,""t"":5069},{""x"":537,""y"":750,""dx"":46,""dy"":-71,""t"":5103},{""x"":532,""y"":753,""dx"":41,""dy"":-68,""t"":5137},{""x"":519,""y"":771,""dx"":28,""dy"":-50,""t"":5171},{""x"":505,""y"":766,""dx"":14,""dy"":-55,""t"":5206},{""x"":503,""y"":754,""dx"":12,""dy"":-67,""t"":5239},{""x"":513,""y"":734,""dx"":22,""dy"":-87,""t"":5274},{""x"":518,""y"":763,""dx"":27,""dy"":-58,""t"":5307},{""x"":504,""y"":775,""dx"":13,""dy"":-46,""t"":5342},{""x"":509,""y"":788,""dx"":18,""dy"":-33,""t"":5375},{""x"":521,""y"":785,""dx"":30,""dy"":-36,""t"":5410},{""x"":542,""y"":785,""dx"":51,""dy"":-36,""t"":5444},{""x"":535,""y"":790,""dx"":44,""dy"":-31,""t"":5478},{""x"":524,""y"":795,""dx"":33,""dy"":-26,""t"":5512},{""x"":501,""y"":792,""dx"":10,""dy"":-29,""t"":5546},{""x"":480,""y"":797,""dx"":-11,""dy"":-24,""t"":5580},{""x"":470,""y"":805,""dx"":-21,""dy"":-16,""t"":5613},{""x"":471,""y"":768,""dx"":-20,""dy"":-53,""t"":5648},{""x"":482,""y"":762,""dx"":-9,""dy"":-59,""t"":5682},{""x"":484,""y"":718,""dx"":-7,""dy"":-103,""t"":5715},{""x"":494,""y"":703,""dx"":3,""dy"":-118,""t"":5750},{""x"":493,""y"":705,""dx"":2,""dy"":-116,""t"":5784},{""x"":491,""y"":677,""dx"":0,""dy"":-144,""t"":5818},{""x"":496,""y"":707,""dx"":5,""dy"":-114,""t"":5852},{""x"":500,""y"":727,""dx"":9,""dy"":-94,""t"":5887},{""x"":490,""y"":748,""dx"":-1,""dy"":-73,""t"":5920},{""x"":480,""y"":766,""dx"":-11,""dy"":-55,""t"":5952},{""x"":492,""y"":765,""dx"":1,""dy"":-56,""t"":5988}],[{""x"":1125,""y"":585,""dx"":154,""dy"":34,""t"":7042},{""x"":1118,""y"":584,""dx"":147,""dy"":33,""t"":7076},{""x"":1132,""y"":571,""dx"":161,""dy"":20,""t"":7110},{""x"":1127,""y"":569,""dx"":156,""dy"":18,""t"":7143},{""x"":1134,""y"":548,""dx"":163,""dy"":-3,""t"":7178},{""x"":1118,""y"":547,""dx"":147,""dy"":-4,""t"":7212},{""x"":1108,""y"":571,""dx"":137,""dy"":20,""t"":7246},{""x"":1080,""y"":607,""dx"":109,""dy"":56,""t"":7280},{""x"":1062,""y"":627,""dx"":91,""dy"":76,""t"":7314},{""x"":1066,""y"":611,""dx"":95,""dy"":60,""t"":7347},{""x"":1068,""y"":614,""dx"":97,""dy"":63,""t"":7381},{""x"":1073,""y"":604,""dx"":102,""dy"":53,""t"":7415},{""x"":1088,""y"":584,""dx"":117,""dy"":33,""t"":7449},{""x"":1099,""y"":575,""dx"":128,""dy"":24,""t"":7483},{""x"":1059,""y"":565,""dx"":88,""dy"":14,""t"":7518},{""x"":1057,""y"":560,""dx"":86,""dy"":9,""t"":7551},{""x"":1083,""y"":546,""dx"":112,""dy"":-5,""t"":7586},{""x"":1088,""y"":544,""dx"":117,""dy"":-7,""t"":7620},{""x"":1093,""y"":552,""dx"":122,""dy"":1,""t"":7654},{""x"":1091,""y"":556,""dx"":120,""dy"":5,""t"":7688},{""x"":1100,""y"":550,""dx"":129,""dy"":-1,""t"":7722},{""x"":1115,""y"":548,""dx"":144,""dy"":-3,""t"":7756},{""x"":1115,""y"":581,""dx"":144,""dy"":30,""t"":7790},{""x"":1106,""y"":572,""dx"":135,""dy"":21,""t"":7824},{""x"":1106,""y"":562,""dx"":135,""dy"":11,""t"":7857},{""x"":1106,""y"":562,""dx"":135,""dy"":11,""t"":7892},{""x"":1109,""y"":561,""dx"":138,""dy"":10,""t"":7926},{""x"":1111,""y"":559,""dx"":140,""dy"":8,""t"":7958},{""x"":1111,""y"":560,""dx"":140,""dy"":9,""t"":7994},{""x"":1077,""y"":579,""dx"":106,""dy"":28,""t"":8027},{""x"":1068,""y"":603,""dx"":97,""dy"":52,""t"":8062},{""x"":1051,""y"":606,""dx"":80,""dy"":55,""t"":8097},{""x"":1063,""y"":580,""dx"":92,""dy"":29,""t"":8130},{""x"":1065,""y"":587,""dx"":94,""dy"":36,""t"":8164},{""x"":1064,""y"":615,""dx"":93,""dy"":64,""t"":8197},{""x"":1081,""y"":585,""dx"":110,""dy"":34,""t"":8233},{""x"":1079,""y"":579,""dx"":108,""dy"":28,""t"":8266},{""x"":1100,""y"":573,""dx"":129,""dy"":22,""t"":8300},{""x"":1122,""y"":552,""dx"":151,""dy"":1,""t"":8334},{""x"":1145,""y"":537,""dx"":174,""dy"":-14,""t"":8369},{""x"":1131,""y"":546,""dx"":160,""dy"":-5,""t"":8401},{""x"":1149,""y"":543,""dx"":178,""dy"":-8,""t"":8436},{""x"":1143,""y"":570,""dx"":172,""dy"":19,""t"":8470},{""x"":1138,""y"":585,""dx"":167,""dy"":34,""t"":8503},{""x"":1125,""y"":596,""dx"":154,""dy"":45,""t"":8537},{""x"":1121,""y"":608,""dx"":150,""dy"":57,""t"":8572},{""x"":1132,""y"":602,""dx"":161,""dy"":51,""t"":8606},{""x"":1157,""y"":565,""dx"":186,""dy"":14,""t"":8639},{""x"":1145,""y"":559,""dx"":174,""dy"":8,""t"":8674},{""x"":1128,""y"":549,""dx"":157,""dy"":-2,""t"":8708},{""x"":1121,""y"":568,""dx"":150,""dy"":17,""t"":8742},{""x"":1103,""y"":608,""dx"":132,""dy"":57,""t"":8776},{""x"":1105,""y"":617,""dx"":134,""dy"":66,""t"":8810},{""x"":1100,""y"":646,""dx"":129,""dy"":95,""t"":8844},{""x"":1103,""y"":625,""dx"":132,""dy"":74,""t"":8878},{""x"":1080,""y"":639,""dx"":109,""dy"":88,""t"":8911},{""x"":1055,""y"":643,""dx"":84,""dy"":92,""t"":8947},{""x"":1027,""y"":654,""dx"":56,""dy"":103,""t"":8981},{""x"":1013,""y"":679,""dx"":42,""dy"":128,""t"":9014}],[{""x"":1354,""y"":473,""dx"":-97,""dy"":192,""t"":10033},{""x"":1372,""y"":460,""dx"":-79,""dy"":179,""t"":10068},{""x"":1362,""y"":470,""dx"":-89,""dy"":189,""t"":10102},{""x"":1378,""y"":443,""dx"":-73,""dy"":162,""t"":10136},{""x"":1397,""y"":445,""dx"":-54,""dy"":164,""t"":10170},{""x"":1399,""y"":409,""dx"":-52,""dy"":128,""t"":10204},{""x"":1415,""y"":395,""dx"":-36,""dy"":114,""t"":10237},{""x"":1423,""y"":400,""dx"":-28,""dy"":119,""t"":10272},{""x"":1417,""y"":360,""dx"":-34,""dy"":79,""t"":10306},{""x"":1423,""y"":339,""dx"":-28,""dy"":58,""t"":10340},{""x"":1431,""y"":366,""dx"":-20,""dy"":85,""t"":10375},{""x"":1450,""y"":380,""dx"":-1,""dy"":99,""t"":10408},{""x"":1437,""y"":414,""dx"":-14,""dy"":133,""t"":10442},{""x"":1442,""y"":421,""dx"":-9,""dy"":140,""t"":10476},{""x"":1442,""y"":411,""dx"":-9,""dy"":130,""t"":10510},{""x"":1423,""y"":438,""dx"":-28,""dy"":157,""t"":10544},{""x"":1410,""y"":423,""dx"":-41,""dy"":142,""t"":10578},{""x"":1392,""y"":408,""dx"":-59,""dy"":127,""t"":10612},{""x"":1396,""y"":397,""dx"":-55,""dy"":116,""t"":10645},{""x"":1403,""y"":403,""dx"":-48,""dy"":122,""t"":10680},{""x"":1417,""y"":415,""dx"":-34,""dy"":134,""t"":10714},{""x"":1405,""y"":403,""dx"":-46,""dy"":122,""t"":10748},{""x"":1412,""y"":400,""dx"":-39,""dy"":119,""t"":10782},{""x"":1422,""y"":417,""dx"":-29,""dy"":136,""t"":10816},{""x"":1423,""y"":409,""dx"":-28,""dy"":128,""t"":10849},{""x"":1427,""y"":419,""dx"":-24,""dy"":138,""t"":10883},{""x"":1423,""y"":441,""dx"":-28,""dy"":160,""t"":10918},{""x"":1410,""y"":426,""dx"":-41,""dy"":145,""t"":10951},{""x"":1391,""y"":423,""dx"":-60,""dy"":142,""t"":10986},{""x"":1386,""y"":401,""dx"":-65,""dy"":120,""t"":11019},{""x"":1384,""y"":402,""dx"":-67,""dy"":121,""t"":11054},{""x"":1391,""y"":405,""dx"":-60,""dy"":124,""t"":11087},{""x"":1391,""y"":411,""dx"":-60,""dy"":130,""t"":11120},{""x"":1386,""y"":398,""dx"":-65,""dy"":117,""t"":11156},{""x"":1395,""y"":404,""dx"":-56,""dy"":123,""t"":11190},{""x"":1401,""y"":399,""dx"":-50,""dy"":118,""t"":11225},{""x"":1377,""y"":395,""dx"":-74,""dy"":114,""t"":11258},{""x"":1389,""y"":381,""dx"":-62,""dy"":100,""t"":11292},{""x"":1385,""y"":381,""dx"":-66,""dy"":100,""t"":11327},{""x"":1392,""y"":425,""dx"":-59,""dy"":144,""t"":11360},{""x"":1369,""y"":530,""dx"":-82,""dy"":249,""t"":11395},{""x"":1353,""y"":612,""dx"":-98,""dy"":331,""t"":11428},{""x"":1332,""y"":665,""dx"":-119,""dy"":384,""t"":11462},{""x"":1292,""y"":654,""dx"":-159,""dy"":373,""t"":11497},{""x"":1304,""y"":654,""dx"":-147,""dy"":373,""t"":11528},{""x"":1330,""y"":551,""dx"":-121,""dy"":270,""t"":11564},{""x"":1346,""y"":519,""dx"":-105,""dy"":238,""t"":11598},{""x"":1340,""y"":514,""dx"":-111,""dy"":233,""t"":11632},{""x"":1361,""y"":477,""dx"":-90,""dy"":196,""t"":11666},{""x"":1373,""y"":431,""dx"":-78,""dy"":150,""t"":11700},{""x"":1386,""y"":434,""dx"":-65,""dy"":153,""t"":11735},{""x"":1379,""y"":412,""dx"":-72,""dy"":131,""t"":11768},{""x"":1392,""y"":400,""dx"":-59,""dy"":119,""t"":11802},{""x"":1400,""y"":381,""dx"":-51,""dy"":100,""t"":11837},{""x"":1398,""y"":382,""dx"":-53,""dy"":101,""t"":11869},{""x"":1380,""y"":395,""dx"":-71,""dy"":114,""t"":11904},{""x"":1391,""y"":407,""dx"":-60,""dy"":126,""t"":11937},{""x"":1387,""y"":411,""dx"":-64,""dy"":130,""t"":11972},{""x"":1396,""y"":393,""dx"":-55,""dy"":112,""t"":12006}],[{""x"":1419,""y"":708,""dx"":-32,""dy"":-113,""t"":13061},{""x"":1421,""y"":671,""dx"":-30,""dy"":-150,""t"":13094},{""x"":1414,""y"":667,""dx"":-37,""dy"":-154,""t"":13126},{""x"":1414,""y"":675,""dx"":-37,""dy"":-146,""t"":13162},{""x"":1402,""y"":684,""dx"":-49,""dy"":-137,""t"":13195},{""x"":1342,""y"":728,""dx"":-109,""dy"":-93,""t"":13231},{""x"":1302,""y"":762,""dx"":-149,""dy"":-59,""t"":13264},{""x"":1290,""y"":809,""dx"":-161,""dy"":-12,""t"":13298},{""x"":1281,""y"":810,""dx"":-170,""dy"":-11,""t"":13334},{""x"":1285,""y"":805,""dx"":-166,""dy"":-16,""t"":13365},{""x"":1289,""y"":819,""dx"":-162,""dy"":-2,""t"":13399},{""x"":1251,""y"":865,""dx"":-200,""dy"":44,""t"":13435},{""x"":1181,""y"":929,""dx"":-270,""dy"":108,""t"":13468},{""x"":1151,""y"":927,""dx"":-300,""dy"":106,""t"":13503},{""x"":1179,""y"":917,""dx"":-272,""dy"":96,""t"":13536},{""x"":1215,""y"":883,""dx"":-236,""dy"":62,""t"":13570},{""x"":1254,""y"":855,""dx"":-197,""dy"":34,""t"":13604},{""x"":1269,""y"":842,""dx"":-182,""dy"":21,""t"":13637},{""x"":1310,""y"":787,""dx"":-141,""dy"":-34,""t"":13672},{""x"":1341,""y"":747,""dx"":-110,""dy"":-74,""t"":13706},{""x"":1365,""y"":725,""dx"":-86,""dy"":-96,""t"":13740},{""x"":1378,""y"":716,""dx"":-73,""dy"":-105,""t"":13774},{""x"":1392,""y"":716,""dx"":-59,""dy"":-105,""t"":13808},{""x"":1423,""y"":709,""dx"":-28,""dy"":-112,""t"":13842},{""x"":1432,""y"":714,""dx"":-19,""dy"":-107,""t"":13876},{""x"":1451,""y"":696,""dx"":0,""dy"":-125,""t"":13910},{""x"":1456,""y"":671,""dx"":5,""dy"":-150,""t"":13944},{""x"":1440,""y"":677,""dx"":-11,""dy"":-144,""t"":13977},{""x"":1438,""y"":666,""dx"":-13,""dy"":-155,""t"":14012},{""x"":1428,""y"":689,""dx"":-23,""dy"":-132,""t"":14045},{""x"":1419,""y"":675,""dx"":-32,""dy"":-146,""t"":14080},{""x"":1428,""y"":694,""dx"":-23,""dy"":-127,""t"":14113},{""x"":1420,""y"":697,""dx"":-31,""dy"":-124,""t"":14148},{""x"":1402,""y"":711,""dx"":-49,""dy"":-110,""t"":14182},{""x"":1401,""y"":717,""dx"":-50,""dy"":-104,""t"":14216},{""x"":1393,""y"":715,""dx"":-58,""dy"":-106,""t"":14249},{""x"":1383,""y"":731,""dx"":-68,""dy"":-90,""t"":14283},{""x"":1395,""y"":729,""dx"":-56,""dy"":-92,""t"":14319},{""x"":1393,""y"":717,""dx"":-58,""dy"":-104,""t"":14352},{""x"":1381,""y"":724,""dx"":-70,""dy"":-97,""t"":14386},{""x"":1380,""y"":728,""dx"":-71,""dy"":-93,""t"":14419},{""x"":1398,""y"":720,""dx"":-53,""dy"":-101,""t"":14454},{""x"":1395,""y"":712,""dx"":-56,""dy"":-109,""t"":14487},{""x"":1382,""y"":698,""dx"":-69,""dy"":-123,""t"":14522},{""x"":1389,""y"":694,""dx"":-62,""dy"":-127,""t"":14555},{""x"":1409,""y"":698,""dx"":-42,""dy"":-123,""t"":14591},{""x"":1403,""y"":708,""dx"":-48,""dy"":-113,""t"":14624},{""x"":1416,""y"":707,""dx"":-35,""dy"":-114,""t"":14658},{""x"":1427,""y"":707,""dx"":-24,""dy"":-114,""t"":14690},{""x"":1439,""y"":699,""dx"":-12,""dy"":-122,""t"":14726},{""x"":1460,""y"":692,""dx"":9,""dy"":-129,""t"":14761},{""x"":1437,""y"":698,""dx"":-14,""dy"":-123,""t"":14793},{""x"":1426,""y"":733,""dx"":-25,""dy"":-88,""t"":14827},{""x"":1416,""y"":750,""dx"":-35,""dy"":-71,""t"":14862},{""x"":1429,""y"":767,""dx"":-22,""dy"":-54,""t"":14895},{""x"":1428,""y"":776,""dx"":-23,""dy"":-45,""t"":14930},{""x"":1416,""y"":769,""dx"":-35,""dy"":-52,""t"":14964},{""x"":1410,""y"":773,""dx"":-41,""dy"":-48,""t"":14997},{""x"":1401,""y"":757,""dx"":-50,""dy"":-64,""t"":15032}]]","[98.33333333333333,100,100,81.35593220338984,91.52542372881356]","[{""x"":13.733333333333333,""y"":101.1,""r"":60.40637392235094},{""x"":30.74576271186441,""y"":-75.03389830508475,""r"":43.44193111400672},{""x"":127.96610169491525,""y"":31.593220338983052,""r"":36.05946842169892},{""x"":-59.779661016949156,""y"":153.4406779661017,""r"":38.96920166670918},{""x"":-76.61016949152543,""y"":-79.22033898305085,""r"":63.60095811404882}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.41","validate","","","","","","","","","","","","","",""
"","html-button-response","8","86086","0.0-4.0-0.0","1271","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","87112","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""6"",""6"",""2"",""2"",""6"",""6"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""8"",""8"",""2"",""2"",""8"",""8"",""8"",""8"",""4"",""4"",""4"",""4"",""8"",""8"",""6"",""6"",""2"",""2"",""6"",""6"",""2"",""2"",""4"",""4"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
