"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","6102","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","10891","0.0-1.0-0.0","4786","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","12786","0.0-1.0-1.0","1895","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","19536","0.0-2.0","","","","2109","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","21331","0.0-3.0-0.0","1793","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","33124","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","34203","0.0-3.0-2.0","1078","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","51622","0.0-3.0-3.0","","","","","","[[{""x"":481,""y"":393,""dx"":-10,""dy"":112,""t"":989},{""x"":482,""y"":442,""dx"":-9,""dy"":161,""t"":1025},{""x"":494,""y"":516,""dx"":3,""dy"":235,""t"":1058},{""x"":607,""y"":624,""dx"":116,""dy"":343,""t"":1092},{""x"":623,""y"":651,""dx"":132,""dy"":370,""t"":1125},{""x"":585,""y"":644,""dx"":94,""dy"":363,""t"":1161},{""x"":569,""y"":634,""dx"":78,""dy"":353,""t"":1192},{""x"":582,""y"":654,""dx"":91,""dy"":373,""t"":1228},{""x"":555,""y"":608,""dx"":64,""dy"":327,""t"":1263},{""x"":535,""y"":579,""dx"":44,""dy"":298,""t"":1296},{""x"":526,""y"":554,""dx"":35,""dy"":273,""t"":1330},{""x"":522,""y"":543,""dx"":31,""dy"":262,""t"":1364},{""x"":500,""y"":516,""dx"":9,""dy"":235,""t"":1397},{""x"":505,""y"":534,""dx"":14,""dy"":253,""t"":1432},{""x"":515,""y"":523,""dx"":24,""dy"":242,""t"":1466},{""x"":529,""y"":526,""dx"":38,""dy"":245,""t"":1500},{""x"":520,""y"":512,""dx"":29,""dy"":231,""t"":1534},{""x"":536,""y"":523,""dx"":45,""dy"":242,""t"":1569},{""x"":549,""y"":534,""dx"":58,""dy"":253,""t"":1600},{""x"":528,""y"":499,""dx"":37,""dy"":218,""t"":1637},{""x"":492,""y"":469,""dx"":1,""dy"":188,""t"":1669},{""x"":507,""y"":459,""dx"":16,""dy"":178,""t"":1705},{""x"":525,""y"":467,""dx"":34,""dy"":186,""t"":1739},{""x"":536,""y"":442,""dx"":45,""dy"":161,""t"":1772},{""x"":526,""y"":430,""dx"":35,""dy"":149,""t"":1806},{""x"":494,""y"":379,""dx"":3,""dy"":98,""t"":1840},{""x"":503,""y"":411,""dx"":12,""dy"":130,""t"":1874},{""x"":497,""y"":433,""dx"":6,""dy"":152,""t"":1908},{""x"":501,""y"":434,""dx"":10,""dy"":153,""t"":1942},{""x"":514,""y"":438,""dx"":23,""dy"":157,""t"":1976},{""x"":454,""y"":414,""dx"":-37,""dy"":133,""t"":2011},{""x"":467,""y"":412,""dx"":-24,""dy"":131,""t"":2045},{""x"":456,""y"":425,""dx"":-35,""dy"":144,""t"":2078},{""x"":434,""y"":415,""dx"":-57,""dy"":134,""t"":2112},{""x"":459,""y"":418,""dx"":-32,""dy"":137,""t"":2146},{""x"":468,""y"":410,""dx"":-23,""dy"":129,""t"":2180},{""x"":493,""y"":432,""dx"":2,""dy"":151,""t"":2213},{""x"":485,""y"":398,""dx"":-6,""dy"":117,""t"":2248},{""x"":489,""y"":417,""dx"":-2,""dy"":136,""t"":2283},{""x"":504,""y"":414,""dx"":13,""dy"":133,""t"":2316},{""x"":539,""y"":455,""dx"":48,""dy"":174,""t"":2350},{""x"":554,""y"":480,""dx"":63,""dy"":199,""t"":2384},{""x"":545,""y"":438,""dx"":54,""dy"":157,""t"":2418},{""x"":559,""y"":466,""dx"":68,""dy"":185,""t"":2452},{""x"":572,""y"":488,""dx"":81,""dy"":207,""t"":2486},{""x"":586,""y"":498,""dx"":95,""dy"":217,""t"":2520},{""x"":572,""y"":496,""dx"":81,""dy"":215,""t"":2554},{""x"":539,""y"":460,""dx"":48,""dy"":179,""t"":2588},{""x"":535,""y"":457,""dx"":44,""dy"":176,""t"":2622},{""x"":523,""y"":464,""dx"":32,""dy"":183,""t"":2655},{""x"":522,""y"":460,""dx"":31,""dy"":179,""t"":2690},{""x"":512,""y"":456,""dx"":21,""dy"":175,""t"":2724},{""x"":472,""y"":433,""dx"":-19,""dy"":152,""t"":2757},{""x"":445,""y"":408,""dx"":-46,""dy"":127,""t"":2792},{""x"":429,""y"":403,""dx"":-62,""dy"":122,""t"":2826},{""x"":421,""y"":412,""dx"":-70,""dy"":131,""t"":2860},{""x"":401,""y"":396,""dx"":-90,""dy"":115,""t"":2894},{""x"":426,""y"":423,""dx"":-65,""dy"":142,""t"":2929},{""x"":447,""y"":415,""dx"":-44,""dy"":134,""t"":2962}],[{""x"":655,""y"":696,""dx"":164,""dy"":-125,""t"":4016},{""x"":615,""y"":673,""dx"":124,""dy"":-148,""t"":4051},{""x"":639,""y"":676,""dx"":148,""dy"":-145,""t"":4084},{""x"":642,""y"":683,""dx"":151,""dy"":-138,""t"":4118},{""x"":654,""y"":671,""dx"":163,""dy"":-150,""t"":4152},{""x"":682,""y"":676,""dx"":191,""dy"":-145,""t"":4187},{""x"":673,""y"":696,""dx"":182,""dy"":-125,""t"":4219},{""x"":678,""y"":698,""dx"":187,""dy"":-123,""t"":4253},{""x"":670,""y"":710,""dx"":179,""dy"":-111,""t"":4287},{""x"":665,""y"":709,""dx"":174,""dy"":-112,""t"":4323},{""x"":677,""y"":709,""dx"":186,""dy"":-112,""t"":4356},{""x"":640,""y"":683,""dx"":149,""dy"":-138,""t"":4390},{""x"":641,""y"":689,""dx"":150,""dy"":-132,""t"":4423},{""x"":627,""y"":687,""dx"":136,""dy"":-134,""t"":4458},{""x"":642,""y"":690,""dx"":151,""dy"":-131,""t"":4492},{""x"":666,""y"":696,""dx"":175,""dy"":-125,""t"":4526},{""x"":653,""y"":699,""dx"":162,""dy"":-122,""t"":4560},{""x"":673,""y"":695,""dx"":182,""dy"":-126,""t"":4594},{""x"":674,""y"":693,""dx"":183,""dy"":-128,""t"":4628},{""x"":650,""y"":678,""dx"":159,""dy"":-143,""t"":4661},{""x"":631,""y"":688,""dx"":140,""dy"":-133,""t"":4697},{""x"":579,""y"":672,""dx"":88,""dy"":-149,""t"":4730},{""x"":536,""y"":658,""dx"":45,""dy"":-163,""t"":4761},{""x"":533,""y"":651,""dx"":42,""dy"":-170,""t"":4798},{""x"":564,""y"":632,""dx"":73,""dy"":-189,""t"":4832},{""x"":567,""y"":634,""dx"":76,""dy"":-187,""t"":4866},{""x"":581,""y"":647,""dx"":90,""dy"":-174,""t"":4900},{""x"":588,""y"":654,""dx"":97,""dy"":-167,""t"":4941},{""x"":630,""y"":672,""dx"":139,""dy"":-149,""t"":4977},{""x"":656,""y"":680,""dx"":165,""dy"":-141,""t"":5005},{""x"":643,""y"":677,""dx"":152,""dy"":-144,""t"":5036},{""x"":659,""y"":701,""dx"":168,""dy"":-120,""t"":5070},{""x"":642,""y"":698,""dx"":151,""dy"":-123,""t"":5104},{""x"":653,""y"":720,""dx"":162,""dy"":-101,""t"":5137},{""x"":647,""y"":729,""dx"":156,""dy"":-92,""t"":5170},{""x"":640,""y"":734,""dx"":149,""dy"":-87,""t"":5205},{""x"":623,""y"":713,""dx"":132,""dy"":-108,""t"":5240},{""x"":626,""y"":704,""dx"":135,""dy"":-117,""t"":5275},{""x"":620,""y"":706,""dx"":129,""dy"":-115,""t"":5308},{""x"":613,""y"":709,""dx"":122,""dy"":-112,""t"":5342},{""x"":619,""y"":711,""dx"":128,""dy"":-110,""t"":5377},{""x"":613,""y"":705,""dx"":122,""dy"":-116,""t"":5410},{""x"":612,""y"":717,""dx"":121,""dy"":-104,""t"":5444},{""x"":599,""y"":711,""dx"":108,""dy"":-110,""t"":5478},{""x"":618,""y"":731,""dx"":127,""dy"":-90,""t"":5511},{""x"":619,""y"":744,""dx"":128,""dy"":-77,""t"":5546},{""x"":643,""y"":762,""dx"":152,""dy"":-59,""t"":5580},{""x"":652,""y"":735,""dx"":161,""dy"":-86,""t"":5613},{""x"":671,""y"":721,""dx"":180,""dy"":-100,""t"":5648},{""x"":672,""y"":713,""dx"":181,""dy"":-108,""t"":5682},{""x"":658,""y"":715,""dx"":167,""dy"":-106,""t"":5716},{""x"":661,""y"":705,""dx"":170,""dy"":-116,""t"":5750},{""x"":658,""y"":701,""dx"":167,""dy"":-120,""t"":5784},{""x"":660,""y"":711,""dx"":169,""dy"":-110,""t"":5818},{""x"":663,""y"":743,""dx"":172,""dy"":-78,""t"":5852},{""x"":647,""y"":731,""dx"":156,""dy"":-90,""t"":5886},{""x"":633,""y"":721,""dx"":142,""dy"":-100,""t"":5922},{""x"":623,""y"":708,""dx"":132,""dy"":-113,""t"":5953},{""x"":635,""y"":734,""dx"":144,""dy"":-87,""t"":5987}],[{""x"":895,""y"":604,""dx"":-76,""dy"":53,""t"":7009},{""x"":911,""y"":610,""dx"":-60,""dy"":59,""t"":7042},{""x"":901,""y"":603,""dx"":-70,""dy"":52,""t"":7076},{""x"":878,""y"":568,""dx"":-93,""dy"":17,""t"":7110},{""x"":884,""y"":570,""dx"":-87,""dy"":19,""t"":7145},{""x"":929,""y"":591,""dx"":-42,""dy"":40,""t"":7178},{""x"":960,""y"":596,""dx"":-11,""dy"":45,""t"":7212},{""x"":956,""y"":562,""dx"":-15,""dy"":11,""t"":7246},{""x"":985,""y"":561,""dx"":14,""dy"":10,""t"":7280},{""x"":1010,""y"":554,""dx"":39,""dy"":3,""t"":7313},{""x"":1014,""y"":542,""dx"":43,""dy"":-9,""t"":7349},{""x"":1014,""y"":585,""dx"":43,""dy"":34,""t"":7383},{""x"":948,""y"":570,""dx"":-23,""dy"":19,""t"":7416},{""x"":921,""y"":583,""dx"":-50,""dy"":32,""t"":7450},{""x"":912,""y"":598,""dx"":-59,""dy"":47,""t"":7484},{""x"":878,""y"":566,""dx"":-93,""dy"":15,""t"":7518},{""x"":865,""y"":574,""dx"":-106,""dy"":23,""t"":7552},{""x"":857,""y"":557,""dx"":-114,""dy"":6,""t"":7586},{""x"":863,""y"":528,""dx"":-108,""dy"":-23,""t"":7619},{""x"":864,""y"":555,""dx"":-107,""dy"":4,""t"":7654},{""x"":861,""y"":581,""dx"":-110,""dy"":30,""t"":7688},{""x"":875,""y"":579,""dx"":-96,""dy"":28,""t"":7722},{""x"":880,""y"":597,""dx"":-91,""dy"":46,""t"":7756},{""x"":889,""y"":593,""dx"":-82,""dy"":42,""t"":7790},{""x"":910,""y"":558,""dx"":-61,""dy"":7,""t"":7824},{""x"":938,""y"":551,""dx"":-33,""dy"":0,""t"":7859},{""x"":890,""y"":548,""dx"":-81,""dy"":-3,""t"":7892},{""x"":905,""y"":529,""dx"":-66,""dy"":-22,""t"":7925},{""x"":926,""y"":533,""dx"":-45,""dy"":-18,""t"":7961},{""x"":947,""y"":560,""dx"":-24,""dy"":9,""t"":7994},{""x"":961,""y"":554,""dx"":-10,""dy"":3,""t"":8027},{""x"":945,""y"":592,""dx"":-26,""dy"":41,""t"":8062},{""x"":921,""y"":602,""dx"":-50,""dy"":51,""t"":8096},{""x"":946,""y"":588,""dx"":-25,""dy"":37,""t"":8130},{""x"":945,""y"":573,""dx"":-26,""dy"":22,""t"":8163},{""x"":955,""y"":573,""dx"":-16,""dy"":22,""t"":8197},{""x"":913,""y"":576,""dx"":-58,""dy"":25,""t"":8233},{""x"":906,""y"":599,""dx"":-65,""dy"":48,""t"":8266},{""x"":942,""y"":588,""dx"":-29,""dy"":37,""t"":8300},{""x"":967,""y"":580,""dx"":-4,""dy"":29,""t"":8332},{""x"":955,""y"":566,""dx"":-16,""dy"":15,""t"":8369},{""x"":998,""y"":559,""dx"":27,""dy"":8,""t"":8401},{""x"":1007,""y"":540,""dx"":36,""dy"":-11,""t"":8436},{""x"":983,""y"":527,""dx"":12,""dy"":-24,""t"":8469},{""x"":1009,""y"":541,""dx"":38,""dy"":-10,""t"":8505},{""x"":1003,""y"":522,""dx"":32,""dy"":-29,""t"":8538},{""x"":1023,""y"":526,""dx"":52,""dy"":-25,""t"":8572},{""x"":1038,""y"":533,""dx"":67,""dy"":-18,""t"":8606},{""x"":1026,""y"":539,""dx"":55,""dy"":-12,""t"":8641},{""x"":1054,""y"":570,""dx"":83,""dy"":19,""t"":8674},{""x"":1049,""y"":579,""dx"":78,""dy"":28,""t"":8709},{""x"":1044,""y"":587,""dx"":73,""dy"":36,""t"":8739},{""x"":1013,""y"":550,""dx"":42,""dy"":-1,""t"":8776},{""x"":990,""y"":538,""dx"":19,""dy"":-13,""t"":8810},{""x"":1000,""y"":551,""dx"":29,""dy"":0,""t"":8844},{""x"":970,""y"":531,""dx"":-1,""dy"":-20,""t"":8878},{""x"":962,""y"":532,""dx"":-9,""dy"":-19,""t"":8912},{""x"":942,""y"":548,""dx"":-29,""dy"":-3,""t"":8946},{""x"":941,""y"":512,""dx"":-30,""dy"":-39,""t"":8980},{""x"":917,""y"":515,""dx"":-54,""dy"":-36,""t"":9013}],[{""x"":1615,""y"":272,""dx"":164,""dy"":-9,""t"":10034},{""x"":1618,""y"":306,""dx"":167,""dy"":25,""t"":10068},{""x"":1617,""y"":312,""dx"":166,""dy"":31,""t"":10102},{""x"":1641,""y"":348,""dx"":190,""dy"":67,""t"":10137},{""x"":1666,""y"":334,""dx"":215,""dy"":53,""t"":10170},{""x"":1686,""y"":382,""dx"":235,""dy"":101,""t"":10204},{""x"":1733,""y"":379,""dx"":282,""dy"":98,""t"":10239},{""x"":1729,""y"":412,""dx"":278,""dy"":131,""t"":10272},{""x"":1723,""y"":439,""dx"":272,""dy"":158,""t"":10304},{""x"":1695,""y"":458,""dx"":244,""dy"":177,""t"":10341},{""x"":1672,""y"":443,""dx"":221,""dy"":162,""t"":10374},{""x"":1653,""y"":426,""dx"":202,""dy"":145,""t"":10409},{""x"":1655,""y"":421,""dx"":204,""dy"":140,""t"":10442},{""x"":1637,""y"":428,""dx"":186,""dy"":147,""t"":10476},{""x"":1632,""y"":404,""dx"":181,""dy"":123,""t"":10510},{""x"":1623,""y"":378,""dx"":172,""dy"":97,""t"":10544},{""x"":1611,""y"":363,""dx"":160,""dy"":82,""t"":10578},{""x"":1622,""y"":351,""dx"":171,""dy"":70,""t"":10612},{""x"":1646,""y"":344,""dx"":195,""dy"":63,""t"":10646},{""x"":1653,""y"":363,""dx"":202,""dy"":82,""t"":10680},{""x"":1615,""y"":379,""dx"":164,""dy"":98,""t"":10713},{""x"":1588,""y"":390,""dx"":137,""dy"":109,""t"":10749},{""x"":1594,""y"":430,""dx"":143,""dy"":149,""t"":10783},{""x"":1564,""y"":404,""dx"":113,""dy"":123,""t"":10816},{""x"":1557,""y"":408,""dx"":106,""dy"":127,""t"":10850},{""x"":1504,""y"":408,""dx"":53,""dy"":127,""t"":10884},{""x"":1499,""y"":414,""dx"":48,""dy"":133,""t"":10918},{""x"":1475,""y"":405,""dx"":24,""dy"":124,""t"":10952},{""x"":1469,""y"":398,""dx"":18,""dy"":117,""t"":10986},{""x"":1424,""y"":394,""dx"":-27,""dy"":113,""t"":11021},{""x"":1448,""y"":359,""dx"":-3,""dy"":78,""t"":11054},{""x"":1483,""y"":373,""dx"":32,""dy"":92,""t"":11088},{""x"":1481,""y"":347,""dx"":30,""dy"":66,""t"":11122},{""x"":1483,""y"":353,""dx"":32,""dy"":72,""t"":11155},{""x"":1564,""y"":345,""dx"":113,""dy"":64,""t"":11190},{""x"":1648,""y"":368,""dx"":197,""dy"":87,""t"":11224},{""x"":1702,""y"":389,""dx"":251,""dy"":108,""t"":11258},{""x"":1710,""y"":399,""dx"":259,""dy"":118,""t"":11292},{""x"":1724,""y"":381,""dx"":273,""dy"":100,""t"":11326},{""x"":1691,""y"":363,""dx"":240,""dy"":82,""t"":11360},{""x"":1667,""y"":360,""dx"":216,""dy"":79,""t"":11395},{""x"":1642,""y"":389,""dx"":191,""dy"":108,""t"":11428},{""x"":1606,""y"":359,""dx"":155,""dy"":78,""t"":11462},{""x"":1564,""y"":346,""dx"":113,""dy"":65,""t"":11496},{""x"":1539,""y"":354,""dx"":88,""dy"":73,""t"":11529},{""x"":1557,""y"":399,""dx"":106,""dy"":118,""t"":11563},{""x"":1592,""y"":357,""dx"":141,""dy"":76,""t"":11597},{""x"":1541,""y"":344,""dx"":90,""dy"":63,""t"":11632},{""x"":1548,""y"":391,""dx"":97,""dy"":110,""t"":11666},{""x"":1531,""y"":362,""dx"":80,""dy"":81,""t"":11700},{""x"":1535,""y"":394,""dx"":84,""dy"":113,""t"":11734},{""x"":1465,""y"":387,""dx"":14,""dy"":106,""t"":11768},{""x"":1468,""y"":399,""dx"":17,""dy"":118,""t"":11802},{""x"":1553,""y"":401,""dx"":102,""dy"":120,""t"":11836},{""x"":1572,""y"":419,""dx"":121,""dy"":138,""t"":11870},{""x"":1588,""y"":433,""dx"":137,""dy"":152,""t"":11902},{""x"":1586,""y"":406,""dx"":135,""dy"":125,""t"":11938},{""x"":1614,""y"":403,""dx"":163,""dy"":122,""t"":11971},{""x"":1603,""y"":381,""dx"":152,""dy"":100,""t"":12005}],[{""x"":1336,""y"":737,""dx"":-115,""dy"":-84,""t"":13026},{""x"":1356,""y"":743,""dx"":-95,""dy"":-78,""t"":13061},{""x"":1357,""y"":744,""dx"":-94,""dy"":-77,""t"":13095},{""x"":1348,""y"":721,""dx"":-103,""dy"":-100,""t"":13129},{""x"":1323,""y"":706,""dx"":-128,""dy"":-115,""t"":13162},{""x"":1307,""y"":703,""dx"":-144,""dy"":-118,""t"":13197},{""x"":1274,""y"":702,""dx"":-177,""dy"":-119,""t"":13230},{""x"":1261,""y"":716,""dx"":-190,""dy"":-105,""t"":13264},{""x"":1252,""y"":716,""dx"":-199,""dy"":-105,""t"":13298},{""x"":1241,""y"":713,""dx"":-210,""dy"":-108,""t"":13332},{""x"":1227,""y"":696,""dx"":-224,""dy"":-125,""t"":13365},{""x"":1234,""y"":705,""dx"":-217,""dy"":-116,""t"":13400},{""x"":1249,""y"":698,""dx"":-202,""dy"":-123,""t"":13435},{""x"":1279,""y"":719,""dx"":-172,""dy"":-102,""t"":13468},{""x"":1304,""y"":738,""dx"":-147,""dy"":-83,""t"":13501},{""x"":1314,""y"":741,""dx"":-137,""dy"":-80,""t"":13536},{""x"":1318,""y"":735,""dx"":-133,""dy"":-86,""t"":13570},{""x"":1311,""y"":720,""dx"":-140,""dy"":-101,""t"":13605},{""x"":1318,""y"":722,""dx"":-133,""dy"":-99,""t"":13637},{""x"":1337,""y"":710,""dx"":-114,""dy"":-111,""t"":13672},{""x"":1325,""y"":702,""dx"":-126,""dy"":-119,""t"":13707},{""x"":1372,""y"":696,""dx"":-79,""dy"":-125,""t"":13740},{""x"":1380,""y"":707,""dx"":-71,""dy"":-114,""t"":13774},{""x"":1386,""y"":708,""dx"":-65,""dy"":-113,""t"":13807},{""x"":1387,""y"":711,""dx"":-64,""dy"":-110,""t"":13842},{""x"":1398,""y"":712,""dx"":-53,""dy"":-109,""t"":13873},{""x"":1393,""y"":718,""dx"":-58,""dy"":-103,""t"":13910},{""x"":1411,""y"":729,""dx"":-40,""dy"":-92,""t"":13944},{""x"":1393,""y"":742,""dx"":-58,""dy"":-79,""t"":13978},{""x"":1364,""y"":737,""dx"":-87,""dy"":-84,""t"":14012},{""x"":1360,""y"":738,""dx"":-91,""dy"":-83,""t"":14046},{""x"":1345,""y"":737,""dx"":-106,""dy"":-84,""t"":14079},{""x"":1346,""y"":748,""dx"":-105,""dy"":-73,""t"":14113},{""x"":1346,""y"":751,""dx"":-105,""dy"":-70,""t"":14149},{""x"":1316,""y"":738,""dx"":-135,""dy"":-83,""t"":14183},{""x"":1309,""y"":737,""dx"":-142,""dy"":-84,""t"":14221},{""x"":1323,""y"":767,""dx"":-128,""dy"":-54,""t"":14261},{""x"":1304,""y"":763,""dx"":-147,""dy"":-58,""t"":14290},{""x"":1327,""y"":770,""dx"":-124,""dy"":-51,""t"":14318},{""x"":1276,""y"":744,""dx"":-175,""dy"":-77,""t"":14352},{""x"":1272,""y"":755,""dx"":-179,""dy"":-66,""t"":14385},{""x"":1276,""y"":742,""dx"":-175,""dy"":-79,""t"":14420},{""x"":1275,""y"":769,""dx"":-176,""dy"":-52,""t"":14454},{""x"":1305,""y"":776,""dx"":-146,""dy"":-45,""t"":14489},{""x"":1310,""y"":776,""dx"":-141,""dy"":-45,""t"":14522},{""x"":1310,""y"":765,""dx"":-141,""dy"":-56,""t"":14556},{""x"":1281,""y"":740,""dx"":-170,""dy"":-81,""t"":14589},{""x"":1256,""y"":721,""dx"":-195,""dy"":-100,""t"":14623},{""x"":1234,""y"":696,""dx"":-217,""dy"":-125,""t"":14658},{""x"":1202,""y"":692,""dx"":-249,""dy"":-129,""t"":14692},{""x"":1217,""y"":702,""dx"":-234,""dy"":-119,""t"":14727},{""x"":1230,""y"":686,""dx"":-221,""dy"":-135,""t"":14760},{""x"":1247,""y"":693,""dx"":-204,""dy"":-128,""t"":14794},{""x"":1264,""y"":710,""dx"":-187,""dy"":-111,""t"":14828},{""x"":1276,""y"":729,""dx"":-175,""dy"":-92,""t"":14863},{""x"":1298,""y"":752,""dx"":-153,""dy"":-69,""t"":14897},{""x"":1271,""y"":755,""dx"":-180,""dy"":-66,""t"":14929},{""x"":1280,""y"":750,""dx"":-171,""dy"":-71,""t"":14963},{""x"":1296,""y"":749,""dx"":-155,""dy"":-72,""t"":14997},{""x"":1317,""y"":747,""dx"":-134,""dy"":-74,""t"":15033}]]","[62.71186440677966,54.23728813559322,100,59.32203389830508,76.66666666666667]","[{""x"":19.949152542372882,""y"":194.15254237288136,""r"":62.1569262573216},{""x"":144.64406779661016,""y"":-122.61016949152543,""r"":30.449858945421017},{""x"":-24.483333333333334,""y"":12.283333333333333,""r"":81.44972743323957},{""x"":144.27118644067798,""y"":101.27118644067797,""r"":66.40817260891887},{""x"":-143.93333333333334,""y"":-91.91666666666667,""r"":66.7517066520817}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.42","validate","","","","","","","","","","","","","",""
"","html-button-response","8","53923","0.0-4.0-0.0","2300","0","","","<p>正式试验：试验都以 500 毫秒的固定时间开始，然后会有一个 2000 ms的样本显示，然后是 1000 毫秒的空白间隔。</p> <p style=""font-weight: bold"">要求：记忆所呈现刺激物和其对应的位置，根据目标提示选择对应刺激的位置,并根据数字键盘的 ""4"" ,""8"" ,""6"" ,""2"" 进行选择响应。</p>","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","9","54948","0.0-4.0-1.0-0.0","null","null","","","","","","","","","recall","[""2"",""2"",""8"",""8"",""2"",""2"",""2"",""2"",""4"",""4"",""4"",""4"",""8"",""8"",""4"",""4"",""6"",""6"",""4"",""4"",""8"",""8"",""4"",""4"",""8"",""8"",""2"",""2"",""8"",""8"",""6"",""6"",""6"",""6"",""6"",""6"",""8"",""8"",""4"",""4"",""2"",""2"",""8"",""8"",""2"",""2"",""8"",""8"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6"",""2"",""2"",""6"",""6"",""4"",""4"",""6"",""6""]","1000","shape","4","","","","","","","","","",""
