"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer","motion","topo","mchange","tchange"
"true","fullscreen","0","13933","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","18845","0.0-1.0-0.0","4910","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","2","24132","0.0-1.0-1.0","5286","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","3","32387","0.0-2.0","","","","2153","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","34060","0.0-3.0-0.0","1671","0","","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","5","47054","0.0-3.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","6","48196","0.0-3.0-2.0","1142","0","","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","7","65269","0.0-3.0-3.0","","","","","","[[{""x"":553,""y"":440,""dx"":62,""dy"":159,""t"":990},{""x"":557,""y"":458,""dx"":66,""dy"":177,""t"":1024},{""x"":548,""y"":455,""dx"":57,""dy"":174,""t"":1058},{""x"":543,""y"":450,""dx"":52,""dy"":169,""t"":1092},{""x"":537,""y"":452,""dx"":46,""dy"":171,""t"":1125},{""x"":524,""y"":448,""dx"":33,""dy"":167,""t"":1159},{""x"":539,""y"":424,""dx"":48,""dy"":143,""t"":1194},{""x"":569,""y"":397,""dx"":78,""dy"":116,""t"":1228},{""x"":564,""y"":376,""dx"":73,""dy"":95,""t"":1262},{""x"":584,""y"":343,""dx"":93,""dy"":62,""t"":1295},{""x"":564,""y"":352,""dx"":73,""dy"":71,""t"":1330},{""x"":589,""y"":354,""dx"":98,""dy"":73,""t"":1363},{""x"":577,""y"":361,""dx"":86,""dy"":80,""t"":1398},{""x"":575,""y"":354,""dx"":84,""dy"":73,""t"":1432},{""x"":569,""y"":368,""dx"":78,""dy"":87,""t"":1465},{""x"":538,""y"":413,""dx"":47,""dy"":132,""t"":1499},{""x"":531,""y"":406,""dx"":40,""dy"":125,""t"":1534},{""x"":513,""y"":428,""dx"":22,""dy"":147,""t"":1567},{""x"":500,""y"":400,""dx"":9,""dy"":119,""t"":1603},{""x"":509,""y"":377,""dx"":18,""dy"":96,""t"":1636},{""x"":502,""y"":357,""dx"":11,""dy"":76,""t"":1670},{""x"":503,""y"":361,""dx"":12,""dy"":80,""t"":1704},{""x"":504,""y"":366,""dx"":13,""dy"":85,""t"":1736},{""x"":497,""y"":376,""dx"":6,""dy"":95,""t"":1772},{""x"":503,""y"":376,""dx"":12,""dy"":95,""t"":1806},{""x"":497,""y"":373,""dx"":6,""dy"":92,""t"":1840},{""x"":491,""y"":367,""dx"":0,""dy"":86,""t"":1874},{""x"":511,""y"":379,""dx"":20,""dy"":98,""t"":1907},{""x"":515,""y"":445,""dx"":24,""dy"":164,""t"":1942},{""x"":491,""y"":472,""dx"":0,""dy"":191,""t"":1975},{""x"":478,""y"":489,""dx"":-13,""dy"":208,""t"":2010},{""x"":508,""y"":459,""dx"":17,""dy"":178,""t"":2043},{""x"":488,""y"":476,""dx"":-3,""dy"":195,""t"":2077},{""x"":511,""y"":529,""dx"":20,""dy"":248,""t"":2111},{""x"":499,""y"":524,""dx"":8,""dy"":243,""t"":2144},{""x"":509,""y"":566,""dx"":18,""dy"":285,""t"":2180},{""x"":481,""y"":540,""dx"":-10,""dy"":259,""t"":2214},{""x"":503,""y"":573,""dx"":12,""dy"":292,""t"":2247},{""x"":489,""y"":534,""dx"":-2,""dy"":253,""t"":2282},{""x"":485,""y"":536,""dx"":-6,""dy"":255,""t"":2316},{""x"":485,""y"":525,""dx"":-6,""dy"":244,""t"":2350},{""x"":480,""y"":522,""dx"":-11,""dy"":241,""t"":2384},{""x"":494,""y"":522,""dx"":3,""dy"":241,""t"":2418},{""x"":477,""y"":487,""dx"":-14,""dy"":206,""t"":2452},{""x"":501,""y"":492,""dx"":10,""dy"":211,""t"":2485},{""x"":495,""y"":496,""dx"":4,""dy"":215,""t"":2520},{""x"":485,""y"":491,""dx"":-6,""dy"":210,""t"":2554},{""x"":498,""y"":530,""dx"":7,""dy"":249,""t"":2587},{""x"":504,""y"":521,""dx"":13,""dy"":240,""t"":2621},{""x"":508,""y"":529,""dx"":17,""dy"":248,""t"":2656},{""x"":518,""y"":515,""dx"":27,""dy"":234,""t"":2689},{""x"":518,""y"":512,""dx"":27,""dy"":231,""t"":2724},{""x"":501,""y"":489,""dx"":10,""dy"":208,""t"":2758},{""x"":485,""y"":473,""dx"":-6,""dy"":192,""t"":2792},{""x"":468,""y"":448,""dx"":-23,""dy"":167,""t"":2825},{""x"":469,""y"":450,""dx"":-22,""dy"":169,""t"":2860},{""x"":460,""y"":442,""dx"":-31,""dy"":161,""t"":2894},{""x"":482,""y"":499,""dx"":-9,""dy"":218,""t"":2927},{""x"":519,""y"":496,""dx"":28,""dy"":215,""t"":2961},{""x"":530,""y"":557,""dx"":39,""dy"":276,""t"":2996}],[{""x"":587,""y"":757,""dx"":96,""dy"":-64,""t"":4016},{""x"":593,""y"":755,""dx"":102,""dy"":-66,""t"":4050},{""x"":649,""y"":741,""dx"":158,""dy"":-80,""t"":4084},{""x"":657,""y"":756,""dx"":166,""dy"":-65,""t"":4117},{""x"":626,""y"":775,""dx"":135,""dy"":-46,""t"":4152},{""x"":662,""y"":745,""dx"":171,""dy"":-76,""t"":4187},{""x"":645,""y"":775,""dx"":154,""dy"":-46,""t"":4220},{""x"":624,""y"":781,""dx"":133,""dy"":-40,""t"":4255},{""x"":627,""y"":764,""dx"":136,""dy"":-57,""t"":4288},{""x"":591,""y"":767,""dx"":100,""dy"":-54,""t"":4321},{""x"":580,""y"":773,""dx"":89,""dy"":-48,""t"":4356},{""x"":596,""y"":769,""dx"":105,""dy"":-52,""t"":4391},{""x"":578,""y"":763,""dx"":87,""dy"":-58,""t"":4425},{""x"":577,""y"":744,""dx"":86,""dy"":-77,""t"":4459},{""x"":595,""y"":723,""dx"":104,""dy"":-98,""t"":4492},{""x"":606,""y"":704,""dx"":115,""dy"":-117,""t"":4526},{""x"":614,""y"":683,""dx"":123,""dy"":-138,""t"":4559},{""x"":617,""y"":664,""dx"":126,""dy"":-157,""t"":4594},{""x"":619,""y"":639,""dx"":128,""dy"":-182,""t"":4628},{""x"":634,""y"":624,""dx"":143,""dy"":-197,""t"":4662},{""x"":638,""y"":626,""dx"":147,""dy"":-195,""t"":4696},{""x"":664,""y"":641,""dx"":173,""dy"":-180,""t"":4730},{""x"":675,""y"":649,""dx"":184,""dy"":-172,""t"":4763},{""x"":673,""y"":652,""dx"":182,""dy"":-169,""t"":4798},{""x"":663,""y"":648,""dx"":172,""dy"":-173,""t"":4832},{""x"":645,""y"":651,""dx"":154,""dy"":-170,""t"":4866},{""x"":606,""y"":676,""dx"":115,""dy"":-145,""t"":4899},{""x"":613,""y"":686,""dx"":122,""dy"":-135,""t"":4933},{""x"":598,""y"":707,""dx"":107,""dy"":-114,""t"":4967},{""x"":580,""y"":724,""dx"":89,""dy"":-97,""t"":5003},{""x"":581,""y"":727,""dx"":90,""dy"":-94,""t"":5035},{""x"":565,""y"":738,""dx"":74,""dy"":-83,""t"":5069},{""x"":574,""y"":745,""dx"":83,""dy"":-76,""t"":5103},{""x"":554,""y"":747,""dx"":63,""dy"":-74,""t"":5138},{""x"":552,""y"":740,""dx"":61,""dy"":-81,""t"":5172},{""x"":562,""y"":743,""dx"":71,""dy"":-78,""t"":5206},{""x"":583,""y"":746,""dx"":92,""dy"":-75,""t"":5239},{""x"":588,""y"":721,""dx"":97,""dy"":-100,""t"":5274},{""x"":575,""y"":699,""dx"":84,""dy"":-122,""t"":5306},{""x"":599,""y"":675,""dx"":108,""dy"":-146,""t"":5343},{""x"":585,""y"":694,""dx"":94,""dy"":-127,""t"":5375},{""x"":612,""y"":669,""dx"":121,""dy"":-152,""t"":5409},{""x"":645,""y"":648,""dx"":154,""dy"":-173,""t"":5443},{""x"":647,""y"":640,""dx"":156,""dy"":-181,""t"":5478},{""x"":654,""y"":627,""dx"":163,""dy"":-194,""t"":5512},{""x"":665,""y"":622,""dx"":174,""dy"":-199,""t"":5545},{""x"":656,""y"":630,""dx"":165,""dy"":-191,""t"":5581},{""x"":643,""y"":621,""dx"":152,""dy"":-200,""t"":5615},{""x"":651,""y"":627,""dx"":160,""dy"":-194,""t"":5648},{""x"":643,""y"":633,""dx"":152,""dy"":-188,""t"":5682},{""x"":648,""y"":657,""dx"":157,""dy"":-164,""t"":5714},{""x"":636,""y"":649,""dx"":145,""dy"":-172,""t"":5751},{""x"":649,""y"":683,""dx"":158,""dy"":-138,""t"":5783},{""x"":649,""y"":673,""dx"":158,""dy"":-148,""t"":5818},{""x"":601,""y"":697,""dx"":110,""dy"":-124,""t"":5852},{""x"":603,""y"":676,""dx"":112,""dy"":-145,""t"":5886},{""x"":613,""y"":686,""dx"":122,""dy"":-135,""t"":5920},{""x"":626,""y"":660,""dx"":135,""dy"":-161,""t"":5954},{""x"":654,""y"":656,""dx"":163,""dy"":-165,""t"":5989}],[{""x"":1011,""y"":677,""dx"":40,""dy"":126,""t"":7042},{""x"":986,""y"":653,""dx"":15,""dy"":102,""t"":7075},{""x"":974,""y"":638,""dx"":3,""dy"":87,""t"":7109},{""x"":962,""y"":626,""dx"":-9,""dy"":75,""t"":7144},{""x"":952,""y"":613,""dx"":-19,""dy"":62,""t"":7178},{""x"":943,""y"":603,""dx"":-28,""dy"":52,""t"":7211},{""x"":956,""y"":589,""dx"":-15,""dy"":38,""t"":7245},{""x"":951,""y"":576,""dx"":-20,""dy"":25,""t"":7279},{""x"":947,""y"":566,""dx"":-24,""dy"":15,""t"":7311},{""x"":971,""y"":562,""dx"":0,""dy"":11,""t"":7348},{""x"":971,""y"":555,""dx"":0,""dy"":4,""t"":7382},{""x"":962,""y"":555,""dx"":-9,""dy"":4,""t"":7416},{""x"":979,""y"":561,""dx"":8,""dy"":10,""t"":7449},{""x"":988,""y"":545,""dx"":17,""dy"":-6,""t"":7483},{""x"":980,""y"":536,""dx"":9,""dy"":-15,""t"":7519},{""x"":973,""y"":531,""dx"":2,""dy"":-20,""t"":7552},{""x"":932,""y"":522,""dx"":-39,""dy"":-29,""t"":7585},{""x"":949,""y"":516,""dx"":-22,""dy"":-35,""t"":7620},{""x"":926,""y"":513,""dx"":-45,""dy"":-38,""t"":7654},{""x"":924,""y"":514,""dx"":-47,""dy"":-37,""t"":7689},{""x"":932,""y"":512,""dx"":-39,""dy"":-39,""t"":7721},{""x"":936,""y"":512,""dx"":-35,""dy"":-39,""t"":7755},{""x"":929,""y"":509,""dx"":-42,""dy"":-42,""t"":7789},{""x"":926,""y"":516,""dx"":-45,""dy"":-35,""t"":7823},{""x"":945,""y"":514,""dx"":-26,""dy"":-37,""t"":7858},{""x"":941,""y"":507,""dx"":-30,""dy"":-44,""t"":7893},{""x"":929,""y"":482,""dx"":-42,""dy"":-69,""t"":7926},{""x"":942,""y"":484,""dx"":-29,""dy"":-67,""t"":7961},{""x"":940,""y"":485,""dx"":-31,""dy"":-66,""t"":7993},{""x"":939,""y"":493,""dx"":-32,""dy"":-58,""t"":8027},{""x"":950,""y"":495,""dx"":-21,""dy"":-56,""t"":8062},{""x"":956,""y"":494,""dx"":-15,""dy"":-57,""t"":8096},{""x"":955,""y"":501,""dx"":-16,""dy"":-50,""t"":8130},{""x"":973,""y"":502,""dx"":2,""dy"":-49,""t"":8164},{""x"":965,""y"":482,""dx"":-6,""dy"":-69,""t"":8198},{""x"":982,""y"":492,""dx"":11,""dy"":-59,""t"":8232},{""x"":975,""y"":494,""dx"":4,""dy"":-57,""t"":8266},{""x"":991,""y"":493,""dx"":20,""dy"":-58,""t"":8300},{""x"":970,""y"":477,""dx"":-1,""dy"":-74,""t"":8334},{""x"":954,""y"":475,""dx"":-17,""dy"":-76,""t"":8368},{""x"":951,""y"":473,""dx"":-20,""dy"":-78,""t"":8403},{""x"":949,""y"":470,""dx"":-22,""dy"":-81,""t"":8436},{""x"":944,""y"":469,""dx"":-27,""dy"":-82,""t"":8470},{""x"":923,""y"":458,""dx"":-48,""dy"":-93,""t"":8503},{""x"":929,""y"":456,""dx"":-42,""dy"":-95,""t"":8538},{""x"":927,""y"":445,""dx"":-44,""dy"":-106,""t"":8572},{""x"":912,""y"":454,""dx"":-59,""dy"":-97,""t"":8606},{""x"":930,""y"":446,""dx"":-41,""dy"":-105,""t"":8640},{""x"":935,""y"":445,""dx"":-36,""dy"":-106,""t"":8673},{""x"":943,""y"":450,""dx"":-28,""dy"":-101,""t"":8708},{""x"":947,""y"":468,""dx"":-24,""dy"":-83,""t"":8742},{""x"":957,""y"":461,""dx"":-14,""dy"":-90,""t"":8775},{""x"":938,""y"":460,""dx"":-33,""dy"":-91,""t"":8809},{""x"":935,""y"":443,""dx"":-36,""dy"":-108,""t"":8843},{""x"":945,""y"":457,""dx"":-26,""dy"":-94,""t"":8875},{""x"":921,""y"":494,""dx"":-50,""dy"":-57,""t"":8913},{""x"":939,""y"":502,""dx"":-32,""dy"":-49,""t"":8946},{""x"":931,""y"":506,""dx"":-40,""dy"":-45,""t"":8979},{""x"":936,""y"":493,""dx"":-35,""dy"":-58,""t"":9013}],[{""x"":1270,""y"":365,""dx"":-181,""dy"":84,""t"":10035},{""x"":1237,""y"":372,""dx"":-214,""dy"":91,""t"":10069},{""x"":1232,""y"":375,""dx"":-219,""dy"":94,""t"":10103},{""x"":1232,""y"":381,""dx"":-219,""dy"":100,""t"":10137},{""x"":1200,""y"":397,""dx"":-251,""dy"":116,""t"":10170},{""x"":1289,""y"":372,""dx"":-162,""dy"":91,""t"":10203},{""x"":1255,""y"":361,""dx"":-196,""dy"":80,""t"":10237},{""x"":1242,""y"":369,""dx"":-209,""dy"":88,""t"":10272},{""x"":1266,""y"":362,""dx"":-185,""dy"":81,""t"":10306},{""x"":1273,""y"":373,""dx"":-178,""dy"":92,""t"":10339},{""x"":1268,""y"":363,""dx"":-183,""dy"":82,""t"":10374},{""x"":1307,""y"":340,""dx"":-144,""dy"":59,""t"":10408},{""x"":1362,""y"":343,""dx"":-89,""dy"":62,""t"":10442},{""x"":1408,""y"":348,""dx"":-43,""dy"":67,""t"":10473},{""x"":1383,""y"":355,""dx"":-68,""dy"":74,""t"":10510},{""x"":1348,""y"":355,""dx"":-103,""dy"":74,""t"":10544},{""x"":1394,""y"":346,""dx"":-57,""dy"":65,""t"":10579},{""x"":1390,""y"":335,""dx"":-61,""dy"":54,""t"":10612},{""x"":1426,""y"":312,""dx"":-25,""dy"":31,""t"":10645},{""x"":1434,""y"":310,""dx"":-17,""dy"":29,""t"":10679},{""x"":1468,""y"":324,""dx"":17,""dy"":43,""t"":10713},{""x"":1461,""y"":320,""dx"":10,""dy"":39,""t"":10747},{""x"":1466,""y"":336,""dx"":15,""dy"":55,""t"":10781},{""x"":1401,""y"":341,""dx"":-50,""dy"":60,""t"":10815},{""x"":1394,""y"":358,""dx"":-57,""dy"":77,""t"":10849},{""x"":1319,""y"":368,""dx"":-132,""dy"":87,""t"":10884},{""x"":1362,""y"":360,""dx"":-89,""dy"":79,""t"":10918},{""x"":1358,""y"":341,""dx"":-93,""dy"":60,""t"":10952},{""x"":1412,""y"":320,""dx"":-39,""dy"":39,""t"":10985},{""x"":1367,""y"":330,""dx"":-84,""dy"":49,""t"":11020},{""x"":1330,""y"":344,""dx"":-121,""dy"":63,""t"":11055},{""x"":1305,""y"":337,""dx"":-146,""dy"":56,""t"":11088},{""x"":1330,""y"":342,""dx"":-121,""dy"":61,""t"":11122},{""x"":1283,""y"":359,""dx"":-168,""dy"":78,""t"":11156},{""x"":1346,""y"":355,""dx"":-105,""dy"":74,""t"":11190},{""x"":1356,""y"":358,""dx"":-95,""dy"":77,""t"":11224},{""x"":1415,""y"":353,""dx"":-36,""dy"":72,""t"":11258},{""x"":1420,""y"":357,""dx"":-31,""dy"":76,""t"":11292},{""x"":1426,""y"":356,""dx"":-25,""dy"":75,""t"":11325},{""x"":1399,""y"":337,""dx"":-52,""dy"":56,""t"":11359},{""x"":1426,""y"":341,""dx"":-25,""dy"":60,""t"":11393},{""x"":1410,""y"":351,""dx"":-41,""dy"":70,""t"":11429},{""x"":1394,""y"":351,""dx"":-57,""dy"":70,""t"":11461},{""x"":1323,""y"":377,""dx"":-128,""dy"":96,""t"":11495},{""x"":1378,""y"":396,""dx"":-73,""dy"":115,""t"":11529},{""x"":1332,""y"":419,""dx"":-119,""dy"":138,""t"":11564},{""x"":1376,""y"":391,""dx"":-75,""dy"":110,""t"":11598},{""x"":1346,""y"":393,""dx"":-105,""dy"":112,""t"":11631},{""x"":1399,""y"":363,""dx"":-52,""dy"":82,""t"":11665},{""x"":1362,""y"":375,""dx"":-89,""dy"":94,""t"":11699},{""x"":1416,""y"":362,""dx"":-35,""dy"":81,""t"":11734},{""x"":1398,""y"":364,""dx"":-53,""dy"":83,""t"":11769},{""x"":1442,""y"":369,""dx"":-9,""dy"":88,""t"":11803},{""x"":1402,""y"":372,""dx"":-49,""dy"":91,""t"":11836},{""x"":1388,""y"":357,""dx"":-63,""dy"":76,""t"":11870},{""x"":1371,""y"":390,""dx"":-80,""dy"":109,""t"":11905},{""x"":1388,""y"":395,""dx"":-63,""dy"":114,""t"":11938},{""x"":1357,""y"":423,""dx"":-94,""dy"":142,""t"":11971},{""x"":1352,""y"":424,""dx"":-99,""dy"":143,""t"":12006},{""x"":1341,""y"":429,""dx"":-110,""dy"":148,""t"":12038}],[{""x"":1220,""y"":743,""dx"":-231,""dy"":-78,""t"":13059},{""x"":1213,""y"":731,""dx"":-238,""dy"":-90,""t"":13093},{""x"":1232,""y"":746,""dx"":-219,""dy"":-75,""t"":13127},{""x"":1191,""y"":737,""dx"":-260,""dy"":-84,""t"":13161},{""x"":1212,""y"":761,""dx"":-239,""dy"":-60,""t"":13196},{""x"":1219,""y"":741,""dx"":-232,""dy"":-80,""t"":13231},{""x"":1221,""y"":725,""dx"":-230,""dy"":-96,""t"":13264},{""x"":1184,""y"":707,""dx"":-267,""dy"":-114,""t"":13298},{""x"":1210,""y"":738,""dx"":-241,""dy"":-83,""t"":13332},{""x"":1184,""y"":720,""dx"":-267,""dy"":-101,""t"":13365},{""x"":1207,""y"":739,""dx"":-244,""dy"":-82,""t"":13399},{""x"":1216,""y"":729,""dx"":-235,""dy"":-92,""t"":13434},{""x"":1218,""y"":732,""dx"":-233,""dy"":-89,""t"":13469},{""x"":1226,""y"":720,""dx"":-225,""dy"":-101,""t"":13501},{""x"":1237,""y"":722,""dx"":-214,""dy"":-99,""t"":13536},{""x"":1207,""y"":699,""dx"":-244,""dy"":-122,""t"":13571},{""x"":1216,""y"":717,""dx"":-235,""dy"":-104,""t"":13604},{""x"":1174,""y"":716,""dx"":-277,""dy"":-105,""t"":13639},{""x"":1188,""y"":740,""dx"":-263,""dy"":-81,""t"":13673},{""x"":1159,""y"":738,""dx"":-292,""dy"":-83,""t"":13705},{""x"":1173,""y"":761,""dx"":-278,""dy"":-60,""t"":13740},{""x"":1193,""y"":751,""dx"":-258,""dy"":-70,""t"":13774},{""x"":1200,""y"":753,""dx"":-251,""dy"":-68,""t"":13808},{""x"":1185,""y"":745,""dx"":-266,""dy"":-76,""t"":13885},{""x"":1247,""y"":767,""dx"":-204,""dy"":-54,""t"":13895},{""x"":1206,""y"":776,""dx"":-245,""dy"":-45,""t"":13917},{""x"":1211,""y"":785,""dx"":-240,""dy"":-36,""t"":13944},{""x"":1192,""y"":773,""dx"":-259,""dy"":-48,""t"":13978},{""x"":1205,""y"":761,""dx"":-246,""dy"":-60,""t"":14011},{""x"":1152,""y"":761,""dx"":-299,""dy"":-60,""t"":14043},{""x"":1163,""y"":760,""dx"":-288,""dy"":-61,""t"":14079},{""x"":1148,""y"":758,""dx"":-303,""dy"":-63,""t"":14114},{""x"":1169,""y"":763,""dx"":-282,""dy"":-58,""t"":14147},{""x"":1151,""y"":755,""dx"":-300,""dy"":-66,""t"":14181},{""x"":1166,""y"":767,""dx"":-285,""dy"":-54,""t"":14215},{""x"":1141,""y"":773,""dx"":-310,""dy"":-48,""t"":14249},{""x"":1171,""y"":786,""dx"":-280,""dy"":-35,""t"":14284},{""x"":1147,""y"":791,""dx"":-304,""dy"":-30,""t"":14318},{""x"":1164,""y"":800,""dx"":-287,""dy"":-21,""t"":14351},{""x"":1151,""y"":800,""dx"":-300,""dy"":-21,""t"":14386},{""x"":1140,""y"":778,""dx"":-311,""dy"":-43,""t"":14419},{""x"":1127,""y"":773,""dx"":-324,""dy"":-48,""t"":14454},{""x"":1126,""y"":762,""dx"":-325,""dy"":-59,""t"":14487},{""x"":1129,""y"":762,""dx"":-322,""dy"":-59,""t"":14523},{""x"":1127,""y"":751,""dx"":-324,""dy"":-70,""t"":14556},{""x"":1164,""y"":770,""dx"":-287,""dy"":-51,""t"":14590},{""x"":1134,""y"":775,""dx"":-317,""dy"":-46,""t"":14625},{""x"":1138,""y"":756,""dx"":-313,""dy"":-65,""t"":14658},{""x"":1105,""y"":756,""dx"":-346,""dy"":-65,""t"":14691},{""x"":1088,""y"":751,""dx"":-363,""dy"":-70,""t"":14726},{""x"":1062,""y"":741,""dx"":-389,""dy"":-80,""t"":14759},{""x"":1107,""y"":751,""dx"":-344,""dy"":-70,""t"":14794},{""x"":1095,""y"":761,""dx"":-356,""dy"":-60,""t"":14827},{""x"":1134,""y"":776,""dx"":-317,""dy"":-45,""t"":14862},{""x"":1130,""y"":760,""dx"":-321,""dy"":-61,""t"":14895},{""x"":1138,""y"":741,""dx"":-313,""dy"":-80,""t"":14929},{""x"":1125,""y"":747,""dx"":-326,""dy"":-74,""t"":14963},{""x"":1175,""y"":780,""dx"":-276,""dy"":-41,""t"":14998},{""x"":1178,""y"":779,""dx"":-273,""dy"":-42,""t"":15032}]]","[60,61.016949152542374,100,85,0]","[{""x"":22.75,""y"":171.5,""r"":105.31627261369438},{""x"":126.71186440677967,""y"":-124.54237288135593,""r"":63.54435982082739},{""x"":-20.847457627118644,""y"":-38.79661016949152,""r"":40.412872080798934},{""x"":-93.75,""y"":80.2,""r"":80.99661130943396},{""x"":-279.96610169491527,""y"":-67.49152542372882,""r"":41.938882495618884}]","[[25,25],[25,75],[50,50],[75,25],[75,75]]","29.42","validate","","","","","","","","","","","","","","",""
"","html-button-response","8","66316","0.0-3.0-4.0-0.0-0.0","1046","0","","","
          <p>校准的精度较低。</p>
          <p>请重新校准.</p>
          <p>在下一个屏幕上，注视圆点并单击它们。<p>
        ","","","","","","","recalibration","","","","","","","","","","","","","",""
"","webgazer-calibrate","9","77347","0.0-3.0-4.0-0.0-1.0","","","","","","","","","","","","recalibration","","","","","","","","","","","","","",""
