"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","8173289","0.0-0.0","","","","","","","",""
"","survey-text","1","8175963","0.0-1.0-0.0","2671","{""name"":""dyk""}","","","","","",""
"true","preload","2","8175965","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","8177737","0.0-3.0","1771","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","8185217","0.0-4.0-0.0","6968","0","","","","","./img/Booking.png",""
"","survey-likert","5","8217986","0.0-4.0-1.0","32267","{""1"":3,""2"":3,""3"":3,""4"":3,""5"":3,""6"":2}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","8233769","0.0-4.0-2.0","15781","0","","","","","./img/tuniu.png",""
"","survey-likert","7","8250874","0.0-4.0-3.0","16604","{""1"":2,""2"":2,""3"":2,""4"":3,""5"":2,""6"":2}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","8250877","0.0-5.0","","","","","","","",""
"","html-button-response","9","8251881","0.0-6.0","1004","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
