"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","1824","0.0-0.0","","","","","","","",""
"","survey-text","1","5694","0.0-1.0-0.0","3867","{""name"":""张小雨""}","","","","","",""
"true","preload","2","5695","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","6334","0.0-3.0","638","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","13542","0.0-4.0-0.0","6693","0","","","","","./img/Booking.png",""
"","survey-likert","5","29574","0.0-4.0-1.0","15528","{""1"":2,""2"":3,""3"":3,""4"":3,""5"":3,""6"":3}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","39357","0.0-4.0-2.0","9781","0","","","","","./img/tuniu.png",""
"","survey-likert","7","62134","0.0-4.0-3.0","22275","{""1"":3,""2"":2,""3"":3,""4"":2,""5"":3,""6"":3}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","62136","0.0-5.0","","","","","","","",""
"","html-button-response","9","63317","0.0-6.0","1181","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
