"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","response","timeout","failed_images","failed_audio","failed_video","stimulus","question_order"
"true","fullscreen","0","1727","0.0-0.0","","","","","","","",""
"","survey-text","1","5022","0.0-1.0-0.0","3292","{""name"":""范雨祥""}","","","","","",""
"true","preload","2","5023","0.0-2.0","","","false","[]","[]","[]","",""
"","html-button-response","3","6111","0.0-3.0","1087","0","","","","","<p>根据自己对网页的印象，完成问卷。</p> ",""
"","image-button-response","4","17406","0.0-4.0-0.0","10769","0","","","","","./img/Booking.png",""
"","survey-likert","5","40927","0.0-4.0-1.0","23006","{""1"":4,""2"":4,""3"":4,""4"":3,""5"":4,""6"":3}","","","","","","[0,1,2,3,4,5]"
"","image-button-response","6","45231","0.0-4.0-2.0","4301","0","","","","","./img/tuniu.png",""
"","survey-likert","7","71544","0.0-4.0-3.0","25798","{""1"":2,""2"":1,""3"":1,""4"":1,""5"":0,""6"":0}","","","","","","[0,1,2,3,4,5]"
"true","fullscreen","8","71546","0.0-5.0","","","","","","","",""
"","html-button-response","9","72559","0.0-6.0","1012","0","","","","","
         <p>实验结束!</p>
         <p>点击下载数据。</p>
",""
