"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1733","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1738","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9532","0.0-2.0-0.0","","","","","7792","{""name"":""蔡思琪"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10996","0.0-2.0-1.0","","","","","1462","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11507","0.0-3.0","","","","","510"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16018","0.0-4.0","","","","","","","","","2231","","","","","","","","","","","","","","","",""
"","html-button-response","6","17324","0.0-5.0-0.0","","","","","1304","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29710","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30883","0.0-5.0-2.0","","","","","1173","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","48459","0.0-5.0-3.0","","","","","","","","","","[[{""x"":438,""y"":333,""dx"":-53,""dy"":52,""t"":991},{""x"":449,""y"":316,""dx"":-42,""dy"":35,""t"":1024},{""x"":450,""y"":305,""dx"":-41,""dy"":24,""t"":1058},{""x"":449,""y"":310,""dx"":-42,""dy"":29,""t"":1093},{""x"":471,""y"":315,""dx"":-20,""dy"":34,""t"":1126},{""x"":474,""y"":331,""dx"":-17,""dy"":50,""t"":1160},{""x"":477,""y"":365,""dx"":-14,""dy"":84,""t"":1194},{""x"":477,""y"":352,""dx"":-14,""dy"":71,""t"":1228},{""x"":489,""y"":363,""dx"":-2,""dy"":82,""t"":1263},{""x"":497,""y"":362,""dx"":6,""dy"":81,""t"":1296},{""x"":490,""y"":372,""dx"":-1,""dy"":91,""t"":1330},{""x"":480,""y"":361,""dx"":-11,""dy"":80,""t"":1365},{""x"":471,""y"":351,""dx"":-20,""dy"":70,""t"":1396},{""x"":474,""y"":353,""dx"":-17,""dy"":72,""t"":1433},{""x"":467,""y"":346,""dx"":-24,""dy"":65,""t"":1466},{""x"":479,""y"":324,""dx"":-12,""dy"":43,""t"":1501},{""x"":470,""y"":322,""dx"":-21,""dy"":41,""t"":1534},{""x"":468,""y"":332,""dx"":-23,""dy"":51,""t"":1568},{""x"":477,""y"":326,""dx"":-14,""dy"":45,""t"":1601},{""x"":480,""y"":325,""dx"":-11,""dy"":44,""t"":1636},{""x"":478,""y"":331,""dx"":-13,""dy"":50,""t"":1669},{""x"":472,""y"":322,""dx"":-19,""dy"":41,""t"":1704},{""x"":453,""y"":302,""dx"":-38,""dy"":21,""t"":1739},{""x"":456,""y"":313,""dx"":-35,""dy"":32,""t"":1771},{""x"":442,""y"":303,""dx"":-49,""dy"":22,""t"":1804},{""x"":440,""y"":307,""dx"":-51,""dy"":26,""t"":1840},{""x"":434,""y"":312,""dx"":-57,""dy"":31,""t"":1874},{""x"":454,""y"":313,""dx"":-37,""dy"":32,""t"":1907},{""x"":458,""y"":295,""dx"":-33,""dy"":14,""t"":1942},{""x"":465,""y"":321,""dx"":-26,""dy"":40,""t"":1976},{""x"":471,""y"":345,""dx"":-20,""dy"":64,""t"":2010},{""x"":473,""y"":358,""dx"":-18,""dy"":77,""t"":2045},{""x"":468,""y"":359,""dx"":-23,""dy"":78,""t"":2078},{""x"":469,""y"":350,""dx"":-22,""dy"":69,""t"":2111},{""x"":459,""y"":344,""dx"":-32,""dy"":63,""t"":2145},{""x"":455,""y"":338,""dx"":-36,""dy"":57,""t"":2181},{""x"":454,""y"":341,""dx"":-37,""dy"":60,""t"":2214},{""x"":457,""y"":348,""dx"":-34,""dy"":67,""t"":2248},{""x"":450,""y"":334,""dx"":-41,""dy"":53,""t"":2282},{""x"":453,""y"":322,""dx"":-38,""dy"":41,""t"":2317},{""x"":453,""y"":337,""dx"":-38,""dy"":56,""t"":2351},{""x"":442,""y"":324,""dx"":-49,""dy"":43,""t"":2384},{""x"":437,""y"":328,""dx"":-54,""dy"":47,""t"":2418},{""x"":436,""y"":319,""dx"":-55,""dy"":38,""t"":2453},{""x"":432,""y"":307,""dx"":-59,""dy"":26,""t"":2486},{""x"":425,""y"":311,""dx"":-66,""dy"":30,""t"":2519},{""x"":435,""y"":295,""dx"":-56,""dy"":14,""t"":2554},{""x"":440,""y"":293,""dx"":-51,""dy"":12,""t"":2588},{""x"":445,""y"":304,""dx"":-46,""dy"":23,""t"":2622},{""x"":440,""y"":307,""dx"":-51,""dy"":26,""t"":2657},{""x"":434,""y"":312,""dx"":-57,""dy"":31,""t"":2690},{""x"":437,""y"":316,""dx"":-54,""dy"":35,""t"":2725},{""x"":444,""y"":297,""dx"":-47,""dy"":16,""t"":2758},{""x"":440,""y"":295,""dx"":-51,""dy"":14,""t"":2792},{""x"":435,""y"":301,""dx"":-56,""dy"":20,""t"":2826},{""x"":429,""y"":285,""dx"":-62,""dy"":4,""t"":2860},{""x"":439,""y"":280,""dx"":-52,""dy"":-1,""t"":2895},{""x"":427,""y"":280,""dx"":-64,""dy"":-1,""t"":2928},{""x"":415,""y"":301,""dx"":-76,""dy"":20,""t"":2962},{""x"":418,""y"":285,""dx"":-73,""dy"":4,""t"":2996}],[{""x"":1532,""y"":355,""dx"":81,""dy"":74,""t"":4017},{""x"":1506,""y"":364,""dx"":55,""dy"":83,""t"":4050},{""x"":1511,""y"":360,""dx"":60,""dy"":79,""t"":4085},{""x"":1507,""y"":352,""dx"":56,""dy"":71,""t"":4118},{""x"":1494,""y"":332,""dx"":43,""dy"":51,""t"":4151},{""x"":1497,""y"":319,""dx"":46,""dy"":38,""t"":4186},{""x"":1498,""y"":321,""dx"":47,""dy"":40,""t"":4220},{""x"":1489,""y"":346,""dx"":38,""dy"":65,""t"":4254},{""x"":1507,""y"":321,""dx"":56,""dy"":40,""t"":4288},{""x"":1506,""y"":303,""dx"":55,""dy"":22,""t"":4323},{""x"":1491,""y"":299,""dx"":40,""dy"":18,""t"":4356},{""x"":1494,""y"":285,""dx"":43,""dy"":4,""t"":4390},{""x"":1492,""y"":313,""dx"":41,""dy"":32,""t"":4425},{""x"":1505,""y"":298,""dx"":54,""dy"":17,""t"":4457},{""x"":1516,""y"":299,""dx"":65,""dy"":18,""t"":4492},{""x"":1523,""y"":296,""dx"":72,""dy"":15,""t"":4526},{""x"":1516,""y"":307,""dx"":65,""dy"":26,""t"":4561},{""x"":1519,""y"":286,""dx"":68,""dy"":5,""t"":4594},{""x"":1514,""y"":309,""dx"":63,""dy"":28,""t"":4629},{""x"":1522,""y"":313,""dx"":71,""dy"":32,""t"":4661},{""x"":1510,""y"":318,""dx"":59,""dy"":37,""t"":4697},{""x"":1488,""y"":306,""dx"":37,""dy"":25,""t"":4729},{""x"":1495,""y"":278,""dx"":44,""dy"":-3,""t"":4764},{""x"":1501,""y"":285,""dx"":50,""dy"":4,""t"":4798},{""x"":1495,""y"":282,""dx"":44,""dy"":1,""t"":4833},{""x"":1480,""y"":280,""dx"":29,""dy"":-1,""t"":4865},{""x"":1485,""y"":299,""dx"":34,""dy"":18,""t"":4900},{""x"":1505,""y"":315,""dx"":54,""dy"":34,""t"":4934},{""x"":1522,""y"":328,""dx"":71,""dy"":47,""t"":4966},{""x"":1515,""y"":337,""dx"":64,""dy"":56,""t"":5002},{""x"":1507,""y"":340,""dx"":56,""dy"":59,""t"":5036},{""x"":1501,""y"":323,""dx"":50,""dy"":42,""t"":5069},{""x"":1510,""y"":320,""dx"":59,""dy"":39,""t"":5105},{""x"":1512,""y"":292,""dx"":61,""dy"":11,""t"":5139},{""x"":1513,""y"":283,""dx"":62,""dy"":2,""t"":5172},{""x"":1506,""y"":291,""dx"":55,""dy"":10,""t"":5207},{""x"":1494,""y"":299,""dx"":43,""dy"":18,""t"":5240},{""x"":1482,""y"":291,""dx"":31,""dy"":10,""t"":5274},{""x"":1492,""y"":308,""dx"":41,""dy"":27,""t"":5309},{""x"":1475,""y"":322,""dx"":24,""dy"":41,""t"":5342},{""x"":1498,""y"":310,""dx"":47,""dy"":29,""t"":5374},{""x"":1475,""y"":327,""dx"":24,""dy"":46,""t"":5409},{""x"":1490,""y"":316,""dx"":39,""dy"":35,""t"":5445},{""x"":1495,""y"":325,""dx"":44,""dy"":44,""t"":5478},{""x"":1500,""y"":299,""dx"":49,""dy"":18,""t"":5511},{""x"":1525,""y"":314,""dx"":74,""dy"":33,""t"":5546},{""x"":1501,""y"":321,""dx"":50,""dy"":40,""t"":5581},{""x"":1473,""y"":343,""dx"":22,""dy"":62,""t"":5614},{""x"":1490,""y"":333,""dx"":39,""dy"":52,""t"":5648},{""x"":1492,""y"":330,""dx"":41,""dy"":49,""t"":5682},{""x"":1503,""y"":318,""dx"":52,""dy"":37,""t"":5716},{""x"":1502,""y"":338,""dx"":51,""dy"":57,""t"":5751},{""x"":1514,""y"":321,""dx"":63,""dy"":40,""t"":5784},{""x"":1508,""y"":324,""dx"":57,""dy"":43,""t"":5819},{""x"":1502,""y"":338,""dx"":51,""dy"":57,""t"":5853},{""x"":1498,""y"":308,""dx"":47,""dy"":27,""t"":5886},{""x"":1505,""y"":316,""dx"":54,""dy"":35,""t"":5920},{""x"":1520,""y"":335,""dx"":69,""dy"":54,""t"":5953},{""x"":1513,""y"":352,""dx"":62,""dy"":71,""t"":5988}],[{""x"":1049,""y"":617,""dx"":78,""dy"":66,""t"":7041},{""x"":1068,""y"":603,""dx"":97,""dy"":52,""t"":7077},{""x"":1075,""y"":604,""dx"":104,""dy"":53,""t"":7110},{""x"":1079,""y"":609,""dx"":108,""dy"":58,""t"":7144},{""x"":1075,""y"":620,""dx"":104,""dy"":69,""t"":7178},{""x"":1074,""y"":595,""dx"":103,""dy"":44,""t"":7212},{""x"":1062,""y"":577,""dx"":91,""dy"":26,""t"":7247},{""x"":1066,""y"":625,""dx"":95,""dy"":74,""t"":7281},{""x"":1054,""y"":750,""dx"":83,""dy"":199,""t"":7315},{""x"":1051,""y"":776,""dx"":80,""dy"":225,""t"":7348},{""x"":1059,""y"":779,""dx"":88,""dy"":228,""t"":7404},{""x"":1061,""y"":780,""dx"":90,""dy"":229,""t"":7417},{""x"":1058,""y"":765,""dx"":87,""dy"":214,""t"":7451},{""x"":1054,""y"":733,""dx"":83,""dy"":182,""t"":7484},{""x"":1019,""y"":728,""dx"":48,""dy"":177,""t"":7518},{""x"":1015,""y"":708,""dx"":44,""dy"":157,""t"":7551},{""x"":1026,""y"":704,""dx"":55,""dy"":153,""t"":7586},{""x"":1009,""y"":693,""dx"":38,""dy"":142,""t"":7620},{""x"":995,""y"":684,""dx"":24,""dy"":133,""t"":7655},{""x"":979,""y"":671,""dx"":8,""dy"":120,""t"":7688},{""x"":987,""y"":661,""dx"":16,""dy"":110,""t"":7722},{""x"":982,""y"":664,""dx"":11,""dy"":113,""t"":7756},{""x"":995,""y"":681,""dx"":24,""dy"":130,""t"":7792},{""x"":996,""y"":669,""dx"":25,""dy"":118,""t"":7824},{""x"":986,""y"":674,""dx"":15,""dy"":123,""t"":7859},{""x"":990,""y"":668,""dx"":19,""dy"":117,""t"":7892},{""x"":988,""y"":661,""dx"":17,""dy"":110,""t"":7926},{""x"":989,""y"":653,""dx"":18,""dy"":102,""t"":7960},{""x"":984,""y"":635,""dx"":13,""dy"":84,""t"":7994},{""x"":996,""y"":631,""dx"":25,""dy"":80,""t"":8028},{""x"":1009,""y"":631,""dx"":38,""dy"":80,""t"":8062},{""x"":1025,""y"":631,""dx"":54,""dy"":80,""t"":8097},{""x"":1029,""y"":636,""dx"":58,""dy"":85,""t"":8130},{""x"":1023,""y"":657,""dx"":52,""dy"":106,""t"":8164},{""x"":1035,""y"":627,""dx"":64,""dy"":76,""t"":8197},{""x"":1037,""y"":641,""dx"":66,""dy"":90,""t"":8232},{""x"":1032,""y"":627,""dx"":61,""dy"":76,""t"":8267},{""x"":1036,""y"":641,""dx"":65,""dy"":90,""t"":8302},{""x"":1024,""y"":650,""dx"":53,""dy"":99,""t"":8334},{""x"":1023,""y"":642,""dx"":52,""dy"":91,""t"":8367},{""x"":1035,""y"":638,""dx"":64,""dy"":87,""t"":8402},{""x"":1051,""y"":640,""dx"":80,""dy"":89,""t"":8436},{""x"":1044,""y"":667,""dx"":73,""dy"":116,""t"":8469},{""x"":1043,""y"":651,""dx"":72,""dy"":100,""t"":8503},{""x"":1038,""y"":632,""dx"":67,""dy"":81,""t"":8536},{""x"":1023,""y"":611,""dx"":52,""dy"":60,""t"":8572},{""x"":1043,""y"":607,""dx"":72,""dy"":56,""t"":8605},{""x"":1043,""y"":624,""dx"":72,""dy"":73,""t"":8640},{""x"":1045,""y"":623,""dx"":74,""dy"":72,""t"":8673},{""x"":1031,""y"":611,""dx"":60,""dy"":60,""t"":8709},{""x"":1022,""y"":634,""dx"":51,""dy"":83,""t"":8743},{""x"":1010,""y"":638,""dx"":39,""dy"":87,""t"":8776},{""x"":1011,""y"":630,""dx"":40,""dy"":79,""t"":8811},{""x"":1027,""y"":628,""dx"":56,""dy"":77,""t"":8844},{""x"":1020,""y"":627,""dx"":49,""dy"":76,""t"":8878},{""x"":1025,""y"":602,""dx"":54,""dy"":51,""t"":8911},{""x"":1023,""y"":611,""dx"":52,""dy"":60,""t"":8946},{""x"":1025,""y"":615,""dx"":54,""dy"":64,""t"":8981},{""x"":1019,""y"":619,""dx"":48,""dy"":68,""t"":9014}],[{""x"":475,""y"":738,""dx"":-16,""dy"":-83,""t"":10034},{""x"":495,""y"":738,""dx"":4,""dy"":-83,""t"":10069},{""x"":512,""y"":738,""dx"":21,""dy"":-83,""t"":10100},{""x"":522,""y"":747,""dx"":31,""dy"":-74,""t"":10135},{""x"":508,""y"":733,""dx"":17,""dy"":-88,""t"":10169},{""x"":537,""y"":722,""dx"":46,""dy"":-99,""t"":10204},{""x"":537,""y"":709,""dx"":46,""dy"":-112,""t"":10237},{""x"":541,""y"":721,""dx"":50,""dy"":-100,""t"":10273},{""x"":549,""y"":734,""dx"":58,""dy"":-87,""t"":10306},{""x"":534,""y"":724,""dx"":43,""dy"":-97,""t"":10342},{""x"":555,""y"":746,""dx"":64,""dy"":-75,""t"":10374},{""x"":549,""y"":749,""dx"":58,""dy"":-72,""t"":10407},{""x"":567,""y"":734,""dx"":76,""dy"":-87,""t"":10443},{""x"":567,""y"":728,""dx"":76,""dy"":-93,""t"":10476},{""x"":566,""y"":723,""dx"":75,""dy"":-98,""t"":10509},{""x"":555,""y"":727,""dx"":64,""dy"":-94,""t"":10545},{""x"":549,""y"":738,""dx"":58,""dy"":-83,""t"":10578},{""x"":550,""y"":743,""dx"":59,""dy"":-78,""t"":10612},{""x"":548,""y"":743,""dx"":57,""dy"":-78,""t"":10646},{""x"":532,""y"":729,""dx"":41,""dy"":-92,""t"":10680},{""x"":524,""y"":726,""dx"":33,""dy"":-95,""t"":10714},{""x"":532,""y"":732,""dx"":41,""dy"":-89,""t"":10749},{""x"":520,""y"":736,""dx"":29,""dy"":-85,""t"":10782},{""x"":521,""y"":727,""dx"":30,""dy"":-94,""t"":10817},{""x"":526,""y"":733,""dx"":35,""dy"":-88,""t"":10850},{""x"":525,""y"":728,""dx"":34,""dy"":-93,""t"":10885},{""x"":521,""y"":723,""dx"":30,""dy"":-98,""t"":10919},{""x"":522,""y"":730,""dx"":31,""dy"":-91,""t"":10952},{""x"":518,""y"":734,""dx"":27,""dy"":-87,""t"":10986},{""x"":516,""y"":735,""dx"":25,""dy"":-86,""t"":11020},{""x"":514,""y"":726,""dx"":23,""dy"":-95,""t"":11054},{""x"":508,""y"":728,""dx"":17,""dy"":-93,""t"":11089},{""x"":505,""y"":727,""dx"":14,""dy"":-94,""t"":11122},{""x"":506,""y"":709,""dx"":15,""dy"":-112,""t"":11156},{""x"":523,""y"":713,""dx"":32,""dy"":-108,""t"":11191},{""x"":531,""y"":723,""dx"":40,""dy"":-98,""t"":11224},{""x"":522,""y"":714,""dx"":31,""dy"":-107,""t"":11257},{""x"":523,""y"":708,""dx"":32,""dy"":-113,""t"":11292},{""x"":507,""y"":699,""dx"":16,""dy"":-122,""t"":11326},{""x"":527,""y"":729,""dx"":36,""dy"":-92,""t"":11360},{""x"":536,""y"":760,""dx"":45,""dy"":-61,""t"":11394},{""x"":539,""y"":780,""dx"":48,""dy"":-41,""t"":11430},{""x"":545,""y"":778,""dx"":54,""dy"":-43,""t"":11461},{""x"":548,""y"":804,""dx"":57,""dy"":-17,""t"":11495},{""x"":541,""y"":785,""dx"":50,""dy"":-36,""t"":11531},{""x"":539,""y"":766,""dx"":48,""dy"":-55,""t"":11564},{""x"":542,""y"":771,""dx"":51,""dy"":-50,""t"":11598},{""x"":539,""y"":772,""dx"":48,""dy"":-49,""t"":11632},{""x"":542,""y"":780,""dx"":51,""dy"":-41,""t"":11665},{""x"":536,""y"":775,""dx"":45,""dy"":-46,""t"":11701},{""x"":524,""y"":774,""dx"":33,""dy"":-47,""t"":11733},{""x"":518,""y"":778,""dx"":27,""dy"":-43,""t"":11768},{""x"":520,""y"":788,""dx"":29,""dy"":-33,""t"":11802},{""x"":522,""y"":785,""dx"":31,""dy"":-36,""t"":11836},{""x"":521,""y"":791,""dx"":30,""dy"":-30,""t"":11869},{""x"":536,""y"":787,""dx"":45,""dy"":-34,""t"":11904},{""x"":535,""y"":774,""dx"":44,""dy"":-47,""t"":11939},{""x"":540,""y"":764,""dx"":49,""dy"":-57,""t"":11972},{""x"":543,""y"":759,""dx"":52,""dy"":-62,""t"":12006}],[{""x"":1461,""y"":782,""dx"":10,""dy"":-39,""t"":13061},{""x"":1449,""y"":801,""dx"":-2,""dy"":-20,""t"":13094},{""x"":1435,""y"":802,""dx"":-16,""dy"":-19,""t"":13128},{""x"":1407,""y"":802,""dx"":-44,""dy"":-19,""t"":13162},{""x"":1414,""y"":807,""dx"":-37,""dy"":-14,""t"":13196},{""x"":1402,""y"":790,""dx"":-49,""dy"":-31,""t"":13230},{""x"":1421,""y"":783,""dx"":-30,""dy"":-38,""t"":13264},{""x"":1426,""y"":777,""dx"":-25,""dy"":-44,""t"":13299},{""x"":1413,""y"":794,""dx"":-38,""dy"":-27,""t"":13332},{""x"":1404,""y"":808,""dx"":-47,""dy"":-13,""t"":13366},{""x"":1412,""y"":794,""dx"":-39,""dy"":-27,""t"":13400},{""x"":1399,""y"":791,""dx"":-52,""dy"":-30,""t"":13435},{""x"":1394,""y"":797,""dx"":-57,""dy"":-24,""t"":13468},{""x"":1398,""y"":797,""dx"":-53,""dy"":-24,""t"":13502},{""x"":1400,""y"":798,""dx"":-51,""dy"":-23,""t"":13536},{""x"":1399,""y"":804,""dx"":-52,""dy"":-17,""t"":13569},{""x"":1406,""y"":791,""dx"":-45,""dy"":-30,""t"":13605},{""x"":1401,""y"":772,""dx"":-50,""dy"":-49,""t"":13639},{""x"":1397,""y"":756,""dx"":-54,""dy"":-65,""t"":13670},{""x"":1406,""y"":775,""dx"":-45,""dy"":-46,""t"":13706},{""x"":1395,""y"":785,""dx"":-56,""dy"":-36,""t"":13740},{""x"":1389,""y"":773,""dx"":-62,""dy"":-48,""t"":13774},{""x"":1392,""y"":760,""dx"":-59,""dy"":-61,""t"":13808},{""x"":1391,""y"":771,""dx"":-60,""dy"":-50,""t"":13841},{""x"":1421,""y"":741,""dx"":-30,""dy"":-80,""t"":13878},{""x"":1410,""y"":744,""dx"":-41,""dy"":-77,""t"":13910},{""x"":1402,""y"":726,""dx"":-49,""dy"":-95,""t"":13943},{""x"":1405,""y"":750,""dx"":-46,""dy"":-71,""t"":13978},{""x"":1415,""y"":743,""dx"":-36,""dy"":-78,""t"":14012},{""x"":1418,""y"":764,""dx"":-33,""dy"":-57,""t"":14046},{""x"":1421,""y"":782,""dx"":-30,""dy"":-39,""t"":14077},{""x"":1410,""y"":760,""dx"":-41,""dy"":-61,""t"":14113},{""x"":1394,""y"":766,""dx"":-57,""dy"":-55,""t"":14149},{""x"":1402,""y"":770,""dx"":-49,""dy"":-51,""t"":14182},{""x"":1400,""y"":749,""dx"":-51,""dy"":-72,""t"":14216},{""x"":1371,""y"":758,""dx"":-80,""dy"":-63,""t"":14250},{""x"":1365,""y"":755,""dx"":-86,""dy"":-66,""t"":14284},{""x"":1370,""y"":752,""dx"":-81,""dy"":-69,""t"":14318},{""x"":1363,""y"":766,""dx"":-88,""dy"":-55,""t"":14352},{""x"":1371,""y"":759,""dx"":-80,""dy"":-62,""t"":14386},{""x"":1402,""y"":754,""dx"":-49,""dy"":-67,""t"":14419},{""x"":1422,""y"":761,""dx"":-29,""dy"":-60,""t"":14454},{""x"":1424,""y"":760,""dx"":-27,""dy"":-61,""t"":14489},{""x"":1432,""y"":751,""dx"":-19,""dy"":-70,""t"":14522},{""x"":1399,""y"":733,""dx"":-52,""dy"":-88,""t"":14556},{""x"":1400,""y"":752,""dx"":-51,""dy"":-69,""t"":14590},{""x"":1401,""y"":759,""dx"":-50,""dy"":-62,""t"":14644},{""x"":1402,""y"":765,""dx"":-49,""dy"":-56,""t"":14657},{""x"":1396,""y"":767,""dx"":-55,""dy"":-54,""t"":14692},{""x"":1376,""y"":772,""dx"":-75,""dy"":-49,""t"":14727},{""x"":1384,""y"":760,""dx"":-67,""dy"":-61,""t"":14761},{""x"":1375,""y"":733,""dx"":-76,""dy"":-88,""t"":14794},{""x"":1388,""y"":752,""dx"":-63,""dy"":-69,""t"":14828},{""x"":1405,""y"":746,""dx"":-46,""dy"":-75,""t"":14862},{""x"":1404,""y"":741,""dx"":-47,""dy"":-80,""t"":14896},{""x"":1408,""y"":743,""dx"":-43,""dy"":-78,""t"":14930},{""x"":1423,""y"":766,""dx"":-28,""dy"":-55,""t"":14964},{""x"":1415,""y"":782,""dx"":-36,""dy"":-39,""t"":14998},{""x"":1426,""y"":792,""dx"":-25,""dy"":-29,""t"":15031}]]","[100,100,89.83050847457628,100,100]","[{""x"":-36.15,""y"":42.31666666666667,""r"":36.119164024233925},{""x"":51.220338983050844,""y"":34.983050847457626,""r"":20.950256402270707},{""x"":57.33898305084746,""y"":101.69491525423729,""r"":41.28102760891675},{""x"":39.59322033898305,""y"":-76.67796610169492,""r"":25.538565505263744},{""x"":-47.08474576271186,""y"":-51.779661016949156,""r"":23.414933716375494}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
