"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3343","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3347","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10345","0.0-2.0-0.0","","","","","6996","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11897","0.0-2.0-1.0","","","","","1551","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13601","0.0-3.0","","","","","1702"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","27428","0.0-4.0","","","","","","","","","2171","","","","","","","","","","","","","","","","",""
"","html-button-response","6","28609","0.0-5.0-0.0","","","","","1180","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","49628","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","52081","0.0-5.0-2.0","","","","","2452","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","69929","0.0-5.0-3.0","","","","","","","","","","[[{""x"":472,""y"":270,""dx"":-19,""dy"":-11,""t"":990},{""x"":486,""y"":277,""dx"":-5,""dy"":-4,""t"":1024},{""x"":499,""y"":279,""dx"":8,""dy"":-2,""t"":1058},{""x"":516,""y"":262,""dx"":25,""dy"":-19,""t"":1092},{""x"":512,""y"":320,""dx"":21,""dy"":39,""t"":1126},{""x"":547,""y"":327,""dx"":56,""dy"":46,""t"":1161},{""x"":563,""y"":329,""dx"":72,""dy"":48,""t"":1194},{""x"":561,""y"":329,""dx"":70,""dy"":48,""t"":1228},{""x"":580,""y"":334,""dx"":89,""dy"":53,""t"":1262},{""x"":554,""y"":325,""dx"":63,""dy"":44,""t"":1296},{""x"":552,""y"":342,""dx"":61,""dy"":61,""t"":1330},{""x"":537,""y"":355,""dx"":46,""dy"":74,""t"":1363},{""x"":510,""y"":353,""dx"":19,""dy"":72,""t"":1398},{""x"":499,""y"":348,""dx"":8,""dy"":67,""t"":1432},{""x"":499,""y"":363,""dx"":8,""dy"":82,""t"":1465},{""x"":489,""y"":359,""dx"":-2,""dy"":78,""t"":1500},{""x"":479,""y"":370,""dx"":-12,""dy"":89,""t"":1534},{""x"":484,""y"":389,""dx"":-7,""dy"":108,""t"":1567},{""x"":471,""y"":370,""dx"":-20,""dy"":89,""t"":1602},{""x"":509,""y"":378,""dx"":18,""dy"":97,""t"":1636},{""x"":529,""y"":373,""dx"":38,""dy"":92,""t"":1670},{""x"":546,""y"":369,""dx"":55,""dy"":88,""t"":1702},{""x"":546,""y"":366,""dx"":55,""dy"":85,""t"":1738},{""x"":538,""y"":335,""dx"":47,""dy"":54,""t"":1772},{""x"":556,""y"":359,""dx"":65,""dy"":78,""t"":1805},{""x"":573,""y"":371,""dx"":82,""dy"":90,""t"":1840},{""x"":586,""y"":392,""dx"":95,""dy"":111,""t"":1875},{""x"":551,""y"":384,""dx"":60,""dy"":103,""t"":1907},{""x"":543,""y"":383,""dx"":52,""dy"":102,""t"":1943},{""x"":562,""y"":379,""dx"":71,""dy"":98,""t"":1976},{""x"":551,""y"":362,""dx"":60,""dy"":81,""t"":2010},{""x"":545,""y"":348,""dx"":54,""dy"":67,""t"":2044},{""x"":532,""y"":318,""dx"":41,""dy"":37,""t"":2078},{""x"":521,""y"":293,""dx"":30,""dy"":12,""t"":2110},{""x"":531,""y"":290,""dx"":40,""dy"":9,""t"":2145},{""x"":528,""y"":270,""dx"":37,""dy"":-11,""t"":2180},{""x"":511,""y"":285,""dx"":20,""dy"":4,""t"":2214},{""x"":513,""y"":268,""dx"":22,""dy"":-13,""t"":2248},{""x"":520,""y"":271,""dx"":29,""dy"":-10,""t"":2281},{""x"":506,""y"":305,""dx"":15,""dy"":24,""t"":2315},{""x"":510,""y"":333,""dx"":19,""dy"":52,""t"":2350},{""x"":510,""y"":356,""dx"":19,""dy"":75,""t"":2384},{""x"":528,""y"":347,""dx"":37,""dy"":66,""t"":2418},{""x"":521,""y"":328,""dx"":30,""dy"":47,""t"":2452},{""x"":528,""y"":306,""dx"":37,""dy"":25,""t"":2485},{""x"":516,""y"":339,""dx"":25,""dy"":58,""t"":2520},{""x"":538,""y"":328,""dx"":47,""dy"":47,""t"":2554},{""x"":529,""y"":367,""dx"":38,""dy"":86,""t"":2588},{""x"":544,""y"":383,""dx"":53,""dy"":102,""t"":2622},{""x"":505,""y"":382,""dx"":14,""dy"":101,""t"":2655},{""x"":501,""y"":379,""dx"":10,""dy"":98,""t"":2690},{""x"":508,""y"":357,""dx"":17,""dy"":76,""t"":2724},{""x"":517,""y"":342,""dx"":26,""dy"":61,""t"":2758},{""x"":535,""y"":339,""dx"":44,""dy"":58,""t"":2792},{""x"":551,""y"":331,""dx"":60,""dy"":50,""t"":2826},{""x"":562,""y"":331,""dx"":71,""dy"":50,""t"":2860},{""x"":573,""y"":321,""dx"":82,""dy"":40,""t"":2894},{""x"":585,""y"":325,""dx"":94,""dy"":44,""t"":2927},{""x"":560,""y"":324,""dx"":69,""dy"":43,""t"":2962},{""x"":567,""y"":321,""dx"":76,""dy"":40,""t"":2996}],[{""x"":1604,""y"":316,""dx"":153,""dy"":35,""t"":4015},{""x"":1595,""y"":290,""dx"":144,""dy"":9,""t"":4050},{""x"":1575,""y"":278,""dx"":124,""dy"":-3,""t"":4084},{""x"":1570,""y"":250,""dx"":119,""dy"":-31,""t"":4118},{""x"":1564,""y"":269,""dx"":113,""dy"":-12,""t"":4152},{""x"":1578,""y"":288,""dx"":127,""dy"":7,""t"":4186},{""x"":1596,""y"":320,""dx"":145,""dy"":39,""t"":4220},{""x"":1579,""y"":315,""dx"":128,""dy"":34,""t"":4254},{""x"":1595,""y"":340,""dx"":144,""dy"":59,""t"":4287},{""x"":1608,""y"":361,""dx"":157,""dy"":80,""t"":4322},{""x"":1587,""y"":348,""dx"":136,""dy"":67,""t"":4355},{""x"":1586,""y"":349,""dx"":135,""dy"":68,""t"":4390},{""x"":1587,""y"":362,""dx"":136,""dy"":81,""t"":4424},{""x"":1583,""y"":347,""dx"":132,""dy"":66,""t"":4458},{""x"":1584,""y"":361,""dx"":133,""dy"":80,""t"":4492},{""x"":1591,""y"":389,""dx"":140,""dy"":108,""t"":4526},{""x"":1588,""y"":349,""dx"":137,""dy"":68,""t"":4560},{""x"":1617,""y"":355,""dx"":166,""dy"":74,""t"":4595},{""x"":1610,""y"":343,""dx"":159,""dy"":62,""t"":4628},{""x"":1613,""y"":355,""dx"":162,""dy"":74,""t"":4662},{""x"":1613,""y"":362,""dx"":162,""dy"":81,""t"":4696},{""x"":1607,""y"":337,""dx"":156,""dy"":56,""t"":4730},{""x"":1598,""y"":330,""dx"":147,""dy"":49,""t"":4764},{""x"":1600,""y"":358,""dx"":149,""dy"":77,""t"":4798},{""x"":1597,""y"":367,""dx"":146,""dy"":86,""t"":4832},{""x"":1604,""y"":354,""dx"":153,""dy"":73,""t"":4866},{""x"":1621,""y"":392,""dx"":170,""dy"":111,""t"":4899},{""x"":1609,""y"":416,""dx"":158,""dy"":135,""t"":4934},{""x"":1624,""y"":433,""dx"":173,""dy"":152,""t"":4969},{""x"":1605,""y"":438,""dx"":154,""dy"":157,""t"":5002},{""x"":1605,""y"":432,""dx"":154,""dy"":151,""t"":5036},{""x"":1617,""y"":428,""dx"":166,""dy"":147,""t"":5070},{""x"":1607,""y"":428,""dx"":156,""dy"":147,""t"":5104},{""x"":1601,""y"":434,""dx"":150,""dy"":153,""t"":5138},{""x"":1573,""y"":437,""dx"":122,""dy"":156,""t"":5172},{""x"":1553,""y"":441,""dx"":102,""dy"":160,""t"":5205},{""x"":1544,""y"":422,""dx"":93,""dy"":141,""t"":5241},{""x"":1549,""y"":385,""dx"":98,""dy"":104,""t"":5272},{""x"":1555,""y"":370,""dx"":104,""dy"":89,""t"":5308},{""x"":1553,""y"":350,""dx"":102,""dy"":69,""t"":5342},{""x"":1556,""y"":381,""dx"":105,""dy"":100,""t"":5375},{""x"":1535,""y"":397,""dx"":84,""dy"":116,""t"":5410},{""x"":1555,""y"":463,""dx"":104,""dy"":182,""t"":5444},{""x"":1589,""y"":526,""dx"":138,""dy"":245,""t"":5478},{""x"":1595,""y"":568,""dx"":144,""dy"":287,""t"":5513},{""x"":1598,""y"":558,""dx"":147,""dy"":277,""t"":5545},{""x"":1594,""y"":503,""dx"":143,""dy"":222,""t"":5580},{""x"":1579,""y"":450,""dx"":128,""dy"":169,""t"":5614},{""x"":1568,""y"":417,""dx"":117,""dy"":136,""t"":5648},{""x"":1557,""y"":386,""dx"":106,""dy"":105,""t"":5680},{""x"":1559,""y"":367,""dx"":108,""dy"":86,""t"":5716},{""x"":1549,""y"":327,""dx"":98,""dy"":46,""t"":5751},{""x"":1548,""y"":299,""dx"":97,""dy"":18,""t"":5784},{""x"":1542,""y"":302,""dx"":91,""dy"":21,""t"":5818},{""x"":1534,""y"":318,""dx"":83,""dy"":37,""t"":5852},{""x"":1507,""y"":312,""dx"":56,""dy"":31,""t"":5886},{""x"":1494,""y"":309,""dx"":43,""dy"":28,""t"":5920},{""x"":1506,""y"":314,""dx"":55,""dy"":33,""t"":5955},{""x"":1511,""y"":339,""dx"":60,""dy"":58,""t"":5988}],[{""x"":1009,""y"":667,""dx"":38,""dy"":116,""t"":7008},{""x"":1012,""y"":635,""dx"":41,""dy"":84,""t"":7042},{""x"":1003,""y"":634,""dx"":32,""dy"":83,""t"":7076},{""x"":1025,""y"":632,""dx"":54,""dy"":81,""t"":7111},{""x"":1031,""y"":634,""dx"":60,""dy"":83,""t"":7144},{""x"":1025,""y"":625,""dx"":54,""dy"":74,""t"":7178},{""x"":1025,""y"":645,""dx"":54,""dy"":94,""t"":7212},{""x"":1022,""y"":653,""dx"":51,""dy"":102,""t"":7246},{""x"":1011,""y"":643,""dx"":40,""dy"":92,""t"":7278},{""x"":1024,""y"":668,""dx"":53,""dy"":117,""t"":7315},{""x"":1035,""y"":691,""dx"":64,""dy"":140,""t"":7348},{""x"":1010,""y"":668,""dx"":39,""dy"":117,""t"":7383},{""x"":1012,""y"":644,""dx"":41,""dy"":93,""t"":7416},{""x"":1006,""y"":596,""dx"":35,""dy"":45,""t"":7451},{""x"":1023,""y"":588,""dx"":52,""dy"":37,""t"":7484},{""x"":1039,""y"":570,""dx"":68,""dy"":19,""t"":7517},{""x"":1032,""y"":553,""dx"":61,""dy"":2,""t"":7551},{""x"":1046,""y"":594,""dx"":75,""dy"":43,""t"":7585},{""x"":1031,""y"":596,""dx"":60,""dy"":45,""t"":7620},{""x"":1022,""y"":598,""dx"":51,""dy"":47,""t"":7654},{""x"":1017,""y"":625,""dx"":46,""dy"":74,""t"":7688},{""x"":1002,""y"":635,""dx"":31,""dy"":84,""t"":7721},{""x"":1006,""y"":648,""dx"":35,""dy"":97,""t"":7755},{""x"":1020,""y"":656,""dx"":49,""dy"":105,""t"":7789},{""x"":1034,""y"":628,""dx"":63,""dy"":77,""t"":7824},{""x"":1026,""y"":642,""dx"":55,""dy"":91,""t"":7858},{""x"":1044,""y"":633,""dx"":73,""dy"":82,""t"":7892},{""x"":1065,""y"":618,""dx"":94,""dy"":67,""t"":7926},{""x"":1076,""y"":651,""dx"":105,""dy"":100,""t"":7960},{""x"":1054,""y"":652,""dx"":83,""dy"":101,""t"":7994},{""x"":1051,""y"":657,""dx"":80,""dy"":106,""t"":8028},{""x"":1062,""y"":633,""dx"":91,""dy"":82,""t"":8062},{""x"":1046,""y"":611,""dx"":75,""dy"":60,""t"":8097},{""x"":1037,""y"":599,""dx"":66,""dy"":48,""t"":8130},{""x"":1035,""y"":601,""dx"":64,""dy"":50,""t"":8163},{""x"":1054,""y"":601,""dx"":83,""dy"":50,""t"":8197},{""x"":1047,""y"":609,""dx"":76,""dy"":58,""t"":8231},{""x"":1063,""y"":633,""dx"":92,""dy"":82,""t"":8266},{""x"":1040,""y"":651,""dx"":69,""dy"":100,""t"":8300},{""x"":1037,""y"":643,""dx"":66,""dy"":92,""t"":8333},{""x"":1050,""y"":629,""dx"":79,""dy"":78,""t"":8368},{""x"":1055,""y"":623,""dx"":84,""dy"":72,""t"":8402},{""x"":1027,""y"":634,""dx"":56,""dy"":83,""t"":8435},{""x"":1030,""y"":615,""dx"":59,""dy"":64,""t"":8471},{""x"":1005,""y"":625,""dx"":34,""dy"":74,""t"":8504},{""x"":1004,""y"":593,""dx"":33,""dy"":42,""t"":8538},{""x"":1001,""y"":637,""dx"":30,""dy"":86,""t"":8572},{""x"":999,""y"":632,""dx"":28,""dy"":81,""t"":8605},{""x"":1002,""y"":614,""dx"":31,""dy"":63,""t"":8639},{""x"":1018,""y"":564,""dx"":47,""dy"":13,""t"":8674},{""x"":1023,""y"":587,""dx"":52,""dy"":36,""t"":8708},{""x"":1025,""y"":600,""dx"":54,""dy"":49,""t"":8742},{""x"":1034,""y"":582,""dx"":63,""dy"":31,""t"":8776},{""x"":1046,""y"":597,""dx"":75,""dy"":46,""t"":8810},{""x"":1055,""y"":609,""dx"":84,""dy"":58,""t"":8842},{""x"":1044,""y"":589,""dx"":73,""dy"":38,""t"":8878},{""x"":1060,""y"":600,""dx"":89,""dy"":49,""t"":8912},{""x"":1059,""y"":610,""dx"":88,""dy"":59,""t"":8946},{""x"":1064,""y"":631,""dx"":93,""dy"":80,""t"":8980},{""x"":1070,""y"":676,""dx"":99,""dy"":125,""t"":9015}],[{""x"":805,""y"":769,""dx"":314,""dy"":-52,""t"":10034},{""x"":801,""y"":775,""dx"":310,""dy"":-46,""t"":10069},{""x"":813,""y"":780,""dx"":322,""dy"":-41,""t"":10102},{""x"":801,""y"":791,""dx"":310,""dy"":-30,""t"":10137},{""x"":810,""y"":792,""dx"":319,""dy"":-29,""t"":10170},{""x"":804,""y"":793,""dx"":313,""dy"":-28,""t"":10204},{""x"":786,""y"":773,""dx"":295,""dy"":-48,""t"":10238},{""x"":785,""y"":779,""dx"":294,""dy"":-42,""t"":10272},{""x"":788,""y"":768,""dx"":297,""dy"":-53,""t"":10305},{""x"":790,""y"":772,""dx"":299,""dy"":-49,""t"":10340},{""x"":790,""y"":779,""dx"":299,""dy"":-42,""t"":10375},{""x"":789,""y"":784,""dx"":298,""dy"":-37,""t"":10409},{""x"":788,""y"":788,""dx"":297,""dy"":-33,""t"":10440},{""x"":781,""y"":787,""dx"":290,""dy"":-34,""t"":10476},{""x"":772,""y"":787,""dx"":281,""dy"":-34,""t"":10509},{""x"":781,""y"":788,""dx"":290,""dy"":-33,""t"":10544},{""x"":783,""y"":785,""dx"":292,""dy"":-36,""t"":10578},{""x"":782,""y"":782,""dx"":291,""dy"":-39,""t"":10612},{""x"":772,""y"":785,""dx"":281,""dy"":-36,""t"":10646},{""x"":771,""y"":775,""dx"":280,""dy"":-46,""t"":10681},{""x"":775,""y"":781,""dx"":284,""dy"":-40,""t"":10714},{""x"":794,""y"":795,""dx"":303,""dy"":-26,""t"":10748},{""x"":793,""y"":795,""dx"":302,""dy"":-26,""t"":10782},{""x"":792,""y"":800,""dx"":301,""dy"":-21,""t"":10816},{""x"":798,""y"":808,""dx"":307,""dy"":-13,""t"":10847},{""x"":796,""y"":797,""dx"":305,""dy"":-24,""t"":10883},{""x"":785,""y"":806,""dx"":294,""dy"":-15,""t"":10919},{""x"":763,""y"":798,""dx"":272,""dy"":-23,""t"":10953},{""x"":730,""y"":758,""dx"":239,""dy"":-63,""t"":10986},{""x"":736,""y"":767,""dx"":245,""dy"":-54,""t"":11020},{""x"":745,""y"":771,""dx"":254,""dy"":-50,""t"":11054},{""x"":749,""y"":767,""dx"":258,""dy"":-54,""t"":11088},{""x"":755,""y"":782,""dx"":264,""dy"":-39,""t"":11122},{""x"":759,""y"":770,""dx"":268,""dy"":-51,""t"":11155},{""x"":756,""y"":746,""dx"":265,""dy"":-75,""t"":11190},{""x"":762,""y"":747,""dx"":271,""dy"":-74,""t"":11224},{""x"":755,""y"":765,""dx"":264,""dy"":-56,""t"":11258},{""x"":768,""y"":768,""dx"":277,""dy"":-53,""t"":11292},{""x"":772,""y"":766,""dx"":281,""dy"":-55,""t"":11325},{""x"":793,""y"":756,""dx"":302,""dy"":-65,""t"":11360},{""x"":784,""y"":741,""dx"":293,""dy"":-80,""t"":11394},{""x"":788,""y"":753,""dx"":297,""dy"":-68,""t"":11428},{""x"":795,""y"":768,""dx"":304,""dy"":-53,""t"":11462},{""x"":807,""y"":776,""dx"":316,""dy"":-45,""t"":11496},{""x"":809,""y"":782,""dx"":318,""dy"":-39,""t"":11529},{""x"":803,""y"":792,""dx"":312,""dy"":-29,""t"":11564},{""x"":799,""y"":801,""dx"":308,""dy"":-20,""t"":11598},{""x"":802,""y"":794,""dx"":311,""dy"":-27,""t"":11632},{""x"":774,""y"":774,""dx"":283,""dy"":-47,""t"":11666},{""x"":778,""y"":795,""dx"":287,""dy"":-26,""t"":11700},{""x"":792,""y"":809,""dx"":301,""dy"":-12,""t"":11734},{""x"":806,""y"":805,""dx"":315,""dy"":-16,""t"":11768},{""x"":824,""y"":811,""dx"":333,""dy"":-10,""t"":11802},{""x"":803,""y"":778,""dx"":312,""dy"":-43,""t"":11836},{""x"":793,""y"":772,""dx"":302,""dy"":-49,""t"":11870},{""x"":800,""y"":770,""dx"":309,""dy"":-51,""t"":11905},{""x"":794,""y"":760,""dx"":303,""dy"":-61,""t"":11938},{""x"":784,""y"":757,""dx"":293,""dy"":-64,""t"":11972},{""x"":785,""y"":762,""dx"":294,""dy"":-59,""t"":12006}],[{""x"":1493,""y"":802,""dx"":42,""dy"":-19,""t"":13060},{""x"":1508,""y"":800,""dx"":57,""dy"":-21,""t"":13094},{""x"":1486,""y"":774,""dx"":35,""dy"":-47,""t"":13128},{""x"":1481,""y"":775,""dx"":30,""dy"":-46,""t"":13161},{""x"":1425,""y"":766,""dx"":-26,""dy"":-55,""t"":13197},{""x"":1419,""y"":784,""dx"":-32,""dy"":-37,""t"":13230},{""x"":1438,""y"":804,""dx"":-13,""dy"":-17,""t"":13264},{""x"":1375,""y"":812,""dx"":-76,""dy"":-9,""t"":13297},{""x"":1378,""y"":806,""dx"":-73,""dy"":-15,""t"":13333},{""x"":1351,""y"":825,""dx"":-100,""dy"":4,""t"":13366},{""x"":1346,""y"":817,""dx"":-105,""dy"":-4,""t"":13400},{""x"":1379,""y"":830,""dx"":-72,""dy"":9,""t"":13434},{""x"":1382,""y"":820,""dx"":-69,""dy"":-1,""t"":13468},{""x"":1359,""y"":823,""dx"":-92,""dy"":2,""t"":13502},{""x"":1376,""y"":808,""dx"":-75,""dy"":-13,""t"":13536},{""x"":1393,""y"":811,""dx"":-58,""dy"":-10,""t"":13570},{""x"":1419,""y"":823,""dx"":-32,""dy"":2,""t"":13604},{""x"":1414,""y"":817,""dx"":-37,""dy"":-4,""t"":13638},{""x"":1428,""y"":807,""dx"":-23,""dy"":-14,""t"":13671},{""x"":1407,""y"":796,""dx"":-44,""dy"":-25,""t"":13705},{""x"":1413,""y"":789,""dx"":-38,""dy"":-32,""t"":13740},{""x"":1410,""y"":785,""dx"":-41,""dy"":-36,""t"":13775},{""x"":1391,""y"":787,""dx"":-60,""dy"":-34,""t"":13808},{""x"":1362,""y"":777,""dx"":-89,""dy"":-44,""t"":13843},{""x"":1380,""y"":787,""dx"":-71,""dy"":-34,""t"":13876},{""x"":1389,""y"":814,""dx"":-62,""dy"":-7,""t"":13910},{""x"":1390,""y"":810,""dx"":-61,""dy"":-11,""t"":13944},{""x"":1356,""y"":812,""dx"":-95,""dy"":-9,""t"":13978},{""x"":1356,""y"":802,""dx"":-95,""dy"":-19,""t"":14010},{""x"":1340,""y"":808,""dx"":-111,""dy"":-13,""t"":14045},{""x"":1382,""y"":816,""dx"":-69,""dy"":-5,""t"":14080},{""x"":1371,""y"":808,""dx"":-80,""dy"":-13,""t"":14114},{""x"":1381,""y"":802,""dx"":-70,""dy"":-19,""t"":14148},{""x"":1370,""y"":806,""dx"":-81,""dy"":-15,""t"":14183},{""x"":1377,""y"":805,""dx"":-74,""dy"":-16,""t"":14217},{""x"":1348,""y"":800,""dx"":-103,""dy"":-21,""t"":14251},{""x"":1365,""y"":806,""dx"":-86,""dy"":-15,""t"":14284},{""x"":1335,""y"":795,""dx"":-116,""dy"":-26,""t"":14317},{""x"":1352,""y"":786,""dx"":-99,""dy"":-35,""t"":14352},{""x"":1374,""y"":793,""dx"":-77,""dy"":-28,""t"":14386},{""x"":1400,""y"":798,""dx"":-51,""dy"":-23,""t"":14418},{""x"":1435,""y"":809,""dx"":-16,""dy"":-12,""t"":14455},{""x"":1421,""y"":800,""dx"":-30,""dy"":-21,""t"":14487},{""x"":1439,""y"":809,""dx"":-12,""dy"":-12,""t"":14522},{""x"":1442,""y"":801,""dx"":-9,""dy"":-20,""t"":14555},{""x"":1405,""y"":789,""dx"":-46,""dy"":-32,""t"":14590},{""x"":1379,""y"":785,""dx"":-72,""dy"":-36,""t"":14624},{""x"":1380,""y"":782,""dx"":-71,""dy"":-39,""t"":14658},{""x"":1392,""y"":788,""dx"":-59,""dy"":-33,""t"":14692},{""x"":1384,""y"":780,""dx"":-67,""dy"":-41,""t"":14726},{""x"":1383,""y"":770,""dx"":-68,""dy"":-51,""t"":14760},{""x"":1346,""y"":753,""dx"":-105,""dy"":-68,""t"":14794},{""x"":1376,""y"":771,""dx"":-75,""dy"":-50,""t"":14828},{""x"":1408,""y"":781,""dx"":-43,""dy"":-40,""t"":14862},{""x"":1399,""y"":775,""dx"":-52,""dy"":-46,""t"":14895},{""x"":1403,""y"":789,""dx"":-48,""dy"":-32,""t"":14929},{""x"":1415,""y"":777,""dx"":-36,""dy"":-44,""t"":14964},{""x"":1421,""y"":782,""dx"":-30,""dy"":-39,""t"":14998},{""x"":1440,""y"":786,""dx"":-11,""dy"":-35,""t"":15032}]]","[100,76.27118644067797,100,0,100]","[{""x"":38.916666666666664,""y"":56.31666666666667,""r"":53.37933038178268},{""x"":127.32203389830508,""y"":92.47457627118644,""r"":56.32087350952229},{""x"":61.166666666666664,""y"":72.45,""r"":46.90805839948242},{""x"":293.54237288135596,""y"":-41.76271186440678,""r"":21.436416807086644},{""x"":-54.94915254237288,""y"":-24.16949152542373,""r"":27.428442326066527}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
