"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2380","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2385","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6891","0.0-2.0-0.0","","","","","4504","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","10474","0.0-2.0-1.0","","","","","3582","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11125","0.0-3.0","","","","","650"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16140","0.0-4.0","","","","","","","","","904","","","","","","","","","","","","","","","","",""
"","html-button-response","6","16834","0.0-5.0-0.0","","","","","692","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","28252","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","29003","0.0-5.0-2.0","","","","","750","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","46058","0.0-5.0-3.0","","","","","","","","","","[[{""x"":535,""y"":355,""dx"":44,""dy"":74,""t"":989},{""x"":531,""y"":326,""dx"":40,""dy"":45,""t"":1021},{""x"":538,""y"":308,""dx"":47,""dy"":27,""t"":1055},{""x"":543,""y"":292,""dx"":52,""dy"":11,""t"":1088},{""x"":546,""y"":281,""dx"":55,""dy"":0,""t"":1125},{""x"":564,""y"":280,""dx"":73,""dy"":-1,""t"":1156},{""x"":573,""y"":270,""dx"":82,""dy"":-11,""t"":1191},{""x"":584,""y"":263,""dx"":93,""dy"":-18,""t"":1225},{""x"":582,""y"":256,""dx"":91,""dy"":-25,""t"":1261},{""x"":603,""y"":253,""dx"":112,""dy"":-28,""t"":1293},{""x"":618,""y"":252,""dx"":127,""dy"":-29,""t"":1327},{""x"":636,""y"":270,""dx"":145,""dy"":-11,""t"":1363},{""x"":659,""y"":293,""dx"":168,""dy"":12,""t"":1395},{""x"":683,""y"":313,""dx"":192,""dy"":32,""t"":1429},{""x"":697,""y"":325,""dx"":206,""dy"":44,""t"":1465},{""x"":708,""y"":334,""dx"":217,""dy"":53,""t"":1496},{""x"":725,""y"":332,""dx"":234,""dy"":51,""t"":1532},{""x"":742,""y"":335,""dx"":251,""dy"":54,""t"":1566},{""x"":742,""y"":341,""dx"":251,""dy"":60,""t"":1602},{""x"":742,""y"":349,""dx"":251,""dy"":68,""t"":1634},{""x"":748,""y"":357,""dx"":257,""dy"":76,""t"":1667},{""x"":718,""y"":378,""dx"":227,""dy"":97,""t"":1703},{""x"":711,""y"":386,""dx"":220,""dy"":105,""t"":1736},{""x"":666,""y"":403,""dx"":175,""dy"":122,""t"":1770},{""x"":633,""y"":396,""dx"":142,""dy"":115,""t"":1805},{""x"":609,""y"":394,""dx"":118,""dy"":113,""t"":1838},{""x"":608,""y"":375,""dx"":117,""dy"":94,""t"":1872},{""x"":605,""y"":380,""dx"":114,""dy"":99,""t"":1907},{""x"":613,""y"":385,""dx"":122,""dy"":104,""t"":1939},{""x"":609,""y"":395,""dx"":118,""dy"":114,""t"":1973},{""x"":604,""y"":383,""dx"":113,""dy"":102,""t"":2009},{""x"":599,""y"":371,""dx"":108,""dy"":90,""t"":2041},{""x"":582,""y"":355,""dx"":91,""dy"":74,""t"":2075},{""x"":575,""y"":344,""dx"":84,""dy"":63,""t"":2111},{""x"":572,""y"":321,""dx"":81,""dy"":40,""t"":2143},{""x"":566,""y"":306,""dx"":75,""dy"":25,""t"":2177},{""x"":610,""y"":295,""dx"":119,""dy"":14,""t"":2213},{""x"":595,""y"":285,""dx"":104,""dy"":4,""t"":2245},{""x"":600,""y"":287,""dx"":109,""dy"":6,""t"":2280},{""x"":613,""y"":304,""dx"":122,""dy"":23,""t"":2315},{""x"":587,""y"":322,""dx"":96,""dy"":41,""t"":2348},{""x"":593,""y"":316,""dx"":102,""dy"":35,""t"":2382},{""x"":599,""y"":331,""dx"":108,""dy"":50,""t"":2417},{""x"":596,""y"":333,""dx"":105,""dy"":52,""t"":2449},{""x"":529,""y"":345,""dx"":38,""dy"":64,""t"":2483},{""x"":508,""y"":364,""dx"":17,""dy"":83,""t"":2519},{""x"":475,""y"":419,""dx"":-16,""dy"":138,""t"":2551},{""x"":433,""y"":491,""dx"":-58,""dy"":210,""t"":2586},{""x"":389,""y"":516,""dx"":-102,""dy"":235,""t"":2622},{""x"":344,""y"":540,""dx"":-147,""dy"":259,""t"":2653},{""x"":327,""y"":594,""dx"":-164,""dy"":313,""t"":2687},{""x"":310,""y"":600,""dx"":-181,""dy"":319,""t"":2722},{""x"":320,""y"":658,""dx"":-171,""dy"":377,""t"":2755},{""x"":309,""y"":681,""dx"":-182,""dy"":400,""t"":2791},{""x"":323,""y"":716,""dx"":-168,""dy"":435,""t"":2823},{""x"":299,""y"":694,""dx"":-192,""dy"":413,""t"":2857},{""x"":311,""y"":710,""dx"":-180,""dy"":429,""t"":2893},{""x"":322,""y"":729,""dx"":-169,""dy"":448,""t"":2925},{""x"":315,""y"":730,""dx"":-176,""dy"":449,""t"":2959},{""x"":302,""y"":700,""dx"":-189,""dy"":419,""t"":2993}],[{""x"":1464,""y"":334,""dx"":13,""dy"":53,""t"":4015},{""x"":1453,""y"":382,""dx"":2,""dy"":101,""t"":4048},{""x"":1421,""y"":416,""dx"":-30,""dy"":135,""t"":4081},{""x"":1374,""y"":434,""dx"":-77,""dy"":153,""t"":4116},{""x"":1386,""y"":436,""dx"":-65,""dy"":155,""t"":4149},{""x"":1372,""y"":428,""dx"":-79,""dy"":147,""t"":4183},{""x"":1355,""y"":435,""dx"":-96,""dy"":154,""t"":4219},{""x"":1366,""y"":426,""dx"":-85,""dy"":145,""t"":4251},{""x"":1376,""y"":418,""dx"":-75,""dy"":137,""t"":4285},{""x"":1381,""y"":423,""dx"":-70,""dy"":142,""t"":4320},{""x"":1392,""y"":429,""dx"":-59,""dy"":148,""t"":4353},{""x"":1412,""y"":427,""dx"":-39,""dy"":146,""t"":4389},{""x"":1421,""y"":415,""dx"":-30,""dy"":134,""t"":4421},{""x"":1447,""y"":395,""dx"":-4,""dy"":114,""t"":4455},{""x"":1452,""y"":385,""dx"":1,""dy"":104,""t"":4491},{""x"":1444,""y"":357,""dx"":-7,""dy"":76,""t"":4523},{""x"":1438,""y"":341,""dx"":-13,""dy"":60,""t"":4558},{""x"":1433,""y"":329,""dx"":-18,""dy"":48,""t"":4590},{""x"":1382,""y"":360,""dx"":-69,""dy"":79,""t"":4627},{""x"":1341,""y"":388,""dx"":-110,""dy"":107,""t"":4660},{""x"":1306,""y"":411,""dx"":-145,""dy"":130,""t"":4693},{""x"":1283,""y"":408,""dx"":-168,""dy"":127,""t"":4727},{""x"":1247,""y"":412,""dx"":-204,""dy"":131,""t"":4761},{""x"":1261,""y"":401,""dx"":-190,""dy"":120,""t"":4797},{""x"":1284,""y"":420,""dx"":-167,""dy"":139,""t"":4830},{""x"":1297,""y"":437,""dx"":-154,""dy"":156,""t"":4863},{""x"":1324,""y"":443,""dx"":-127,""dy"":162,""t"":4899},{""x"":1290,""y"":450,""dx"":-161,""dy"":169,""t"":4931},{""x"":1305,""y"":460,""dx"":-146,""dy"":179,""t"":4966},{""x"":1318,""y"":467,""dx"":-133,""dy"":186,""t"":4999},{""x"":1336,""y"":482,""dx"":-115,""dy"":201,""t"":5035},{""x"":1338,""y"":493,""dx"":-113,""dy"":212,""t"":5068},{""x"":1330,""y"":480,""dx"":-121,""dy"":199,""t"":5101},{""x"":1298,""y"":473,""dx"":-153,""dy"":192,""t"":5137},{""x"":1307,""y"":478,""dx"":-144,""dy"":197,""t"":5169},{""x"":1335,""y"":467,""dx"":-116,""dy"":186,""t"":5203},{""x"":1341,""y"":467,""dx"":-110,""dy"":186,""t"":5239},{""x"":1318,""y"":471,""dx"":-133,""dy"":190,""t"":5271},{""x"":1292,""y"":461,""dx"":-159,""dy"":180,""t"":5306},{""x"":1318,""y"":476,""dx"":-133,""dy"":195,""t"":5341},{""x"":1333,""y"":487,""dx"":-118,""dy"":206,""t"":5374},{""x"":1338,""y"":443,""dx"":-113,""dy"":162,""t"":5407},{""x"":1325,""y"":421,""dx"":-126,""dy"":140,""t"":5443},{""x"":1310,""y"":440,""dx"":-141,""dy"":159,""t"":5475},{""x"":1306,""y"":506,""dx"":-145,""dy"":225,""t"":5509},{""x"":1292,""y"":492,""dx"":-159,""dy"":211,""t"":5545},{""x"":1278,""y"":473,""dx"":-173,""dy"":192,""t"":5578},{""x"":1276,""y"":461,""dx"":-175,""dy"":180,""t"":5611},{""x"":1277,""y"":455,""dx"":-174,""dy"":174,""t"":5647},{""x"":1285,""y"":443,""dx"":-166,""dy"":162,""t"":5680},{""x"":1278,""y"":441,""dx"":-173,""dy"":160,""t"":5714},{""x"":1277,""y"":436,""dx"":-174,""dy"":155,""t"":5750},{""x"":1271,""y"":448,""dx"":-180,""dy"":167,""t"":5781},{""x"":1277,""y"":427,""dx"":-174,""dy"":146,""t"":5815},{""x"":1278,""y"":427,""dx"":-173,""dy"":146,""t"":5851},{""x"":1281,""y"":411,""dx"":-170,""dy"":130,""t"":5883},{""x"":1303,""y"":415,""dx"":-148,""dy"":134,""t"":5917},{""x"":1292,""y"":409,""dx"":-159,""dy"":128,""t"":5951},{""x"":1307,""y"":395,""dx"":-144,""dy"":114,""t"":5987}],[{""x"":925,""y"":537,""dx"":-46,""dy"":-14,""t"":7005},{""x"":927,""y"":508,""dx"":-44,""dy"":-43,""t"":7041},{""x"":925,""y"":489,""dx"":-46,""dy"":-62,""t"":7074},{""x"":935,""y"":498,""dx"":-36,""dy"":-53,""t"":7107},{""x"":941,""y"":523,""dx"":-30,""dy"":-28,""t"":7143},{""x"":925,""y"":500,""dx"":-46,""dy"":-51,""t"":7175},{""x"":938,""y"":532,""dx"":-33,""dy"":-19,""t"":7209},{""x"":927,""y"":528,""dx"":-44,""dy"":-23,""t"":7245},{""x"":926,""y"":510,""dx"":-45,""dy"":-41,""t"":7277},{""x"":921,""y"":506,""dx"":-50,""dy"":-45,""t"":7311},{""x"":918,""y"":525,""dx"":-53,""dy"":-26,""t"":7347},{""x"":939,""y"":535,""dx"":-32,""dy"":-16,""t"":7379},{""x"":944,""y"":543,""dx"":-27,""dy"":-8,""t"":7413},{""x"":927,""y"":559,""dx"":-44,""dy"":8,""t"":7449},{""x"":938,""y"":569,""dx"":-33,""dy"":18,""t"":7481},{""x"":942,""y"":586,""dx"":-29,""dy"":35,""t"":7515},{""x"":931,""y"":602,""dx"":-40,""dy"":51,""t"":7548},{""x"":926,""y"":616,""dx"":-45,""dy"":65,""t"":7585},{""x"":927,""y"":599,""dx"":-44,""dy"":48,""t"":7618},{""x"":924,""y"":580,""dx"":-47,""dy"":29,""t"":7651},{""x"":923,""y"":566,""dx"":-48,""dy"":15,""t"":7687},{""x"":914,""y"":561,""dx"":-57,""dy"":10,""t"":7719},{""x"":916,""y"":564,""dx"":-55,""dy"":13,""t"":7754},{""x"":918,""y"":567,""dx"":-53,""dy"":16,""t"":7790},{""x"":923,""y"":545,""dx"":-48,""dy"":-6,""t"":7821},{""x"":926,""y"":531,""dx"":-45,""dy"":-20,""t"":7855},{""x"":931,""y"":532,""dx"":-40,""dy"":-19,""t"":7889},{""x"":922,""y"":521,""dx"":-49,""dy"":-30,""t"":7925},{""x"":915,""y"":511,""dx"":-56,""dy"":-40,""t"":7957},{""x"":923,""y"":529,""dx"":-48,""dy"":-22,""t"":7992},{""x"":926,""y"":523,""dx"":-45,""dy"":-28,""t"":8025},{""x"":913,""y"":506,""dx"":-58,""dy"":-45,""t"":8061},{""x"":914,""y"":494,""dx"":-57,""dy"":-57,""t"":8093},{""x"":910,""y"":482,""dx"":-61,""dy"":-69,""t"":8127},{""x"":903,""y"":486,""dx"":-68,""dy"":-65,""t"":8163},{""x"":890,""y"":481,""dx"":-81,""dy"":-70,""t"":8195},{""x"":887,""y"":468,""dx"":-84,""dy"":-83,""t"":8230},{""x"":881,""y"":466,""dx"":-90,""dy"":-85,""t"":8264},{""x"":882,""y"":482,""dx"":-89,""dy"":-69,""t"":8297},{""x"":884,""y"":507,""dx"":-87,""dy"":-44,""t"":8334},{""x"":875,""y"":516,""dx"":-96,""dy"":-35,""t"":8366},{""x"":874,""y"":535,""dx"":-97,""dy"":-16,""t"":8400},{""x"":863,""y"":544,""dx"":-108,""dy"":-7,""t"":8436},{""x"":866,""y"":534,""dx"":-105,""dy"":-17,""t"":8467},{""x"":862,""y"":532,""dx"":-109,""dy"":-19,""t"":8501},{""x"":856,""y"":548,""dx"":-115,""dy"":-3,""t"":8537},{""x"":855,""y"":550,""dx"":-116,""dy"":-1,""t"":8570},{""x"":875,""y"":544,""dx"":-96,""dy"":-7,""t"":8604},{""x"":871,""y"":559,""dx"":-100,""dy"":8,""t"":8639},{""x"":881,""y"":569,""dx"":-90,""dy"":18,""t"":8671},{""x"":861,""y"":580,""dx"":-110,""dy"":29,""t"":8705},{""x"":835,""y"":588,""dx"":-136,""dy"":37,""t"":8741},{""x"":816,""y"":601,""dx"":-155,""dy"":50,""t"":8773},{""x"":801,""y"":612,""dx"":-170,""dy"":61,""t"":8807},{""x"":789,""y"":615,""dx"":-182,""dy"":64,""t"":8843},{""x"":763,""y"":621,""dx"":-208,""dy"":70,""t"":8875},{""x"":761,""y"":606,""dx"":-210,""dy"":55,""t"":8909},{""x"":754,""y"":595,""dx"":-217,""dy"":44,""t"":8945},{""x"":775,""y"":594,""dx"":-196,""dy"":43,""t"":8977}],[{""x"":510,""y"":907,""dx"":19,""dy"":86,""t"":10031},{""x"":513,""y"":926,""dx"":22,""dy"":105,""t"":10067},{""x"":519,""y"":951,""dx"":28,""dy"":130,""t"":10099},{""x"":519,""y"":939,""dx"":28,""dy"":118,""t"":10133},{""x"":530,""y"":929,""dx"":39,""dy"":108,""t"":10169},{""x"":523,""y"":908,""dx"":32,""dy"":87,""t"":10201},{""x"":522,""y"":910,""dx"":31,""dy"":89,""t"":10235},{""x"":523,""y"":910,""dx"":32,""dy"":89,""t"":10269},{""x"":504,""y"":897,""dx"":13,""dy"":76,""t"":10305},{""x"":514,""y"":870,""dx"":23,""dy"":49,""t"":10337},{""x"":521,""y"":861,""dx"":30,""dy"":40,""t"":10371},{""x"":528,""y"":860,""dx"":37,""dy"":39,""t"":10407},{""x"":529,""y"":868,""dx"":38,""dy"":47,""t"":10439},{""x"":539,""y"":881,""dx"":48,""dy"":60,""t"":10473},{""x"":557,""y"":870,""dx"":66,""dy"":49,""t"":10509},{""x"":551,""y"":866,""dx"":60,""dy"":45,""t"":10541},{""x"":563,""y"":862,""dx"":72,""dy"":41,""t"":10576},{""x"":575,""y"":863,""dx"":84,""dy"":42,""t"":10611},{""x"":583,""y"":869,""dx"":92,""dy"":48,""t"":10643},{""x"":585,""y"":887,""dx"":94,""dy"":66,""t"":10678},{""x"":580,""y"":885,""dx"":89,""dy"":64,""t"":10714},{""x"":587,""y"":909,""dx"":96,""dy"":88,""t"":10746},{""x"":593,""y"":916,""dx"":102,""dy"":95,""t"":10779},{""x"":594,""y"":926,""dx"":103,""dy"":105,""t"":10815},{""x"":592,""y"":915,""dx"":101,""dy"":94,""t"":10847},{""x"":597,""y"":891,""dx"":106,""dy"":70,""t"":10881},{""x"":581,""y"":883,""dx"":90,""dy"":62,""t"":10917},{""x"":583,""y"":890,""dx"":92,""dy"":69,""t"":10950},{""x"":586,""y"":892,""dx"":95,""dy"":71,""t"":10983},{""x"":568,""y"":886,""dx"":77,""dy"":65,""t"":11019},{""x"":550,""y"":864,""dx"":59,""dy"":43,""t"":11051},{""x"":535,""y"":845,""dx"":44,""dy"":24,""t"":11085},{""x"":519,""y"":840,""dx"":28,""dy"":19,""t"":11119},{""x"":506,""y"":842,""dx"":15,""dy"":21,""t"":11152},{""x"":503,""y"":835,""dx"":12,""dy"":14,""t"":11189},{""x"":506,""y"":836,""dx"":15,""dy"":15,""t"":11221},{""x"":503,""y"":835,""dx"":12,""dy"":14,""t"":11255},{""x"":499,""y"":841,""dx"":8,""dy"":20,""t"":11291},{""x"":503,""y"":843,""dx"":12,""dy"":22,""t"":11324},{""x"":499,""y"":840,""dx"":8,""dy"":19,""t"":11357},{""x"":500,""y"":845,""dx"":9,""dy"":24,""t"":11393},{""x"":500,""y"":864,""dx"":9,""dy"":43,""t"":11425},{""x"":504,""y"":865,""dx"":13,""dy"":44,""t"":11459},{""x"":506,""y"":874,""dx"":15,""dy"":53,""t"":11493},{""x"":506,""y"":878,""dx"":15,""dy"":57,""t"":11529},{""x"":506,""y"":880,""dx"":15,""dy"":59,""t"":11560},{""x"":516,""y"":858,""dx"":25,""dy"":37,""t"":11596},{""x"":516,""y"":850,""dx"":25,""dy"":29,""t"":11629},{""x"":522,""y"":846,""dx"":31,""dy"":25,""t"":11665},{""x"":529,""y"":857,""dx"":38,""dy"":36,""t"":11698},{""x"":524,""y"":849,""dx"":33,""dy"":28,""t"":11731},{""x"":533,""y"":854,""dx"":42,""dy"":33,""t"":11767},{""x"":526,""y"":864,""dx"":35,""dy"":43,""t"":11799},{""x"":529,""y"":868,""dx"":38,""dy"":47,""t"":11834},{""x"":536,""y"":861,""dx"":45,""dy"":40,""t"":11869},{""x"":551,""y"":832,""dx"":60,""dy"":11,""t"":11901},{""x"":553,""y"":859,""dx"":62,""dy"":38,""t"":11936},{""x"":539,""y"":852,""dx"":48,""dy"":31,""t"":11971},{""x"":545,""y"":871,""dx"":54,""dy"":50,""t"":12003}],[{""x"":1312,""y"":724,""dx"":-139,""dy"":-97,""t"":13023},{""x"":1313,""y"":752,""dx"":-138,""dy"":-69,""t"":13059},{""x"":1318,""y"":772,""dx"":-133,""dy"":-49,""t"":13091},{""x"":1331,""y"":790,""dx"":-120,""dy"":-31,""t"":13125},{""x"":1317,""y"":774,""dx"":-134,""dy"":-47,""t"":13158},{""x"":1317,""y"":784,""dx"":-134,""dy"":-37,""t"":13194},{""x"":1349,""y"":803,""dx"":-102,""dy"":-18,""t"":13229},{""x"":1348,""y"":832,""dx"":-103,""dy"":11,""t"":13261},{""x"":1349,""y"":842,""dx"":-102,""dy"":21,""t"":13295},{""x"":1340,""y"":850,""dx"":-111,""dy"":29,""t"":13331},{""x"":1353,""y"":857,""dx"":-98,""dy"":36,""t"":13363},{""x"":1353,""y"":846,""dx"":-98,""dy"":25,""t"":13397},{""x"":1337,""y"":842,""dx"":-114,""dy"":21,""t"":13433},{""x"":1327,""y"":843,""dx"":-124,""dy"":22,""t"":13465},{""x"":1322,""y"":865,""dx"":-129,""dy"":44,""t"":13502},{""x"":1319,""y"":865,""dx"":-132,""dy"":44,""t"":13535},{""x"":1309,""y"":828,""dx"":-142,""dy"":7,""t"":13568},{""x"":1302,""y"":782,""dx"":-149,""dy"":-39,""t"":13602},{""x"":1300,""y"":763,""dx"":-151,""dy"":-58,""t"":13638},{""x"":1302,""y"":746,""dx"":-149,""dy"":-75,""t"":13671},{""x"":1304,""y"":762,""dx"":-147,""dy"":-59,""t"":13704},{""x"":1300,""y"":739,""dx"":-151,""dy"":-82,""t"":13739},{""x"":1313,""y"":772,""dx"":-138,""dy"":-49,""t"":13771},{""x"":1320,""y"":794,""dx"":-131,""dy"":-27,""t"":13805},{""x"":1323,""y"":812,""dx"":-128,""dy"":-9,""t"":13841},{""x"":1322,""y"":814,""dx"":-129,""dy"":-7,""t"":13874},{""x"":1312,""y"":825,""dx"":-139,""dy"":4,""t"":13908},{""x"":1342,""y"":840,""dx"":-109,""dy"":19,""t"":13943},{""x"":1335,""y"":863,""dx"":-116,""dy"":42,""t"":13976},{""x"":1333,""y"":870,""dx"":-118,""dy"":49,""t"":14010},{""x"":1353,""y"":882,""dx"":-98,""dy"":61,""t"":14046},{""x"":1348,""y"":873,""dx"":-103,""dy"":52,""t"":14079},{""x"":1343,""y"":884,""dx"":-108,""dy"":63,""t"":14111},{""x"":1327,""y"":828,""dx"":-124,""dy"":7,""t"":14147},{""x"":1322,""y"":821,""dx"":-129,""dy"":0,""t"":14179},{""x"":1313,""y"":817,""dx"":-138,""dy"":-4,""t"":14213},{""x"":1313,""y"":774,""dx"":-138,""dy"":-47,""t"":14249},{""x"":1311,""y"":770,""dx"":-140,""dy"":-51,""t"":14281},{""x"":1316,""y"":766,""dx"":-135,""dy"":-55,""t"":14315},{""x"":1330,""y"":759,""dx"":-121,""dy"":-62,""t"":14351},{""x"":1342,""y"":754,""dx"":-109,""dy"":-67,""t"":14382},{""x"":1354,""y"":753,""dx"":-97,""dy"":-68,""t"":14418},{""x"":1340,""y"":730,""dx"":-111,""dy"":-91,""t"":14452},{""x"":1329,""y"":738,""dx"":-122,""dy"":-83,""t"":14487},{""x"":1323,""y"":742,""dx"":-128,""dy"":-79,""t"":14520},{""x"":1297,""y"":735,""dx"":-154,""dy"":-86,""t"":14554},{""x"":1294,""y"":743,""dx"":-157,""dy"":-78,""t"":14589},{""x"":1288,""y"":737,""dx"":-163,""dy"":-84,""t"":14621},{""x"":1280,""y"":731,""dx"":-171,""dy"":-90,""t"":14655},{""x"":1278,""y"":720,""dx"":-173,""dy"":-101,""t"":14688},{""x"":1273,""y"":704,""dx"":-178,""dy"":-117,""t"":14726},{""x"":1289,""y"":700,""dx"":-162,""dy"":-121,""t"":14757},{""x"":1307,""y"":728,""dx"":-144,""dy"":-93,""t"":14791},{""x"":1316,""y"":701,""dx"":-135,""dy"":-120,""t"":14826},{""x"":1311,""y"":721,""dx"":-140,""dy"":-100,""t"":14862},{""x"":1316,""y"":716,""dx"":-135,""dy"":-105,""t"":14893},{""x"":1291,""y"":716,""dx"":-160,""dy"":-105,""t"":14928},{""x"":1291,""y"":709,""dx"":-160,""dy"":-112,""t"":14963},{""x"":1283,""y"":728,""dx"":-168,""dy"":-93,""t"":14995}]]","[61.66666666666667,42.3728813559322,93.22033898305084,100,94.91525423728814]","[{""x"":61.96666666666667,""y"":117.61666666666666,""r"":186.22643284277453},{""x"":-115.03389830508475,""y"":150.27118644067798,""r"":54.97833267808373},{""x"":-78.79661016949153,""y"":-8.457627118644067,""r"":46.99437337581941},{""x"":45.152542372881356,""y"":53.152542372881356,""r"":38.18415363993952},{""x"":-132.35593220338984,""y"":-37.42372881355932,""r"":53.1800695107}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
