"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","9248","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","9255","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","19570","0.0-2.0-0.0","","","","","10313","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","21562","0.0-2.0-1.0","","","","","1991","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","23386","0.0-3.0","","","","","1822"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","31808","0.0-4.0","","","","","","","","","1550","","","","","","","","","","","","","","","","",""
"","html-button-response","6","32794","0.0-5.0-0.0","","","","","984","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","45220","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","46114","0.0-5.0-2.0","","","","","894","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","66554","0.0-5.0-3.0","","","","","","","","","","[[{""x"":532,""y"":395,""dx"":41,""dy"":114,""t"":990},{""x"":548,""y"":389,""dx"":57,""dy"":108,""t"":1024},{""x"":552,""y"":376,""dx"":61,""dy"":95,""t"":1058},{""x"":558,""y"":377,""dx"":67,""dy"":96,""t"":1092},{""x"":549,""y"":385,""dx"":58,""dy"":104,""t"":1127},{""x"":537,""y"":388,""dx"":46,""dy"":107,""t"":1160},{""x"":559,""y"":392,""dx"":68,""dy"":111,""t"":1194},{""x"":548,""y"":382,""dx"":57,""dy"":101,""t"":1227},{""x"":538,""y"":375,""dx"":47,""dy"":94,""t"":1262},{""x"":531,""y"":371,""dx"":40,""dy"":90,""t"":1296},{""x"":533,""y"":371,""dx"":42,""dy"":90,""t"":1330},{""x"":544,""y"":369,""dx"":53,""dy"":88,""t"":1364},{""x"":556,""y"":392,""dx"":65,""dy"":111,""t"":1398},{""x"":554,""y"":397,""dx"":63,""dy"":116,""t"":1432},{""x"":566,""y"":407,""dx"":75,""dy"":126,""t"":1466},{""x"":574,""y"":403,""dx"":83,""dy"":122,""t"":1500},{""x"":579,""y"":421,""dx"":88,""dy"":140,""t"":1534},{""x"":556,""y"":426,""dx"":65,""dy"":145,""t"":1567},{""x"":544,""y"":413,""dx"":53,""dy"":132,""t"":1603},{""x"":551,""y"":400,""dx"":60,""dy"":119,""t"":1636},{""x"":557,""y"":390,""dx"":66,""dy"":109,""t"":1667},{""x"":564,""y"":371,""dx"":73,""dy"":90,""t"":1703},{""x"":532,""y"":372,""dx"":41,""dy"":91,""t"":1737},{""x"":534,""y"":354,""dx"":43,""dy"":73,""t"":1771},{""x"":527,""y"":356,""dx"":36,""dy"":75,""t"":1806},{""x"":532,""y"":347,""dx"":41,""dy"":66,""t"":1840},{""x"":527,""y"":360,""dx"":36,""dy"":79,""t"":1874},{""x"":522,""y"":358,""dx"":31,""dy"":77,""t"":1907},{""x"":519,""y"":351,""dx"":28,""dy"":70,""t"":1942},{""x"":508,""y"":359,""dx"":17,""dy"":78,""t"":1977},{""x"":525,""y"":388,""dx"":34,""dy"":107,""t"":2010},{""x"":518,""y"":389,""dx"":27,""dy"":108,""t"":2043},{""x"":520,""y"":397,""dx"":29,""dy"":116,""t"":2078},{""x"":535,""y"":417,""dx"":44,""dy"":136,""t"":2111},{""x"":542,""y"":439,""dx"":51,""dy"":158,""t"":2147},{""x"":539,""y"":446,""dx"":48,""dy"":165,""t"":2180},{""x"":549,""y"":447,""dx"":58,""dy"":166,""t"":2214},{""x"":538,""y"":436,""dx"":47,""dy"":155,""t"":2248},{""x"":544,""y"":436,""dx"":53,""dy"":155,""t"":2283},{""x"":538,""y"":437,""dx"":47,""dy"":156,""t"":2316},{""x"":525,""y"":439,""dx"":34,""dy"":158,""t"":2349},{""x"":532,""y"":445,""dx"":41,""dy"":164,""t"":2383},{""x"":543,""y"":441,""dx"":52,""dy"":160,""t"":2418},{""x"":535,""y"":430,""dx"":44,""dy"":149,""t"":2452},{""x"":538,""y"":421,""dx"":47,""dy"":140,""t"":2485},{""x"":548,""y"":422,""dx"":57,""dy"":141,""t"":2521},{""x"":554,""y"":429,""dx"":63,""dy"":148,""t"":2554},{""x"":571,""y"":435,""dx"":80,""dy"":154,""t"":2588},{""x"":574,""y"":434,""dx"":83,""dy"":153,""t"":2622},{""x"":563,""y"":425,""dx"":72,""dy"":144,""t"":2657},{""x"":558,""y"":431,""dx"":67,""dy"":150,""t"":2691},{""x"":570,""y"":432,""dx"":79,""dy"":151,""t"":2724},{""x"":554,""y"":425,""dx"":63,""dy"":144,""t"":2758},{""x"":553,""y"":409,""dx"":62,""dy"":128,""t"":2792},{""x"":547,""y"":393,""dx"":56,""dy"":112,""t"":2826},{""x"":549,""y"":389,""dx"":58,""dy"":108,""t"":2861},{""x"":537,""y"":393,""dx"":46,""dy"":112,""t"":2893},{""x"":548,""y"":396,""dx"":57,""dy"":115,""t"":2929},{""x"":531,""y"":406,""dx"":40,""dy"":125,""t"":2961},{""x"":567,""y"":404,""dx"":76,""dy"":123,""t"":2996}],[{""x"":1453,""y"":280,""dx"":2,""dy"":-1,""t"":4016},{""x"":1452,""y"":284,""dx"":1,""dy"":3,""t"":4049},{""x"":1444,""y"":274,""dx"":-7,""dy"":-7,""t"":4083},{""x"":1449,""y"":270,""dx"":-2,""dy"":-11,""t"":4117},{""x"":1425,""y"":271,""dx"":-26,""dy"":-10,""t"":4152},{""x"":1433,""y"":290,""dx"":-18,""dy"":9,""t"":4186},{""x"":1433,""y"":303,""dx"":-18,""dy"":22,""t"":4220},{""x"":1430,""y"":295,""dx"":-21,""dy"":14,""t"":4255},{""x"":1436,""y"":300,""dx"":-15,""dy"":19,""t"":4288},{""x"":1430,""y"":295,""dx"":-21,""dy"":14,""t"":4323},{""x"":1412,""y"":307,""dx"":-39,""dy"":26,""t"":4357},{""x"":1378,""y"":315,""dx"":-73,""dy"":34,""t"":4390},{""x"":1363,""y"":313,""dx"":-88,""dy"":32,""t"":4438},{""x"":1363,""y"":315,""dx"":-88,""dy"":34,""t"":4476},{""x"":1363,""y"":317,""dx"":-88,""dy"":36,""t"":4499},{""x"":1364,""y"":294,""dx"":-87,""dy"":13,""t"":4526},{""x"":1362,""y"":285,""dx"":-89,""dy"":4,""t"":4561},{""x"":1369,""y"":301,""dx"":-82,""dy"":20,""t"":4593},{""x"":1385,""y"":298,""dx"":-66,""dy"":17,""t"":4628},{""x"":1376,""y"":317,""dx"":-75,""dy"":36,""t"":4661},{""x"":1382,""y"":346,""dx"":-69,""dy"":65,""t"":4697},{""x"":1344,""y"":359,""dx"":-107,""dy"":78,""t"":4730},{""x"":1318,""y"":374,""dx"":-133,""dy"":93,""t"":4764},{""x"":1286,""y"":379,""dx"":-165,""dy"":98,""t"":4798},{""x"":1290,""y"":358,""dx"":-161,""dy"":77,""t"":4830},{""x"":1282,""y"":362,""dx"":-169,""dy"":81,""t"":4866},{""x"":1295,""y"":354,""dx"":-156,""dy"":73,""t"":4900},{""x"":1276,""y"":350,""dx"":-175,""dy"":69,""t"":4934},{""x"":1294,""y"":339,""dx"":-157,""dy"":58,""t"":4968},{""x"":1305,""y"":338,""dx"":-146,""dy"":57,""t"":5003},{""x"":1280,""y"":318,""dx"":-171,""dy"":37,""t"":5036},{""x"":1274,""y"":329,""dx"":-177,""dy"":48,""t"":5071},{""x"":1276,""y"":342,""dx"":-175,""dy"":61,""t"":5104},{""x"":1253,""y"":351,""dx"":-198,""dy"":70,""t"":5138},{""x"":1262,""y"":345,""dx"":-189,""dy"":64,""t"":5173},{""x"":1264,""y"":361,""dx"":-187,""dy"":80,""t"":5206},{""x"":1267,""y"":374,""dx"":-184,""dy"":93,""t"":5239},{""x"":1269,""y"":376,""dx"":-182,""dy"":95,""t"":5274},{""x"":1256,""y"":357,""dx"":-195,""dy"":76,""t"":5308},{""x"":1256,""y"":359,""dx"":-195,""dy"":78,""t"":5341},{""x"":1269,""y"":356,""dx"":-182,""dy"":75,""t"":5377},{""x"":1280,""y"":341,""dx"":-171,""dy"":60,""t"":5410},{""x"":1300,""y"":325,""dx"":-151,""dy"":44,""t"":5444},{""x"":1303,""y"":331,""dx"":-148,""dy"":50,""t"":5478},{""x"":1299,""y"":338,""dx"":-152,""dy"":57,""t"":5512},{""x"":1293,""y"":335,""dx"":-158,""dy"":54,""t"":5546},{""x"":1310,""y"":337,""dx"":-141,""dy"":56,""t"":5580},{""x"":1303,""y"":355,""dx"":-148,""dy"":74,""t"":5615},{""x"":1314,""y"":362,""dx"":-137,""dy"":81,""t"":5648},{""x"":1316,""y"":347,""dx"":-135,""dy"":66,""t"":5682},{""x"":1304,""y"":358,""dx"":-147,""dy"":77,""t"":5716},{""x"":1300,""y"":357,""dx"":-151,""dy"":76,""t"":5751},{""x"":1296,""y"":343,""dx"":-155,""dy"":62,""t"":5784},{""x"":1300,""y"":354,""dx"":-151,""dy"":73,""t"":5819},{""x"":1289,""y"":342,""dx"":-162,""dy"":61,""t"":5853},{""x"":1295,""y"":334,""dx"":-156,""dy"":53,""t"":5887},{""x"":1302,""y"":327,""dx"":-149,""dy"":46,""t"":5920},{""x"":1318,""y"":334,""dx"":-133,""dy"":53,""t"":5955},{""x"":1322,""y"":355,""dx"":-129,""dy"":74,""t"":5988}],[{""x"":976,""y"":410,""dx"":5,""dy"":-141,""t"":7009},{""x"":955,""y"":469,""dx"":-16,""dy"":-82,""t"":7042},{""x"":952,""y"":482,""dx"":-19,""dy"":-69,""t"":7076},{""x"":947,""y"":476,""dx"":-24,""dy"":-75,""t"":7110},{""x"":911,""y"":540,""dx"":-60,""dy"":-11,""t"":7144},{""x"":927,""y"":526,""dx"":-44,""dy"":-25,""t"":7178},{""x"":942,""y"":514,""dx"":-29,""dy"":-37,""t"":7210},{""x"":947,""y"":513,""dx"":-24,""dy"":-38,""t"":7245},{""x"":948,""y"":520,""dx"":-23,""dy"":-31,""t"":7281},{""x"":962,""y"":513,""dx"":-9,""dy"":-38,""t"":7314},{""x"":971,""y"":519,""dx"":0,""dy"":-32,""t"":7348},{""x"":978,""y"":520,""dx"":7,""dy"":-31,""t"":7381},{""x"":973,""y"":512,""dx"":2,""dy"":-39,""t"":7416},{""x"":989,""y"":505,""dx"":18,""dy"":-46,""t"":7451},{""x"":998,""y"":481,""dx"":27,""dy"":-70,""t"":7484},{""x"":988,""y"":487,""dx"":17,""dy"":-64,""t"":7518},{""x"":1001,""y"":502,""dx"":30,""dy"":-49,""t"":7553},{""x"":1000,""y"":492,""dx"":29,""dy"":-59,""t"":7586},{""x"":995,""y"":504,""dx"":24,""dy"":-47,""t"":7621},{""x"":1004,""y"":523,""dx"":33,""dy"":-28,""t"":7653},{""x"":1005,""y"":532,""dx"":34,""dy"":-19,""t"":7688},{""x"":1006,""y"":536,""dx"":35,""dy"":-15,""t"":7722},{""x"":1000,""y"":533,""dx"":29,""dy"":-18,""t"":7757},{""x"":1005,""y"":509,""dx"":34,""dy"":-42,""t"":7790},{""x"":1008,""y"":498,""dx"":37,""dy"":-53,""t"":7824},{""x"":993,""y"":490,""dx"":22,""dy"":-61,""t"":7858},{""x"":1010,""y"":494,""dx"":39,""dy"":-57,""t"":7891},{""x"":1009,""y"":484,""dx"":38,""dy"":-67,""t"":7925},{""x"":1015,""y"":503,""dx"":44,""dy"":-48,""t"":7959},{""x"":1023,""y"":497,""dx"":52,""dy"":-54,""t"":7993},{""x"":1034,""y"":478,""dx"":63,""dy"":-73,""t"":8030},{""x"":1047,""y"":474,""dx"":76,""dy"":-77,""t"":8062},{""x"":1059,""y"":462,""dx"":88,""dy"":-89,""t"":8096},{""x"":1047,""y"":473,""dx"":76,""dy"":-78,""t"":8130},{""x"":1041,""y"":477,""dx"":70,""dy"":-74,""t"":8164},{""x"":1045,""y"":487,""dx"":74,""dy"":-64,""t"":8199},{""x"":1049,""y"":465,""dx"":78,""dy"":-86,""t"":8231},{""x"":1045,""y"":466,""dx"":74,""dy"":-85,""t"":8266},{""x"":1051,""y"":461,""dx"":80,""dy"":-90,""t"":8299},{""x"":1037,""y"":476,""dx"":66,""dy"":-75,""t"":8334},{""x"":1026,""y"":480,""dx"":55,""dy"":-71,""t"":8368},{""x"":1016,""y"":484,""dx"":45,""dy"":-67,""t"":8400},{""x"":1030,""y"":468,""dx"":59,""dy"":-83,""t"":8436},{""x"":1028,""y"":484,""dx"":57,""dy"":-67,""t"":8470},{""x"":997,""y"":545,""dx"":26,""dy"":-6,""t"":8504},{""x"":1008,""y"":526,""dx"":37,""dy"":-25,""t"":8538},{""x"":1021,""y"":494,""dx"":50,""dy"":-57,""t"":8572},{""x"":1013,""y"":474,""dx"":42,""dy"":-77,""t"":8607},{""x"":980,""y"":562,""dx"":9,""dy"":11,""t"":8640},{""x"":997,""y"":550,""dx"":26,""dy"":-1,""t"":8674},{""x"":1012,""y"":531,""dx"":41,""dy"":-20,""t"":8708},{""x"":1014,""y"":522,""dx"":43,""dy"":-29,""t"":8742},{""x"":1005,""y"":508,""dx"":34,""dy"":-43,""t"":8777},{""x"":997,""y"":497,""dx"":26,""dy"":-54,""t"":8808},{""x"":1000,""y"":489,""dx"":29,""dy"":-62,""t"":8843},{""x"":1002,""y"":456,""dx"":31,""dy"":-95,""t"":8878},{""x"":1005,""y"":446,""dx"":34,""dy"":-105,""t"":8913},{""x"":1002,""y"":469,""dx"":31,""dy"":-82,""t"":8946},{""x"":989,""y"":475,""dx"":18,""dy"":-76,""t"":8980}],[{""x"":584,""y"":671,""dx"":93,""dy"":-150,""t"":10034},{""x"":604,""y"":674,""dx"":113,""dy"":-147,""t"":10068},{""x"":644,""y"":638,""dx"":153,""dy"":-183,""t"":10102},{""x"":664,""y"":613,""dx"":173,""dy"":-208,""t"":10136},{""x"":686,""y"":590,""dx"":195,""dy"":-231,""t"":10170},{""x"":682,""y"":576,""dx"":191,""dy"":-245,""t"":10204},{""x"":661,""y"":609,""dx"":170,""dy"":-212,""t"":10237},{""x"":651,""y"":627,""dx"":160,""dy"":-194,""t"":10273},{""x"":643,""y"":632,""dx"":152,""dy"":-189,""t"":10307},{""x"":620,""y"":652,""dx"":129,""dy"":-169,""t"":10339},{""x"":601,""y"":670,""dx"":110,""dy"":-151,""t"":10372},{""x"":594,""y"":682,""dx"":103,""dy"":-139,""t"":10408},{""x"":592,""y"":689,""dx"":101,""dy"":-132,""t"":10442},{""x"":579,""y"":690,""dx"":88,""dy"":-131,""t"":10476},{""x"":571,""y"":697,""dx"":80,""dy"":-124,""t"":10510},{""x"":564,""y"":694,""dx"":73,""dy"":-127,""t"":10543},{""x"":576,""y"":694,""dx"":85,""dy"":-127,""t"":10579},{""x"":571,""y"":705,""dx"":80,""dy"":-116,""t"":10612},{""x"":562,""y"":711,""dx"":71,""dy"":-110,""t"":10646},{""x"":598,""y"":680,""dx"":107,""dy"":-141,""t"":10681},{""x"":617,""y"":651,""dx"":126,""dy"":-170,""t"":10714},{""x"":628,""y"":628,""dx"":137,""dy"":-193,""t"":10748},{""x"":637,""y"":603,""dx"":146,""dy"":-218,""t"":10782},{""x"":665,""y"":600,""dx"":174,""dy"":-221,""t"":10816},{""x"":666,""y"":616,""dx"":175,""dy"":-205,""t"":10849},{""x"":659,""y"":637,""dx"":168,""dy"":-184,""t"":10884},{""x"":668,""y"":647,""dx"":177,""dy"":-174,""t"":10918},{""x"":673,""y"":654,""dx"":182,""dy"":-167,""t"":10952},{""x"":692,""y"":678,""dx"":201,""dy"":-143,""t"":10987},{""x"":707,""y"":649,""dx"":216,""dy"":-172,""t"":11020},{""x"":660,""y"":650,""dx"":169,""dy"":-171,""t"":11054},{""x"":660,""y"":652,""dx"":169,""dy"":-169,""t"":11088},{""x"":671,""y"":655,""dx"":180,""dy"":-166,""t"":11122},{""x"":671,""y"":661,""dx"":180,""dy"":-160,""t"":11156},{""x"":691,""y"":657,""dx"":200,""dy"":-164,""t"":11190},{""x"":693,""y"":666,""dx"":202,""dy"":-155,""t"":11224},{""x"":695,""y"":656,""dx"":204,""dy"":-165,""t"":11257},{""x"":691,""y"":662,""dx"":200,""dy"":-159,""t"":11293},{""x"":705,""y"":643,""dx"":214,""dy"":-178,""t"":11326},{""x"":695,""y"":642,""dx"":204,""dy"":-179,""t"":11361},{""x"":693,""y"":664,""dx"":202,""dy"":-157,""t"":11394},{""x"":682,""y"":662,""dx"":191,""dy"":-159,""t"":11428},{""x"":674,""y"":674,""dx"":183,""dy"":-147,""t"":11462},{""x"":678,""y"":682,""dx"":187,""dy"":-139,""t"":11497},{""x"":692,""y"":682,""dx"":201,""dy"":-139,""t"":11531},{""x"":682,""y"":677,""dx"":191,""dy"":-144,""t"":11563},{""x"":636,""y"":686,""dx"":145,""dy"":-135,""t"":11598},{""x"":600,""y"":690,""dx"":109,""dy"":-131,""t"":11632},{""x"":585,""y"":696,""dx"":94,""dy"":-125,""t"":11666},{""x"":575,""y"":716,""dx"":84,""dy"":-105,""t"":11701},{""x"":599,""y"":709,""dx"":108,""dy"":-112,""t"":11734},{""x"":607,""y"":718,""dx"":116,""dy"":-103,""t"":11767},{""x"":587,""y"":739,""dx"":96,""dy"":-82,""t"":11803},{""x"":578,""y"":741,""dx"":87,""dy"":-80,""t"":11835},{""x"":568,""y"":759,""dx"":77,""dy"":-62,""t"":11871},{""x"":559,""y"":746,""dx"":68,""dy"":-75,""t"":11903},{""x"":548,""y"":756,""dx"":57,""dy"":-65,""t"":11938},{""x"":539,""y"":764,""dx"":48,""dy"":-57,""t"":11969},{""x"":553,""y"":756,""dx"":62,""dy"":-65,""t"":12006}],[{""x"":1360,""y"":726,""dx"":-91,""dy"":-95,""t"":13028},{""x"":1353,""y"":749,""dx"":-98,""dy"":-72,""t"":13060},{""x"":1348,""y"":784,""dx"":-103,""dy"":-37,""t"":13094},{""x"":1342,""y"":808,""dx"":-109,""dy"":-13,""t"":13128},{""x"":1340,""y"":822,""dx"":-111,""dy"":1,""t"":13162},{""x"":1323,""y"":816,""dx"":-128,""dy"":-5,""t"":13196},{""x"":1313,""y"":797,""dx"":-138,""dy"":-24,""t"":13230},{""x"":1292,""y"":786,""dx"":-159,""dy"":-35,""t"":13265},{""x"":1303,""y"":797,""dx"":-148,""dy"":-24,""t"":13297},{""x"":1298,""y"":783,""dx"":-153,""dy"":-38,""t"":13331},{""x"":1286,""y"":766,""dx"":-165,""dy"":-55,""t"":13366},{""x"":1282,""y"":768,""dx"":-169,""dy"":-53,""t"":13400},{""x"":1294,""y"":738,""dx"":-157,""dy"":-83,""t"":13434},{""x"":1292,""y"":727,""dx"":-159,""dy"":-94,""t"":13467},{""x"":1297,""y"":737,""dx"":-154,""dy"":-84,""t"":13501},{""x"":1288,""y"":735,""dx"":-163,""dy"":-86,""t"":13537},{""x"":1293,""y"":784,""dx"":-158,""dy"":-37,""t"":13581},{""x"":1295,""y"":766,""dx"":-156,""dy"":-55,""t"":13626},{""x"":1297,""y"":750,""dx"":-154,""dy"":-71,""t"":13636},{""x"":1293,""y"":747,""dx"":-158,""dy"":-74,""t"":13671},{""x"":1296,""y"":743,""dx"":-155,""dy"":-78,""t"":13706},{""x"":1292,""y"":755,""dx"":-159,""dy"":-66,""t"":13740},{""x"":1291,""y"":761,""dx"":-160,""dy"":-60,""t"":13773},{""x"":1285,""y"":751,""dx"":-166,""dy"":-70,""t"":13808},{""x"":1280,""y"":745,""dx"":-171,""dy"":-76,""t"":13842},{""x"":1283,""y"":745,""dx"":-168,""dy"":-76,""t"":13876},{""x"":1301,""y"":736,""dx"":-150,""dy"":-85,""t"":13910},{""x"":1304,""y"":726,""dx"":-147,""dy"":-95,""t"":13942},{""x"":1279,""y"":738,""dx"":-172,""dy"":-83,""t"":13979},{""x"":1269,""y"":738,""dx"":-182,""dy"":-83,""t"":14012},{""x"":1252,""y"":744,""dx"":-199,""dy"":-77,""t"":14046},{""x"":1242,""y"":746,""dx"":-209,""dy"":-75,""t"":14081},{""x"":1243,""y"":765,""dx"":-208,""dy"":-56,""t"":14114},{""x"":1257,""y"":741,""dx"":-194,""dy"":-80,""t"":14149},{""x"":1249,""y"":760,""dx"":-202,""dy"":-61,""t"":14181},{""x"":1240,""y"":754,""dx"":-211,""dy"":-67,""t"":14215},{""x"":1256,""y"":755,""dx"":-195,""dy"":-66,""t"":14250},{""x"":1250,""y"":754,""dx"":-201,""dy"":-67,""t"":14285},{""x"":1259,""y"":773,""dx"":-192,""dy"":-48,""t"":14318},{""x"":1270,""y"":765,""dx"":-181,""dy"":-56,""t"":14352},{""x"":1284,""y"":757,""dx"":-167,""dy"":-64,""t"":14385},{""x"":1288,""y"":750,""dx"":-163,""dy"":-71,""t"":14421},{""x"":1293,""y"":760,""dx"":-158,""dy"":-61,""t"":14454},{""x"":1289,""y"":752,""dx"":-162,""dy"":-69,""t"":14488},{""x"":1303,""y"":742,""dx"":-148,""dy"":-79,""t"":14521},{""x"":1318,""y"":741,""dx"":-133,""dy"":-80,""t"":14556},{""x"":1315,""y"":737,""dx"":-136,""dy"":-84,""t"":14590},{""x"":1296,""y"":747,""dx"":-155,""dy"":-74,""t"":14623},{""x"":1286,""y"":745,""dx"":-165,""dy"":-76,""t"":14657},{""x"":1293,""y"":736,""dx"":-158,""dy"":-85,""t"":14692},{""x"":1289,""y"":749,""dx"":-162,""dy"":-72,""t"":14726},{""x"":1300,""y"":735,""dx"":-151,""dy"":-86,""t"":14760},{""x"":1302,""y"":740,""dx"":-149,""dy"":-81,""t"":14794},{""x"":1306,""y"":732,""dx"":-145,""dy"":-89,""t"":14827},{""x"":1317,""y"":733,""dx"":-134,""dy"":-88,""t"":14862},{""x"":1317,""y"":739,""dx"":-134,""dy"":-82,""t"":14896},{""x"":1315,""y"":754,""dx"":-136,""dy"":-67,""t"":14930},{""x"":1305,""y"":741,""dx"":-146,""dy"":-80,""t"":14964},{""x"":1312,""y"":724,""dx"":-139,""dy"":-97,""t"":14999}]]","[100,89.83050847457628,100,42.3728813559322,84.7457627118644]","[{""x"":53.6,""y"":120.3,""r"":43.904567038657945},{""x"":-119.44067796610169,""y"":49.94915254237288,""r"":49.58755485092078},{""x"":29.593220338983052,""y"":-55.016949152542374,""r"":36.8279968256044},{""x"":141.64406779661016,""y"":-149.5084745762712,""r"":59.12278645493564},{""x"":-157.52542372881356,""y"":-66.84745762711864,""r"":25.44840610271358}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
