"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","124859","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","124867","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","129579","0.0-2.0-0.0","","","","","4706","{""name"":""刘晓"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","132634","0.0-2.0-1.0","","","","","3053","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","135434","0.0-3.0","","","","","2798"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","149308","0.0-4.0","","","","","","","","","2239","","","","","","","","","","","","","","","","",""
"","html-button-response","6","150354","0.0-5.0-0.0","","","","","1043","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","162908","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","163713","0.0-5.0-2.0","","","","","805","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","184929","0.0-5.0-3.0","","","","","","","","","","[[{""x"":478,""y"":538,""dx"":-13,""dy"":257,""t"":990},{""x"":483,""y"":562,""dx"":-8,""dy"":281,""t"":1024},{""x"":500,""y"":551,""dx"":9,""dy"":270,""t"":1058},{""x"":489,""y"":559,""dx"":-2,""dy"":278,""t"":1092},{""x"":490,""y"":549,""dx"":-1,""dy"":268,""t"":1127},{""x"":492,""y"":565,""dx"":1,""dy"":284,""t"":1159},{""x"":494,""y"":581,""dx"":3,""dy"":300,""t"":1193},{""x"":487,""y"":562,""dx"":-4,""dy"":281,""t"":1228},{""x"":491,""y"":550,""dx"":0,""dy"":269,""t"":1262},{""x"":515,""y"":562,""dx"":24,""dy"":281,""t"":1296},{""x"":510,""y"":532,""dx"":19,""dy"":251,""t"":1329},{""x"":516,""y"":513,""dx"":25,""dy"":232,""t"":1364},{""x"":512,""y"":512,""dx"":21,""dy"":231,""t"":1399},{""x"":510,""y"":517,""dx"":19,""dy"":236,""t"":1432},{""x"":511,""y"":502,""dx"":20,""dy"":221,""t"":1466},{""x"":518,""y"":485,""dx"":27,""dy"":204,""t"":1500},{""x"":513,""y"":479,""dx"":22,""dy"":198,""t"":1534},{""x"":510,""y"":471,""dx"":19,""dy"":190,""t"":1567},{""x"":512,""y"":456,""dx"":21,""dy"":175,""t"":1601},{""x"":507,""y"":451,""dx"":16,""dy"":170,""t"":1636},{""x"":503,""y"":448,""dx"":12,""dy"":167,""t"":1667},{""x"":500,""y"":447,""dx"":9,""dy"":166,""t"":1704},{""x"":488,""y"":436,""dx"":-3,""dy"":155,""t"":1738},{""x"":488,""y"":434,""dx"":-3,""dy"":153,""t"":1771},{""x"":493,""y"":435,""dx"":2,""dy"":154,""t"":1806},{""x"":498,""y"":426,""dx"":7,""dy"":145,""t"":1840},{""x"":504,""y"":428,""dx"":13,""dy"":147,""t"":1874},{""x"":507,""y"":430,""dx"":16,""dy"":149,""t"":1908},{""x"":518,""y"":429,""dx"":27,""dy"":148,""t"":1941},{""x"":518,""y"":456,""dx"":27,""dy"":175,""t"":1976},{""x"":513,""y"":464,""dx"":22,""dy"":183,""t"":2010},{""x"":503,""y"":468,""dx"":12,""dy"":187,""t"":2044},{""x"":494,""y"":471,""dx"":3,""dy"":190,""t"":2075},{""x"":492,""y"":468,""dx"":1,""dy"":187,""t"":2112},{""x"":491,""y"":473,""dx"":0,""dy"":192,""t"":2146},{""x"":491,""y"":469,""dx"":0,""dy"":188,""t"":2180},{""x"":496,""y"":466,""dx"":5,""dy"":185,""t"":2215},{""x"":495,""y"":457,""dx"":4,""dy"":176,""t"":2248},{""x"":498,""y"":473,""dx"":7,""dy"":192,""t"":2282},{""x"":507,""y"":469,""dx"":16,""dy"":188,""t"":2316},{""x"":497,""y"":465,""dx"":6,""dy"":184,""t"":2350},{""x"":493,""y"":462,""dx"":2,""dy"":181,""t"":2384},{""x"":493,""y"":456,""dx"":2,""dy"":175,""t"":2418},{""x"":502,""y"":455,""dx"":11,""dy"":174,""t"":2452},{""x"":507,""y"":452,""dx"":16,""dy"":171,""t"":2486},{""x"":519,""y"":448,""dx"":28,""dy"":167,""t"":2520},{""x"":526,""y"":447,""dx"":35,""dy"":166,""t"":2553},{""x"":522,""y"":469,""dx"":31,""dy"":188,""t"":2587},{""x"":529,""y"":490,""dx"":38,""dy"":209,""t"":2622},{""x"":522,""y"":506,""dx"":31,""dy"":225,""t"":2656},{""x"":519,""y"":508,""dx"":28,""dy"":227,""t"":2690},{""x"":522,""y"":494,""dx"":31,""dy"":213,""t"":2724},{""x"":536,""y"":482,""dx"":45,""dy"":201,""t"":2758},{""x"":531,""y"":472,""dx"":40,""dy"":191,""t"":2792},{""x"":535,""y"":469,""dx"":44,""dy"":188,""t"":2827},{""x"":533,""y"":459,""dx"":42,""dy"":178,""t"":2859},{""x"":529,""y"":481,""dx"":38,""dy"":200,""t"":2893},{""x"":529,""y"":499,""dx"":38,""dy"":218,""t"":2928},{""x"":526,""y"":508,""dx"":35,""dy"":227,""t"":2963},{""x"":525,""y"":494,""dx"":34,""dy"":213,""t"":2996}],[{""x"":1555,""y"":447,""dx"":104,""dy"":166,""t"":4016},{""x"":1546,""y"":458,""dx"":95,""dy"":177,""t"":4050},{""x"":1536,""y"":462,""dx"":85,""dy"":181,""t"":4085},{""x"":1529,""y"":488,""dx"":78,""dy"":207,""t"":4117},{""x"":1536,""y"":502,""dx"":85,""dy"":221,""t"":4153},{""x"":1526,""y"":511,""dx"":75,""dy"":230,""t"":4186},{""x"":1518,""y"":532,""dx"":67,""dy"":251,""t"":4220},{""x"":1513,""y"":539,""dx"":62,""dy"":258,""t"":4254},{""x"":1512,""y"":554,""dx"":61,""dy"":273,""t"":4288},{""x"":1518,""y"":556,""dx"":67,""dy"":275,""t"":4322},{""x"":1522,""y"":558,""dx"":71,""dy"":277,""t"":4356},{""x"":1524,""y"":553,""dx"":73,""dy"":272,""t"":4391},{""x"":1526,""y"":552,""dx"":75,""dy"":271,""t"":4424},{""x"":1529,""y"":555,""dx"":78,""dy"":274,""t"":4458},{""x"":1526,""y"":554,""dx"":75,""dy"":273,""t"":4491},{""x"":1531,""y"":542,""dx"":80,""dy"":261,""t"":4527},{""x"":1533,""y"":539,""dx"":82,""dy"":258,""t"":4560},{""x"":1542,""y"":543,""dx"":91,""dy"":262,""t"":4594},{""x"":1537,""y"":539,""dx"":86,""dy"":258,""t"":4627},{""x"":1534,""y"":536,""dx"":83,""dy"":255,""t"":4662},{""x"":1537,""y"":530,""dx"":86,""dy"":249,""t"":4696},{""x"":1538,""y"":532,""dx"":87,""dy"":251,""t"":4731},{""x"":1546,""y"":530,""dx"":95,""dy"":249,""t"":4764},{""x"":1547,""y"":521,""dx"":96,""dy"":240,""t"":4799},{""x"":1547,""y"":522,""dx"":96,""dy"":241,""t"":4831},{""x"":1546,""y"":528,""dx"":95,""dy"":247,""t"":4866},{""x"":1535,""y"":522,""dx"":84,""dy"":241,""t"":4900},{""x"":1525,""y"":525,""dx"":74,""dy"":244,""t"":4934},{""x"":1521,""y"":527,""dx"":70,""dy"":246,""t"":4968},{""x"":1518,""y"":528,""dx"":67,""dy"":247,""t"":5002},{""x"":1516,""y"":532,""dx"":65,""dy"":251,""t"":5036},{""x"":1508,""y"":534,""dx"":57,""dy"":253,""t"":5071},{""x"":1521,""y"":540,""dx"":70,""dy"":259,""t"":5103},{""x"":1525,""y"":537,""dx"":74,""dy"":256,""t"":5137},{""x"":1529,""y"":541,""dx"":78,""dy"":260,""t"":5178},{""x"":1526,""y"":553,""dx"":75,""dy"":272,""t"":5216},{""x"":1522,""y"":564,""dx"":71,""dy"":283,""t"":5238},{""x"":1524,""y"":567,""dx"":73,""dy"":286,""t"":5274},{""x"":1525,""y"":566,""dx"":74,""dy"":285,""t"":5307},{""x"":1531,""y"":558,""dx"":80,""dy"":277,""t"":5342},{""x"":1528,""y"":555,""dx"":77,""dy"":274,""t"":5376},{""x"":1530,""y"":551,""dx"":79,""dy"":270,""t"":5411},{""x"":1524,""y"":543,""dx"":73,""dy"":262,""t"":5444},{""x"":1537,""y"":544,""dx"":86,""dy"":263,""t"":5478},{""x"":1535,""y"":520,""dx"":84,""dy"":239,""t"":5512},{""x"":1532,""y"":529,""dx"":81,""dy"":248,""t"":5547},{""x"":1544,""y"":518,""dx"":93,""dy"":237,""t"":5580},{""x"":1540,""y"":526,""dx"":89,""dy"":245,""t"":5614},{""x"":1537,""y"":533,""dx"":86,""dy"":252,""t"":5646},{""x"":1530,""y"":536,""dx"":79,""dy"":255,""t"":5681},{""x"":1531,""y"":535,""dx"":80,""dy"":254,""t"":5717},{""x"":1535,""y"":534,""dx"":84,""dy"":253,""t"":5750},{""x"":1533,""y"":538,""dx"":82,""dy"":257,""t"":5784},{""x"":1536,""y"":542,""dx"":85,""dy"":261,""t"":5818},{""x"":1551,""y"":537,""dx"":100,""dy"":256,""t"":5852},{""x"":1545,""y"":533,""dx"":94,""dy"":252,""t"":5885},{""x"":1545,""y"":543,""dx"":94,""dy"":262,""t"":5920},{""x"":1530,""y"":523,""dx"":79,""dy"":242,""t"":5953},{""x"":1539,""y"":511,""dx"":88,""dy"":230,""t"":5989}],[{""x"":922,""y"":603,""dx"":-49,""dy"":52,""t"":7008},{""x"":931,""y"":616,""dx"":-40,""dy"":65,""t"":7042},{""x"":945,""y"":626,""dx"":-26,""dy"":75,""t"":7076},{""x"":976,""y"":591,""dx"":5,""dy"":40,""t"":7110},{""x"":979,""y"":608,""dx"":8,""dy"":57,""t"":7144},{""x"":975,""y"":619,""dx"":4,""dy"":68,""t"":7178},{""x"":984,""y"":594,""dx"":13,""dy"":43,""t"":7212},{""x"":991,""y"":573,""dx"":20,""dy"":22,""t"":7244},{""x"":949,""y"":549,""dx"":-22,""dy"":-2,""t"":7280},{""x"":952,""y"":566,""dx"":-19,""dy"":15,""t"":7313},{""x"":954,""y"":584,""dx"":-17,""dy"":33,""t"":7348},{""x"":958,""y"":571,""dx"":-13,""dy"":20,""t"":7382},{""x"":983,""y"":549,""dx"":12,""dy"":-2,""t"":7415},{""x"":984,""y"":552,""dx"":13,""dy"":1,""t"":7450},{""x"":983,""y"":548,""dx"":12,""dy"":-3,""t"":7484},{""x"":963,""y"":565,""dx"":-8,""dy"":14,""t"":7518},{""x"":940,""y"":570,""dx"":-31,""dy"":19,""t"":7552},{""x"":927,""y"":582,""dx"":-44,""dy"":31,""t"":7586},{""x"":930,""y"":580,""dx"":-41,""dy"":29,""t"":7620},{""x"":936,""y"":584,""dx"":-35,""dy"":33,""t"":7654},{""x"":930,""y"":601,""dx"":-41,""dy"":50,""t"":7687},{""x"":935,""y"":597,""dx"":-36,""dy"":46,""t"":7723},{""x"":932,""y"":591,""dx"":-39,""dy"":40,""t"":7756},{""x"":927,""y"":599,""dx"":-44,""dy"":48,""t"":7790},{""x"":930,""y"":584,""dx"":-41,""dy"":33,""t"":7824},{""x"":922,""y"":601,""dx"":-49,""dy"":50,""t"":7857},{""x"":918,""y"":623,""dx"":-53,""dy"":72,""t"":7891},{""x"":911,""y"":642,""dx"":-60,""dy"":91,""t"":7926},{""x"":909,""y"":637,""dx"":-62,""dy"":86,""t"":7960},{""x"":911,""y"":664,""dx"":-60,""dy"":113,""t"":7994},{""x"":922,""y"":632,""dx"":-49,""dy"":81,""t"":8029},{""x"":929,""y"":612,""dx"":-42,""dy"":61,""t"":8063},{""x"":924,""y"":631,""dx"":-47,""dy"":80,""t"":8096},{""x"":918,""y"":643,""dx"":-53,""dy"":92,""t"":8130},{""x"":914,""y"":621,""dx"":-57,""dy"":70,""t"":8164},{""x"":909,""y"":627,""dx"":-62,""dy"":76,""t"":8198},{""x"":903,""y"":623,""dx"":-68,""dy"":72,""t"":8232},{""x"":908,""y"":626,""dx"":-63,""dy"":75,""t"":8266},{""x"":921,""y"":619,""dx"":-50,""dy"":68,""t"":8300},{""x"":922,""y"":618,""dx"":-49,""dy"":67,""t"":8335},{""x"":925,""y"":617,""dx"":-46,""dy"":66,""t"":8368},{""x"":931,""y"":617,""dx"":-40,""dy"":66,""t"":8402},{""x"":946,""y"":603,""dx"":-25,""dy"":52,""t"":8436},{""x"":968,""y"":576,""dx"":-3,""dy"":25,""t"":8469},{""x"":969,""y"":581,""dx"":-2,""dy"":30,""t"":8504},{""x"":971,""y"":579,""dx"":0,""dy"":28,""t"":8539},{""x"":969,""y"":603,""dx"":-2,""dy"":52,""t"":8572},{""x"":983,""y"":579,""dx"":12,""dy"":28,""t"":8606},{""x"":979,""y"":584,""dx"":8,""dy"":33,""t"":8640},{""x"":989,""y"":578,""dx"":18,""dy"":27,""t"":8674},{""x"":957,""y"":618,""dx"":-14,""dy"":67,""t"":8709},{""x"":952,""y"":617,""dx"":-19,""dy"":66,""t"":8741},{""x"":955,""y"":616,""dx"":-16,""dy"":65,""t"":8776},{""x"":913,""y"":592,""dx"":-58,""dy"":41,""t"":8808},{""x"":932,""y"":565,""dx"":-39,""dy"":14,""t"":8844},{""x"":936,""y"":591,""dx"":-35,""dy"":40,""t"":8878},{""x"":936,""y"":604,""dx"":-35,""dy"":53,""t"":8912},{""x"":935,""y"":619,""dx"":-36,""dy"":68,""t"":8946},{""x"":950,""y"":593,""dx"":-21,""dy"":42,""t"":8980},{""x"":968,""y"":563,""dx"":-3,""dy"":12,""t"":9015}],[{""x"":573,""y"":783,""dx"":82,""dy"":-38,""t"":10034},{""x"":578,""y"":785,""dx"":87,""dy"":-36,""t"":10068},{""x"":584,""y"":794,""dx"":93,""dy"":-27,""t"":10102},{""x"":613,""y"":784,""dx"":122,""dy"":-37,""t"":10136},{""x"":632,""y"":797,""dx"":141,""dy"":-24,""t"":10170},{""x"":627,""y"":793,""dx"":136,""dy"":-28,""t"":10204},{""x"":644,""y"":776,""dx"":153,""dy"":-45,""t"":10238},{""x"":630,""y"":764,""dx"":139,""dy"":-57,""t"":10273},{""x"":617,""y"":764,""dx"":126,""dy"":-57,""t"":10305},{""x"":614,""y"":767,""dx"":123,""dy"":-54,""t"":10341},{""x"":621,""y"":776,""dx"":130,""dy"":-45,""t"":10374},{""x"":626,""y"":784,""dx"":135,""dy"":-37,""t"":10405},{""x"":628,""y"":791,""dx"":137,""dy"":-30,""t"":10442},{""x"":623,""y"":792,""dx"":132,""dy"":-29,""t"":10476},{""x"":624,""y"":783,""dx"":133,""dy"":-38,""t"":10510},{""x"":617,""y"":775,""dx"":126,""dy"":-46,""t"":10544},{""x"":616,""y"":772,""dx"":125,""dy"":-49,""t"":10578},{""x"":618,""y"":769,""dx"":127,""dy"":-52,""t"":10612},{""x"":621,""y"":770,""dx"":130,""dy"":-51,""t"":10646},{""x"":627,""y"":772,""dx"":136,""dy"":-49,""t"":10680},{""x"":642,""y"":779,""dx"":151,""dy"":-42,""t"":10714},{""x"":640,""y"":787,""dx"":149,""dy"":-34,""t"":10749},{""x"":639,""y"":785,""dx"":148,""dy"":-36,""t"":10782},{""x"":638,""y"":784,""dx"":147,""dy"":-37,""t"":10814},{""x"":637,""y"":779,""dx"":146,""dy"":-42,""t"":10849},{""x"":629,""y"":781,""dx"":138,""dy"":-40,""t"":10884},{""x"":628,""y"":783,""dx"":137,""dy"":-38,""t"":10918},{""x"":633,""y"":774,""dx"":142,""dy"":-47,""t"":10952},{""x"":638,""y"":776,""dx"":147,""dy"":-45,""t"":10985},{""x"":628,""y"":771,""dx"":137,""dy"":-50,""t"":11020},{""x"":640,""y"":773,""dx"":149,""dy"":-48,""t"":11054},{""x"":644,""y"":772,""dx"":153,""dy"":-49,""t"":11088},{""x"":655,""y"":775,""dx"":164,""dy"":-46,""t"":11122},{""x"":663,""y"":783,""dx"":172,""dy"":-38,""t"":11155},{""x"":659,""y"":777,""dx"":168,""dy"":-44,""t"":11190},{""x"":663,""y"":779,""dx"":172,""dy"":-42,""t"":11224},{""x"":644,""y"":778,""dx"":153,""dy"":-43,""t"":11257},{""x"":665,""y"":808,""dx"":174,""dy"":-13,""t"":11291},{""x"":710,""y"":836,""dx"":219,""dy"":15,""t"":11326},{""x"":732,""y"":846,""dx"":241,""dy"":25,""t"":11360},{""x"":739,""y"":859,""dx"":248,""dy"":38,""t"":11395},{""x"":723,""y"":857,""dx"":232,""dy"":36,""t"":11428},{""x"":708,""y"":853,""dx"":217,""dy"":32,""t"":11462},{""x"":678,""y"":831,""dx"":187,""dy"":10,""t"":11496},{""x"":662,""y"":815,""dx"":171,""dy"":-6,""t"":11530},{""x"":650,""y"":791,""dx"":159,""dy"":-30,""t"":11564},{""x"":641,""y"":774,""dx"":150,""dy"":-47,""t"":11598},{""x"":665,""y"":801,""dx"":174,""dy"":-20,""t"":11632},{""x"":711,""y"":836,""dx"":220,""dy"":15,""t"":11667},{""x"":751,""y"":842,""dx"":260,""dy"":21,""t"":11699},{""x"":797,""y"":820,""dx"":306,""dy"":-1,""t"":11734},{""x"":836,""y"":827,""dx"":345,""dy"":6,""t"":11768},{""x"":856,""y"":860,""dx"":365,""dy"":39,""t"":11802},{""x"":851,""y"":871,""dx"":360,""dy"":50,""t"":11836},{""x"":846,""y"":889,""dx"":355,""dy"":68,""t"":11869},{""x"":803,""y"":865,""dx"":312,""dy"":44,""t"":11904},{""x"":768,""y"":869,""dx"":277,""dy"":48,""t"":11937},{""x"":737,""y"":872,""dx"":246,""dy"":51,""t"":11970},{""x"":690,""y"":858,""dx"":199,""dy"":37,""t"":12006}],[{""x"":1194,""y"":693,""dx"":-257,""dy"":-128,""t"":13026},{""x"":1183,""y"":688,""dx"":-268,""dy"":-133,""t"":13059},{""x"":1174,""y"":689,""dx"":-277,""dy"":-132,""t"":13094},{""x"":1154,""y"":694,""dx"":-297,""dy"":-127,""t"":13128},{""x"":1154,""y"":694,""dx"":-297,""dy"":-127,""t"":13162},{""x"":1150,""y"":691,""dx"":-301,""dy"":-130,""t"":13196},{""x"":1139,""y"":668,""dx"":-312,""dy"":-153,""t"":13230},{""x"":1127,""y"":677,""dx"":-324,""dy"":-144,""t"":13265},{""x"":1122,""y"":687,""dx"":-329,""dy"":-134,""t"":13298},{""x"":1134,""y"":690,""dx"":-317,""dy"":-131,""t"":13331},{""x"":1148,""y"":704,""dx"":-303,""dy"":-117,""t"":13366},{""x"":1153,""y"":708,""dx"":-298,""dy"":-113,""t"":13400},{""x"":1163,""y"":717,""dx"":-288,""dy"":-104,""t"":13433},{""x"":1172,""y"":731,""dx"":-279,""dy"":-90,""t"":13468},{""x"":1181,""y"":730,""dx"":-270,""dy"":-91,""t"":13502},{""x"":1184,""y"":727,""dx"":-267,""dy"":-94,""t"":13536},{""x"":1185,""y"":732,""dx"":-266,""dy"":-89,""t"":13570},{""x"":1194,""y"":750,""dx"":-257,""dy"":-71,""t"":13604},{""x"":1192,""y"":738,""dx"":-259,""dy"":-83,""t"":13638},{""x"":1199,""y"":739,""dx"":-252,""dy"":-82,""t"":13672},{""x"":1199,""y"":749,""dx"":-252,""dy"":-72,""t"":13706},{""x"":1190,""y"":732,""dx"":-261,""dy"":-89,""t"":13739},{""x"":1175,""y"":727,""dx"":-276,""dy"":-94,""t"":13774},{""x"":1171,""y"":718,""dx"":-280,""dy"":-103,""t"":13808},{""x"":1175,""y"":721,""dx"":-276,""dy"":-100,""t"":13841},{""x"":1178,""y"":721,""dx"":-273,""dy"":-100,""t"":13876},{""x"":1185,""y"":727,""dx"":-266,""dy"":-94,""t"":13910},{""x"":1187,""y"":712,""dx"":-264,""dy"":-109,""t"":13944},{""x"":1188,""y"":700,""dx"":-263,""dy"":-121,""t"":13976},{""x"":1169,""y"":707,""dx"":-282,""dy"":-114,""t"":14012},{""x"":1156,""y"":705,""dx"":-295,""dy"":-116,""t"":14046},{""x"":1163,""y"":710,""dx"":-288,""dy"":-111,""t"":14080},{""x"":1158,""y"":715,""dx"":-293,""dy"":-106,""t"":14114},{""x"":1154,""y"":690,""dx"":-297,""dy"":-131,""t"":14148},{""x"":1146,""y"":698,""dx"":-305,""dy"":-123,""t"":14182},{""x"":1153,""y"":702,""dx"":-298,""dy"":-119,""t"":14216},{""x"":1137,""y"":686,""dx"":-314,""dy"":-135,""t"":14250},{""x"":1140,""y"":679,""dx"":-311,""dy"":-142,""t"":14283},{""x"":1139,""y"":667,""dx"":-312,""dy"":-154,""t"":14317},{""x"":1144,""y"":666,""dx"":-307,""dy"":-155,""t"":14352},{""x"":1137,""y"":671,""dx"":-314,""dy"":-150,""t"":14386},{""x"":1139,""y"":660,""dx"":-312,""dy"":-161,""t"":14419},{""x"":1152,""y"":670,""dx"":-299,""dy"":-151,""t"":14454},{""x"":1162,""y"":681,""dx"":-289,""dy"":-140,""t"":14488},{""x"":1154,""y"":690,""dx"":-297,""dy"":-131,""t"":14521},{""x"":1148,""y"":697,""dx"":-303,""dy"":-124,""t"":14556},{""x"":1153,""y"":687,""dx"":-298,""dy"":-134,""t"":14590},{""x"":1150,""y"":671,""dx"":-301,""dy"":-150,""t"":14662},{""x"":1149,""y"":687,""dx"":-302,""dy"":-134,""t"":14691},{""x"":1149,""y"":683,""dx"":-302,""dy"":-138,""t"":14725},{""x"":1145,""y"":677,""dx"":-306,""dy"":-144,""t"":14760},{""x"":1145,""y"":668,""dx"":-306,""dy"":-153,""t"":14794},{""x"":1134,""y"":653,""dx"":-317,""dy"":-168,""t"":14827},{""x"":1156,""y"":675,""dx"":-295,""dy"":-146,""t"":14862},{""x"":1169,""y"":665,""dx"":-282,""dy"":-156,""t"":14896},{""x"":1192,""y"":683,""dx"":-259,""dy"":-138,""t"":14930},{""x"":1175,""y"":672,""dx"":-276,""dy"":-149,""t"":14963},{""x"":1162,""y"":648,""dx"":-289,""dy"":-173,""t"":14998},{""x"":1151,""y"":643,""dx"":-300,""dy"":-178,""t"":15032}]]","[58.333333333333336,3.389830508474576,100,72.88135593220339,0]","[{""x"":16.166666666666668,""y"":203.33333333333334,""r"":45.119635427306775},{""x"":80.55932203389831,""y"":251.67796610169492,""r"":15.17947782268091},{""x"":-27.316666666666666,""y"":47.6,""r"":46.78480231895594},{""x"":178.01694915254237,""y"":-19.1864406779661,""r"":51.30171104236922},{""x"":-289.45762711864404,""y"":-125.0677966101695,""r"":27.632156138426375}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
