"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2768","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2772","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6722","0.0-2.0-0.0","","","","","3948","{""name"":""CSQ"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9504","0.0-2.0-1.0","","","","","2780","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10088","0.0-3.0","","","","","582"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","14487","0.0-4.0","","","","","","","","","1514","","","","","","","","","","","","","","","",""
"","html-button-response","6","17560","0.0-5.0-0.0","","","","","3070","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","30521","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","31616","0.0-5.0-2.0","","","","","1095","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49288","0.0-5.0-3.0","","","","","","","","","","[[{""x"":499,""y"":340,""dx"":8,""dy"":59,""t"":990},{""x"":498,""y"":361,""dx"":7,""dy"":80,""t"":1024},{""x"":504,""y"":374,""dx"":13,""dy"":93,""t"":1059},{""x"":508,""y"":390,""dx"":17,""dy"":109,""t"":1092},{""x"":517,""y"":379,""dx"":26,""dy"":98,""t"":1126},{""x"":519,""y"":388,""dx"":28,""dy"":107,""t"":1160},{""x"":539,""y"":418,""dx"":48,""dy"":137,""t"":1195},{""x"":534,""y"":408,""dx"":43,""dy"":127,""t"":1228},{""x"":530,""y"":441,""dx"":39,""dy"":160,""t"":1262},{""x"":539,""y"":456,""dx"":48,""dy"":175,""t"":1296},{""x"":535,""y"":431,""dx"":44,""dy"":150,""t"":1329},{""x"":517,""y"":449,""dx"":26,""dy"":168,""t"":1363},{""x"":532,""y"":439,""dx"":41,""dy"":158,""t"":1398},{""x"":530,""y"":422,""dx"":39,""dy"":141,""t"":1432},{""x"":528,""y"":406,""dx"":37,""dy"":125,""t"":1466},{""x"":522,""y"":404,""dx"":31,""dy"":123,""t"":1500},{""x"":517,""y"":403,""dx"":26,""dy"":122,""t"":1532},{""x"":509,""y"":406,""dx"":18,""dy"":125,""t"":1567},{""x"":512,""y"":395,""dx"":21,""dy"":114,""t"":1601},{""x"":510,""y"":372,""dx"":19,""dy"":91,""t"":1636},{""x"":508,""y"":379,""dx"":17,""dy"":98,""t"":1670},{""x"":497,""y"":388,""dx"":6,""dy"":107,""t"":1704},{""x"":507,""y"":394,""dx"":16,""dy"":113,""t"":1739},{""x"":502,""y"":379,""dx"":11,""dy"":98,""t"":1772},{""x"":501,""y"":386,""dx"":10,""dy"":105,""t"":1806},{""x"":496,""y"":390,""dx"":5,""dy"":109,""t"":1840},{""x"":515,""y"":383,""dx"":24,""dy"":102,""t"":1874},{""x"":506,""y"":409,""dx"":15,""dy"":128,""t"":1908},{""x"":498,""y"":431,""dx"":7,""dy"":150,""t"":1940},{""x"":492,""y"":425,""dx"":1,""dy"":144,""t"":1976},{""x"":488,""y"":422,""dx"":-3,""dy"":141,""t"":2010},{""x"":484,""y"":419,""dx"":-7,""dy"":138,""t"":2044},{""x"":484,""y"":436,""dx"":-7,""dy"":155,""t"":2078},{""x"":481,""y"":415,""dx"":-10,""dy"":134,""t"":2111},{""x"":479,""y"":419,""dx"":-12,""dy"":138,""t"":2146},{""x"":472,""y"":422,""dx"":-19,""dy"":141,""t"":2181},{""x"":468,""y"":403,""dx"":-23,""dy"":122,""t"":2213},{""x"":464,""y"":378,""dx"":-27,""dy"":97,""t"":2248},{""x"":463,""y"":372,""dx"":-28,""dy"":91,""t"":2282},{""x"":462,""y"":367,""dx"":-29,""dy"":86,""t"":2316},{""x"":467,""y"":371,""dx"":-24,""dy"":90,""t"":2350},{""x"":485,""y"":377,""dx"":-6,""dy"":96,""t"":2383},{""x"":481,""y"":366,""dx"":-10,""dy"":85,""t"":2417},{""x"":485,""y"":381,""dx"":-6,""dy"":100,""t"":2452},{""x"":486,""y"":401,""dx"":-5,""dy"":120,""t"":2486},{""x"":479,""y"":422,""dx"":-12,""dy"":141,""t"":2519},{""x"":478,""y"":434,""dx"":-13,""dy"":153,""t"":2555},{""x"":474,""y"":466,""dx"":-17,""dy"":185,""t"":2588},{""x"":477,""y"":481,""dx"":-14,""dy"":200,""t"":2622},{""x"":493,""y"":494,""dx"":2,""dy"":213,""t"":2657},{""x"":489,""y"":481,""dx"":-2,""dy"":200,""t"":2689},{""x"":474,""y"":468,""dx"":-17,""dy"":187,""t"":2723},{""x"":480,""y"":493,""dx"":-11,""dy"":212,""t"":2758},{""x"":496,""y"":504,""dx"":5,""dy"":223,""t"":2792},{""x"":500,""y"":506,""dx"":9,""dy"":225,""t"":2826},{""x"":486,""y"":489,""dx"":-5,""dy"":208,""t"":2860},{""x"":495,""y"":483,""dx"":4,""dy"":202,""t"":2895},{""x"":499,""y"":478,""dx"":8,""dy"":197,""t"":2928},{""x"":494,""y"":474,""dx"":3,""dy"":193,""t"":2963},{""x"":497,""y"":464,""dx"":6,""dy"":183,""t"":2996}],[{""x"":1450,""y"":448,""dx"":-1,""dy"":167,""t"":4016},{""x"":1437,""y"":418,""dx"":-14,""dy"":137,""t"":4049},{""x"":1437,""y"":400,""dx"":-14,""dy"":119,""t"":4083},{""x"":1436,""y"":397,""dx"":-15,""dy"":116,""t"":4118},{""x"":1436,""y"":402,""dx"":-15,""dy"":121,""t"":4151},{""x"":1429,""y"":394,""dx"":-22,""dy"":113,""t"":4186},{""x"":1419,""y"":382,""dx"":-32,""dy"":101,""t"":4220},{""x"":1424,""y"":380,""dx"":-27,""dy"":99,""t"":4254},{""x"":1419,""y"":374,""dx"":-32,""dy"":93,""t"":4289},{""x"":1410,""y"":375,""dx"":-41,""dy"":94,""t"":4322},{""x"":1411,""y"":351,""dx"":-40,""dy"":70,""t"":4356},{""x"":1402,""y"":363,""dx"":-49,""dy"":82,""t"":4390},{""x"":1409,""y"":345,""dx"":-42,""dy"":64,""t"":4425},{""x"":1404,""y"":334,""dx"":-47,""dy"":53,""t"":4457},{""x"":1418,""y"":318,""dx"":-33,""dy"":37,""t"":4493},{""x"":1428,""y"":312,""dx"":-23,""dy"":31,""t"":4526},{""x"":1433,""y"":309,""dx"":-18,""dy"":28,""t"":4561},{""x"":1422,""y"":323,""dx"":-29,""dy"":42,""t"":4595},{""x"":1420,""y"":331,""dx"":-31,""dy"":50,""t"":4627},{""x"":1412,""y"":329,""dx"":-39,""dy"":48,""t"":4662},{""x"":1415,""y"":312,""dx"":-36,""dy"":31,""t"":4696},{""x"":1416,""y"":308,""dx"":-35,""dy"":27,""t"":4730},{""x"":1420,""y"":322,""dx"":-31,""dy"":41,""t"":4764},{""x"":1408,""y"":342,""dx"":-43,""dy"":61,""t"":4799},{""x"":1406,""y"":359,""dx"":-45,""dy"":78,""t"":4832},{""x"":1412,""y"":356,""dx"":-39,""dy"":75,""t"":4866},{""x"":1409,""y"":358,""dx"":-42,""dy"":77,""t"":4899},{""x"":1409,""y"":351,""dx"":-42,""dy"":70,""t"":4934},{""x"":1406,""y"":342,""dx"":-45,""dy"":61,""t"":4968},{""x"":1407,""y"":341,""dx"":-44,""dy"":60,""t"":5003},{""x"":1412,""y"":337,""dx"":-39,""dy"":56,""t"":5036},{""x"":1413,""y"":367,""dx"":-38,""dy"":86,""t"":5069},{""x"":1411,""y"":378,""dx"":-40,""dy"":97,""t"":5101},{""x"":1425,""y"":382,""dx"":-26,""dy"":101,""t"":5138},{""x"":1425,""y"":394,""dx"":-26,""dy"":113,""t"":5171},{""x"":1424,""y"":406,""dx"":-27,""dy"":125,""t"":5205},{""x"":1436,""y"":398,""dx"":-15,""dy"":117,""t"":5240},{""x"":1430,""y"":385,""dx"":-21,""dy"":104,""t"":5275},{""x"":1432,""y"":373,""dx"":-19,""dy"":92,""t"":5308},{""x"":1436,""y"":372,""dx"":-15,""dy"":91,""t"":5343},{""x"":1449,""y"":377,""dx"":-2,""dy"":96,""t"":5377},{""x"":1443,""y"":386,""dx"":-8,""dy"":105,""t"":5410},{""x"":1443,""y"":389,""dx"":-8,""dy"":108,""t"":5443},{""x"":1455,""y"":405,""dx"":4,""dy"":124,""t"":5493},{""x"":1471,""y"":421,""dx"":20,""dy"":140,""t"":5534},{""x"":1481,""y"":424,""dx"":30,""dy"":143,""t"":5548},{""x"":1478,""y"":441,""dx"":27,""dy"":160,""t"":5579},{""x"":1475,""y"":455,""dx"":24,""dy"":174,""t"":5613},{""x"":1458,""y"":422,""dx"":7,""dy"":141,""t"":5647},{""x"":1452,""y"":373,""dx"":1,""dy"":92,""t"":5683},{""x"":1458,""y"":340,""dx"":7,""dy"":59,""t"":5716},{""x"":1450,""y"":319,""dx"":-1,""dy"":38,""t"":5750},{""x"":1446,""y"":284,""dx"":-5,""dy"":3,""t"":5785},{""x"":1429,""y"":253,""dx"":-22,""dy"":-28,""t"":5818},{""x"":1422,""y"":240,""dx"":-29,""dy"":-41,""t"":5852},{""x"":1418,""y"":227,""dx"":-33,""dy"":-54,""t"":5885},{""x"":1413,""y"":215,""dx"":-38,""dy"":-66,""t"":5920},{""x"":1422,""y"":212,""dx"":-29,""dy"":-69,""t"":5954},{""x"":1416,""y"":220,""dx"":-35,""dy"":-61,""t"":5988}],[{""x"":952,""y"":598,""dx"":-19,""dy"":47,""t"":7008},{""x"":951,""y"":574,""dx"":-20,""dy"":23,""t"":7041},{""x"":949,""y"":552,""dx"":-22,""dy"":1,""t"":7073},{""x"":923,""y"":549,""dx"":-48,""dy"":-2,""t"":7110},{""x"":934,""y"":550,""dx"":-37,""dy"":-1,""t"":7144},{""x"":947,""y"":539,""dx"":-24,""dy"":-12,""t"":7177},{""x"":941,""y"":540,""dx"":-30,""dy"":-11,""t"":7212},{""x"":956,""y"":547,""dx"":-15,""dy"":-4,""t"":7246},{""x"":970,""y"":556,""dx"":-1,""dy"":5,""t"":7280},{""x"":1004,""y"":577,""dx"":33,""dy"":26,""t"":7313},{""x"":967,""y"":583,""dx"":-4,""dy"":32,""t"":7348},{""x"":968,""y"":613,""dx"":-3,""dy"":62,""t"":7382},{""x"":964,""y"":640,""dx"":-7,""dy"":89,""t"":7416},{""x"":928,""y"":657,""dx"":-43,""dy"":106,""t"":7450},{""x"":909,""y"":664,""dx"":-62,""dy"":113,""t"":7484},{""x"":913,""y"":635,""dx"":-58,""dy"":84,""t"":7518},{""x"":941,""y"":610,""dx"":-30,""dy"":59,""t"":7552},{""x"":935,""y"":611,""dx"":-36,""dy"":60,""t"":7586},{""x"":939,""y"":598,""dx"":-32,""dy"":47,""t"":7621},{""x"":927,""y"":595,""dx"":-44,""dy"":44,""t"":7654},{""x"":926,""y"":598,""dx"":-45,""dy"":47,""t"":7688},{""x"":930,""y"":581,""dx"":-41,""dy"":30,""t"":7723},{""x"":947,""y"":580,""dx"":-24,""dy"":29,""t"":7756},{""x"":962,""y"":570,""dx"":-9,""dy"":19,""t"":7790},{""x"":969,""y"":582,""dx"":-2,""dy"":31,""t"":7824},{""x"":990,""y"":600,""dx"":19,""dy"":49,""t"":7858},{""x"":993,""y"":583,""dx"":22,""dy"":32,""t"":7893},{""x"":992,""y"":567,""dx"":21,""dy"":16,""t"":7926},{""x"":986,""y"":565,""dx"":15,""dy"":14,""t"":7960},{""x"":987,""y"":561,""dx"":16,""dy"":10,""t"":7994},{""x"":962,""y"":567,""dx"":-9,""dy"":16,""t"":8029},{""x"":956,""y"":546,""dx"":-15,""dy"":-5,""t"":8062},{""x"":945,""y"":552,""dx"":-26,""dy"":1,""t"":8096},{""x"":925,""y"":558,""dx"":-46,""dy"":7,""t"":8131},{""x"":927,""y"":535,""dx"":-44,""dy"":-16,""t"":8164},{""x"":945,""y"":549,""dx"":-26,""dy"":-2,""t"":8198},{""x"":951,""y"":535,""dx"":-20,""dy"":-16,""t"":8232},{""x"":952,""y"":519,""dx"":-19,""dy"":-32,""t"":8266},{""x"":952,""y"":507,""dx"":-19,""dy"":-44,""t"":8297},{""x"":986,""y"":514,""dx"":15,""dy"":-37,""t"":8334},{""x"":994,""y"":531,""dx"":23,""dy"":-20,""t"":8367},{""x"":1004,""y"":532,""dx"":33,""dy"":-19,""t"":8401},{""x"":1005,""y"":537,""dx"":34,""dy"":-14,""t"":8436},{""x"":980,""y"":539,""dx"":9,""dy"":-12,""t"":8469},{""x"":974,""y"":541,""dx"":3,""dy"":-10,""t"":8504},{""x"":988,""y"":549,""dx"":17,""dy"":-2,""t"":8537},{""x"":976,""y"":538,""dx"":5,""dy"":-13,""t"":8572},{""x"":965,""y"":526,""dx"":-6,""dy"":-25,""t"":8606},{""x"":957,""y"":539,""dx"":-14,""dy"":-12,""t"":8640},{""x"":964,""y"":563,""dx"":-7,""dy"":12,""t"":8672},{""x"":968,""y"":544,""dx"":-3,""dy"":-7,""t"":8708},{""x"":952,""y"":531,""dx"":-19,""dy"":-20,""t"":8743},{""x"":952,""y"":539,""dx"":-19,""dy"":-12,""t"":8776},{""x"":962,""y"":552,""dx"":-9,""dy"":1,""t"":8810},{""x"":918,""y"":555,""dx"":-53,""dy"":4,""t"":8843},{""x"":917,""y"":569,""dx"":-54,""dy"":18,""t"":8878},{""x"":914,""y"":571,""dx"":-57,""dy"":20,""t"":8912},{""x"":919,""y"":592,""dx"":-52,""dy"":41,""t"":8946},{""x"":917,""y"":612,""dx"":-54,""dy"":61,""t"":8981},{""x"":898,""y"":614,""dx"":-73,""dy"":63,""t"":9014}],[{""x"":678,""y"":902,""dx"":187,""dy"":81,""t"":10034},{""x"":750,""y"":1011,""dx"":259,""dy"":190,""t"":10068},{""x"":777,""y"":1053,""dx"":286,""dy"":232,""t"":10102},{""x"":766,""y"":1078,""dx"":275,""dy"":257,""t"":10136},{""x"":747,""y"":1020,""dx"":256,""dy"":199,""t"":10170},{""x"":725,""y"":981,""dx"":234,""dy"":160,""t"":10203},{""x"":704,""y"":931,""dx"":213,""dy"":110,""t"":10239},{""x"":686,""y"":888,""dx"":195,""dy"":67,""t"":10269},{""x"":677,""y"":861,""dx"":186,""dy"":40,""t"":10306},{""x"":656,""y"":822,""dx"":165,""dy"":1,""t"":10339},{""x"":640,""y"":798,""dx"":149,""dy"":-23,""t"":10374},{""x"":623,""y"":800,""dx"":132,""dy"":-21,""t"":10408},{""x"":610,""y"":771,""dx"":119,""dy"":-50,""t"":10442},{""x"":601,""y"":762,""dx"":110,""dy"":-59,""t"":10476},{""x"":578,""y"":743,""dx"":87,""dy"":-78,""t"":10510},{""x"":561,""y"":749,""dx"":70,""dy"":-72,""t"":10545},{""x"":555,""y"":738,""dx"":64,""dy"":-83,""t"":10578},{""x"":546,""y"":734,""dx"":55,""dy"":-87,""t"":10612},{""x"":548,""y"":738,""dx"":57,""dy"":-83,""t"":10646},{""x"":551,""y"":743,""dx"":60,""dy"":-78,""t"":10677},{""x"":539,""y"":721,""dx"":48,""dy"":-100,""t"":10714},{""x"":547,""y"":690,""dx"":56,""dy"":-131,""t"":10748},{""x"":540,""y"":683,""dx"":49,""dy"":-138,""t"":10781},{""x"":553,""y"":676,""dx"":62,""dy"":-145,""t"":10815},{""x"":553,""y"":696,""dx"":62,""dy"":-125,""t"":10850},{""x"":550,""y"":683,""dx"":59,""dy"":-138,""t"":10883},{""x"":553,""y"":699,""dx"":62,""dy"":-122,""t"":10918},{""x"":550,""y"":696,""dx"":59,""dy"":-125,""t"":10952},{""x"":540,""y"":711,""dx"":49,""dy"":-110,""t"":10986},{""x"":554,""y"":729,""dx"":63,""dy"":-92,""t"":11020},{""x"":555,""y"":733,""dx"":64,""dy"":-88,""t"":11054},{""x"":573,""y"":716,""dx"":82,""dy"":-105,""t"":11089},{""x"":578,""y"":710,""dx"":87,""dy"":-111,""t"":11122},{""x"":590,""y"":695,""dx"":99,""dy"":-126,""t"":11155},{""x"":589,""y"":692,""dx"":98,""dy"":-129,""t"":11191},{""x"":605,""y"":690,""dx"":114,""dy"":-131,""t"":11224},{""x"":627,""y"":693,""dx"":136,""dy"":-128,""t"":11258},{""x"":608,""y"":686,""dx"":117,""dy"":-135,""t"":11292},{""x"":615,""y"":702,""dx"":124,""dy"":-119,""t"":11327},{""x"":598,""y"":705,""dx"":107,""dy"":-116,""t"":11360},{""x"":600,""y"":698,""dx"":109,""dy"":-123,""t"":11393},{""x"":600,""y"":705,""dx"":109,""dy"":-116,""t"":11428},{""x"":581,""y"":714,""dx"":90,""dy"":-107,""t"":11463},{""x"":571,""y"":725,""dx"":80,""dy"":-96,""t"":11496},{""x"":562,""y"":728,""dx"":71,""dy"":-93,""t"":11530},{""x"":570,""y"":756,""dx"":79,""dy"":-65,""t"":11564},{""x"":594,""y"":760,""dx"":103,""dy"":-61,""t"":11599},{""x"":596,""y"":765,""dx"":105,""dy"":-56,""t"":11633},{""x"":609,""y"":758,""dx"":118,""dy"":-63,""t"":11666},{""x"":620,""y"":768,""dx"":129,""dy"":-53,""t"":11699},{""x"":617,""y"":770,""dx"":126,""dy"":-51,""t"":11734},{""x"":616,""y"":777,""dx"":125,""dy"":-44,""t"":11768},{""x"":621,""y"":773,""dx"":130,""dy"":-48,""t"":11801},{""x"":614,""y"":762,""dx"":123,""dy"":-59,""t"":11837},{""x"":609,""y"":748,""dx"":118,""dy"":-73,""t"":11868},{""x"":607,""y"":746,""dx"":116,""dy"":-75,""t"":11903},{""x"":604,""y"":747,""dx"":113,""dy"":-74,""t"":11938},{""x"":596,""y"":725,""dx"":105,""dy"":-96,""t"":11972},{""x"":580,""y"":707,""dx"":89,""dy"":-114,""t"":12006}],[{""x"":1471,""y"":729,""dx"":20,""dy"":-92,""t"":13060},{""x"":1479,""y"":710,""dx"":28,""dy"":-111,""t"":13094},{""x"":1472,""y"":698,""dx"":21,""dy"":-123,""t"":13128},{""x"":1460,""y"":670,""dx"":9,""dy"":-151,""t"":13162},{""x"":1445,""y"":690,""dx"":-6,""dy"":-131,""t"":13195},{""x"":1451,""y"":682,""dx"":0,""dy"":-139,""t"":13229},{""x"":1450,""y"":666,""dx"":-1,""dy"":-155,""t"":13264},{""x"":1451,""y"":672,""dx"":0,""dy"":-149,""t"":13298},{""x"":1448,""y"":690,""dx"":-3,""dy"":-131,""t"":13333},{""x"":1449,""y"":667,""dx"":-2,""dy"":-154,""t"":13367},{""x"":1441,""y"":695,""dx"":-10,""dy"":-126,""t"":13400},{""x"":1410,""y"":694,""dx"":-41,""dy"":-127,""t"":13433},{""x"":1422,""y"":698,""dx"":-29,""dy"":-123,""t"":13467},{""x"":1391,""y"":724,""dx"":-60,""dy"":-97,""t"":13502},{""x"":1394,""y"":735,""dx"":-57,""dy"":-86,""t"":13537},{""x"":1392,""y"":746,""dx"":-59,""dy"":-75,""t"":13570},{""x"":1389,""y"":774,""dx"":-62,""dy"":-47,""t"":13604},{""x"":1395,""y"":761,""dx"":-56,""dy"":-60,""t"":13638},{""x"":1410,""y"":735,""dx"":-41,""dy"":-86,""t"":13672},{""x"":1406,""y"":717,""dx"":-45,""dy"":-104,""t"":13742},{""x"":1396,""y"":712,""dx"":-55,""dy"":-109,""t"":13773},{""x"":1398,""y"":704,""dx"":-53,""dy"":-117,""t"":13808},{""x"":1402,""y"":709,""dx"":-49,""dy"":-112,""t"":13840},{""x"":1412,""y"":711,""dx"":-39,""dy"":-110,""t"":13877},{""x"":1405,""y"":737,""dx"":-46,""dy"":-84,""t"":13910},{""x"":1403,""y"":741,""dx"":-48,""dy"":-80,""t"":13944},{""x"":1394,""y"":746,""dx"":-57,""dy"":-75,""t"":13978},{""x"":1396,""y"":751,""dx"":-55,""dy"":-70,""t"":14013},{""x"":1399,""y"":748,""dx"":-52,""dy"":-73,""t"":14046},{""x"":1395,""y"":758,""dx"":-56,""dy"":-63,""t"":14080},{""x"":1384,""y"":744,""dx"":-67,""dy"":-77,""t"":14114},{""x"":1386,""y"":698,""dx"":-65,""dy"":-123,""t"":14148},{""x"":1403,""y"":685,""dx"":-48,""dy"":-136,""t"":14182},{""x"":1404,""y"":668,""dx"":-47,""dy"":-153,""t"":14216},{""x"":1407,""y"":668,""dx"":-44,""dy"":-153,""t"":14251},{""x"":1399,""y"":685,""dx"":-52,""dy"":-136,""t"":14283},{""x"":1392,""y"":692,""dx"":-59,""dy"":-129,""t"":14318},{""x"":1395,""y"":708,""dx"":-56,""dy"":-113,""t"":14352},{""x"":1406,""y"":701,""dx"":-45,""dy"":-120,""t"":14388},{""x"":1422,""y"":728,""dx"":-29,""dy"":-93,""t"":14420},{""x"":1414,""y"":754,""dx"":-37,""dy"":-67,""t"":14454},{""x"":1410,""y"":735,""dx"":-41,""dy"":-86,""t"":14488},{""x"":1396,""y"":759,""dx"":-55,""dy"":-62,""t"":14521},{""x"":1391,""y"":773,""dx"":-60,""dy"":-48,""t"":14555},{""x"":1384,""y"":767,""dx"":-67,""dy"":-54,""t"":14590},{""x"":1374,""y"":754,""dx"":-77,""dy"":-67,""t"":14625},{""x"":1383,""y"":756,""dx"":-68,""dy"":-65,""t"":14658},{""x"":1379,""y"":770,""dx"":-72,""dy"":-51,""t"":14693},{""x"":1365,""y"":790,""dx"":-86,""dy"":-31,""t"":14725},{""x"":1354,""y"":784,""dx"":-97,""dy"":-37,""t"":14760},{""x"":1354,""y"":786,""dx"":-97,""dy"":-35,""t"":14795},{""x"":1352,""y"":795,""dx"":-99,""dy"":-26,""t"":14828},{""x"":1361,""y"":797,""dx"":-90,""dy"":-24,""t"":14863},{""x"":1371,""y"":795,""dx"":-80,""dy"":-26,""t"":14896},{""x"":1375,""y"":805,""dx"":-76,""dy"":-16,""t"":14930},{""x"":1379,""y"":811,""dx"":-72,""dy"":-10,""t"":14964},{""x"":1368,""y"":805,""dx"":-83,""dy"":-16,""t"":14998},{""x"":1367,""y"":822,""dx"":-84,""dy"":1,""t"":15032}]]","[86.66666666666667,100,100,86.4406779661017,100]","[{""x"":7.016666666666667,""y"":137.86666666666667,""r"":59.34179428676931},{""x"":-22.406779661016948,""y"":72.7457627118644,""r"":35.325502448520794},{""x"":-17.25,""y"":16.183333333333334,""r"":54.57453408689006},{""x"":115.15254237288136,""y"":-53.86440677966102,""r"":64.6081352944221},{""x"":-47.53448275862069,""y"":-88.15517241379311,""r"":60.490337103781656}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
