"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2485","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2489","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5452","0.0-2.0-0.0","","","","","2963","{""name"":""王炜"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6532","0.0-2.0-1.0","","","","","1079","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6956","0.0-3.0","","","","","422"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","11444","0.0-4.0","","","","","","","","","2179","","","","","","","","","","","","","","","",""
"","html-button-response","6","12044","0.0-5.0-0.0","","","","","598","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","22123","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","22884","0.0-5.0-2.0","","","","","761","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","40126","0.0-5.0-3.0","","","","","","","","","","[[{""x"":414,""y"":198,""dx"":-77,""dy"":-83,""t"":991},{""x"":421,""y"":202,""dx"":-70,""dy"":-79,""t"":1024},{""x"":426,""y"":207,""dx"":-65,""dy"":-74,""t"":1058},{""x"":428,""y"":210,""dx"":-63,""dy"":-71,""t"":1092},{""x"":442,""y"":205,""dx"":-49,""dy"":-76,""t"":1125},{""x"":447,""y"":207,""dx"":-44,""dy"":-74,""t"":1161},{""x"":451,""y"":206,""dx"":-40,""dy"":-75,""t"":1194},{""x"":459,""y"":211,""dx"":-32,""dy"":-70,""t"":1228},{""x"":466,""y"":216,""dx"":-25,""dy"":-65,""t"":1260},{""x"":465,""y"":216,""dx"":-26,""dy"":-65,""t"":1296},{""x"":463,""y"":210,""dx"":-28,""dy"":-71,""t"":1330},{""x"":472,""y"":204,""dx"":-19,""dy"":-77,""t"":1365},{""x"":470,""y"":210,""dx"":-21,""dy"":-71,""t"":1398},{""x"":476,""y"":222,""dx"":-15,""dy"":-59,""t"":1433},{""x"":479,""y"":236,""dx"":-12,""dy"":-45,""t"":1466},{""x"":472,""y"":246,""dx"":-19,""dy"":-35,""t"":1500},{""x"":458,""y"":238,""dx"":-33,""dy"":-43,""t"":1534},{""x"":455,""y"":225,""dx"":-36,""dy"":-56,""t"":1569},{""x"":462,""y"":221,""dx"":-29,""dy"":-60,""t"":1602},{""x"":467,""y"":225,""dx"":-24,""dy"":-56,""t"":1636},{""x"":462,""y"":222,""dx"":-29,""dy"":-59,""t"":1670},{""x"":453,""y"":227,""dx"":-38,""dy"":-54,""t"":1704},{""x"":441,""y"":212,""dx"":-50,""dy"":-69,""t"":1738},{""x"":446,""y"":209,""dx"":-45,""dy"":-72,""t"":1771},{""x"":433,""y"":200,""dx"":-58,""dy"":-81,""t"":1806},{""x"":438,""y"":186,""dx"":-53,""dy"":-95,""t"":1840},{""x"":431,""y"":177,""dx"":-60,""dy"":-104,""t"":1874},{""x"":434,""y"":183,""dx"":-57,""dy"":-98,""t"":1909},{""x"":445,""y"":208,""dx"":-46,""dy"":-73,""t"":1943},{""x"":442,""y"":201,""dx"":-49,""dy"":-80,""t"":1975},{""x"":437,""y"":208,""dx"":-54,""dy"":-73,""t"":2009},{""x"":425,""y"":202,""dx"":-66,""dy"":-79,""t"":2043},{""x"":421,""y"":206,""dx"":-70,""dy"":-75,""t"":2077},{""x"":429,""y"":223,""dx"":-62,""dy"":-58,""t"":2111},{""x"":433,""y"":227,""dx"":-58,""dy"":-54,""t"":2145},{""x"":454,""y"":276,""dx"":-37,""dy"":-5,""t"":2180},{""x"":448,""y"":264,""dx"":-43,""dy"":-17,""t"":2213},{""x"":438,""y"":251,""dx"":-53,""dy"":-30,""t"":2248},{""x"":425,""y"":241,""dx"":-66,""dy"":-40,""t"":2283},{""x"":417,""y"":233,""dx"":-74,""dy"":-48,""t"":2316},{""x"":422,""y"":224,""dx"":-69,""dy"":-57,""t"":2350},{""x"":429,""y"":227,""dx"":-62,""dy"":-54,""t"":2385},{""x"":425,""y"":215,""dx"":-66,""dy"":-66,""t"":2417},{""x"":438,""y"":221,""dx"":-53,""dy"":-60,""t"":2453},{""x"":438,""y"":203,""dx"":-53,""dy"":-78,""t"":2486},{""x"":447,""y"":194,""dx"":-44,""dy"":-87,""t"":2519},{""x"":442,""y"":180,""dx"":-49,""dy"":-101,""t"":2553},{""x"":440,""y"":178,""dx"":-51,""dy"":-103,""t"":2588},{""x"":456,""y"":163,""dx"":-35,""dy"":-118,""t"":2623},{""x"":450,""y"":173,""dx"":-41,""dy"":-108,""t"":2656},{""x"":449,""y"":179,""dx"":-42,""dy"":-102,""t"":2690},{""x"":449,""y"":174,""dx"":-42,""dy"":-107,""t"":2725},{""x"":454,""y"":182,""dx"":-37,""dy"":-99,""t"":2758},{""x"":454,""y"":184,""dx"":-37,""dy"":-97,""t"":2792},{""x"":454,""y"":185,""dx"":-37,""dy"":-96,""t"":2823},{""x"":457,""y"":188,""dx"":-34,""dy"":-93,""t"":2860},{""x"":442,""y"":194,""dx"":-49,""dy"":-87,""t"":2894},{""x"":443,""y"":202,""dx"":-48,""dy"":-79,""t"":2927},{""x"":445,""y"":203,""dx"":-46,""dy"":-78,""t"":2962}],[{""x"":1585,""y"":284,""dx"":134,""dy"":3,""t"":4016},{""x"":1580,""y"":281,""dx"":129,""dy"":0,""t"":4050},{""x"":1572,""y"":277,""dx"":121,""dy"":-4,""t"":4085},{""x"":1570,""y"":267,""dx"":119,""dy"":-14,""t"":4117},{""x"":1558,""y"":263,""dx"":107,""dy"":-18,""t"":4151},{""x"":1550,""y"":264,""dx"":99,""dy"":-17,""t"":4186},{""x"":1552,""y"":278,""dx"":101,""dy"":-3,""t"":4221},{""x"":1505,""y"":275,""dx"":54,""dy"":-6,""t"":4253},{""x"":1503,""y"":273,""dx"":52,""dy"":-8,""t"":4287},{""x"":1499,""y"":283,""dx"":48,""dy"":2,""t"":4322},{""x"":1487,""y"":296,""dx"":36,""dy"":15,""t"":4357},{""x"":1489,""y"":307,""dx"":38,""dy"":26,""t"":4389},{""x"":1503,""y"":306,""dx"":52,""dy"":25,""t"":4423},{""x"":1509,""y"":296,""dx"":58,""dy"":15,""t"":4456},{""x"":1528,""y"":296,""dx"":77,""dy"":15,""t"":4492},{""x"":1531,""y"":293,""dx"":80,""dy"":12,""t"":4526},{""x"":1549,""y"":293,""dx"":98,""dy"":12,""t"":4560},{""x"":1561,""y"":266,""dx"":110,""dy"":-15,""t"":4593},{""x"":1562,""y"":289,""dx"":111,""dy"":8,""t"":4628},{""x"":1541,""y"":312,""dx"":90,""dy"":31,""t"":4661},{""x"":1539,""y"":314,""dx"":88,""dy"":33,""t"":4696},{""x"":1531,""y"":313,""dx"":80,""dy"":32,""t"":4730},{""x"":1537,""y"":302,""dx"":86,""dy"":21,""t"":4763},{""x"":1536,""y"":302,""dx"":85,""dy"":21,""t"":4797},{""x"":1535,""y"":301,""dx"":84,""dy"":20,""t"":4831},{""x"":1525,""y"":285,""dx"":74,""dy"":4,""t"":4865},{""x"":1540,""y"":296,""dx"":89,""dy"":15,""t"":4901},{""x"":1532,""y"":306,""dx"":81,""dy"":25,""t"":4934},{""x"":1550,""y"":297,""dx"":99,""dy"":16,""t"":4969},{""x"":1555,""y"":310,""dx"":104,""dy"":29,""t"":5003},{""x"":1531,""y"":305,""dx"":80,""dy"":24,""t"":5036},{""x"":1549,""y"":296,""dx"":98,""dy"":15,""t"":5070},{""x"":1562,""y"":299,""dx"":111,""dy"":18,""t"":5105},{""x"":1557,""y"":275,""dx"":106,""dy"":-6,""t"":5138},{""x"":1542,""y"":302,""dx"":91,""dy"":21,""t"":5172},{""x"":1557,""y"":320,""dx"":106,""dy"":39,""t"":5206},{""x"":1554,""y"":340,""dx"":103,""dy"":59,""t"":5240},{""x"":1564,""y"":323,""dx"":113,""dy"":42,""t"":5273},{""x"":1540,""y"":301,""dx"":89,""dy"":20,""t"":5307},{""x"":1537,""y"":279,""dx"":86,""dy"":-2,""t"":5342},{""x"":1533,""y"":269,""dx"":82,""dy"":-12,""t"":5377},{""x"":1518,""y"":267,""dx"":67,""dy"":-14,""t"":5411},{""x"":1521,""y"":277,""dx"":70,""dy"":-4,""t"":5444},{""x"":1535,""y"":270,""dx"":84,""dy"":-11,""t"":5478},{""x"":1523,""y"":293,""dx"":72,""dy"":12,""t"":5511},{""x"":1540,""y"":333,""dx"":89,""dy"":52,""t"":5547},{""x"":1540,""y"":332,""dx"":89,""dy"":51,""t"":5581},{""x"":1526,""y"":332,""dx"":75,""dy"":51,""t"":5614},{""x"":1544,""y"":337,""dx"":93,""dy"":56,""t"":5648},{""x"":1565,""y"":335,""dx"":114,""dy"":54,""t"":5682},{""x"":1556,""y"":306,""dx"":105,""dy"":25,""t"":5716},{""x"":1541,""y"":283,""dx"":90,""dy"":2,""t"":5750},{""x"":1548,""y"":295,""dx"":97,""dy"":14,""t"":5784},{""x"":1551,""y"":295,""dx"":100,""dy"":14,""t"":5819},{""x"":1565,""y"":310,""dx"":114,""dy"":29,""t"":5851},{""x"":1560,""y"":286,""dx"":109,""dy"":5,""t"":5886},{""x"":1561,""y"":275,""dx"":110,""dy"":-6,""t"":5920},{""x"":1565,""y"":256,""dx"":114,""dy"":-25,""t"":5954},{""x"":1558,""y"":255,""dx"":107,""dy"":-26,""t"":5987}],[{""x"":914,""y"":440,""dx"":-57,""dy"":-111,""t"":7009},{""x"":931,""y"":450,""dx"":-40,""dy"":-101,""t"":7043},{""x"":942,""y"":453,""dx"":-29,""dy"":-98,""t"":7077},{""x"":940,""y"":448,""dx"":-31,""dy"":-103,""t"":7111},{""x"":951,""y"":452,""dx"":-20,""dy"":-99,""t"":7144},{""x"":958,""y"":461,""dx"":-13,""dy"":-90,""t"":7178},{""x"":969,""y"":479,""dx"":-2,""dy"":-72,""t"":7211},{""x"":964,""y"":468,""dx"":-7,""dy"":-83,""t"":7247},{""x"":954,""y"":491,""dx"":-17,""dy"":-60,""t"":7281},{""x"":962,""y"":513,""dx"":-9,""dy"":-38,""t"":7314},{""x"":947,""y"":525,""dx"":-24,""dy"":-26,""t"":7349},{""x"":956,""y"":522,""dx"":-15,""dy"":-29,""t"":7382},{""x"":954,""y"":508,""dx"":-17,""dy"":-43,""t"":7417},{""x"":946,""y"":503,""dx"":-25,""dy"":-48,""t"":7450},{""x"":943,""y"":520,""dx"":-28,""dy"":-31,""t"":7485},{""x"":942,""y"":507,""dx"":-29,""dy"":-44,""t"":7519},{""x"":934,""y"":494,""dx"":-37,""dy"":-57,""t"":7551},{""x"":943,""y"":508,""dx"":-28,""dy"":-43,""t"":7585},{""x"":940,""y"":505,""dx"":-31,""dy"":-46,""t"":7620},{""x"":953,""y"":527,""dx"":-18,""dy"":-24,""t"":7653},{""x"":954,""y"":545,""dx"":-17,""dy"":-6,""t"":7687},{""x"":949,""y"":583,""dx"":-22,""dy"":32,""t"":7722},{""x"":942,""y"":609,""dx"":-29,""dy"":58,""t"":7756},{""x"":935,""y"":626,""dx"":-36,""dy"":75,""t"":7790},{""x"":925,""y"":575,""dx"":-46,""dy"":24,""t"":7824},{""x"":939,""y"":575,""dx"":-32,""dy"":24,""t"":7858},{""x"":942,""y"":576,""dx"":-29,""dy"":25,""t"":7893},{""x"":951,""y"":578,""dx"":-20,""dy"":27,""t"":7927},{""x"":966,""y"":564,""dx"":-5,""dy"":13,""t"":7960},{""x"":972,""y"":564,""dx"":1,""dy"":13,""t"":7993},{""x"":976,""y"":564,""dx"":5,""dy"":13,""t"":8025},{""x"":968,""y"":577,""dx"":-3,""dy"":26,""t"":8061},{""x"":968,""y"":592,""dx"":-3,""dy"":41,""t"":8096},{""x"":974,""y"":580,""dx"":3,""dy"":29,""t"":8129},{""x"":963,""y"":599,""dx"":-8,""dy"":48,""t"":8164},{""x"":963,""y"":591,""dx"":-8,""dy"":40,""t"":8199},{""x"":952,""y"":601,""dx"":-19,""dy"":50,""t"":8232},{""x"":960,""y"":576,""dx"":-11,""dy"":25,""t"":8265},{""x"":968,""y"":555,""dx"":-3,""dy"":4,""t"":8300},{""x"":989,""y"":538,""dx"":18,""dy"":-13,""t"":8334},{""x"":984,""y"":514,""dx"":13,""dy"":-37,""t"":8368},{""x"":976,""y"":495,""dx"":5,""dy"":-56,""t"":8402},{""x"":988,""y"":491,""dx"":17,""dy"":-60,""t"":8436},{""x"":994,""y"":499,""dx"":23,""dy"":-52,""t"":8471},{""x"":972,""y"":528,""dx"":1,""dy"":-23,""t"":8505},{""x"":974,""y"":530,""dx"":3,""dy"":-21,""t"":8538},{""x"":987,""y"":541,""dx"":16,""dy"":-10,""t"":8571},{""x"":985,""y"":553,""dx"":14,""dy"":2,""t"":8607},{""x"":980,""y"":582,""dx"":9,""dy"":31,""t"":8640},{""x"":947,""y"":557,""dx"":-24,""dy"":6,""t"":8675},{""x"":950,""y"":538,""dx"":-21,""dy"":-13,""t"":8708},{""x"":952,""y"":552,""dx"":-19,""dy"":1,""t"":8777},{""x"":947,""y"":564,""dx"":-24,""dy"":13,""t"":8810},{""x"":955,""y"":582,""dx"":-16,""dy"":31,""t"":8845},{""x"":950,""y"":595,""dx"":-21,""dy"":44,""t"":8878},{""x"":952,""y"":579,""dx"":-19,""dy"":28,""t"":8911},{""x"":970,""y"":574,""dx"":-1,""dy"":23,""t"":8946},{""x"":986,""y"":571,""dx"":15,""dy"":20,""t"":8980}],[{""x"":478,""y"":652,""dx"":-13,""dy"":-169,""t"":10034},{""x"":509,""y"":639,""dx"":18,""dy"":-182,""t"":10067},{""x"":519,""y"":640,""dx"":28,""dy"":-181,""t"":10101},{""x"":507,""y"":633,""dx"":16,""dy"":-188,""t"":10136},{""x"":494,""y"":622,""dx"":3,""dy"":-199,""t"":10170},{""x"":493,""y"":623,""dx"":2,""dy"":-198,""t"":10204},{""x"":489,""y"":622,""dx"":-2,""dy"":-199,""t"":10238},{""x"":482,""y"":626,""dx"":-9,""dy"":-195,""t"":10272},{""x"":481,""y"":629,""dx"":-10,""dy"":-192,""t"":10306},{""x"":475,""y"":637,""dx"":-16,""dy"":-184,""t"":10339},{""x"":465,""y"":652,""dx"":-26,""dy"":-169,""t"":10374},{""x"":481,""y"":643,""dx"":-10,""dy"":-178,""t"":10408},{""x"":495,""y"":673,""dx"":4,""dy"":-148,""t"":10442},{""x"":472,""y"":666,""dx"":-19,""dy"":-155,""t"":10476},{""x"":452,""y"":651,""dx"":-39,""dy"":-170,""t"":10511},{""x"":438,""y"":649,""dx"":-53,""dy"":-172,""t"":10545},{""x"":435,""y"":661,""dx"":-56,""dy"":-160,""t"":10578},{""x"":458,""y"":653,""dx"":-33,""dy"":-168,""t"":10611},{""x"":458,""y"":635,""dx"":-33,""dy"":-186,""t"":10646},{""x"":479,""y"":633,""dx"":-12,""dy"":-188,""t"":10680},{""x"":507,""y"":640,""dx"":16,""dy"":-181,""t"":10714},{""x"":523,""y"":639,""dx"":32,""dy"":-182,""t"":10748},{""x"":513,""y"":640,""dx"":22,""dy"":-181,""t"":10783},{""x"":498,""y"":654,""dx"":7,""dy"":-167,""t"":10816},{""x"":497,""y"":649,""dx"":6,""dy"":-172,""t"":10851},{""x"":511,""y"":644,""dx"":20,""dy"":-177,""t"":10884},{""x"":498,""y"":645,""dx"":7,""dy"":-176,""t"":10918},{""x"":517,""y"":663,""dx"":26,""dy"":-158,""t"":10952},{""x"":510,""y"":668,""dx"":19,""dy"":-153,""t"":10986},{""x"":533,""y"":667,""dx"":42,""dy"":-154,""t"":11020},{""x"":533,""y"":697,""dx"":42,""dy"":-124,""t"":11055},{""x"":537,""y"":717,""dx"":46,""dy"":-104,""t"":11089},{""x"":539,""y"":724,""dx"":48,""dy"":-97,""t"":11121},{""x"":552,""y"":699,""dx"":61,""dy"":-122,""t"":11157},{""x"":562,""y"":678,""dx"":71,""dy"":-143,""t"":11188},{""x"":541,""y"":693,""dx"":50,""dy"":-128,""t"":11224},{""x"":535,""y"":684,""dx"":44,""dy"":-137,""t"":11259},{""x"":526,""y"":694,""dx"":35,""dy"":-127,""t"":11292},{""x"":524,""y"":689,""dx"":33,""dy"":-132,""t"":11326},{""x"":542,""y"":726,""dx"":51,""dy"":-95,""t"":11360},{""x"":517,""y"":720,""dx"":26,""dy"":-101,""t"":11394},{""x"":509,""y"":720,""dx"":18,""dy"":-101,""t"":11428},{""x"":508,""y"":716,""dx"":17,""dy"":-105,""t"":11461},{""x"":531,""y"":709,""dx"":40,""dy"":-112,""t"":11497},{""x"":527,""y"":707,""dx"":36,""dy"":-114,""t"":11531},{""x"":499,""y"":696,""dx"":8,""dy"":-125,""t"":11563},{""x"":513,""y"":682,""dx"":22,""dy"":-139,""t"":11596},{""x"":516,""y"":680,""dx"":25,""dy"":-141,""t"":11632},{""x"":531,""y"":676,""dx"":40,""dy"":-145,""t"":11666},{""x"":522,""y"":658,""dx"":31,""dy"":-163,""t"":11699},{""x"":491,""y"":635,""dx"":0,""dy"":-186,""t"":11734},{""x"":487,""y"":626,""dx"":-4,""dy"":-195,""t"":11767},{""x"":495,""y"":616,""dx"":4,""dy"":-205,""t"":11803},{""x"":520,""y"":637,""dx"":29,""dy"":-184,""t"":11837},{""x"":525,""y"":608,""dx"":34,""dy"":-213,""t"":11871},{""x"":537,""y"":653,""dx"":46,""dy"":-168,""t"":11904},{""x"":508,""y"":655,""dx"":17,""dy"":-166,""t"":11939},{""x"":532,""y"":678,""dx"":41,""dy"":-143,""t"":11973},{""x"":538,""y"":732,""dx"":47,""dy"":-89,""t"":12007}],[{""x"":1382,""y"":765,""dx"":-69,""dy"":-56,""t"":13026},{""x"":1387,""y"":783,""dx"":-64,""dy"":-38,""t"":13060},{""x"":1397,""y"":756,""dx"":-54,""dy"":-65,""t"":13094},{""x"":1409,""y"":735,""dx"":-42,""dy"":-86,""t"":13125},{""x"":1398,""y"":742,""dx"":-53,""dy"":-79,""t"":13161},{""x"":1388,""y"":739,""dx"":-63,""dy"":-82,""t"":13196},{""x"":1399,""y"":771,""dx"":-52,""dy"":-50,""t"":13231},{""x"":1390,""y"":765,""dx"":-61,""dy"":-56,""t"":13263},{""x"":1380,""y"":769,""dx"":-71,""dy"":-52,""t"":13297},{""x"":1389,""y"":746,""dx"":-62,""dy"":-75,""t"":13332},{""x"":1402,""y"":746,""dx"":-49,""dy"":-75,""t"":13366},{""x"":1407,""y"":770,""dx"":-44,""dy"":-51,""t"":13400},{""x"":1421,""y"":752,""dx"":-30,""dy"":-69,""t"":13435},{""x"":1422,""y"":726,""dx"":-29,""dy"":-95,""t"":13469},{""x"":1416,""y"":720,""dx"":-35,""dy"":-101,""t"":13502},{""x"":1410,""y"":715,""dx"":-41,""dy"":-106,""t"":13534},{""x"":1409,""y"":733,""dx"":-42,""dy"":-88,""t"":13571},{""x"":1391,""y"":726,""dx"":-60,""dy"":-95,""t"":13603},{""x"":1398,""y"":728,""dx"":-53,""dy"":-93,""t"":13637},{""x"":1400,""y"":723,""dx"":-51,""dy"":-98,""t"":13672},{""x"":1368,""y"":724,""dx"":-83,""dy"":-97,""t"":13706},{""x"":1377,""y"":742,""dx"":-74,""dy"":-79,""t"":13740},{""x"":1382,""y"":782,""dx"":-69,""dy"":-39,""t"":13774},{""x"":1392,""y"":773,""dx"":-59,""dy"":-48,""t"":13808},{""x"":1398,""y"":757,""dx"":-53,""dy"":-64,""t"":13842},{""x"":1396,""y"":765,""dx"":-55,""dy"":-56,""t"":13875},{""x"":1399,""y"":760,""dx"":-52,""dy"":-61,""t"":13909},{""x"":1397,""y"":753,""dx"":-54,""dy"":-68,""t"":13944},{""x"":1397,""y"":754,""dx"":-54,""dy"":-67,""t"":13978},{""x"":1390,""y"":756,""dx"":-61,""dy"":-65,""t"":14013},{""x"":1394,""y"":772,""dx"":-57,""dy"":-49,""t"":14047},{""x"":1397,""y"":793,""dx"":-54,""dy"":-28,""t"":14080},{""x"":1395,""y"":812,""dx"":-56,""dy"":-9,""t"":14115},{""x"":1374,""y"":795,""dx"":-77,""dy"":-26,""t"":14148},{""x"":1382,""y"":789,""dx"":-69,""dy"":-32,""t"":14182},{""x"":1371,""y"":759,""dx"":-80,""dy"":-62,""t"":14215},{""x"":1375,""y"":751,""dx"":-76,""dy"":-70,""t"":14251},{""x"":1380,""y"":761,""dx"":-71,""dy"":-60,""t"":14284},{""x"":1380,""y"":756,""dx"":-71,""dy"":-65,""t"":14317},{""x"":1368,""y"":747,""dx"":-83,""dy"":-74,""t"":14352},{""x"":1377,""y"":738,""dx"":-74,""dy"":-83,""t"":14387},{""x"":1383,""y"":748,""dx"":-68,""dy"":-73,""t"":14421},{""x"":1388,""y"":755,""dx"":-63,""dy"":-66,""t"":14453},{""x"":1390,""y"":771,""dx"":-61,""dy"":-50,""t"":14488},{""x"":1369,""y"":774,""dx"":-82,""dy"":-47,""t"":14522},{""x"":1387,""y"":775,""dx"":-64,""dy"":-46,""t"":14555},{""x"":1356,""y"":777,""dx"":-95,""dy"":-44,""t"":14589},{""x"":1364,""y"":794,""dx"":-87,""dy"":-27,""t"":14624},{""x"":1361,""y"":800,""dx"":-90,""dy"":-21,""t"":14658},{""x"":1371,""y"":794,""dx"":-80,""dy"":-27,""t"":14692},{""x"":1353,""y"":800,""dx"":-98,""dy"":-21,""t"":14727},{""x"":1362,""y"":793,""dx"":-89,""dy"":-28,""t"":14758},{""x"":1376,""y"":827,""dx"":-75,""dy"":6,""t"":14794},{""x"":1348,""y"":834,""dx"":-103,""dy"":13,""t"":14828},{""x"":1357,""y"":828,""dx"":-94,""dy"":7,""t"":14861},{""x"":1364,""y"":849,""dx"":-87,""dy"":28,""t"":14896},{""x"":1365,""y"":831,""dx"":-86,""dy"":10,""t"":14930},{""x"":1378,""y"":816,""dx"":-73,""dy"":-5,""t"":14964},{""x"":1379,""y"":795,""dx"":-72,""dy"":-26,""t"":14998}]]","[100,100,100,96.61016949152543,100]","[{""x"":-45.59322033898305,""y"":-71.84745762711864,""r"":24.121210721370343},{""x"":90.64406779661017,""y"":13.423728813559322,""r"":25.311305103535062},{""x"":-13.275862068965518,""y"":-13.293103448275861,""r"":61.548202854088494},{""x"":15.169491525423728,""y"":-157.38983050847457,""r"":36.287613102738696},{""x"":-65.66101694915254,""y"":-53.03389830508475,""r"":27.569894984408393}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
