"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2424","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2428","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5127","0.0-2.0-0.0","","","","","2698","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6199","0.0-2.0-1.0","","","","","1071","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6567","0.0-3.0","","","","","365"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16073","0.0-4.0","","","","","","","","","2119","","","","","","","","","","","","","","","","",""
"","html-button-response","6","16559","0.0-5.0-0.0","","","","","483","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","26778","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27751","0.0-5.0-2.0","","","","","972","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","48207","0.0-5.0-3.0","","","","","","","","","","[[{""x"":429,""y"":306,""dx"":-62,""dy"":25,""t"":990},{""x"":425,""y"":300,""dx"":-66,""dy"":19,""t"":1024},{""x"":477,""y"":314,""dx"":-14,""dy"":33,""t"":1057},{""x"":479,""y"":307,""dx"":-12,""dy"":26,""t"":1093},{""x"":545,""y"":309,""dx"":54,""dy"":28,""t"":1126},{""x"":539,""y"":349,""dx"":48,""dy"":68,""t"":1160},{""x"":530,""y"":381,""dx"":39,""dy"":100,""t"":1192},{""x"":531,""y"":360,""dx"":40,""dy"":79,""t"":1229},{""x"":524,""y"":355,""dx"":33,""dy"":74,""t"":1262},{""x"":512,""y"":355,""dx"":21,""dy"":74,""t"":1296},{""x"":556,""y"":372,""dx"":65,""dy"":91,""t"":1329},{""x"":543,""y"":331,""dx"":52,""dy"":50,""t"":1364},{""x"":574,""y"":388,""dx"":83,""dy"":107,""t"":1397},{""x"":569,""y"":363,""dx"":78,""dy"":82,""t"":1432},{""x"":588,""y"":373,""dx"":97,""dy"":92,""t"":1466},{""x"":551,""y"":370,""dx"":60,""dy"":89,""t"":1500},{""x"":572,""y"":368,""dx"":81,""dy"":87,""t"":1535},{""x"":611,""y"":395,""dx"":120,""dy"":114,""t"":1568},{""x"":585,""y"":388,""dx"":94,""dy"":107,""t"":1601},{""x"":567,""y"":357,""dx"":76,""dy"":76,""t"":1635},{""x"":538,""y"":347,""dx"":47,""dy"":66,""t"":1670},{""x"":524,""y"":322,""dx"":33,""dy"":41,""t"":1705},{""x"":519,""y"":306,""dx"":28,""dy"":25,""t"":1738},{""x"":509,""y"":295,""dx"":18,""dy"":14,""t"":1773},{""x"":521,""y"":308,""dx"":30,""dy"":27,""t"":1807},{""x"":520,""y"":333,""dx"":29,""dy"":52,""t"":1840},{""x"":534,""y"":344,""dx"":43,""dy"":63,""t"":1874},{""x"":560,""y"":368,""dx"":69,""dy"":87,""t"":1908},{""x"":585,""y"":355,""dx"":94,""dy"":74,""t"":1942},{""x"":566,""y"":358,""dx"":75,""dy"":77,""t"":1976},{""x"":541,""y"":344,""dx"":50,""dy"":63,""t"":2010},{""x"":575,""y"":354,""dx"":84,""dy"":73,""t"":2044},{""x"":580,""y"":362,""dx"":89,""dy"":81,""t"":2078},{""x"":599,""y"":370,""dx"":108,""dy"":89,""t"":2112},{""x"":589,""y"":383,""dx"":98,""dy"":102,""t"":2146},{""x"":571,""y"":394,""dx"":80,""dy"":113,""t"":2180},{""x"":575,""y"":391,""dx"":84,""dy"":110,""t"":2214},{""x"":563,""y"":371,""dx"":72,""dy"":90,""t"":2247},{""x"":538,""y"":367,""dx"":47,""dy"":86,""t"":2282},{""x"":552,""y"":367,""dx"":61,""dy"":86,""t"":2316},{""x"":544,""y"":360,""dx"":53,""dy"":79,""t"":2351},{""x"":563,""y"":360,""dx"":72,""dy"":79,""t"":2384},{""x"":564,""y"":353,""dx"":73,""dy"":72,""t"":2419},{""x"":584,""y"":348,""dx"":93,""dy"":67,""t"":2452},{""x"":601,""y"":360,""dx"":110,""dy"":79,""t"":2486},{""x"":593,""y"":376,""dx"":102,""dy"":95,""t"":2520},{""x"":606,""y"":384,""dx"":115,""dy"":103,""t"":2554},{""x"":634,""y"":402,""dx"":143,""dy"":121,""t"":2588},{""x"":594,""y"":404,""dx"":103,""dy"":123,""t"":2622},{""x"":610,""y"":393,""dx"":119,""dy"":112,""t"":2656},{""x"":612,""y"":389,""dx"":121,""dy"":108,""t"":2689},{""x"":605,""y"":386,""dx"":114,""dy"":105,""t"":2724},{""x"":618,""y"":392,""dx"":127,""dy"":111,""t"":2758},{""x"":630,""y"":398,""dx"":139,""dy"":117,""t"":2789},{""x"":642,""y"":420,""dx"":151,""dy"":139,""t"":2826},{""x"":629,""y"":404,""dx"":138,""dy"":123,""t"":2860},{""x"":618,""y"":417,""dx"":127,""dy"":136,""t"":2894},{""x"":621,""y"":429,""dx"":130,""dy"":148,""t"":2928},{""x"":632,""y"":417,""dx"":141,""dy"":136,""t"":2962}],[{""x"":1579,""y"":378,""dx"":128,""dy"":97,""t"":4015},{""x"":1569,""y"":367,""dx"":118,""dy"":86,""t"":4050},{""x"":1576,""y"":354,""dx"":125,""dy"":73,""t"":4084},{""x"":1568,""y"":347,""dx"":117,""dy"":66,""t"":4118},{""x"":1561,""y"":334,""dx"":110,""dy"":53,""t"":4152},{""x"":1563,""y"":315,""dx"":112,""dy"":34,""t"":4186},{""x"":1572,""y"":290,""dx"":121,""dy"":9,""t"":4220},{""x"":1571,""y"":265,""dx"":120,""dy"":-16,""t"":4254},{""x"":1574,""y"":264,""dx"":123,""dy"":-17,""t"":4289},{""x"":1585,""y"":261,""dx"":134,""dy"":-20,""t"":4321},{""x"":1568,""y"":280,""dx"":117,""dy"":-1,""t"":4354},{""x"":1554,""y"":290,""dx"":103,""dy"":9,""t"":4390},{""x"":1563,""y"":279,""dx"":112,""dy"":-2,""t"":4424},{""x"":1598,""y"":280,""dx"":147,""dy"":-1,""t"":4458},{""x"":1596,""y"":263,""dx"":145,""dy"":-18,""t"":4493},{""x"":1601,""y"":319,""dx"":150,""dy"":38,""t"":4526},{""x"":1583,""y"":355,""dx"":132,""dy"":74,""t"":4560},{""x"":1571,""y"":383,""dx"":120,""dy"":102,""t"":4593},{""x"":1563,""y"":335,""dx"":112,""dy"":54,""t"":4628},{""x"":1549,""y"":366,""dx"":98,""dy"":85,""t"":4662},{""x"":1540,""y"":371,""dx"":89,""dy"":90,""t"":4695},{""x"":1540,""y"":385,""dx"":89,""dy"":104,""t"":4730},{""x"":1570,""y"":335,""dx"":119,""dy"":54,""t"":4762},{""x"":1567,""y"":358,""dx"":116,""dy"":77,""t"":4799},{""x"":1555,""y"":371,""dx"":104,""dy"":90,""t"":4833},{""x"":1573,""y"":318,""dx"":122,""dy"":37,""t"":4865},{""x"":1582,""y"":271,""dx"":131,""dy"":-10,""t"":4900},{""x"":1569,""y"":287,""dx"":118,""dy"":6,""t"":4934},{""x"":1573,""y"":245,""dx"":122,""dy"":-36,""t"":4969},{""x"":1586,""y"":203,""dx"":135,""dy"":-78,""t"":5002},{""x"":1587,""y"":230,""dx"":136,""dy"":-51,""t"":5036},{""x"":1588,""y"":217,""dx"":137,""dy"":-64,""t"":5071},{""x"":1599,""y"":227,""dx"":148,""dy"":-54,""t"":5104},{""x"":1595,""y"":195,""dx"":144,""dy"":-86,""t"":5138},{""x"":1594,""y"":207,""dx"":143,""dy"":-74,""t"":5173},{""x"":1603,""y"":171,""dx"":152,""dy"":-110,""t"":5205},{""x"":1578,""y"":186,""dx"":127,""dy"":-95,""t"":5240},{""x"":1611,""y"":169,""dx"":160,""dy"":-112,""t"":5274},{""x"":1621,""y"":149,""dx"":170,""dy"":-132,""t"":5309},{""x"":1598,""y"":170,""dx"":147,""dy"":-111,""t"":5342},{""x"":1595,""y"":219,""dx"":144,""dy"":-62,""t"":5376},{""x"":1582,""y"":245,""dx"":131,""dy"":-36,""t"":5411},{""x"":1572,""y"":268,""dx"":121,""dy"":-13,""t"":5444},{""x"":1570,""y"":287,""dx"":119,""dy"":6,""t"":5479},{""x"":1561,""y"":277,""dx"":110,""dy"":-4,""t"":5518},{""x"":1575,""y"":306,""dx"":124,""dy"":25,""t"":5554},{""x"":1574,""y"":261,""dx"":123,""dy"":-20,""t"":5580},{""x"":1532,""y"":295,""dx"":81,""dy"":14,""t"":5614},{""x"":1438,""y"":438,""dx"":-13,""dy"":157,""t"":5647},{""x"":1327,""y"":562,""dx"":-124,""dy"":281,""t"":5682},{""x"":1261,""y"":690,""dx"":-190,""dy"":409,""t"":5716},{""x"":1205,""y"":774,""dx"":-246,""dy"":493,""t"":5751},{""x"":1129,""y"":825,""dx"":-322,""dy"":544,""t"":5784},{""x"":1077,""y"":862,""dx"":-374,""dy"":581,""t"":5818},{""x"":1062,""y"":870,""dx"":-389,""dy"":589,""t"":5853},{""x"":1062,""y"":849,""dx"":-389,""dy"":568,""t"":5886},{""x"":1048,""y"":802,""dx"":-403,""dy"":521,""t"":5921},{""x"":1082,""y"":778,""dx"":-369,""dy"":497,""t"":5955},{""x"":1089,""y"":762,""dx"":-362,""dy"":481,""t"":5988}],[{""x"":1111,""y"":497,""dx"":140,""dy"":-54,""t"":7008},{""x"":1114,""y"":512,""dx"":143,""dy"":-39,""t"":7042},{""x"":1142,""y"":539,""dx"":171,""dy"":-12,""t"":7076},{""x"":1136,""y"":537,""dx"":165,""dy"":-14,""t"":7110},{""x"":1122,""y"":530,""dx"":151,""dy"":-21,""t"":7144},{""x"":1126,""y"":516,""dx"":155,""dy"":-35,""t"":7178},{""x"":1139,""y"":520,""dx"":168,""dy"":-31,""t"":7213},{""x"":1145,""y"":526,""dx"":174,""dy"":-25,""t"":7246},{""x"":1145,""y"":532,""dx"":174,""dy"":-19,""t"":7280},{""x"":1140,""y"":521,""dx"":169,""dy"":-30,""t"":7314},{""x"":1153,""y"":513,""dx"":182,""dy"":-38,""t"":7347},{""x"":1156,""y"":507,""dx"":185,""dy"":-44,""t"":7382},{""x"":1126,""y"":500,""dx"":155,""dy"":-51,""t"":7416},{""x"":1119,""y"":497,""dx"":148,""dy"":-54,""t"":7450},{""x"":1143,""y"":507,""dx"":172,""dy"":-44,""t"":7484},{""x"":1150,""y"":503,""dx"":179,""dy"":-48,""t"":7518},{""x"":1144,""y"":518,""dx"":173,""dy"":-33,""t"":7552},{""x"":1157,""y"":522,""dx"":186,""dy"":-29,""t"":7586},{""x"":1163,""y"":531,""dx"":192,""dy"":-20,""t"":7621},{""x"":1180,""y"":552,""dx"":209,""dy"":1,""t"":7653},{""x"":1179,""y"":553,""dx"":208,""dy"":2,""t"":7688},{""x"":1177,""y"":563,""dx"":206,""dy"":12,""t"":7723},{""x"":1161,""y"":561,""dx"":190,""dy"":10,""t"":7756},{""x"":1165,""y"":566,""dx"":194,""dy"":15,""t"":7791},{""x"":1167,""y"":561,""dx"":196,""dy"":10,""t"":7825},{""x"":1164,""y"":558,""dx"":193,""dy"":7,""t"":7857},{""x"":1172,""y"":538,""dx"":201,""dy"":-13,""t"":7892},{""x"":1162,""y"":501,""dx"":191,""dy"":-50,""t"":7924},{""x"":1177,""y"":493,""dx"":206,""dy"":-58,""t"":7960},{""x"":1163,""y"":493,""dx"":192,""dy"":-58,""t"":7994},{""x"":1167,""y"":485,""dx"":196,""dy"":-66,""t"":8028},{""x"":1168,""y"":479,""dx"":197,""dy"":-72,""t"":8062},{""x"":1177,""y"":503,""dx"":206,""dy"":-48,""t"":8096},{""x"":1179,""y"":509,""dx"":208,""dy"":-42,""t"":8130},{""x"":1106,""y"":532,""dx"":135,""dy"":-19,""t"":8164},{""x"":1125,""y"":544,""dx"":154,""dy"":-7,""t"":8197},{""x"":1120,""y"":549,""dx"":149,""dy"":-2,""t"":8232},{""x"":1122,""y"":557,""dx"":151,""dy"":6,""t"":8266},{""x"":1129,""y"":570,""dx"":158,""dy"":19,""t"":8300},{""x"":1135,""y"":581,""dx"":164,""dy"":30,""t"":8332},{""x"":1135,""y"":579,""dx"":164,""dy"":28,""t"":8368},{""x"":1146,""y"":596,""dx"":175,""dy"":45,""t"":8402},{""x"":1133,""y"":596,""dx"":162,""dy"":45,""t"":8437},{""x"":1128,""y"":601,""dx"":157,""dy"":50,""t"":8470},{""x"":1118,""y"":606,""dx"":147,""dy"":55,""t"":8504},{""x"":1118,""y"":608,""dx"":147,""dy"":57,""t"":8538},{""x"":1114,""y"":589,""dx"":143,""dy"":38,""t"":8572},{""x"":1121,""y"":574,""dx"":150,""dy"":23,""t"":8606},{""x"":1115,""y"":573,""dx"":144,""dy"":22,""t"":8640},{""x"":1120,""y"":553,""dx"":149,""dy"":2,""t"":8675},{""x"":1148,""y"":551,""dx"":177,""dy"":0,""t"":8709},{""x"":1146,""y"":567,""dx"":175,""dy"":16,""t"":8743},{""x"":1142,""y"":568,""dx"":171,""dy"":17,""t"":8776},{""x"":1146,""y"":572,""dx"":175,""dy"":21,""t"":8811},{""x"":1152,""y"":577,""dx"":181,""dy"":26,""t"":8845},{""x"":1143,""y"":583,""dx"":172,""dy"":32,""t"":8878},{""x"":1144,""y"":579,""dx"":173,""dy"":28,""t"":8912},{""x"":1162,""y"":586,""dx"":191,""dy"":35,""t"":8946},{""x"":1162,""y"":582,""dx"":191,""dy"":31,""t"":8980}],[{""x"":606,""y"":763,""dx"":115,""dy"":-58,""t"":10033},{""x"":621,""y"":758,""dx"":130,""dy"":-63,""t"":10069},{""x"":650,""y"":742,""dx"":159,""dy"":-79,""t"":10101},{""x"":651,""y"":736,""dx"":160,""dy"":-85,""t"":10136},{""x"":655,""y"":713,""dx"":164,""dy"":-108,""t"":10170},{""x"":647,""y"":716,""dx"":156,""dy"":-105,""t"":10204},{""x"":641,""y"":700,""dx"":150,""dy"":-121,""t"":10238},{""x"":610,""y"":692,""dx"":119,""dy"":-129,""t"":10272},{""x"":583,""y"":686,""dx"":92,""dy"":-135,""t"":10303},{""x"":573,""y"":690,""dx"":82,""dy"":-131,""t"":10340},{""x"":556,""y"":677,""dx"":65,""dy"":-144,""t"":10374},{""x"":575,""y"":632,""dx"":84,""dy"":-189,""t"":10408},{""x"":557,""y"":653,""dx"":66,""dy"":-168,""t"":10443},{""x"":546,""y"":652,""dx"":55,""dy"":-169,""t"":10475},{""x"":544,""y"":662,""dx"":53,""dy"":-159,""t"":10510},{""x"":545,""y"":636,""dx"":54,""dy"":-185,""t"":10544},{""x"":544,""y"":653,""dx"":53,""dy"":-168,""t"":10579},{""x"":580,""y"":625,""dx"":89,""dy"":-196,""t"":10612},{""x"":620,""y"":638,""dx"":129,""dy"":-183,""t"":10646},{""x"":600,""y"":651,""dx"":109,""dy"":-170,""t"":10680},{""x"":591,""y"":661,""dx"":100,""dy"":-160,""t"":10714},{""x"":598,""y"":676,""dx"":107,""dy"":-145,""t"":10747},{""x"":603,""y"":672,""dx"":112,""dy"":-149,""t"":10782},{""x"":598,""y"":689,""dx"":107,""dy"":-132,""t"":10816},{""x"":581,""y"":664,""dx"":90,""dy"":-157,""t"":10850},{""x"":571,""y"":674,""dx"":80,""dy"":-147,""t"":10884},{""x"":592,""y"":691,""dx"":101,""dy"":-130,""t"":10918},{""x"":582,""y"":697,""dx"":91,""dy"":-124,""t"":10951},{""x"":581,""y"":690,""dx"":90,""dy"":-131,""t"":10985},{""x"":573,""y"":650,""dx"":82,""dy"":-171,""t"":11020},{""x"":598,""y"":621,""dx"":107,""dy"":-200,""t"":11055},{""x"":621,""y"":628,""dx"":130,""dy"":-193,""t"":11088},{""x"":602,""y"":633,""dx"":111,""dy"":-188,""t"":11122},{""x"":605,""y"":623,""dx"":114,""dy"":-198,""t"":11156},{""x"":589,""y"":631,""dx"":98,""dy"":-190,""t"":11191},{""x"":588,""y"":642,""dx"":97,""dy"":-179,""t"":11225},{""x"":589,""y"":600,""dx"":98,""dy"":-221,""t"":11258},{""x"":572,""y"":617,""dx"":81,""dy"":-204,""t"":11292},{""x"":577,""y"":606,""dx"":86,""dy"":-215,""t"":11326},{""x"":565,""y"":626,""dx"":74,""dy"":-195,""t"":11361},{""x"":570,""y"":651,""dx"":79,""dy"":-170,""t"":11393},{""x"":538,""y"":653,""dx"":47,""dy"":-168,""t"":11429},{""x"":545,""y"":666,""dx"":54,""dy"":-155,""t"":11463},{""x"":537,""y"":669,""dx"":46,""dy"":-152,""t"":11495},{""x"":546,""y"":651,""dx"":55,""dy"":-170,""t"":11530},{""x"":548,""y"":644,""dx"":57,""dy"":-177,""t"":11564},{""x"":563,""y"":652,""dx"":72,""dy"":-169,""t"":11598},{""x"":573,""y"":657,""dx"":82,""dy"":-164,""t"":11632},{""x"":572,""y"":675,""dx"":81,""dy"":-146,""t"":11666},{""x"":563,""y"":686,""dx"":72,""dy"":-135,""t"":11700},{""x"":536,""y"":693,""dx"":45,""dy"":-128,""t"":11734},{""x"":545,""y"":701,""dx"":54,""dy"":-120,""t"":11769},{""x"":603,""y"":721,""dx"":112,""dy"":-100,""t"":11802},{""x"":590,""y"":693,""dx"":99,""dy"":-128,""t"":11836},{""x"":591,""y"":693,""dx"":100,""dy"":-128,""t"":11870},{""x"":592,""y"":692,""dx"":101,""dy"":-129,""t"":11901},{""x"":577,""y"":690,""dx"":86,""dy"":-131,""t"":11937},{""x"":585,""y"":697,""dx"":94,""dy"":-124,""t"":11972},{""x"":598,""y"":697,""dx"":107,""dy"":-124,""t"":12006}],[{""x"":1408,""y"":521,""dx"":-43,""dy"":-300,""t"":13026},{""x"":1407,""y"":538,""dx"":-44,""dy"":-283,""t"":13060},{""x"":1389,""y"":588,""dx"":-62,""dy"":-233,""t"":13092},{""x"":1373,""y"":617,""dx"":-78,""dy"":-204,""t"":13128},{""x"":1375,""y"":646,""dx"":-76,""dy"":-175,""t"":13162},{""x"":1360,""y"":621,""dx"":-91,""dy"":-200,""t"":13196},{""x"":1342,""y"":604,""dx"":-109,""dy"":-217,""t"":13229},{""x"":1319,""y"":619,""dx"":-132,""dy"":-202,""t"":13264},{""x"":1312,""y"":631,""dx"":-139,""dy"":-190,""t"":13297},{""x"":1312,""y"":626,""dx"":-139,""dy"":-195,""t"":13332},{""x"":1308,""y"":606,""dx"":-143,""dy"":-215,""t"":13366},{""x"":1284,""y"":617,""dx"":-167,""dy"":-204,""t"":13400},{""x"":1293,""y"":597,""dx"":-158,""dy"":-224,""t"":13434},{""x"":1274,""y"":591,""dx"":-177,""dy"":-230,""t"":13468},{""x"":1262,""y"":602,""dx"":-189,""dy"":-219,""t"":13500},{""x"":1273,""y"":628,""dx"":-178,""dy"":-193,""t"":13537},{""x"":1272,""y"":604,""dx"":-179,""dy"":-217,""t"":13569},{""x"":1270,""y"":617,""dx"":-181,""dy"":-204,""t"":13604},{""x"":1291,""y"":642,""dx"":-160,""dy"":-179,""t"":13638},{""x"":1281,""y"":666,""dx"":-170,""dy"":-155,""t"":13672},{""x"":1275,""y"":694,""dx"":-176,""dy"":-127,""t"":13706},{""x"":1273,""y"":702,""dx"":-178,""dy"":-119,""t"":13740},{""x"":1269,""y"":696,""dx"":-182,""dy"":-125,""t"":13775},{""x"":1280,""y"":689,""dx"":-171,""dy"":-132,""t"":13809},{""x"":1304,""y"":664,""dx"":-147,""dy"":-157,""t"":13841},{""x"":1321,""y"":661,""dx"":-130,""dy"":-160,""t"":13877},{""x"":1318,""y"":680,""dx"":-133,""dy"":-141,""t"":13910},{""x"":1304,""y"":669,""dx"":-147,""dy"":-152,""t"":13944},{""x"":1320,""y"":664,""dx"":-131,""dy"":-157,""t"":13978},{""x"":1336,""y"":652,""dx"":-115,""dy"":-169,""t"":14012},{""x"":1317,""y"":672,""dx"":-134,""dy"":-149,""t"":14046},{""x"":1317,""y"":690,""dx"":-134,""dy"":-131,""t"":14080},{""x"":1324,""y"":686,""dx"":-127,""dy"":-135,""t"":14114},{""x"":1333,""y"":692,""dx"":-118,""dy"":-129,""t"":14148},{""x"":1356,""y"":681,""dx"":-95,""dy"":-140,""t"":14181},{""x"":1373,""y"":641,""dx"":-78,""dy"":-180,""t"":14216},{""x"":1341,""y"":659,""dx"":-110,""dy"":-162,""t"":14250},{""x"":1317,""y"":678,""dx"":-134,""dy"":-143,""t"":14284},{""x"":1305,""y"":711,""dx"":-146,""dy"":-110,""t"":14318},{""x"":1288,""y"":717,""dx"":-163,""dy"":-104,""t"":14352},{""x"":1274,""y"":738,""dx"":-177,""dy"":-83,""t"":14387},{""x"":1291,""y"":741,""dx"":-160,""dy"":-80,""t"":14421},{""x"":1287,""y"":738,""dx"":-164,""dy"":-83,""t"":14454},{""x"":1276,""y"":751,""dx"":-175,""dy"":-70,""t"":14488},{""x"":1260,""y"":754,""dx"":-191,""dy"":-67,""t"":14522},{""x"":1280,""y"":713,""dx"":-171,""dy"":-108,""t"":14556},{""x"":1260,""y"":724,""dx"":-191,""dy"":-97,""t"":14591},{""x"":1278,""y"":685,""dx"":-173,""dy"":-136,""t"":14624},{""x"":1281,""y"":675,""dx"":-170,""dy"":-146,""t"":14659},{""x"":1317,""y"":636,""dx"":-134,""dy"":-185,""t"":14692},{""x"":1312,""y"":635,""dx"":-139,""dy"":-186,""t"":14727},{""x"":1339,""y"":591,""dx"":-112,""dy"":-230,""t"":14760},{""x"":1310,""y"":577,""dx"":-141,""dy"":-244,""t"":14795},{""x"":1294,""y"":587,""dx"":-157,""dy"":-234,""t"":14828},{""x"":1284,""y"":584,""dx"":-167,""dy"":-237,""t"":14862},{""x"":1277,""y"":582,""dx"":-174,""dy"":-239,""t"":14905},{""x"":1272,""y"":592,""dx"":-179,""dy"":-229,""t"":14947},{""x"":1302,""y"":597,""dx"":-149,""dy"":-224,""t"":14971},{""x"":1277,""y"":640,""dx"":-174,""dy"":-181,""t"":14997}]]","[98.30508474576271,81.35593220338984,83.05084745762711,76.27118644067797,25.423728813559322]","[{""x"":72.83050847457628,""y"":82.9322033898305,""r"":35.87690019811268},{""x"":47.88135593220339,""y"":87.8135593220339,""r"":128.3596563524307},{""x"":173.38983050847457,""y"":-6.661016949152542,""r"":35.91037472552075},{""x"":92.9322033898305,""y"":-150.71186440677965,""r"":39.31622546229644},{""x"":-143.42372881355934,""y"":-171.52542372881356,""r"":55.16998099186657}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
