success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,phase,ans,ISI,size,shapeORcolor,webgazer_data,webgazer_targets,webgazer_targets_data,correct,response_target,response_answer
TRUE,fullscreen,0,3786,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,3793,0.0-1.0,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,
,survey-text,2,14417,0.0-2.0-0.0,,,,,10619,"{""name"":""dyk"",""age"":""22""}",,,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,16505,0.0-2.0-1.0,,,,,2087,{"sex":"男"},[0],,,,,,,,,,,,,,,,,,,
,html-keyboard-response,4,17817,0.0-3.0,,,,,1310, ,,<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按"space"键继续。</p>,,,,,,,,,,,,,,,,,,
,webgazer-init-camera,5,24921,0.0-4.0,,,,,,,,,2263,,,,,,,,,,,,,,,,,
,html-button-response,6,25833,0.0-5.0-0.0,,,,,910,0,,"
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ",,,,,,,,,,,,,,,,,,
,webgazer-calibrate,7,38696,0.0-5.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,8,41640,0.0-5.0-2.0,,,,,2944,0,,"
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ",,,,,,,,,,,,,,,,,,
,webgazer-validate,9,58737,0.0-5.0-3.0,,,,,,,,,,"[[{""x"":558,""y"":206,""dx"":67,""dy"":-75,""t"":990},{""x"":576,""y"":182,""dx"":85,""dy"":-99,""t"":1025},{""x"":537,""y"":247,""dx"":46,""dy"":-34,""t"":1058},{""x"":556,""y"":227,""dx"":65,""dy"":-54,""t"":1092},{""x"":581,""y"":216,""dx"":90,""dy"":-65,""t"":1126},{""x"":618,""y"":198,""dx"":127,""dy"":-83,""t"":1160},{""x"":636,""y"":249,""dx"":145,""dy"":-32,""t"":1195},{""x"":666,""y"":264,""dx"":175,""dy"":-17,""t"":1228},{""x"":674,""y"":230,""dx"":183,""dy"":-51,""t"":1262},{""x"":673,""y"":196,""dx"":182,""dy"":-85,""t"":1296},{""x"":704,""y"":225,""dx"":213,""dy"":-56,""t"":1330},{""x"":656,""y"":314,""dx"":165,""dy"":33,""t"":1364},{""x"":601,""y"":393,""dx"":110,""dy"":112,""t"":1398},{""x"":617,""y"":335,""dx"":126,""dy"":54,""t"":1432},{""x"":612,""y"":309,""dx"":121,""dy"":28,""t"":1466},{""x"":619,""y"":264,""dx"":128,""dy"":-17,""t"":1500},{""x"":604,""y"":283,""dx"":113,""dy"":2,""t"":1533},{""x"":601,""y"":274,""dx"":110,""dy"":-7,""t"":1568},{""x"":621,""y"":225,""dx"":130,""dy"":-56,""t"":1602},{""x"":624,""y"":229,""dx"":133,""dy"":-52,""t"":1636},{""x"":627,""y"":252,""dx"":136,""dy"":-29,""t"":1670},{""x"":643,""y"":278,""dx"":152,""dy"":-3,""t"":1705},{""x"":649,""y"":250,""dx"":158,""dy"":-31,""t"":1738},{""x"":645,""y"":259,""dx"":154,""dy"":-22,""t"":1772},{""x"":657,""y"":249,""dx"":166,""dy"":-32,""t"":1807},{""x"":671,""y"":256,""dx"":180,""dy"":-25,""t"":1841},{""x"":678,""y"":213,""dx"":187,""dy"":-68,""t"":1874},{""x"":678,""y"":223,""dx"":187,""dy"":-58,""t"":1908},{""x"":680,""y"":203,""dx"":189,""dy"":-78,""t"":1942},{""x"":645,""y"":200,""dx"":154,""dy"":-81,""t"":1976},{""x"":623,""y"":192,""dx"":132,""dy"":-89,""t"":2011},{""x"":611,""y"":248,""dx"":120,""dy"":-33,""t"":2045},{""x"":593,""y"":254,""dx"":102,""dy"":-27,""t"":2078},{""x"":592,""y"":268,""dx"":101,""dy"":-13,""t"":2112},{""x"":578,""y"":261,""dx"":87,""dy"":-20,""t"":2146},{""x"":561,""y"":271,""dx"":70,""dy"":-10,""t"":2181},{""x"":512,""y"":322,""dx"":21,""dy"":41,""t"":2214},{""x"":504,""y"":323,""dx"":13,""dy"":42,""t"":2249},{""x"":499,""y"":334,""dx"":8,""dy"":53,""t"":2282},{""x"":517,""y"":379,""dx"":26,""dy"":98,""t"":2316},{""x"":502,""y"":369,""dx"":11,""dy"":88,""t"":2350},{""x"":513,""y"":350,""dx"":22,""dy"":69,""t"":2384},{""x"":483,""y"":353,""dx"":-8,""dy"":72,""t"":2419},{""x"":458,""y"":352,""dx"":-33,""dy"":71,""t"":2452},{""x"":467,""y"":345,""dx"":-24,""dy"":64,""t"":2487},{""x"":476,""y"":338,""dx"":-15,""dy"":57,""t"":2518},{""x"":463,""y"":336,""dx"":-28,""dy"":55,""t"":2554},{""x"":472,""y"":325,""dx"":-19,""dy"":44,""t"":2587},{""x"":445,""y"":315,""dx"":-46,""dy"":34,""t"":2623},{""x"":459,""y"":326,""dx"":-32,""dy"":45,""t"":2656},{""x"":445,""y"":339,""dx"":-46,""dy"":58,""t"":2691},{""x"":443,""y"":352,""dx"":-48,""dy"":71,""t"":2725},{""x"":465,""y"":370,""dx"":-26,""dy"":89,""t"":2758},{""x"":446,""y"":400,""dx"":-45,""dy"":119,""t"":2793},{""x"":418,""y"":414,""dx"":-73,""dy"":133,""t"":2828},{""x"":423,""y"":395,""dx"":-68,""dy"":114,""t"":2860},{""x"":417,""y"":389,""dx"":-74,""dy"":108,""t"":2891},{""x"":453,""y"":362,""dx"":-38,""dy"":81,""t"":2927},{""x"":462,""y"":371,""dx"":-29,""dy"":90,""t"":2963}],[{""x"":1394,""y"":428,""dx"":-57,""dy"":147,""t"":4015},{""x"":1396,""y"":421,""dx"":-55,""dy"":140,""t"":4050},{""x"":1397,""y"":415,""dx"":-54,""dy"":134,""t"":4082},{""x"":1421,""y"":407,""dx"":-30,""dy"":126,""t"":4118},{""x"":1403,""y"":409,""dx"":-48,""dy"":128,""t"":4152},{""x"":1409,""y"":417,""dx"":-42,""dy"":136,""t"":4186},{""x"":1441,""y"":418,""dx"":-10,""dy"":137,""t"":4220},{""x"":1417,""y"":406,""dx"":-34,""dy"":125,""t"":4253},{""x"":1403,""y"":400,""dx"":-48,""dy"":119,""t"":4288},{""x"":1393,""y"":411,""dx"":-58,""dy"":130,""t"":4323},{""x"":1387,""y"":426,""dx"":-64,""dy"":145,""t"":4356},{""x"":1349,""y"":433,""dx"":-102,""dy"":152,""t"":4390},{""x"":1351,""y"":448,""dx"":-100,""dy"":167,""t"":4424},{""x"":1348,""y"":442,""dx"":-103,""dy"":161,""t"":4459},{""x"":1346,""y"":436,""dx"":-105,""dy"":155,""t"":4490},{""x"":1342,""y"":436,""dx"":-109,""dy"":155,""t"":4526},{""x"":1337,""y"":439,""dx"":-114,""dy"":158,""t"":4560},{""x"":1343,""y"":444,""dx"":-108,""dy"":163,""t"":4594},{""x"":1332,""y"":444,""dx"":-119,""dy"":163,""t"":4629},{""x"":1331,""y"":436,""dx"":-120,""dy"":155,""t"":4664},{""x"":1319,""y"":428,""dx"":-132,""dy"":147,""t"":4696},{""x"":1322,""y"":404,""dx"":-129,""dy"":123,""t"":4730},{""x"":1320,""y"":415,""dx"":-131,""dy"":134,""t"":4764},{""x"":1337,""y"":444,""dx"":-114,""dy"":163,""t"":4798},{""x"":1382,""y"":454,""dx"":-69,""dy"":173,""t"":4832},{""x"":1393,""y"":471,""dx"":-58,""dy"":190,""t"":4867},{""x"":1399,""y"":486,""dx"":-52,""dy"":205,""t"":4900},{""x"":1428,""y"":497,""dx"":-23,""dy"":216,""t"":4934},{""x"":1385,""y"":490,""dx"":-66,""dy"":209,""t"":4969},{""x"":1402,""y"":458,""dx"":-49,""dy"":177,""t"":5002},{""x"":1419,""y"":410,""dx"":-32,""dy"":129,""t"":5036},{""x"":1404,""y"":422,""dx"":-47,""dy"":141,""t"":5071},{""x"":1383,""y"":453,""dx"":-68,""dy"":172,""t"":5104},{""x"":1385,""y"":436,""dx"":-66,""dy"":155,""t"":5139},{""x"":1361,""y"":451,""dx"":-90,""dy"":170,""t"":5172},{""x"":1372,""y"":433,""dx"":-79,""dy"":152,""t"":5206},{""x"":1376,""y"":406,""dx"":-75,""dy"":125,""t"":5241},{""x"":1353,""y"":407,""dx"":-98,""dy"":126,""t"":5274},{""x"":1329,""y"":409,""dx"":-122,""dy"":128,""t"":5309},{""x"":1321,""y"":390,""dx"":-130,""dy"":109,""t"":5342},{""x"":1357,""y"":286,""dx"":-94,""dy"":5,""t"":5376},{""x"":1376,""y"":222,""dx"":-75,""dy"":-59,""t"":5411},{""x"":1397,""y"":238,""dx"":-54,""dy"":-43,""t"":5445},{""x"":1412,""y"":267,""dx"":-39,""dy"":-14,""t"":5479},{""x"":1418,""y"":194,""dx"":-33,""dy"":-87,""t"":5512},{""x"":1413,""y"":274,""dx"":-38,""dy"":-7,""t"":5547},{""x"":1403,""y"":295,""dx"":-48,""dy"":14,""t"":5580},{""x"":1419,""y"":327,""dx"":-32,""dy"":46,""t"":5614},{""x"":1442,""y"":253,""dx"":-9,""dy"":-28,""t"":5649},{""x"":1461,""y"":180,""dx"":10,""dy"":-101,""t"":5682},{""x"":1462,""y"":180,""dx"":11,""dy"":-101,""t"":5716},{""x"":1436,""y"":236,""dx"":-15,""dy"":-45,""t"":5750},{""x"":1457,""y"":210,""dx"":6,""dy"":-71,""t"":5783},{""x"":1457,""y"":267,""dx"":6,""dy"":-14,""t"":5818},{""x"":1479,""y"":237,""dx"":28,""dy"":-44,""t"":5852},{""x"":1477,""y"":215,""dx"":26,""dy"":-66,""t"":5886},{""x"":1459,""y"":197,""dx"":8,""dy"":-84,""t"":5921},{""x"":1451,""y"":189,""dx"":0,""dy"":-92,""t"":5954},{""x"":1430,""y"":256,""dx"":-21,""dy"":-25,""t"":5988}],[{""x"":981,""y"":397,""dx"":10,""dy"":-154,""t"":7009},{""x"":979,""y"":397,""dx"":8,""dy"":-154,""t"":7043},{""x"":988,""y"":375,""dx"":17,""dy"":-176,""t"":7077},{""x"":985,""y"":378,""dx"":14,""dy"":-173,""t"":7110},{""x"":982,""y"":391,""dx"":11,""dy"":-160,""t"":7145},{""x"":990,""y"":385,""dx"":19,""dy"":-166,""t"":7178},{""x"":1014,""y"":408,""dx"":43,""dy"":-143,""t"":7213},{""x"":1019,""y"":412,""dx"":48,""dy"":-139,""t"":7247},{""x"":1009,""y"":423,""dx"":38,""dy"":-128,""t"":7280},{""x"":1020,""y"":420,""dx"":49,""dy"":-131,""t"":7314},{""x"":1017,""y"":431,""dx"":46,""dy"":-120,""t"":7348},{""x"":1020,""y"":418,""dx"":49,""dy"":-133,""t"":7382},{""x"":1023,""y"":422,""dx"":52,""dy"":-129,""t"":7417},{""x"":1003,""y"":423,""dx"":32,""dy"":-128,""t"":7450},{""x"":1018,""y"":416,""dx"":47,""dy"":-135,""t"":7483},{""x"":1039,""y"":462,""dx"":68,""dy"":-89,""t"":7518},{""x"":1047,""y"":451,""dx"":76,""dy"":-100,""t"":7552},{""x"":1065,""y"":432,""dx"":94,""dy"":-119,""t"":7587},{""x"":1066,""y"":422,""dx"":95,""dy"":-129,""t"":7621},{""x"":1066,""y"":413,""dx"":95,""dy"":-138,""t"":7651},{""x"":1056,""y"":407,""dx"":85,""dy"":-144,""t"":7688},{""x"":1038,""y"":406,""dx"":67,""dy"":-145,""t"":7722},{""x"":1024,""y"":425,""dx"":53,""dy"":-126,""t"":7755},{""x"":1004,""y"":441,""dx"":33,""dy"":-110,""t"":7791},{""x"":985,""y"":450,""dx"":14,""dy"":-101,""t"":7824},{""x"":979,""y"":465,""dx"":8,""dy"":-86,""t"":7858},{""x"":980,""y"":476,""dx"":9,""dy"":-75,""t"":7892},{""x"":983,""y"":482,""dx"":12,""dy"":-69,""t"":7926},{""x"":988,""y"":489,""dx"":17,""dy"":-62,""t"":7960},{""x"":969,""y"":478,""dx"":-2,""dy"":-73,""t"":7994},{""x"":975,""y"":487,""dx"":4,""dy"":-64,""t"":8028},{""x"":970,""y"":476,""dx"":-1,""dy"":-75,""t"":8060},{""x"":957,""y"":458,""dx"":-14,""dy"":-93,""t"":8095},{""x"":965,""y"":471,""dx"":-6,""dy"":-80,""t"":8131},{""x"":972,""y"":493,""dx"":1,""dy"":-58,""t"":8165},{""x"":969,""y"":503,""dx"":-2,""dy"":-48,""t"":8198},{""x"":964,""y"":501,""dx"":-7,""dy"":-50,""t"":8232},{""x"":967,""y"":487,""dx"":-4,""dy"":-64,""t"":8267},{""x"":990,""y"":516,""dx"":19,""dy"":-35,""t"":8300},{""x"":996,""y"":519,""dx"":25,""dy"":-32,""t"":8334},{""x"":977,""y"":535,""dx"":6,""dy"":-16,""t"":8367},{""x"":965,""y"":554,""dx"":-6,""dy"":3,""t"":8403},{""x"":976,""y"":539,""dx"":5,""dy"":-12,""t"":8436},{""x"":976,""y"":562,""dx"":5,""dy"":11,""t"":8471},{""x"":970,""y"":571,""dx"":-1,""dy"":20,""t"":8504},{""x"":988,""y"":497,""dx"":17,""dy"":-54,""t"":8538},{""x"":968,""y"":517,""dx"":-3,""dy"":-34,""t"":8573},{""x"":956,""y"":539,""dx"":-15,""dy"":-12,""t"":8606},{""x"":949,""y"":565,""dx"":-22,""dy"":14,""t"":8640},{""x"":950,""y"":581,""dx"":-21,""dy"":30,""t"":8675},{""x"":921,""y"":590,""dx"":-50,""dy"":39,""t"":8708},{""x"":924,""y"":583,""dx"":-47,""dy"":32,""t"":8742},{""x"":908,""y"":607,""dx"":-63,""dy"":56,""t"":8777},{""x"":929,""y"":616,""dx"":-42,""dy"":65,""t"":8809},{""x"":910,""y"":618,""dx"":-61,""dy"":67,""t"":8844},{""x"":967,""y"":556,""dx"":-4,""dy"":5,""t"":8879},{""x"":922,""y"":549,""dx"":-49,""dy"":-2,""t"":8912},{""x"":931,""y"":568,""dx"":-40,""dy"":17,""t"":8945},{""x"":970,""y"":554,""dx"":-1,""dy"":3,""t"":8980},{""x"":975,""y"":565,""dx"":4,""dy"":14,""t"":9014}],[{""x"":596,""y"":559,""dx"":105,""dy"":-262,""t"":10034},{""x"":610,""y"":574,""dx"":119,""dy"":-247,""t"":10069},{""x"":618,""y"":575,""dx"":127,""dy"":-246,""t"":10104},{""x"":624,""y"":570,""dx"":133,""dy"":-251,""t"":10135},{""x"":627,""y"":572,""dx"":136,""dy"":-249,""t"":10171},{""x"":606,""y"":576,""dx"":115,""dy"":-245,""t"":10204},{""x"":622,""y"":572,""dx"":131,""dy"":-249,""t"":10238},{""x"":585,""y"":569,""dx"":94,""dy"":-252,""t"":10273},{""x"":600,""y"":567,""dx"":109,""dy"":-254,""t"":10306},{""x"":613,""y"":568,""dx"":122,""dy"":-253,""t"":10341},{""x"":599,""y"":574,""dx"":108,""dy"":-247,""t"":10374},{""x"":611,""y"":591,""dx"":120,""dy"":-230,""t"":10408},{""x"":627,""y"":577,""dx"":136,""dy"":-244,""t"":10442},{""x"":641,""y"":582,""dx"":150,""dy"":-239,""t"":10475},{""x"":650,""y"":587,""dx"":159,""dy"":-234,""t"":10510},{""x"":616,""y"":565,""dx"":125,""dy"":-256,""t"":10544},{""x"":581,""y"":559,""dx"":90,""dy"":-262,""t"":10578},{""x"":582,""y"":549,""dx"":91,""dy"":-272,""t"":10612},{""x"":595,""y"":563,""dx"":104,""dy"":-258,""t"":10646},{""x"":593,""y"":549,""dx"":102,""dy"":-272,""t"":10681},{""x"":571,""y"":543,""dx"":80,""dy"":-278,""t"":10714},{""x"":556,""y"":565,""dx"":65,""dy"":-256,""t"":10749},{""x"":559,""y"":556,""dx"":68,""dy"":-265,""t"":10783},{""x"":542,""y"":540,""dx"":51,""dy"":-281,""t"":10816},{""x"":566,""y"":547,""dx"":75,""dy"":-274,""t"":10850},{""x"":555,""y"":534,""dx"":64,""dy"":-287,""t"":10883},{""x"":555,""y"":519,""dx"":64,""dy"":-302,""t"":10919},{""x"":583,""y"":515,""dx"":92,""dy"":-306,""t"":10952},{""x"":573,""y"":524,""dx"":82,""dy"":-297,""t"":10987},{""x"":576,""y"":533,""dx"":85,""dy"":-288,""t"":11020},{""x"":600,""y"":531,""dx"":109,""dy"":-290,""t"":11053},{""x"":588,""y"":562,""dx"":97,""dy"":-259,""t"":11087},{""x"":583,""y"":587,""dx"":92,""dy"":-234,""t"":11122},{""x"":633,""y"":520,""dx"":142,""dy"":-301,""t"":11156},{""x"":597,""y"":523,""dx"":106,""dy"":-298,""t"":11189},{""x"":566,""y"":526,""dx"":75,""dy"":-295,""t"":11222},{""x"":547,""y"":539,""dx"":56,""dy"":-282,""t"":11259},{""x"":522,""y"":542,""dx"":31,""dy"":-279,""t"":11292},{""x"":490,""y"":554,""dx"":-1,""dy"":-267,""t"":11326},{""x"":492,""y"":576,""dx"":1,""dy"":-245,""t"":11359},{""x"":593,""y"":507,""dx"":102,""dy"":-314,""t"":11394},{""x"":601,""y"":552,""dx"":110,""dy"":-269,""t"":11428},{""x"":613,""y"":580,""dx"":122,""dy"":-241,""t"":11462},{""x"":563,""y"":595,""dx"":72,""dy"":-226,""t"":11496},{""x"":538,""y"":601,""dx"":47,""dy"":-220,""t"":11531},{""x"":540,""y"":567,""dx"":49,""dy"":-254,""t"":11565},{""x"":542,""y"":534,""dx"":51,""dy"":-287,""t"":11598},{""x"":555,""y"":548,""dx"":64,""dy"":-273,""t"":11632},{""x"":639,""y"":481,""dx"":148,""dy"":-340,""t"":11666},{""x"":625,""y"":517,""dx"":134,""dy"":-304,""t"":11700},{""x"":605,""y"":539,""dx"":114,""dy"":-282,""t"":11734},{""x"":574,""y"":548,""dx"":83,""dy"":-273,""t"":11768},{""x"":581,""y"":531,""dx"":90,""dy"":-290,""t"":11803},{""x"":591,""y"":571,""dx"":100,""dy"":-250,""t"":11836},{""x"":666,""y"":513,""dx"":175,""dy"":-308,""t"":11870},{""x"":805,""y"":552,""dx"":314,""dy"":-269,""t"":11904},{""x"":940,""y"":553,""dx"":449,""dy"":-268,""t"":11938},{""x"":1101,""y"":588,""dx"":610,""dy"":-233,""t"":11972},{""x"":1195,""y"":583,""dx"":704,""dy"":-238,""t"":12006}],[{""x"":1382,""y"":780,""dx"":-69,""dy"":-41,""t"":13027},{""x"":1394,""y"":717,""dx"":-57,""dy"":-104,""t"":13060},{""x"":1416,""y"":658,""dx"":-35,""dy"":-163,""t"":13094},{""x"":1414,""y"":652,""dx"":-37,""dy"":-169,""t"":13128},{""x"":1446,""y"":611,""dx"":-5,""dy"":-210,""t"":13162},{""x"":1442,""y"":583,""dx"":-9,""dy"":-238,""t"":13195},{""x"":1455,""y"":561,""dx"":4,""dy"":-260,""t"":13231},{""x"":1462,""y"":531,""dx"":11,""dy"":-290,""t"":13264},{""x"":1476,""y"":517,""dx"":25,""dy"":-304,""t"":13299},{""x"":1481,""y"":508,""dx"":30,""dy"":-313,""t"":13332},{""x"":1512,""y"":493,""dx"":61,""dy"":-328,""t"":13367},{""x"":1521,""y"":479,""dx"":70,""dy"":-342,""t"":13399},{""x"":1519,""y"":450,""dx"":68,""dy"":-371,""t"":13435},{""x"":1516,""y"":456,""dx"":65,""dy"":-365,""t"":13468},{""x"":1479,""y"":463,""dx"":28,""dy"":-358,""t"":13502},{""x"":1469,""y"":522,""dx"":18,""dy"":-299,""t"":13536},{""x"":1466,""y"":526,""dx"":15,""dy"":-295,""t"":13570},{""x"":1461,""y"":559,""dx"":10,""dy"":-262,""t"":13604},{""x"":1456,""y"":577,""dx"":5,""dy"":-244,""t"":13638},{""x"":1462,""y"":603,""dx"":11,""dy"":-218,""t"":13671},{""x"":1434,""y"":583,""dx"":-17,""dy"":-238,""t"":13706},{""x"":1470,""y"":569,""dx"":19,""dy"":-252,""t"":13740},{""x"":1452,""y"":577,""dx"":1,""dy"":-244,""t"":13774},{""x"":1440,""y"":558,""dx"":-11,""dy"":-263,""t"":13809},{""x"":1428,""y"":540,""dx"":-23,""dy"":-281,""t"":13842},{""x"":1436,""y"":555,""dx"":-15,""dy"":-266,""t"":13876},{""x"":1415,""y"":528,""dx"":-36,""dy"":-293,""t"":13910},{""x"":1404,""y"":527,""dx"":-47,""dy"":-294,""t"":13944},{""x"":1412,""y"":545,""dx"":-39,""dy"":-276,""t"":13978},{""x"":1392,""y"":557,""dx"":-59,""dy"":-264,""t"":14013},{""x"":1387,""y"":535,""dx"":-64,""dy"":-286,""t"":14046},{""x"":1367,""y"":539,""dx"":-84,""dy"":-282,""t"":14080},{""x"":1368,""y"":528,""dx"":-83,""dy"":-293,""t"":14114},{""x"":1365,""y"":535,""dx"":-86,""dy"":-286,""t"":14149},{""x"":1367,""y"":533,""dx"":-84,""dy"":-288,""t"":14182},{""x"":1340,""y"":553,""dx"":-111,""dy"":-268,""t"":14216},{""x"":1371,""y"":561,""dx"":-80,""dy"":-260,""t"":14250},{""x"":1397,""y"":549,""dx"":-54,""dy"":-272,""t"":14284},{""x"":1415,""y"":563,""dx"":-36,""dy"":-258,""t"":14318},{""x"":1409,""y"":575,""dx"":-42,""dy"":-246,""t"":14352},{""x"":1403,""y"":585,""dx"":-48,""dy"":-236,""t"":14384},{""x"":1396,""y"":587,""dx"":-55,""dy"":-234,""t"":14421},{""x"":1405,""y"":591,""dx"":-46,""dy"":-230,""t"":14454},{""x"":1425,""y"":591,""dx"":-26,""dy"":-230,""t"":14488},{""x"":1439,""y"":584,""dx"":-12,""dy"":-237,""t"":14522},{""x"":1441,""y"":590,""dx"":-10,""dy"":-231,""t"":14555},{""x"":1405,""y"":581,""dx"":-46,""dy"":-240,""t"":14590},{""x"":1395,""y"":581,""dx"":-56,""dy"":-240,""t"":14624},{""x"":1379,""y"":575,""dx"":-72,""dy"":-246,""t"":14660},{""x"":1404,""y"":589,""dx"":-47,""dy"":-232,""t"":14692},{""x"":1389,""y"":595,""dx"":-62,""dy"":-226,""t"":14726},{""x"":1397,""y"":608,""dx"":-54,""dy"":-213,""t"":14760},{""x"":1381,""y"":598,""dx"":-70,""dy"":-223,""t"":14792},{""x"":1382,""y"":596,""dx"":-69,""dy"":-225,""t"":14828},{""x"":1402,""y"":604,""dx"":-49,""dy"":-217,""t"":14861},{""x"":1442,""y"":613,""dx"":-9,""dy"":-208,""t"":14895},{""x"":1422,""y"":605,""dx"":-29,""dy"":-216,""t"":14931},{""x"":1403,""y"":592,""dx"":-48,""dy"":-229,""t"":14964},{""x"":1388,""y"":572,""dx"":-63,""dy"":-249,""t"":14998},{""x"":1389,""y"":552,""dx"":-62,""dy"":-269,""t"":15033}]]","[94.91525423728814,93.22033898305084,100,0,6.666666666666667]","[{""x"":71.83050847457628,""y"":8.864406779661017,""r"":100.22768821927377},{""x"":-58.86440677966102,""y"":88.54237288135593,""r"":87.20533344344528},{""x"":13.9,""y"":-68.13333333333334,""r"":108.34013262136892},{""x"":124.54237288135593,""y"":-266.864406779661,""r"":41.993026192203466},{""x"":-27.916666666666668,""y"":-253.58333333333334,""r"":66.19419084289004}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]",29.41,validate,,,,,,,,,,,
