"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3634","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3640","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9241","0.0-2.0-0.0","","","","","5599","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11329","0.0-2.0-1.0","","","","","2087","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13153","0.0-3.0","","","","","1822"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19391","0.0-4.0","","","","","","","","","1539","","","","","","","","","","","","","","","","",""
"","html-button-response","6","21032","0.0-5.0-0.0","","","","","1639","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32020","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","32960","0.0-5.0-2.0","","","","","939","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","50992","0.0-5.0-3.0","","","","","","","","","","[[{""x"":521,""y"":405,""dx"":30,""dy"":124,""t"":987},{""x"":535,""y"":411,""dx"":44,""dy"":130,""t"":1024},{""x"":537,""y"":439,""dx"":46,""dy"":158,""t"":1057},{""x"":521,""y"":444,""dx"":30,""dy"":163,""t"":1093},{""x"":517,""y"":436,""dx"":26,""dy"":155,""t"":1126},{""x"":515,""y"":437,""dx"":24,""dy"":156,""t"":1160},{""x"":530,""y"":431,""dx"":39,""dy"":150,""t"":1194},{""x"":552,""y"":442,""dx"":61,""dy"":161,""t"":1227},{""x"":556,""y"":428,""dx"":65,""dy"":147,""t"":1262},{""x"":539,""y"":447,""dx"":48,""dy"":166,""t"":1296},{""x"":548,""y"":444,""dx"":57,""dy"":163,""t"":1330},{""x"":552,""y"":464,""dx"":61,""dy"":183,""t"":1366},{""x"":557,""y"":483,""dx"":66,""dy"":202,""t"":1398},{""x"":533,""y"":480,""dx"":42,""dy"":199,""t"":1432},{""x"":543,""y"":500,""dx"":52,""dy"":219,""t"":1467},{""x"":551,""y"":508,""dx"":60,""dy"":227,""t"":1501},{""x"":552,""y"":479,""dx"":61,""dy"":198,""t"":1536},{""x"":542,""y"":490,""dx"":51,""dy"":209,""t"":1568},{""x"":537,""y"":470,""dx"":46,""dy"":189,""t"":1602},{""x"":535,""y"":438,""dx"":44,""dy"":157,""t"":1636},{""x"":530,""y"":444,""dx"":39,""dy"":163,""t"":1670},{""x"":543,""y"":461,""dx"":52,""dy"":180,""t"":1705},{""x"":542,""y"":466,""dx"":51,""dy"":185,""t"":1738},{""x"":535,""y"":472,""dx"":44,""dy"":191,""t"":1772},{""x"":523,""y"":488,""dx"":32,""dy"":207,""t"":1806},{""x"":522,""y"":481,""dx"":31,""dy"":200,""t"":1841},{""x"":510,""y"":463,""dx"":19,""dy"":182,""t"":1873},{""x"":481,""y"":440,""dx"":-10,""dy"":159,""t"":1908},{""x"":471,""y"":423,""dx"":-20,""dy"":142,""t"":1943},{""x"":469,""y"":408,""dx"":-22,""dy"":127,""t"":1976},{""x"":472,""y"":400,""dx"":-19,""dy"":119,""t"":2011},{""x"":469,""y"":394,""dx"":-22,""dy"":113,""t"":2044},{""x"":465,""y"":404,""dx"":-26,""dy"":123,""t"":2078},{""x"":452,""y"":409,""dx"":-39,""dy"":128,""t"":2113},{""x"":457,""y"":410,""dx"":-34,""dy"":129,""t"":2147},{""x"":477,""y"":425,""dx"":-14,""dy"":144,""t"":2181},{""x"":485,""y"":447,""dx"":-6,""dy"":166,""t"":2215},{""x"":507,""y"":464,""dx"":16,""dy"":183,""t"":2248},{""x"":510,""y"":442,""dx"":19,""dy"":161,""t"":2282},{""x"":507,""y"":435,""dx"":16,""dy"":154,""t"":2316},{""x"":506,""y"":423,""dx"":15,""dy"":142,""t"":2349},{""x"":496,""y"":425,""dx"":5,""dy"":144,""t"":2385},{""x"":506,""y"":419,""dx"":15,""dy"":138,""t"":2418},{""x"":494,""y"":389,""dx"":3,""dy"":108,""t"":2452},{""x"":497,""y"":420,""dx"":6,""dy"":139,""t"":2486},{""x"":494,""y"":412,""dx"":3,""dy"":131,""t"":2521},{""x"":493,""y"":425,""dx"":2,""dy"":144,""t"":2554},{""x"":490,""y"":400,""dx"":-1,""dy"":119,""t"":2586},{""x"":517,""y"":375,""dx"":26,""dy"":94,""t"":2622},{""x"":518,""y"":385,""dx"":27,""dy"":104,""t"":2655},{""x"":517,""y"":383,""dx"":26,""dy"":102,""t"":2690},{""x"":511,""y"":364,""dx"":20,""dy"":83,""t"":2724},{""x"":510,""y"":376,""dx"":19,""dy"":95,""t"":2758},{""x"":506,""y"":394,""dx"":15,""dy"":113,""t"":2793},{""x"":500,""y"":416,""dx"":9,""dy"":135,""t"":2826},{""x"":508,""y"":439,""dx"":17,""dy"":158,""t"":2860},{""x"":521,""y"":461,""dx"":30,""dy"":180,""t"":2894},{""x"":528,""y"":451,""dx"":37,""dy"":170,""t"":2928},{""x"":521,""y"":440,""dx"":30,""dy"":159,""t"":2962},{""x"":515,""y"":430,""dx"":24,""dy"":149,""t"":2994}],[{""x"":1775,""y"":448,""dx"":324,""dy"":167,""t"":4016},{""x"":1764,""y"":442,""dx"":313,""dy"":161,""t"":4051},{""x"":1731,""y"":426,""dx"":280,""dy"":145,""t"":4084},{""x"":1729,""y"":444,""dx"":278,""dy"":163,""t"":4118},{""x"":1696,""y"":454,""dx"":245,""dy"":173,""t"":4151},{""x"":1667,""y"":464,""dx"":216,""dy"":183,""t"":4183},{""x"":1656,""y"":467,""dx"":205,""dy"":186,""t"":4220},{""x"":1627,""y"":463,""dx"":176,""dy"":182,""t"":4254},{""x"":1626,""y"":488,""dx"":175,""dy"":207,""t"":4288},{""x"":1607,""y"":478,""dx"":156,""dy"":197,""t"":4322},{""x"":1592,""y"":501,""dx"":141,""dy"":220,""t"":4356},{""x"":1580,""y"":500,""dx"":129,""dy"":219,""t"":4390},{""x"":1553,""y"":471,""dx"":102,""dy"":190,""t"":4423},{""x"":1560,""y"":467,""dx"":109,""dy"":186,""t"":4457},{""x"":1549,""y"":457,""dx"":98,""dy"":176,""t"":4492},{""x"":1548,""y"":453,""dx"":97,""dy"":172,""t"":4525},{""x"":1569,""y"":443,""dx"":118,""dy"":162,""t"":4561},{""x"":1584,""y"":440,""dx"":133,""dy"":159,""t"":4592},{""x"":1587,""y"":426,""dx"":136,""dy"":145,""t"":4627},{""x"":1586,""y"":420,""dx"":135,""dy"":139,""t"":4661},{""x"":1583,""y"":440,""dx"":132,""dy"":159,""t"":4696},{""x"":1585,""y"":427,""dx"":134,""dy"":146,""t"":4730},{""x"":1577,""y"":436,""dx"":126,""dy"":155,""t"":4764},{""x"":1586,""y"":411,""dx"":135,""dy"":130,""t"":4798},{""x"":1587,""y"":420,""dx"":136,""dy"":139,""t"":4832},{""x"":1608,""y"":429,""dx"":157,""dy"":148,""t"":4866},{""x"":1614,""y"":439,""dx"":163,""dy"":158,""t"":4900},{""x"":1633,""y"":466,""dx"":182,""dy"":185,""t"":4934},{""x"":1629,""y"":462,""dx"":178,""dy"":181,""t"":4968},{""x"":1632,""y"":455,""dx"":181,""dy"":174,""t"":5002},{""x"":1619,""y"":455,""dx"":168,""dy"":174,""t"":5036},{""x"":1619,""y"":445,""dx"":168,""dy"":164,""t"":5070},{""x"":1600,""y"":435,""dx"":149,""dy"":154,""t"":5104},{""x"":1590,""y"":448,""dx"":139,""dy"":167,""t"":5138},{""x"":1583,""y"":483,""dx"":132,""dy"":202,""t"":5172},{""x"":1593,""y"":491,""dx"":142,""dy"":210,""t"":5205},{""x"":1580,""y"":468,""dx"":129,""dy"":187,""t"":5240},{""x"":1594,""y"":460,""dx"":143,""dy"":179,""t"":5273},{""x"":1600,""y"":467,""dx"":149,""dy"":186,""t"":5308},{""x"":1617,""y"":486,""dx"":166,""dy"":205,""t"":5342},{""x"":1636,""y"":516,""dx"":185,""dy"":235,""t"":5376},{""x"":1636,""y"":497,""dx"":185,""dy"":216,""t"":5411},{""x"":1616,""y"":493,""dx"":165,""dy"":212,""t"":5444},{""x"":1600,""y"":521,""dx"":149,""dy"":240,""t"":5478},{""x"":1585,""y"":517,""dx"":134,""dy"":236,""t"":5512},{""x"":1582,""y"":488,""dx"":131,""dy"":207,""t"":5546},{""x"":1586,""y"":498,""dx"":135,""dy"":217,""t"":5580},{""x"":1557,""y"":477,""dx"":106,""dy"":196,""t"":5614},{""x"":1551,""y"":508,""dx"":100,""dy"":227,""t"":5648},{""x"":1535,""y"":497,""dx"":84,""dy"":216,""t"":5682},{""x"":1523,""y"":473,""dx"":72,""dy"":192,""t"":5717},{""x"":1542,""y"":495,""dx"":91,""dy"":214,""t"":5751},{""x"":1590,""y"":504,""dx"":139,""dy"":223,""t"":5784},{""x"":1588,""y"":508,""dx"":137,""dy"":227,""t"":5818},{""x"":1596,""y"":521,""dx"":145,""dy"":240,""t"":5854},{""x"":1620,""y"":526,""dx"":169,""dy"":245,""t"":5887},{""x"":1613,""y"":538,""dx"":162,""dy"":257,""t"":5921},{""x"":1600,""y"":512,""dx"":149,""dy"":231,""t"":5954},{""x"":1596,""y"":513,""dx"":145,""dy"":232,""t"":5988}],[{""x"":984,""y"":653,""dx"":13,""dy"":102,""t"":7008},{""x"":978,""y"":595,""dx"":7,""dy"":44,""t"":7042},{""x"":990,""y"":594,""dx"":19,""dy"":43,""t"":7077},{""x"":1018,""y"":600,""dx"":47,""dy"":49,""t"":7110},{""x"":1017,""y"":619,""dx"":46,""dy"":68,""t"":7144},{""x"":998,""y"":582,""dx"":27,""dy"":31,""t"":7178},{""x"":1015,""y"":603,""dx"":44,""dy"":52,""t"":7212},{""x"":1034,""y"":620,""dx"":63,""dy"":69,""t"":7246},{""x"":1023,""y"":629,""dx"":52,""dy"":78,""t"":7280},{""x"":1029,""y"":650,""dx"":58,""dy"":99,""t"":7315},{""x"":1042,""y"":661,""dx"":71,""dy"":110,""t"":7348},{""x"":1047,""y"":681,""dx"":76,""dy"":130,""t"":7383},{""x"":1045,""y"":632,""dx"":74,""dy"":81,""t"":7416},{""x"":1034,""y"":641,""dx"":63,""dy"":90,""t"":7449},{""x"":1029,""y"":647,""dx"":58,""dy"":96,""t"":7485},{""x"":1041,""y"":595,""dx"":70,""dy"":44,""t"":7518},{""x"":1019,""y"":616,""dx"":48,""dy"":65,""t"":7552},{""x"":1000,""y"":627,""dx"":29,""dy"":76,""t"":7585},{""x"":1031,""y"":644,""dx"":60,""dy"":93,""t"":7620},{""x"":1024,""y"":591,""dx"":53,""dy"":40,""t"":7653},{""x"":1014,""y"":547,""dx"":43,""dy"":-4,""t"":7689},{""x"":1013,""y"":574,""dx"":42,""dy"":23,""t"":7722},{""x"":983,""y"":546,""dx"":12,""dy"":-5,""t"":7753},{""x"":998,""y"":573,""dx"":27,""dy"":22,""t"":7789},{""x"":972,""y"":559,""dx"":1,""dy"":8,""t"":7824},{""x"":981,""y"":572,""dx"":10,""dy"":21,""t"":7858},{""x"":999,""y"":599,""dx"":28,""dy"":48,""t"":7892},{""x"":1015,""y"":625,""dx"":44,""dy"":74,""t"":7926},{""x"":1027,""y"":644,""dx"":56,""dy"":93,""t"":7961},{""x"":991,""y"":576,""dx"":20,""dy"":25,""t"":7994},{""x"":1005,""y"":602,""dx"":34,""dy"":51,""t"":8028},{""x"":985,""y"":554,""dx"":14,""dy"":3,""t"":8062},{""x"":986,""y"":536,""dx"":15,""dy"":-15,""t"":8096},{""x"":996,""y"":563,""dx"":25,""dy"":12,""t"":8130},{""x"":1005,""y"":588,""dx"":34,""dy"":37,""t"":8162},{""x"":995,""y"":557,""dx"":24,""dy"":6,""t"":8197},{""x"":1006,""y"":579,""dx"":35,""dy"":28,""t"":8232},{""x"":1032,""y"":598,""dx"":61,""dy"":47,""t"":8266},{""x"":1043,""y"":616,""dx"":72,""dy"":65,""t"":8301},{""x"":1006,""y"":578,""dx"":35,""dy"":27,""t"":8334},{""x"":1000,""y"":554,""dx"":29,""dy"":3,""t"":8368},{""x"":1007,""y"":577,""dx"":36,""dy"":26,""t"":8435},{""x"":1006,""y"":553,""dx"":35,""dy"":2,""t"":8470},{""x"":985,""y"":530,""dx"":14,""dy"":-21,""t"":8504},{""x"":984,""y"":577,""dx"":13,""dy"":26,""t"":8538},{""x"":999,""y"":563,""dx"":28,""dy"":12,""t"":8572},{""x"":1009,""y"":591,""dx"":38,""dy"":40,""t"":8606},{""x"":1014,""y"":565,""dx"":43,""dy"":14,""t"":8641},{""x"":1005,""y"":550,""dx"":34,""dy"":-1,""t"":8674},{""x"":1032,""y"":592,""dx"":61,""dy"":41,""t"":8708},{""x"":1023,""y"":557,""dx"":52,""dy"":6,""t"":8742},{""x"":1007,""y"":528,""dx"":36,""dy"":-23,""t"":8776},{""x"":1012,""y"":568,""dx"":41,""dy"":17,""t"":8809},{""x"":1018,""y"":599,""dx"":47,""dy"":48,""t"":8843},{""x"":1014,""y"":632,""dx"":43,""dy"":81,""t"":8877},{""x"":1029,""y"":661,""dx"":58,""dy"":110,""t"":8912},{""x"":1035,""y"":672,""dx"":64,""dy"":121,""t"":8946},{""x"":1044,""y"":680,""dx"":73,""dy"":129,""t"":8980},{""x"":1047,""y"":690,""dx"":76,""dy"":139,""t"":9014}],[{""x"":560,""y"":801,""dx"":69,""dy"":-20,""t"":10034},{""x"":541,""y"":792,""dx"":50,""dy"":-29,""t"":10068},{""x"":525,""y"":766,""dx"":34,""dy"":-55,""t"":10102},{""x"":517,""y"":722,""dx"":26,""dy"":-99,""t"":10137},{""x"":539,""y"":741,""dx"":48,""dy"":-80,""t"":10171},{""x"":541,""y"":747,""dx"":50,""dy"":-74,""t"":10204},{""x"":537,""y"":746,""dx"":46,""dy"":-75,""t"":10238},{""x"":537,""y"":734,""dx"":46,""dy"":-87,""t"":10272},{""x"":529,""y"":736,""dx"":38,""dy"":-85,""t"":10305},{""x"":539,""y"":741,""dx"":48,""dy"":-80,""t"":10340},{""x"":537,""y"":732,""dx"":46,""dy"":-89,""t"":10375},{""x"":550,""y"":733,""dx"":59,""dy"":-88,""t"":10408},{""x"":555,""y"":741,""dx"":64,""dy"":-80,""t"":10444},{""x"":572,""y"":754,""dx"":81,""dy"":-67,""t"":10476},{""x"":547,""y"":758,""dx"":56,""dy"":-63,""t"":10510},{""x"":547,""y"":750,""dx"":56,""dy"":-71,""t"":10545},{""x"":559,""y"":747,""dx"":68,""dy"":-74,""t"":10578},{""x"":575,""y"":748,""dx"":84,""dy"":-73,""t"":10612},{""x"":600,""y"":739,""dx"":109,""dy"":-82,""t"":10646},{""x"":627,""y"":733,""dx"":136,""dy"":-88,""t"":10680},{""x"":641,""y"":719,""dx"":150,""dy"":-102,""t"":10714},{""x"":645,""y"":729,""dx"":154,""dy"":-92,""t"":10747},{""x"":644,""y"":731,""dx"":153,""dy"":-90,""t"":10782},{""x"":653,""y"":726,""dx"":162,""dy"":-95,""t"":10816},{""x"":648,""y"":741,""dx"":157,""dy"":-80,""t"":10851},{""x"":636,""y"":741,""dx"":145,""dy"":-80,""t"":10885},{""x"":641,""y"":740,""dx"":150,""dy"":-81,""t"":10918},{""x"":651,""y"":739,""dx"":160,""dy"":-82,""t"":10952},{""x"":665,""y"":729,""dx"":174,""dy"":-92,""t"":10986},{""x"":666,""y"":721,""dx"":175,""dy"":-100,""t"":11020},{""x"":661,""y"":710,""dx"":170,""dy"":-111,""t"":11055},{""x"":669,""y"":714,""dx"":178,""dy"":-107,""t"":11088},{""x"":660,""y"":708,""dx"":169,""dy"":-113,""t"":11122},{""x"":665,""y"":706,""dx"":174,""dy"":-115,""t"":11156},{""x"":663,""y"":700,""dx"":172,""dy"":-121,""t"":11190},{""x"":683,""y"":712,""dx"":192,""dy"":-109,""t"":11223},{""x"":685,""y"":709,""dx"":194,""dy"":-112,""t"":11258},{""x"":686,""y"":707,""dx"":195,""dy"":-114,""t"":11290},{""x"":685,""y"":710,""dx"":194,""dy"":-111,""t"":11326},{""x"":686,""y"":715,""dx"":195,""dy"":-106,""t"":11360},{""x"":636,""y"":702,""dx"":145,""dy"":-119,""t"":11395},{""x"":642,""y"":718,""dx"":151,""dy"":-103,""t"":11428},{""x"":616,""y"":707,""dx"":125,""dy"":-114,""t"":11461},{""x"":615,""y"":716,""dx"":124,""dy"":-105,""t"":11496},{""x"":612,""y"":717,""dx"":121,""dy"":-104,""t"":11530},{""x"":612,""y"":721,""dx"":121,""dy"":-100,""t"":11565},{""x"":601,""y"":721,""dx"":110,""dy"":-100,""t"":11598},{""x"":602,""y"":728,""dx"":111,""dy"":-93,""t"":11632},{""x"":568,""y"":717,""dx"":77,""dy"":-104,""t"":11666},{""x"":568,""y"":717,""dx"":77,""dy"":-104,""t"":11700},{""x"":569,""y"":716,""dx"":78,""dy"":-105,""t"":11731},{""x"":580,""y"":737,""dx"":89,""dy"":-84,""t"":11768},{""x"":591,""y"":738,""dx"":100,""dy"":-83,""t"":11802},{""x"":598,""y"":748,""dx"":107,""dy"":-73,""t"":11836},{""x"":603,""y"":750,""dx"":112,""dy"":-71,""t"":11871},{""x"":614,""y"":760,""dx"":123,""dy"":-61,""t"":11905},{""x"":604,""y"":750,""dx"":113,""dy"":-71,""t"":11938},{""x"":587,""y"":742,""dx"":96,""dy"":-79,""t"":11972},{""x"":608,""y"":748,""dx"":117,""dy"":-73,""t"":12005}],[{""x"":1314,""y"":794,""dx"":-137,""dy"":-27,""t"":13059},{""x"":1336,""y"":772,""dx"":-115,""dy"":-49,""t"":13094},{""x"":1352,""y"":761,""dx"":-99,""dy"":-60,""t"":13127},{""x"":1355,""y"":789,""dx"":-96,""dy"":-32,""t"":13162},{""x"":1336,""y"":811,""dx"":-115,""dy"":-10,""t"":13196},{""x"":1335,""y"":840,""dx"":-116,""dy"":19,""t"":13230},{""x"":1356,""y"":856,""dx"":-95,""dy"":35,""t"":13264},{""x"":1331,""y"":868,""dx"":-120,""dy"":47,""t"":13296},{""x"":1325,""y"":877,""dx"":-126,""dy"":56,""t"":13332},{""x"":1318,""y"":880,""dx"":-133,""dy"":59,""t"":13366},{""x"":1340,""y"":880,""dx"":-111,""dy"":59,""t"":13401},{""x"":1317,""y"":823,""dx"":-134,""dy"":2,""t"":13434},{""x"":1308,""y"":832,""dx"":-143,""dy"":11,""t"":13468},{""x"":1311,""y"":838,""dx"":-140,""dy"":17,""t"":13502},{""x"":1313,""y"":845,""dx"":-138,""dy"":24,""t"":13536},{""x"":1309,""y"":797,""dx"":-142,""dy"":-24,""t"":13570},{""x"":1284,""y"":761,""dx"":-167,""dy"":-60,""t"":13605},{""x"":1243,""y"":705,""dx"":-208,""dy"":-116,""t"":13638},{""x"":1259,""y"":736,""dx"":-192,""dy"":-85,""t"":13671},{""x"":1266,""y"":758,""dx"":-185,""dy"":-63,""t"":13705},{""x"":1269,""y"":781,""dx"":-182,""dy"":-40,""t"":13740},{""x"":1278,""y"":811,""dx"":-173,""dy"":-10,""t"":13774},{""x"":1318,""y"":777,""dx"":-133,""dy"":-44,""t"":13808},{""x"":1321,""y"":795,""dx"":-130,""dy"":-26,""t"":13843},{""x"":1329,""y"":767,""dx"":-122,""dy"":-54,""t"":13877},{""x"":1294,""y"":716,""dx"":-157,""dy"":-105,""t"":13910},{""x"":1298,""y"":748,""dx"":-153,""dy"":-73,""t"":13944},{""x"":1280,""y"":731,""dx"":-171,""dy"":-90,""t"":13978},{""x"":1235,""y"":701,""dx"":-216,""dy"":-120,""t"":14012},{""x"":1253,""y"":734,""dx"":-198,""dy"":-87,""t"":14046},{""x"":1264,""y"":753,""dx"":-187,""dy"":-68,""t"":14080},{""x"":1264,""y"":755,""dx"":-187,""dy"":-66,""t"":14115},{""x"":1287,""y"":768,""dx"":-164,""dy"":-53,""t"":14148},{""x"":1289,""y"":772,""dx"":-162,""dy"":-49,""t"":14183},{""x"":1285,""y"":777,""dx"":-166,""dy"":-44,""t"":14216},{""x"":1290,""y"":800,""dx"":-161,""dy"":-21,""t"":14250},{""x"":1312,""y"":836,""dx"":-139,""dy"":15,""t"":14285},{""x"":1284,""y"":806,""dx"":-167,""dy"":-15,""t"":14317},{""x"":1270,""y"":777,""dx"":-181,""dy"":-44,""t"":14353},{""x"":1259,""y"":743,""dx"":-192,""dy"":-78,""t"":14387},{""x"":1265,""y"":720,""dx"":-186,""dy"":-101,""t"":14420},{""x"":1311,""y"":771,""dx"":-140,""dy"":-50,""t"":14454},{""x"":1350,""y"":815,""dx"":-101,""dy"":-6,""t"":14486},{""x"":1353,""y"":795,""dx"":-98,""dy"":-26,""t"":14522},{""x"":1330,""y"":752,""dx"":-121,""dy"":-69,""t"":14555},{""x"":1313,""y"":721,""dx"":-138,""dy"":-100,""t"":14590},{""x"":1282,""y"":697,""dx"":-169,""dy"":-124,""t"":14624},{""x"":1266,""y"":731,""dx"":-185,""dy"":-90,""t"":14658},{""x"":1243,""y"":699,""dx"":-208,""dy"":-122,""t"":14692},{""x"":1244,""y"":681,""dx"":-207,""dy"":-140,""t"":14726},{""x"":1213,""y"":679,""dx"":-238,""dy"":-142,""t"":14760},{""x"":1194,""y"":662,""dx"":-257,""dy"":-159,""t"":14795},{""x"":1173,""y"":641,""dx"":-278,""dy"":-180,""t"":14827},{""x"":1160,""y"":689,""dx"":-291,""dy"":-132,""t"":14861},{""x"":1151,""y"":731,""dx"":-300,""dy"":-90,""t"":14893},{""x"":1153,""y"":714,""dx"":-298,""dy"":-107,""t"":14930},{""x"":1210,""y"":771,""dx"":-241,""dy"":-50,""t"":14964},{""x"":1208,""y"":739,""dx"":-243,""dy"":-82,""t"":14998},{""x"":1218,""y"":718,""dx"":-233,""dy"":-103,""t"":15033}]]","[86.66666666666667,11.864406779661017,100,81.35593220338984,67.79661016949152]","[{""x"":23.133333333333333,""y"":153.65,""r"":57.653441111774285},{""x"":155.22033898305085,""y"":189.79661016949152,""r"":43.4232822586494},{""x"":41.20338983050848,""y"":47.389830508474574,""r"":35.397119192285956},{""x"":113.96610169491525,""y"":-88.44067796610169,""r"":46.48227754559701},{""x"":-169.23728813559322,""y"":-53.25423728813559,""r"":65.53393940123249}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
