"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2290","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2296","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7799","0.0-2.0-0.0","","","","","5502","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9592","0.0-2.0-1.0","","","","","1792","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13740","0.0-3.0","","","","","4146"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16833","0.0-4.0","","","","","","","","","762","","","","","","","","","","","","","","","",""
"","html-button-response","6","17513","0.0-5.0-0.0","","","","","678","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27450","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28512","0.0-5.0-2.0","","","","","1062","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45518","0.0-5.0-3.0","","","","","","","","","","[[{""x"":576,""y"":173,""dx"":85,""dy"":-108,""t"":989},{""x"":570,""y"":172,""dx"":79,""dy"":-109,""t"":1021},{""x"":564,""y"":172,""dx"":73,""dy"":-109,""t"":1054},{""x"":552,""y"":171,""dx"":61,""dy"":-110,""t"":1090},{""x"":553,""y"":167,""dx"":62,""dy"":-114,""t"":1125},{""x"":555,""y"":163,""dx"":64,""dy"":-118,""t"":1157},{""x"":553,""y"":148,""dx"":62,""dy"":-133,""t"":1192},{""x"":553,""y"":142,""dx"":62,""dy"":-139,""t"":1226},{""x"":558,""y"":155,""dx"":67,""dy"":-126,""t"":1261},{""x"":557,""y"":165,""dx"":66,""dy"":-116,""t"":1294},{""x"":556,""y"":169,""dx"":65,""dy"":-112,""t"":1328},{""x"":557,""y"":173,""dx"":66,""dy"":-108,""t"":1363},{""x"":556,""y"":186,""dx"":65,""dy"":-95,""t"":1395},{""x"":566,""y"":192,""dx"":75,""dy"":-89,""t"":1429},{""x"":548,""y"":199,""dx"":57,""dy"":-82,""t"":1465},{""x"":536,""y"":208,""dx"":45,""dy"":-73,""t"":1497},{""x"":540,""y"":209,""dx"":49,""dy"":-72,""t"":1531},{""x"":539,""y"":206,""dx"":48,""dy"":-75,""t"":1567},{""x"":526,""y"":223,""dx"":35,""dy"":-58,""t"":1600},{""x"":521,""y"":241,""dx"":30,""dy"":-40,""t"":1634},{""x"":516,""y"":235,""dx"":25,""dy"":-46,""t"":1669},{""x"":520,""y"":220,""dx"":29,""dy"":-61,""t"":1701},{""x"":522,""y"":215,""dx"":31,""dy"":-66,""t"":1735},{""x"":528,""y"":213,""dx"":37,""dy"":-68,""t"":1771},{""x"":532,""y"":233,""dx"":41,""dy"":-48,""t"":1804},{""x"":544,""y"":221,""dx"":53,""dy"":-60,""t"":1837},{""x"":554,""y"":217,""dx"":63,""dy"":-64,""t"":1873},{""x"":580,""y"":214,""dx"":89,""dy"":-67,""t"":1906},{""x"":589,""y"":223,""dx"":98,""dy"":-58,""t"":1939},{""x"":589,""y"":224,""dx"":98,""dy"":-57,""t"":1975},{""x"":588,""y"":214,""dx"":97,""dy"":-67,""t"":2008},{""x"":587,""y"":213,""dx"":96,""dy"":-68,""t"":2041},{""x"":589,""y"":189,""dx"":98,""dy"":-92,""t"":2077},{""x"":594,""y"":167,""dx"":103,""dy"":-114,""t"":2110},{""x"":594,""y"":173,""dx"":103,""dy"":-108,""t"":2144},{""x"":589,""y"":181,""dx"":98,""dy"":-100,""t"":2179},{""x"":577,""y"":185,""dx"":86,""dy"":-96,""t"":2211},{""x"":579,""y"":180,""dx"":88,""dy"":-101,""t"":2245},{""x"":579,""y"":178,""dx"":88,""dy"":-103,""t"":2281},{""x"":578,""y"":188,""dx"":87,""dy"":-93,""t"":2313},{""x"":571,""y"":209,""dx"":80,""dy"":-72,""t"":2346},{""x"":564,""y"":217,""dx"":73,""dy"":-64,""t"":2381},{""x"":568,""y"":218,""dx"":77,""dy"":-63,""t"":2416},{""x"":571,""y"":211,""dx"":80,""dy"":-70,""t"":2449},{""x"":555,""y"":219,""dx"":64,""dy"":-62,""t"":2483},{""x"":542,""y"":218,""dx"":51,""dy"":-63,""t"":2519},{""x"":545,""y"":227,""dx"":54,""dy"":-54,""t"":2552},{""x"":547,""y"":234,""dx"":56,""dy"":-47,""t"":2586},{""x"":544,""y"":225,""dx"":53,""dy"":-56,""t"":2622},{""x"":546,""y"":203,""dx"":55,""dy"":-78,""t"":2653},{""x"":547,""y"":218,""dx"":56,""dy"":-63,""t"":2687},{""x"":540,""y"":225,""dx"":49,""dy"":-56,""t"":2722},{""x"":535,""y"":239,""dx"":44,""dy"":-42,""t"":2755},{""x"":536,""y"":244,""dx"":45,""dy"":-37,""t"":2792},{""x"":532,""y"":246,""dx"":41,""dy"":-35,""t"":2824},{""x"":527,""y"":251,""dx"":36,""dy"":-30,""t"":2858},{""x"":531,""y"":266,""dx"":40,""dy"":-15,""t"":2894},{""x"":530,""y"":259,""dx"":39,""dy"":-22,""t"":2926},{""x"":533,""y"":260,""dx"":42,""dy"":-21,""t"":2960},{""x"":530,""y"":272,""dx"":39,""dy"":-9,""t"":2996}],[{""x"":1519,""y"":406,""dx"":68,""dy"":125,""t"":4013},{""x"":1504,""y"":392,""dx"":53,""dy"":111,""t"":4049},{""x"":1493,""y"":389,""dx"":42,""dy"":108,""t"":4081},{""x"":1481,""y"":389,""dx"":30,""dy"":108,""t"":4116},{""x"":1471,""y"":389,""dx"":20,""dy"":108,""t"":4151},{""x"":1459,""y"":397,""dx"":8,""dy"":116,""t"":4183},{""x"":1448,""y"":399,""dx"":-3,""dy"":118,""t"":4218},{""x"":1440,""y"":401,""dx"":-11,""dy"":120,""t"":4251},{""x"":1435,""y"":411,""dx"":-16,""dy"":130,""t"":4288},{""x"":1430,""y"":422,""dx"":-21,""dy"":141,""t"":4319},{""x"":1426,""y"":431,""dx"":-25,""dy"":150,""t"":4353},{""x"":1430,""y"":432,""dx"":-21,""dy"":151,""t"":4387},{""x"":1430,""y"":437,""dx"":-21,""dy"":156,""t"":4423},{""x"":1433,""y"":443,""dx"":-18,""dy"":162,""t"":4456},{""x"":1435,""y"":450,""dx"":-16,""dy"":169,""t"":4489},{""x"":1436,""y"":453,""dx"":-15,""dy"":172,""t"":4525},{""x"":1439,""y"":462,""dx"":-12,""dy"":181,""t"":4557},{""x"":1440,""y"":465,""dx"":-11,""dy"":184,""t"":4591},{""x"":1441,""y"":468,""dx"":-10,""dy"":187,""t"":4626},{""x"":1442,""y"":469,""dx"":-9,""dy"":188,""t"":4658},{""x"":1446,""y"":463,""dx"":-5,""dy"":182,""t"":4694},{""x"":1449,""y"":461,""dx"":-2,""dy"":180,""t"":4728},{""x"":1450,""y"":459,""dx"":-1,""dy"":178,""t"":4763},{""x"":1459,""y"":424,""dx"":8,""dy"":143,""t"":4796},{""x"":1466,""y"":417,""dx"":15,""dy"":136,""t"":4829},{""x"":1472,""y"":369,""dx"":21,""dy"":88,""t"":4865},{""x"":1479,""y"":349,""dx"":28,""dy"":68,""t"":4898},{""x"":1501,""y"":335,""dx"":50,""dy"":54,""t"":4933},{""x"":1519,""y"":372,""dx"":68,""dy"":91,""t"":4967},{""x"":1524,""y"":384,""dx"":73,""dy"":103,""t"":4999},{""x"":1538,""y"":397,""dx"":87,""dy"":116,""t"":5033},{""x"":1539,""y"":418,""dx"":88,""dy"":137,""t"":5069},{""x"":1547,""y"":408,""dx"":96,""dy"":127,""t"":5101},{""x"":1531,""y"":409,""dx"":80,""dy"":128,""t"":5136},{""x"":1523,""y"":410,""dx"":72,""dy"":129,""t"":5171},{""x"":1527,""y"":419,""dx"":76,""dy"":138,""t"":5204},{""x"":1534,""y"":429,""dx"":83,""dy"":148,""t"":5238},{""x"":1542,""y"":450,""dx"":91,""dy"":169,""t"":5274},{""x"":1554,""y"":474,""dx"":103,""dy"":193,""t"":5305},{""x"":1562,""y"":488,""dx"":111,""dy"":207,""t"":5340},{""x"":1565,""y"":502,""dx"":114,""dy"":221,""t"":5375},{""x"":1562,""y"":493,""dx"":111,""dy"":212,""t"":5407},{""x"":1559,""y"":485,""dx"":108,""dy"":204,""t"":5442},{""x"":1540,""y"":471,""dx"":89,""dy"":190,""t"":5477},{""x"":1518,""y"":425,""dx"":67,""dy"":144,""t"":5510},{""x"":1490,""y"":399,""dx"":39,""dy"":118,""t"":5544},{""x"":1467,""y"":379,""dx"":16,""dy"":98,""t"":5580},{""x"":1476,""y"":386,""dx"":25,""dy"":105,""t"":5612},{""x"":1458,""y"":377,""dx"":7,""dy"":96,""t"":5645},{""x"":1436,""y"":365,""dx"":-15,""dy"":84,""t"":5681},{""x"":1418,""y"":356,""dx"":-33,""dy"":75,""t"":5713},{""x"":1414,""y"":352,""dx"":-37,""dy"":71,""t"":5747},{""x"":1416,""y"":375,""dx"":-35,""dy"":94,""t"":5783},{""x"":1429,""y"":381,""dx"":-22,""dy"":100,""t"":5815},{""x"":1435,""y"":377,""dx"":-16,""dy"":96,""t"":5848},{""x"":1448,""y"":381,""dx"":-3,""dy"":100,""t"":5883},{""x"":1449,""y"":377,""dx"":-2,""dy"":96,""t"":5918},{""x"":1451,""y"":373,""dx"":0,""dy"":92,""t"":5950},{""x"":1455,""y"":382,""dx"":4,""dy"":101,""t"":5985}],[{""x"":830,""y"":402,""dx"":-141,""dy"":-149,""t"":7007},{""x"":834,""y"":384,""dx"":-137,""dy"":-167,""t"":7039},{""x"":822,""y"":373,""dx"":-149,""dy"":-178,""t"":7074},{""x"":817,""y"":370,""dx"":-154,""dy"":-181,""t"":7109},{""x"":813,""y"":364,""dx"":-158,""dy"":-187,""t"":7142},{""x"":822,""y"":356,""dx"":-149,""dy"":-195,""t"":7175},{""x"":836,""y"":358,""dx"":-135,""dy"":-193,""t"":7211},{""x"":849,""y"":360,""dx"":-122,""dy"":-191,""t"":7242},{""x"":857,""y"":358,""dx"":-114,""dy"":-193,""t"":7277},{""x"":896,""y"":384,""dx"":-75,""dy"":-167,""t"":7311},{""x"":900,""y"":377,""dx"":-71,""dy"":-174,""t"":7347},{""x"":898,""y"":378,""dx"":-73,""dy"":-173,""t"":7379},{""x"":905,""y"":379,""dx"":-66,""dy"":-172,""t"":7413},{""x"":893,""y"":387,""dx"":-78,""dy"":-164,""t"":7449},{""x"":884,""y"":383,""dx"":-87,""dy"":-168,""t"":7482},{""x"":862,""y"":383,""dx"":-109,""dy"":-168,""t"":7516},{""x"":855,""y"":397,""dx"":-116,""dy"":-154,""t"":7548},{""x"":841,""y"":389,""dx"":-130,""dy"":-162,""t"":7585},{""x"":867,""y"":419,""dx"":-104,""dy"":-132,""t"":7617},{""x"":854,""y"":428,""dx"":-117,""dy"":-123,""t"":7652},{""x"":833,""y"":411,""dx"":-138,""dy"":-140,""t"":7687},{""x"":839,""y"":388,""dx"":-132,""dy"":-163,""t"":7720},{""x"":900,""y"":412,""dx"":-71,""dy"":-139,""t"":7754},{""x"":921,""y"":416,""dx"":-50,""dy"":-135,""t"":7789},{""x"":934,""y"":441,""dx"":-37,""dy"":-110,""t"":7821},{""x"":950,""y"":466,""dx"":-21,""dy"":-85,""t"":7856},{""x"":944,""y"":477,""dx"":-27,""dy"":-74,""t"":7891},{""x"":933,""y"":476,""dx"":-38,""dy"":-75,""t"":7923},{""x"":923,""y"":475,""dx"":-48,""dy"":-76,""t"":7957},{""x"":908,""y"":478,""dx"":-63,""dy"":-73,""t"":7991},{""x"":896,""y"":477,""dx"":-75,""dy"":-74,""t"":8027},{""x"":884,""y"":482,""dx"":-87,""dy"":-69,""t"":8060},{""x"":857,""y"":488,""dx"":-114,""dy"":-63,""t"":8093},{""x"":842,""y"":469,""dx"":-129,""dy"":-82,""t"":8129},{""x"":826,""y"":438,""dx"":-145,""dy"":-113,""t"":8162},{""x"":816,""y"":425,""dx"":-155,""dy"":-126,""t"":8195},{""x"":804,""y"":427,""dx"":-167,""dy"":-124,""t"":8231},{""x"":819,""y"":416,""dx"":-152,""dy"":-135,""t"":8263},{""x"":819,""y"":413,""dx"":-152,""dy"":-138,""t"":8298},{""x"":818,""y"":417,""dx"":-153,""dy"":-134,""t"":8333},{""x"":806,""y"":405,""dx"":-165,""dy"":-146,""t"":8366},{""x"":811,""y"":413,""dx"":-160,""dy"":-138,""t"":8400},{""x"":817,""y"":417,""dx"":-154,""dy"":-134,""t"":8435},{""x"":868,""y"":474,""dx"":-103,""dy"":-77,""t"":8468},{""x"":856,""y"":484,""dx"":-115,""dy"":-67,""t"":8501},{""x"":848,""y"":479,""dx"":-123,""dy"":-72,""t"":8536},{""x"":850,""y"":471,""dx"":-121,""dy"":-80,""t"":8570},{""x"":843,""y"":464,""dx"":-128,""dy"":-87,""t"":8603},{""x"":848,""y"":456,""dx"":-123,""dy"":-95,""t"":8639},{""x"":847,""y"":437,""dx"":-124,""dy"":-114,""t"":8673},{""x"":838,""y"":436,""dx"":-133,""dy"":-115,""t"":8706},{""x"":863,""y"":413,""dx"":-108,""dy"":-138,""t"":8741},{""x"":865,""y"":406,""dx"":-106,""dy"":-145,""t"":8774},{""x"":851,""y"":396,""dx"":-120,""dy"":-155,""t"":8809},{""x"":839,""y"":389,""dx"":-132,""dy"":-162,""t"":8841},{""x"":798,""y"":393,""dx"":-173,""dy"":-158,""t"":8877},{""x"":766,""y"":385,""dx"":-205,""dy"":-166,""t"":8909},{""x"":775,""y"":391,""dx"":-196,""dy"":-160,""t"":8944},{""x"":780,""y"":399,""dx"":-191,""dy"":-152,""t"":8979}],[{""x"":450,""y"":554,""dx"":-41,""dy"":-267,""t"":10032},{""x"":454,""y"":556,""dx"":-37,""dy"":-265,""t"":10067},{""x"":451,""y"":559,""dx"":-40,""dy"":-262,""t"":10099},{""x"":469,""y"":566,""dx"":-22,""dy"":-255,""t"":10133},{""x"":488,""y"":575,""dx"":-3,""dy"":-246,""t"":10169},{""x"":506,""y"":582,""dx"":15,""dy"":-239,""t"":10203},{""x"":521,""y"":578,""dx"":30,""dy"":-243,""t"":10235},{""x"":524,""y"":574,""dx"":33,""dy"":-247,""t"":10271},{""x"":541,""y"":571,""dx"":50,""dy"":-250,""t"":10304},{""x"":544,""y"":571,""dx"":53,""dy"":-250,""t"":10338},{""x"":541,""y"":575,""dx"":50,""dy"":-246,""t"":10373},{""x"":535,""y"":570,""dx"":44,""dy"":-251,""t"":10406},{""x"":533,""y"":581,""dx"":42,""dy"":-240,""t"":10440},{""x"":529,""y"":606,""dx"":38,""dy"":-215,""t"":10475},{""x"":531,""y"":621,""dx"":40,""dy"":-200,""t"":10508},{""x"":536,""y"":640,""dx"":45,""dy"":-181,""t"":10541},{""x"":538,""y"":658,""dx"":47,""dy"":-163,""t"":10577},{""x"":545,""y"":677,""dx"":54,""dy"":-144,""t"":10609},{""x"":547,""y"":686,""dx"":56,""dy"":-135,""t"":10643},{""x"":541,""y"":712,""dx"":50,""dy"":-109,""t"":10679},{""x"":541,""y"":714,""dx"":50,""dy"":-107,""t"":10711},{""x"":541,""y"":713,""dx"":50,""dy"":-108,""t"":10745},{""x"":546,""y"":707,""dx"":55,""dy"":-114,""t"":10779},{""x"":550,""y"":702,""dx"":59,""dy"":-119,""t"":10815},{""x"":553,""y"":697,""dx"":62,""dy"":-124,""t"":10847},{""x"":561,""y"":695,""dx"":70,""dy"":-126,""t"":10881},{""x"":566,""y"":689,""dx"":75,""dy"":-132,""t"":10916},{""x"":566,""y"":690,""dx"":75,""dy"":-131,""t"":10951},{""x"":557,""y"":693,""dx"":66,""dy"":-128,""t"":10984},{""x"":560,""y"":687,""dx"":69,""dy"":-134,""t"":11018},{""x"":562,""y"":689,""dx"":71,""dy"":-132,""t"":11053},{""x"":561,""y"":694,""dx"":70,""dy"":-127,""t"":11086},{""x"":557,""y"":692,""dx"":66,""dy"":-129,""t"":11120},{""x"":554,""y"":690,""dx"":63,""dy"":-131,""t"":11153},{""x"":549,""y"":696,""dx"":58,""dy"":-125,""t"":11189},{""x"":548,""y"":700,""dx"":57,""dy"":-121,""t"":11221},{""x"":554,""y"":701,""dx"":63,""dy"":-120,""t"":11256},{""x"":557,""y"":686,""dx"":66,""dy"":-135,""t"":11292},{""x"":567,""y"":698,""dx"":76,""dy"":-123,""t"":11324},{""x"":566,""y"":689,""dx"":75,""dy"":-132,""t"":11358},{""x"":567,""y"":683,""dx"":76,""dy"":-138,""t"":11393},{""x"":562,""y"":696,""dx"":71,""dy"":-125,""t"":11426},{""x"":560,""y"":700,""dx"":69,""dy"":-121,""t"":11459},{""x"":551,""y"":712,""dx"":60,""dy"":-109,""t"":11494},{""x"":548,""y"":720,""dx"":57,""dy"":-101,""t"":11529},{""x"":552,""y"":717,""dx"":61,""dy"":-104,""t"":11562},{""x"":553,""y"":702,""dx"":62,""dy"":-119,""t"":11596},{""x"":536,""y"":703,""dx"":45,""dy"":-118,""t"":11631},{""x"":543,""y"":711,""dx"":52,""dy"":-110,""t"":11663},{""x"":539,""y"":729,""dx"":48,""dy"":-92,""t"":11697},{""x"":552,""y"":727,""dx"":61,""dy"":-94,""t"":11733},{""x"":554,""y"":744,""dx"":63,""dy"":-77,""t"":11765},{""x"":554,""y"":756,""dx"":63,""dy"":-65,""t"":11799},{""x"":556,""y"":754,""dx"":65,""dy"":-67,""t"":11835},{""x"":552,""y"":749,""dx"":61,""dy"":-72,""t"":11867},{""x"":552,""y"":746,""dx"":61,""dy"":-75,""t"":11902},{""x"":556,""y"":743,""dx"":65,""dy"":-78,""t"":11937},{""x"":560,""y"":724,""dx"":69,""dy"":-97,""t"":11969},{""x"":560,""y"":712,""dx"":69,""dy"":-109,""t"":12003}],[{""x"":1342,""y"":705,""dx"":-109,""dy"":-116,""t"":13024},{""x"":1328,""y"":703,""dx"":-123,""dy"":-118,""t"":13057},{""x"":1312,""y"":706,""dx"":-139,""dy"":-115,""t"":13093},{""x"":1314,""y"":713,""dx"":-137,""dy"":-108,""t"":13125},{""x"":1310,""y"":720,""dx"":-141,""dy"":-101,""t"":13159},{""x"":1307,""y"":727,""dx"":-144,""dy"":-94,""t"":13195},{""x"":1305,""y"":733,""dx"":-146,""dy"":-88,""t"":13228},{""x"":1306,""y"":748,""dx"":-145,""dy"":-73,""t"":13261},{""x"":1304,""y"":754,""dx"":-147,""dy"":-67,""t"":13298},{""x"":1298,""y"":759,""dx"":-153,""dy"":-62,""t"":13329},{""x"":1293,""y"":752,""dx"":-158,""dy"":-69,""t"":13363},{""x"":1305,""y"":749,""dx"":-146,""dy"":-72,""t"":13399},{""x"":1307,""y"":748,""dx"":-144,""dy"":-73,""t"":13431},{""x"":1311,""y"":751,""dx"":-140,""dy"":-70,""t"":13465},{""x"":1317,""y"":746,""dx"":-134,""dy"":-75,""t"":13501},{""x"":1315,""y"":748,""dx"":-136,""dy"":-73,""t"":13534},{""x"":1314,""y"":748,""dx"":-137,""dy"":-73,""t"":13568},{""x"":1305,""y"":746,""dx"":-146,""dy"":-75,""t"":13603},{""x"":1313,""y"":745,""dx"":-138,""dy"":-76,""t"":13635},{""x"":1306,""y"":755,""dx"":-145,""dy"":-66,""t"":13669},{""x"":1298,""y"":757,""dx"":-153,""dy"":-64,""t"":13705},{""x"":1298,""y"":754,""dx"":-153,""dy"":-67,""t"":13737},{""x"":1308,""y"":743,""dx"":-143,""dy"":-78,""t"":13772},{""x"":1301,""y"":734,""dx"":-150,""dy"":-87,""t"":13808},{""x"":1305,""y"":734,""dx"":-146,""dy"":-87,""t"":13839},{""x"":1306,""y"":737,""dx"":-145,""dy"":-84,""t"":13873},{""x"":1300,""y"":760,""dx"":-151,""dy"":-61,""t"":13909},{""x"":1305,""y"":758,""dx"":-146,""dy"":-63,""t"":13941},{""x"":1300,""y"":767,""dx"":-151,""dy"":-54,""t"":13976},{""x"":1298,""y"":773,""dx"":-153,""dy"":-48,""t"":14011},{""x"":1297,""y"":778,""dx"":-154,""dy"":-43,""t"":14042},{""x"":1302,""y"":773,""dx"":-149,""dy"":-48,""t"":14078},{""x"":1309,""y"":763,""dx"":-142,""dy"":-58,""t"":14112},{""x"":1321,""y"":754,""dx"":-130,""dy"":-67,""t"":14146},{""x"":1320,""y"":750,""dx"":-131,""dy"":-71,""t"":14180},{""x"":1316,""y"":745,""dx"":-135,""dy"":-76,""t"":14214},{""x"":1303,""y"":734,""dx"":-148,""dy"":-87,""t"":14249},{""x"":1287,""y"":733,""dx"":-164,""dy"":-88,""t"":14281},{""x"":1279,""y"":729,""dx"":-172,""dy"":-92,""t"":14315},{""x"":1272,""y"":726,""dx"":-179,""dy"":-95,""t"":14348},{""x"":1267,""y"":716,""dx"":-184,""dy"":-105,""t"":14385},{""x"":1261,""y"":730,""dx"":-190,""dy"":-91,""t"":14417},{""x"":1256,""y"":742,""dx"":-195,""dy"":-79,""t"":14451},{""x"":1254,""y"":747,""dx"":-197,""dy"":-74,""t"":14485},{""x"":1271,""y"":762,""dx"":-180,""dy"":-59,""t"":14521},{""x"":1267,""y"":737,""dx"":-184,""dy"":-84,""t"":14553},{""x"":1273,""y"":756,""dx"":-178,""dy"":-65,""t"":14588},{""x"":1292,""y"":768,""dx"":-159,""dy"":-53,""t"":14623},{""x"":1317,""y"":773,""dx"":-134,""dy"":-48,""t"":14655},{""x"":1310,""y"":779,""dx"":-141,""dy"":-42,""t"":14690},{""x"":1314,""y"":785,""dx"":-137,""dy"":-36,""t"":14724},{""x"":1328,""y"":782,""dx"":-123,""dy"":-39,""t"":14756},{""x"":1328,""y"":781,""dx"":-123,""dy"":-40,""t"":14794},{""x"":1318,""y"":791,""dx"":-133,""dy"":-30,""t"":14825},{""x"":1310,""y"":794,""dx"":-141,""dy"":-27,""t"":14859},{""x"":1305,""y"":791,""dx"":-146,""dy"":-30,""t"":14895},{""x"":1307,""y"":790,""dx"":-144,""dy"":-31,""t"":14927},{""x"":1317,""y"":782,""dx"":-134,""dy"":-39,""t"":14961},{""x"":1331,""y"":787,""dx"":-120,""dy"":-34,""t"":14997}]]","[100,89.83050847457628,59.32203389830508,74.57627118644068,89.83050847457628]","[{""x"":63.3,""y"":-74.7,""r"":52.475066395223735},{""x"":26.627118644067796,""y"":133.84745762711864,""r"":54.094953596397325},{""x"":-117.27118644067797,""y"":-133.5593220338983,""r"":52.876542588415965},{""x"":50.47457627118644,""y"":-148.76271186440678,""r"":40.765474376950685},{""x"":-148.23728813559322,""y"":-69.28813559322033,""r"":21.301794441394865}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
