"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","11788","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","11795","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","19402","0.0-2.0-0.0","","","","","7602","{""name"":""张梦洋"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","21138","0.0-2.0-1.0","","","","","1734","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","21834","0.0-3.0","","","","","694"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","26465","0.0-4.0","","","","","","","","","1474","","","","","","","","","","","","","","","","",""
"","html-button-response","6","28897","0.0-5.0-0.0","","","","","2430","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42681","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","43721","0.0-5.0-2.0","","","","","1039","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","62330","0.0-5.0-3.0","","","","","","","","","","[[{""x"":485,""y"":454,""dx"":-6,""dy"":173,""t"":990},{""x"":500,""y"":461,""dx"":9,""dy"":180,""t"":1024},{""x"":501,""y"":460,""dx"":10,""dy"":179,""t"":1058},{""x"":507,""y"":450,""dx"":16,""dy"":169,""t"":1093},{""x"":527,""y"":435,""dx"":36,""dy"":154,""t"":1126},{""x"":536,""y"":435,""dx"":45,""dy"":154,""t"":1160},{""x"":524,""y"":422,""dx"":33,""dy"":141,""t"":1194},{""x"":482,""y"":405,""dx"":-9,""dy"":124,""t"":1228},{""x"":434,""y"":411,""dx"":-57,""dy"":130,""t"":1263},{""x"":445,""y"":412,""dx"":-46,""dy"":131,""t"":1296},{""x"":427,""y"":414,""dx"":-64,""dy"":133,""t"":1330},{""x"":395,""y"":405,""dx"":-96,""dy"":124,""t"":1364},{""x"":383,""y"":418,""dx"":-108,""dy"":137,""t"":1398},{""x"":373,""y"":419,""dx"":-118,""dy"":138,""t"":1431},{""x"":358,""y"":424,""dx"":-133,""dy"":143,""t"":1466},{""x"":363,""y"":439,""dx"":-128,""dy"":158,""t"":1501},{""x"":354,""y"":448,""dx"":-137,""dy"":167,""t"":1534},{""x"":372,""y"":456,""dx"":-119,""dy"":175,""t"":1569},{""x"":371,""y"":451,""dx"":-120,""dy"":170,""t"":1603},{""x"":385,""y"":445,""dx"":-106,""dy"":164,""t"":1634},{""x"":416,""y"":434,""dx"":-75,""dy"":153,""t"":1670},{""x"":444,""y"":434,""dx"":-47,""dy"":153,""t"":1705},{""x"":472,""y"":424,""dx"":-19,""dy"":143,""t"":1738},{""x"":487,""y"":423,""dx"":-4,""dy"":142,""t"":1772},{""x"":442,""y"":418,""dx"":-49,""dy"":137,""t"":1805},{""x"":447,""y"":413,""dx"":-44,""dy"":132,""t"":1840},{""x"":418,""y"":415,""dx"":-73,""dy"":134,""t"":1873},{""x"":424,""y"":415,""dx"":-67,""dy"":134,""t"":1908},{""x"":438,""y"":413,""dx"":-53,""dy"":132,""t"":1943},{""x"":443,""y"":418,""dx"":-48,""dy"":137,""t"":1977},{""x"":427,""y"":431,""dx"":-64,""dy"":150,""t"":2011},{""x"":412,""y"":442,""dx"":-79,""dy"":161,""t"":2043},{""x"":417,""y"":440,""dx"":-74,""dy"":159,""t"":2079},{""x"":420,""y"":440,""dx"":-71,""dy"":159,""t"":2112},{""x"":434,""y"":443,""dx"":-57,""dy"":162,""t"":2146},{""x"":420,""y"":438,""dx"":-71,""dy"":157,""t"":2181},{""x"":406,""y"":440,""dx"":-85,""dy"":159,""t"":2214},{""x"":424,""y"":446,""dx"":-67,""dy"":165,""t"":2249},{""x"":427,""y"":447,""dx"":-64,""dy"":166,""t"":2282},{""x"":436,""y"":440,""dx"":-55,""dy"":159,""t"":2316},{""x"":425,""y"":439,""dx"":-66,""dy"":158,""t"":2351},{""x"":417,""y"":441,""dx"":-74,""dy"":160,""t"":2384},{""x"":408,""y"":438,""dx"":-83,""dy"":157,""t"":2419},{""x"":400,""y"":427,""dx"":-91,""dy"":146,""t"":2453},{""x"":410,""y"":435,""dx"":-81,""dy"":154,""t"":2486},{""x"":403,""y"":438,""dx"":-88,""dy"":157,""t"":2521},{""x"":412,""y"":447,""dx"":-79,""dy"":166,""t"":2554},{""x"":419,""y"":449,""dx"":-72,""dy"":168,""t"":2588},{""x"":409,""y"":437,""dx"":-82,""dy"":156,""t"":2622},{""x"":401,""y"":440,""dx"":-90,""dy"":159,""t"":2656},{""x"":404,""y"":439,""dx"":-87,""dy"":158,""t"":2691},{""x"":399,""y"":427,""dx"":-92,""dy"":146,""t"":2724},{""x"":395,""y"":425,""dx"":-96,""dy"":144,""t"":2757},{""x"":399,""y"":433,""dx"":-92,""dy"":152,""t"":2792},{""x"":402,""y"":447,""dx"":-89,""dy"":166,""t"":2827},{""x"":398,""y"":444,""dx"":-93,""dy"":163,""t"":2860},{""x"":393,""y"":447,""dx"":-98,""dy"":166,""t"":2893},{""x"":389,""y"":447,""dx"":-102,""dy"":166,""t"":2927},{""x"":393,""y"":449,""dx"":-98,""dy"":168,""t"":2963},{""x"":395,""y"":443,""dx"":-96,""dy"":162,""t"":2996}],[{""x"":1435,""y"":402,""dx"":-16,""dy"":121,""t"":4014},{""x"":1428,""y"":392,""dx"":-23,""dy"":111,""t"":4051},{""x"":1417,""y"":387,""dx"":-34,""dy"":106,""t"":4084},{""x"":1404,""y"":384,""dx"":-47,""dy"":103,""t"":4119},{""x"":1427,""y"":379,""dx"":-24,""dy"":98,""t"":4152},{""x"":1427,""y"":375,""dx"":-24,""dy"":94,""t"":4186},{""x"":1417,""y"":385,""dx"":-34,""dy"":104,""t"":4220},{""x"":1388,""y"":396,""dx"":-63,""dy"":115,""t"":4254},{""x"":1390,""y"":410,""dx"":-61,""dy"":129,""t"":4289},{""x"":1362,""y"":424,""dx"":-89,""dy"":143,""t"":4322},{""x"":1379,""y"":419,""dx"":-72,""dy"":138,""t"":4356},{""x"":1379,""y"":430,""dx"":-72,""dy"":149,""t"":4390},{""x"":1379,""y"":427,""dx"":-72,""dy"":146,""t"":4424},{""x"":1379,""y"":426,""dx"":-72,""dy"":145,""t"":4459},{""x"":1385,""y"":406,""dx"":-66,""dy"":125,""t"":4492},{""x"":1393,""y"":407,""dx"":-58,""dy"":126,""t"":4526},{""x"":1397,""y"":410,""dx"":-54,""dy"":129,""t"":4560},{""x"":1413,""y"":414,""dx"":-38,""dy"":133,""t"":4594},{""x"":1423,""y"":418,""dx"":-28,""dy"":137,""t"":4628},{""x"":1427,""y"":424,""dx"":-24,""dy"":143,""t"":4663},{""x"":1433,""y"":430,""dx"":-18,""dy"":149,""t"":4697},{""x"":1433,""y"":436,""dx"":-18,""dy"":155,""t"":4732},{""x"":1432,""y"":432,""dx"":-19,""dy"":151,""t"":4763},{""x"":1438,""y"":434,""dx"":-13,""dy"":153,""t"":4831},{""x"":1428,""y"":432,""dx"":-23,""dy"":151,""t"":4866},{""x"":1418,""y"":424,""dx"":-33,""dy"":143,""t"":4900},{""x"":1425,""y"":428,""dx"":-26,""dy"":147,""t"":4934},{""x"":1402,""y"":421,""dx"":-49,""dy"":140,""t"":4969},{""x"":1399,""y"":421,""dx"":-52,""dy"":140,""t"":5002},{""x"":1354,""y"":432,""dx"":-97,""dy"":151,""t"":5036},{""x"":1356,""y"":411,""dx"":-95,""dy"":130,""t"":5071},{""x"":1368,""y"":410,""dx"":-83,""dy"":129,""t"":5104},{""x"":1387,""y"":408,""dx"":-64,""dy"":127,""t"":5138},{""x"":1375,""y"":419,""dx"":-76,""dy"":138,""t"":5172},{""x"":1339,""y"":443,""dx"":-112,""dy"":162,""t"":5205},{""x"":1315,""y"":456,""dx"":-136,""dy"":175,""t"":5240},{""x"":1323,""y"":449,""dx"":-128,""dy"":168,""t"":5274},{""x"":1330,""y"":437,""dx"":-121,""dy"":156,""t"":5308},{""x"":1342,""y"":443,""dx"":-109,""dy"":162,""t"":5342},{""x"":1352,""y"":442,""dx"":-99,""dy"":161,""t"":5376},{""x"":1353,""y"":465,""dx"":-98,""dy"":184,""t"":5410},{""x"":1376,""y"":473,""dx"":-75,""dy"":192,""t"":5444},{""x"":1396,""y"":483,""dx"":-55,""dy"":202,""t"":5479},{""x"":1414,""y"":456,""dx"":-37,""dy"":175,""t"":5512},{""x"":1439,""y"":440,""dx"":-12,""dy"":159,""t"":5546},{""x"":1460,""y"":427,""dx"":9,""dy"":146,""t"":5577},{""x"":1464,""y"":410,""dx"":13,""dy"":129,""t"":5614},{""x"":1461,""y"":406,""dx"":10,""dy"":125,""t"":5649},{""x"":1438,""y"":397,""dx"":-13,""dy"":116,""t"":5682},{""x"":1446,""y"":389,""dx"":-5,""dy"":108,""t"":5717},{""x"":1450,""y"":393,""dx"":-1,""dy"":112,""t"":5751},{""x"":1441,""y"":410,""dx"":-10,""dy"":129,""t"":5784},{""x"":1440,""y"":400,""dx"":-11,""dy"":119,""t"":5819},{""x"":1452,""y"":383,""dx"":1,""dy"":102,""t"":5853},{""x"":1466,""y"":383,""dx"":15,""dy"":102,""t"":5886},{""x"":1457,""y"":369,""dx"":6,""dy"":88,""t"":5920},{""x"":1456,""y"":368,""dx"":5,""dy"":87,""t"":5954},{""x"":1427,""y"":384,""dx"":-24,""dy"":103,""t"":5988}],[{""x"":1012,""y"":586,""dx"":41,""dy"":35,""t"":7008},{""x"":1023,""y"":599,""dx"":52,""dy"":48,""t"":7041},{""x"":1035,""y"":592,""dx"":64,""dy"":41,""t"":7077},{""x"":1063,""y"":619,""dx"":92,""dy"":68,""t"":7110},{""x"":1064,""y"":613,""dx"":93,""dy"":62,""t"":7144},{""x"":1064,""y"":608,""dx"":93,""dy"":57,""t"":7176},{""x"":1057,""y"":600,""dx"":86,""dy"":49,""t"":7213},{""x"":1039,""y"":633,""dx"":68,""dy"":82,""t"":7246},{""x"":1040,""y"":625,""dx"":69,""dy"":74,""t"":7280},{""x"":1050,""y"":630,""dx"":79,""dy"":79,""t"":7313},{""x"":1028,""y"":634,""dx"":57,""dy"":83,""t"":7349},{""x"":1038,""y"":641,""dx"":67,""dy"":90,""t"":7382},{""x"":1022,""y"":641,""dx"":51,""dy"":90,""t"":7416},{""x"":1008,""y"":651,""dx"":37,""dy"":100,""t"":7450},{""x"":1002,""y"":649,""dx"":31,""dy"":98,""t"":7484},{""x"":1005,""y"":651,""dx"":34,""dy"":100,""t"":7518},{""x"":997,""y"":647,""dx"":26,""dy"":96,""t"":7552},{""x"":1007,""y"":642,""dx"":36,""dy"":91,""t"":7586},{""x"":1005,""y"":643,""dx"":34,""dy"":92,""t"":7621},{""x"":1029,""y"":659,""dx"":58,""dy"":108,""t"":7654},{""x"":1011,""y"":651,""dx"":40,""dy"":100,""t"":7688},{""x"":1010,""y"":658,""dx"":39,""dy"":107,""t"":7722},{""x"":1042,""y"":680,""dx"":71,""dy"":129,""t"":7756},{""x"":1040,""y"":669,""dx"":69,""dy"":118,""t"":7790},{""x"":1038,""y"":673,""dx"":67,""dy"":122,""t"":7824},{""x"":1049,""y"":684,""dx"":78,""dy"":133,""t"":7858},{""x"":1047,""y"":681,""dx"":76,""dy"":130,""t"":7892},{""x"":1052,""y"":670,""dx"":81,""dy"":119,""t"":7926},{""x"":1059,""y"":672,""dx"":88,""dy"":121,""t"":7960},{""x"":1056,""y"":663,""dx"":85,""dy"":112,""t"":7995},{""x"":1062,""y"":661,""dx"":91,""dy"":110,""t"":8028},{""x"":1052,""y"":650,""dx"":81,""dy"":99,""t"":8062},{""x"":1056,""y"":653,""dx"":85,""dy"":102,""t"":8096},{""x"":1042,""y"":650,""dx"":71,""dy"":99,""t"":8131},{""x"":1042,""y"":651,""dx"":71,""dy"":100,""t"":8164},{""x"":1040,""y"":649,""dx"":69,""dy"":98,""t"":8199},{""x"":1056,""y"":646,""dx"":85,""dy"":95,""t"":8232},{""x"":1048,""y"":640,""dx"":77,""dy"":89,""t"":8267},{""x"":1049,""y"":632,""dx"":78,""dy"":81,""t"":8300},{""x"":1027,""y"":645,""dx"":56,""dy"":94,""t"":8334},{""x"":1024,""y"":641,""dx"":53,""dy"":90,""t"":8369},{""x"":1029,""y"":626,""dx"":58,""dy"":75,""t"":8402},{""x"":1032,""y"":626,""dx"":61,""dy"":75,""t"":8436},{""x"":1038,""y"":612,""dx"":67,""dy"":61,""t"":8471},{""x"":1058,""y"":639,""dx"":87,""dy"":88,""t"":8504},{""x"":1058,""y"":634,""dx"":87,""dy"":83,""t"":8539},{""x"":1036,""y"":636,""dx"":65,""dy"":85,""t"":8572},{""x"":1029,""y"":634,""dx"":58,""dy"":83,""t"":8606},{""x"":1018,""y"":640,""dx"":47,""dy"":89,""t"":8640},{""x"":1000,""y"":649,""dx"":29,""dy"":98,""t"":8674},{""x"":995,""y"":654,""dx"":24,""dy"":103,""t"":8709},{""x"":995,""y"":647,""dx"":24,""dy"":96,""t"":8742},{""x"":996,""y"":641,""dx"":25,""dy"":90,""t"":8774},{""x"":999,""y"":635,""dx"":28,""dy"":84,""t"":8810},{""x"":997,""y"":629,""dx"":26,""dy"":78,""t"":8844},{""x"":1024,""y"":640,""dx"":53,""dy"":89,""t"":8878},{""x"":1031,""y"":638,""dx"":60,""dy"":87,""t"":8912},{""x"":1031,""y"":629,""dx"":60,""dy"":78,""t"":8945},{""x"":1031,""y"":636,""dx"":60,""dy"":85,""t"":8980},{""x"":1037,""y"":638,""dx"":66,""dy"":87,""t"":9014}],[{""x"":463,""y"":768,""dx"":-28,""dy"":-53,""t"":10034},{""x"":476,""y"":770,""dx"":-15,""dy"":-51,""t"":10069},{""x"":473,""y"":767,""dx"":-18,""dy"":-54,""t"":10103},{""x"":492,""y"":774,""dx"":1,""dy"":-47,""t"":10136},{""x"":497,""y"":776,""dx"":6,""dy"":-45,""t"":10170},{""x"":500,""y"":769,""dx"":9,""dy"":-52,""t"":10204},{""x"":494,""y"":769,""dx"":3,""dy"":-52,""t"":10238},{""x"":485,""y"":763,""dx"":-6,""dy"":-58,""t"":10272},{""x"":504,""y"":781,""dx"":13,""dy"":-40,""t"":10305},{""x"":553,""y"":800,""dx"":62,""dy"":-21,""t"":10340},{""x"":595,""y"":816,""dx"":104,""dy"":-5,""t"":10372},{""x"":620,""y"":819,""dx"":129,""dy"":-2,""t"":10409},{""x"":634,""y"":814,""dx"":143,""dy"":-7,""t"":10442},{""x"":623,""y"":806,""dx"":132,""dy"":-15,""t"":10476},{""x"":632,""y"":810,""dx"":141,""dy"":-11,""t"":10510},{""x"":638,""y"":813,""dx"":147,""dy"":-8,""t"":10544},{""x"":635,""y"":807,""dx"":144,""dy"":-14,""t"":10577},{""x"":626,""y"":819,""dx"":135,""dy"":-2,""t"":10612},{""x"":605,""y"":841,""dx"":114,""dy"":20,""t"":10646},{""x"":583,""y"":849,""dx"":92,""dy"":28,""t"":10680},{""x"":555,""y"":840,""dx"":64,""dy"":19,""t"":10715},{""x"":555,""y"":855,""dx"":64,""dy"":34,""t"":10747},{""x"":540,""y"":859,""dx"":49,""dy"":38,""t"":10782},{""x"":537,""y"":854,""dx"":46,""dy"":33,""t"":10817},{""x"":522,""y"":840,""dx"":31,""dy"":19,""t"":10850},{""x"":501,""y"":836,""dx"":10,""dy"":15,""t"":10884},{""x"":479,""y"":833,""dx"":-12,""dy"":12,""t"":10919},{""x"":463,""y"":834,""dx"":-28,""dy"":13,""t"":10953},{""x"":482,""y"":842,""dx"":-9,""dy"":21,""t"":10987},{""x"":468,""y"":836,""dx"":-23,""dy"":15,""t"":11020},{""x"":453,""y"":835,""dx"":-38,""dy"":14,""t"":11054},{""x"":482,""y"":835,""dx"":-9,""dy"":14,""t"":11089},{""x"":478,""y"":848,""dx"":-13,""dy"":27,""t"":11122},{""x"":491,""y"":865,""dx"":0,""dy"":44,""t"":11156},{""x"":532,""y"":872,""dx"":41,""dy"":51,""t"":11190},{""x"":552,""y"":869,""dx"":61,""dy"":48,""t"":11225},{""x"":564,""y"":871,""dx"":73,""dy"":50,""t"":11257},{""x"":558,""y"":871,""dx"":67,""dy"":50,""t"":11292},{""x"":547,""y"":863,""dx"":56,""dy"":42,""t"":11326},{""x"":546,""y"":861,""dx"":55,""dy"":40,""t"":11360},{""x"":506,""y"":843,""dx"":15,""dy"":22,""t"":11395},{""x"":506,""y"":838,""dx"":15,""dy"":17,""t"":11429},{""x"":480,""y"":818,""dx"":-11,""dy"":-3,""t"":11463},{""x"":464,""y"":805,""dx"":-27,""dy"":-16,""t"":11495},{""x"":460,""y"":802,""dx"":-31,""dy"":-19,""t"":11530},{""x"":474,""y"":793,""dx"":-17,""dy"":-28,""t"":11564},{""x"":485,""y"":799,""dx"":-6,""dy"":-22,""t"":11598},{""x"":480,""y"":797,""dx"":-11,""dy"":-24,""t"":11632},{""x"":477,""y"":817,""dx"":-14,""dy"":-4,""t"":11666},{""x"":478,""y"":843,""dx"":-13,""dy"":22,""t"":11700},{""x"":492,""y"":863,""dx"":1,""dy"":42,""t"":11734},{""x"":518,""y"":887,""dx"":27,""dy"":66,""t"":11768},{""x"":511,""y"":901,""dx"":20,""dy"":80,""t"":11802},{""x"":526,""y"":900,""dx"":35,""dy"":79,""t"":11836},{""x"":558,""y"":904,""dx"":67,""dy"":83,""t"":11870},{""x"":542,""y"":901,""dx"":51,""dy"":80,""t"":11904},{""x"":531,""y"":904,""dx"":40,""dy"":83,""t"":11939},{""x"":528,""y"":901,""dx"":37,""dy"":80,""t"":11972},{""x"":529,""y"":906,""dx"":38,""dy"":85,""t"":12006}],[{""x"":1134,""y"":695,""dx"":-317,""dy"":-126,""t"":13060},{""x"":1130,""y"":701,""dx"":-321,""dy"":-120,""t"":13094},{""x"":1123,""y"":698,""dx"":-328,""dy"":-123,""t"":13129},{""x"":1118,""y"":706,""dx"":-333,""dy"":-115,""t"":13162},{""x"":1119,""y"":713,""dx"":-332,""dy"":-108,""t"":13196},{""x"":1140,""y"":709,""dx"":-311,""dy"":-112,""t"":13230},{""x"":1147,""y"":709,""dx"":-304,""dy"":-112,""t"":13265},{""x"":1154,""y"":709,""dx"":-297,""dy"":-112,""t"":13299},{""x"":1174,""y"":715,""dx"":-277,""dy"":-106,""t"":13332},{""x"":1168,""y"":713,""dx"":-283,""dy"":-108,""t"":13366},{""x"":1168,""y"":711,""dx"":-283,""dy"":-110,""t"":13400},{""x"":1157,""y"":717,""dx"":-294,""dy"":-104,""t"":13434},{""x"":1182,""y"":718,""dx"":-269,""dy"":-103,""t"":13468},{""x"":1202,""y"":725,""dx"":-249,""dy"":-96,""t"":13503},{""x"":1205,""y"":734,""dx"":-246,""dy"":-87,""t"":13537},{""x"":1215,""y"":713,""dx"":-236,""dy"":-108,""t"":13570},{""x"":1208,""y"":714,""dx"":-243,""dy"":-107,""t"":13604},{""x"":1216,""y"":713,""dx"":-235,""dy"":-108,""t"":13638},{""x"":1210,""y"":718,""dx"":-241,""dy"":-103,""t"":13672},{""x"":1215,""y"":724,""dx"":-236,""dy"":-97,""t"":13706},{""x"":1221,""y"":727,""dx"":-230,""dy"":-94,""t"":13740},{""x"":1228,""y"":730,""dx"":-223,""dy"":-91,""t"":13774},{""x"":1219,""y"":736,""dx"":-232,""dy"":-85,""t"":13808},{""x"":1205,""y"":740,""dx"":-246,""dy"":-81,""t"":13842},{""x"":1182,""y"":750,""dx"":-269,""dy"":-71,""t"":13876},{""x"":1164,""y"":757,""dx"":-287,""dy"":-64,""t"":13907},{""x"":1147,""y"":763,""dx"":-304,""dy"":-58,""t"":13945},{""x"":1122,""y"":761,""dx"":-329,""dy"":-60,""t"":13978},{""x"":1127,""y"":759,""dx"":-324,""dy"":-62,""t"":14012},{""x"":1122,""y"":748,""dx"":-329,""dy"":-73,""t"":14046},{""x"":1137,""y"":733,""dx"":-314,""dy"":-88,""t"":14080},{""x"":1147,""y"":727,""dx"":-304,""dy"":-94,""t"":14114},{""x"":1155,""y"":724,""dx"":-296,""dy"":-97,""t"":14148},{""x"":1163,""y"":710,""dx"":-288,""dy"":-111,""t"":14182},{""x"":1175,""y"":713,""dx"":-276,""dy"":-108,""t"":14259},{""x"":1184,""y"":692,""dx"":-267,""dy"":-129,""t"":14288},{""x"":1181,""y"":680,""dx"":-270,""dy"":-141,""t"":14315},{""x"":1182,""y"":680,""dx"":-269,""dy"":-141,""t"":14352},{""x"":1192,""y"":682,""dx"":-259,""dy"":-139,""t"":14386},{""x"":1197,""y"":691,""dx"":-254,""dy"":-130,""t"":14420},{""x"":1199,""y"":701,""dx"":-252,""dy"":-120,""t"":14453},{""x"":1208,""y"":702,""dx"":-243,""dy"":-119,""t"":14487},{""x"":1195,""y"":712,""dx"":-256,""dy"":-109,""t"":14522},{""x"":1168,""y"":723,""dx"":-283,""dy"":-98,""t"":14556},{""x"":1138,""y"":727,""dx"":-313,""dy"":-94,""t"":14590},{""x"":1116,""y"":732,""dx"":-335,""dy"":-89,""t"":14623},{""x"":1119,""y"":718,""dx"":-332,""dy"":-103,""t"":14658},{""x"":1116,""y"":727,""dx"":-335,""dy"":-94,""t"":14693},{""x"":1130,""y"":716,""dx"":-321,""dy"":-105,""t"":14726},{""x"":1151,""y"":704,""dx"":-300,""dy"":-117,""t"":14760},{""x"":1144,""y"":708,""dx"":-307,""dy"":-113,""t"":14794},{""x"":1142,""y"":708,""dx"":-309,""dy"":-113,""t"":14828},{""x"":1141,""y"":721,""dx"":-310,""dy"":-100,""t"":14862},{""x"":1152,""y"":725,""dx"":-299,""dy"":-96,""t"":14896},{""x"":1163,""y"":726,""dx"":-288,""dy"":-95,""t"":14930},{""x"":1165,""y"":724,""dx"":-286,""dy"":-97,""t"":14964},{""x"":1181,""y"":725,""dx"":-270,""dy"":-96,""t"":14999}]]","[93.33333333333333,91.37931034482759,100,100,0]","[{""x"":-66.88333333333334,""y"":153.5,""r"":38.15152891555095},{""x"":-45.241379310344826,""y"":135.5344827586207,""r"":55.516874346884634},{""x"":61.06666666666667,""y"":90.08333333333333,""r"":39.39766767250051},{""x"":34.05084745762712,""y"":12.423728813559322,""r"":60.0060372333713},{""x"":-284.9824561403509,""y"":-102.45614035087719,""r"":37.35812394163137}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.20","validate","","","","","","","","","","",""
