"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","29642","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","29647","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","34112","0.0-2.0-0.0","","","","","4460","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","36376","0.0-2.0-1.0","","","","","2263","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","38329","0.0-3.0","","","","","1950"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","44183","0.0-4.0","","","","","","","","","1550","","","","","","","","","","","","","","","","",""
"","html-button-response","6","45024","0.0-5.0-0.0","","","","","838","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","55151","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","56288","0.0-5.0-2.0","","","","","1137","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","73681","0.0-5.0-3.0","","","","","","","","","","[[{""x"":433,""y"":336,""dx"":-58,""dy"":55,""t"":1005},{""x"":462,""y"":338,""dx"":-29,""dy"":57,""t"":1022},{""x"":443,""y"":327,""dx"":-48,""dy"":46,""t"":1063},{""x"":447,""y"":334,""dx"":-44,""dy"":53,""t"":1100},{""x"":466,""y"":329,""dx"":-25,""dy"":48,""t"":1142},{""x"":449,""y"":324,""dx"":-42,""dy"":43,""t"":1159},{""x"":460,""y"":338,""dx"":-31,""dy"":57,""t"":1198},{""x"":476,""y"":356,""dx"":-15,""dy"":75,""t"":1240},{""x"":488,""y"":371,""dx"":-3,""dy"":90,""t"":1261},{""x"":504,""y"":392,""dx"":13,""dy"":111,""t"":1302},{""x"":514,""y"":400,""dx"":23,""dy"":119,""t"":1340},{""x"":522,""y"":405,""dx"":31,""dy"":124,""t"":1368},{""x"":522,""y"":399,""dx"":31,""dy"":118,""t"":1412},{""x"":522,""y"":393,""dx"":31,""dy"":112,""t"":1435},{""x"":498,""y"":368,""dx"":7,""dy"":87,""t"":1475},{""x"":504,""y"":364,""dx"":13,""dy"":83,""t"":1512},{""x"":508,""y"":361,""dx"":17,""dy"":80,""t"":1533},{""x"":477,""y"":359,""dx"":-14,""dy"":78,""t"":1577},{""x"":483,""y"":315,""dx"":-8,""dy"":34,""t"":1613},{""x"":475,""y"":297,""dx"":-16,""dy"":16,""t"":1636},{""x"":465,""y"":293,""dx"":-26,""dy"":12,""t"":1676},{""x"":467,""y"":279,""dx"":-24,""dy"":-2,""t"":1718},{""x"":460,""y"":285,""dx"":-31,""dy"":4,""t"":1754},{""x"":454,""y"":292,""dx"":-37,""dy"":11,""t"":1772},{""x"":434,""y"":288,""dx"":-57,""dy"":7,""t"":1815},{""x"":422,""y"":287,""dx"":-69,""dy"":6,""t"":1852},{""x"":413,""y"":282,""dx"":-78,""dy"":1,""t"":1876},{""x"":420,""y"":285,""dx"":-71,""dy"":4,""t"":1921},{""x"":427,""y"":288,""dx"":-64,""dy"":7,""t"":1946},{""x"":445,""y"":300,""dx"":-46,""dy"":19,""t"":1989},{""x"":432,""y"":310,""dx"":-59,""dy"":29,""t"":2025},{""x"":421,""y"":319,""dx"":-70,""dy"":38,""t"":2044},{""x"":419,""y"":303,""dx"":-72,""dy"":22,""t"":2089},{""x"":451,""y"":311,""dx"":-40,""dy"":30,""t"":2112},{""x"":446,""y"":319,""dx"":-45,""dy"":38,""t"":2154},{""x"":446,""y"":300,""dx"":-45,""dy"":19,""t"":2197},{""x"":425,""y"":310,""dx"":-66,""dy"":29,""t"":2213},{""x"":443,""y"":321,""dx"":-48,""dy"":40,""t"":2256},{""x"":447,""y"":330,""dx"":-44,""dy"":49,""t"":2296},{""x"":450,""y"":337,""dx"":-41,""dy"":56,""t"":2318},{""x"":453,""y"":329,""dx"":-38,""dy"":48,""t"":2358},{""x"":462,""y"":325,""dx"":-29,""dy"":44,""t"":2399},{""x"":470,""y"":321,""dx"":-21,""dy"":40,""t"":2418},{""x"":469,""y"":317,""dx"":-22,""dy"":36,""t"":2462},{""x"":459,""y"":318,""dx"":-32,""dy"":37,""t"":2498},{""x"":450,""y"":318,""dx"":-41,""dy"":37,""t"":2519},{""x"":467,""y"":320,""dx"":-24,""dy"":39,""t"":2560},{""x"":468,""y"":317,""dx"":-23,""dy"":36,""t"":2601},{""x"":480,""y"":304,""dx"":-11,""dy"":23,""t"":2641},{""x"":503,""y"":302,""dx"":12,""dy"":21,""t"":2653},{""x"":501,""y"":301,""dx"":10,""dy"":20,""t"":2697},{""x"":505,""y"":289,""dx"":14,""dy"":8,""t"":2734},{""x"":521,""y"":294,""dx"":30,""dy"":13,""t"":2757},{""x"":523,""y"":303,""dx"":32,""dy"":22,""t"":2802},{""x"":525,""y"":297,""dx"":34,""dy"":16,""t"":2843},{""x"":526,""y"":291,""dx"":35,""dy"":10,""t"":2859},{""x"":516,""y"":295,""dx"":25,""dy"":14,""t"":2901},{""x"":518,""y"":293,""dx"":27,""dy"":12,""t"":2942},{""x"":519,""y"":291,""dx"":28,""dy"":10,""t"":2965}],[{""x"":1532,""y"":266,""dx"":81,""dy"":-15,""t"":3985},{""x"":1513,""y"":271,""dx"":62,""dy"":-10,""t"":4031},{""x"":1474,""y"":283,""dx"":23,""dy"":2,""t"":4053},{""x"":1461,""y"":289,""dx"":10,""dy"":8,""t"":4090},{""x"":1473,""y"":284,""dx"":22,""dy"":3,""t"":4125},{""x"":1467,""y"":288,""dx"":16,""dy"":7,""t"":4158},{""x"":1501,""y"":306,""dx"":50,""dy"":25,""t"":4187},{""x"":1519,""y"":312,""dx"":68,""dy"":31,""t"":4219},{""x"":1510,""y"":316,""dx"":59,""dy"":35,""t"":4255},{""x"":1541,""y"":322,""dx"":90,""dy"":41,""t"":4288},{""x"":1532,""y"":324,""dx"":81,""dy"":43,""t"":4322},{""x"":1516,""y"":323,""dx"":65,""dy"":42,""t"":4355},{""x"":1493,""y"":329,""dx"":42,""dy"":48,""t"":4390},{""x"":1514,""y"":335,""dx"":63,""dy"":54,""t"":4424},{""x"":1533,""y"":328,""dx"":82,""dy"":47,""t"":4458},{""x"":1536,""y"":342,""dx"":85,""dy"":61,""t"":4492},{""x"":1559,""y"":342,""dx"":108,""dy"":61,""t"":4526},{""x"":1557,""y"":326,""dx"":106,""dy"":45,""t"":4560},{""x"":1554,""y"":317,""dx"":103,""dy"":36,""t"":4596},{""x"":1571,""y"":312,""dx"":120,""dy"":31,""t"":4629},{""x"":1572,""y"":320,""dx"":121,""dy"":39,""t"":4661},{""x"":1574,""y"":294,""dx"":123,""dy"":13,""t"":4695},{""x"":1574,""y"":274,""dx"":123,""dy"":-7,""t"":4730},{""x"":1572,""y"":266,""dx"":121,""dy"":-15,""t"":4764},{""x"":1560,""y"":274,""dx"":109,""dy"":-7,""t"":4798},{""x"":1572,""y"":273,""dx"":121,""dy"":-8,""t"":4846},{""x"":1583,""y"":272,""dx"":132,""dy"":-9,""t"":4870},{""x"":1579,""y"":279,""dx"":128,""dy"":-2,""t"":4900},{""x"":1598,""y"":285,""dx"":147,""dy"":4,""t"":4935},{""x"":1582,""y"":286,""dx"":131,""dy"":5,""t"":4969},{""x"":1596,""y"":301,""dx"":145,""dy"":20,""t"":5001},{""x"":1584,""y"":312,""dx"":133,""dy"":31,""t"":5036},{""x"":1584,""y"":303,""dx"":133,""dy"":22,""t"":5071},{""x"":1584,""y"":295,""dx"":133,""dy"":14,""t"":5102},{""x"":1577,""y"":292,""dx"":126,""dy"":11,""t"":5138},{""x"":1584,""y"":286,""dx"":133,""dy"":5,""t"":5172},{""x"":1580,""y"":295,""dx"":129,""dy"":14,""t"":5206},{""x"":1587,""y"":292,""dx"":136,""dy"":11,""t"":5239},{""x"":1581,""y"":294,""dx"":130,""dy"":13,""t"":5275},{""x"":1596,""y"":292,""dx"":145,""dy"":11,""t"":5308},{""x"":1605,""y"":280,""dx"":154,""dy"":-1,""t"":5341},{""x"":1596,""y"":281,""dx"":145,""dy"":0,""t"":5376},{""x"":1564,""y"":289,""dx"":113,""dy"":8,""t"":5410},{""x"":1553,""y"":288,""dx"":102,""dy"":7,""t"":5444},{""x"":1558,""y"":284,""dx"":107,""dy"":3,""t"":5478},{""x"":1550,""y"":281,""dx"":99,""dy"":0,""t"":5512},{""x"":1545,""y"":297,""dx"":94,""dy"":16,""t"":5546},{""x"":1550,""y"":330,""dx"":99,""dy"":49,""t"":5580},{""x"":1539,""y"":332,""dx"":88,""dy"":51,""t"":5614},{""x"":1547,""y"":332,""dx"":96,""dy"":51,""t"":5648},{""x"":1559,""y"":305,""dx"":108,""dy"":24,""t"":5681},{""x"":1569,""y"":313,""dx"":118,""dy"":32,""t"":5716},{""x"":1574,""y"":306,""dx"":123,""dy"":25,""t"":5749},{""x"":1571,""y"":308,""dx"":120,""dy"":27,""t"":5784},{""x"":1566,""y"":333,""dx"":115,""dy"":52,""t"":5817},{""x"":1585,""y"":337,""dx"":134,""dy"":56,""t"":5852},{""x"":1584,""y"":322,""dx"":133,""dy"":41,""t"":5886},{""x"":1589,""y"":326,""dx"":138,""dy"":45,""t"":5920},{""x"":1606,""y"":322,""dx"":155,""dy"":41,""t"":5953},{""x"":1561,""y"":305,""dx"":110,""dy"":24,""t"":5988}],[{""x"":965,""y"":490,""dx"":-6,""dy"":-61,""t"":7008},{""x"":946,""y"":460,""dx"":-25,""dy"":-91,""t"":7041},{""x"":935,""y"":429,""dx"":-36,""dy"":-122,""t"":7077},{""x"":934,""y"":417,""dx"":-37,""dy"":-134,""t"":7110},{""x"":957,""y"":408,""dx"":-14,""dy"":-143,""t"":7144},{""x"":940,""y"":406,""dx"":-31,""dy"":-145,""t"":7181},{""x"":937,""y"":409,""dx"":-34,""dy"":-142,""t"":7218},{""x"":955,""y"":433,""dx"":-16,""dy"":-118,""t"":7250},{""x"":940,""y"":444,""dx"":-31,""dy"":-107,""t"":7285},{""x"":931,""y"":439,""dx"":-40,""dy"":-112,""t"":7316},{""x"":920,""y"":426,""dx"":-51,""dy"":-125,""t"":7348},{""x"":922,""y"":416,""dx"":-49,""dy"":-135,""t"":7383},{""x"":928,""y"":436,""dx"":-43,""dy"":-115,""t"":7419},{""x"":932,""y"":423,""dx"":-39,""dy"":-128,""t"":7451},{""x"":952,""y"":432,""dx"":-19,""dy"":-119,""t"":7485},{""x"":953,""y"":436,""dx"":-18,""dy"":-115,""t"":7520},{""x"":960,""y"":456,""dx"":-11,""dy"":-95,""t"":7552},{""x"":965,""y"":458,""dx"":-6,""dy"":-93,""t"":7586},{""x"":983,""y"":479,""dx"":12,""dy"":-72,""t"":7620},{""x"":975,""y"":460,""dx"":4,""dy"":-91,""t"":7654},{""x"":957,""y"":444,""dx"":-14,""dy"":-107,""t"":7689},{""x"":930,""y"":443,""dx"":-41,""dy"":-108,""t"":7723},{""x"":923,""y"":442,""dx"":-48,""dy"":-109,""t"":7756},{""x"":943,""y"":451,""dx"":-28,""dy"":-100,""t"":7792},{""x"":939,""y"":460,""dx"":-32,""dy"":-91,""t"":7824},{""x"":931,""y"":454,""dx"":-40,""dy"":-97,""t"":7861},{""x"":954,""y"":476,""dx"":-17,""dy"":-75,""t"":7898},{""x"":947,""y"":504,""dx"":-24,""dy"":-47,""t"":7935},{""x"":959,""y"":509,""dx"":-12,""dy"":-42,""t"":7970},{""x"":969,""y"":496,""dx"":-2,""dy"":-55,""t"":8008},{""x"":977,""y"":483,""dx"":6,""dy"":-68,""t"":8028},{""x"":985,""y"":485,""dx"":14,""dy"":-66,""t"":8062},{""x"":1000,""y"":484,""dx"":29,""dy"":-67,""t"":8097},{""x"":1014,""y"":497,""dx"":43,""dy"":-54,""t"":8130},{""x"":1011,""y"":482,""dx"":40,""dy"":-69,""t"":8165},{""x"":993,""y"":478,""dx"":22,""dy"":-73,""t"":8198},{""x"":981,""y"":466,""dx"":10,""dy"":-85,""t"":8231},{""x"":970,""y"":455,""dx"":-1,""dy"":-96,""t"":8263},{""x"":959,""y"":449,""dx"":-12,""dy"":-102,""t"":8299},{""x"":986,""y"":484,""dx"":15,""dy"":-67,""t"":8334},{""x"":974,""y"":480,""dx"":3,""dy"":-71,""t"":8369},{""x"":974,""y"":471,""dx"":3,""dy"":-80,""t"":8407},{""x"":976,""y"":489,""dx"":5,""dy"":-62,""t"":8439},{""x"":971,""y"":489,""dx"":0,""dy"":-62,""t"":8471},{""x"":976,""y"":523,""dx"":5,""dy"":-28,""t"":8504},{""x"":986,""y"":522,""dx"":15,""dy"":-29,""t"":8538},{""x"":989,""y"":517,""dx"":18,""dy"":-34,""t"":8572},{""x"":980,""y"":494,""dx"":9,""dy"":-57,""t"":8605},{""x"":970,""y"":479,""dx"":-1,""dy"":-72,""t"":8642},{""x"":982,""y"":493,""dx"":11,""dy"":-58,""t"":8674},{""x"":990,""y"":486,""dx"":19,""dy"":-65,""t"":8708},{""x"":982,""y"":491,""dx"":11,""dy"":-60,""t"":8743},{""x"":978,""y"":486,""dx"":7,""dy"":-65,""t"":8782},{""x"":869,""y"":498,""dx"":-102,""dy"":-53,""t"":8816},{""x"":810,""y"":544,""dx"":-161,""dy"":-7,""t"":8852},{""x"":738,""y"":548,""dx"":-233,""dy"":-3,""t"":8885},{""x"":698,""y"":558,""dx"":-273,""dy"":7,""t"":8917},{""x"":633,""y"":592,""dx"":-338,""dy"":41,""t"":8948},{""x"":567,""y"":646,""dx"":-404,""dy"":95,""t"":8980}],[{""x"":491,""y"":610,""dx"":0,""dy"":-211,""t"":10035},{""x"":474,""y"":614,""dx"":-17,""dy"":-207,""t"":10076},{""x"":493,""y"":631,""dx"":2,""dy"":-190,""t"":10110},{""x"":512,""y"":646,""dx"":21,""dy"":-175,""t"":10143},{""x"":499,""y"":635,""dx"":8,""dy"":-186,""t"":10180},{""x"":514,""y"":633,""dx"":23,""dy"":-188,""t"":10203},{""x"":529,""y"":678,""dx"":38,""dy"":-143,""t"":10241},{""x"":526,""y"":687,""dx"":35,""dy"":-134,""t"":10281},{""x"":511,""y"":688,""dx"":20,""dy"":-133,""t"":10316},{""x"":509,""y"":699,""dx"":18,""dy"":-122,""t"":10340},{""x"":504,""y"":686,""dx"":13,""dy"":-135,""t"":10381},{""x"":491,""y"":671,""dx"":0,""dy"":-150,""t"":10417},{""x"":487,""y"":677,""dx"":-4,""dy"":-144,""t"":10460},{""x"":462,""y"":676,""dx"":-29,""dy"":-145,""t"":10478},{""x"":435,""y"":671,""dx"":-56,""dy"":-150,""t"":10519},{""x"":430,""y"":674,""dx"":-61,""dy"":-147,""t"":10559},{""x"":425,""y"":689,""dx"":-66,""dy"":-132,""t"":10579},{""x"":420,""y"":684,""dx"":-71,""dy"":-137,""t"":10614},{""x"":445,""y"":715,""dx"":-46,""dy"":-106,""t"":10650},{""x"":450,""y"":702,""dx"":-41,""dy"":-119,""t"":10693},{""x"":459,""y"":720,""dx"":-32,""dy"":-101,""t"":10715},{""x"":474,""y"":719,""dx"":-17,""dy"":-102,""t"":10754},{""x"":508,""y"":735,""dx"":17,""dy"":-86,""t"":10792},{""x"":529,""y"":745,""dx"":38,""dy"":-76,""t"":10829},{""x"":546,""y"":753,""dx"":55,""dy"":-68,""t"":10852},{""x"":538,""y"":749,""dx"":47,""dy"":-72,""t"":10894},{""x"":543,""y"":734,""dx"":52,""dy"":-87,""t"":10918},{""x"":541,""y"":737,""dx"":50,""dy"":-84,""t"":10961},{""x"":565,""y"":749,""dx"":74,""dy"":-72,""t"":11002},{""x"":585,""y"":758,""dx"":94,""dy"":-63,""t"":11019},{""x"":605,""y"":734,""dx"":114,""dy"":-87,""t"":11059},{""x"":598,""y"":747,""dx"":107,""dy"":-74,""t"":11102},{""x"":568,""y"":734,""dx"":77,""dy"":-87,""t"":11125},{""x"":582,""y"":733,""dx"":91,""dy"":-88,""t"":11164},{""x"":552,""y"":706,""dx"":61,""dy"":-115,""t"":11206},{""x"":525,""y"":682,""dx"":34,""dy"":-139,""t"":11222},{""x"":517,""y"":680,""dx"":26,""dy"":-141,""t"":11267},{""x"":510,""y"":700,""dx"":19,""dy"":-121,""t"":11306},{""x"":495,""y"":684,""dx"":4,""dy"":-137,""t"":11344},{""x"":484,""y"":670,""dx"":-7,""dy"":-151,""t"":11364},{""x"":485,""y"":696,""dx"":-6,""dy"":-125,""t"":11404},{""x"":480,""y"":667,""dx"":-11,""dy"":-154,""t"":11446},{""x"":477,""y"":643,""dx"":-14,""dy"":-178,""t"":11463},{""x"":470,""y"":628,""dx"":-21,""dy"":-193,""t"":11504},{""x"":482,""y"":622,""dx"":-9,""dy"":-199,""t"":11544},{""x"":491,""y"":617,""dx"":0,""dy"":-204,""t"":11564},{""x"":513,""y"":613,""dx"":22,""dy"":-208,""t"":11603},{""x"":501,""y"":636,""dx"":10,""dy"":-185,""t"":11649},{""x"":504,""y"":635,""dx"":13,""dy"":-186,""t"":11670},{""x"":515,""y"":645,""dx"":24,""dy"":-176,""t"":11711},{""x"":511,""y"":645,""dx"":20,""dy"":-176,""t"":11734},{""x"":516,""y"":658,""dx"":25,""dy"":-163,""t"":11777},{""x"":535,""y"":685,""dx"":44,""dy"":-136,""t"":11802},{""x"":532,""y"":693,""dx"":41,""dy"":-128,""t"":11843},{""x"":521,""y"":706,""dx"":30,""dy"":-115,""t"":11884},{""x"":511,""y"":717,""dx"":20,""dy"":-104,""t"":11903},{""x"":525,""y"":725,""dx"":34,""dy"":-96,""t"":11944},{""x"":517,""y"":713,""dx"":26,""dy"":-108,""t"":11987}],[{""x"":1391,""y"":639,""dx"":-60,""dy"":-182,""t"":13026},{""x"":1396,""y"":632,""dx"":-55,""dy"":-189,""t"":13061},{""x"":1406,""y"":605,""dx"":-45,""dy"":-216,""t"":13094},{""x"":1403,""y"":580,""dx"":-48,""dy"":-241,""t"":13128},{""x"":1397,""y"":568,""dx"":-54,""dy"":-253,""t"":13162},{""x"":1402,""y"":565,""dx"":-49,""dy"":-256,""t"":13196},{""x"":1387,""y"":581,""dx"":-64,""dy"":-240,""t"":13230},{""x"":1379,""y"":584,""dx"":-72,""dy"":-237,""t"":13265},{""x"":1370,""y"":596,""dx"":-81,""dy"":-225,""t"":13303},{""x"":1375,""y"":602,""dx"":-76,""dy"":-219,""t"":13338},{""x"":1352,""y"":600,""dx"":-99,""dy"":-221,""t"":13371},{""x"":1353,""y"":596,""dx"":-98,""dy"":-225,""t"":13403},{""x"":1353,""y"":592,""dx"":-98,""dy"":-229,""t"":13433},{""x"":1364,""y"":604,""dx"":-87,""dy"":-217,""t"":13468},{""x"":1391,""y"":577,""dx"":-60,""dy"":-244,""t"":13502},{""x"":1384,""y"":596,""dx"":-67,""dy"":-225,""t"":13536},{""x"":1378,""y"":581,""dx"":-73,""dy"":-240,""t"":13569},{""x"":1365,""y"":582,""dx"":-86,""dy"":-239,""t"":13604},{""x"":1364,""y"":583,""dx"":-87,""dy"":-238,""t"":13638},{""x"":1377,""y"":567,""dx"":-74,""dy"":-254,""t"":13671},{""x"":1379,""y"":563,""dx"":-72,""dy"":-258,""t"":13706},{""x"":1369,""y"":587,""dx"":-82,""dy"":-234,""t"":13740},{""x"":1366,""y"":605,""dx"":-85,""dy"":-216,""t"":13774},{""x"":1356,""y"":617,""dx"":-95,""dy"":-204,""t"":13808},{""x"":1348,""y"":603,""dx"":-103,""dy"":-218,""t"":13845},{""x"":1344,""y"":628,""dx"":-107,""dy"":-193,""t"":13881},{""x"":1336,""y"":647,""dx"":-115,""dy"":-174,""t"":13913},{""x"":1335,""y"":676,""dx"":-116,""dy"":-145,""t"":13950},{""x"":1326,""y"":670,""dx"":-125,""dy"":-151,""t"":13983},{""x"":1323,""y"":668,""dx"":-128,""dy"":-153,""t"":14016},{""x"":1315,""y"":673,""dx"":-136,""dy"":-148,""t"":14048},{""x"":1348,""y"":656,""dx"":-103,""dy"":-165,""t"":14083},{""x"":1336,""y"":647,""dx"":-115,""dy"":-174,""t"":14118},{""x"":1336,""y"":654,""dx"":-115,""dy"":-167,""t"":14154},{""x"":1328,""y"":638,""dx"":-123,""dy"":-183,""t"":14187},{""x"":1330,""y"":612,""dx"":-121,""dy"":-209,""t"":14223},{""x"":1324,""y"":585,""dx"":-127,""dy"":-236,""t"":14252},{""x"":1323,""y"":595,""dx"":-128,""dy"":-226,""t"":14285},{""x"":1270,""y"":627,""dx"":-181,""dy"":-194,""t"":14325},{""x"":1213,""y"":677,""dx"":-238,""dy"":-144,""t"":14360},{""x"":1222,""y"":679,""dx"":-229,""dy"":-142,""t"":14393},{""x"":1221,""y"":667,""dx"":-230,""dy"":-154,""t"":14427},{""x"":1229,""y"":664,""dx"":-222,""dy"":-157,""t"":14458},{""x"":1239,""y"":682,""dx"":-212,""dy"":-139,""t"":14493},{""x"":1249,""y"":688,""dx"":-202,""dy"":-133,""t"":14525},{""x"":1249,""y"":690,""dx"":-202,""dy"":-131,""t"":14561},{""x"":1260,""y"":700,""dx"":-191,""dy"":-121,""t"":14595},{""x"":1258,""y"":703,""dx"":-193,""dy"":-118,""t"":14627},{""x"":1276,""y"":705,""dx"":-175,""dy"":-116,""t"":14660},{""x"":1287,""y"":697,""dx"":-164,""dy"":-124,""t"":14692},{""x"":1286,""y"":697,""dx"":-165,""dy"":-124,""t"":14728},{""x"":1270,""y"":707,""dx"":-181,""dy"":-114,""t"":14761},{""x"":1290,""y"":696,""dx"":-161,""dy"":-125,""t"":14794},{""x"":1317,""y"":666,""dx"":-134,""dy"":-155,""t"":14828},{""x"":1322,""y"":672,""dx"":-129,""dy"":-149,""t"":14862},{""x"":1322,""y"":711,""dx"":-129,""dy"":-110,""t"":14896},{""x"":1330,""y"":718,""dx"":-121,""dy"":-103,""t"":14930},{""x"":1335,""y"":702,""dx"":-116,""dy"":-119,""t"":14965},{""x"":1338,""y"":689,""dx"":-113,""dy"":-132,""t"":14996},{""x"":1355,""y"":668,""dx"":-96,""dy"":-153,""t"":15031}]]","[100,100,93.22033898305084,93.10344827586206,20]","[{""x"":-20.23728813559322,""y"":40.52542372881356,""r"":37.990099104784946},{""x"":104.76666666666667,""y"":21.85,""r"":49.71213447244876},{""x"":-33.69491525423729,""y"":-76.33898305084746,""r"":45.1209807236622},{""x"":16.189655172413794,""y"":-135.1551724137931,""r"":75.70005728954433},{""x"":-120.21666666666667,""y"":-183.35,""r"":96.1968713874814}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
