"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","2925","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2932","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7209","0.0-2.0-0.0","","","","","4271","{""name"":""syx"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9112","0.0-2.0-1.0","","","","","1902","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10160","0.0-3.0","","","","","1046"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","32584","0.0-4.0","","","","","","","","","22","","","","","","","","","","","","","","","",""
"","html-button-response","6","34481","0.0-5.0-0.0","","","","","1894","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","45552","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","46432","0.0-5.0-2.0","","","","","879","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","64928","0.0-5.0-3.0","","","","","","","","","","[[{""x"":431,""y"":231,""dx"":-60,""dy"":-50,""t"":990},{""x"":429,""y"":220,""dx"":-62,""dy"":-61,""t"":1025},{""x"":426,""y"":225,""dx"":-65,""dy"":-56,""t"":1058},{""x"":422,""y"":240,""dx"":-69,""dy"":-41,""t"":1092},{""x"":427,""y"":238,""dx"":-64,""dy"":-43,""t"":1127},{""x"":419,""y"":248,""dx"":-72,""dy"":-33,""t"":1160},{""x"":415,""y"":256,""dx"":-76,""dy"":-25,""t"":1194},{""x"":410,""y"":273,""dx"":-81,""dy"":-8,""t"":1229},{""x"":413,""y"":286,""dx"":-78,""dy"":5,""t"":1261},{""x"":408,""y"":290,""dx"":-83,""dy"":9,""t"":1296},{""x"":403,""y"":300,""dx"":-88,""dy"":19,""t"":1331},{""x"":409,""y"":303,""dx"":-82,""dy"":22,""t"":1365},{""x"":409,""y"":291,""dx"":-82,""dy"":10,""t"":1398},{""x"":407,""y"":294,""dx"":-84,""dy"":13,""t"":1432},{""x"":420,""y"":291,""dx"":-71,""dy"":10,""t"":1466},{""x"":409,""y"":287,""dx"":-82,""dy"":6,""t"":1500},{""x"":419,""y"":277,""dx"":-72,""dy"":-4,""t"":1534},{""x"":419,""y"":278,""dx"":-72,""dy"":-3,""t"":1568},{""x"":422,""y"":292,""dx"":-69,""dy"":11,""t"":1601},{""x"":418,""y"":298,""dx"":-73,""dy"":17,""t"":1636},{""x"":415,""y"":302,""dx"":-76,""dy"":21,""t"":1668},{""x"":413,""y"":312,""dx"":-78,""dy"":31,""t"":1704},{""x"":416,""y"":303,""dx"":-75,""dy"":22,""t"":1738},{""x"":426,""y"":291,""dx"":-65,""dy"":10,""t"":1772},{""x"":423,""y"":279,""dx"":-68,""dy"":-2,""t"":1806},{""x"":421,""y"":264,""dx"":-70,""dy"":-17,""t"":1840},{""x"":425,""y"":254,""dx"":-66,""dy"":-27,""t"":1874},{""x"":422,""y"":256,""dx"":-69,""dy"":-25,""t"":1908},{""x"":428,""y"":256,""dx"":-63,""dy"":-25,""t"":1942},{""x"":420,""y"":246,""dx"":-71,""dy"":-35,""t"":1977},{""x"":414,""y"":242,""dx"":-77,""dy"":-39,""t"":2010},{""x"":414,""y"":250,""dx"":-77,""dy"":-31,""t"":2044},{""x"":425,""y"":249,""dx"":-66,""dy"":-32,""t"":2076},{""x"":434,""y"":252,""dx"":-57,""dy"":-29,""t"":2112},{""x"":429,""y"":249,""dx"":-62,""dy"":-32,""t"":2145},{""x"":434,""y"":247,""dx"":-57,""dy"":-34,""t"":2180},{""x"":431,""y"":252,""dx"":-60,""dy"":-29,""t"":2215},{""x"":426,""y"":249,""dx"":-65,""dy"":-32,""t"":2248},{""x"":428,""y"":260,""dx"":-63,""dy"":-21,""t"":2282},{""x"":439,""y"":259,""dx"":-52,""dy"":-22,""t"":2316},{""x"":441,""y"":256,""dx"":-50,""dy"":-25,""t"":2350},{""x"":440,""y"":262,""dx"":-51,""dy"":-19,""t"":2384},{""x"":446,""y"":252,""dx"":-45,""dy"":-29,""t"":2418},{""x"":442,""y"":252,""dx"":-49,""dy"":-29,""t"":2453},{""x"":447,""y"":256,""dx"":-44,""dy"":-25,""t"":2486},{""x"":440,""y"":261,""dx"":-51,""dy"":-20,""t"":2520},{""x"":451,""y"":278,""dx"":-40,""dy"":-3,""t"":2554},{""x"":440,""y"":288,""dx"":-51,""dy"":7,""t"":2588},{""x"":443,""y"":281,""dx"":-48,""dy"":0,""t"":2622},{""x"":431,""y"":284,""dx"":-60,""dy"":3,""t"":2656},{""x"":425,""y"":283,""dx"":-66,""dy"":2,""t"":2690},{""x"":430,""y"":270,""dx"":-61,""dy"":-11,""t"":2724},{""x"":440,""y"":270,""dx"":-51,""dy"":-11,""t"":2758},{""x"":439,""y"":267,""dx"":-52,""dy"":-14,""t"":2792},{""x"":466,""y"":269,""dx"":-25,""dy"":-12,""t"":2826},{""x"":453,""y"":263,""dx"":-38,""dy"":-18,""t"":2861},{""x"":456,""y"":268,""dx"":-35,""dy"":-13,""t"":2893},{""x"":455,""y"":268,""dx"":-36,""dy"":-13,""t"":2928},{""x"":454,""y"":273,""dx"":-37,""dy"":-8,""t"":2962}],[{""x"":1523,""y"":259,""dx"":72,""dy"":-22,""t"":4016},{""x"":1501,""y"":257,""dx"":50,""dy"":-24,""t"":4049},{""x"":1491,""y"":257,""dx"":40,""dy"":-24,""t"":4084},{""x"":1490,""y"":261,""dx"":39,""dy"":-20,""t"":4118},{""x"":1479,""y"":257,""dx"":28,""dy"":-24,""t"":4152},{""x"":1468,""y"":257,""dx"":17,""dy"":-24,""t"":4186},{""x"":1466,""y"":260,""dx"":15,""dy"":-21,""t"":4220},{""x"":1461,""y"":258,""dx"":10,""dy"":-23,""t"":4254},{""x"":1460,""y"":260,""dx"":9,""dy"":-21,""t"":4288},{""x"":1463,""y"":265,""dx"":12,""dy"":-16,""t"":4322},{""x"":1462,""y"":265,""dx"":11,""dy"":-16,""t"":4355},{""x"":1462,""y"":272,""dx"":11,""dy"":-9,""t"":4391},{""x"":1469,""y"":281,""dx"":18,""dy"":0,""t"":4424},{""x"":1475,""y"":278,""dx"":24,""dy"":-3,""t"":4458},{""x"":1470,""y"":285,""dx"":19,""dy"":4,""t"":4492},{""x"":1470,""y"":292,""dx"":19,""dy"":11,""t"":4527},{""x"":1477,""y"":312,""dx"":26,""dy"":31,""t"":4560},{""x"":1478,""y"":316,""dx"":27,""dy"":35,""t"":4594},{""x"":1483,""y"":311,""dx"":32,""dy"":30,""t"":4628},{""x"":1473,""y"":307,""dx"":22,""dy"":26,""t"":4662},{""x"":1476,""y"":306,""dx"":25,""dy"":25,""t"":4696},{""x"":1471,""y"":303,""dx"":20,""dy"":22,""t"":4730},{""x"":1459,""y"":300,""dx"":8,""dy"":19,""t"":4764},{""x"":1462,""y"":302,""dx"":11,""dy"":21,""t"":4798},{""x"":1461,""y"":305,""dx"":10,""dy"":24,""t"":4832},{""x"":1466,""y"":299,""dx"":15,""dy"":18,""t"":4866},{""x"":1462,""y"":298,""dx"":11,""dy"":17,""t"":4900},{""x"":1461,""y"":296,""dx"":10,""dy"":15,""t"":4934},{""x"":1460,""y"":298,""dx"":9,""dy"":17,""t"":4968},{""x"":1458,""y"":288,""dx"":7,""dy"":7,""t"":5003},{""x"":1460,""y"":286,""dx"":9,""dy"":5,""t"":5037},{""x"":1474,""y"":298,""dx"":23,""dy"":17,""t"":5070},{""x"":1486,""y"":293,""dx"":35,""dy"":12,""t"":5103},{""x"":1495,""y"":289,""dx"":44,""dy"":8,""t"":5138},{""x"":1508,""y"":311,""dx"":57,""dy"":30,""t"":5173},{""x"":1506,""y"":317,""dx"":55,""dy"":36,""t"":5206},{""x"":1511,""y"":324,""dx"":60,""dy"":43,""t"":5237},{""x"":1521,""y"":333,""dx"":70,""dy"":52,""t"":5274},{""x"":1530,""y"":339,""dx"":79,""dy"":58,""t"":5308},{""x"":1506,""y"":327,""dx"":55,""dy"":46,""t"":5342},{""x"":1510,""y"":328,""dx"":59,""dy"":47,""t"":5376},{""x"":1497,""y"":316,""dx"":46,""dy"":35,""t"":5410},{""x"":1504,""y"":316,""dx"":53,""dy"":35,""t"":5444},{""x"":1497,""y"":305,""dx"":46,""dy"":24,""t"":5478},{""x"":1501,""y"":309,""dx"":50,""dy"":28,""t"":5512},{""x"":1478,""y"":304,""dx"":27,""dy"":23,""t"":5546},{""x"":1472,""y"":298,""dx"":21,""dy"":17,""t"":5580},{""x"":1467,""y"":302,""dx"":16,""dy"":21,""t"":5614},{""x"":1482,""y"":306,""dx"":31,""dy"":25,""t"":5646},{""x"":1488,""y"":310,""dx"":37,""dy"":29,""t"":5682},{""x"":1496,""y"":306,""dx"":45,""dy"":25,""t"":5716},{""x"":1491,""y"":304,""dx"":40,""dy"":23,""t"":5750},{""x"":1482,""y"":297,""dx"":31,""dy"":16,""t"":5783},{""x"":1483,""y"":296,""dx"":32,""dy"":15,""t"":5819},{""x"":1488,""y"":292,""dx"":37,""dy"":11,""t"":5854},{""x"":1486,""y"":301,""dx"":35,""dy"":20,""t"":5885},{""x"":1492,""y"":290,""dx"":41,""dy"":9,""t"":5920},{""x"":1505,""y"":291,""dx"":54,""dy"":10,""t"":5955},{""x"":1506,""y"":292,""dx"":55,""dy"":11,""t"":5988}],[{""x"":886,""y"":876,""dx"":-85,""dy"":325,""t"":7008},{""x"":902,""y"":803,""dx"":-69,""dy"":252,""t"":7042},{""x"":906,""y"":723,""dx"":-65,""dy"":172,""t"":7076},{""x"":907,""y"":670,""dx"":-64,""dy"":119,""t"":7110},{""x"":894,""y"":617,""dx"":-77,""dy"":66,""t"":7144},{""x"":895,""y"":554,""dx"":-76,""dy"":3,""t"":7178},{""x"":895,""y"":503,""dx"":-76,""dy"":-48,""t"":7209},{""x"":875,""y"":457,""dx"":-96,""dy"":-94,""t"":7246},{""x"":853,""y"":436,""dx"":-118,""dy"":-115,""t"":7280},{""x"":848,""y"":413,""dx"":-123,""dy"":-138,""t"":7314},{""x"":847,""y"":388,""dx"":-124,""dy"":-163,""t"":7350},{""x"":850,""y"":365,""dx"":-121,""dy"":-186,""t"":7382},{""x"":852,""y"":351,""dx"":-119,""dy"":-200,""t"":7416},{""x"":869,""y"":348,""dx"":-102,""dy"":-203,""t"":7449},{""x"":882,""y"":351,""dx"":-89,""dy"":-200,""t"":7484},{""x"":913,""y"":355,""dx"":-58,""dy"":-196,""t"":7518},{""x"":912,""y"":359,""dx"":-59,""dy"":-192,""t"":7553},{""x"":933,""y"":373,""dx"":-38,""dy"":-178,""t"":7586},{""x"":928,""y"":375,""dx"":-43,""dy"":-176,""t"":7649},{""x"":949,""y"":377,""dx"":-22,""dy"":-174,""t"":7658},{""x"":933,""y"":397,""dx"":-38,""dy"":-154,""t"":7688},{""x"":921,""y"":424,""dx"":-50,""dy"":-127,""t"":7722},{""x"":898,""y"":453,""dx"":-73,""dy"":-98,""t"":7757},{""x"":906,""y"":468,""dx"":-65,""dy"":-83,""t"":7790},{""x"":909,""y"":474,""dx"":-62,""dy"":-77,""t"":7824},{""x"":913,""y"":466,""dx"":-58,""dy"":-85,""t"":7858},{""x"":896,""y"":458,""dx"":-75,""dy"":-93,""t"":7892},{""x"":887,""y"":457,""dx"":-84,""dy"":-94,""t"":7926},{""x"":873,""y"":451,""dx"":-98,""dy"":-100,""t"":7960},{""x"":868,""y"":452,""dx"":-103,""dy"":-99,""t"":7994},{""x"":879,""y"":447,""dx"":-92,""dy"":-104,""t"":8029},{""x"":899,""y"":456,""dx"":-72,""dy"":-95,""t"":8061},{""x"":902,""y"":471,""dx"":-69,""dy"":-80,""t"":8096},{""x"":921,""y"":474,""dx"":-50,""dy"":-77,""t"":8130},{""x"":911,""y"":480,""dx"":-60,""dy"":-71,""t"":8165},{""x"":897,""y"":477,""dx"":-74,""dy"":-74,""t"":8198},{""x"":900,""y"":496,""dx"":-71,""dy"":-55,""t"":8232},{""x"":885,""y"":485,""dx"":-86,""dy"":-66,""t"":8266},{""x"":876,""y"":481,""dx"":-95,""dy"":-70,""t"":8299},{""x"":878,""y"":492,""dx"":-93,""dy"":-59,""t"":8334},{""x"":876,""y"":501,""dx"":-95,""dy"":-50,""t"":8368},{""x"":888,""y"":510,""dx"":-83,""dy"":-41,""t"":8403},{""x"":902,""y"":522,""dx"":-69,""dy"":-29,""t"":8436},{""x"":902,""y"":528,""dx"":-69,""dy"":-23,""t"":8470},{""x"":906,""y"":526,""dx"":-65,""dy"":-25,""t"":8505},{""x"":909,""y"":533,""dx"":-62,""dy"":-18,""t"":8538},{""x"":907,""y"":536,""dx"":-64,""dy"":-15,""t"":8572},{""x"":885,""y"":530,""dx"":-86,""dy"":-21,""t"":8606},{""x"":896,""y"":525,""dx"":-75,""dy"":-26,""t"":8639},{""x"":912,""y"":527,""dx"":-59,""dy"":-24,""t"":8673},{""x"":931,""y"":531,""dx"":-40,""dy"":-20,""t"":8709},{""x"":939,""y"":533,""dx"":-32,""dy"":-18,""t"":8742},{""x"":939,""y"":535,""dx"":-32,""dy"":-16,""t"":8776},{""x"":948,""y"":536,""dx"":-23,""dy"":-15,""t"":8808},{""x"":964,""y"":537,""dx"":-7,""dy"":-14,""t"":8844},{""x"":943,""y"":533,""dx"":-28,""dy"":-18,""t"":8878},{""x"":945,""y"":515,""dx"":-26,""dy"":-36,""t"":8912},{""x"":932,""y"":515,""dx"":-39,""dy"":-36,""t"":8945},{""x"":930,""y"":519,""dx"":-41,""dy"":-32,""t"":8981}],[{""x"":480,""y"":723,""dx"":-11,""dy"":-98,""t"":9999},{""x"":483,""y"":710,""dx"":-8,""dy"":-111,""t"":10034},{""x"":489,""y"":712,""dx"":-2,""dy"":-109,""t"":10067},{""x"":505,""y"":756,""dx"":14,""dy"":-65,""t"":10103},{""x"":584,""y"":870,""dx"":93,""dy"":49,""t"":10137},{""x"":666,""y"":959,""dx"":175,""dy"":138,""t"":10170},{""x"":729,""y"":1046,""dx"":238,""dy"":225,""t"":10203},{""x"":758,""y"":1070,""dx"":267,""dy"":249,""t"":10238},{""x"":769,""y"":1064,""dx"":278,""dy"":243,""t"":10272},{""x"":764,""y"":1060,""dx"":273,""dy"":239,""t"":10306},{""x"":737,""y"":1036,""dx"":246,""dy"":215,""t"":10340},{""x"":711,""y"":1013,""dx"":220,""dy"":192,""t"":10371},{""x"":690,""y"":993,""dx"":199,""dy"":172,""t"":10408},{""x"":657,""y"":971,""dx"":166,""dy"":150,""t"":10443},{""x"":629,""y"":942,""dx"":138,""dy"":121,""t"":10476},{""x"":614,""y"":932,""dx"":123,""dy"":111,""t"":10510},{""x"":587,""y"":922,""dx"":96,""dy"":101,""t"":10544},{""x"":568,""y"":910,""dx"":77,""dy"":89,""t"":10577},{""x"":556,""y"":899,""dx"":65,""dy"":78,""t"":10612},{""x"":551,""y"":880,""dx"":60,""dy"":59,""t"":10646},{""x"":540,""y"":869,""dx"":49,""dy"":48,""t"":10680},{""x"":537,""y"":868,""dx"":46,""dy"":47,""t"":10714},{""x"":534,""y"":843,""dx"":43,""dy"":22,""t"":10748},{""x"":532,""y"":823,""dx"":41,""dy"":2,""t"":10780},{""x"":525,""y"":815,""dx"":34,""dy"":-6,""t"":10816},{""x"":523,""y"":817,""dx"":32,""dy"":-4,""t"":10849},{""x"":521,""y"":820,""dx"":30,""dy"":-1,""t"":10884},{""x"":531,""y"":821,""dx"":40,""dy"":0,""t"":10918},{""x"":527,""y"":808,""dx"":36,""dy"":-13,""t"":10952},{""x"":537,""y"":807,""dx"":46,""dy"":-14,""t"":10986},{""x"":535,""y"":813,""dx"":44,""dy"":-8,""t"":11020},{""x"":536,""y"":817,""dx"":45,""dy"":-4,""t"":11055},{""x"":531,""y"":818,""dx"":40,""dy"":-3,""t"":11088},{""x"":534,""y"":821,""dx"":43,""dy"":0,""t"":11122},{""x"":533,""y"":829,""dx"":42,""dy"":8,""t"":11156},{""x"":524,""y"":827,""dx"":33,""dy"":6,""t"":11190},{""x"":522,""y"":837,""dx"":31,""dy"":16,""t"":11224},{""x"":517,""y"":833,""dx"":26,""dy"":12,""t"":11258},{""x"":518,""y"":829,""dx"":27,""dy"":8,""t"":11293},{""x"":532,""y"":843,""dx"":41,""dy"":22,""t"":11326},{""x"":536,""y"":842,""dx"":45,""dy"":21,""t"":11360},{""x"":535,""y"":843,""dx"":44,""dy"":22,""t"":11394},{""x"":540,""y"":854,""dx"":49,""dy"":33,""t"":11428},{""x"":533,""y"":857,""dx"":42,""dy"":36,""t"":11462},{""x"":541,""y"":859,""dx"":50,""dy"":38,""t"":11496},{""x"":529,""y"":858,""dx"":38,""dy"":37,""t"":11530},{""x"":522,""y"":851,""dx"":31,""dy"":30,""t"":11565},{""x"":525,""y"":848,""dx"":34,""dy"":27,""t"":11598},{""x"":519,""y"":840,""dx"":28,""dy"":19,""t"":11632},{""x"":519,""y"":837,""dx"":28,""dy"":16,""t"":11666},{""x"":531,""y"":846,""dx"":40,""dy"":25,""t"":11699},{""x"":535,""y"":850,""dx"":44,""dy"":29,""t"":11734},{""x"":525,""y"":849,""dx"":34,""dy"":28,""t"":11768},{""x"":513,""y"":851,""dx"":22,""dy"":30,""t"":11802},{""x"":517,""y"":863,""dx"":26,""dy"":42,""t"":11836},{""x"":533,""y"":868,""dx"":42,""dy"":47,""t"":11870},{""x"":546,""y"":876,""dx"":55,""dy"":55,""t"":11904},{""x"":545,""y"":862,""dx"":54,""dy"":41,""t"":11937},{""x"":532,""y"":847,""dx"":41,""dy"":26,""t"":11972},{""x"":531,""y"":850,""dx"":40,""dy"":29,""t"":12005}],[{""x"":1435,""y"":775,""dx"":-16,""dy"":-46,""t"":13027},{""x"":1399,""y"":788,""dx"":-52,""dy"":-33,""t"":13060},{""x"":1391,""y"":799,""dx"":-60,""dy"":-22,""t"":13094},{""x"":1381,""y"":814,""dx"":-70,""dy"":-7,""t"":13129},{""x"":1372,""y"":818,""dx"":-79,""dy"":-3,""t"":13162},{""x"":1358,""y"":825,""dx"":-93,""dy"":4,""t"":13196},{""x"":1353,""y"":820,""dx"":-98,""dy"":-1,""t"":13229},{""x"":1342,""y"":817,""dx"":-109,""dy"":-4,""t"":13264},{""x"":1341,""y"":815,""dx"":-110,""dy"":-6,""t"":13298},{""x"":1340,""y"":836,""dx"":-111,""dy"":15,""t"":13332},{""x"":1332,""y"":833,""dx"":-119,""dy"":12,""t"":13366},{""x"":1327,""y"":823,""dx"":-124,""dy"":2,""t"":13399},{""x"":1318,""y"":821,""dx"":-133,""dy"":0,""t"":13434},{""x"":1284,""y"":877,""dx"":-167,""dy"":56,""t"":13468},{""x"":1202,""y"":965,""dx"":-249,""dy"":144,""t"":13502},{""x"":1126,""y"":1019,""dx"":-325,""dy"":198,""t"":13536},{""x"":1113,""y"":1068,""dx"":-338,""dy"":247,""t"":13570},{""x"":1097,""y"":1091,""dx"":-354,""dy"":270,""t"":13604},{""x"":1114,""y"":1083,""dx"":-337,""dy"":262,""t"":13638},{""x"":1143,""y"":1055,""dx"":-308,""dy"":234,""t"":13672},{""x"":1167,""y"":1032,""dx"":-284,""dy"":211,""t"":13706},{""x"":1179,""y"":996,""dx"":-272,""dy"":175,""t"":13741},{""x"":1209,""y"":945,""dx"":-242,""dy"":124,""t"":13774},{""x"":1251,""y"":910,""dx"":-200,""dy"":89,""t"":13808},{""x"":1269,""y"":880,""dx"":-182,""dy"":59,""t"":13841},{""x"":1312,""y"":870,""dx"":-139,""dy"":49,""t"":13877},{""x"":1313,""y"":856,""dx"":-138,""dy"":35,""t"":13910},{""x"":1305,""y"":847,""dx"":-146,""dy"":26,""t"":13942},{""x"":1305,""y"":835,""dx"":-146,""dy"":14,""t"":13978},{""x"":1301,""y"":818,""dx"":-150,""dy"":-3,""t"":14012},{""x"":1318,""y"":796,""dx"":-133,""dy"":-25,""t"":14046},{""x"":1310,""y"":798,""dx"":-141,""dy"":-23,""t"":14080},{""x"":1330,""y"":798,""dx"":-121,""dy"":-23,""t"":14114},{""x"":1335,""y"":795,""dx"":-116,""dy"":-26,""t"":14149},{""x"":1344,""y"":794,""dx"":-107,""dy"":-27,""t"":14182},{""x"":1340,""y"":801,""dx"":-111,""dy"":-20,""t"":14216},{""x"":1330,""y"":806,""dx"":-121,""dy"":-15,""t"":14250},{""x"":1331,""y"":814,""dx"":-120,""dy"":-7,""t"":14284},{""x"":1335,""y"":798,""dx"":-116,""dy"":-23,""t"":14318},{""x"":1338,""y"":785,""dx"":-113,""dy"":-36,""t"":14350},{""x"":1341,""y"":776,""dx"":-110,""dy"":-45,""t"":14386},{""x"":1339,""y"":782,""dx"":-112,""dy"":-39,""t"":14420},{""x"":1328,""y"":787,""dx"":-123,""dy"":-34,""t"":14454},{""x"":1315,""y"":793,""dx"":-136,""dy"":-28,""t"":14487},{""x"":1302,""y"":791,""dx"":-149,""dy"":-30,""t"":14522},{""x"":1311,""y"":782,""dx"":-140,""dy"":-39,""t"":14556},{""x"":1309,""y"":761,""dx"":-142,""dy"":-60,""t"":14590},{""x"":1307,""y"":756,""dx"":-144,""dy"":-65,""t"":14623},{""x"":1303,""y"":770,""dx"":-148,""dy"":-51,""t"":14658},{""x"":1301,""y"":779,""dx"":-150,""dy"":-42,""t"":14693},{""x"":1296,""y"":794,""dx"":-155,""dy"":-27,""t"":14751},{""x"":1292,""y"":806,""dx"":-159,""dy"":-15,""t"":14765},{""x"":1290,""y"":812,""dx"":-161,""dy"":-9,""t"":14794},{""x"":1288,""y"":808,""dx"":-163,""dy"":-13,""t"":14829},{""x"":1293,""y"":813,""dx"":-158,""dy"":-8,""t"":14862},{""x"":1301,""y"":811,""dx"":-150,""dy"":-10,""t"":14897},{""x"":1296,""y"":801,""dx"":-155,""dy"":-20,""t"":14931},{""x"":1316,""y"":806,""dx"":-135,""dy"":-15,""t"":14964},{""x"":1332,""y"":794,""dx"":-119,""dy"":-27,""t"":14998}]]","[100,100,84.7457627118644,85,83.05084745762711]","[{""x"":-62.91525423728814,""y"":-13.35593220338983,""r"":22.576385707451177},{""x"":31.694915254237287,""y"":13.661016949152541,""r"":21.95769089865074},{""x"":-69.27118644067797,""y"":-60.40677966101695,""r"":48.91797037222157},{""x"":71.05,""y"":46.95,""r"":80.05552084892729},{""x"":-153.54237288135593,""y"":22.016949152542374,""r"":59.79362429610418}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
