"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1901","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1908","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5540","0.0-2.0-0.0","","","","","3630","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7178","0.0-2.0-1.0","","","","","1638","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7765","0.0-3.0","","","","","586"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","10645","0.0-4.0","","","","","","","","","797","","","","","","","","","","","","","","","","",""
"","html-button-response","6","11224","0.0-5.0-0.0","","","","","577","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","21325","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","22284","0.0-5.0-2.0","","","","","958","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","42597","0.0-5.0-3.0","","","","","","","","","","[[{""x"":464,""y"":360,""dx"":-27,""dy"":79,""t"":1023},{""x"":463,""y"":381,""dx"":-28,""dy"":100,""t"":1057},{""x"":469,""y"":392,""dx"":-22,""dy"":111,""t"":1089},{""x"":467,""y"":407,""dx"":-24,""dy"":126,""t"":1123},{""x"":458,""y"":423,""dx"":-33,""dy"":142,""t"":1159},{""x"":453,""y"":421,""dx"":-38,""dy"":140,""t"":1191},{""x"":445,""y"":409,""dx"":-46,""dy"":128,""t"":1225},{""x"":437,""y"":400,""dx"":-54,""dy"":119,""t"":1261},{""x"":424,""y"":389,""dx"":-67,""dy"":108,""t"":1293},{""x"":414,""y"":380,""dx"":-77,""dy"":99,""t"":1327},{""x"":420,""y"":365,""dx"":-71,""dy"":84,""t"":1363},{""x"":426,""y"":352,""dx"":-65,""dy"":71,""t"":1394},{""x"":419,""y"":359,""dx"":-72,""dy"":78,""t"":1429},{""x"":420,""y"":351,""dx"":-71,""dy"":70,""t"":1463},{""x"":420,""y"":344,""dx"":-71,""dy"":63,""t"":1496},{""x"":425,""y"":346,""dx"":-66,""dy"":65,""t"":1533},{""x"":438,""y"":361,""dx"":-53,""dy"":80,""t"":1565},{""x"":451,""y"":358,""dx"":-40,""dy"":77,""t"":1600},{""x"":455,""y"":366,""dx"":-36,""dy"":85,""t"":1635},{""x"":469,""y"":363,""dx"":-22,""dy"":82,""t"":1667},{""x"":491,""y"":354,""dx"":0,""dy"":73,""t"":1701},{""x"":507,""y"":357,""dx"":16,""dy"":76,""t"":1737},{""x"":514,""y"":348,""dx"":23,""dy"":67,""t"":1769},{""x"":528,""y"":354,""dx"":37,""dy"":73,""t"":1802},{""x"":537,""y"":359,""dx"":46,""dy"":78,""t"":1838},{""x"":542,""y"":361,""dx"":51,""dy"":80,""t"":1873},{""x"":534,""y"":367,""dx"":43,""dy"":86,""t"":1905},{""x"":528,""y"":377,""dx"":37,""dy"":96,""t"":1939},{""x"":521,""y"":387,""dx"":30,""dy"":106,""t"":1976},{""x"":509,""y"":385,""dx"":18,""dy"":104,""t"":2007},{""x"":497,""y"":385,""dx"":6,""dy"":104,""t"":2041},{""x"":486,""y"":383,""dx"":-5,""dy"":102,""t"":2077},{""x"":477,""y"":369,""dx"":-14,""dy"":88,""t"":2109},{""x"":474,""y"":351,""dx"":-17,""dy"":70,""t"":2143},{""x"":466,""y"":348,""dx"":-25,""dy"":67,""t"":2179},{""x"":465,""y"":347,""dx"":-26,""dy"":66,""t"":2211},{""x"":465,""y"":343,""dx"":-26,""dy"":62,""t"":2245},{""x"":443,""y"":347,""dx"":-48,""dy"":66,""t"":2281},{""x"":441,""y"":360,""dx"":-50,""dy"":79,""t"":2313},{""x"":440,""y"":353,""dx"":-51,""dy"":72,""t"":2347},{""x"":444,""y"":370,""dx"":-47,""dy"":89,""t"":2383},{""x"":437,""y"":366,""dx"":-54,""dy"":85,""t"":2415},{""x"":427,""y"":354,""dx"":-64,""dy"":73,""t"":2449},{""x"":432,""y"":348,""dx"":-59,""dy"":67,""t"":2485},{""x"":424,""y"":336,""dx"":-67,""dy"":55,""t"":2517},{""x"":416,""y"":303,""dx"":-75,""dy"":22,""t"":2551},{""x"":414,""y"":284,""dx"":-77,""dy"":3,""t"":2587},{""x"":405,""y"":267,""dx"":-86,""dy"":-14,""t"":2620},{""x"":399,""y"":256,""dx"":-92,""dy"":-25,""t"":2653},{""x"":398,""y"":246,""dx"":-93,""dy"":-35,""t"":2689},{""x"":397,""y"":273,""dx"":-94,""dy"":-8,""t"":2721},{""x"":404,""y"":302,""dx"":-87,""dy"":21,""t"":2755},{""x"":418,""y"":282,""dx"":-73,""dy"":1,""t"":2791},{""x"":429,""y"":286,""dx"":-62,""dy"":5,""t"":2823},{""x"":429,""y"":279,""dx"":-62,""dy"":-2,""t"":2857},{""x"":425,""y"":265,""dx"":-66,""dy"":-16,""t"":2893},{""x"":439,""y"":290,""dx"":-52,""dy"":9,""t"":2926},{""x"":448,""y"":298,""dx"":-43,""dy"":17,""t"":2960},{""x"":434,""y"":325,""dx"":-57,""dy"":44,""t"":2995}],[{""x"":1500,""y"":256,""dx"":49,""dy"":-25,""t"":4015},{""x"":1472,""y"":255,""dx"":21,""dy"":-26,""t"":4048},{""x"":1442,""y"":286,""dx"":-9,""dy"":5,""t"":4082},{""x"":1427,""y"":286,""dx"":-24,""dy"":5,""t"":4118},{""x"":1423,""y"":282,""dx"":-28,""dy"":1,""t"":4150},{""x"":1416,""y"":285,""dx"":-35,""dy"":4,""t"":4184},{""x"":1418,""y"":297,""dx"":-33,""dy"":16,""t"":4220},{""x"":1406,""y"":287,""dx"":-45,""dy"":6,""t"":4252},{""x"":1402,""y"":286,""dx"":-49,""dy"":5,""t"":4287},{""x"":1395,""y"":275,""dx"":-56,""dy"":-6,""t"":4321},{""x"":1407,""y"":281,""dx"":-44,""dy"":0,""t"":4354},{""x"":1413,""y"":285,""dx"":-38,""dy"":4,""t"":4388},{""x"":1407,""y"":283,""dx"":-44,""dy"":2,""t"":4424},{""x"":1407,""y"":285,""dx"":-44,""dy"":4,""t"":4456},{""x"":1407,""y"":275,""dx"":-44,""dy"":-6,""t"":4490},{""x"":1419,""y"":270,""dx"":-32,""dy"":-11,""t"":4526},{""x"":1421,""y"":269,""dx"":-30,""dy"":-12,""t"":4558},{""x"":1434,""y"":269,""dx"":-17,""dy"":-12,""t"":4591},{""x"":1443,""y"":267,""dx"":-8,""dy"":-14,""t"":4627},{""x"":1443,""y"":279,""dx"":-8,""dy"":-2,""t"":4659},{""x"":1438,""y"":277,""dx"":-13,""dy"":-4,""t"":4692},{""x"":1440,""y"":279,""dx"":-11,""dy"":-2,""t"":4727},{""x"":1470,""y"":301,""dx"":19,""dy"":20,""t"":4763},{""x"":1471,""y"":300,""dx"":20,""dy"":19,""t"":4795},{""x"":1483,""y"":310,""dx"":32,""dy"":29,""t"":4829},{""x"":1476,""y"":302,""dx"":25,""dy"":21,""t"":4865},{""x"":1496,""y"":327,""dx"":45,""dy"":46,""t"":4897},{""x"":1512,""y"":348,""dx"":61,""dy"":67,""t"":4931},{""x"":1523,""y"":341,""dx"":72,""dy"":60,""t"":4967},{""x"":1531,""y"":335,""dx"":80,""dy"":54,""t"":4998},{""x"":1542,""y"":335,""dx"":91,""dy"":54,""t"":5033},{""x"":1527,""y"":328,""dx"":76,""dy"":47,""t"":5067},{""x"":1498,""y"":329,""dx"":47,""dy"":48,""t"":5100},{""x"":1490,""y"":337,""dx"":39,""dy"":56,""t"":5137},{""x"":1463,""y"":338,""dx"":12,""dy"":57,""t"":5169},{""x"":1461,""y"":332,""dx"":10,""dy"":51,""t"":5203},{""x"":1453,""y"":315,""dx"":2,""dy"":34,""t"":5240},{""x"":1431,""y"":304,""dx"":-20,""dy"":23,""t"":5271},{""x"":1435,""y"":307,""dx"":-16,""dy"":26,""t"":5305},{""x"":1434,""y"":280,""dx"":-17,""dy"":-1,""t"":5341},{""x"":1436,""y"":307,""dx"":-15,""dy"":26,""t"":5373},{""x"":1429,""y"":284,""dx"":-22,""dy"":3,""t"":5406},{""x"":1430,""y"":310,""dx"":-21,""dy"":29,""t"":5441},{""x"":1417,""y"":302,""dx"":-34,""dy"":21,""t"":5477},{""x"":1414,""y"":285,""dx"":-37,""dy"":4,""t"":5510},{""x"":1410,""y"":278,""dx"":-41,""dy"":-3,""t"":5544},{""x"":1409,""y"":266,""dx"":-42,""dy"":-15,""t"":5579},{""x"":1409,""y"":260,""dx"":-42,""dy"":-21,""t"":5611},{""x"":1416,""y"":293,""dx"":-35,""dy"":12,""t"":5646},{""x"":1430,""y"":306,""dx"":-21,""dy"":25,""t"":5681},{""x"":1423,""y"":291,""dx"":-28,""dy"":10,""t"":5714},{""x"":1431,""y"":309,""dx"":-20,""dy"":28,""t"":5748},{""x"":1419,""y"":305,""dx"":-32,""dy"":24,""t"":5784},{""x"":1404,""y"":305,""dx"":-47,""dy"":24,""t"":5816},{""x"":1404,""y"":296,""dx"":-47,""dy"":15,""t"":5851},{""x"":1388,""y"":306,""dx"":-63,""dy"":25,""t"":5886},{""x"":1378,""y"":304,""dx"":-73,""dy"":23,""t"":5919},{""x"":1367,""y"":302,""dx"":-84,""dy"":21,""t"":5951},{""x"":1365,""y"":298,""dx"":-86,""dy"":17,""t"":5988}],[{""x"":888,""y"":490,""dx"":-83,""dy"":-61,""t"":7005},{""x"":870,""y"":484,""dx"":-101,""dy"":-67,""t"":7041},{""x"":864,""y"":480,""dx"":-107,""dy"":-71,""t"":7073},{""x"":898,""y"":477,""dx"":-73,""dy"":-74,""t"":7107},{""x"":899,""y"":487,""dx"":-72,""dy"":-64,""t"":7143},{""x"":897,""y"":495,""dx"":-74,""dy"":-56,""t"":7175},{""x"":889,""y"":494,""dx"":-82,""dy"":-57,""t"":7209},{""x"":883,""y"":479,""dx"":-88,""dy"":-72,""t"":7245},{""x"":818,""y"":454,""dx"":-153,""dy"":-97,""t"":7277},{""x"":820,""y"":448,""dx"":-151,""dy"":-103,""t"":7311},{""x"":831,""y"":448,""dx"":-140,""dy"":-103,""t"":7347},{""x"":848,""y"":456,""dx"":-123,""dy"":-95,""t"":7379},{""x"":860,""y"":457,""dx"":-111,""dy"":-94,""t"":7414},{""x"":843,""y"":447,""dx"":-128,""dy"":-104,""t"":7449},{""x"":823,""y"":427,""dx"":-148,""dy"":-124,""t"":7481},{""x"":858,""y"":451,""dx"":-113,""dy"":-100,""t"":7515},{""x"":894,""y"":444,""dx"":-77,""dy"":-107,""t"":7552},{""x"":904,""y"":448,""dx"":-67,""dy"":-103,""t"":7583},{""x"":917,""y"":448,""dx"":-54,""dy"":-103,""t"":7617},{""x"":933,""y"":434,""dx"":-38,""dy"":-117,""t"":7653},{""x"":947,""y"":426,""dx"":-24,""dy"":-125,""t"":7685},{""x"":960,""y"":419,""dx"":-11,""dy"":-132,""t"":7719},{""x"":978,""y"":410,""dx"":7,""dy"":-141,""t"":7755},{""x"":987,""y"":405,""dx"":16,""dy"":-146,""t"":7787},{""x"":990,""y"":419,""dx"":19,""dy"":-132,""t"":7821},{""x"":1001,""y"":419,""dx"":30,""dy"":-132,""t"":7857},{""x"":996,""y"":390,""dx"":25,""dy"":-161,""t"":7889},{""x"":996,""y"":387,""dx"":25,""dy"":-164,""t"":7923},{""x"":1007,""y"":392,""dx"":36,""dy"":-159,""t"":7959},{""x"":988,""y"":391,""dx"":17,""dy"":-160,""t"":7991},{""x"":967,""y"":407,""dx"":-4,""dy"":-144,""t"":8025},{""x"":941,""y"":414,""dx"":-30,""dy"":-137,""t"":8061},{""x"":921,""y"":444,""dx"":-50,""dy"":-107,""t"":8094},{""x"":896,""y"":442,""dx"":-75,""dy"":-109,""t"":8127},{""x"":887,""y"":454,""dx"":-84,""dy"":-97,""t"":8163},{""x"":890,""y"":438,""dx"":-81,""dy"":-113,""t"":8195},{""x"":912,""y"":415,""dx"":-59,""dy"":-136,""t"":8229},{""x"":958,""y"":404,""dx"":-13,""dy"":-147,""t"":8263},{""x"":952,""y"":431,""dx"":-19,""dy"":-120,""t"":8297},{""x"":954,""y"":448,""dx"":-17,""dy"":-103,""t"":8333},{""x"":960,""y"":461,""dx"":-11,""dy"":-90,""t"":8366},{""x"":955,""y"":447,""dx"":-16,""dy"":-104,""t"":8400},{""x"":955,""y"":431,""dx"":-16,""dy"":-120,""t"":8435},{""x"":965,""y"":438,""dx"":-6,""dy"":-113,""t"":8467},{""x"":957,""y"":425,""dx"":-14,""dy"":-126,""t"":8501},{""x"":967,""y"":424,""dx"":-4,""dy"":-127,""t"":8537},{""x"":980,""y"":426,""dx"":9,""dy"":-125,""t"":8569},{""x"":991,""y"":428,""dx"":20,""dy"":-123,""t"":8603},{""x"":995,""y"":470,""dx"":24,""dy"":-81,""t"":8638},{""x"":974,""y"":480,""dx"":3,""dy"":-71,""t"":8673},{""x"":964,""y"":476,""dx"":-7,""dy"":-75,""t"":8706},{""x"":956,""y"":459,""dx"":-15,""dy"":-92,""t"":8740},{""x"":974,""y"":458,""dx"":3,""dy"":-93,""t"":8775},{""x"":984,""y"":455,""dx"":13,""dy"":-96,""t"":8808},{""x"":965,""y"":417,""dx"":-6,""dy"":-134,""t"":8843},{""x"":973,""y"":425,""dx"":2,""dy"":-126,""t"":8879},{""x"":975,""y"":449,""dx"":4,""dy"":-102,""t"":8909},{""x"":980,""y"":466,""dx"":9,""dy"":-85,""t"":8944},{""x"":987,""y"":483,""dx"":16,""dy"":-68,""t"":8979}],[{""x"":440,""y"":751,""dx"":-51,""dy"":-70,""t"":10030},{""x"":437,""y"":749,""dx"":-54,""dy"":-72,""t"":10065},{""x"":443,""y"":747,""dx"":-48,""dy"":-74,""t"":10102},{""x"":432,""y"":744,""dx"":-59,""dy"":-77,""t"":10133},{""x"":439,""y"":750,""dx"":-52,""dy"":-71,""t"":10167},{""x"":445,""y"":755,""dx"":-46,""dy"":-66,""t"":10200},{""x"":445,""y"":754,""dx"":-46,""dy"":-67,""t"":10237},{""x"":438,""y"":756,""dx"":-53,""dy"":-65,""t"":10269},{""x"":432,""y"":758,""dx"":-59,""dy"":-63,""t"":10302},{""x"":437,""y"":752,""dx"":-54,""dy"":-69,""t"":10337},{""x"":432,""y"":744,""dx"":-59,""dy"":-77,""t"":10373},{""x"":426,""y"":753,""dx"":-65,""dy"":-68,""t"":10405},{""x"":429,""y"":745,""dx"":-62,""dy"":-76,""t"":10439},{""x"":428,""y"":746,""dx"":-63,""dy"":-75,""t"":10475},{""x"":419,""y"":746,""dx"":-72,""dy"":-75,""t"":10507},{""x"":430,""y"":731,""dx"":-61,""dy"":-90,""t"":10541},{""x"":442,""y"":724,""dx"":-49,""dy"":-97,""t"":10577},{""x"":450,""y"":729,""dx"":-41,""dy"":-92,""t"":10609},{""x"":469,""y"":740,""dx"":-22,""dy"":-81,""t"":10643},{""x"":482,""y"":726,""dx"":-9,""dy"":-95,""t"":10679},{""x"":487,""y"":728,""dx"":-4,""dy"":-93,""t"":10711},{""x"":479,""y"":728,""dx"":-12,""dy"":-93,""t"":10745},{""x"":488,""y"":721,""dx"":-3,""dy"":-100,""t"":10781},{""x"":488,""y"":728,""dx"":-3,""dy"":-93,""t"":10814},{""x"":492,""y"":725,""dx"":1,""dy"":-96,""t"":10847},{""x"":487,""y"":723,""dx"":-4,""dy"":-98,""t"":10883},{""x"":481,""y"":729,""dx"":-10,""dy"":-92,""t"":10915},{""x"":473,""y"":733,""dx"":-18,""dy"":-88,""t"":10949},{""x"":475,""y"":727,""dx"":-16,""dy"":-94,""t"":10985},{""x"":473,""y"":726,""dx"":-18,""dy"":-95,""t"":11017},{""x"":472,""y"":730,""dx"":-19,""dy"":-91,""t"":11051},{""x"":465,""y"":723,""dx"":-26,""dy"":-98,""t"":11087},{""x"":469,""y"":727,""dx"":-22,""dy"":-94,""t"":11119},{""x"":467,""y"":735,""dx"":-24,""dy"":-86,""t"":11153},{""x"":463,""y"":727,""dx"":-28,""dy"":-94,""t"":11189},{""x"":475,""y"":737,""dx"":-16,""dy"":-84,""t"":11221},{""x"":469,""y"":745,""dx"":-22,""dy"":-76,""t"":11255},{""x"":466,""y"":740,""dx"":-25,""dy"":-81,""t"":11291},{""x"":467,""y"":727,""dx"":-24,""dy"":-94,""t"":11323},{""x"":466,""y"":726,""dx"":-25,""dy"":-95,""t"":11357},{""x"":460,""y"":727,""dx"":-31,""dy"":-94,""t"":11393},{""x"":458,""y"":736,""dx"":-33,""dy"":-85,""t"":11426},{""x"":453,""y"":752,""dx"":-38,""dy"":-69,""t"":11460},{""x"":458,""y"":763,""dx"":-33,""dy"":-58,""t"":11495},{""x"":465,""y"":765,""dx"":-26,""dy"":-56,""t"":11527},{""x"":479,""y"":744,""dx"":-12,""dy"":-77,""t"":11561},{""x"":478,""y"":737,""dx"":-13,""dy"":-84,""t"":11597},{""x"":475,""y"":738,""dx"":-16,""dy"":-83,""t"":11629},{""x"":485,""y"":745,""dx"":-6,""dy"":-76,""t"":11663},{""x"":478,""y"":755,""dx"":-13,""dy"":-66,""t"":11699},{""x"":478,""y"":756,""dx"":-13,""dy"":-65,""t"":11731},{""x"":480,""y"":757,""dx"":-11,""dy"":-64,""t"":11765},{""x"":481,""y"":757,""dx"":-10,""dy"":-64,""t"":11800},{""x"":491,""y"":748,""dx"":0,""dy"":-73,""t"":11835},{""x"":499,""y"":738,""dx"":8,""dy"":-83,""t"":11867},{""x"":499,""y"":742,""dx"":8,""dy"":-79,""t"":11901},{""x"":500,""y"":736,""dx"":9,""dy"":-85,""t"":11937},{""x"":505,""y"":726,""dx"":14,""dy"":-95,""t"":11969},{""x"":491,""y"":738,""dx"":0,""dy"":-83,""t"":12003}],[{""x"":1355,""y"":669,""dx"":-96,""dy"":-152,""t"":13024},{""x"":1328,""y"":668,""dx"":-123,""dy"":-153,""t"":13059},{""x"":1306,""y"":664,""dx"":-145,""dy"":-157,""t"":13092},{""x"":1322,""y"":657,""dx"":-129,""dy"":-164,""t"":13127},{""x"":1328,""y"":651,""dx"":-123,""dy"":-170,""t"":13161},{""x"":1335,""y"":650,""dx"":-116,""dy"":-171,""t"":13194},{""x"":1344,""y"":647,""dx"":-107,""dy"":-174,""t"":13228},{""x"":1329,""y"":651,""dx"":-122,""dy"":-170,""t"":13264},{""x"":1334,""y"":640,""dx"":-117,""dy"":-181,""t"":13297},{""x"":1333,""y"":630,""dx"":-118,""dy"":-191,""t"":13330},{""x"":1349,""y"":608,""dx"":-102,""dy"":-213,""t"":13366},{""x"":1363,""y"":590,""dx"":-88,""dy"":-231,""t"":13397},{""x"":1362,""y"":590,""dx"":-89,""dy"":-231,""t"":13431},{""x"":1355,""y"":581,""dx"":-96,""dy"":-240,""t"":13467},{""x"":1366,""y"":605,""dx"":-85,""dy"":-216,""t"":13501},{""x"":1384,""y"":609,""dx"":-67,""dy"":-212,""t"":13533},{""x"":1381,""y"":595,""dx"":-70,""dy"":-226,""t"":13567},{""x"":1397,""y"":603,""dx"":-54,""dy"":-218,""t"":13603},{""x"":1404,""y"":591,""dx"":-47,""dy"":-230,""t"":13635},{""x"":1417,""y"":597,""dx"":-34,""dy"":-224,""t"":13669},{""x"":1429,""y"":587,""dx"":-22,""dy"":-234,""t"":13705},{""x"":1440,""y"":581,""dx"":-11,""dy"":-240,""t"":13737},{""x"":1440,""y"":575,""dx"":-11,""dy"":-246,""t"":13771},{""x"":1431,""y"":575,""dx"":-20,""dy"":-246,""t"":13804},{""x"":1447,""y"":599,""dx"":-4,""dy"":-222,""t"":13841},{""x"":1444,""y"":620,""dx"":-7,""dy"":-201,""t"":13873},{""x"":1429,""y"":623,""dx"":-22,""dy"":-198,""t"":13907},{""x"":1432,""y"":627,""dx"":-19,""dy"":-194,""t"":13943},{""x"":1404,""y"":643,""dx"":-47,""dy"":-178,""t"":13975},{""x"":1406,""y"":655,""dx"":-45,""dy"":-166,""t"":14009},{""x"":1425,""y"":658,""dx"":-26,""dy"":-163,""t"":14045},{""x"":1380,""y"":664,""dx"":-71,""dy"":-157,""t"":14077},{""x"":1391,""y"":677,""dx"":-60,""dy"":-144,""t"":14111},{""x"":1395,""y"":682,""dx"":-56,""dy"":-139,""t"":14147},{""x"":1417,""y"":685,""dx"":-34,""dy"":-136,""t"":14179},{""x"":1390,""y"":688,""dx"":-61,""dy"":-133,""t"":14214},{""x"":1365,""y"":677,""dx"":-86,""dy"":-144,""t"":14249},{""x"":1371,""y"":679,""dx"":-80,""dy"":-142,""t"":14281},{""x"":1380,""y"":673,""dx"":-71,""dy"":-148,""t"":14315},{""x"":1351,""y"":669,""dx"":-100,""dy"":-152,""t"":14351},{""x"":1328,""y"":676,""dx"":-123,""dy"":-145,""t"":14383},{""x"":1316,""y"":679,""dx"":-135,""dy"":-142,""t"":14417},{""x"":1307,""y"":684,""dx"":-144,""dy"":-137,""t"":14453},{""x"":1298,""y"":684,""dx"":-153,""dy"":-137,""t"":14485},{""x"":1285,""y"":688,""dx"":-166,""dy"":-133,""t"":14519},{""x"":1282,""y"":685,""dx"":-169,""dy"":-136,""t"":14555},{""x"":1275,""y"":675,""dx"":-176,""dy"":-146,""t"":14587},{""x"":1271,""y"":674,""dx"":-180,""dy"":-147,""t"":14621},{""x"":1266,""y"":676,""dx"":-185,""dy"":-145,""t"":14657},{""x"":1277,""y"":674,""dx"":-174,""dy"":-147,""t"":14689},{""x"":1276,""y"":671,""dx"":-175,""dy"":-150,""t"":14723},{""x"":1275,""y"":671,""dx"":-176,""dy"":-150,""t"":14759},{""x"":1276,""y"":674,""dx"":-175,""dy"":-147,""t"":14791},{""x"":1287,""y"":665,""dx"":-164,""dy"":-156,""t"":14825},{""x"":1286,""y"":665,""dx"":-165,""dy"":-156,""t"":14861},{""x"":1278,""y"":674,""dx"":-173,""dy"":-147,""t"":14893},{""x"":1270,""y"":684,""dx"":-181,""dy"":-137,""t"":14927},{""x"":1271,""y"":678,""dx"":-180,""dy"":-143,""t"":14963},{""x"":1271,""y"":681,""dx"":-180,""dy"":-140,""t"":14995}]]","[100,100,100,100,32.20338983050847]","[{""x"":-38.101694915254235,""y"":66.32203389830508,""r"":49.56466907555019},{""x"":-12.779661016949152,""y"":15.440677966101696,""r"":33.25054403375454},{""x"":-38.42372881355932,""y"":-108.27118644067797,""r"":50.28780426390252},{""x"":-26.423728813559322,""y"":-81.2542372881356,""r"":23.821158085547133},{""x"":-100.9322033898305,""y"":-173.6949152542373,""r"":63.699075733903975}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.40","validate","","","","","","","","","","",""
