"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","36192","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","36198","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","39927","0.0-2.0-0.0","","","","","3726","{""name"":""何靓雯"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","41399","0.0-2.0-1.0","","","","","1471","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","42207","0.0-3.0","","","","","806"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","47551","0.0-4.0","","","","","","","","","1550","","","","","","","","","","","","","","","","",""
"","html-button-response","6","48367","0.0-5.0-0.0","","","","","814","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","59382","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","60631","0.0-5.0-2.0","","","","","1249","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","77696","0.0-5.0-3.0","","","","","","","","","","[[{""x"":536,""y"":352,""dx"":45,""dy"":71,""t"":989},{""x"":546,""y"":340,""dx"":55,""dy"":59,""t"":1024},{""x"":577,""y"":342,""dx"":86,""dy"":61,""t"":1057},{""x"":593,""y"":333,""dx"":102,""dy"":52,""t"":1092},{""x"":619,""y"":348,""dx"":128,""dy"":67,""t"":1127},{""x"":646,""y"":384,""dx"":155,""dy"":103,""t"":1161},{""x"":638,""y"":400,""dx"":147,""dy"":119,""t"":1194},{""x"":624,""y"":426,""dx"":133,""dy"":145,""t"":1228},{""x"":633,""y"":414,""dx"":142,""dy"":133,""t"":1262},{""x"":636,""y"":426,""dx"":145,""dy"":145,""t"":1297},{""x"":619,""y"":439,""dx"":128,""dy"":158,""t"":1331},{""x"":614,""y"":427,""dx"":123,""dy"":146,""t"":1363},{""x"":615,""y"":437,""dx"":124,""dy"":156,""t"":1398},{""x"":579,""y"":441,""dx"":88,""dy"":160,""t"":1432},{""x"":587,""y"":425,""dx"":96,""dy"":144,""t"":1465},{""x"":587,""y"":409,""dx"":96,""dy"":128,""t"":1500},{""x"":623,""y"":417,""dx"":132,""dy"":136,""t"":1565},{""x"":627,""y"":420,""dx"":136,""dy"":139,""t"":1572},{""x"":623,""y"":428,""dx"":132,""dy"":147,""t"":1602},{""x"":625,""y"":415,""dx"":134,""dy"":134,""t"":1637},{""x"":626,""y"":400,""dx"":135,""dy"":119,""t"":1669},{""x"":621,""y"":392,""dx"":130,""dy"":111,""t"":1716},{""x"":624,""y"":387,""dx"":133,""dy"":106,""t"":1742},{""x"":625,""y"":398,""dx"":134,""dy"":117,""t"":1772},{""x"":622,""y"":393,""dx"":131,""dy"":112,""t"":1805},{""x"":619,""y"":403,""dx"":128,""dy"":122,""t"":1839},{""x"":627,""y"":400,""dx"":136,""dy"":119,""t"":1874},{""x"":626,""y"":403,""dx"":135,""dy"":122,""t"":1909},{""x"":621,""y"":372,""dx"":130,""dy"":91,""t"":1941},{""x"":637,""y"":365,""dx"":146,""dy"":84,""t"":1977},{""x"":609,""y"":371,""dx"":118,""dy"":90,""t"":2010},{""x"":610,""y"":370,""dx"":119,""dy"":89,""t"":2044},{""x"":602,""y"":370,""dx"":111,""dy"":89,""t"":2077},{""x"":596,""y"":372,""dx"":105,""dy"":91,""t"":2112},{""x"":605,""y"":376,""dx"":114,""dy"":95,""t"":2147},{""x"":603,""y"":390,""dx"":112,""dy"":109,""t"":2181},{""x"":599,""y"":401,""dx"":108,""dy"":120,""t"":2214},{""x"":624,""y"":394,""dx"":133,""dy"":113,""t"":2248},{""x"":634,""y"":389,""dx"":143,""dy"":108,""t"":2283},{""x"":600,""y"":388,""dx"":109,""dy"":107,""t"":2317},{""x"":601,""y"":380,""dx"":110,""dy"":99,""t"":2350},{""x"":568,""y"":389,""dx"":77,""dy"":108,""t"":2383},{""x"":548,""y"":385,""dx"":57,""dy"":104,""t"":2420},{""x"":551,""y"":401,""dx"":60,""dy"":120,""t"":2452},{""x"":529,""y"":381,""dx"":38,""dy"":100,""t"":2485},{""x"":512,""y"":364,""dx"":21,""dy"":83,""t"":2517},{""x"":504,""y"":382,""dx"":13,""dy"":101,""t"":2553},{""x"":508,""y"":370,""dx"":17,""dy"":89,""t"":2589},{""x"":501,""y"":349,""dx"":10,""dy"":68,""t"":2622},{""x"":517,""y"":338,""dx"":26,""dy"":57,""t"":2656},{""x"":523,""y"":361,""dx"":32,""dy"":80,""t"":2691},{""x"":522,""y"":369,""dx"":31,""dy"":88,""t"":2724},{""x"":539,""y"":372,""dx"":48,""dy"":91,""t"":2757},{""x"":531,""y"":366,""dx"":40,""dy"":85,""t"":2792},{""x"":552,""y"":389,""dx"":61,""dy"":108,""t"":2826},{""x"":565,""y"":382,""dx"":74,""dy"":101,""t"":2860},{""x"":567,""y"":384,""dx"":76,""dy"":103,""t"":2894},{""x"":592,""y"":398,""dx"":101,""dy"":117,""t"":2928},{""x"":571,""y"":408,""dx"":80,""dy"":127,""t"":2963},{""x"":554,""y"":382,""dx"":63,""dy"":101,""t"":2996}],[{""x"":1429,""y"":371,""dx"":-22,""dy"":90,""t"":4016},{""x"":1411,""y"":349,""dx"":-40,""dy"":68,""t"":4050},{""x"":1395,""y"":379,""dx"":-56,""dy"":98,""t"":4084},{""x"":1381,""y"":406,""dx"":-70,""dy"":125,""t"":4116},{""x"":1351,""y"":362,""dx"":-100,""dy"":81,""t"":4152},{""x"":1357,""y"":362,""dx"":-94,""dy"":81,""t"":4186},{""x"":1345,""y"":378,""dx"":-106,""dy"":97,""t"":4220},{""x"":1386,""y"":393,""dx"":-65,""dy"":112,""t"":4254},{""x"":1362,""y"":397,""dx"":-89,""dy"":116,""t"":4288},{""x"":1348,""y"":400,""dx"":-103,""dy"":119,""t"":4323},{""x"":1402,""y"":428,""dx"":-49,""dy"":147,""t"":4356},{""x"":1445,""y"":415,""dx"":-6,""dy"":134,""t"":4390},{""x"":1483,""y"":450,""dx"":32,""dy"":169,""t"":4424},{""x"":1446,""y"":453,""dx"":-5,""dy"":172,""t"":4457},{""x"":1470,""y"":452,""dx"":19,""dy"":171,""t"":4492},{""x"":1468,""y"":452,""dx"":17,""dy"":171,""t"":4526},{""x"":1461,""y"":444,""dx"":10,""dy"":163,""t"":4560},{""x"":1407,""y"":429,""dx"":-44,""dy"":148,""t"":4594},{""x"":1422,""y"":429,""dx"":-29,""dy"":148,""t"":4628},{""x"":1376,""y"":407,""dx"":-75,""dy"":126,""t"":4662},{""x"":1337,""y"":415,""dx"":-114,""dy"":134,""t"":4696},{""x"":1353,""y"":408,""dx"":-98,""dy"":127,""t"":4730},{""x"":1317,""y"":398,""dx"":-134,""dy"":117,""t"":4764},{""x"":1283,""y"":393,""dx"":-168,""dy"":112,""t"":4798},{""x"":1323,""y"":392,""dx"":-128,""dy"":111,""t"":4832},{""x"":1307,""y"":386,""dx"":-144,""dy"":105,""t"":4868},{""x"":1353,""y"":382,""dx"":-98,""dy"":101,""t"":4901},{""x"":1387,""y"":365,""dx"":-64,""dy"":84,""t"":4934},{""x"":1442,""y"":400,""dx"":-9,""dy"":119,""t"":4967},{""x"":1446,""y"":396,""dx"":-5,""dy"":115,""t"":5002},{""x"":1464,""y"":403,""dx"":13,""dy"":122,""t"":5036},{""x"":1459,""y"":404,""dx"":8,""dy"":123,""t"":5071},{""x"":1467,""y"":394,""dx"":16,""dy"":113,""t"":5104},{""x"":1488,""y"":398,""dx"":37,""dy"":117,""t"":5138},{""x"":1473,""y"":414,""dx"":22,""dy"":133,""t"":5172},{""x"":1446,""y"":419,""dx"":-5,""dy"":138,""t"":5206},{""x"":1475,""y"":469,""dx"":24,""dy"":188,""t"":5240},{""x"":1473,""y"":488,""dx"":22,""dy"":207,""t"":5274},{""x"":1422,""y"":486,""dx"":-29,""dy"":205,""t"":5307},{""x"":1449,""y"":464,""dx"":-2,""dy"":183,""t"":5342},{""x"":1477,""y"":453,""dx"":26,""dy"":172,""t"":5377},{""x"":1470,""y"":443,""dx"":19,""dy"":162,""t"":5410},{""x"":1459,""y"":426,""dx"":8,""dy"":145,""t"":5444},{""x"":1448,""y"":404,""dx"":-3,""dy"":123,""t"":5478},{""x"":1416,""y"":392,""dx"":-35,""dy"":111,""t"":5512},{""x"":1406,""y"":395,""dx"":-45,""dy"":114,""t"":5546},{""x"":1375,""y"":375,""dx"":-76,""dy"":94,""t"":5580},{""x"":1391,""y"":372,""dx"":-60,""dy"":91,""t"":5614},{""x"":1428,""y"":342,""dx"":-23,""dy"":61,""t"":5648},{""x"":1460,""y"":317,""dx"":9,""dy"":36,""t"":5680},{""x"":1469,""y"":338,""dx"":18,""dy"":57,""t"":5716},{""x"":1440,""y"":329,""dx"":-11,""dy"":48,""t"":5751},{""x"":1430,""y"":353,""dx"":-21,""dy"":72,""t"":5784},{""x"":1420,""y"":378,""dx"":-31,""dy"":97,""t"":5818},{""x"":1437,""y"":386,""dx"":-14,""dy"":105,""t"":5852},{""x"":1415,""y"":415,""dx"":-36,""dy"":134,""t"":5886},{""x"":1402,""y"":405,""dx"":-49,""dy"":124,""t"":5919},{""x"":1413,""y"":422,""dx"":-38,""dy"":141,""t"":5954},{""x"":1419,""y"":419,""dx"":-32,""dy"":138,""t"":5988}],[{""x"":1109,""y"":672,""dx"":138,""dy"":121,""t"":7007},{""x"":1082,""y"":669,""dx"":111,""dy"":118,""t"":7042},{""x"":1053,""y"":673,""dx"":82,""dy"":122,""t"":7076},{""x"":1068,""y"":667,""dx"":97,""dy"":116,""t"":7111},{""x"":1053,""y"":652,""dx"":82,""dy"":101,""t"":7144},{""x"":1044,""y"":634,""dx"":73,""dy"":83,""t"":7179},{""x"":1027,""y"":614,""dx"":56,""dy"":63,""t"":7211},{""x"":999,""y"":588,""dx"":28,""dy"":37,""t"":7245},{""x"":977,""y"":546,""dx"":6,""dy"":-5,""t"":7279},{""x"":942,""y"":548,""dx"":-29,""dy"":-3,""t"":7315},{""x"":921,""y"":535,""dx"":-50,""dy"":-16,""t"":7348},{""x"":903,""y"":554,""dx"":-68,""dy"":3,""t"":7382},{""x"":900,""y"":536,""dx"":-71,""dy"":-15,""t"":7415},{""x"":875,""y"":492,""dx"":-96,""dy"":-59,""t"":7450},{""x"":852,""y"":504,""dx"":-119,""dy"":-47,""t"":7484},{""x"":846,""y"":467,""dx"":-125,""dy"":-84,""t"":7517},{""x"":830,""y"":457,""dx"":-141,""dy"":-94,""t"":7552},{""x"":829,""y"":437,""dx"":-142,""dy"":-114,""t"":7586},{""x"":837,""y"":421,""dx"":-134,""dy"":-130,""t"":7620},{""x"":859,""y"":428,""dx"":-112,""dy"":-123,""t"":7654},{""x"":888,""y"":443,""dx"":-83,""dy"":-108,""t"":7686},{""x"":923,""y"":428,""dx"":-48,""dy"":-123,""t"":7722},{""x"":931,""y"":438,""dx"":-40,""dy"":-113,""t"":7757},{""x"":938,""y"":450,""dx"":-33,""dy"":-101,""t"":7790},{""x"":942,""y"":442,""dx"":-29,""dy"":-109,""t"":7824},{""x"":915,""y"":473,""dx"":-56,""dy"":-78,""t"":7858},{""x"":927,""y"":472,""dx"":-44,""dy"":-79,""t"":7892},{""x"":951,""y"":495,""dx"":-20,""dy"":-56,""t"":7927},{""x"":935,""y"":501,""dx"":-36,""dy"":-50,""t"":7959},{""x"":948,""y"":532,""dx"":-23,""dy"":-19,""t"":7995},{""x"":931,""y"":558,""dx"":-40,""dy"":7,""t"":8029},{""x"":921,""y"":562,""dx"":-50,""dy"":11,""t"":8062},{""x"":920,""y"":572,""dx"":-51,""dy"":21,""t"":8097},{""x"":939,""y"":577,""dx"":-32,""dy"":26,""t"":8131},{""x"":921,""y"":557,""dx"":-50,""dy"":6,""t"":8163},{""x"":924,""y"":531,""dx"":-47,""dy"":-20,""t"":8198},{""x"":924,""y"":539,""dx"":-47,""dy"":-12,""t"":8232},{""x"":908,""y"":514,""dx"":-63,""dy"":-37,""t"":8265},{""x"":864,""y"":536,""dx"":-107,""dy"":-15,""t"":8299},{""x"":868,""y"":535,""dx"":-103,""dy"":-16,""t"":8334},{""x"":858,""y"":534,""dx"":-113,""dy"":-17,""t"":8369},{""x"":842,""y"":526,""dx"":-129,""dy"":-25,""t"":8403},{""x"":852,""y"":515,""dx"":-119,""dy"":-36,""t"":8437},{""x"":871,""y"":523,""dx"":-100,""dy"":-28,""t"":8469},{""x"":855,""y"":552,""dx"":-116,""dy"":1,""t"":8505},{""x"":866,""y"":546,""dx"":-105,""dy"":-5,""t"":8539},{""x"":859,""y"":574,""dx"":-112,""dy"":23,""t"":8572},{""x"":879,""y"":578,""dx"":-92,""dy"":27,""t"":8606},{""x"":849,""y"":593,""dx"":-122,""dy"":42,""t"":8640},{""x"":875,""y"":558,""dx"":-96,""dy"":7,""t"":8674},{""x"":858,""y"":562,""dx"":-113,""dy"":11,""t"":8708},{""x"":873,""y"":543,""dx"":-98,""dy"":-8,""t"":8741},{""x"":847,""y"":551,""dx"":-124,""dy"":0,""t"":8776},{""x"":838,""y"":525,""dx"":-133,""dy"":-26,""t"":8811},{""x"":844,""y"":544,""dx"":-127,""dy"":-7,""t"":8844},{""x"":862,""y"":533,""dx"":-109,""dy"":-18,""t"":8878},{""x"":850,""y"":536,""dx"":-121,""dy"":-15,""t"":8912},{""x"":846,""y"":525,""dx"":-125,""dy"":-26,""t"":8947},{""x"":832,""y"":524,""dx"":-139,""dy"":-27,""t"":8980},{""x"":837,""y"":506,""dx"":-134,""dy"":-45,""t"":9014}],[{""x"":671,""y"":607,""dx"":180,""dy"":-214,""t"":10034},{""x"":683,""y"":604,""dx"":192,""dy"":-217,""t"":10068},{""x"":680,""y"":582,""dx"":189,""dy"":-239,""t"":10116},{""x"":727,""y"":629,""dx"":236,""dy"":-192,""t"":10155},{""x"":717,""y"":628,""dx"":226,""dy"":-193,""t"":10170},{""x"":725,""y"":622,""dx"":234,""dy"":-199,""t"":10203},{""x"":715,""y"":598,""dx"":224,""dy"":-223,""t"":10238},{""x"":726,""y"":613,""dx"":235,""dy"":-208,""t"":10274},{""x"":716,""y"":606,""dx"":225,""dy"":-215,""t"":10307},{""x"":735,""y"":600,""dx"":244,""dy"":-221,""t"":10340},{""x"":750,""y"":618,""dx"":259,""dy"":-203,""t"":10374},{""x"":770,""y"":610,""dx"":279,""dy"":-211,""t"":10408},{""x"":762,""y"":623,""dx"":271,""dy"":-198,""t"":10442},{""x"":784,""y"":661,""dx"":293,""dy"":-160,""t"":10476},{""x"":780,""y"":666,""dx"":289,""dy"":-155,""t"":10511},{""x"":789,""y"":670,""dx"":298,""dy"":-151,""t"":10544},{""x"":786,""y"":662,""dx"":295,""dy"":-159,""t"":10579},{""x"":786,""y"":668,""dx"":295,""dy"":-153,""t"":10612},{""x"":776,""y"":666,""dx"":285,""dy"":-155,""t"":10646},{""x"":771,""y"":656,""dx"":280,""dy"":-165,""t"":10680},{""x"":788,""y"":672,""dx"":297,""dy"":-149,""t"":10714},{""x"":793,""y"":668,""dx"":302,""dy"":-153,""t"":10747},{""x"":790,""y"":662,""dx"":299,""dy"":-159,""t"":10782},{""x"":778,""y"":663,""dx"":287,""dy"":-158,""t"":10816},{""x"":767,""y"":663,""dx"":276,""dy"":-158,""t"":10849},{""x"":767,""y"":658,""dx"":276,""dy"":-163,""t"":10884},{""x"":774,""y"":650,""dx"":283,""dy"":-171,""t"":10918},{""x"":790,""y"":656,""dx"":299,""dy"":-165,""t"":10953},{""x"":795,""y"":669,""dx"":304,""dy"":-152,""t"":10987},{""x"":757,""y"":664,""dx"":266,""dy"":-157,""t"":11020},{""x"":749,""y"":644,""dx"":258,""dy"":-177,""t"":11054},{""x"":726,""y"":648,""dx"":235,""dy"":-173,""t"":11088},{""x"":725,""y"":654,""dx"":234,""dy"":-167,""t"":11122},{""x"":695,""y"":645,""dx"":204,""dy"":-176,""t"":11157},{""x"":723,""y"":693,""dx"":232,""dy"":-128,""t"":11191},{""x"":694,""y"":695,""dx"":203,""dy"":-126,""t"":11224},{""x"":707,""y"":682,""dx"":216,""dy"":-139,""t"":11255},{""x"":677,""y"":682,""dx"":186,""dy"":-139,""t"":11292},{""x"":692,""y"":683,""dx"":201,""dy"":-138,""t"":11326},{""x"":663,""y"":654,""dx"":172,""dy"":-167,""t"":11360},{""x"":709,""y"":684,""dx"":218,""dy"":-137,""t"":11395},{""x"":680,""y"":690,""dx"":189,""dy"":-131,""t"":11427},{""x"":658,""y"":683,""dx"":167,""dy"":-138,""t"":11462},{""x"":698,""y"":678,""dx"":207,""dy"":-143,""t"":11496},{""x"":693,""y"":656,""dx"":202,""dy"":-165,""t"":11529},{""x"":718,""y"":645,""dx"":227,""dy"":-176,""t"":11564},{""x"":689,""y"":642,""dx"":198,""dy"":-179,""t"":11598},{""x"":714,""y"":677,""dx"":223,""dy"":-144,""t"":11633},{""x"":701,""y"":683,""dx"":210,""dy"":-138,""t"":11667},{""x"":736,""y"":705,""dx"":245,""dy"":-116,""t"":11701},{""x"":737,""y"":697,""dx"":246,""dy"":-124,""t"":11735},{""x"":752,""y"":708,""dx"":261,""dy"":-113,""t"":11768},{""x"":706,""y"":681,""dx"":215,""dy"":-140,""t"":11802},{""x"":726,""y"":665,""dx"":235,""dy"":-156,""t"":11837},{""x"":708,""y"":663,""dx"":217,""dy"":-158,""t"":11871},{""x"":728,""y"":659,""dx"":237,""dy"":-162,""t"":11904},{""x"":705,""y"":662,""dx"":214,""dy"":-159,""t"":11938},{""x"":736,""y"":661,""dx"":245,""dy"":-160,""t"":11972},{""x"":718,""y"":657,""dx"":227,""dy"":-164,""t"":12006}],[{""x"":1328,""y"":683,""dx"":-123,""dy"":-138,""t"":13027},{""x"":1320,""y"":681,""dx"":-131,""dy"":-140,""t"":13061},{""x"":1298,""y"":653,""dx"":-153,""dy"":-168,""t"":13094},{""x"":1328,""y"":687,""dx"":-123,""dy"":-134,""t"":13127},{""x"":1301,""y"":677,""dx"":-150,""dy"":-144,""t"":13162},{""x"":1298,""y"":669,""dx"":-153,""dy"":-152,""t"":13196},{""x"":1274,""y"":668,""dx"":-177,""dy"":-153,""t"":13230},{""x"":1255,""y"":678,""dx"":-196,""dy"":-143,""t"":13264},{""x"":1242,""y"":661,""dx"":-209,""dy"":-160,""t"":13298},{""x"":1250,""y"":678,""dx"":-201,""dy"":-143,""t"":13332},{""x"":1270,""y"":667,""dx"":-181,""dy"":-154,""t"":13366},{""x"":1273,""y"":655,""dx"":-178,""dy"":-166,""t"":13399},{""x"":1299,""y"":681,""dx"":-152,""dy"":-140,""t"":13434},{""x"":1309,""y"":680,""dx"":-142,""dy"":-141,""t"":13467},{""x"":1324,""y"":699,""dx"":-127,""dy"":-122,""t"":13502},{""x"":1325,""y"":726,""dx"":-126,""dy"":-95,""t"":13536},{""x"":1336,""y"":736,""dx"":-115,""dy"":-85,""t"":13571},{""x"":1344,""y"":709,""dx"":-107,""dy"":-112,""t"":13604},{""x"":1321,""y"":745,""dx"":-130,""dy"":-76,""t"":13638},{""x"":1311,""y"":742,""dx"":-140,""dy"":-79,""t"":13672},{""x"":1291,""y"":727,""dx"":-160,""dy"":-94,""t"":13706},{""x"":1287,""y"":758,""dx"":-164,""dy"":-63,""t"":13740},{""x"":1272,""y"":762,""dx"":-179,""dy"":-59,""t"":13775},{""x"":1257,""y"":786,""dx"":-194,""dy"":-35,""t"":13807},{""x"":1252,""y"":772,""dx"":-199,""dy"":-49,""t"":13843},{""x"":1261,""y"":760,""dx"":-190,""dy"":-61,""t"":13876},{""x"":1272,""y"":784,""dx"":-179,""dy"":-37,""t"":13910},{""x"":1281,""y"":804,""dx"":-170,""dy"":-17,""t"":13944},{""x"":1270,""y"":826,""dx"":-181,""dy"":5,""t"":13978},{""x"":1278,""y"":820,""dx"":-173,""dy"":-1,""t"":14011},{""x"":1261,""y"":832,""dx"":-190,""dy"":11,""t"":14046},{""x"":1265,""y"":805,""dx"":-186,""dy"":-16,""t"":14080},{""x"":1286,""y"":808,""dx"":-165,""dy"":-13,""t"":14114},{""x"":1282,""y"":825,""dx"":-169,""dy"":4,""t"":14148},{""x"":1295,""y"":827,""dx"":-156,""dy"":6,""t"":14182},{""x"":1283,""y"":836,""dx"":-168,""dy"":15,""t"":14216},{""x"":1289,""y"":814,""dx"":-162,""dy"":-7,""t"":14251},{""x"":1291,""y"":775,""dx"":-160,""dy"":-46,""t"":14284},{""x"":1287,""y"":773,""dx"":-164,""dy"":-48,""t"":14318},{""x"":1293,""y"":798,""dx"":-158,""dy"":-23,""t"":14352},{""x"":1297,""y"":819,""dx"":-154,""dy"":-2,""t"":14384},{""x"":1286,""y"":805,""dx"":-165,""dy"":-16,""t"":14420},{""x"":1274,""y"":798,""dx"":-177,""dy"":-23,""t"":14454},{""x"":1257,""y"":809,""dx"":-194,""dy"":-12,""t"":14488},{""x"":1247,""y"":819,""dx"":-204,""dy"":-2,""t"":14522},{""x"":1238,""y"":834,""dx"":-213,""dy"":13,""t"":14557},{""x"":1234,""y"":834,""dx"":-217,""dy"":13,""t"":14589},{""x"":1239,""y"":827,""dx"":-212,""dy"":6,""t"":14624},{""x"":1237,""y"":821,""dx"":-214,""dy"":0,""t"":14658},{""x"":1235,""y"":820,""dx"":-216,""dy"":-1,""t"":14692},{""x"":1243,""y"":826,""dx"":-208,""dy"":5,""t"":14726},{""x"":1250,""y"":820,""dx"":-201,""dy"":-1,""t"":14760},{""x"":1256,""y"":815,""dx"":-195,""dy"":-6,""t"":14793},{""x"":1256,""y"":812,""dx"":-195,""dy"":-9,""t"":14828},{""x"":1269,""y"":799,""dx"":-182,""dy"":-22,""t"":14862},{""x"":1291,""y"":774,""dx"":-160,""dy"":-47,""t"":14896},{""x"":1290,""y"":785,""dx"":-161,""dy"":-36,""t"":14931},{""x"":1311,""y"":769,""dx"":-140,""dy"":-52,""t"":14965},{""x"":1309,""y"":785,""dx"":-142,""dy"":-36,""t"":14999},{""x"":1279,""y"":787,""dx"":-172,""dy"":-34,""t"":15032}]]","[96.66666666666667,94.91525423728814,100,0,66.66666666666666]","[{""x"":97.86666666666666,""y"":107.45,""r"":63.26167989424043},{""x"":-36.016949152542374,""y"":122.28813559322033,""r"":53.354890369515374},{""x"":-62.38333333333333,""y"":-16.05,""r"":93.84822504054962},{""x"":241.38983050847457,""y"":-165.23728813559322,""r"":43.23747749262564},{""x"":-170.05,""y"":-57.25,""r"":88.64212760508497}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
