"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1587","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1593","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5017","0.0-2.0-0.0","","","","","3422","{""name"":""张梦洋"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6217","0.0-2.0-1.0","","","","","1199","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7353","0.0-3.0","","","","","1134"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17112","0.0-4.0","","","","","","","","","18","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17816","0.0-5.0-0.0","","","","","702","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27589","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28112","0.0-5.0-2.0","","","","","522","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","46249","0.0-5.0-3.0","","","","","","","","","","[[{""x"":547,""y"":278,""dx"":56,""dy"":-3,""t"":990},{""x"":564,""y"":260,""dx"":73,""dy"":-21,""t"":1024},{""x"":563,""y"":254,""dx"":72,""dy"":-27,""t"":1058},{""x"":560,""y"":246,""dx"":69,""dy"":-35,""t"":1092},{""x"":593,""y"":275,""dx"":102,""dy"":-6,""t"":1126},{""x"":580,""y"":283,""dx"":89,""dy"":2,""t"":1160},{""x"":572,""y"":290,""dx"":81,""dy"":9,""t"":1193},{""x"":560,""y"":272,""dx"":69,""dy"":-9,""t"":1227},{""x"":579,""y"":297,""dx"":88,""dy"":16,""t"":1262},{""x"":561,""y"":286,""dx"":70,""dy"":5,""t"":1296},{""x"":568,""y"":286,""dx"":77,""dy"":5,""t"":1330},{""x"":553,""y"":265,""dx"":62,""dy"":-16,""t"":1364},{""x"":515,""y"":314,""dx"":24,""dy"":33,""t"":1398},{""x"":538,""y"":332,""dx"":47,""dy"":51,""t"":1432},{""x"":546,""y"":295,""dx"":55,""dy"":14,""t"":1465},{""x"":529,""y"":346,""dx"":38,""dy"":65,""t"":1500},{""x"":541,""y"":389,""dx"":50,""dy"":108,""t"":1533},{""x"":560,""y"":390,""dx"":69,""dy"":109,""t"":1569},{""x"":606,""y"":407,""dx"":115,""dy"":126,""t"":1601},{""x"":601,""y"":421,""dx"":110,""dy"":140,""t"":1636},{""x"":594,""y"":458,""dx"":103,""dy"":177,""t"":1670},{""x"":566,""y"":478,""dx"":75,""dy"":197,""t"":1704},{""x"":546,""y"":425,""dx"":55,""dy"":144,""t"":1736},{""x"":544,""y"":381,""dx"":53,""dy"":100,""t"":1772},{""x"":530,""y"":419,""dx"":39,""dy"":138,""t"":1806},{""x"":525,""y"":382,""dx"":34,""dy"":101,""t"":1839},{""x"":507,""y"":351,""dx"":16,""dy"":70,""t"":1873},{""x"":503,""y"":320,""dx"":12,""dy"":39,""t"":1909},{""x"":491,""y"":309,""dx"":0,""dy"":28,""t"":1941},{""x"":486,""y"":289,""dx"":-5,""dy"":8,""t"":1976},{""x"":473,""y"":276,""dx"":-18,""dy"":-5,""t"":2010},{""x"":476,""y"":274,""dx"":-15,""dy"":-7,""t"":2044},{""x"":459,""y"":259,""dx"":-32,""dy"":-22,""t"":2078},{""x"":446,""y"":249,""dx"":-45,""dy"":-32,""t"":2110},{""x"":462,""y"":259,""dx"":-29,""dy"":-22,""t"":2145},{""x"":478,""y"":249,""dx"":-13,""dy"":-32,""t"":2180},{""x"":464,""y"":236,""dx"":-27,""dy"":-45,""t"":2214},{""x"":500,""y"":218,""dx"":9,""dy"":-63,""t"":2248},{""x"":527,""y"":243,""dx"":36,""dy"":-38,""t"":2282},{""x"":531,""y"":264,""dx"":40,""dy"":-17,""t"":2316},{""x"":538,""y"":263,""dx"":47,""dy"":-18,""t"":2349},{""x"":530,""y"":280,""dx"":39,""dy"":-1,""t"":2383},{""x"":555,""y"":275,""dx"":64,""dy"":-6,""t"":2418},{""x"":580,""y"":257,""dx"":89,""dy"":-24,""t"":2451},{""x"":571,""y"":276,""dx"":80,""dy"":-5,""t"":2486},{""x"":547,""y"":271,""dx"":56,""dy"":-10,""t"":2521},{""x"":559,""y"":282,""dx"":68,""dy"":1,""t"":2554},{""x"":563,""y"":299,""dx"":72,""dy"":18,""t"":2588},{""x"":543,""y"":293,""dx"":52,""dy"":12,""t"":2621},{""x"":545,""y"":294,""dx"":54,""dy"":13,""t"":2656},{""x"":543,""y"":295,""dx"":52,""dy"":14,""t"":2690},{""x"":536,""y"":309,""dx"":45,""dy"":28,""t"":2724},{""x"":553,""y"":324,""dx"":62,""dy"":43,""t"":2758},{""x"":537,""y"":325,""dx"":46,""dy"":44,""t"":2792},{""x"":540,""y"":331,""dx"":49,""dy"":50,""t"":2826},{""x"":537,""y"":330,""dx"":46,""dy"":49,""t"":2861},{""x"":560,""y"":378,""dx"":69,""dy"":97,""t"":2894},{""x"":558,""y"":370,""dx"":67,""dy"":89,""t"":2928},{""x"":557,""y"":358,""dx"":66,""dy"":77,""t"":2963},{""x"":570,""y"":367,""dx"":79,""dy"":86,""t"":2995}],[{""x"":1558,""y"":407,""dx"":107,""dy"":126,""t"":4016},{""x"":1527,""y"":410,""dx"":76,""dy"":129,""t"":4050},{""x"":1535,""y"":430,""dx"":84,""dy"":149,""t"":4084},{""x"":1510,""y"":399,""dx"":59,""dy"":118,""t"":4118},{""x"":1493,""y"":406,""dx"":42,""dy"":125,""t"":4152},{""x"":1480,""y"":410,""dx"":29,""dy"":129,""t"":4186},{""x"":1490,""y"":432,""dx"":39,""dy"":151,""t"":4219},{""x"":1486,""y"":445,""dx"":35,""dy"":164,""t"":4254},{""x"":1491,""y"":468,""dx"":40,""dy"":187,""t"":4288},{""x"":1514,""y"":485,""dx"":63,""dy"":204,""t"":4323},{""x"":1532,""y"":480,""dx"":81,""dy"":199,""t"":4356},{""x"":1548,""y"":492,""dx"":97,""dy"":211,""t"":4391},{""x"":1556,""y"":495,""dx"":105,""dy"":214,""t"":4424},{""x"":1555,""y"":500,""dx"":104,""dy"":219,""t"":4458},{""x"":1559,""y"":491,""dx"":108,""dy"":210,""t"":4492},{""x"":1557,""y"":505,""dx"":106,""dy"":224,""t"":4526},{""x"":1568,""y"":487,""dx"":117,""dy"":206,""t"":4560},{""x"":1570,""y"":462,""dx"":119,""dy"":181,""t"":4593},{""x"":1573,""y"":433,""dx"":122,""dy"":152,""t"":4628},{""x"":1554,""y"":442,""dx"":103,""dy"":161,""t"":4662},{""x"":1544,""y"":463,""dx"":93,""dy"":182,""t"":4696},{""x"":1543,""y"":472,""dx"":92,""dy"":191,""t"":4730},{""x"":1517,""y"":476,""dx"":66,""dy"":195,""t"":4764},{""x"":1481,""y"":483,""dx"":30,""dy"":202,""t"":4799},{""x"":1466,""y"":493,""dx"":15,""dy"":212,""t"":4832},{""x"":1464,""y"":491,""dx"":13,""dy"":210,""t"":4866},{""x"":1464,""y"":489,""dx"":13,""dy"":208,""t"":4898},{""x"":1472,""y"":486,""dx"":21,""dy"":205,""t"":4934},{""x"":1473,""y"":483,""dx"":22,""dy"":202,""t"":4968},{""x"":1483,""y"":486,""dx"":32,""dy"":205,""t"":5002},{""x"":1450,""y"":489,""dx"":-1,""dy"":208,""t"":5035},{""x"":1447,""y"":502,""dx"":-4,""dy"":221,""t"":5070},{""x"":1468,""y"":481,""dx"":17,""dy"":200,""t"":5104},{""x"":1495,""y"":497,""dx"":44,""dy"":216,""t"":5138},{""x"":1523,""y"":500,""dx"":72,""dy"":219,""t"":5172},{""x"":1505,""y"":521,""dx"":54,""dy"":240,""t"":5206},{""x"":1501,""y"":515,""dx"":50,""dy"":234,""t"":5240},{""x"":1514,""y"":538,""dx"":63,""dy"":257,""t"":5274},{""x"":1525,""y"":556,""dx"":74,""dy"":275,""t"":5307},{""x"":1530,""y"":578,""dx"":79,""dy"":297,""t"":5341},{""x"":1515,""y"":580,""dx"":64,""dy"":299,""t"":5376},{""x"":1511,""y"":561,""dx"":60,""dy"":280,""t"":5409},{""x"":1530,""y"":566,""dx"":79,""dy"":285,""t"":5444},{""x"":1537,""y"":560,""dx"":86,""dy"":279,""t"":5478},{""x"":1536,""y"":553,""dx"":85,""dy"":272,""t"":5512},{""x"":1538,""y"":516,""dx"":87,""dy"":235,""t"":5545},{""x"":1545,""y"":516,""dx"":94,""dy"":235,""t"":5580},{""x"":1537,""y"":506,""dx"":86,""dy"":225,""t"":5613},{""x"":1520,""y"":519,""dx"":69,""dy"":238,""t"":5648},{""x"":1523,""y"":539,""dx"":72,""dy"":258,""t"":5681},{""x"":1532,""y"":549,""dx"":81,""dy"":268,""t"":5716},{""x"":1519,""y"":519,""dx"":68,""dy"":238,""t"":5749},{""x"":1538,""y"":535,""dx"":87,""dy"":254,""t"":5783},{""x"":1534,""y"":542,""dx"":83,""dy"":261,""t"":5818},{""x"":1530,""y"":552,""dx"":79,""dy"":271,""t"":5852},{""x"":1521,""y"":546,""dx"":70,""dy"":265,""t"":5886},{""x"":1516,""y"":541,""dx"":65,""dy"":260,""t"":5919},{""x"":1491,""y"":536,""dx"":40,""dy"":255,""t"":5954},{""x"":1481,""y"":517,""dx"":30,""dy"":236,""t"":5988}],[{""x"":1003,""y"":600,""dx"":32,""dy"":49,""t"":7041},{""x"":1002,""y"":601,""dx"":31,""dy"":50,""t"":7076},{""x"":1015,""y"":621,""dx"":44,""dy"":70,""t"":7110},{""x"":1029,""y"":612,""dx"":58,""dy"":61,""t"":7144},{""x"":1036,""y"":590,""dx"":65,""dy"":39,""t"":7178},{""x"":1058,""y"":592,""dx"":87,""dy"":41,""t"":7212},{""x"":1047,""y"":625,""dx"":76,""dy"":74,""t"":7245},{""x"":1036,""y"":652,""dx"":65,""dy"":101,""t"":7278},{""x"":1040,""y"":626,""dx"":69,""dy"":75,""t"":7313},{""x"":1047,""y"":629,""dx"":76,""dy"":78,""t"":7349},{""x"":1045,""y"":663,""dx"":74,""dy"":112,""t"":7382},{""x"":1038,""y"":672,""dx"":67,""dy"":121,""t"":7416},{""x"":1002,""y"":624,""dx"":31,""dy"":73,""t"":7450},{""x"":999,""y"":626,""dx"":28,""dy"":75,""t"":7483},{""x"":965,""y"":649,""dx"":-6,""dy"":98,""t"":7517},{""x"":931,""y"":650,""dx"":-40,""dy"":99,""t"":7552},{""x"":895,""y"":624,""dx"":-76,""dy"":73,""t"":7585},{""x"":897,""y"":636,""dx"":-74,""dy"":85,""t"":7620},{""x"":885,""y"":616,""dx"":-86,""dy"":65,""t"":7654},{""x"":887,""y"":605,""dx"":-84,""dy"":54,""t"":7688},{""x"":906,""y"":621,""dx"":-65,""dy"":70,""t"":7722},{""x"":929,""y"":640,""dx"":-42,""dy"":89,""t"":7756},{""x"":931,""y"":653,""dx"":-40,""dy"":102,""t"":7790},{""x"":956,""y"":668,""dx"":-15,""dy"":117,""t"":7824},{""x"":986,""y"":672,""dx"":15,""dy"":121,""t"":7858},{""x"":1004,""y"":672,""dx"":33,""dy"":121,""t"":7891},{""x"":1010,""y"":674,""dx"":39,""dy"":123,""t"":7926},{""x"":1015,""y"":667,""dx"":44,""dy"":116,""t"":7960},{""x"":1032,""y"":656,""dx"":61,""dy"":105,""t"":7993},{""x"":1048,""y"":634,""dx"":77,""dy"":83,""t"":8027},{""x"":1054,""y"":629,""dx"":83,""dy"":78,""t"":8062},{""x"":1058,""y"":630,""dx"":87,""dy"":79,""t"":8096},{""x"":1075,""y"":624,""dx"":104,""dy"":73,""t"":8129},{""x"":1068,""y"":617,""dx"":97,""dy"":66,""t"":8164},{""x"":1061,""y"":616,""dx"":90,""dy"":65,""t"":8197},{""x"":1043,""y"":616,""dx"":72,""dy"":65,""t"":8232},{""x"":1037,""y"":605,""dx"":66,""dy"":54,""t"":8266},{""x"":1041,""y"":627,""dx"":70,""dy"":76,""t"":8299},{""x"":1050,""y"":625,""dx"":79,""dy"":74,""t"":8333},{""x"":1052,""y"":618,""dx"":81,""dy"":67,""t"":8368},{""x"":1034,""y"":602,""dx"":63,""dy"":51,""t"":8401},{""x"":1025,""y"":590,""dx"":54,""dy"":39,""t"":8435},{""x"":1018,""y"":580,""dx"":47,""dy"":29,""t"":8469},{""x"":1010,""y"":616,""dx"":39,""dy"":65,""t"":8504},{""x"":1016,""y"":635,""dx"":45,""dy"":84,""t"":8538},{""x"":999,""y"":647,""dx"":28,""dy"":96,""t"":8571},{""x"":987,""y"":639,""dx"":16,""dy"":88,""t"":8606},{""x"":989,""y"":652,""dx"":18,""dy"":101,""t"":8640},{""x"":1007,""y"":658,""dx"":36,""dy"":107,""t"":8673},{""x"":1013,""y"":664,""dx"":42,""dy"":113,""t"":8709},{""x"":1008,""y"":660,""dx"":37,""dy"":109,""t"":8741},{""x"":994,""y"":670,""dx"":23,""dy"":119,""t"":8803},{""x"":970,""y"":675,""dx"":-1,""dy"":124,""t"":8814},{""x"":969,""y"":687,""dx"":-2,""dy"":136,""t"":8844},{""x"":968,""y"":696,""dx"":-3,""dy"":145,""t"":8875},{""x"":955,""y"":708,""dx"":-16,""dy"":157,""t"":8912},{""x"":934,""y"":698,""dx"":-37,""dy"":147,""t"":8946},{""x"":942,""y"":697,""dx"":-29,""dy"":146,""t"":8981},{""x"":937,""y"":705,""dx"":-34,""dy"":154,""t"":9014}],[{""x"":739,""y"":882,""dx"":248,""dy"":61,""t"":10033},{""x"":737,""y"":854,""dx"":246,""dy"":33,""t"":10068},{""x"":717,""y"":844,""dx"":226,""dy"":23,""t"":10102},{""x"":707,""y"":847,""dx"":216,""dy"":26,""t"":10135},{""x"":703,""y"":847,""dx"":212,""dy"":26,""t"":10170},{""x"":728,""y"":826,""dx"":237,""dy"":5,""t"":10205},{""x"":709,""y"":825,""dx"":218,""dy"":4,""t"":10238},{""x"":708,""y"":834,""dx"":217,""dy"":13,""t"":10272},{""x"":706,""y"":839,""dx"":215,""dy"":18,""t"":10305},{""x"":710,""y"":856,""dx"":219,""dy"":35,""t"":10340},{""x"":689,""y"":869,""dx"":198,""dy"":48,""t"":10374},{""x"":670,""y"":880,""dx"":179,""dy"":59,""t"":10406},{""x"":651,""y"":866,""dx"":160,""dy"":45,""t"":10442},{""x"":675,""y"":838,""dx"":184,""dy"":17,""t"":10477},{""x"":659,""y"":829,""dx"":168,""dy"":8,""t"":10510},{""x"":670,""y"":813,""dx"":179,""dy"":-8,""t"":10543},{""x"":677,""y"":826,""dx"":186,""dy"":5,""t"":10577},{""x"":672,""y"":819,""dx"":181,""dy"":-2,""t"":10612},{""x"":681,""y"":834,""dx"":190,""dy"":13,""t"":10646},{""x"":678,""y"":833,""dx"":187,""dy"":12,""t"":10680},{""x"":693,""y"":846,""dx"":202,""dy"":25,""t"":10714},{""x"":702,""y"":836,""dx"":211,""dy"":15,""t"":10748},{""x"":710,""y"":845,""dx"":219,""dy"":24,""t"":10782},{""x"":716,""y"":853,""dx"":225,""dy"":32,""t"":10814},{""x"":722,""y"":860,""dx"":231,""dy"":39,""t"":10849},{""x"":713,""y"":858,""dx"":222,""dy"":37,""t"":10883},{""x"":712,""y"":852,""dx"":221,""dy"":31,""t"":10918},{""x"":702,""y"":845,""dx"":211,""dy"":24,""t"":10951},{""x"":709,""y"":848,""dx"":218,""dy"":27,""t"":10986},{""x"":721,""y"":860,""dx"":230,""dy"":39,""t"":11020},{""x"":724,""y"":854,""dx"":233,""dy"":33,""t"":11054},{""x"":719,""y"":837,""dx"":228,""dy"":16,""t"":11088},{""x"":703,""y"":843,""dx"":212,""dy"":22,""t"":11123},{""x"":711,""y"":843,""dx"":220,""dy"":22,""t"":11156},{""x"":727,""y"":840,""dx"":236,""dy"":19,""t"":11190},{""x"":715,""y"":828,""dx"":224,""dy"":7,""t"":11224},{""x"":694,""y"":810,""dx"":203,""dy"":-11,""t"":11258},{""x"":684,""y"":794,""dx"":193,""dy"":-27,""t"":11292},{""x"":663,""y"":781,""dx"":172,""dy"":-40,""t"":11325},{""x"":667,""y"":784,""dx"":176,""dy"":-37,""t"":11359},{""x"":669,""y"":763,""dx"":178,""dy"":-58,""t"":11394},{""x"":673,""y"":765,""dx"":182,""dy"":-56,""t"":11428},{""x"":666,""y"":767,""dx"":175,""dy"":-54,""t"":11462},{""x"":677,""y"":778,""dx"":186,""dy"":-43,""t"":11496},{""x"":685,""y"":801,""dx"":194,""dy"":-20,""t"":11529},{""x"":685,""y"":799,""dx"":194,""dy"":-22,""t"":11564},{""x"":701,""y"":791,""dx"":210,""dy"":-30,""t"":11598},{""x"":698,""y"":808,""dx"":207,""dy"":-13,""t"":11632},{""x"":693,""y"":812,""dx"":202,""dy"":-9,""t"":11666},{""x"":689,""y"":823,""dx"":198,""dy"":2,""t"":11700},{""x"":676,""y"":821,""dx"":185,""dy"":0,""t"":11733},{""x"":661,""y"":813,""dx"":170,""dy"":-8,""t"":11768},{""x"":644,""y"":809,""dx"":153,""dy"":-12,""t"":11801},{""x"":640,""y"":799,""dx"":149,""dy"":-22,""t"":11836},{""x"":647,""y"":781,""dx"":156,""dy"":-40,""t"":11869},{""x"":652,""y"":792,""dx"":161,""dy"":-29,""t"":11904},{""x"":662,""y"":791,""dx"":171,""dy"":-30,""t"":11938},{""x"":657,""y"":776,""dx"":166,""dy"":-45,""t"":11972},{""x"":651,""y"":770,""dx"":160,""dy"":-51,""t"":12005}],[{""x"":1349,""y"":746,""dx"":-102,""dy"":-75,""t"":13060},{""x"":1344,""y"":744,""dx"":-107,""dy"":-77,""t"":13094},{""x"":1348,""y"":746,""dx"":-103,""dy"":-75,""t"":13128},{""x"":1371,""y"":748,""dx"":-80,""dy"":-73,""t"":13162},{""x"":1367,""y"":744,""dx"":-84,""dy"":-77,""t"":13196},{""x"":1371,""y"":748,""dx"":-80,""dy"":-73,""t"":13230},{""x"":1377,""y"":756,""dx"":-74,""dy"":-65,""t"":13264},{""x"":1387,""y"":766,""dx"":-64,""dy"":-55,""t"":13297},{""x"":1381,""y"":778,""dx"":-70,""dy"":-43,""t"":13332},{""x"":1382,""y"":783,""dx"":-69,""dy"":-38,""t"":13366},{""x"":1386,""y"":799,""dx"":-65,""dy"":-22,""t"":13400},{""x"":1389,""y"":798,""dx"":-62,""dy"":-23,""t"":13433},{""x"":1372,""y"":787,""dx"":-79,""dy"":-34,""t"":13469},{""x"":1367,""y"":783,""dx"":-84,""dy"":-38,""t"":13502},{""x"":1371,""y"":788,""dx"":-80,""dy"":-33,""t"":13536},{""x"":1368,""y"":785,""dx"":-83,""dy"":-36,""t"":13569},{""x"":1360,""y"":778,""dx"":-91,""dy"":-43,""t"":13603},{""x"":1377,""y"":777,""dx"":-74,""dy"":-44,""t"":13637},{""x"":1380,""y"":782,""dx"":-71,""dy"":-39,""t"":13671},{""x"":1366,""y"":769,""dx"":-85,""dy"":-52,""t"":13706},{""x"":1349,""y"":763,""dx"":-102,""dy"":-58,""t"":13740},{""x"":1367,""y"":750,""dx"":-84,""dy"":-71,""t"":13773},{""x"":1384,""y"":742,""dx"":-67,""dy"":-79,""t"":13808},{""x"":1361,""y"":742,""dx"":-90,""dy"":-79,""t"":13841},{""x"":1357,""y"":742,""dx"":-94,""dy"":-79,""t"":13877},{""x"":1339,""y"":738,""dx"":-112,""dy"":-83,""t"":13910},{""x"":1328,""y"":728,""dx"":-123,""dy"":-93,""t"":13944},{""x"":1336,""y"":737,""dx"":-115,""dy"":-84,""t"":13977},{""x"":1324,""y"":736,""dx"":-127,""dy"":-85,""t"":14010},{""x"":1328,""y"":742,""dx"":-123,""dy"":-79,""t"":14046},{""x"":1327,""y"":740,""dx"":-124,""dy"":-81,""t"":14079},{""x"":1320,""y"":732,""dx"":-131,""dy"":-89,""t"":14113},{""x"":1320,""y"":726,""dx"":-131,""dy"":-95,""t"":14149},{""x"":1325,""y"":728,""dx"":-126,""dy"":-93,""t"":14181},{""x"":1333,""y"":726,""dx"":-118,""dy"":-95,""t"":14216},{""x"":1344,""y"":722,""dx"":-107,""dy"":-99,""t"":14250},{""x"":1358,""y"":727,""dx"":-93,""dy"":-94,""t"":14283},{""x"":1356,""y"":739,""dx"":-95,""dy"":-82,""t"":14318},{""x"":1358,""y"":746,""dx"":-93,""dy"":-75,""t"":14352},{""x"":1353,""y"":739,""dx"":-98,""dy"":-82,""t"":14386},{""x"":1362,""y"":754,""dx"":-89,""dy"":-67,""t"":14421},{""x"":1358,""y"":749,""dx"":-93,""dy"":-72,""t"":14454},{""x"":1370,""y"":759,""dx"":-81,""dy"":-62,""t"":14487},{""x"":1372,""y"":766,""dx"":-79,""dy"":-55,""t"":14522},{""x"":1365,""y"":751,""dx"":-86,""dy"":-70,""t"":14556},{""x"":1362,""y"":755,""dx"":-89,""dy"":-66,""t"":14589},{""x"":1366,""y"":758,""dx"":-85,""dy"":-63,""t"":14624},{""x"":1355,""y"":747,""dx"":-96,""dy"":-74,""t"":14658},{""x"":1353,""y"":747,""dx"":-98,""dy"":-74,""t"":14692},{""x"":1343,""y"":739,""dx"":-108,""dy"":-82,""t"":14726},{""x"":1344,""y"":740,""dx"":-107,""dy"":-81,""t"":14759},{""x"":1323,""y"":729,""dx"":-128,""dy"":-92,""t"":14794},{""x"":1340,""y"":741,""dx"":-111,""dy"":-80,""t"":14829},{""x"":1345,""y"":746,""dx"":-106,""dy"":-75,""t"":14862},{""x"":1355,""y"":750,""dx"":-96,""dy"":-71,""t"":14896},{""x"":1342,""y"":737,""dx"":-109,""dy"":-84,""t"":14931},{""x"":1341,""y"":739,""dx"":-110,""dy"":-82,""t"":14964},{""x"":1343,""y"":738,""dx"":-108,""dy"":-83,""t"":14998},{""x"":1333,""y"":734,""dx"":-118,""dy"":-87,""t"":15032}]]","[96.66666666666667,18.64406779661017,100,47.45762711864407,100]","[{""x"":48.43333333333333,""y"":30.7,""r"":74.36672780533341},{""x"":65.52542372881356,""y"":216.135593220339,""r"":46.4971974517867},{""x"":28.796610169491526,""y"":88.9322033898305,""r"":49.878277576245516},{""x"":199.15254237288136,""y"":3.3559322033898304,""r"":31.496797646644648},{""x"":-95.88135593220339,""y"":-69.66101694915254,""r"":20.744045569790654}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
