success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,response,question_order,stimulus,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,task,ans,ISI,type,size,webgazer_data,webgazer_targets,response_target,response_answer,correct,webgazer_targets_data
TRUE,fullscreen,0,4895,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,4902,0.0-1.0,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,
,survey-text,2,9254,0.0-2.0-0.0,,,,,4349,"{""name"":""张小雨"",""age"":""23""}",,,,,,,,,,,,,,,,,,,
,survey-multi-choice,3,10326,0.0-2.0-1.0,,,,,1070,{"sex":"女"},[0],,,,,,,,,,,,,,,,,,
,html-keyboard-response,4,11510,0.0-3.0,,,,,1182, ,,<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按"space"键继续。</p>,,,,,,,,,,,,,,,,,
,webgazer-init-camera,5,16772,0.0-4.0,,,,,,,,,1479,,,,,,,,,,,,,,,,
,html-button-response,6,17509,0.0-5.0-0.0,,,,,735,0,,"
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ",,,,,,,,,,,,,,,,,
,webgazer-calibrate,7,30218,0.0-5.0-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,8,31222,0.0-5.0-2.0,,,,,986,0,,"
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ",,,,,,,,,,,,,,,,,
,webgazer-validate,9,48640,0.0-5.0-3.0,,,,,,,,,,"[[{""x"":516,""y"":287,""dx"":25,""dy"":6,""t"":990},{""x"":535,""y"":263,""dx"":44,""dy"":-18,""t"":1024},{""x"":493,""y"":274,""dx"":2,""dy"":-7,""t"":1058},{""x"":497,""y"":272,""dx"":6,""dy"":-9,""t"":1092},{""x"":504,""y"":266,""dx"":13,""dy"":-15,""t"":1126},{""x"":477,""y"":263,""dx"":-14,""dy"":-18,""t"":1160},{""x"":454,""y"":304,""dx"":-37,""dy"":23,""t"":1194},{""x"":445,""y"":356,""dx"":-46,""dy"":75,""t"":1228},{""x"":431,""y"":336,""dx"":-60,""dy"":55,""t"":1262},{""x"":406,""y"":336,""dx"":-85,""dy"":55,""t"":1296},{""x"":384,""y"":349,""dx"":-107,""dy"":68,""t"":1329},{""x"":374,""y"":347,""dx"":-117,""dy"":66,""t"":1364},{""x"":374,""y"":358,""dx"":-117,""dy"":77,""t"":1398},{""x"":358,""y"":360,""dx"":-133,""dy"":79,""t"":1432},{""x"":348,""y"":356,""dx"":-143,""dy"":75,""t"":1466},{""x"":360,""y"":438,""dx"":-131,""dy"":157,""t"":1499},{""x"":365,""y"":520,""dx"":-126,""dy"":239,""t"":1534},{""x"":409,""y"":592,""dx"":-82,""dy"":311,""t"":1568},{""x"":432,""y"":596,""dx"":-59,""dy"":315,""t"":1602},{""x"":421,""y"":555,""dx"":-70,""dy"":274,""t"":1635},{""x"":453,""y"":522,""dx"":-38,""dy"":241,""t"":1670},{""x"":486,""y"":444,""dx"":-5,""dy"":163,""t"":1704},{""x"":511,""y"":399,""dx"":20,""dy"":118,""t"":1738},{""x"":533,""y"":359,""dx"":42,""dy"":78,""t"":1771},{""x"":540,""y"":319,""dx"":49,""dy"":38,""t"":1805},{""x"":540,""y"":286,""dx"":49,""dy"":5,""t"":1840},{""x"":551,""y"":304,""dx"":60,""dy"":23,""t"":1871},{""x"":557,""y"":321,""dx"":66,""dy"":40,""t"":1908},{""x"":554,""y"":347,""dx"":63,""dy"":66,""t"":1942},{""x"":539,""y"":360,""dx"":48,""dy"":79,""t"":1976},{""x"":530,""y"":365,""dx"":39,""dy"":84,""t"":2010},{""x"":525,""y"":373,""dx"":34,""dy"":92,""t"":2044},{""x"":508,""y"":364,""dx"":17,""dy"":83,""t"":2078},{""x"":509,""y"":357,""dx"":18,""dy"":76,""t"":2112},{""x"":515,""y"":352,""dx"":24,""dy"":71,""t"":2146},{""x"":510,""y"":352,""dx"":19,""dy"":71,""t"":2181},{""x"":507,""y"":345,""dx"":16,""dy"":64,""t"":2214},{""x"":500,""y"":337,""dx"":9,""dy"":56,""t"":2248},{""x"":494,""y"":330,""dx"":3,""dy"":49,""t"":2280},{""x"":472,""y"":333,""dx"":-19,""dy"":52,""t"":2316},{""x"":488,""y"":337,""dx"":-3,""dy"":56,""t"":2350},{""x"":494,""y"":332,""dx"":3,""dy"":51,""t"":2384},{""x"":487,""y"":321,""dx"":-4,""dy"":40,""t"":2418},{""x"":488,""y"":315,""dx"":-3,""dy"":34,""t"":2452},{""x"":488,""y"":305,""dx"":-3,""dy"":24,""t"":2486},{""x"":501,""y"":280,""dx"":10,""dy"":-1,""t"":2519},{""x"":523,""y"":304,""dx"":32,""dy"":23,""t"":2554},{""x"":538,""y"":325,""dx"":47,""dy"":44,""t"":2589},{""x"":546,""y"":322,""dx"":55,""dy"":41,""t"":2622},{""x"":541,""y"":357,""dx"":50,""dy"":76,""t"":2656},{""x"":555,""y"":389,""dx"":64,""dy"":108,""t"":2690},{""x"":545,""y"":389,""dx"":54,""dy"":108,""t"":2724},{""x"":546,""y"":353,""dx"":55,""dy"":72,""t"":2758},{""x"":549,""y"":367,""dx"":58,""dy"":86,""t"":2793},{""x"":553,""y"":350,""dx"":62,""dy"":69,""t"":2826},{""x"":560,""y"":366,""dx"":69,""dy"":85,""t"":2860},{""x"":529,""y"":366,""dx"":38,""dy"":85,""t"":2894},{""x"":661,""y"":358,""dx"":170,""dy"":77,""t"":2928},{""x"":867,""y"":407,""dx"":376,""dy"":126,""t"":2961}],[{""x"":1467,""y"":276,""dx"":16,""dy"":-5,""t"":4016},{""x"":1433,""y"":260,""dx"":-18,""dy"":-21,""t"":4051},{""x"":1420,""y"":234,""dx"":-31,""dy"":-47,""t"":4085},{""x"":1389,""y"":222,""dx"":-62,""dy"":-59,""t"":4118},{""x"":1426,""y"":269,""dx"":-25,""dy"":-12,""t"":4152},{""x"":1387,""y"":282,""dx"":-64,""dy"":1,""t"":4185},{""x"":1360,""y"":251,""dx"":-91,""dy"":-30,""t"":4221},{""x"":1357,""y"":244,""dx"":-94,""dy"":-37,""t"":4254},{""x"":1375,""y"":241,""dx"":-76,""dy"":-40,""t"":4288},{""x"":1352,""y"":244,""dx"":-99,""dy"":-37,""t"":4322},{""x"":1350,""y"":256,""dx"":-101,""dy"":-25,""t"":4357},{""x"":1358,""y"":264,""dx"":-93,""dy"":-17,""t"":4390},{""x"":1370,""y"":285,""dx"":-81,""dy"":4,""t"":4424},{""x"":1396,""y"":309,""dx"":-55,""dy"":28,""t"":4458},{""x"":1381,""y"":303,""dx"":-70,""dy"":22,""t"":4492},{""x"":1406,""y"":314,""dx"":-45,""dy"":33,""t"":4526},{""x"":1391,""y"":322,""dx"":-60,""dy"":41,""t"":4560},{""x"":1403,""y"":325,""dx"":-48,""dy"":44,""t"":4594},{""x"":1409,""y"":325,""dx"":-42,""dy"":44,""t"":4628},{""x"":1427,""y"":309,""dx"":-24,""dy"":28,""t"":4662},{""x"":1416,""y"":286,""dx"":-35,""dy"":5,""t"":4696},{""x"":1425,""y"":273,""dx"":-26,""dy"":-8,""t"":4730},{""x"":1426,""y"":289,""dx"":-25,""dy"":8,""t"":4763},{""x"":1433,""y"":289,""dx"":-18,""dy"":8,""t"":4799},{""x"":1459,""y"":274,""dx"":8,""dy"":-7,""t"":4832},{""x"":1485,""y"":281,""dx"":34,""dy"":0,""t"":4866},{""x"":1476,""y"":318,""dx"":25,""dy"":37,""t"":4899},{""x"":1460,""y"":318,""dx"":9,""dy"":37,""t"":4934},{""x"":1485,""y"":335,""dx"":34,""dy"":54,""t"":4968},{""x"":1509,""y"":350,""dx"":58,""dy"":69,""t"":5002},{""x"":1528,""y"":386,""dx"":77,""dy"":105,""t"":5036},{""x"":1537,""y"":377,""dx"":86,""dy"":96,""t"":5070},{""x"":1567,""y"":402,""dx"":116,""dy"":121,""t"":5103},{""x"":1566,""y"":407,""dx"":115,""dy"":126,""t"":5138},{""x"":1546,""y"":379,""dx"":95,""dy"":98,""t"":5172},{""x"":1538,""y"":392,""dx"":87,""dy"":111,""t"":5206},{""x"":1540,""y"":382,""dx"":89,""dy"":101,""t"":5239},{""x"":1499,""y"":343,""dx"":48,""dy"":62,""t"":5274},{""x"":1477,""y"":307,""dx"":26,""dy"":26,""t"":5308},{""x"":1427,""y"":301,""dx"":-24,""dy"":20,""t"":5342},{""x"":1433,""y"":303,""dx"":-18,""dy"":22,""t"":5375},{""x"":1396,""y"":290,""dx"":-55,""dy"":9,""t"":5410},{""x"":1381,""y"":286,""dx"":-70,""dy"":5,""t"":5442},{""x"":1393,""y"":283,""dx"":-58,""dy"":2,""t"":5478},{""x"":1368,""y"":285,""dx"":-83,""dy"":4,""t"":5512},{""x"":1359,""y"":285,""dx"":-92,""dy"":4,""t"":5546},{""x"":1358,""y"":280,""dx"":-93,""dy"":-1,""t"":5580},{""x"":1330,""y"":282,""dx"":-121,""dy"":1,""t"":5615},{""x"":1341,""y"":265,""dx"":-110,""dy"":-16,""t"":5648},{""x"":1342,""y"":274,""dx"":-109,""dy"":-7,""t"":5682},{""x"":1374,""y"":283,""dx"":-77,""dy"":2,""t"":5717},{""x"":1397,""y"":288,""dx"":-54,""dy"":7,""t"":5760},{""x"":1381,""y"":322,""dx"":-70,""dy"":41,""t"":5785},{""x"":1381,""y"":325,""dx"":-70,""dy"":44,""t"":5843},{""x"":1402,""y"":313,""dx"":-49,""dy"":32,""t"":5857},{""x"":1382,""y"":318,""dx"":-69,""dy"":37,""t"":5885},{""x"":1410,""y"":329,""dx"":-41,""dy"":48,""t"":5920},{""x"":1383,""y"":312,""dx"":-68,""dy"":31,""t"":5954},{""x"":1391,""y"":327,""dx"":-60,""dy"":46,""t"":5988}],[{""x"":1105,""y"":629,""dx"":134,""dy"":78,""t"":7008},{""x"":1113,""y"":612,""dx"":142,""dy"":61,""t"":7040},{""x"":1103,""y"":606,""dx"":132,""dy"":55,""t"":7076},{""x"":1037,""y"":615,""dx"":66,""dy"":64,""t"":7110},{""x"":929,""y"":602,""dx"":-42,""dy"":51,""t"":7144},{""x"":862,""y"":630,""dx"":-109,""dy"":79,""t"":7178},{""x"":827,""y"":608,""dx"":-144,""dy"":57,""t"":7212},{""x"":849,""y"":642,""dx"":-122,""dy"":91,""t"":7246},{""x"":873,""y"":651,""dx"":-98,""dy"":100,""t"":7280},{""x"":894,""y"":675,""dx"":-77,""dy"":124,""t"":7314},{""x"":901,""y"":649,""dx"":-70,""dy"":98,""t"":7347},{""x"":933,""y"":674,""dx"":-38,""dy"":123,""t"":7382},{""x"":961,""y"":664,""dx"":-10,""dy"":113,""t"":7413},{""x"":951,""y"":663,""dx"":-20,""dy"":112,""t"":7450},{""x"":951,""y"":651,""dx"":-20,""dy"":100,""t"":7483},{""x"":980,""y"":638,""dx"":9,""dy"":87,""t"":7519},{""x"":993,""y"":663,""dx"":22,""dy"":112,""t"":7552},{""x"":1034,""y"":627,""dx"":63,""dy"":76,""t"":7586},{""x"":1029,""y"":655,""dx"":58,""dy"":104,""t"":7620},{""x"":1066,""y"":650,""dx"":95,""dy"":99,""t"":7654},{""x"":1102,""y"":651,""dx"":131,""dy"":100,""t"":7688},{""x"":1114,""y"":620,""dx"":143,""dy"":69,""t"":7722},{""x"":1139,""y"":651,""dx"":168,""dy"":100,""t"":7756},{""x"":1146,""y"":617,""dx"":175,""dy"":66,""t"":7790},{""x"":1156,""y"":639,""dx"":185,""dy"":88,""t"":7825},{""x"":1161,""y"":625,""dx"":190,""dy"":74,""t"":7858},{""x"":1159,""y"":637,""dx"":188,""dy"":86,""t"":7892},{""x"":1161,""y"":664,""dx"":190,""dy"":113,""t"":7927},{""x"":1160,""y"":616,""dx"":189,""dy"":65,""t"":7960},{""x"":1162,""y"":659,""dx"":191,""dy"":108,""t"":7994},{""x"":1156,""y"":620,""dx"":185,""dy"":69,""t"":8028},{""x"":1144,""y"":657,""dx"":173,""dy"":106,""t"":8062},{""x"":1154,""y"":697,""dx"":183,""dy"":146,""t"":8096},{""x"":1170,""y"":718,""dx"":199,""dy"":167,""t"":8130},{""x"":1177,""y"":727,""dx"":206,""dy"":176,""t"":8165},{""x"":1187,""y"":742,""dx"":216,""dy"":191,""t"":8198},{""x"":1189,""y"":769,""dx"":218,""dy"":218,""t"":8232},{""x"":1222,""y"":777,""dx"":251,""dy"":226,""t"":8266},{""x"":1204,""y"":760,""dx"":233,""dy"":209,""t"":8300},{""x"":1189,""y"":725,""dx"":218,""dy"":174,""t"":8334},{""x"":1198,""y"":747,""dx"":227,""dy"":196,""t"":8368},{""x"":1197,""y"":710,""dx"":226,""dy"":159,""t"":8401},{""x"":1162,""y"":715,""dx"":191,""dy"":164,""t"":8436},{""x"":1108,""y"":657,""dx"":137,""dy"":106,""t"":8471},{""x"":1088,""y"":645,""dx"":117,""dy"":94,""t"":8504},{""x"":1073,""y"":590,""dx"":102,""dy"":39,""t"":8537},{""x"":1068,""y"":569,""dx"":97,""dy"":18,""t"":8572},{""x"":1108,""y"":611,""dx"":137,""dy"":60,""t"":8606},{""x"":1093,""y"":609,""dx"":122,""dy"":58,""t"":8640},{""x"":1093,""y"":634,""dx"":122,""dy"":83,""t"":8674},{""x"":1098,""y"":642,""dx"":127,""dy"":91,""t"":8707},{""x"":1117,""y"":662,""dx"":146,""dy"":111,""t"":8742},{""x"":1090,""y"":656,""dx"":119,""dy"":105,""t"":8776},{""x"":1100,""y"":677,""dx"":129,""dy"":126,""t"":8810},{""x"":1087,""y"":658,""dx"":116,""dy"":107,""t"":8845},{""x"":1093,""y"":674,""dx"":122,""dy"":123,""t"":8879},{""x"":1131,""y"":666,""dx"":160,""dy"":115,""t"":8912},{""x"":1137,""y"":655,""dx"":166,""dy"":104,""t"":8946},{""x"":1102,""y"":600,""dx"":131,""dy"":49,""t"":8980}],[{""x"":499,""y"":690,""dx"":8,""dy"":-131,""t"":10000},{""x"":482,""y"":675,""dx"":-9,""dy"":-146,""t"":10035},{""x"":482,""y"":654,""dx"":-9,""dy"":-167,""t"":10068},{""x"":481,""y"":662,""dx"":-10,""dy"":-159,""t"":10102},{""x"":479,""y"":673,""dx"":-12,""dy"":-148,""t"":10136},{""x"":485,""y"":668,""dx"":-6,""dy"":-153,""t"":10169},{""x"":471,""y"":645,""dx"":-20,""dy"":-176,""t"":10204},{""x"":467,""y"":656,""dx"":-24,""dy"":-165,""t"":10238},{""x"":469,""y"":656,""dx"":-22,""dy"":-165,""t"":10272},{""x"":473,""y"":642,""dx"":-18,""dy"":-179,""t"":10306},{""x"":531,""y"":672,""dx"":40,""dy"":-149,""t"":10339},{""x"":551,""y"":672,""dx"":60,""dy"":-149,""t"":10374},{""x"":535,""y"":677,""dx"":44,""dy"":-144,""t"":10408},{""x"":527,""y"":693,""dx"":36,""dy"":-128,""t"":10442},{""x"":507,""y"":686,""dx"":16,""dy"":-135,""t"":10476},{""x"":503,""y"":711,""dx"":12,""dy"":-110,""t"":10509},{""x"":480,""y"":695,""dx"":-11,""dy"":-126,""t"":10544},{""x"":464,""y"":689,""dx"":-27,""dy"":-132,""t"":10579},{""x"":452,""y"":702,""dx"":-39,""dy"":-119,""t"":10610},{""x"":458,""y"":704,""dx"":-33,""dy"":-117,""t"":10646},{""x"":427,""y"":713,""dx"":-64,""dy"":-108,""t"":10680},{""x"":436,""y"":690,""dx"":-55,""dy"":-131,""t"":10714},{""x"":463,""y"":710,""dx"":-28,""dy"":-111,""t"":10748},{""x"":481,""y"":718,""dx"":-10,""dy"":-103,""t"":10782},{""x"":473,""y"":707,""dx"":-18,""dy"":-114,""t"":10816},{""x"":461,""y"":689,""dx"":-30,""dy"":-132,""t"":10850},{""x"":476,""y"":721,""dx"":-15,""dy"":-100,""t"":10885},{""x"":463,""y"":692,""dx"":-28,""dy"":-129,""t"":10918},{""x"":494,""y"":687,""dx"":3,""dy"":-134,""t"":10952},{""x"":501,""y"":707,""dx"":10,""dy"":-114,""t"":10984},{""x"":510,""y"":693,""dx"":19,""dy"":-128,""t"":11020},{""x"":505,""y"":677,""dx"":14,""dy"":-144,""t"":11053},{""x"":509,""y"":657,""dx"":18,""dy"":-164,""t"":11088},{""x"":481,""y"":632,""dx"":-10,""dy"":-189,""t"":11122},{""x"":452,""y"":630,""dx"":-39,""dy"":-191,""t"":11157},{""x"":440,""y"":654,""dx"":-51,""dy"":-167,""t"":11190},{""x"":462,""y"":647,""dx"":-29,""dy"":-174,""t"":11224},{""x"":511,""y"":668,""dx"":20,""dy"":-153,""t"":11258},{""x"":521,""y"":689,""dx"":30,""dy"":-132,""t"":11292},{""x"":538,""y"":686,""dx"":47,""dy"":-135,""t"":11326},{""x"":538,""y"":690,""dx"":47,""dy"":-131,""t"":11360},{""x"":500,""y"":680,""dx"":9,""dy"":-141,""t"":11394},{""x"":510,""y"":677,""dx"":19,""dy"":-144,""t"":11427},{""x"":505,""y"":665,""dx"":14,""dy"":-156,""t"":11463},{""x"":505,""y"":656,""dx"":14,""dy"":-165,""t"":11496},{""x"":532,""y"":673,""dx"":41,""dy"":-148,""t"":11530},{""x"":520,""y"":656,""dx"":29,""dy"":-165,""t"":11564},{""x"":517,""y"":674,""dx"":26,""dy"":-147,""t"":11598},{""x"":505,""y"":673,""dx"":14,""dy"":-148,""t"":11632},{""x"":497,""y"":690,""dx"":6,""dy"":-131,""t"":11666},{""x"":495,""y"":702,""dx"":4,""dy"":-119,""t"":11700},{""x"":458,""y"":677,""dx"":-33,""dy"":-144,""t"":11734},{""x"":466,""y"":694,""dx"":-25,""dy"":-127,""t"":11768},{""x"":481,""y"":715,""dx"":-10,""dy"":-106,""t"":11802},{""x"":473,""y"":738,""dx"":-18,""dy"":-83,""t"":11836},{""x"":471,""y"":723,""dx"":-20,""dy"":-98,""t"":11870},{""x"":488,""y"":727,""dx"":-3,""dy"":-94,""t"":11903},{""x"":487,""y"":748,""dx"":-4,""dy"":-73,""t"":11938},{""x"":482,""y"":765,""dx"":-9,""dy"":-56,""t"":11972},{""x"":477,""y"":750,""dx"":-14,""dy"":-71,""t"":12006}],[{""x"":1299,""y"":711,""dx"":-152,""dy"":-110,""t"":13027},{""x"":1273,""y"":725,""dx"":-178,""dy"":-96,""t"":13060},{""x"":1271,""y"":709,""dx"":-180,""dy"":-112,""t"":13094},{""x"":1272,""y"":727,""dx"":-179,""dy"":-94,""t"":13128},{""x"":1252,""y"":721,""dx"":-199,""dy"":-100,""t"":13162},{""x"":1201,""y"":736,""dx"":-250,""dy"":-85,""t"":13196},{""x"":1228,""y"":724,""dx"":-223,""dy"":-97,""t"":13230},{""x"":1235,""y"":722,""dx"":-216,""dy"":-99,""t"":13264},{""x"":1267,""y"":714,""dx"":-184,""dy"":-107,""t"":13298},{""x"":1283,""y"":701,""dx"":-168,""dy"":-120,""t"":13332},{""x"":1294,""y"":701,""dx"":-157,""dy"":-120,""t"":13366},{""x"":1295,""y"":695,""dx"":-156,""dy"":-126,""t"":13399},{""x"":1258,""y"":692,""dx"":-193,""dy"":-129,""t"":13434},{""x"":1270,""y"":710,""dx"":-181,""dy"":-111,""t"":13468},{""x"":1310,""y"":734,""dx"":-141,""dy"":-87,""t"":13503},{""x"":1338,""y"":741,""dx"":-113,""dy"":-80,""t"":13536},{""x"":1323,""y"":734,""dx"":-128,""dy"":-87,""t"":13570},{""x"":1304,""y"":745,""dx"":-147,""dy"":-76,""t"":13604},{""x"":1282,""y"":763,""dx"":-169,""dy"":-58,""t"":13638},{""x"":1333,""y"":739,""dx"":-118,""dy"":-82,""t"":13672},{""x"":1304,""y"":734,""dx"":-147,""dy"":-87,""t"":13731},{""x"":1247,""y"":704,""dx"":-204,""dy"":-117,""t"":13744},{""x"":1198,""y"":677,""dx"":-253,""dy"":-144,""t"":13771},{""x"":1189,""y"":678,""dx"":-262,""dy"":-143,""t"":13808},{""x"":1200,""y"":686,""dx"":-251,""dy"":-135,""t"":13842},{""x"":1241,""y"":709,""dx"":-210,""dy"":-112,""t"":13876},{""x"":1249,""y"":717,""dx"":-202,""dy"":-104,""t"":13909},{""x"":1244,""y"":727,""dx"":-207,""dy"":-94,""t"":13944},{""x"":1244,""y"":733,""dx"":-207,""dy"":-88,""t"":13978},{""x"":1258,""y"":709,""dx"":-193,""dy"":-112,""t"":14012},{""x"":1288,""y"":710,""dx"":-163,""dy"":-111,""t"":14045},{""x"":1294,""y"":713,""dx"":-157,""dy"":-108,""t"":14081},{""x"":1280,""y"":717,""dx"":-171,""dy"":-104,""t"":14115},{""x"":1309,""y"":712,""dx"":-142,""dy"":-109,""t"":14148},{""x"":1331,""y"":710,""dx"":-120,""dy"":-111,""t"":14180},{""x"":1286,""y"":718,""dx"":-165,""dy"":-103,""t"":14216},{""x"":1309,""y"":715,""dx"":-142,""dy"":-106,""t"":14250},{""x"":1299,""y"":727,""dx"":-152,""dy"":-94,""t"":14284},{""x"":1320,""y"":725,""dx"":-131,""dy"":-96,""t"":14317},{""x"":1323,""y"":715,""dx"":-128,""dy"":-106,""t"":14352},{""x"":1299,""y"":721,""dx"":-152,""dy"":-100,""t"":14387},{""x"":1313,""y"":739,""dx"":-138,""dy"":-82,""t"":14420},{""x"":1299,""y"":729,""dx"":-152,""dy"":-92,""t"":14453},{""x"":1285,""y"":746,""dx"":-166,""dy"":-75,""t"":14488},{""x"":1284,""y"":760,""dx"":-167,""dy"":-61,""t"":14523},{""x"":1278,""y"":745,""dx"":-173,""dy"":-76,""t"":14554},{""x"":1275,""y"":738,""dx"":-176,""dy"":-83,""t"":14590},{""x"":1291,""y"":732,""dx"":-160,""dy"":-89,""t"":14625},{""x"":1253,""y"":735,""dx"":-198,""dy"":-86,""t"":14659},{""x"":1281,""y"":737,""dx"":-170,""dy"":-84,""t"":14693},{""x"":1300,""y"":741,""dx"":-151,""dy"":-80,""t"":14726},{""x"":1291,""y"":738,""dx"":-160,""dy"":-83,""t"":14760},{""x"":1264,""y"":729,""dx"":-187,""dy"":-92,""t"":14794},{""x"":1274,""y"":735,""dx"":-177,""dy"":-86,""t"":14829},{""x"":1290,""y"":716,""dx"":-161,""dy"":-105,""t"":14862},{""x"":1304,""y"":686,""dx"":-147,""dy"":-135,""t"":14896},{""x"":1312,""y"":694,""dx"":-139,""dy"":-127,""t"":14929},{""x"":1336,""y"":708,""dx"":-115,""dy"":-113,""t"":14964},{""x"":1343,""y"":687,""dx"":-108,""dy"":-134,""t"":14998}]]","[88.13559322033898,100,71.1864406779661,100,59.32203389830508]","[{""x"":6.898305084745763,""y"":77.30508474576271,""r"":60.2646847840193},{""x"":-29.677966101694917,""y"":21.949152542372882,""r"":51.35507355102509},{""x"":110.11864406779661,""y"":105.8135593220339,""r"":80.36219717532808},{""x"":-2.55,""y"":-134.96666666666667,""r"":49.96904461161524},{""x"":-170.10169491525423,""y"":-100.72881355932203,""r"":28.93943094814431}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]",29.42,validate,,,,,,,,,,
