"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1812","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1818","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3892","0.0-2.0-0.0","","","","","2072","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5564","0.0-2.0-1.0","","","","","1671","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6147","0.0-3.0","","","","","582"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","29736","0.0-4.0","","","","","","","","","2172","","","","","","","","","","","","","","","","",""
"","html-button-response","6","31060","0.0-5.0-0.0","","","","","1321","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","40468","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","41211","0.0-5.0-2.0","","","","","743","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","58268","0.0-5.0-3.0","","","","","","","","","","[[{""x"":484,""y"":351,""dx"":-7,""dy"":70,""t"":956},{""x"":488,""y"":346,""dx"":-3,""dy"":65,""t"":1016},{""x"":492,""y"":342,""dx"":1,""dy"":61,""t"":1028},{""x"":490,""y"":335,""dx"":-1,""dy"":54,""t"":1058},{""x"":491,""y"":329,""dx"":0,""dy"":48,""t"":1092},{""x"":489,""y"":327,""dx"":-2,""dy"":46,""t"":1126},{""x"":492,""y"":336,""dx"":1,""dy"":55,""t"":1160},{""x"":498,""y"":336,""dx"":7,""dy"":55,""t"":1194},{""x"":497,""y"":321,""dx"":6,""dy"":40,""t"":1229},{""x"":500,""y"":324,""dx"":9,""dy"":43,""t"":1261},{""x"":507,""y"":342,""dx"":16,""dy"":61,""t"":1296},{""x"":503,""y"":340,""dx"":12,""dy"":59,""t"":1330},{""x"":496,""y"":329,""dx"":5,""dy"":48,""t"":1365},{""x"":490,""y"":332,""dx"":-1,""dy"":51,""t"":1398},{""x"":482,""y"":335,""dx"":-9,""dy"":54,""t"":1432},{""x"":499,""y"":356,""dx"":8,""dy"":75,""t"":1465},{""x"":500,""y"":370,""dx"":9,""dy"":89,""t"":1501},{""x"":500,""y"":372,""dx"":9,""dy"":91,""t"":1534},{""x"":502,""y"":386,""dx"":11,""dy"":105,""t"":1566},{""x"":494,""y"":380,""dx"":3,""dy"":99,""t"":1602},{""x"":499,""y"":376,""dx"":8,""dy"":95,""t"":1635},{""x"":503,""y"":354,""dx"":12,""dy"":73,""t"":1670},{""x"":502,""y"":347,""dx"":11,""dy"":66,""t"":1704},{""x"":508,""y"":357,""dx"":17,""dy"":76,""t"":1738},{""x"":503,""y"":349,""dx"":12,""dy"":68,""t"":1772},{""x"":511,""y"":342,""dx"":20,""dy"":61,""t"":1806},{""x"":512,""y"":354,""dx"":21,""dy"":73,""t"":1840},{""x"":507,""y"":353,""dx"":16,""dy"":72,""t"":1874},{""x"":504,""y"":354,""dx"":13,""dy"":73,""t"":1908},{""x"":511,""y"":346,""dx"":20,""dy"":65,""t"":1942},{""x"":518,""y"":339,""dx"":27,""dy"":58,""t"":1974},{""x"":523,""y"":347,""dx"":32,""dy"":66,""t"":2010},{""x"":524,""y"":350,""dx"":33,""dy"":69,""t"":2044},{""x"":535,""y"":354,""dx"":44,""dy"":73,""t"":2079},{""x"":529,""y"":352,""dx"":38,""dy"":71,""t"":2113},{""x"":530,""y"":350,""dx"":39,""dy"":69,""t"":2145},{""x"":526,""y"":352,""dx"":35,""dy"":71,""t"":2179},{""x"":519,""y"":355,""dx"":28,""dy"":74,""t"":2214},{""x"":525,""y"":353,""dx"":34,""dy"":72,""t"":2248},{""x"":524,""y"":349,""dx"":33,""dy"":68,""t"":2282},{""x"":527,""y"":347,""dx"":36,""dy"":66,""t"":2316},{""x"":523,""y"":347,""dx"":32,""dy"":66,""t"":2350},{""x"":519,""y"":347,""dx"":28,""dy"":66,""t"":2384},{""x"":507,""y"":344,""dx"":16,""dy"":63,""t"":2418},{""x"":504,""y"":341,""dx"":13,""dy"":60,""t"":2452},{""x"":502,""y"":358,""dx"":11,""dy"":77,""t"":2485},{""x"":494,""y"":359,""dx"":3,""dy"":78,""t"":2520},{""x"":507,""y"":371,""dx"":16,""dy"":90,""t"":2554},{""x"":511,""y"":369,""dx"":20,""dy"":88,""t"":2588},{""x"":509,""y"":359,""dx"":18,""dy"":78,""t"":2622},{""x"":509,""y"":358,""dx"":18,""dy"":77,""t"":2656},{""x"":515,""y"":363,""dx"":24,""dy"":82,""t"":2690},{""x"":511,""y"":374,""dx"":20,""dy"":93,""t"":2724},{""x"":505,""y"":379,""dx"":14,""dy"":98,""t"":2758},{""x"":504,""y"":372,""dx"":13,""dy"":91,""t"":2792},{""x"":510,""y"":365,""dx"":19,""dy"":84,""t"":2827},{""x"":514,""y"":370,""dx"":23,""dy"":89,""t"":2860},{""x"":509,""y"":370,""dx"":18,""dy"":89,""t"":2895},{""x"":507,""y"":353,""dx"":16,""dy"":72,""t"":2928},{""x"":508,""y"":350,""dx"":17,""dy"":69,""t"":2962}],[{""x"":1410,""y"":374,""dx"":-41,""dy"":93,""t"":4017},{""x"":1386,""y"":367,""dx"":-65,""dy"":86,""t"":4050},{""x"":1360,""y"":356,""dx"":-91,""dy"":75,""t"":4084},{""x"":1343,""y"":351,""dx"":-108,""dy"":70,""t"":4118},{""x"":1344,""y"":359,""dx"":-107,""dy"":78,""t"":4152},{""x"":1331,""y"":359,""dx"":-120,""dy"":78,""t"":4187},{""x"":1316,""y"":356,""dx"":-135,""dy"":75,""t"":4220},{""x"":1314,""y"":370,""dx"":-137,""dy"":89,""t"":4255},{""x"":1316,""y"":371,""dx"":-135,""dy"":90,""t"":4289},{""x"":1300,""y"":360,""dx"":-151,""dy"":79,""t"":4322},{""x"":1306,""y"":361,""dx"":-145,""dy"":80,""t"":4356},{""x"":1323,""y"":369,""dx"":-128,""dy"":88,""t"":4390},{""x"":1330,""y"":368,""dx"":-121,""dy"":87,""t"":4424},{""x"":1344,""y"":368,""dx"":-107,""dy"":87,""t"":4458},{""x"":1323,""y"":363,""dx"":-128,""dy"":82,""t"":4492},{""x"":1332,""y"":369,""dx"":-119,""dy"":88,""t"":4526},{""x"":1333,""y"":374,""dx"":-118,""dy"":93,""t"":4560},{""x"":1336,""y"":365,""dx"":-115,""dy"":84,""t"":4594},{""x"":1343,""y"":365,""dx"":-108,""dy"":84,""t"":4628},{""x"":1344,""y"":361,""dx"":-107,""dy"":80,""t"":4663},{""x"":1349,""y"":351,""dx"":-102,""dy"":70,""t"":4696},{""x"":1363,""y"":376,""dx"":-88,""dy"":95,""t"":4729},{""x"":1357,""y"":379,""dx"":-94,""dy"":98,""t"":4764},{""x"":1356,""y"":374,""dx"":-95,""dy"":93,""t"":4799},{""x"":1364,""y"":379,""dx"":-87,""dy"":98,""t"":4832},{""x"":1367,""y"":365,""dx"":-84,""dy"":84,""t"":4866},{""x"":1361,""y"":359,""dx"":-90,""dy"":78,""t"":4901},{""x"":1356,""y"":355,""dx"":-95,""dy"":74,""t"":4935},{""x"":1354,""y"":370,""dx"":-97,""dy"":89,""t"":4968},{""x"":1353,""y"":361,""dx"":-98,""dy"":80,""t"":5002},{""x"":1335,""y"":342,""dx"":-116,""dy"":61,""t"":5036},{""x"":1335,""y"":341,""dx"":-116,""dy"":60,""t"":5071},{""x"":1338,""y"":352,""dx"":-113,""dy"":71,""t"":5104},{""x"":1341,""y"":361,""dx"":-110,""dy"":80,""t"":5136},{""x"":1352,""y"":377,""dx"":-99,""dy"":96,""t"":5172},{""x"":1328,""y"":367,""dx"":-123,""dy"":86,""t"":5206},{""x"":1315,""y"":369,""dx"":-136,""dy"":88,""t"":5240},{""x"":1330,""y"":376,""dx"":-121,""dy"":95,""t"":5274},{""x"":1348,""y"":384,""dx"":-103,""dy"":103,""t"":5307},{""x"":1350,""y"":378,""dx"":-101,""dy"":97,""t"":5341},{""x"":1374,""y"":381,""dx"":-77,""dy"":100,""t"":5375},{""x"":1393,""y"":404,""dx"":-58,""dy"":123,""t"":5410},{""x"":1398,""y"":408,""dx"":-53,""dy"":127,""t"":5444},{""x"":1409,""y"":412,""dx"":-42,""dy"":131,""t"":5479},{""x"":1419,""y"":401,""dx"":-32,""dy"":120,""t"":5512},{""x"":1424,""y"":390,""dx"":-27,""dy"":109,""t"":5546},{""x"":1427,""y"":388,""dx"":-24,""dy"":107,""t"":5581},{""x"":1433,""y"":397,""dx"":-18,""dy"":116,""t"":5614},{""x"":1427,""y"":407,""dx"":-24,""dy"":126,""t"":5648},{""x"":1435,""y"":398,""dx"":-16,""dy"":117,""t"":5682},{""x"":1432,""y"":384,""dx"":-19,""dy"":103,""t"":5717},{""x"":1441,""y"":385,""dx"":-10,""dy"":104,""t"":5751},{""x"":1431,""y"":389,""dx"":-20,""dy"":108,""t"":5784},{""x"":1421,""y"":386,""dx"":-30,""dy"":105,""t"":5818},{""x"":1416,""y"":387,""dx"":-35,""dy"":106,""t"":5852},{""x"":1412,""y"":394,""dx"":-39,""dy"":113,""t"":5886},{""x"":1418,""y"":407,""dx"":-33,""dy"":126,""t"":5920},{""x"":1418,""y"":387,""dx"":-33,""dy"":106,""t"":5953},{""x"":1417,""y"":377,""dx"":-34,""dy"":96,""t"":5989}],[{""x"":843,""y"":631,""dx"":-128,""dy"":80,""t"":7042},{""x"":854,""y"":627,""dx"":-117,""dy"":76,""t"":7076},{""x"":842,""y"":628,""dx"":-129,""dy"":77,""t"":7110},{""x"":832,""y"":629,""dx"":-139,""dy"":78,""t"":7141},{""x"":847,""y"":628,""dx"":-124,""dy"":77,""t"":7178},{""x"":821,""y"":607,""dx"":-150,""dy"":56,""t"":7212},{""x"":812,""y"":618,""dx"":-159,""dy"":67,""t"":7247},{""x"":805,""y"":621,""dx"":-166,""dy"":70,""t"":7280},{""x"":796,""y"":607,""dx"":-175,""dy"":56,""t"":7313},{""x"":789,""y"":589,""dx"":-182,""dy"":38,""t"":7348},{""x"":798,""y"":592,""dx"":-173,""dy"":41,""t"":7382},{""x"":798,""y"":579,""dx"":-173,""dy"":28,""t"":7416},{""x"":788,""y"":598,""dx"":-183,""dy"":47,""t"":7449},{""x"":785,""y"":590,""dx"":-186,""dy"":39,""t"":7484},{""x"":762,""y"":578,""dx"":-209,""dy"":27,""t"":7519},{""x"":802,""y"":590,""dx"":-169,""dy"":39,""t"":7552},{""x"":821,""y"":593,""dx"":-150,""dy"":42,""t"":7588},{""x"":793,""y"":585,""dx"":-178,""dy"":34,""t"":7620},{""x"":813,""y"":636,""dx"":-158,""dy"":85,""t"":7655},{""x"":783,""y"":648,""dx"":-188,""dy"":97,""t"":7688},{""x"":753,""y"":632,""dx"":-218,""dy"":81,""t"":7722},{""x"":767,""y"":653,""dx"":-204,""dy"":102,""t"":7756},{""x"":787,""y"":666,""dx"":-184,""dy"":115,""t"":7790},{""x"":761,""y"":668,""dx"":-210,""dy"":117,""t"":7824},{""x"":750,""y"":673,""dx"":-221,""dy"":122,""t"":7858},{""x"":769,""y"":700,""dx"":-202,""dy"":149,""t"":7892},{""x"":751,""y"":697,""dx"":-220,""dy"":146,""t"":7927},{""x"":775,""y"":722,""dx"":-196,""dy"":171,""t"":7960},{""x"":805,""y"":737,""dx"":-166,""dy"":186,""t"":7994},{""x"":828,""y"":740,""dx"":-143,""dy"":189,""t"":8028},{""x"":807,""y"":706,""dx"":-164,""dy"":155,""t"":8062},{""x"":788,""y"":696,""dx"":-183,""dy"":145,""t"":8096},{""x"":777,""y"":688,""dx"":-194,""dy"":137,""t"":8130},{""x"":756,""y"":683,""dx"":-215,""dy"":132,""t"":8165},{""x"":776,""y"":688,""dx"":-195,""dy"":137,""t"":8198},{""x"":780,""y"":709,""dx"":-191,""dy"":158,""t"":8232},{""x"":799,""y"":722,""dx"":-172,""dy"":171,""t"":8266},{""x"":820,""y"":709,""dx"":-151,""dy"":158,""t"":8298},{""x"":849,""y"":730,""dx"":-122,""dy"":179,""t"":8334},{""x"":858,""y"":751,""dx"":-113,""dy"":200,""t"":8368},{""x"":871,""y"":764,""dx"":-100,""dy"":213,""t"":8402},{""x"":872,""y"":754,""dx"":-99,""dy"":203,""t"":8435},{""x"":882,""y"":726,""dx"":-89,""dy"":175,""t"":8471},{""x"":905,""y"":665,""dx"":-66,""dy"":114,""t"":8504},{""x"":917,""y"":615,""dx"":-54,""dy"":64,""t"":8538},{""x"":905,""y"":620,""dx"":-66,""dy"":69,""t"":8573},{""x"":893,""y"":650,""dx"":-78,""dy"":99,""t"":8606},{""x"":881,""y"":681,""dx"":-90,""dy"":130,""t"":8640},{""x"":905,""y"":618,""dx"":-66,""dy"":67,""t"":8673},{""x"":925,""y"":566,""dx"":-46,""dy"":15,""t"":8706},{""x"":914,""y"":623,""dx"":-57,""dy"":72,""t"":8742},{""x"":926,""y"":610,""dx"":-45,""dy"":59,""t"":8776},{""x"":898,""y"":616,""dx"":-73,""dy"":65,""t"":8810},{""x"":878,""y"":658,""dx"":-93,""dy"":107,""t"":8845},{""x"":900,""y"":628,""dx"":-71,""dy"":77,""t"":8879},{""x"":907,""y"":593,""dx"":-64,""dy"":42,""t"":8912},{""x"":896,""y"":645,""dx"":-75,""dy"":94,""t"":8946},{""x"":877,""y"":664,""dx"":-94,""dy"":113,""t"":8980},{""x"":863,""y"":678,""dx"":-108,""dy"":127,""t"":9014}],[{""x"":574,""y"":661,""dx"":83,""dy"":-160,""t"":10034},{""x"":587,""y"":671,""dx"":96,""dy"":-150,""t"":10068},{""x"":593,""y"":663,""dx"":102,""dy"":-158,""t"":10102},{""x"":605,""y"":675,""dx"":114,""dy"":-146,""t"":10135},{""x"":619,""y"":680,""dx"":128,""dy"":-141,""t"":10170},{""x"":623,""y"":701,""dx"":132,""dy"":-120,""t"":10205},{""x"":622,""y"":689,""dx"":131,""dy"":-132,""t"":10239},{""x"":619,""y"":682,""dx"":128,""dy"":-139,""t"":10272},{""x"":616,""y"":677,""dx"":125,""dy"":-144,""t"":10304},{""x"":615,""y"":681,""dx"":124,""dy"":-140,""t"":10339},{""x"":622,""y"":689,""dx"":131,""dy"":-132,""t"":10404},{""x"":628,""y"":695,""dx"":137,""dy"":-126,""t"":10413},{""x"":631,""y"":696,""dx"":140,""dy"":-125,""t"":10443},{""x"":633,""y"":702,""dx"":142,""dy"":-119,""t"":10476},{""x"":631,""y"":703,""dx"":140,""dy"":-118,""t"":10510},{""x"":628,""y"":706,""dx"":137,""dy"":-115,""t"":10544},{""x"":636,""y"":710,""dx"":145,""dy"":-111,""t"":10578},{""x"":638,""y"":720,""dx"":147,""dy"":-101,""t"":10612},{""x"":633,""y"":726,""dx"":142,""dy"":-95,""t"":10647},{""x"":634,""y"":718,""dx"":143,""dy"":-103,""t"":10680},{""x"":634,""y"":730,""dx"":143,""dy"":-91,""t"":10714},{""x"":641,""y"":728,""dx"":150,""dy"":-93,""t"":10748},{""x"":641,""y"":720,""dx"":150,""dy"":-101,""t"":10782},{""x"":632,""y"":721,""dx"":141,""dy"":-100,""t"":10816},{""x"":624,""y"":723,""dx"":133,""dy"":-98,""t"":10850},{""x"":614,""y"":723,""dx"":123,""dy"":-98,""t"":10885},{""x"":623,""y"":729,""dx"":132,""dy"":-92,""t"":10918},{""x"":615,""y"":744,""dx"":124,""dy"":-77,""t"":10952},{""x"":607,""y"":753,""dx"":116,""dy"":-68,""t"":10985},{""x"":588,""y"":745,""dx"":97,""dy"":-76,""t"":11020},{""x"":576,""y"":743,""dx"":85,""dy"":-78,""t"":11053},{""x"":568,""y"":745,""dx"":77,""dy"":-76,""t"":11088},{""x"":572,""y"":733,""dx"":81,""dy"":-88,""t"":11121},{""x"":586,""y"":738,""dx"":95,""dy"":-83,""t"":11157},{""x"":593,""y"":739,""dx"":102,""dy"":-82,""t"":11191},{""x"":604,""y"":740,""dx"":113,""dy"":-81,""t"":11223},{""x"":618,""y"":744,""dx"":127,""dy"":-77,""t"":11259},{""x"":623,""y"":752,""dx"":132,""dy"":-69,""t"":11292},{""x"":627,""y"":761,""dx"":136,""dy"":-60,""t"":11326},{""x"":634,""y"":772,""dx"":143,""dy"":-49,""t"":11360},{""x"":633,""y"":771,""dx"":142,""dy"":-50,""t"":11394},{""x"":635,""y"":777,""dx"":144,""dy"":-44,""t"":11429},{""x"":629,""y"":770,""dx"":138,""dy"":-51,""t"":11463},{""x"":622,""y"":761,""dx"":131,""dy"":-60,""t"":11496},{""x"":640,""y"":776,""dx"":149,""dy"":-45,""t"":11530},{""x"":642,""y"":776,""dx"":151,""dy"":-45,""t"":11564},{""x"":643,""y"":765,""dx"":152,""dy"":-56,""t"":11599},{""x"":638,""y"":749,""dx"":147,""dy"":-72,""t"":11632},{""x"":649,""y"":757,""dx"":158,""dy"":-64,""t"":11666},{""x"":652,""y"":755,""dx"":161,""dy"":-66,""t"":11700},{""x"":661,""y"":767,""dx"":170,""dy"":-54,""t"":11734},{""x"":643,""y"":752,""dx"":152,""dy"":-69,""t"":11768},{""x"":648,""y"":762,""dx"":157,""dy"":-59,""t"":11801},{""x"":650,""y"":767,""dx"":159,""dy"":-54,""t"":11835},{""x"":652,""y"":761,""dx"":161,""dy"":-60,""t"":11867},{""x"":646,""y"":753,""dx"":155,""dy"":-68,""t"":11905},{""x"":645,""y"":724,""dx"":154,""dy"":-97,""t"":11939},{""x"":616,""y"":742,""dx"":125,""dy"":-79,""t"":11971},{""x"":613,""y"":740,""dx"":122,""dy"":-81,""t"":12006}],[{""x"":1463,""y"":551,""dx"":12,""dy"":-270,""t"":13026},{""x"":1462,""y"":552,""dx"":11,""dy"":-269,""t"":13060},{""x"":1452,""y"":589,""dx"":1,""dy"":-232,""t"":13094},{""x"":1447,""y"":565,""dx"":-4,""dy"":-256,""t"":13128},{""x"":1449,""y"":545,""dx"":-2,""dy"":-276,""t"":13162},{""x"":1443,""y"":581,""dx"":-8,""dy"":-240,""t"":13196},{""x"":1431,""y"":616,""dx"":-20,""dy"":-205,""t"":13230},{""x"":1427,""y"":651,""dx"":-24,""dy"":-170,""t"":13263},{""x"":1418,""y"":662,""dx"":-33,""dy"":-159,""t"":13299},{""x"":1411,""y"":665,""dx"":-40,""dy"":-156,""t"":13333},{""x"":1415,""y"":638,""dx"":-36,""dy"":-183,""t"":13366},{""x"":1416,""y"":610,""dx"":-35,""dy"":-211,""t"":13400},{""x"":1418,""y"":580,""dx"":-33,""dy"":-241,""t"":13434},{""x"":1412,""y"":549,""dx"":-39,""dy"":-272,""t"":13469},{""x"":1412,""y"":544,""dx"":-39,""dy"":-277,""t"":13502},{""x"":1410,""y"":528,""dx"":-41,""dy"":-293,""t"":13536},{""x"":1408,""y"":528,""dx"":-43,""dy"":-293,""t"":13570},{""x"":1402,""y"":514,""dx"":-49,""dy"":-307,""t"":13605},{""x"":1398,""y"":530,""dx"":-53,""dy"":-291,""t"":13638},{""x"":1387,""y"":527,""dx"":-64,""dy"":-294,""t"":13671},{""x"":1389,""y"":508,""dx"":-62,""dy"":-313,""t"":13706},{""x"":1403,""y"":502,""dx"":-48,""dy"":-319,""t"":13740},{""x"":1415,""y"":498,""dx"":-36,""dy"":-323,""t"":13774},{""x"":1424,""y"":482,""dx"":-27,""dy"":-339,""t"":13808},{""x"":1431,""y"":469,""dx"":-20,""dy"":-352,""t"":13840},{""x"":1423,""y"":472,""dx"":-28,""dy"":-349,""t"":13877},{""x"":1424,""y"":466,""dx"":-27,""dy"":-355,""t"":13910},{""x"":1415,""y"":478,""dx"":-36,""dy"":-343,""t"":13944},{""x"":1397,""y"":499,""dx"":-54,""dy"":-322,""t"":13978},{""x"":1393,""y"":495,""dx"":-58,""dy"":-326,""t"":14013},{""x"":1392,""y"":526,""dx"":-59,""dy"":-295,""t"":14046},{""x"":1391,""y"":516,""dx"":-60,""dy"":-305,""t"":14080},{""x"":1378,""y"":538,""dx"":-73,""dy"":-283,""t"":14114},{""x"":1371,""y"":567,""dx"":-80,""dy"":-254,""t"":14148},{""x"":1375,""y"":574,""dx"":-76,""dy"":-247,""t"":14182},{""x"":1370,""y"":570,""dx"":-81,""dy"":-251,""t"":14216},{""x"":1364,""y"":600,""dx"":-87,""dy"":-221,""t"":14250},{""x"":1366,""y"":600,""dx"":-85,""dy"":-221,""t"":14284},{""x"":1365,""y"":621,""dx"":-86,""dy"":-200,""t"":14318},{""x"":1351,""y"":616,""dx"":-100,""dy"":-205,""t"":14352},{""x"":1352,""y"":607,""dx"":-99,""dy"":-214,""t"":14385},{""x"":1357,""y"":618,""dx"":-94,""dy"":-203,""t"":14419},{""x"":1354,""y"":624,""dx"":-97,""dy"":-197,""t"":14454},{""x"":1345,""y"":640,""dx"":-106,""dy"":-181,""t"":14489},{""x"":1348,""y"":641,""dx"":-103,""dy"":-180,""t"":14522},{""x"":1355,""y"":617,""dx"":-96,""dy"":-204,""t"":14557},{""x"":1360,""y"":612,""dx"":-91,""dy"":-209,""t"":14590},{""x"":1364,""y"":620,""dx"":-87,""dy"":-201,""t"":14624},{""x"":1371,""y"":628,""dx"":-80,""dy"":-193,""t"":14658},{""x"":1376,""y"":620,""dx"":-75,""dy"":-201,""t"":14692},{""x"":1371,""y"":620,""dx"":-80,""dy"":-201,""t"":14726},{""x"":1379,""y"":612,""dx"":-72,""dy"":-209,""t"":14761},{""x"":1368,""y"":627,""dx"":-83,""dy"":-194,""t"":14794},{""x"":1368,""y"":661,""dx"":-83,""dy"":-160,""t"":14829},{""x"":1359,""y"":667,""dx"":-92,""dy"":-154,""t"":14862},{""x"":1354,""y"":671,""dx"":-97,""dy"":-150,""t"":14896},{""x"":1356,""y"":685,""dx"":-95,""dy"":-136,""t"":14930},{""x"":1359,""y"":692,""dx"":-92,""dy"":-129,""t"":14964},{""x"":1361,""y"":683,""dx"":-90,""dy"":-138,""t"":14998},{""x"":1368,""y"":676,""dx"":-83,""dy"":-145,""t"":15032}]]","[100,100,59.32203389830508,100,18.333333333333332]","[{""x"":15.7,""y"":70.96666666666667,""r"":26.4478066247543},{""x"":-84.37288135593221,""y"":93.30508474576271,""r"":39.31181193847041},{""x"":-141.25423728813558,""y"":101.84745762711864,""r"":74.51881646583712},{""x"":132.11864406779662,""y"":-91.28813559322033,""r"":34.620883482533706},{""x"":-58.61666666666667,""y"":-238.61666666666667,""r"":85.82365568990737}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
