"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","34419","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","34425","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","41810","0.0-2.0-0.0","","","","","7382","{""name"":""蔡思琪"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","43314","0.0-2.0-1.0","","","","","1503","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","43809","0.0-3.0","","","","","493"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","47523","0.0-4.0","","","","","","","","","1489","","","","","","","","","","","","","","","","",""
"","html-button-response","6","48522","0.0-5.0-0.0","","","","","996","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","60372","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","61113","0.0-5.0-2.0","","","","","740","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","79141","0.0-5.0-3.0","","","","","","","","","","[[{""x"":491,""y"":450,""dx"":0,""dy"":169,""t"":990},{""x"":501,""y"":504,""dx"":10,""dy"":223,""t"":1024},{""x"":494,""y"":489,""dx"":3,""dy"":208,""t"":1058},{""x"":501,""y"":532,""dx"":10,""dy"":251,""t"":1092},{""x"":511,""y"":535,""dx"":20,""dy"":254,""t"":1127},{""x"":513,""y"":530,""dx"":22,""dy"":249,""t"":1160},{""x"":490,""y"":511,""dx"":-1,""dy"":230,""t"":1194},{""x"":506,""y"":522,""dx"":15,""dy"":241,""t"":1228},{""x"":500,""y"":518,""dx"":9,""dy"":237,""t"":1262},{""x"":505,""y"":509,""dx"":14,""dy"":228,""t"":1297},{""x"":523,""y"":527,""dx"":32,""dy"":246,""t"":1330},{""x"":531,""y"":543,""dx"":40,""dy"":262,""t"":1363},{""x"":505,""y"":480,""dx"":14,""dy"":199,""t"":1396},{""x"":492,""y"":430,""dx"":1,""dy"":149,""t"":1432},{""x"":491,""y"":453,""dx"":0,""dy"":172,""t"":1467},{""x"":504,""y"":480,""dx"":13,""dy"":199,""t"":1500},{""x"":521,""y"":420,""dx"":30,""dy"":139,""t"":1533},{""x"":538,""y"":379,""dx"":47,""dy"":98,""t"":1568},{""x"":525,""y"":423,""dx"":34,""dy"":142,""t"":1601},{""x"":530,""y"":400,""dx"":39,""dy"":119,""t"":1636},{""x"":560,""y"":391,""dx"":69,""dy"":110,""t"":1670},{""x"":547,""y"":407,""dx"":56,""dy"":126,""t"":1703},{""x"":533,""y"":364,""dx"":42,""dy"":83,""t"":1737},{""x"":525,""y"":331,""dx"":34,""dy"":50,""t"":1773},{""x"":521,""y"":307,""dx"":30,""dy"":26,""t"":1806},{""x"":503,""y"":293,""dx"":12,""dy"":12,""t"":1841},{""x"":495,""y"":298,""dx"":4,""dy"":17,""t"":1874},{""x"":502,""y"":338,""dx"":11,""dy"":57,""t"":1909},{""x"":495,""y"":325,""dx"":4,""dy"":44,""t"":1942},{""x"":491,""y"":349,""dx"":0,""dy"":68,""t"":1976},{""x"":490,""y"":375,""dx"":-1,""dy"":94,""t"":2010},{""x"":471,""y"":366,""dx"":-20,""dy"":85,""t"":2044},{""x"":467,""y"":371,""dx"":-24,""dy"":90,""t"":2078},{""x"":479,""y"":411,""dx"":-12,""dy"":130,""t"":2112},{""x"":468,""y"":409,""dx"":-23,""dy"":128,""t"":2147},{""x"":483,""y"":467,""dx"":-8,""dy"":186,""t"":2180},{""x"":505,""y"":507,""dx"":14,""dy"":226,""t"":2214},{""x"":497,""y"":468,""dx"":6,""dy"":187,""t"":2248},{""x"":494,""y"":515,""dx"":3,""dy"":234,""t"":2282},{""x"":487,""y"":520,""dx"":-4,""dy"":239,""t"":2316},{""x"":481,""y"":497,""dx"":-10,""dy"":216,""t"":2351},{""x"":488,""y"":483,""dx"":-3,""dy"":202,""t"":2384},{""x"":467,""y"":466,""dx"":-24,""dy"":185,""t"":2418},{""x"":456,""y"":478,""dx"":-35,""dy"":197,""t"":2451},{""x"":454,""y"":451,""dx"":-37,""dy"":170,""t"":2487},{""x"":450,""y"":425,""dx"":-41,""dy"":144,""t"":2520},{""x"":456,""y"":393,""dx"":-35,""dy"":112,""t"":2555},{""x"":462,""y"":375,""dx"":-29,""dy"":94,""t"":2588},{""x"":473,""y"":360,""dx"":-18,""dy"":79,""t"":2623},{""x"":467,""y"":357,""dx"":-24,""dy"":76,""t"":2656},{""x"":471,""y"":353,""dx"":-20,""dy"":72,""t"":2690},{""x"":470,""y"":341,""dx"":-21,""dy"":60,""t"":2725},{""x"":466,""y"":364,""dx"":-25,""dy"":83,""t"":2758},{""x"":489,""y"":355,""dx"":-2,""dy"":74,""t"":2792},{""x"":503,""y"":342,""dx"":12,""dy"":61,""t"":2825},{""x"":509,""y"":339,""dx"":18,""dy"":58,""t"":2860},{""x"":514,""y"":338,""dx"":23,""dy"":57,""t"":2894},{""x"":508,""y"":336,""dx"":17,""dy"":55,""t"":2928},{""x"":517,""y"":327,""dx"":26,""dy"":46,""t"":2961}],[{""x"":1450,""y"":240,""dx"":-1,""dy"":-41,""t"":4017},{""x"":1456,""y"":213,""dx"":5,""dy"":-68,""t"":4050},{""x"":1471,""y"":260,""dx"":20,""dy"":-21,""t"":4084},{""x"":1497,""y"":209,""dx"":46,""dy"":-72,""t"":4118},{""x"":1506,""y"":209,""dx"":55,""dy"":-72,""t"":4152},{""x"":1504,""y"":191,""dx"":53,""dy"":-90,""t"":4186},{""x"":1508,""y"":193,""dx"":57,""dy"":-88,""t"":4220},{""x"":1515,""y"":163,""dx"":64,""dy"":-118,""t"":4254},{""x"":1531,""y"":214,""dx"":80,""dy"":-67,""t"":4288},{""x"":1524,""y"":214,""dx"":73,""dy"":-67,""t"":4322},{""x"":1506,""y"":253,""dx"":55,""dy"":-28,""t"":4356},{""x"":1495,""y"":246,""dx"":44,""dy"":-35,""t"":4391},{""x"":1524,""y"":251,""dx"":73,""dy"":-30,""t"":4424},{""x"":1515,""y"":257,""dx"":64,""dy"":-24,""t"":4459},{""x"":1543,""y"":263,""dx"":92,""dy"":-18,""t"":4492},{""x"":1535,""y"":239,""dx"":84,""dy"":-42,""t"":4525},{""x"":1545,""y"":260,""dx"":94,""dy"":-21,""t"":4557},{""x"":1521,""y"":259,""dx"":70,""dy"":-22,""t"":4594},{""x"":1503,""y"":232,""dx"":52,""dy"":-49,""t"":4628},{""x"":1476,""y"":213,""dx"":25,""dy"":-68,""t"":4662},{""x"":1484,""y"":275,""dx"":33,""dy"":-6,""t"":4696},{""x"":1495,""y"":263,""dx"":44,""dy"":-18,""t"":4730},{""x"":1498,""y"":291,""dx"":47,""dy"":10,""t"":4764},{""x"":1494,""y"":246,""dx"":43,""dy"":-35,""t"":4798},{""x"":1525,""y"":280,""dx"":74,""dy"":-1,""t"":4833},{""x"":1532,""y"":253,""dx"":81,""dy"":-28,""t"":4866},{""x"":1549,""y"":244,""dx"":98,""dy"":-37,""t"":4901},{""x"":1522,""y"":215,""dx"":71,""dy"":-66,""t"":4935},{""x"":1510,""y"":242,""dx"":59,""dy"":-39,""t"":4966},{""x"":1480,""y"":236,""dx"":29,""dy"":-45,""t"":5002},{""x"":1475,""y"":226,""dx"":24,""dy"":-55,""t"":5035},{""x"":1478,""y"":196,""dx"":27,""dy"":-85,""t"":5070},{""x"":1484,""y"":189,""dx"":33,""dy"":-92,""t"":5104},{""x"":1506,""y"":227,""dx"":55,""dy"":-54,""t"":5137},{""x"":1509,""y"":207,""dx"":58,""dy"":-74,""t"":5174},{""x"":1531,""y"":210,""dx"":80,""dy"":-71,""t"":5207},{""x"":1528,""y"":249,""dx"":77,""dy"":-32,""t"":5241},{""x"":1517,""y"":236,""dx"":66,""dy"":-45,""t"":5274},{""x"":1537,""y"":263,""dx"":86,""dy"":-18,""t"":5309},{""x"":1533,""y"":245,""dx"":82,""dy"":-36,""t"":5342},{""x"":1527,""y"":245,""dx"":76,""dy"":-36,""t"":5377},{""x"":1525,""y"":237,""dx"":74,""dy"":-44,""t"":5412},{""x"":1531,""y"":232,""dx"":80,""dy"":-49,""t"":5443},{""x"":1507,""y"":214,""dx"":56,""dy"":-67,""t"":5478},{""x"":1521,""y"":223,""dx"":70,""dy"":-58,""t"":5513},{""x"":1519,""y"":197,""dx"":68,""dy"":-84,""t"":5546},{""x"":1517,""y"":192,""dx"":66,""dy"":-89,""t"":5580},{""x"":1524,""y"":217,""dx"":73,""dy"":-64,""t"":5614},{""x"":1531,""y"":277,""dx"":80,""dy"":-4,""t"":5648},{""x"":1528,""y"":283,""dx"":77,""dy"":2,""t"":5682},{""x"":1524,""y"":276,""dx"":73,""dy"":-5,""t"":5716},{""x"":1505,""y"":288,""dx"":54,""dy"":7,""t"":5749},{""x"":1407,""y"":291,""dx"":-44,""dy"":10,""t"":5784},{""x"":1297,""y"":330,""dx"":-154,""dy"":49,""t"":5818},{""x"":1183,""y"":372,""dx"":-268,""dy"":91,""t"":5852},{""x"":1091,""y"":386,""dx"":-360,""dy"":105,""t"":5886},{""x"":1022,""y"":416,""dx"":-429,""dy"":135,""t"":5920},{""x"":962,""y"":451,""dx"":-489,""dy"":170,""t"":5954},{""x"":921,""y"":488,""dx"":-530,""dy"":207,""t"":5988}],[{""x"":1034,""y"":421,""dx"":63,""dy"":-130,""t"":7008},{""x"":1018,""y"":467,""dx"":47,""dy"":-84,""t"":7042},{""x"":1003,""y"":443,""dx"":32,""dy"":-108,""t"":7076},{""x"":1005,""y"":442,""dx"":34,""dy"":-109,""t"":7110},{""x"":1002,""y"":407,""dx"":31,""dy"":-144,""t"":7144},{""x"":999,""y"":412,""dx"":28,""dy"":-139,""t"":7178},{""x"":1004,""y"":394,""dx"":33,""dy"":-157,""t"":7212},{""x"":996,""y"":403,""dx"":25,""dy"":-148,""t"":7247},{""x"":998,""y"":363,""dx"":27,""dy"":-188,""t"":7281},{""x"":1021,""y"":389,""dx"":50,""dy"":-162,""t"":7315},{""x"":1019,""y"":372,""dx"":48,""dy"":-179,""t"":7348},{""x"":1024,""y"":384,""dx"":53,""dy"":-167,""t"":7382},{""x"":1046,""y"":367,""dx"":75,""dy"":-184,""t"":7416},{""x"":1027,""y"":359,""dx"":56,""dy"":-192,""t"":7451},{""x"":1028,""y"":338,""dx"":57,""dy"":-213,""t"":7484},{""x"":1015,""y"":369,""dx"":44,""dy"":-182,""t"":7517},{""x"":1027,""y"":364,""dx"":56,""dy"":-187,""t"":7551},{""x"":1021,""y"":379,""dx"":50,""dy"":-172,""t"":7586},{""x"":1016,""y"":405,""dx"":45,""dy"":-146,""t"":7621},{""x"":1007,""y"":426,""dx"":36,""dy"":-125,""t"":7654},{""x"":1005,""y"":433,""dx"":34,""dy"":-118,""t"":7688},{""x"":991,""y"":429,""dx"":20,""dy"":-122,""t"":7721},{""x"":1015,""y"":409,""dx"":44,""dy"":-142,""t"":7756},{""x"":1017,""y"":442,""dx"":46,""dy"":-109,""t"":7791},{""x"":1022,""y"":455,""dx"":51,""dy"":-96,""t"":7824},{""x"":1012,""y"":459,""dx"":41,""dy"":-92,""t"":7859},{""x"":1014,""y"":449,""dx"":43,""dy"":-102,""t"":7892},{""x"":1009,""y"":462,""dx"":38,""dy"":-89,""t"":7926},{""x"":1008,""y"":442,""dx"":37,""dy"":-109,""t"":7959},{""x"":1010,""y"":465,""dx"":39,""dy"":-86,""t"":7994},{""x"":1008,""y"":461,""dx"":37,""dy"":-90,""t"":8028},{""x"":1000,""y"":462,""dx"":29,""dy"":-89,""t"":8062},{""x"":1004,""y"":442,""dx"":33,""dy"":-109,""t"":8096},{""x"":1007,""y"":425,""dx"":36,""dy"":-126,""t"":8128},{""x"":1000,""y"":427,""dx"":29,""dy"":-124,""t"":8164},{""x"":1011,""y"":425,""dx"":40,""dy"":-126,""t"":8198},{""x"":1003,""y"":413,""dx"":32,""dy"":-138,""t"":8233},{""x"":1005,""y"":428,""dx"":34,""dy"":-123,""t"":8267},{""x"":998,""y"":434,""dx"":27,""dy"":-117,""t"":8300},{""x"":995,""y"":442,""dx"":24,""dy"":-109,""t"":8335},{""x"":1003,""y"":438,""dx"":32,""dy"":-113,""t"":8369},{""x"":999,""y"":439,""dx"":28,""dy"":-112,""t"":8401},{""x"":1000,""y"":443,""dx"":29,""dy"":-108,""t"":8437},{""x"":999,""y"":447,""dx"":28,""dy"":-104,""t"":8470},{""x"":1003,""y"":441,""dx"":32,""dy"":-110,""t"":8504},{""x"":1010,""y"":436,""dx"":39,""dy"":-115,""t"":8536},{""x"":1008,""y"":441,""dx"":37,""dy"":-110,""t"":8572},{""x"":1016,""y"":443,""dx"":45,""dy"":-108,""t"":8606},{""x"":1046,""y"":419,""dx"":75,""dy"":-132,""t"":8640},{""x"":1046,""y"":431,""dx"":75,""dy"":-120,""t"":8673},{""x"":1032,""y"":429,""dx"":61,""dy"":-122,""t"":8708},{""x"":1035,""y"":471,""dx"":64,""dy"":-80,""t"":8742},{""x"":1026,""y"":468,""dx"":55,""dy"":-83,""t"":8776},{""x"":1021,""y"":466,""dx"":50,""dy"":-85,""t"":8810},{""x"":1010,""y"":458,""dx"":39,""dy"":-93,""t"":8844},{""x"":1003,""y"":452,""dx"":32,""dy"":-99,""t"":8879},{""x"":1009,""y"":412,""dx"":38,""dy"":-139,""t"":8913},{""x"":1011,""y"":404,""dx"":40,""dy"":-147,""t"":8946},{""x"":1031,""y"":411,""dx"":60,""dy"":-140,""t"":8980}],[{""x"":611,""y"":619,""dx"":120,""dy"":-202,""t"":10034},{""x"":622,""y"":635,""dx"":131,""dy"":-186,""t"":10067},{""x"":605,""y"":620,""dx"":114,""dy"":-201,""t"":10102},{""x"":607,""y"":630,""dx"":116,""dy"":-191,""t"":10134},{""x"":617,""y"":641,""dx"":126,""dy"":-180,""t"":10170},{""x"":620,""y"":609,""dx"":129,""dy"":-212,""t"":10204},{""x"":638,""y"":622,""dx"":147,""dy"":-199,""t"":10238},{""x"":666,""y"":637,""dx"":175,""dy"":-184,""t"":10273},{""x"":647,""y"":604,""dx"":156,""dy"":-217,""t"":10307},{""x"":639,""y"":584,""dx"":148,""dy"":-237,""t"":10339},{""x"":647,""y"":589,""dx"":156,""dy"":-232,""t"":10374},{""x"":636,""y"":609,""dx"":145,""dy"":-212,""t"":10408},{""x"":633,""y"":616,""dx"":142,""dy"":-205,""t"":10442},{""x"":689,""y"":717,""dx"":198,""dy"":-104,""t"":10476},{""x"":737,""y"":866,""dx"":246,""dy"":45,""t"":10510},{""x"":783,""y"":953,""dx"":292,""dy"":132,""t"":10544},{""x"":783,""y"":974,""dx"":292,""dy"":153,""t"":10580},{""x"":795,""y"":971,""dx"":304,""dy"":150,""t"":10611},{""x"":834,""y"":945,""dx"":343,""dy"":124,""t"":10646},{""x"":795,""y"":866,""dx"":304,""dy"":45,""t"":10680},{""x"":756,""y"":822,""dx"":265,""dy"":1,""t"":10714},{""x"":736,""y"":747,""dx"":245,""dy"":-74,""t"":10748},{""x"":696,""y"":706,""dx"":205,""dy"":-115,""t"":10782},{""x"":682,""y"":658,""dx"":191,""dy"":-163,""t"":10816},{""x"":657,""y"":622,""dx"":166,""dy"":-199,""t"":10850},{""x"":654,""y"":586,""dx"":163,""dy"":-235,""t"":10884},{""x"":641,""y"":536,""dx"":150,""dy"":-285,""t"":10918},{""x"":641,""y"":489,""dx"":150,""dy"":-332,""t"":10952},{""x"":622,""y"":488,""dx"":131,""dy"":-333,""t"":10987},{""x"":622,""y"":482,""dx"":131,""dy"":-339,""t"":11020},{""x"":631,""y"":455,""dx"":140,""dy"":-366,""t"":11054},{""x"":624,""y"":459,""dx"":133,""dy"":-362,""t"":11088},{""x"":623,""y"":447,""dx"":132,""dy"":-374,""t"":11123},{""x"":627,""y"":454,""dx"":136,""dy"":-367,""t"":11157},{""x"":627,""y"":451,""dx"":136,""dy"":-370,""t"":11189},{""x"":633,""y"":442,""dx"":142,""dy"":-379,""t"":11224},{""x"":631,""y"":469,""dx"":140,""dy"":-352,""t"":11257},{""x"":640,""y"":476,""dx"":149,""dy"":-345,""t"":11292},{""x"":646,""y"":481,""dx"":155,""dy"":-340,""t"":11325},{""x"":662,""y"":507,""dx"":171,""dy"":-314,""t"":11360},{""x"":680,""y"":541,""dx"":189,""dy"":-280,""t"":11394},{""x"":696,""y"":532,""dx"":205,""dy"":-289,""t"":11427},{""x"":682,""y"":526,""dx"":191,""dy"":-295,""t"":11462},{""x"":667,""y"":513,""dx"":176,""dy"":-308,""t"":11496},{""x"":675,""y"":513,""dx"":184,""dy"":-308,""t"":11530},{""x"":668,""y"":501,""dx"":177,""dy"":-320,""t"":11565},{""x"":664,""y"":489,""dx"":173,""dy"":-332,""t"":11597},{""x"":643,""y"":479,""dx"":152,""dy"":-342,""t"":11632},{""x"":635,""y"":478,""dx"":144,""dy"":-343,""t"":11665},{""x"":628,""y"":477,""dx"":137,""dy"":-344,""t"":11697},{""x"":619,""y"":469,""dx"":128,""dy"":-352,""t"":11734},{""x"":644,""y"":473,""dx"":153,""dy"":-348,""t"":11768},{""x"":642,""y"":525,""dx"":151,""dy"":-296,""t"":11802},{""x"":650,""y"":529,""dx"":159,""dy"":-292,""t"":11836},{""x"":635,""y"":520,""dx"":144,""dy"":-301,""t"":11870},{""x"":615,""y"":555,""dx"":124,""dy"":-266,""t"":11905},{""x"":598,""y"":553,""dx"":107,""dy"":-268,""t"":11938},{""x"":595,""y"":538,""dx"":104,""dy"":-283,""t"":11973}],[{""x"":1473,""y"":604,""dx"":22,""dy"":-217,""t"":13026},{""x"":1460,""y"":605,""dx"":9,""dy"":-216,""t"":13060},{""x"":1469,""y"":628,""dx"":18,""dy"":-193,""t"":13095},{""x"":1478,""y"":675,""dx"":27,""dy"":-146,""t"":13128},{""x"":1483,""y"":716,""dx"":32,""dy"":-105,""t"":13162},{""x"":1476,""y"":704,""dx"":25,""dy"":-117,""t"":13197},{""x"":1475,""y"":699,""dx"":24,""dy"":-122,""t"":13230},{""x"":1454,""y"":668,""dx"":3,""dy"":-153,""t"":13261},{""x"":1450,""y"":694,""dx"":-1,""dy"":-127,""t"":13298},{""x"":1444,""y"":657,""dx"":-7,""dy"":-164,""t"":13332},{""x"":1440,""y"":676,""dx"":-11,""dy"":-145,""t"":13366},{""x"":1442,""y"":655,""dx"":-9,""dy"":-166,""t"":13400},{""x"":1444,""y"":659,""dx"":-7,""dy"":-162,""t"":13435},{""x"":1438,""y"":600,""dx"":-13,""dy"":-221,""t"":13468},{""x"":1429,""y"":595,""dx"":-22,""dy"":-226,""t"":13501},{""x"":1429,""y"":571,""dx"":-22,""dy"":-250,""t"":13536},{""x"":1429,""y"":604,""dx"":-22,""dy"":-217,""t"":13570},{""x"":1428,""y"":615,""dx"":-23,""dy"":-206,""t"":13604},{""x"":1435,""y"":606,""dx"":-16,""dy"":-215,""t"":13638},{""x"":1442,""y"":578,""dx"":-9,""dy"":-243,""t"":13669},{""x"":1443,""y"":608,""dx"":-8,""dy"":-213,""t"":13707},{""x"":1435,""y"":643,""dx"":-16,""dy"":-178,""t"":13740},{""x"":1435,""y"":655,""dx"":-16,""dy"":-166,""t"":13773},{""x"":1430,""y"":673,""dx"":-21,""dy"":-148,""t"":13809},{""x"":1441,""y"":668,""dx"":-10,""dy"":-153,""t"":13842},{""x"":1443,""y"":670,""dx"":-8,""dy"":-151,""t"":13875},{""x"":1427,""y"":656,""dx"":-24,""dy"":-165,""t"":13910},{""x"":1434,""y"":639,""dx"":-17,""dy"":-182,""t"":13944},{""x"":1418,""y"":593,""dx"":-33,""dy"":-228,""t"":13978},{""x"":1401,""y"":592,""dx"":-50,""dy"":-229,""t"":14012},{""x"":1410,""y"":594,""dx"":-41,""dy"":-227,""t"":14046},{""x"":1412,""y"":593,""dx"":-39,""dy"":-228,""t"":14081},{""x"":1405,""y"":585,""dx"":-46,""dy"":-236,""t"":14114},{""x"":1399,""y"":584,""dx"":-52,""dy"":-237,""t"":14148},{""x"":1411,""y"":614,""dx"":-40,""dy"":-207,""t"":14182},{""x"":1426,""y"":657,""dx"":-25,""dy"":-164,""t"":14216},{""x"":1437,""y"":675,""dx"":-14,""dy"":-146,""t"":14250},{""x"":1445,""y"":670,""dx"":-6,""dy"":-151,""t"":14284},{""x"":1437,""y"":646,""dx"":-14,""dy"":-175,""t"":14318},{""x"":1440,""y"":626,""dx"":-11,""dy"":-195,""t"":14352},{""x"":1439,""y"":612,""dx"":-12,""dy"":-209,""t"":14387},{""x"":1433,""y"":603,""dx"":-18,""dy"":-218,""t"":14420},{""x"":1433,""y"":615,""dx"":-18,""dy"":-206,""t"":14454},{""x"":1420,""y"":601,""dx"":-31,""dy"":-220,""t"":14488},{""x"":1427,""y"":594,""dx"":-24,""dy"":-227,""t"":14522},{""x"":1428,""y"":592,""dx"":-23,""dy"":-229,""t"":14557},{""x"":1420,""y"":597,""dx"":-31,""dy"":-224,""t"":14590},{""x"":1423,""y"":637,""dx"":-28,""dy"":-184,""t"":14624},{""x"":1416,""y"":621,""dx"":-35,""dy"":-200,""t"":14658},{""x"":1408,""y"":621,""dx"":-43,""dy"":-200,""t"":14692},{""x"":1414,""y"":616,""dx"":-37,""dy"":-205,""t"":14729},{""x"":1425,""y"":647,""dx"":-26,""dy"":-174,""t"":14760},{""x"":1424,""y"":637,""dx"":-27,""dy"":-184,""t"":14794},{""x"":1432,""y"":615,""dx"":-19,""dy"":-206,""t"":14828},{""x"":1437,""y"":634,""dx"":-14,""dy"":-187,""t"":14861},{""x"":1444,""y"":632,""dx"":-7,""dy"":-189,""t"":14895},{""x"":1429,""y"":634,""dx"":-22,""dy"":-187,""t"":14930},{""x"":1422,""y"":666,""dx"":-29,""dy"":-155,""t"":14965},{""x"":1440,""y"":692,""dx"":-11,""dy"":-129,""t"":14998}]]","[71.1864406779661,91.52542372881356,98.30508474576271,0,52.54237288135594]","[{""x"":5.372881355932203,""y"":139.79661016949152,""r"":70.23370720863123},{""x"":14.322033898305085,""y"":-26.983050847457626,""r"":64.17443595695691},{""x"":41.74576271186441,""y"":-126.30508474576271,""r"":22.820339234820786},{""x"":169.18965517241378,""y"":-229.70689655172413,""r"":129.6276768865786},{""x"":-16.06779661016949,""y"":-188.52542372881356,""r"":34.36039287724372}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
