"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","7056","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","7061","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10190","0.0-2.0-0.0","","","","","3125","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11575","0.0-2.0-1.0","","","","","1383","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","35055","0.0-3.0","","","","","23479"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","38870","0.0-4.0","","","","","","","","","1436","","","","","","","","","","","","","","","",""
"","html-button-response","6","39734","0.0-5.0-0.0","","","","","862","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","50602","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","51662","0.0-5.0-2.0","","","","","1060","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","68766","0.0-5.0-3.0","","","","","","","","","","[[{""x"":445,""y"":231,""dx"":-46,""dy"":-50,""t"":990},{""x"":446,""y"":227,""dx"":-45,""dy"":-54,""t"":1024},{""x"":468,""y"":242,""dx"":-23,""dy"":-39,""t"":1058},{""x"":505,""y"":261,""dx"":14,""dy"":-20,""t"":1092},{""x"":515,""y"":279,""dx"":24,""dy"":-2,""t"":1126},{""x"":528,""y"":270,""dx"":37,""dy"":-11,""t"":1160},{""x"":541,""y"":271,""dx"":50,""dy"":-10,""t"":1194},{""x"":547,""y"":260,""dx"":56,""dy"":-21,""t"":1228},{""x"":541,""y"":258,""dx"":50,""dy"":-23,""t"":1262},{""x"":541,""y"":258,""dx"":50,""dy"":-23,""t"":1296},{""x"":546,""y"":273,""dx"":55,""dy"":-8,""t"":1330},{""x"":538,""y"":248,""dx"":47,""dy"":-33,""t"":1363},{""x"":537,""y"":261,""dx"":46,""dy"":-20,""t"":1398},{""x"":542,""y"":264,""dx"":51,""dy"":-17,""t"":1431},{""x"":530,""y"":271,""dx"":39,""dy"":-10,""t"":1466},{""x"":525,""y"":264,""dx"":34,""dy"":-17,""t"":1499},{""x"":514,""y"":268,""dx"":23,""dy"":-13,""t"":1534},{""x"":515,""y"":262,""dx"":24,""dy"":-19,""t"":1568},{""x"":487,""y"":269,""dx"":-4,""dy"":-12,""t"":1601},{""x"":503,""y"":258,""dx"":12,""dy"":-23,""t"":1635},{""x"":475,""y"":283,""dx"":-16,""dy"":2,""t"":1673},{""x"":502,""y"":280,""dx"":11,""dy"":-1,""t"":1706},{""x"":468,""y"":291,""dx"":-23,""dy"":10,""t"":1737},{""x"":470,""y"":298,""dx"":-21,""dy"":17,""t"":1771},{""x"":433,""y"":303,""dx"":-58,""dy"":22,""t"":1806},{""x"":418,""y"":312,""dx"":-73,""dy"":31,""t"":1840},{""x"":406,""y"":317,""dx"":-85,""dy"":36,""t"":1874},{""x"":424,""y"":317,""dx"":-67,""dy"":36,""t"":1909},{""x"":419,""y"":329,""dx"":-72,""dy"":48,""t"":1943},{""x"":457,""y"":326,""dx"":-34,""dy"":45,""t"":1973},{""x"":444,""y"":338,""dx"":-47,""dy"":57,""t"":2010},{""x"":468,""y"":334,""dx"":-23,""dy"":53,""t"":2044},{""x"":441,""y"":333,""dx"":-50,""dy"":52,""t"":2078},{""x"":427,""y"":332,""dx"":-64,""dy"":51,""t"":2112},{""x"":415,""y"":322,""dx"":-76,""dy"":41,""t"":2146},{""x"":408,""y"":332,""dx"":-83,""dy"":51,""t"":2181},{""x"":414,""y"":319,""dx"":-77,""dy"":38,""t"":2214},{""x"":414,""y"":311,""dx"":-77,""dy"":30,""t"":2248},{""x"":401,""y"":315,""dx"":-90,""dy"":34,""t"":2282},{""x"":398,""y"":322,""dx"":-93,""dy"":41,""t"":2316},{""x"":393,""y"":331,""dx"":-98,""dy"":50,""t"":2350},{""x"":389,""y"":338,""dx"":-102,""dy"":57,""t"":2382},{""x"":390,""y"":353,""dx"":-101,""dy"":72,""t"":2418},{""x"":403,""y"":366,""dx"":-88,""dy"":85,""t"":2452},{""x"":406,""y"":354,""dx"":-85,""dy"":73,""t"":2485},{""x"":414,""y"":368,""dx"":-77,""dy"":87,""t"":2520},{""x"":448,""y"":361,""dx"":-43,""dy"":80,""t"":2554},{""x"":442,""y"":356,""dx"":-49,""dy"":75,""t"":2588},{""x"":429,""y"":339,""dx"":-62,""dy"":58,""t"":2621},{""x"":423,""y"":336,""dx"":-68,""dy"":55,""t"":2657},{""x"":415,""y"":332,""dx"":-76,""dy"":51,""t"":2690},{""x"":417,""y"":330,""dx"":-74,""dy"":49,""t"":2723},{""x"":413,""y"":314,""dx"":-78,""dy"":33,""t"":2757},{""x"":426,""y"":322,""dx"":-65,""dy"":41,""t"":2792},{""x"":423,""y"":317,""dx"":-68,""dy"":36,""t"":2825},{""x"":441,""y"":343,""dx"":-50,""dy"":62,""t"":2861},{""x"":439,""y"":344,""dx"":-52,""dy"":63,""t"":2894},{""x"":424,""y"":337,""dx"":-67,""dy"":56,""t"":2927},{""x"":421,""y"":328,""dx"":-70,""dy"":47,""t"":2962},{""x"":413,""y"":330,""dx"":-78,""dy"":49,""t"":2996}],[{""x"":1484,""y"":341,""dx"":33,""dy"":60,""t"":4016},{""x"":1464,""y"":373,""dx"":13,""dy"":92,""t"":4050},{""x"":1472,""y"":339,""dx"":21,""dy"":58,""t"":4085},{""x"":1462,""y"":347,""dx"":11,""dy"":66,""t"":4117},{""x"":1463,""y"":345,""dx"":12,""dy"":64,""t"":4151},{""x"":1450,""y"":368,""dx"":-1,""dy"":87,""t"":4185},{""x"":1445,""y"":365,""dx"":-6,""dy"":84,""t"":4220},{""x"":1452,""y"":346,""dx"":1,""dy"":65,""t"":4254},{""x"":1452,""y"":325,""dx"":1,""dy"":44,""t"":4288},{""x"":1452,""y"":319,""dx"":1,""dy"":38,""t"":4321},{""x"":1448,""y"":347,""dx"":-3,""dy"":66,""t"":4357},{""x"":1436,""y"":355,""dx"":-15,""dy"":74,""t"":4389},{""x"":1454,""y"":335,""dx"":3,""dy"":54,""t"":4424},{""x"":1447,""y"":336,""dx"":-4,""dy"":55,""t"":4457},{""x"":1435,""y"":344,""dx"":-16,""dy"":63,""t"":4491},{""x"":1451,""y"":319,""dx"":0,""dy"":38,""t"":4526},{""x"":1453,""y"":312,""dx"":2,""dy"":31,""t"":4560},{""x"":1453,""y"":334,""dx"":2,""dy"":53,""t"":4594},{""x"":1456,""y"":342,""dx"":5,""dy"":61,""t"":4629},{""x"":1456,""y"":364,""dx"":5,""dy"":83,""t"":4661},{""x"":1467,""y"":363,""dx"":16,""dy"":82,""t"":4696},{""x"":1472,""y"":367,""dx"":21,""dy"":86,""t"":4730},{""x"":1480,""y"":366,""dx"":29,""dy"":85,""t"":4764},{""x"":1477,""y"":387,""dx"":26,""dy"":106,""t"":4798},{""x"":1434,""y"":387,""dx"":-17,""dy"":106,""t"":4832},{""x"":1399,""y"":401,""dx"":-52,""dy"":120,""t"":4865},{""x"":1390,""y"":365,""dx"":-61,""dy"":84,""t"":4901},{""x"":1361,""y"":375,""dx"":-90,""dy"":94,""t"":4934},{""x"":1378,""y"":382,""dx"":-73,""dy"":101,""t"":4967},{""x"":1399,""y"":378,""dx"":-52,""dy"":97,""t"":5001},{""x"":1398,""y"":384,""dx"":-53,""dy"":103,""t"":5036},{""x"":1427,""y"":383,""dx"":-24,""dy"":102,""t"":5070},{""x"":1424,""y"":351,""dx"":-27,""dy"":70,""t"":5104},{""x"":1418,""y"":349,""dx"":-33,""dy"":68,""t"":5139},{""x"":1418,""y"":344,""dx"":-33,""dy"":63,""t"":5172},{""x"":1407,""y"":354,""dx"":-44,""dy"":73,""t"":5205},{""x"":1420,""y"":360,""dx"":-31,""dy"":79,""t"":5240},{""x"":1431,""y"":360,""dx"":-20,""dy"":79,""t"":5274},{""x"":1424,""y"":387,""dx"":-27,""dy"":106,""t"":5308},{""x"":1431,""y"":379,""dx"":-20,""dy"":98,""t"":5341},{""x"":1426,""y"":410,""dx"":-25,""dy"":129,""t"":5375},{""x"":1433,""y"":389,""dx"":-18,""dy"":108,""t"":5410},{""x"":1433,""y"":386,""dx"":-18,""dy"":105,""t"":5445},{""x"":1436,""y"":387,""dx"":-15,""dy"":106,""t"":5479},{""x"":1441,""y"":376,""dx"":-10,""dy"":95,""t"":5512},{""x"":1450,""y"":343,""dx"":-1,""dy"":62,""t"":5545},{""x"":1438,""y"":370,""dx"":-13,""dy"":89,""t"":5580},{""x"":1424,""y"":358,""dx"":-27,""dy"":77,""t"":5614},{""x"":1425,""y"":384,""dx"":-26,""dy"":103,""t"":5648},{""x"":1435,""y"":395,""dx"":-16,""dy"":114,""t"":5682},{""x"":1427,""y"":408,""dx"":-24,""dy"":127,""t"":5717},{""x"":1409,""y"":412,""dx"":-42,""dy"":131,""t"":5750},{""x"":1417,""y"":401,""dx"":-34,""dy"":120,""t"":5784},{""x"":1434,""y"":382,""dx"":-17,""dy"":101,""t"":5818},{""x"":1435,""y"":388,""dx"":-16,""dy"":107,""t"":5852},{""x"":1417,""y"":391,""dx"":-34,""dy"":110,""t"":5885},{""x"":1422,""y"":410,""dx"":-29,""dy"":129,""t"":5920},{""x"":1435,""y"":413,""dx"":-16,""dy"":132,""t"":5952},{""x"":1416,""y"":388,""dx"":-35,""dy"":107,""t"":5989}],[{""x"":932,""y"":575,""dx"":-39,""dy"":24,""t"":7008},{""x"":953,""y"":566,""dx"":-18,""dy"":15,""t"":7042},{""x"":956,""y"":579,""dx"":-15,""dy"":28,""t"":7076},{""x"":965,""y"":576,""dx"":-6,""dy"":25,""t"":7108},{""x"":984,""y"":574,""dx"":13,""dy"":23,""t"":7144},{""x"":988,""y"":576,""dx"":17,""dy"":25,""t"":7177},{""x"":999,""y"":584,""dx"":28,""dy"":33,""t"":7212},{""x"":993,""y"":587,""dx"":22,""dy"":36,""t"":7246},{""x"":1005,""y"":591,""dx"":34,""dy"":40,""t"":7280},{""x"":997,""y"":595,""dx"":26,""dy"":44,""t"":7314},{""x"":993,""y"":607,""dx"":22,""dy"":56,""t"":7349},{""x"":994,""y"":614,""dx"":23,""dy"":63,""t"":7382},{""x"":991,""y"":612,""dx"":20,""dy"":61,""t"":7416},{""x"":992,""y"":610,""dx"":21,""dy"":59,""t"":7450},{""x"":995,""y"":598,""dx"":24,""dy"":47,""t"":7484},{""x"":998,""y"":588,""dx"":27,""dy"":37,""t"":7516},{""x"":1007,""y"":567,""dx"":36,""dy"":16,""t"":7552},{""x"":1008,""y"":571,""dx"":37,""dy"":20,""t"":7586},{""x"":1002,""y"":566,""dx"":31,""dy"":15,""t"":7620},{""x"":994,""y"":555,""dx"":23,""dy"":4,""t"":7653},{""x"":992,""y"":540,""dx"":21,""dy"":-11,""t"":7688},{""x"":1000,""y"":519,""dx"":29,""dy"":-32,""t"":7721},{""x"":1010,""y"":505,""dx"":39,""dy"":-46,""t"":7756},{""x"":1013,""y"":506,""dx"":42,""dy"":-45,""t"":7790},{""x"":1019,""y"":518,""dx"":48,""dy"":-33,""t"":7824},{""x"":1009,""y"":527,""dx"":38,""dy"":-24,""t"":7858},{""x"":1018,""y"":533,""dx"":47,""dy"":-18,""t"":7891},{""x"":1020,""y"":525,""dx"":49,""dy"":-26,""t"":7926},{""x"":1028,""y"":536,""dx"":57,""dy"":-15,""t"":7960},{""x"":1027,""y"":542,""dx"":56,""dy"":-9,""t"":7994},{""x"":1006,""y"":556,""dx"":35,""dy"":5,""t"":8028},{""x"":995,""y"":543,""dx"":24,""dy"":-8,""t"":8061},{""x"":967,""y"":546,""dx"":-4,""dy"":-5,""t"":8096},{""x"":956,""y"":545,""dx"":-15,""dy"":-6,""t"":8130},{""x"":951,""y"":536,""dx"":-20,""dy"":-15,""t"":8163},{""x"":948,""y"":522,""dx"":-23,""dy"":-29,""t"":8198},{""x"":937,""y"":528,""dx"":-34,""dy"":-23,""t"":8232},{""x"":951,""y"":534,""dx"":-20,""dy"":-17,""t"":8266},{""x"":968,""y"":524,""dx"":-3,""dy"":-27,""t"":8300},{""x"":989,""y"":524,""dx"":18,""dy"":-27,""t"":8334},{""x"":1008,""y"":531,""dx"":37,""dy"":-20,""t"":8367},{""x"":1004,""y"":556,""dx"":33,""dy"":5,""t"":8401},{""x"":994,""y"":587,""dx"":23,""dy"":36,""t"":8435},{""x"":1006,""y"":584,""dx"":35,""dy"":33,""t"":8470},{""x"":1008,""y"":611,""dx"":37,""dy"":60,""t"":8505},{""x"":998,""y"":631,""dx"":27,""dy"":80,""t"":8538},{""x"":1003,""y"":643,""dx"":32,""dy"":92,""t"":8572},{""x"":1007,""y"":653,""dx"":36,""dy"":102,""t"":8605},{""x"":1011,""y"":640,""dx"":40,""dy"":89,""t"":8640},{""x"":1002,""y"":669,""dx"":31,""dy"":118,""t"":8674},{""x"":998,""y"":677,""dx"":27,""dy"":126,""t"":8708},{""x"":986,""y"":671,""dx"":15,""dy"":120,""t"":8742},{""x"":986,""y"":665,""dx"":15,""dy"":114,""t"":8775},{""x"":996,""y"":659,""dx"":25,""dy"":108,""t"":8809},{""x"":996,""y"":650,""dx"":25,""dy"":99,""t"":8844},{""x"":999,""y"":631,""dx"":28,""dy"":80,""t"":8878},{""x"":1019,""y"":617,""dx"":48,""dy"":66,""t"":8912},{""x"":1020,""y"":589,""dx"":49,""dy"":38,""t"":8946},{""x"":1020,""y"":583,""dx"":49,""dy"":32,""t"":8981}],[{""x"":622,""y"":857,""dx"":131,""dy"":36,""t"":10034},{""x"":639,""y"":831,""dx"":148,""dy"":10,""t"":10068},{""x"":639,""y"":820,""dx"":148,""dy"":-1,""t"":10102},{""x"":634,""y"":799,""dx"":143,""dy"":-22,""t"":10135},{""x"":638,""y"":788,""dx"":147,""dy"":-33,""t"":10170},{""x"":644,""y"":780,""dx"":153,""dy"":-41,""t"":10204},{""x"":647,""y"":776,""dx"":156,""dy"":-45,""t"":10238},{""x"":639,""y"":761,""dx"":148,""dy"":-60,""t"":10272},{""x"":632,""y"":785,""dx"":141,""dy"":-36,""t"":10306},{""x"":626,""y"":786,""dx"":135,""dy"":-35,""t"":10341},{""x"":626,""y"":788,""dx"":135,""dy"":-33,""t"":10374},{""x"":617,""y"":795,""dx"":126,""dy"":-26,""t"":10407},{""x"":603,""y"":786,""dx"":112,""dy"":-35,""t"":10442},{""x"":601,""y"":783,""dx"":110,""dy"":-38,""t"":10475},{""x"":601,""y"":772,""dx"":110,""dy"":-49,""t"":10510},{""x"":608,""y"":769,""dx"":117,""dy"":-52,""t"":10544},{""x"":610,""y"":771,""dx"":119,""dy"":-50,""t"":10578},{""x"":605,""y"":764,""dx"":114,""dy"":-57,""t"":10613},{""x"":598,""y"":775,""dx"":107,""dy"":-46,""t"":10646},{""x"":593,""y"":786,""dx"":102,""dy"":-35,""t"":10678},{""x"":588,""y"":778,""dx"":97,""dy"":-43,""t"":10714},{""x"":589,""y"":771,""dx"":98,""dy"":-50,""t"":10778},{""x"":591,""y"":765,""dx"":100,""dy"":-56,""t"":10784},{""x"":596,""y"":771,""dx"":105,""dy"":-50,""t"":10815},{""x"":601,""y"":771,""dx"":110,""dy"":-50,""t"":10850},{""x"":600,""y"":768,""dx"":109,""dy"":-53,""t"":10884},{""x"":601,""y"":759,""dx"":110,""dy"":-62,""t"":10918},{""x"":608,""y"":768,""dx"":117,""dy"":-53,""t"":10952},{""x"":598,""y"":764,""dx"":107,""dy"":-57,""t"":10985},{""x"":596,""y"":765,""dx"":105,""dy"":-56,""t"":11020},{""x"":591,""y"":766,""dx"":100,""dy"":-55,""t"":11054},{""x"":586,""y"":768,""dx"":95,""dy"":-53,""t"":11086},{""x"":588,""y"":763,""dx"":97,""dy"":-58,""t"":11122},{""x"":575,""y"":778,""dx"":84,""dy"":-43,""t"":11157},{""x"":574,""y"":784,""dx"":83,""dy"":-37,""t"":11190},{""x"":569,""y"":781,""dx"":78,""dy"":-40,""t"":11224},{""x"":580,""y"":784,""dx"":89,""dy"":-37,""t"":11258},{""x"":591,""y"":787,""dx"":100,""dy"":-34,""t"":11291},{""x"":604,""y"":786,""dx"":113,""dy"":-35,""t"":11326},{""x"":622,""y"":796,""dx"":131,""dy"":-25,""t"":11360},{""x"":623,""y"":793,""dx"":132,""dy"":-28,""t"":11394},{""x"":622,""y"":786,""dx"":131,""dy"":-35,""t"":11428},{""x"":615,""y"":781,""dx"":124,""dy"":-40,""t"":11461},{""x"":617,""y"":780,""dx"":126,""dy"":-41,""t"":11496},{""x"":618,""y"":774,""dx"":127,""dy"":-47,""t"":11530},{""x"":628,""y"":787,""dx"":137,""dy"":-34,""t"":11564},{""x"":649,""y"":792,""dx"":158,""dy"":-29,""t"":11598},{""x"":658,""y"":823,""dx"":167,""dy"":2,""t"":11632},{""x"":655,""y"":821,""dx"":164,""dy"":0,""t"":11666},{""x"":659,""y"":845,""dx"":168,""dy"":24,""t"":11701},{""x"":659,""y"":850,""dx"":168,""dy"":29,""t"":11734},{""x"":662,""y"":854,""dx"":171,""dy"":33,""t"":11768},{""x"":656,""y"":852,""dx"":165,""dy"":31,""t"":11802},{""x"":667,""y"":840,""dx"":176,""dy"":19,""t"":11835},{""x"":670,""y"":841,""dx"":179,""dy"":20,""t"":11869},{""x"":640,""y"":830,""dx"":149,""dy"":9,""t"":11903},{""x"":634,""y"":862,""dx"":143,""dy"":41,""t"":11938},{""x"":624,""y"":830,""dx"":133,""dy"":9,""t"":11972},{""x"":621,""y"":860,""dx"":130,""dy"":39,""t"":12006}],[{""x"":1393,""y"":848,""dx"":-58,""dy"":27,""t"":13026},{""x"":1383,""y"":841,""dx"":-68,""dy"":20,""t"":13060},{""x"":1372,""y"":830,""dx"":-79,""dy"":9,""t"":13094},{""x"":1366,""y"":844,""dx"":-85,""dy"":23,""t"":13128},{""x"":1350,""y"":855,""dx"":-101,""dy"":34,""t"":13162},{""x"":1340,""y"":867,""dx"":-111,""dy"":46,""t"":13196},{""x"":1335,""y"":852,""dx"":-116,""dy"":31,""t"":13230},{""x"":1333,""y"":851,""dx"":-118,""dy"":30,""t"":13264},{""x"":1329,""y"":844,""dx"":-122,""dy"":23,""t"":13298},{""x"":1334,""y"":835,""dx"":-117,""dy"":14,""t"":13332},{""x"":1323,""y"":849,""dx"":-128,""dy"":28,""t"":13366},{""x"":1314,""y"":853,""dx"":-137,""dy"":32,""t"":13401},{""x"":1310,""y"":852,""dx"":-141,""dy"":31,""t"":13433},{""x"":1302,""y"":858,""dx"":-149,""dy"":37,""t"":13467},{""x"":1269,""y"":895,""dx"":-182,""dy"":74,""t"":13502},{""x"":1273,""y"":901,""dx"":-178,""dy"":80,""t"":13535},{""x"":1262,""y"":888,""dx"":-189,""dy"":67,""t"":13569},{""x"":1276,""y"":873,""dx"":-175,""dy"":52,""t"":13604},{""x"":1261,""y"":895,""dx"":-190,""dy"":74,""t"":13638},{""x"":1258,""y"":888,""dx"":-193,""dy"":67,""t"":13672},{""x"":1265,""y"":882,""dx"":-186,""dy"":61,""t"":13707},{""x"":1267,""y"":885,""dx"":-184,""dy"":64,""t"":13740},{""x"":1274,""y"":890,""dx"":-177,""dy"":69,""t"":13774},{""x"":1270,""y"":886,""dx"":-181,""dy"":65,""t"":13807},{""x"":1284,""y"":868,""dx"":-167,""dy"":47,""t"":13842},{""x"":1269,""y"":899,""dx"":-182,""dy"":78,""t"":13876},{""x"":1303,""y"":879,""dx"":-148,""dy"":58,""t"":13910},{""x"":1310,""y"":864,""dx"":-141,""dy"":43,""t"":13943},{""x"":1346,""y"":861,""dx"":-105,""dy"":40,""t"":13978},{""x"":1342,""y"":865,""dx"":-109,""dy"":44,""t"":14011},{""x"":1355,""y"":856,""dx"":-96,""dy"":35,""t"":14046},{""x"":1350,""y"":845,""dx"":-101,""dy"":24,""t"":14080},{""x"":1362,""y"":837,""dx"":-89,""dy"":16,""t"":14114},{""x"":1357,""y"":846,""dx"":-94,""dy"":25,""t"":14149},{""x"":1350,""y"":864,""dx"":-101,""dy"":43,""t"":14183},{""x"":1344,""y"":867,""dx"":-107,""dy"":46,""t"":14215},{""x"":1354,""y"":852,""dx"":-97,""dy"":31,""t"":14248},{""x"":1353,""y"":860,""dx"":-98,""dy"":39,""t"":14284},{""x"":1372,""y"":855,""dx"":-79,""dy"":34,""t"":14318},{""x"":1371,""y"":845,""dx"":-80,""dy"":24,""t"":14352},{""x"":1366,""y"":859,""dx"":-85,""dy"":38,""t"":14385},{""x"":1362,""y"":866,""dx"":-89,""dy"":45,""t"":14420},{""x"":1355,""y"":877,""dx"":-96,""dy"":56,""t"":14455},{""x"":1354,""y"":871,""dx"":-97,""dy"":50,""t"":14489},{""x"":1354,""y"":839,""dx"":-97,""dy"":18,""t"":14522},{""x"":1359,""y"":842,""dx"":-92,""dy"":21,""t"":14556},{""x"":1350,""y"":846,""dx"":-101,""dy"":25,""t"":14590},{""x"":1340,""y"":848,""dx"":-111,""dy"":27,""t"":14624},{""x"":1343,""y"":840,""dx"":-108,""dy"":19,""t"":14656},{""x"":1360,""y"":832,""dx"":-91,""dy"":11,""t"":14693},{""x"":1364,""y"":825,""dx"":-87,""dy"":4,""t"":14727},{""x"":1371,""y"":814,""dx"":-80,""dy"":-7,""t"":14760},{""x"":1372,""y"":822,""dx"":-79,""dy"":1,""t"":14793},{""x"":1377,""y"":831,""dx"":-74,""dy"":10,""t"":14827},{""x"":1377,""y"":820,""dx"":-74,""dy"":-1,""t"":14861},{""x"":1373,""y"":831,""dx"":-78,""dy"":10,""t"":14895},{""x"":1385,""y"":838,""dx"":-66,""dy"":17,""t"":14930},{""x"":1379,""y"":842,""dx"":-72,""dy"":21,""t"":14964},{""x"":1368,""y"":853,""dx"":-83,""dy"":32,""t"":14997}]]","[100,100,100,100,94.91525423728814]","[{""x"":-34.583333333333336,""y"":24.133333333333333,""r"":78.48819525784153},{""x"":-15.525423728813559,""y"":86.27118644067797,""r"":30.0726879632159},{""x"":22.406779661016948,""y"":27.76271186440678,""r"":46.01198899508816},{""x"":126.7457627118644,""y"":-27,""r"":33.581879082332094},{""x"":-115.57627118644068,""y"":35.28813559322034,""r"":32.837940934804216}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
