"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4805","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4812","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","21426","0.0-2.0-0.0","","","","","16609","{""name"":""syx"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","22538","0.0-2.0-1.0","","","","","1110","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","23186","0.0-3.0","","","","","646"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","29627","0.0-4.0","","","","","","","","","2214","","","","","","","","","","","","","","","","",""
"","html-button-response","6","30834","0.0-5.0-0.0","","","","","1205","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","43606","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","44545","0.0-5.0-2.0","","","","","938","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","63053","0.0-5.0-3.0","","","","","","","","","","[[{""x"":252,""y"":432,""dx"":-239,""dy"":151,""t"":991},{""x"":263,""y"":438,""dx"":-228,""dy"":157,""t"":1024},{""x"":262,""y"":446,""dx"":-229,""dy"":165,""t"":1058},{""x"":260,""y"":444,""dx"":-231,""dy"":163,""t"":1092},{""x"":282,""y"":434,""dx"":-209,""dy"":153,""t"":1126},{""x"":279,""y"":431,""dx"":-212,""dy"":150,""t"":1160},{""x"":276,""y"":428,""dx"":-215,""dy"":147,""t"":1195},{""x"":295,""y"":436,""dx"":-196,""dy"":155,""t"":1229},{""x"":296,""y"":417,""dx"":-195,""dy"":136,""t"":1262},{""x"":290,""y"":413,""dx"":-201,""dy"":132,""t"":1297},{""x"":290,""y"":423,""dx"":-201,""dy"":142,""t"":1330},{""x"":298,""y"":429,""dx"":-193,""dy"":148,""t"":1364},{""x"":324,""y"":417,""dx"":-167,""dy"":136,""t"":1395},{""x"":343,""y"":388,""dx"":-148,""dy"":107,""t"":1432},{""x"":346,""y"":384,""dx"":-145,""dy"":103,""t"":1467},{""x"":349,""y"":367,""dx"":-142,""dy"":86,""t"":1500},{""x"":352,""y"":365,""dx"":-139,""dy"":84,""t"":1535},{""x"":361,""y"":360,""dx"":-130,""dy"":79,""t"":1568},{""x"":366,""y"":359,""dx"":-125,""dy"":78,""t"":1602},{""x"":363,""y"":352,""dx"":-128,""dy"":71,""t"":1636},{""x"":364,""y"":344,""dx"":-127,""dy"":63,""t"":1671},{""x"":366,""y"":334,""dx"":-125,""dy"":53,""t"":1704},{""x"":360,""y"":335,""dx"":-131,""dy"":54,""t"":1738},{""x"":357,""y"":338,""dx"":-134,""dy"":57,""t"":1772},{""x"":354,""y"":342,""dx"":-137,""dy"":61,""t"":1803},{""x"":379,""y"":328,""dx"":-112,""dy"":47,""t"":1841},{""x"":373,""y"":322,""dx"":-118,""dy"":41,""t"":1873},{""x"":370,""y"":319,""dx"":-121,""dy"":38,""t"":1908},{""x"":353,""y"":340,""dx"":-138,""dy"":59,""t"":1943},{""x"":348,""y"":342,""dx"":-143,""dy"":61,""t"":1976},{""x"":345,""y"":332,""dx"":-146,""dy"":51,""t"":2011},{""x"":347,""y"":337,""dx"":-144,""dy"":56,""t"":2044},{""x"":373,""y"":335,""dx"":-118,""dy"":54,""t"":2078},{""x"":365,""y"":319,""dx"":-126,""dy"":38,""t"":2112},{""x"":366,""y"":318,""dx"":-125,""dy"":37,""t"":2146},{""x"":361,""y"":307,""dx"":-130,""dy"":26,""t"":2180},{""x"":364,""y"":307,""dx"":-127,""dy"":26,""t"":2215},{""x"":361,""y"":291,""dx"":-130,""dy"":10,""t"":2248},{""x"":330,""y"":294,""dx"":-161,""dy"":13,""t"":2281},{""x"":348,""y"":298,""dx"":-143,""dy"":17,""t"":2315},{""x"":357,""y"":299,""dx"":-134,""dy"":18,""t"":2351},{""x"":372,""y"":297,""dx"":-119,""dy"":16,""t"":2384},{""x"":371,""y"":300,""dx"":-120,""dy"":19,""t"":2418},{""x"":364,""y"":292,""dx"":-127,""dy"":11,""t"":2452},{""x"":352,""y"":290,""dx"":-139,""dy"":9,""t"":2486},{""x"":351,""y"":297,""dx"":-140,""dy"":16,""t"":2520},{""x"":339,""y"":289,""dx"":-152,""dy"":8,""t"":2554},{""x"":333,""y"":302,""dx"":-158,""dy"":21,""t"":2588},{""x"":340,""y"":311,""dx"":-151,""dy"":30,""t"":2622},{""x"":316,""y"":316,""dx"":-175,""dy"":35,""t"":2656},{""x"":315,""y"":319,""dx"":-176,""dy"":38,""t"":2691},{""x"":321,""y"":341,""dx"":-170,""dy"":60,""t"":2724},{""x"":306,""y"":363,""dx"":-185,""dy"":82,""t"":2759},{""x"":306,""y"":374,""dx"":-185,""dy"":93,""t"":2791},{""x"":301,""y"":381,""dx"":-190,""dy"":100,""t"":2827},{""x"":316,""y"":390,""dx"":-175,""dy"":109,""t"":2860},{""x"":310,""y"":393,""dx"":-181,""dy"":112,""t"":2894},{""x"":320,""y"":390,""dx"":-171,""dy"":109,""t"":2927},{""x"":322,""y"":397,""dx"":-169,""dy"":116,""t"":2962},{""x"":324,""y"":402,""dx"":-167,""dy"":121,""t"":2993}],[{""x"":1271,""y"":246,""dx"":-180,""dy"":-35,""t"":4015},{""x"":1253,""y"":248,""dx"":-198,""dy"":-33,""t"":4050},{""x"":1247,""y"":249,""dx"":-204,""dy"":-32,""t"":4084},{""x"":1235,""y"":246,""dx"":-216,""dy"":-35,""t"":4118},{""x"":1254,""y"":245,""dx"":-197,""dy"":-36,""t"":4152},{""x"":1250,""y"":248,""dx"":-201,""dy"":-33,""t"":4186},{""x"":1245,""y"":249,""dx"":-206,""dy"":-32,""t"":4220},{""x"":1238,""y"":250,""dx"":-213,""dy"":-31,""t"":4255},{""x"":1234,""y"":245,""dx"":-217,""dy"":-36,""t"":4288},{""x"":1230,""y"":241,""dx"":-221,""dy"":-40,""t"":4322},{""x"":1240,""y"":253,""dx"":-211,""dy"":-28,""t"":4356},{""x"":1234,""y"":259,""dx"":-217,""dy"":-22,""t"":4390},{""x"":1239,""y"":263,""dx"":-212,""dy"":-18,""t"":4424},{""x"":1245,""y"":254,""dx"":-206,""dy"":-27,""t"":4457},{""x"":1261,""y"":258,""dx"":-190,""dy"":-23,""t"":4492},{""x"":1270,""y"":257,""dx"":-181,""dy"":-24,""t"":4526},{""x"":1267,""y"":251,""dx"":-184,""dy"":-30,""t"":4560},{""x"":1262,""y"":250,""dx"":-189,""dy"":-31,""t"":4594},{""x"":1247,""y"":256,""dx"":-204,""dy"":-25,""t"":4628},{""x"":1254,""y"":248,""dx"":-197,""dy"":-33,""t"":4662},{""x"":1256,""y"":253,""dx"":-195,""dy"":-28,""t"":4696},{""x"":1239,""y"":251,""dx"":-212,""dy"":-30,""t"":4730},{""x"":1224,""y"":252,""dx"":-227,""dy"":-29,""t"":4764},{""x"":1227,""y"":243,""dx"":-224,""dy"":-38,""t"":4797},{""x"":1220,""y"":251,""dx"":-231,""dy"":-30,""t"":4831},{""x"":1213,""y"":252,""dx"":-238,""dy"":-29,""t"":4865},{""x"":1201,""y"":244,""dx"":-250,""dy"":-37,""t"":4900},{""x"":1190,""y"":239,""dx"":-261,""dy"":-42,""t"":4934},{""x"":1181,""y"":235,""dx"":-270,""dy"":-46,""t"":4966},{""x"":1181,""y"":230,""dx"":-270,""dy"":-51,""t"":5002},{""x"":1182,""y"":235,""dx"":-269,""dy"":-46,""t"":5037},{""x"":1186,""y"":227,""dx"":-265,""dy"":-54,""t"":5070},{""x"":1192,""y"":229,""dx"":-259,""dy"":-52,""t"":5105},{""x"":1188,""y"":227,""dx"":-263,""dy"":-54,""t"":5137},{""x"":1187,""y"":236,""dx"":-264,""dy"":-45,""t"":5173},{""x"":1191,""y"":249,""dx"":-260,""dy"":-32,""t"":5206},{""x"":1195,""y"":229,""dx"":-256,""dy"":-52,""t"":5240},{""x"":1200,""y"":245,""dx"":-251,""dy"":-36,""t"":5274},{""x"":1199,""y"":234,""dx"":-252,""dy"":-47,""t"":5308},{""x"":1192,""y"":233,""dx"":-259,""dy"":-48,""t"":5339},{""x"":1197,""y"":235,""dx"":-254,""dy"":-46,""t"":5376},{""x"":1209,""y"":222,""dx"":-242,""dy"":-59,""t"":5409},{""x"":1210,""y"":223,""dx"":-241,""dy"":-58,""t"":5444},{""x"":1197,""y"":228,""dx"":-254,""dy"":-53,""t"":5477},{""x"":1194,""y"":235,""dx"":-257,""dy"":-46,""t"":5512},{""x"":1185,""y"":241,""dx"":-266,""dy"":-40,""t"":5546},{""x"":1188,""y"":252,""dx"":-263,""dy"":-29,""t"":5581},{""x"":1193,""y"":238,""dx"":-258,""dy"":-43,""t"":5614},{""x"":1172,""y"":238,""dx"":-279,""dy"":-43,""t"":5649},{""x"":1180,""y"":245,""dx"":-271,""dy"":-36,""t"":5682},{""x"":1189,""y"":245,""dx"":-262,""dy"":-36,""t"":5716},{""x"":1191,""y"":250,""dx"":-260,""dy"":-31,""t"":5750},{""x"":1199,""y"":242,""dx"":-252,""dy"":-39,""t"":5784},{""x"":1203,""y"":241,""dx"":-248,""dy"":-40,""t"":5818},{""x"":1201,""y"":243,""dx"":-250,""dy"":-38,""t"":5852},{""x"":1199,""y"":229,""dx"":-252,""dy"":-52,""t"":5886},{""x"":1200,""y"":217,""dx"":-251,""dy"":-64,""t"":5920},{""x"":1221,""y"":225,""dx"":-230,""dy"":-56,""t"":5954},{""x"":1223,""y"":236,""dx"":-228,""dy"":-45,""t"":5988}],[{""x"":950,""y"":418,""dx"":-21,""dy"":-133,""t"":7008},{""x"":957,""y"":401,""dx"":-14,""dy"":-150,""t"":7042},{""x"":968,""y"":399,""dx"":-3,""dy"":-152,""t"":7076},{""x"":956,""y"":392,""dx"":-15,""dy"":-159,""t"":7110},{""x"":967,""y"":389,""dx"":-4,""dy"":-162,""t"":7144},{""x"":970,""y"":381,""dx"":-1,""dy"":-170,""t"":7178},{""x"":988,""y"":383,""dx"":17,""dy"":-168,""t"":7212},{""x"":993,""y"":376,""dx"":22,""dy"":-175,""t"":7246},{""x"":976,""y"":374,""dx"":5,""dy"":-177,""t"":7281},{""x"":971,""y"":374,""dx"":0,""dy"":-177,""t"":7314},{""x"":949,""y"":381,""dx"":-22,""dy"":-170,""t"":7362},{""x"":956,""y"":403,""dx"":-15,""dy"":-148,""t"":7401},{""x"":961,""y"":410,""dx"":-10,""dy"":-141,""t"":7426},{""x"":971,""y"":436,""dx"":0,""dy"":-115,""t"":7451},{""x"":946,""y"":435,""dx"":-25,""dy"":-116,""t"":7484},{""x"":959,""y"":435,""dx"":-12,""dy"":-116,""t"":7518},{""x"":960,""y"":453,""dx"":-11,""dy"":-98,""t"":7552},{""x"":948,""y"":447,""dx"":-23,""dy"":-104,""t"":7587},{""x"":949,""y"":430,""dx"":-22,""dy"":-121,""t"":7620},{""x"":960,""y"":424,""dx"":-11,""dy"":-127,""t"":7654},{""x"":955,""y"":415,""dx"":-16,""dy"":-136,""t"":7688},{""x"":961,""y"":406,""dx"":-10,""dy"":-145,""t"":7722},{""x"":959,""y"":402,""dx"":-12,""dy"":-149,""t"":7757},{""x"":944,""y"":413,""dx"":-27,""dy"":-138,""t"":7790},{""x"":942,""y"":421,""dx"":-29,""dy"":-130,""t"":7824},{""x"":952,""y"":435,""dx"":-19,""dy"":-116,""t"":7858},{""x"":963,""y"":449,""dx"":-8,""dy"":-102,""t"":7892},{""x"":964,""y"":457,""dx"":-7,""dy"":-94,""t"":7926},{""x"":956,""y"":463,""dx"":-15,""dy"":-88,""t"":7960},{""x"":950,""y"":448,""dx"":-21,""dy"":-103,""t"":7995},{""x"":952,""y"":441,""dx"":-19,""dy"":-110,""t"":8028},{""x"":949,""y"":440,""dx"":-22,""dy"":-111,""t"":8062},{""x"":961,""y"":445,""dx"":-10,""dy"":-106,""t"":8096},{""x"":952,""y"":437,""dx"":-19,""dy"":-114,""t"":8130},{""x"":963,""y"":454,""dx"":-8,""dy"":-97,""t"":8164},{""x"":965,""y"":451,""dx"":-6,""dy"":-100,""t"":8198},{""x"":971,""y"":446,""dx"":0,""dy"":-105,""t"":8232},{""x"":980,""y"":450,""dx"":9,""dy"":-101,""t"":8265},{""x"":979,""y"":446,""dx"":8,""dy"":-105,""t"":8300},{""x"":984,""y"":448,""dx"":13,""dy"":-103,""t"":8334},{""x"":987,""y"":443,""dx"":16,""dy"":-108,""t"":8368},{""x"":991,""y"":435,""dx"":20,""dy"":-116,""t"":8402},{""x"":988,""y"":424,""dx"":17,""dy"":-127,""t"":8436},{""x"":989,""y"":425,""dx"":18,""dy"":-126,""t"":8469},{""x"":987,""y"":442,""dx"":16,""dy"":-109,""t"":8504},{""x"":985,""y"":457,""dx"":14,""dy"":-94,""t"":8536},{""x"":979,""y"":445,""dx"":8,""dy"":-106,""t"":8572},{""x"":981,""y"":455,""dx"":10,""dy"":-96,""t"":8606},{""x"":988,""y"":469,""dx"":17,""dy"":-82,""t"":8640},{""x"":974,""y"":448,""dx"":3,""dy"":-103,""t"":8674},{""x"":965,""y"":436,""dx"":-6,""dy"":-115,""t"":8709},{""x"":959,""y"":421,""dx"":-12,""dy"":-130,""t"":8742},{""x"":959,""y"":416,""dx"":-12,""dy"":-135,""t"":8776},{""x"":949,""y"":416,""dx"":-22,""dy"":-135,""t"":8810},{""x"":941,""y"":441,""dx"":-30,""dy"":-110,""t"":8844},{""x"":947,""y"":451,""dx"":-24,""dy"":-100,""t"":8878},{""x"":959,""y"":466,""dx"":-12,""dy"":-85,""t"":8913},{""x"":942,""y"":460,""dx"":-29,""dy"":-91,""t"":8946},{""x"":917,""y"":459,""dx"":-54,""dy"":-92,""t"":8980}],[{""x"":434,""y"":691,""dx"":-57,""dy"":-130,""t"":10033},{""x"":444,""y"":675,""dx"":-47,""dy"":-146,""t"":10068},{""x"":461,""y"":667,""dx"":-30,""dy"":-154,""t"":10102},{""x"":475,""y"":661,""dx"":-16,""dy"":-160,""t"":10133},{""x"":481,""y"":671,""dx"":-10,""dy"":-150,""t"":10170},{""x"":489,""y"":690,""dx"":-2,""dy"":-131,""t"":10204},{""x"":509,""y"":715,""dx"":18,""dy"":-106,""t"":10238},{""x"":493,""y"":704,""dx"":2,""dy"":-117,""t"":10272},{""x"":490,""y"":705,""dx"":-1,""dy"":-116,""t"":10306},{""x"":477,""y"":691,""dx"":-14,""dy"":-130,""t"":10340},{""x"":478,""y"":687,""dx"":-13,""dy"":-134,""t"":10375},{""x"":487,""y"":678,""dx"":-4,""dy"":-143,""t"":10408},{""x"":488,""y"":695,""dx"":-3,""dy"":-126,""t"":10442},{""x"":465,""y"":684,""dx"":-26,""dy"":-137,""t"":10477},{""x"":458,""y"":682,""dx"":-33,""dy"":-139,""t"":10510},{""x"":452,""y"":680,""dx"":-39,""dy"":-141,""t"":10541},{""x"":452,""y"":686,""dx"":-39,""dy"":-135,""t"":10577},{""x"":435,""y"":667,""dx"":-56,""dy"":-154,""t"":10613},{""x"":429,""y"":658,""dx"":-62,""dy"":-163,""t"":10646},{""x"":438,""y"":673,""dx"":-53,""dy"":-148,""t"":10680},{""x"":443,""y"":693,""dx"":-48,""dy"":-128,""t"":10713},{""x"":447,""y"":713,""dx"":-44,""dy"":-108,""t"":10748},{""x"":432,""y"":690,""dx"":-59,""dy"":-131,""t"":10782},{""x"":441,""y"":710,""dx"":-50,""dy"":-111,""t"":10815},{""x"":445,""y"":730,""dx"":-46,""dy"":-91,""t"":10850},{""x"":451,""y"":742,""dx"":-40,""dy"":-79,""t"":10884},{""x"":452,""y"":746,""dx"":-39,""dy"":-75,""t"":10918},{""x"":451,""y"":743,""dx"":-40,""dy"":-78,""t"":10952},{""x"":449,""y"":754,""dx"":-42,""dy"":-67,""t"":10986},{""x"":453,""y"":763,""dx"":-38,""dy"":-58,""t"":11020},{""x"":430,""y"":725,""dx"":-61,""dy"":-96,""t"":11054},{""x"":407,""y"":713,""dx"":-84,""dy"":-108,""t"":11088},{""x"":404,""y"":694,""dx"":-87,""dy"":-127,""t"":11123},{""x"":399,""y"":673,""dx"":-92,""dy"":-148,""t"":11155},{""x"":431,""y"":666,""dx"":-60,""dy"":-155,""t"":11190},{""x"":434,""y"":656,""dx"":-57,""dy"":-165,""t"":11224},{""x"":433,""y"":648,""dx"":-58,""dy"":-173,""t"":11258},{""x"":448,""y"":650,""dx"":-43,""dy"":-171,""t"":11292},{""x"":450,""y"":638,""dx"":-41,""dy"":-183,""t"":11326},{""x"":458,""y"":644,""dx"":-33,""dy"":-177,""t"":11360},{""x"":456,""y"":631,""dx"":-35,""dy"":-190,""t"":11395},{""x"":470,""y"":638,""dx"":-21,""dy"":-183,""t"":11428},{""x"":467,""y"":646,""dx"":-24,""dy"":-175,""t"":11462},{""x"":464,""y"":645,""dx"":-27,""dy"":-176,""t"":11496},{""x"":450,""y"":652,""dx"":-41,""dy"":-169,""t"":11530},{""x"":425,""y"":630,""dx"":-66,""dy"":-191,""t"":11564},{""x"":427,""y"":638,""dx"":-64,""dy"":-183,""t"":11597},{""x"":411,""y"":633,""dx"":-80,""dy"":-188,""t"":11632},{""x"":417,""y"":667,""dx"":-74,""dy"":-154,""t"":11665},{""x"":444,""y"":691,""dx"":-47,""dy"":-130,""t"":11699},{""x"":471,""y"":716,""dx"":-20,""dy"":-105,""t"":11735},{""x"":450,""y"":696,""dx"":-41,""dy"":-125,""t"":11768},{""x"":456,""y"":704,""dx"":-35,""dy"":-117,""t"":11802},{""x"":450,""y"":720,""dx"":-41,""dy"":-101,""t"":11836},{""x"":473,""y"":731,""dx"":-18,""dy"":-90,""t"":11870},{""x"":481,""y"":706,""dx"":-10,""dy"":-115,""t"":11904},{""x"":470,""y"":719,""dx"":-21,""dy"":-102,""t"":11938},{""x"":490,""y"":723,""dx"":-1,""dy"":-98,""t"":11973},{""x"":484,""y"":735,""dx"":-7,""dy"":-86,""t"":12007}],[{""x"":1182,""y"":624,""dx"":-269,""dy"":-197,""t"":13026},{""x"":1167,""y"":612,""dx"":-284,""dy"":-209,""t"":13060},{""x"":1156,""y"":606,""dx"":-295,""dy"":-215,""t"":13094},{""x"":1156,""y"":608,""dx"":-295,""dy"":-213,""t"":13128},{""x"":1167,""y"":653,""dx"":-284,""dy"":-168,""t"":13162},{""x"":1150,""y"":759,""dx"":-301,""dy"":-62,""t"":13196},{""x"":1142,""y"":842,""dx"":-309,""dy"":21,""t"":13230},{""x"":1106,""y"":843,""dx"":-345,""dy"":22,""t"":13264},{""x"":1093,""y"":802,""dx"":-358,""dy"":-19,""t"":13299},{""x"":1070,""y"":752,""dx"":-381,""dy"":-69,""t"":13332},{""x"":1057,""y"":712,""dx"":-394,""dy"":-109,""t"":13366},{""x"":1044,""y"":664,""dx"":-407,""dy"":-157,""t"":13399},{""x"":1053,""y"":637,""dx"":-398,""dy"":-184,""t"":13435},{""x"":1089,""y"":621,""dx"":-362,""dy"":-200,""t"":13468},{""x"":1125,""y"":622,""dx"":-326,""dy"":-199,""t"":13502},{""x"":1151,""y"":604,""dx"":-300,""dy"":-217,""t"":13536},{""x"":1166,""y"":612,""dx"":-285,""dy"":-209,""t"":13569},{""x"":1187,""y"":614,""dx"":-264,""dy"":-207,""t"":13604},{""x"":1187,""y"":608,""dx"":-264,""dy"":-213,""t"":13638},{""x"":1192,""y"":608,""dx"":-259,""dy"":-213,""t"":13672},{""x"":1207,""y"":623,""dx"":-244,""dy"":-198,""t"":13704},{""x"":1217,""y"":626,""dx"":-234,""dy"":-195,""t"":13740},{""x"":1226,""y"":620,""dx"":-225,""dy"":-201,""t"":13775},{""x"":1224,""y"":627,""dx"":-227,""dy"":-194,""t"":13808},{""x"":1210,""y"":626,""dx"":-241,""dy"":-195,""t"":13842},{""x"":1202,""y"":625,""dx"":-249,""dy"":-196,""t"":13877},{""x"":1213,""y"":618,""dx"":-238,""dy"":-203,""t"":13911},{""x"":1183,""y"":609,""dx"":-268,""dy"":-212,""t"":13944},{""x"":1170,""y"":613,""dx"":-281,""dy"":-208,""t"":13978},{""x"":1164,""y"":619,""dx"":-287,""dy"":-202,""t"":14012},{""x"":1151,""y"":620,""dx"":-300,""dy"":-201,""t"":14046},{""x"":1147,""y"":619,""dx"":-304,""dy"":-202,""t"":14080},{""x"":1136,""y"":624,""dx"":-315,""dy"":-197,""t"":14114},{""x"":1160,""y"":634,""dx"":-291,""dy"":-187,""t"":14148},{""x"":1177,""y"":632,""dx"":-274,""dy"":-189,""t"":14181},{""x"":1170,""y"":639,""dx"":-281,""dy"":-182,""t"":14215},{""x"":1155,""y"":631,""dx"":-296,""dy"":-190,""t"":14249},{""x"":1128,""y"":618,""dx"":-323,""dy"":-203,""t"":14286},{""x"":1129,""y"":621,""dx"":-322,""dy"":-200,""t"":14318},{""x"":1156,""y"":618,""dx"":-295,""dy"":-203,""t"":14353},{""x"":1181,""y"":626,""dx"":-270,""dy"":-195,""t"":14386},{""x"":1198,""y"":622,""dx"":-253,""dy"":-199,""t"":14420},{""x"":1218,""y"":632,""dx"":-233,""dy"":-189,""t"":14454},{""x"":1209,""y"":638,""dx"":-242,""dy"":-183,""t"":14488},{""x"":1202,""y"":632,""dx"":-249,""dy"":-189,""t"":14522},{""x"":1169,""y"":623,""dx"":-282,""dy"":-198,""t"":14556},{""x"":1160,""y"":627,""dx"":-291,""dy"":-194,""t"":14590},{""x"":1147,""y"":623,""dx"":-304,""dy"":-198,""t"":14625},{""x"":1162,""y"":620,""dx"":-289,""dy"":-201,""t"":14659},{""x"":1152,""y"":628,""dx"":-299,""dy"":-193,""t"":14693},{""x"":1153,""y"":632,""dx"":-298,""dy"":-189,""t"":14725},{""x"":1139,""y"":634,""dx"":-312,""dy"":-187,""t"":14760},{""x"":1133,""y"":627,""dx"":-318,""dy"":-194,""t"":14794},{""x"":1121,""y"":617,""dx"":-330,""dy"":-204,""t"":14828},{""x"":1112,""y"":611,""dx"":-339,""dy"":-210,""t"":14862},{""x"":1104,""y"":613,""dx"":-347,""dy"":-208,""t"":14896},{""x"":1104,""y"":606,""dx"":-347,""dy"":-215,""t"":14930},{""x"":1100,""y"":606,""dx"":-351,""dy"":-215,""t"":14963},{""x"":1087,""y"":594,""dx"":-364,""dy"":-227,""t"":14998}]]","[65,11.864406779661017,100,96.61016949152543,0]","[{""x"":-158.21666666666667,""y"":75.46666666666667,""r"":74.82496984686738},{""x"":-234.54237288135593,""y"":-38.71186440677966,""r"":26.600068254432674},{""x"":-7.5423728813559325,""y"":-121.89830508474576,""r"":25.067017326675426},{""x"":-37.6271186440678,""y"":-133.33898305084745,""r"":37.11776564241914},{""x"":-298.1864406779661,""y"":-182.42372881355934,""r"":38.44005768787813}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
