"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3731","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3736","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7850","0.0-2.0-0.0","","","","","4113","{""name"":""wfy"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9329","0.0-2.0-1.0","","","","","1478","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10006","0.0-3.0","","","","","675"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13438","0.0-4.0","","","","","","","","","739","","","","","","","","","","","","","","","",""
"","html-button-response","6","14760","0.0-5.0-0.0","","","","","1320","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","24419","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","25109","0.0-5.0-2.0","","","","","690","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","42139","0.0-5.0-3.0","","","","","","","","","","[[{""x"":452,""y"":272,""dx"":-39,""dy"":-9,""t"":1021},{""x"":474,""y"":281,""dx"":-17,""dy"":0,""t"":1055},{""x"":483,""y"":285,""dx"":-8,""dy"":4,""t"":1091},{""x"":495,""y"":297,""dx"":4,""dy"":16,""t"":1124},{""x"":540,""y"":324,""dx"":49,""dy"":43,""t"":1158},{""x"":573,""y"":342,""dx"":82,""dy"":61,""t"":1193},{""x"":601,""y"":350,""dx"":110,""dy"":69,""t"":1226},{""x"":620,""y"":363,""dx"":129,""dy"":82,""t"":1260},{""x"":634,""y"":360,""dx"":143,""dy"":79,""t"":1295},{""x"":654,""y"":351,""dx"":163,""dy"":70,""t"":1327},{""x"":618,""y"":346,""dx"":127,""dy"":65,""t"":1361},{""x"":613,""y"":334,""dx"":122,""dy"":53,""t"":1397},{""x"":598,""y"":345,""dx"":107,""dy"":64,""t"":1429},{""x"":591,""y"":361,""dx"":100,""dy"":80,""t"":1463},{""x"":578,""y"":377,""dx"":87,""dy"":96,""t"":1498},{""x"":569,""y"":376,""dx"":78,""dy"":95,""t"":1531},{""x"":587,""y"":375,""dx"":96,""dy"":94,""t"":1565},{""x"":583,""y"":380,""dx"":92,""dy"":99,""t"":1601},{""x"":576,""y"":404,""dx"":85,""dy"":123,""t"":1633},{""x"":542,""y"":415,""dx"":51,""dy"":134,""t"":1667},{""x"":497,""y"":428,""dx"":6,""dy"":147,""t"":1703},{""x"":502,""y"":406,""dx"":11,""dy"":125,""t"":1736},{""x"":511,""y"":395,""dx"":20,""dy"":114,""t"":1768},{""x"":495,""y"":389,""dx"":4,""dy"":108,""t"":1803},{""x"":470,""y"":401,""dx"":-21,""dy"":120,""t"":1839},{""x"":453,""y"":405,""dx"":-38,""dy"":124,""t"":1871},{""x"":433,""y"":399,""dx"":-58,""dy"":118,""t"":1906},{""x"":416,""y"":377,""dx"":-75,""dy"":96,""t"":1941},{""x"":405,""y"":379,""dx"":-86,""dy"":98,""t"":1973},{""x"":433,""y"":358,""dx"":-58,""dy"":77,""t"":2007},{""x"":414,""y"":361,""dx"":-77,""dy"":80,""t"":2043},{""x"":437,""y"":345,""dx"":-54,""dy"":64,""t"":2075},{""x"":443,""y"":340,""dx"":-48,""dy"":59,""t"":2109},{""x"":478,""y"":332,""dx"":-13,""dy"":51,""t"":2143},{""x"":461,""y"":328,""dx"":-30,""dy"":47,""t"":2176},{""x"":462,""y"":330,""dx"":-29,""dy"":49,""t"":2213},{""x"":442,""y"":339,""dx"":-49,""dy"":58,""t"":2245},{""x"":430,""y"":360,""dx"":-61,""dy"":79,""t"":2279},{""x"":427,""y"":357,""dx"":-64,""dy"":76,""t"":2315},{""x"":451,""y"":362,""dx"":-40,""dy"":81,""t"":2347},{""x"":445,""y"":359,""dx"":-46,""dy"":78,""t"":2381},{""x"":476,""y"":360,""dx"":-15,""dy"":79,""t"":2417},{""x"":461,""y"":375,""dx"":-30,""dy"":94,""t"":2449},{""x"":481,""y"":374,""dx"":-10,""dy"":93,""t"":2484},{""x"":513,""y"":401,""dx"":22,""dy"":120,""t"":2519},{""x"":512,""y"":388,""dx"":21,""dy"":107,""t"":2552},{""x"":535,""y"":414,""dx"":44,""dy"":133,""t"":2586},{""x"":541,""y"":393,""dx"":50,""dy"":112,""t"":2621},{""x"":529,""y"":383,""dx"":38,""dy"":102,""t"":2653},{""x"":542,""y"":358,""dx"":51,""dy"":77,""t"":2688},{""x"":556,""y"":397,""dx"":65,""dy"":116,""t"":2723},{""x"":568,""y"":390,""dx"":77,""dy"":109,""t"":2755},{""x"":573,""y"":405,""dx"":82,""dy"":124,""t"":2790},{""x"":556,""y"":401,""dx"":65,""dy"":120,""t"":2824},{""x"":552,""y"":406,""dx"":61,""dy"":125,""t"":2857},{""x"":541,""y"":406,""dx"":50,""dy"":125,""t"":2891},{""x"":539,""y"":390,""dx"":48,""dy"":109,""t"":2927},{""x"":538,""y"":395,""dx"":47,""dy"":114,""t"":2959}],[{""x"":1428,""y"":406,""dx"":-23,""dy"":125,""t"":4014},{""x"":1424,""y"":405,""dx"":-27,""dy"":124,""t"":4050},{""x"":1404,""y"":410,""dx"":-47,""dy"":129,""t"":4081},{""x"":1388,""y"":411,""dx"":-63,""dy"":130,""t"":4117},{""x"":1361,""y"":412,""dx"":-90,""dy"":131,""t"":4149},{""x"":1358,""y"":408,""dx"":-93,""dy"":127,""t"":4185},{""x"":1368,""y"":397,""dx"":-83,""dy"":116,""t"":4218},{""x"":1361,""y"":380,""dx"":-90,""dy"":99,""t"":4252},{""x"":1315,""y"":357,""dx"":-136,""dy"":76,""t"":4287},{""x"":1313,""y"":343,""dx"":-138,""dy"":62,""t"":4319},{""x"":1268,""y"":329,""dx"":-183,""dy"":48,""t"":4353},{""x"":1274,""y"":309,""dx"":-177,""dy"":28,""t"":4389},{""x"":1247,""y"":328,""dx"":-204,""dy"":47,""t"":4422},{""x"":1259,""y"":309,""dx"":-192,""dy"":28,""t"":4455},{""x"":1277,""y"":320,""dx"":-174,""dy"":39,""t"":4491},{""x"":1281,""y"":327,""dx"":-170,""dy"":46,""t"":4523},{""x"":1277,""y"":338,""dx"":-174,""dy"":57,""t"":4557},{""x"":1273,""y"":332,""dx"":-178,""dy"":51,""t"":4593},{""x"":1262,""y"":357,""dx"":-189,""dy"":76,""t"":4625},{""x"":1272,""y"":358,""dx"":-179,""dy"":77,""t"":4659},{""x"":1284,""y"":367,""dx"":-167,""dy"":86,""t"":4695},{""x"":1294,""y"":369,""dx"":-157,""dy"":88,""t"":4727},{""x"":1303,""y"":376,""dx"":-148,""dy"":95,""t"":4761},{""x"":1303,""y"":377,""dx"":-148,""dy"":96,""t"":4797},{""x"":1289,""y"":358,""dx"":-162,""dy"":77,""t"":4830},{""x"":1289,""y"":352,""dx"":-162,""dy"":71,""t"":4864},{""x"":1279,""y"":383,""dx"":-172,""dy"":102,""t"":4899},{""x"":1281,""y"":380,""dx"":-170,""dy"":99,""t"":4931},{""x"":1274,""y"":398,""dx"":-177,""dy"":117,""t"":4965},{""x"":1293,""y"":386,""dx"":-158,""dy"":105,""t"":5000},{""x"":1266,""y"":403,""dx"":-185,""dy"":122,""t"":5034},{""x"":1268,""y"":402,""dx"":-183,""dy"":121,""t"":5067},{""x"":1267,""y"":393,""dx"":-184,""dy"":112,""t"":5101},{""x"":1279,""y"":389,""dx"":-172,""dy"":108,""t"":5137},{""x"":1249,""y"":400,""dx"":-202,""dy"":119,""t"":5170},{""x"":1255,""y"":393,""dx"":-196,""dy"":112,""t"":5204},{""x"":1248,""y"":394,""dx"":-203,""dy"":113,""t"":5239},{""x"":1256,""y"":387,""dx"":-195,""dy"":106,""t"":5270},{""x"":1258,""y"":409,""dx"":-193,""dy"":128,""t"":5305},{""x"":1265,""y"":411,""dx"":-186,""dy"":130,""t"":5339},{""x"":1275,""y"":429,""dx"":-176,""dy"":148,""t"":5373},{""x"":1302,""y"":411,""dx"":-149,""dy"":130,""t"":5409},{""x"":1284,""y"":414,""dx"":-167,""dy"":133,""t"":5441},{""x"":1297,""y"":400,""dx"":-154,""dy"":119,""t"":5475},{""x"":1305,""y"":418,""dx"":-146,""dy"":137,""t"":5511},{""x"":1296,""y"":419,""dx"":-155,""dy"":138,""t"":5543},{""x"":1301,""y"":413,""dx"":-150,""dy"":132,""t"":5577},{""x"":1329,""y"":426,""dx"":-122,""dy"":145,""t"":5613},{""x"":1295,""y"":430,""dx"":-156,""dy"":149,""t"":5646},{""x"":1333,""y"":426,""dx"":-118,""dy"":145,""t"":5679},{""x"":1305,""y"":427,""dx"":-146,""dy"":146,""t"":5714},{""x"":1310,""y"":433,""dx"":-141,""dy"":152,""t"":5749},{""x"":1318,""y"":434,""dx"":-133,""dy"":153,""t"":5781},{""x"":1364,""y"":427,""dx"":-87,""dy"":146,""t"":5816},{""x"":1361,""y"":432,""dx"":-90,""dy"":151,""t"":5851},{""x"":1386,""y"":438,""dx"":-65,""dy"":157,""t"":5884},{""x"":1393,""y"":438,""dx"":-58,""dy"":157,""t"":5918},{""x"":1430,""y"":415,""dx"":-21,""dy"":134,""t"":5953},{""x"":1403,""y"":417,""dx"":-48,""dy"":136,""t"":5986}],[{""x"":1026,""y"":497,""dx"":55,""dy"":-54,""t"":7006},{""x"":1047,""y"":464,""dx"":76,""dy"":-87,""t"":7042},{""x"":1031,""y"":460,""dx"":60,""dy"":-91,""t"":7074},{""x"":1040,""y"":464,""dx"":69,""dy"":-87,""t"":7107},{""x"":1031,""y"":470,""dx"":60,""dy"":-81,""t"":7143},{""x"":1000,""y"":491,""dx"":29,""dy"":-60,""t"":7176},{""x"":980,""y"":490,""dx"":9,""dy"":-61,""t"":7209},{""x"":965,""y"":511,""dx"":-6,""dy"":-40,""t"":7245},{""x"":976,""y"":507,""dx"":5,""dy"":-44,""t"":7276},{""x"":962,""y"":512,""dx"":-9,""dy"":-39,""t"":7311},{""x"":975,""y"":507,""dx"":4,""dy"":-44,""t"":7345},{""x"":967,""y"":496,""dx"":-4,""dy"":-55,""t"":7381},{""x"":966,""y"":508,""dx"":-5,""dy"":-43,""t"":7413},{""x"":975,""y"":524,""dx"":4,""dy"":-27,""t"":7448},{""x"":987,""y"":523,""dx"":16,""dy"":-28,""t"":7483},{""x"":996,""y"":556,""dx"":25,""dy"":5,""t"":7516},{""x"":1002,""y"":519,""dx"":31,""dy"":-32,""t"":7550},{""x"":985,""y"":550,""dx"":14,""dy"":-1,""t"":7585},{""x"":1039,""y"":527,""dx"":68,""dy"":-24,""t"":7618},{""x"":1030,""y"":550,""dx"":59,""dy"":-1,""t"":7652},{""x"":1054,""y"":544,""dx"":83,""dy"":-7,""t"":7687},{""x"":1046,""y"":562,""dx"":75,""dy"":11,""t"":7721},{""x"":1065,""y"":568,""dx"":94,""dy"":17,""t"":7753},{""x"":1067,""y"":537,""dx"":96,""dy"":-14,""t"":7789},{""x"":1074,""y"":520,""dx"":103,""dy"":-31,""t"":7822},{""x"":1061,""y"":540,""dx"":90,""dy"":-11,""t"":7855},{""x"":1079,""y"":539,""dx"":108,""dy"":-12,""t"":7891},{""x"":1057,""y"":524,""dx"":86,""dy"":-27,""t"":7923},{""x"":1048,""y"":552,""dx"":77,""dy"":1,""t"":7957},{""x"":1041,""y"":533,""dx"":70,""dy"":-18,""t"":7993},{""x"":1041,""y"":555,""dx"":70,""dy"":4,""t"":8025},{""x"":1052,""y"":539,""dx"":81,""dy"":-12,""t"":8059},{""x"":1052,""y"":556,""dx"":81,""dy"":5,""t"":8095},{""x"":1037,""y"":554,""dx"":66,""dy"":3,""t"":8127},{""x"":1052,""y"":571,""dx"":81,""dy"":20,""t"":8161},{""x"":1074,""y"":556,""dx"":103,""dy"":5,""t"":8197},{""x"":1095,""y"":543,""dx"":124,""dy"":-8,""t"":8229},{""x"":1112,""y"":519,""dx"":141,""dy"":-32,""t"":8263},{""x"":1118,""y"":499,""dx"":147,""dy"":-52,""t"":8300},{""x"":1132,""y"":486,""dx"":161,""dy"":-65,""t"":8332},{""x"":1126,""y"":513,""dx"":155,""dy"":-38,""t"":8365},{""x"":1129,""y"":500,""dx"":158,""dy"":-51,""t"":8401},{""x"":1112,""y"":516,""dx"":141,""dy"":-35,""t"":8433},{""x"":1115,""y"":509,""dx"":144,""dy"":-42,""t"":8467},{""x"":1076,""y"":515,""dx"":105,""dy"":-36,""t"":8504},{""x"":1093,""y"":498,""dx"":122,""dy"":-53,""t"":8536},{""x"":1068,""y"":512,""dx"":97,""dy"":-39,""t"":8569},{""x"":1107,""y"":511,""dx"":136,""dy"":-40,""t"":8604},{""x"":1098,""y"":507,""dx"":127,""dy"":-44,""t"":8639},{""x"":1113,""y"":500,""dx"":142,""dy"":-51,""t"":8672},{""x"":1107,""y"":507,""dx"":136,""dy"":-44,""t"":8705},{""x"":1136,""y"":495,""dx"":165,""dy"":-56,""t"":8741},{""x"":1135,""y"":507,""dx"":164,""dy"":-44,""t"":8773},{""x"":1101,""y"":526,""dx"":130,""dy"":-25,""t"":8807},{""x"":1098,""y"":518,""dx"":127,""dy"":-33,""t"":8843},{""x"":1060,""y"":543,""dx"":89,""dy"":-8,""t"":8874},{""x"":1049,""y"":549,""dx"":78,""dy"":-2,""t"":8910},{""x"":1043,""y"":567,""dx"":72,""dy"":16,""t"":8944},{""x"":1035,""y"":575,""dx"":64,""dy"":24,""t"":8977}],[{""x"":534,""y"":580,""dx"":43,""dy"":-241,""t"":10033},{""x"":553,""y"":578,""dx"":62,""dy"":-243,""t"":10065},{""x"":532,""y"":608,""dx"":41,""dy"":-213,""t"":10099},{""x"":520,""y"":631,""dx"":29,""dy"":-190,""t"":10135},{""x"":505,""y"":649,""dx"":14,""dy"":-172,""t"":10167},{""x"":480,""y"":660,""dx"":-11,""dy"":-161,""t"":10201},{""x"":479,""y"":663,""dx"":-12,""dy"":-158,""t"":10235},{""x"":459,""y"":664,""dx"":-32,""dy"":-157,""t"":10271},{""x"":429,""y"":671,""dx"":-62,""dy"":-150,""t"":10303},{""x"":412,""y"":680,""dx"":-79,""dy"":-141,""t"":10338},{""x"":414,""y"":704,""dx"":-77,""dy"":-117,""t"":10373},{""x"":420,""y"":732,""dx"":-71,""dy"":-89,""t"":10406},{""x"":423,""y"":740,""dx"":-68,""dy"":-81,""t"":10440},{""x"":426,""y"":746,""dx"":-65,""dy"":-75,""t"":10473},{""x"":410,""y"":717,""dx"":-81,""dy"":-104,""t"":10510},{""x"":436,""y"":687,""dx"":-55,""dy"":-134,""t"":10542},{""x"":459,""y"":661,""dx"":-32,""dy"":-160,""t"":10575},{""x"":472,""y"":648,""dx"":-19,""dy"":-173,""t"":10610},{""x"":482,""y"":628,""dx"":-9,""dy"":-193,""t"":10645},{""x"":475,""y"":637,""dx"":-16,""dy"":-184,""t"":10677},{""x"":487,""y"":653,""dx"":-4,""dy"":-168,""t"":10711},{""x"":468,""y"":657,""dx"":-23,""dy"":-164,""t"":10747},{""x"":434,""y"":649,""dx"":-57,""dy"":-172,""t"":10780},{""x"":419,""y"":656,""dx"":-72,""dy"":-165,""t"":10814},{""x"":442,""y"":660,""dx"":-49,""dy"":-161,""t"":10850},{""x"":444,""y"":675,""dx"":-47,""dy"":-146,""t"":10880},{""x"":469,""y"":672,""dx"":-22,""dy"":-149,""t"":10915},{""x"":495,""y"":687,""dx"":4,""dy"":-134,""t"":10950},{""x"":493,""y"":702,""dx"":2,""dy"":-119,""t"":10985},{""x"":491,""y"":714,""dx"":0,""dy"":-107,""t"":11017},{""x"":484,""y"":723,""dx"":-7,""dy"":-98,""t"":11051},{""x"":474,""y"":734,""dx"":-17,""dy"":-87,""t"":11087},{""x"":486,""y"":726,""dx"":-5,""dy"":-95,""t"":11119},{""x"":465,""y"":729,""dx"":-26,""dy"":-92,""t"":11153},{""x"":461,""y"":729,""dx"":-30,""dy"":-92,""t"":11189},{""x"":508,""y"":721,""dx"":17,""dy"":-100,""t"":11221},{""x"":532,""y"":699,""dx"":41,""dy"":-122,""t"":11255},{""x"":539,""y"":693,""dx"":48,""dy"":-128,""t"":11291},{""x"":525,""y"":689,""dx"":34,""dy"":-132,""t"":11323},{""x"":532,""y"":683,""dx"":41,""dy"":-138,""t"":11357},{""x"":509,""y"":681,""dx"":18,""dy"":-140,""t"":11393},{""x"":484,""y"":673,""dx"":-7,""dy"":-148,""t"":11426},{""x"":497,""y"":676,""dx"":6,""dy"":-145,""t"":11459},{""x"":514,""y"":664,""dx"":23,""dy"":-157,""t"":11495},{""x"":500,""y"":646,""dx"":9,""dy"":-175,""t"":11527},{""x"":508,""y"":650,""dx"":17,""dy"":-171,""t"":11562},{""x"":491,""y"":636,""dx"":0,""dy"":-185,""t"":11597},{""x"":479,""y"":627,""dx"":-12,""dy"":-194,""t"":11630},{""x"":467,""y"":637,""dx"":-24,""dy"":-184,""t"":11663},{""x"":466,""y"":632,""dx"":-25,""dy"":-189,""t"":11699},{""x"":456,""y"":632,""dx"":-35,""dy"":-189,""t"":11732},{""x"":448,""y"":632,""dx"":-43,""dy"":-189,""t"":11764},{""x"":439,""y"":645,""dx"":-52,""dy"":-176,""t"":11800},{""x"":446,""y"":633,""dx"":-45,""dy"":-188,""t"":11835},{""x"":450,""y"":638,""dx"":-41,""dy"":-183,""t"":11868},{""x"":444,""y"":650,""dx"":-47,""dy"":-171,""t"":11902},{""x"":441,""y"":656,""dx"":-50,""dy"":-165,""t"":11937},{""x"":439,""y"":669,""dx"":-52,""dy"":-152,""t"":11970},{""x"":424,""y"":679,""dx"":-67,""dy"":-142,""t"":12003}],[{""x"":1407,""y"":618,""dx"":-44,""dy"":-203,""t"":13024},{""x"":1410,""y"":610,""dx"":-41,""dy"":-211,""t"":13059},{""x"":1410,""y"":612,""dx"":-41,""dy"":-209,""t"":13091},{""x"":1414,""y"":605,""dx"":-37,""dy"":-216,""t"":13125},{""x"":1402,""y"":614,""dx"":-49,""dy"":-207,""t"":13162},{""x"":1389,""y"":627,""dx"":-62,""dy"":-194,""t"":13194},{""x"":1380,""y"":632,""dx"":-71,""dy"":-189,""t"":13228},{""x"":1364,""y"":641,""dx"":-87,""dy"":-180,""t"":13264},{""x"":1360,""y"":629,""dx"":-91,""dy"":-192,""t"":13295},{""x"":1356,""y"":632,""dx"":-95,""dy"":-189,""t"":13329},{""x"":1353,""y"":626,""dx"":-98,""dy"":-195,""t"":13365},{""x"":1356,""y"":620,""dx"":-95,""dy"":-201,""t"":13398},{""x"":1390,""y"":624,""dx"":-61,""dy"":-197,""t"":13431},{""x"":1399,""y"":635,""dx"":-52,""dy"":-186,""t"":13466},{""x"":1392,""y"":634,""dx"":-59,""dy"":-187,""t"":13499},{""x"":1384,""y"":644,""dx"":-67,""dy"":-177,""t"":13533},{""x"":1381,""y"":648,""dx"":-70,""dy"":-173,""t"":13569},{""x"":1358,""y"":647,""dx"":-93,""dy"":-174,""t"":13601},{""x"":1319,""y"":655,""dx"":-132,""dy"":-166,""t"":13635},{""x"":1315,""y"":658,""dx"":-136,""dy"":-163,""t"":13668},{""x"":1329,""y"":643,""dx"":-122,""dy"":-178,""t"":13705},{""x"":1336,""y"":651,""dx"":-115,""dy"":-170,""t"":13737},{""x"":1342,""y"":657,""dx"":-109,""dy"":-164,""t"":13770},{""x"":1340,""y"":672,""dx"":-111,""dy"":-149,""t"":13805},{""x"":1344,""y"":666,""dx"":-107,""dy"":-155,""t"":13841},{""x"":1336,""y"":676,""dx"":-115,""dy"":-145,""t"":13874},{""x"":1320,""y"":688,""dx"":-131,""dy"":-133,""t"":13908},{""x"":1317,""y"":703,""dx"":-134,""dy"":-118,""t"":13942},{""x"":1297,""y"":709,""dx"":-154,""dy"":-112,""t"":13975},{""x"":1289,""y"":714,""dx"":-162,""dy"":-107,""t"":14009},{""x"":1278,""y"":708,""dx"":-173,""dy"":-113,""t"":14045},{""x"":1271,""y"":705,""dx"":-180,""dy"":-116,""t"":14076},{""x"":1270,""y"":709,""dx"":-181,""dy"":-112,""t"":14111},{""x"":1293,""y"":699,""dx"":-158,""dy"":-122,""t"":14145},{""x"":1300,""y"":702,""dx"":-151,""dy"":-119,""t"":14181},{""x"":1295,""y"":713,""dx"":-156,""dy"":-108,""t"":14213},{""x"":1272,""y"":719,""dx"":-179,""dy"":-102,""t"":14247},{""x"":1304,""y"":716,""dx"":-147,""dy"":-105,""t"":14283},{""x"":1321,""y"":710,""dx"":-130,""dy"":-111,""t"":14315},{""x"":1337,""y"":714,""dx"":-114,""dy"":-107,""t"":14350},{""x"":1337,""y"":720,""dx"":-114,""dy"":-101,""t"":14386},{""x"":1356,""y"":727,""dx"":-95,""dy"":-94,""t"":14417},{""x"":1366,""y"":718,""dx"":-85,""dy"":-103,""t"":14451},{""x"":1370,""y"":711,""dx"":-81,""dy"":-110,""t"":14487},{""x"":1387,""y"":707,""dx"":-64,""dy"":-114,""t"":14520},{""x"":1384,""y"":720,""dx"":-67,""dy"":-101,""t"":14553},{""x"":1384,""y"":733,""dx"":-67,""dy"":-88,""t"":14589},{""x"":1381,""y"":732,""dx"":-70,""dy"":-89,""t"":14621},{""x"":1373,""y"":734,""dx"":-78,""dy"":-87,""t"":14656},{""x"":1370,""y"":739,""dx"":-81,""dy"":-82,""t"":14691},{""x"":1377,""y"":735,""dx"":-74,""dy"":-86,""t"":14723},{""x"":1374,""y"":726,""dx"":-77,""dy"":-95,""t"":14757},{""x"":1380,""y"":725,""dx"":-71,""dy"":-96,""t"":14793},{""x"":1365,""y"":718,""dx"":-86,""dy"":-103,""t"":14825},{""x"":1356,""y"":710,""dx"":-95,""dy"":-111,""t"":14859},{""x"":1342,""y"":701,""dx"":-109,""dy"":-120,""t"":14895},{""x"":1336,""y"":710,""dx"":-115,""dy"":-111,""t"":14928},{""x"":1332,""y"":697,""dx"":-119,""dy"":-124,""t"":14961},{""x"":1338,""y"":697,""dx"":-113,""dy"":-124,""t"":14997}]]","[100,64.40677966101694,100,94.91525423728814,66.10169491525424]","[{""x"":24.5,""y"":86.65517241379311,""r"":99.12303131291638},{""x"":-142.57627118644066,""y"":109,""r"":48.4838944463387},{""x"":82.1864406779661,""y"":-29.11864406779661,""r"":51.26747430181232},{""x"":-18.627118644067796,""y"":-151.66101694915255,""r"":41.968103919816684},{""x"":-101.20338983050847,""y"":-140.57627118644066,""r"":52.30825094495536}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
