"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1973","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1977","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6629","0.0-2.0-0.0","","","","","4651","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11269","0.0-2.0-1.0","","","","","4639","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14893","0.0-3.0","","","","","3621"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20491","0.0-4.0","","","","","","","","","1451","","","","","","","","","","","","","","","","",""
"","html-button-response","6","23149","0.0-5.0-0.0","","","","","2657","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","34951","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","38733","0.0-5.0-2.0","","","","","3782","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","60514","0.0-5.0-3.0","","","","","","","","","","[[{""x"":220,""y"":271,""dx"":-271,""dy"":-10,""t"":990},{""x"":230,""y"":265,""dx"":-261,""dy"":-16,""t"":1025},{""x"":243,""y"":260,""dx"":-248,""dy"":-21,""t"":1057},{""x"":247,""y"":269,""dx"":-244,""dy"":-12,""t"":1092},{""x"":256,""y"":260,""dx"":-235,""dy"":-21,""t"":1126},{""x"":252,""y"":259,""dx"":-239,""dy"":-22,""t"":1160},{""x"":261,""y"":264,""dx"":-230,""dy"":-17,""t"":1194},{""x"":261,""y"":268,""dx"":-230,""dy"":-13,""t"":1228},{""x"":260,""y"":267,""dx"":-231,""dy"":-14,""t"":1262},{""x"":262,""y"":272,""dx"":-229,""dy"":-9,""t"":1296},{""x"":265,""y"":267,""dx"":-226,""dy"":-14,""t"":1329},{""x"":250,""y"":282,""dx"":-241,""dy"":1,""t"":1364},{""x"":252,""y"":294,""dx"":-239,""dy"":13,""t"":1398},{""x"":211,""y"":264,""dx"":-280,""dy"":-17,""t"":1433},{""x"":181,""y"":263,""dx"":-310,""dy"":-18,""t"":1466},{""x"":157,""y"":262,""dx"":-334,""dy"":-19,""t"":1498},{""x"":186,""y"":260,""dx"":-305,""dy"":-21,""t"":1535},{""x"":206,""y"":267,""dx"":-285,""dy"":-14,""t"":1568},{""x"":207,""y"":278,""dx"":-284,""dy"":-3,""t"":1602},{""x"":241,""y"":294,""dx"":-250,""dy"":13,""t"":1636},{""x"":242,""y"":290,""dx"":-249,""dy"":9,""t"":1670},{""x"":241,""y"":289,""dx"":-250,""dy"":8,""t"":1704},{""x"":206,""y"":272,""dx"":-285,""dy"":-9,""t"":1738},{""x"":218,""y"":292,""dx"":-273,""dy"":11,""t"":1772},{""x"":240,""y"":300,""dx"":-251,""dy"":19,""t"":1806},{""x"":318,""y"":330,""dx"":-173,""dy"":49,""t"":1840},{""x"":439,""y"":497,""dx"":-52,""dy"":216,""t"":1874},{""x"":554,""y"":652,""dx"":63,""dy"":371,""t"":1908},{""x"":627,""y"":717,""dx"":136,""dy"":436,""t"":1942},{""x"":590,""y"":649,""dx"":99,""dy"":368,""t"":1976},{""x"":539,""y"":581,""dx"":48,""dy"":300,""t"":2010},{""x"":501,""y"":510,""dx"":10,""dy"":229,""t"":2044},{""x"":447,""y"":457,""dx"":-44,""dy"":176,""t"":2078},{""x"":411,""y"":402,""dx"":-80,""dy"":121,""t"":2111},{""x"":345,""y"":351,""dx"":-146,""dy"":70,""t"":2146},{""x"":285,""y"":312,""dx"":-206,""dy"":31,""t"":2180},{""x"":232,""y"":292,""dx"":-259,""dy"":11,""t"":2214},{""x"":253,""y"":289,""dx"":-238,""dy"":8,""t"":2248},{""x"":305,""y"":302,""dx"":-186,""dy"":21,""t"":2281},{""x"":325,""y"":277,""dx"":-166,""dy"":-4,""t"":2316},{""x"":352,""y"":259,""dx"":-139,""dy"":-22,""t"":2350},{""x"":371,""y"":238,""dx"":-120,""dy"":-43,""t"":2385},{""x"":397,""y"":246,""dx"":-94,""dy"":-35,""t"":2418},{""x"":410,""y"":237,""dx"":-81,""dy"":-44,""t"":2453},{""x"":426,""y"":242,""dx"":-65,""dy"":-39,""t"":2486},{""x"":456,""y"":243,""dx"":-35,""dy"":-38,""t"":2520},{""x"":468,""y"":241,""dx"":-23,""dy"":-40,""t"":2553},{""x"":474,""y"":243,""dx"":-17,""dy"":-38,""t"":2588},{""x"":483,""y"":241,""dx"":-8,""dy"":-40,""t"":2622},{""x"":484,""y"":225,""dx"":-7,""dy"":-56,""t"":2655},{""x"":452,""y"":226,""dx"":-39,""dy"":-55,""t"":2691},{""x"":383,""y"":254,""dx"":-108,""dy"":-27,""t"":2725},{""x"":363,""y"":251,""dx"":-128,""dy"":-30,""t"":2758},{""x"":326,""y"":251,""dx"":-165,""dy"":-30,""t"":2792},{""x"":292,""y"":257,""dx"":-199,""dy"":-24,""t"":2825},{""x"":282,""y"":269,""dx"":-209,""dy"":-12,""t"":2861},{""x"":277,""y"":276,""dx"":-214,""dy"":-5,""t"":2893},{""x"":257,""y"":281,""dx"":-234,""dy"":0,""t"":2927},{""x"":239,""y"":279,""dx"":-252,""dy"":-2,""t"":2962}],[{""x"":1432,""y"":245,""dx"":-19,""dy"":-36,""t"":4015},{""x"":1415,""y"":245,""dx"":-36,""dy"":-36,""t"":4050},{""x"":1409,""y"":254,""dx"":-42,""dy"":-27,""t"":4083},{""x"":1390,""y"":234,""dx"":-61,""dy"":-47,""t"":4118},{""x"":1362,""y"":233,""dx"":-89,""dy"":-48,""t"":4153},{""x"":1354,""y"":235,""dx"":-97,""dy"":-46,""t"":4186},{""x"":1340,""y"":231,""dx"":-111,""dy"":-50,""t"":4220},{""x"":1349,""y"":227,""dx"":-102,""dy"":-54,""t"":4254},{""x"":1347,""y"":231,""dx"":-104,""dy"":-50,""t"":4288},{""x"":1346,""y"":237,""dx"":-105,""dy"":-44,""t"":4322},{""x"":1353,""y"":267,""dx"":-98,""dy"":-14,""t"":4356},{""x"":1353,""y"":256,""dx"":-98,""dy"":-25,""t"":4390},{""x"":1363,""y"":250,""dx"":-88,""dy"":-31,""t"":4424},{""x"":1398,""y"":266,""dx"":-53,""dy"":-15,""t"":4458},{""x"":1390,""y"":254,""dx"":-61,""dy"":-27,""t"":4493},{""x"":1386,""y"":263,""dx"":-65,""dy"":-18,""t"":4526},{""x"":1382,""y"":259,""dx"":-69,""dy"":-22,""t"":4561},{""x"":1397,""y"":262,""dx"":-54,""dy"":-19,""t"":4594},{""x"":1406,""y"":259,""dx"":-45,""dy"":-22,""t"":4628},{""x"":1413,""y"":256,""dx"":-38,""dy"":-25,""t"":4659},{""x"":1406,""y"":254,""dx"":-45,""dy"":-27,""t"":4696},{""x"":1397,""y"":253,""dx"":-54,""dy"":-28,""t"":4730},{""x"":1386,""y"":244,""dx"":-65,""dy"":-37,""t"":4764},{""x"":1383,""y"":250,""dx"":-68,""dy"":-31,""t"":4798},{""x"":1401,""y"":270,""dx"":-50,""dy"":-11,""t"":4832},{""x"":1381,""y"":256,""dx"":-70,""dy"":-25,""t"":4865},{""x"":1385,""y"":272,""dx"":-66,""dy"":-9,""t"":4901},{""x"":1376,""y"":261,""dx"":-75,""dy"":-20,""t"":4934},{""x"":1384,""y"":280,""dx"":-67,""dy"":-1,""t"":4969},{""x"":1393,""y"":300,""dx"":-58,""dy"":19,""t"":5002},{""x"":1398,""y"":313,""dx"":-53,""dy"":32,""t"":5036},{""x"":1402,""y"":323,""dx"":-49,""dy"":42,""t"":5068},{""x"":1403,""y"":321,""dx"":-48,""dy"":40,""t"":5103},{""x"":1405,""y"":297,""dx"":-46,""dy"":16,""t"":5139},{""x"":1345,""y"":391,""dx"":-106,""dy"":110,""t"":5172},{""x"":1277,""y"":525,""dx"":-174,""dy"":244,""t"":5207},{""x"":1203,""y"":649,""dx"":-248,""dy"":368,""t"":5240},{""x"":1133,""y"":659,""dx"":-318,""dy"":378,""t"":5275},{""x"":1114,""y"":674,""dx"":-337,""dy"":393,""t"":5308},{""x"":1118,""y"":625,""dx"":-333,""dy"":344,""t"":5342},{""x"":1177,""y"":594,""dx"":-274,""dy"":313,""t"":5376},{""x"":1207,""y"":527,""dx"":-244,""dy"":246,""t"":5410},{""x"":1305,""y"":498,""dx"":-146,""dy"":217,""t"":5445},{""x"":1315,""y"":433,""dx"":-136,""dy"":152,""t"":5478},{""x"":1393,""y"":414,""dx"":-58,""dy"":133,""t"":5512},{""x"":1390,""y"":378,""dx"":-61,""dy"":97,""t"":5546},{""x"":1479,""y"":369,""dx"":28,""dy"":88,""t"":5581},{""x"":1525,""y"":351,""dx"":74,""dy"":70,""t"":5615},{""x"":1526,""y"":314,""dx"":75,""dy"":33,""t"":5648},{""x"":1520,""y"":293,""dx"":69,""dy"":12,""t"":5682},{""x"":1547,""y"":291,""dx"":96,""dy"":10,""t"":5716},{""x"":1502,""y"":328,""dx"":51,""dy"":47,""t"":5751},{""x"":1534,""y"":316,""dx"":83,""dy"":35,""t"":5785},{""x"":1518,""y"":290,""dx"":67,""dy"":9,""t"":5820},{""x"":1567,""y"":305,""dx"":116,""dy"":24,""t"":5852},{""x"":1547,""y"":292,""dx"":96,""dy"":11,""t"":5885},{""x"":1580,""y"":319,""dx"":129,""dy"":38,""t"":5920},{""x"":1553,""y"":293,""dx"":102,""dy"":12,""t"":5953},{""x"":1528,""y"":275,""dx"":77,""dy"":-6,""t"":5989}],[{""x"":940,""y"":542,""dx"":-31,""dy"":-9,""t"":7008},{""x"":941,""y"":545,""dx"":-30,""dy"":-6,""t"":7043},{""x"":972,""y"":552,""dx"":1,""dy"":1,""t"":7077},{""x"":983,""y"":542,""dx"":12,""dy"":-9,""t"":7110},{""x"":999,""y"":545,""dx"":28,""dy"":-6,""t"":7144},{""x"":1012,""y"":559,""dx"":41,""dy"":8,""t"":7178},{""x"":1015,""y"":537,""dx"":44,""dy"":-14,""t"":7212},{""x"":1021,""y"":547,""dx"":50,""dy"":-4,""t"":7246},{""x"":1011,""y"":539,""dx"":40,""dy"":-12,""t"":7280},{""x"":992,""y"":528,""dx"":21,""dy"":-23,""t"":7314},{""x"":968,""y"":535,""dx"":-3,""dy"":-16,""t"":7348},{""x"":987,""y"":538,""dx"":16,""dy"":-13,""t"":7382},{""x"":988,""y"":557,""dx"":17,""dy"":6,""t"":7416},{""x"":1002,""y"":572,""dx"":31,""dy"":21,""t"":7451},{""x"":976,""y"":560,""dx"":5,""dy"":9,""t"":7484},{""x"":970,""y"":595,""dx"":-1,""dy"":44,""t"":7518},{""x"":959,""y"":702,""dx"":-12,""dy"":151,""t"":7552},{""x"":1006,""y"":860,""dx"":35,""dy"":309,""t"":7587},{""x"":1030,""y"":961,""dx"":59,""dy"":410,""t"":7620},{""x"":1015,""y"":995,""dx"":44,""dy"":444,""t"":7653},{""x"":994,""y"":988,""dx"":23,""dy"":437,""t"":7688},{""x"":975,""y"":957,""dx"":4,""dy"":406,""t"":7722},{""x"":982,""y"":912,""dx"":11,""dy"":361,""t"":7756},{""x"":978,""y"":866,""dx"":7,""dy"":315,""t"":7790},{""x"":963,""y"":770,""dx"":-8,""dy"":219,""t"":7826},{""x"":968,""y"":729,""dx"":-3,""dy"":178,""t"":7859},{""x"":971,""y"":674,""dx"":0,""dy"":123,""t"":7892},{""x"":1001,""y"":624,""dx"":30,""dy"":73,""t"":7926},{""x"":1020,""y"":605,""dx"":49,""dy"":54,""t"":7960},{""x"":1053,""y"":597,""dx"":82,""dy"":46,""t"":7994},{""x"":1052,""y"":570,""dx"":81,""dy"":19,""t"":8028},{""x"":1044,""y"":532,""dx"":73,""dy"":-19,""t"":8062},{""x"":1029,""y"":498,""dx"":58,""dy"":-53,""t"":8095},{""x"":1014,""y"":496,""dx"":43,""dy"":-55,""t"":8130},{""x"":980,""y"":475,""dx"":9,""dy"":-76,""t"":8164},{""x"":976,""y"":468,""dx"":5,""dy"":-83,""t"":8198},{""x"":973,""y"":464,""dx"":2,""dy"":-87,""t"":8230},{""x"":971,""y"":454,""dx"":0,""dy"":-97,""t"":8266},{""x"":967,""y"":464,""dx"":-4,""dy"":-87,""t"":8300},{""x"":972,""y"":467,""dx"":1,""dy"":-84,""t"":8334},{""x"":939,""y"":447,""dx"":-32,""dy"":-104,""t"":8368},{""x"":941,""y"":452,""dx"":-30,""dy"":-99,""t"":8402},{""x"":944,""y"":453,""dx"":-27,""dy"":-98,""t"":8437},{""x"":955,""y"":468,""dx"":-16,""dy"":-83,""t"":8470},{""x"":979,""y"":480,""dx"":8,""dy"":-71,""t"":8504},{""x"":1002,""y"":489,""dx"":31,""dy"":-62,""t"":8539},{""x"":1006,""y"":495,""dx"":35,""dy"":-56,""t"":8572},{""x"":1015,""y"":504,""dx"":44,""dy"":-47,""t"":8606},{""x"":1022,""y"":511,""dx"":51,""dy"":-40,""t"":8638},{""x"":1023,""y"":510,""dx"":52,""dy"":-41,""t"":8674},{""x"":1012,""y"":535,""dx"":41,""dy"":-16,""t"":8709},{""x"":988,""y"":522,""dx"":17,""dy"":-29,""t"":8742},{""x"":968,""y"":497,""dx"":-3,""dy"":-54,""t"":8776},{""x"":947,""y"":483,""dx"":-24,""dy"":-68,""t"":8810},{""x"":951,""y"":467,""dx"":-20,""dy"":-84,""t"":8844},{""x"":962,""y"":470,""dx"":-9,""dy"":-81,""t"":8877},{""x"":988,""y"":460,""dx"":17,""dy"":-91,""t"":8912},{""x"":1005,""y"":478,""dx"":34,""dy"":-73,""t"":8946},{""x"":1034,""y"":475,""dx"":63,""dy"":-76,""t"":8981},{""x"":1012,""y"":451,""dx"":41,""dy"":-100,""t"":9015}],[{""x"":502,""y"":557,""dx"":11,""dy"":-264,""t"":10033},{""x"":505,""y"":570,""dx"":14,""dy"":-251,""t"":10069},{""x"":516,""y"":608,""dx"":25,""dy"":-213,""t"":10102},{""x"":512,""y"":650,""dx"":21,""dy"":-171,""t"":10136},{""x"":518,""y"":689,""dx"":27,""dy"":-132,""t"":10169},{""x"":523,""y"":721,""dx"":32,""dy"":-100,""t"":10201},{""x"":541,""y"":750,""dx"":50,""dy"":-71,""t"":10238},{""x"":543,""y"":750,""dx"":52,""dy"":-71,""t"":10272},{""x"":550,""y"":752,""dx"":59,""dy"":-69,""t"":10306},{""x"":542,""y"":782,""dx"":51,""dy"":-39,""t"":10339},{""x"":542,""y"":763,""dx"":51,""dy"":-58,""t"":10375},{""x"":546,""y"":752,""dx"":55,""dy"":-69,""t"":10409},{""x"":558,""y"":748,""dx"":67,""dy"":-73,""t"":10441},{""x"":553,""y"":707,""dx"":62,""dy"":-114,""t"":10476},{""x"":558,""y"":674,""dx"":67,""dy"":-147,""t"":10510},{""x"":558,""y"":679,""dx"":67,""dy"":-142,""t"":10544},{""x"":569,""y"":686,""dx"":78,""dy"":-135,""t"":10578},{""x"":576,""y"":705,""dx"":85,""dy"":-116,""t"":10612},{""x"":590,""y"":696,""dx"":99,""dy"":-125,""t"":10646},{""x"":588,""y"":718,""dx"":97,""dy"":-103,""t"":10680},{""x"":563,""y"":718,""dx"":72,""dy"":-103,""t"":10714},{""x"":579,""y"":735,""dx"":88,""dy"":-86,""t"":10748},{""x"":588,""y"":756,""dx"":97,""dy"":-65,""t"":10782},{""x"":586,""y"":752,""dx"":95,""dy"":-69,""t"":10815},{""x"":587,""y"":760,""dx"":96,""dy"":-61,""t"":10851},{""x"":559,""y"":746,""dx"":68,""dy"":-75,""t"":10885},{""x"":573,""y"":731,""dx"":82,""dy"":-90,""t"":10918},{""x"":581,""y"":710,""dx"":90,""dy"":-111,""t"":10952},{""x"":585,""y"":736,""dx"":94,""dy"":-85,""t"":10987},{""x"":591,""y"":731,""dx"":100,""dy"":-90,""t"":11020},{""x"":585,""y"":741,""dx"":94,""dy"":-80,""t"":11053},{""x"":592,""y"":754,""dx"":101,""dy"":-67,""t"":11087},{""x"":573,""y"":770,""dx"":82,""dy"":-51,""t"":11122},{""x"":565,""y"":773,""dx"":74,""dy"":-48,""t"":11156},{""x"":562,""y"":771,""dx"":71,""dy"":-50,""t"":11190},{""x"":569,""y"":765,""dx"":78,""dy"":-56,""t"":11224},{""x"":588,""y"":792,""dx"":97,""dy"":-29,""t"":11258},{""x"":573,""y"":774,""dx"":82,""dy"":-47,""t"":11292},{""x"":587,""y"":776,""dx"":96,""dy"":-45,""t"":11326},{""x"":589,""y"":768,""dx"":98,""dy"":-53,""t"":11360},{""x"":573,""y"":791,""dx"":82,""dy"":-30,""t"":11394},{""x"":591,""y"":797,""dx"":100,""dy"":-24,""t"":11428},{""x"":577,""y"":792,""dx"":86,""dy"":-29,""t"":11462},{""x"":588,""y"":792,""dx"":97,""dy"":-29,""t"":11495},{""x"":557,""y"":795,""dx"":66,""dy"":-26,""t"":11530},{""x"":567,""y"":773,""dx"":76,""dy"":-48,""t"":11564},{""x"":555,""y"":753,""dx"":64,""dy"":-68,""t"":11599},{""x"":570,""y"":748,""dx"":79,""dy"":-73,""t"":11632},{""x"":584,""y"":742,""dx"":93,""dy"":-79,""t"":11665},{""x"":591,""y"":747,""dx"":100,""dy"":-74,""t"":11701},{""x"":583,""y"":738,""dx"":92,""dy"":-83,""t"":11734},{""x"":577,""y"":725,""dx"":86,""dy"":-96,""t"":11768},{""x"":571,""y"":714,""dx"":80,""dy"":-107,""t"":11800},{""x"":560,""y"":701,""dx"":69,""dy"":-120,""t"":11836},{""x"":559,""y"":696,""dx"":68,""dy"":-125,""t"":11871},{""x"":572,""y"":715,""dx"":81,""dy"":-106,""t"":11903},{""x"":593,""y"":728,""dx"":102,""dy"":-93,""t"":11939},{""x"":596,""y"":721,""dx"":105,""dy"":-100,""t"":11972},{""x"":613,""y"":719,""dx"":122,""dy"":-102,""t"":12007},{""x"":614,""y"":720,""dx"":123,""dy"":-101,""t"":12041}],[{""x"":1262,""y"":585,""dx"":-189,""dy"":-236,""t"":13060},{""x"":1256,""y"":596,""dx"":-195,""dy"":-225,""t"":13094},{""x"":1252,""y"":604,""dx"":-199,""dy"":-217,""t"":13128},{""x"":1247,""y"":604,""dx"":-204,""dy"":-217,""t"":13162},{""x"":1228,""y"":611,""dx"":-223,""dy"":-210,""t"":13196},{""x"":1217,""y"":619,""dx"":-234,""dy"":-202,""t"":13230},{""x"":1218,""y"":614,""dx"":-233,""dy"":-207,""t"":13264},{""x"":1217,""y"":619,""dx"":-234,""dy"":-202,""t"":13297},{""x"":1226,""y"":633,""dx"":-225,""dy"":-188,""t"":13332},{""x"":1228,""y"":645,""dx"":-223,""dy"":-176,""t"":13366},{""x"":1230,""y"":654,""dx"":-221,""dy"":-167,""t"":13398},{""x"":1300,""y"":679,""dx"":-151,""dy"":-142,""t"":13434},{""x"":1290,""y"":683,""dx"":-161,""dy"":-138,""t"":13468},{""x"":1279,""y"":694,""dx"":-172,""dy"":-127,""t"":13503},{""x"":1271,""y"":691,""dx"":-180,""dy"":-130,""t"":13537},{""x"":1267,""y"":686,""dx"":-184,""dy"":-135,""t"":13570},{""x"":1259,""y"":684,""dx"":-192,""dy"":-137,""t"":13603},{""x"":1259,""y"":650,""dx"":-192,""dy"":-171,""t"":13639},{""x"":1256,""y"":656,""dx"":-195,""dy"":-165,""t"":13672},{""x"":1244,""y"":661,""dx"":-207,""dy"":-160,""t"":13706},{""x"":1236,""y"":655,""dx"":-215,""dy"":-166,""t"":13740},{""x"":1230,""y"":649,""dx"":-221,""dy"":-172,""t"":13772},{""x"":1228,""y"":646,""dx"":-223,""dy"":-175,""t"":13808},{""x"":1214,""y"":640,""dx"":-237,""dy"":-181,""t"":13842},{""x"":1231,""y"":641,""dx"":-220,""dy"":-180,""t"":13877},{""x"":1268,""y"":680,""dx"":-183,""dy"":-141,""t"":13911},{""x"":1266,""y"":676,""dx"":-185,""dy"":-145,""t"":13944},{""x"":1261,""y"":664,""dx"":-190,""dy"":-157,""t"":13978},{""x"":1258,""y"":660,""dx"":-193,""dy"":-161,""t"":14012},{""x"":1249,""y"":639,""dx"":-202,""dy"":-182,""t"":14046},{""x"":1233,""y"":616,""dx"":-218,""dy"":-205,""t"":14080},{""x"":1224,""y"":621,""dx"":-227,""dy"":-200,""t"":14114},{""x"":1202,""y"":665,""dx"":-249,""dy"":-156,""t"":14148},{""x"":1198,""y"":834,""dx"":-253,""dy"":13,""t"":14182},{""x"":1200,""y"":929,""dx"":-251,""dy"":108,""t"":14216},{""x"":1175,""y"":945,""dx"":-276,""dy"":124,""t"":14250},{""x"":1182,""y"":949,""dx"":-269,""dy"":128,""t"":14285},{""x"":1164,""y"":924,""dx"":-287,""dy"":103,""t"":14318},{""x"":1181,""y"":891,""dx"":-270,""dy"":70,""t"":14352},{""x"":1186,""y"":841,""dx"":-265,""dy"":20,""t"":14386},{""x"":1212,""y"":816,""dx"":-239,""dy"":-5,""t"":14420},{""x"":1214,""y"":758,""dx"":-237,""dy"":-63,""t"":14454},{""x"":1219,""y"":714,""dx"":-232,""dy"":-107,""t"":14487},{""x"":1207,""y"":681,""dx"":-244,""dy"":-140,""t"":14522},{""x"":1219,""y"":655,""dx"":-232,""dy"":-166,""t"":14556},{""x"":1214,""y"":639,""dx"":-237,""dy"":-182,""t"":14590},{""x"":1216,""y"":616,""dx"":-235,""dy"":-205,""t"":14624},{""x"":1209,""y"":603,""dx"":-242,""dy"":-218,""t"":14658},{""x"":1208,""y"":585,""dx"":-243,""dy"":-236,""t"":14692},{""x"":1212,""y"":565,""dx"":-239,""dy"":-256,""t"":14726},{""x"":1204,""y"":555,""dx"":-247,""dy"":-266,""t"":14760},{""x"":1200,""y"":554,""dx"":-251,""dy"":-267,""t"":14795},{""x"":1211,""y"":557,""dx"":-240,""dy"":-264,""t"":14828},{""x"":1220,""y"":550,""dx"":-231,""dy"":-271,""t"":14862},{""x"":1225,""y"":543,""dx"":-226,""dy"":-278,""t"":14896},{""x"":1229,""y"":551,""dx"":-222,""dy"":-270,""t"":14929},{""x"":1239,""y"":560,""dx"":-212,""dy"":-261,""t"":14964},{""x"":1237,""y"":562,""dx"":-214,""dy"":-259,""t"":14998},{""x"":1235,""y"":566,""dx"":-216,""dy"":-255,""t"":15033}]]","[33.89830508474576,84.7457627118644,86.66666666666667,95,0]","[{""x"":-166.28813559322035,""y"":27.576271186440678,""r"":90.67127173134864},{""x"":-61.3728813559322,""y"":45.45762711864407,""r"":91.81942109490761},{""x"":18.383333333333333,""y"":25.133333333333333,""r"":131.6240832256235},{""x"":76.6,""y"":-88.95,""r"":49.31001818037683},{""x"":-221.8135593220339,""y"":-155.52542372881356,""r"":52.67607101274585}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.39","validate","","","","","","","","","","",""
