"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4850","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4860","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8321","0.0-2.0-0.0","","","","","3458","{""name"":""shh"",""age"":""27""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11600","0.0-2.0-1.0","","","","","3278","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14128","0.0-3.0","","","","","2526"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19568","0.0-4.0","","","","","","","","","1455","","","","","","","","","","","","","","","",""
"","html-button-response","6","20840","0.0-5.0-0.0","","","","","1270","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","33866","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","36712","0.0-5.0-2.0","","","","","2845","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","55939","0.0-5.0-3.0","","","","","","","","","","[[{""x"":528,""y"":482,""dx"":37,""dy"":201,""t"":991},{""x"":545,""y"":495,""dx"":54,""dy"":214,""t"":1024},{""x"":581,""y"":497,""dx"":90,""dy"":216,""t"":1055},{""x"":579,""y"":502,""dx"":88,""dy"":221,""t"":1093},{""x"":559,""y"":462,""dx"":68,""dy"":181,""t"":1126},{""x"":569,""y"":475,""dx"":78,""dy"":194,""t"":1159},{""x"":588,""y"":437,""dx"":97,""dy"":156,""t"":1194},{""x"":578,""y"":416,""dx"":87,""dy"":135,""t"":1227},{""x"":578,""y"":430,""dx"":87,""dy"":149,""t"":1261},{""x"":584,""y"":424,""dx"":93,""dy"":143,""t"":1296},{""x"":587,""y"":444,""dx"":96,""dy"":163,""t"":1330},{""x"":594,""y"":440,""dx"":103,""dy"":159,""t"":1363},{""x"":571,""y"":449,""dx"":80,""dy"":168,""t"":1398},{""x"":547,""y"":464,""dx"":56,""dy"":183,""t"":1432},{""x"":527,""y"":477,""dx"":36,""dy"":196,""t"":1463},{""x"":534,""y"":500,""dx"":43,""dy"":219,""t"":1500},{""x"":532,""y"":498,""dx"":41,""dy"":217,""t"":1534},{""x"":539,""y"":501,""dx"":48,""dy"":220,""t"":1567},{""x"":541,""y"":491,""dx"":50,""dy"":210,""t"":1602},{""x"":543,""y"":473,""dx"":52,""dy"":192,""t"":1637},{""x"":560,""y"":471,""dx"":69,""dy"":190,""t"":1671},{""x"":561,""y"":468,""dx"":70,""dy"":187,""t"":1703},{""x"":550,""y"":468,""dx"":59,""dy"":187,""t"":1738},{""x"":557,""y"":459,""dx"":66,""dy"":178,""t"":1771},{""x"":558,""y"":464,""dx"":67,""dy"":183,""t"":1806},{""x"":540,""y"":433,""dx"":49,""dy"":152,""t"":1841},{""x"":539,""y"":440,""dx"":48,""dy"":159,""t"":1875},{""x"":529,""y"":417,""dx"":38,""dy"":136,""t"":1908},{""x"":558,""y"":403,""dx"":67,""dy"":122,""t"":1941},{""x"":564,""y"":380,""dx"":73,""dy"":99,""t"":1976},{""x"":565,""y"":373,""dx"":74,""dy"":92,""t"":2011},{""x"":571,""y"":380,""dx"":80,""dy"":99,""t"":2044},{""x"":577,""y"":382,""dx"":86,""dy"":101,""t"":2078},{""x"":565,""y"":397,""dx"":74,""dy"":116,""t"":2111},{""x"":545,""y"":404,""dx"":54,""dy"":123,""t"":2146},{""x"":544,""y"":403,""dx"":53,""dy"":122,""t"":2181},{""x"":536,""y"":412,""dx"":45,""dy"":131,""t"":2213},{""x"":539,""y"":432,""dx"":48,""dy"":151,""t"":2248},{""x"":563,""y"":455,""dx"":72,""dy"":174,""t"":2283},{""x"":564,""y"":445,""dx"":73,""dy"":164,""t"":2316},{""x"":546,""y"":451,""dx"":55,""dy"":170,""t"":2350},{""x"":545,""y"":460,""dx"":54,""dy"":179,""t"":2384},{""x"":559,""y"":468,""dx"":68,""dy"":187,""t"":2418},{""x"":574,""y"":463,""dx"":83,""dy"":182,""t"":2452},{""x"":571,""y"":466,""dx"":80,""dy"":185,""t"":2486},{""x"":559,""y"":470,""dx"":68,""dy"":189,""t"":2520},{""x"":555,""y"":461,""dx"":64,""dy"":180,""t"":2554},{""x"":563,""y"":461,""dx"":72,""dy"":180,""t"":2587},{""x"":555,""y"":458,""dx"":64,""dy"":177,""t"":2621},{""x"":548,""y"":455,""dx"":57,""dy"":174,""t"":2654},{""x"":561,""y"":433,""dx"":70,""dy"":152,""t"":2691},{""x"":558,""y"":420,""dx"":67,""dy"":139,""t"":2723},{""x"":530,""y"":387,""dx"":39,""dy"":106,""t"":2757},{""x"":542,""y"":374,""dx"":51,""dy"":93,""t"":2792},{""x"":562,""y"":416,""dx"":71,""dy"":135,""t"":2825},{""x"":562,""y"":431,""dx"":71,""dy"":150,""t"":2859},{""x"":552,""y"":417,""dx"":61,""dy"":136,""t"":2894},{""x"":549,""y"":393,""dx"":58,""dy"":112,""t"":2927},{""x"":531,""y"":380,""dx"":40,""dy"":99,""t"":2962}],[{""x"":1574,""y"":409,""dx"":123,""dy"":128,""t"":4016},{""x"":1567,""y"":413,""dx"":116,""dy"":132,""t"":4050},{""x"":1549,""y"":402,""dx"":98,""dy"":121,""t"":4085},{""x"":1546,""y"":392,""dx"":95,""dy"":111,""t"":4119},{""x"":1535,""y"":379,""dx"":84,""dy"":98,""t"":4152},{""x"":1505,""y"":378,""dx"":54,""dy"":97,""t"":4186},{""x"":1501,""y"":368,""dx"":50,""dy"":87,""t"":4220},{""x"":1495,""y"":388,""dx"":44,""dy"":107,""t"":4253},{""x"":1515,""y"":391,""dx"":64,""dy"":110,""t"":4288},{""x"":1491,""y"":348,""dx"":40,""dy"":67,""t"":4322},{""x"":1486,""y"":350,""dx"":35,""dy"":69,""t"":4356},{""x"":1492,""y"":356,""dx"":41,""dy"":75,""t"":4391},{""x"":1482,""y"":372,""dx"":31,""dy"":91,""t"":4423},{""x"":1478,""y"":370,""dx"":27,""dy"":89,""t"":4459},{""x"":1490,""y"":374,""dx"":39,""dy"":93,""t"":4491},{""x"":1503,""y"":376,""dx"":52,""dy"":95,""t"":4526},{""x"":1501,""y"":381,""dx"":50,""dy"":100,""t"":4560},{""x"":1486,""y"":383,""dx"":35,""dy"":102,""t"":4594},{""x"":1473,""y"":384,""dx"":22,""dy"":103,""t"":4626},{""x"":1481,""y"":384,""dx"":30,""dy"":103,""t"":4661},{""x"":1462,""y"":357,""dx"":11,""dy"":76,""t"":4696},{""x"":1466,""y"":360,""dx"":15,""dy"":79,""t"":4730},{""x"":1471,""y"":370,""dx"":20,""dy"":89,""t"":4763},{""x"":1478,""y"":383,""dx"":27,""dy"":102,""t"":4798},{""x"":1473,""y"":373,""dx"":22,""dy"":92,""t"":4831},{""x"":1495,""y"":379,""dx"":44,""dy"":98,""t"":4866},{""x"":1486,""y"":386,""dx"":35,""dy"":105,""t"":4900},{""x"":1522,""y"":414,""dx"":71,""dy"":133,""t"":4934},{""x"":1512,""y"":403,""dx"":61,""dy"":122,""t"":4968},{""x"":1526,""y"":402,""dx"":75,""dy"":121,""t"":5002},{""x"":1507,""y"":395,""dx"":56,""dy"":114,""t"":5033},{""x"":1535,""y"":411,""dx"":84,""dy"":130,""t"":5071},{""x"":1534,""y"":424,""dx"":83,""dy"":143,""t"":5103},{""x"":1542,""y"":439,""dx"":91,""dy"":158,""t"":5138},{""x"":1520,""y"":427,""dx"":69,""dy"":146,""t"":5172},{""x"":1496,""y"":431,""dx"":45,""dy"":150,""t"":5206},{""x"":1470,""y"":407,""dx"":19,""dy"":126,""t"":5239},{""x"":1452,""y"":400,""dx"":1,""dy"":119,""t"":5274},{""x"":1447,""y"":385,""dx"":-4,""dy"":104,""t"":5308},{""x"":1461,""y"":381,""dx"":10,""dy"":100,""t"":5343},{""x"":1450,""y"":382,""dx"":-1,""dy"":101,""t"":5376},{""x"":1442,""y"":388,""dx"":-9,""dy"":107,""t"":5410},{""x"":1444,""y"":369,""dx"":-7,""dy"":88,""t"":5444},{""x"":1447,""y"":356,""dx"":-4,""dy"":75,""t"":5478},{""x"":1453,""y"":360,""dx"":2,""dy"":79,""t"":5511},{""x"":1456,""y"":369,""dx"":5,""dy"":88,""t"":5545},{""x"":1447,""y"":359,""dx"":-4,""dy"":78,""t"":5581},{""x"":1455,""y"":392,""dx"":4,""dy"":111,""t"":5614},{""x"":1461,""y"":386,""dx"":10,""dy"":105,""t"":5648},{""x"":1478,""y"":411,""dx"":27,""dy"":130,""t"":5682},{""x"":1462,""y"":396,""dx"":11,""dy"":115,""t"":5716},{""x"":1462,""y"":405,""dx"":11,""dy"":124,""t"":5750},{""x"":1478,""y"":395,""dx"":27,""dy"":114,""t"":5784},{""x"":1496,""y"":398,""dx"":45,""dy"":117,""t"":5818},{""x"":1479,""y"":381,""dx"":28,""dy"":100,""t"":5852},{""x"":1485,""y"":383,""dx"":34,""dy"":102,""t"":5886},{""x"":1479,""y"":398,""dx"":28,""dy"":117,""t"":5919},{""x"":1492,""y"":399,""dx"":41,""dy"":118,""t"":5954},{""x"":1465,""y"":379,""dx"":14,""dy"":98,""t"":5988}],[{""x"":938,""y"":501,""dx"":-33,""dy"":-50,""t"":7008},{""x"":945,""y"":479,""dx"":-26,""dy"":-72,""t"":7041},{""x"":979,""y"":492,""dx"":8,""dy"":-59,""t"":7076},{""x"":993,""y"":502,""dx"":22,""dy"":-49,""t"":7111},{""x"":1005,""y"":489,""dx"":34,""dy"":-62,""t"":7144},{""x"":1001,""y"":484,""dx"":30,""dy"":-67,""t"":7178},{""x"":997,""y"":484,""dx"":26,""dy"":-67,""t"":7211},{""x"":1010,""y"":475,""dx"":39,""dy"":-76,""t"":7245},{""x"":1003,""y"":474,""dx"":32,""dy"":-77,""t"":7281},{""x"":997,""y"":476,""dx"":26,""dy"":-75,""t"":7313},{""x"":1018,""y"":490,""dx"":47,""dy"":-61,""t"":7348},{""x"":1014,""y"":488,""dx"":43,""dy"":-63,""t"":7382},{""x"":1016,""y"":500,""dx"":45,""dy"":-51,""t"":7416},{""x"":1026,""y"":522,""dx"":55,""dy"":-29,""t"":7450},{""x"":1001,""y"":522,""dx"":30,""dy"":-29,""t"":7484},{""x"":1006,""y"":530,""dx"":35,""dy"":-21,""t"":7518},{""x"":995,""y"":520,""dx"":24,""dy"":-31,""t"":7552},{""x"":983,""y"":529,""dx"":12,""dy"":-22,""t"":7586},{""x"":987,""y"":551,""dx"":16,""dy"":0,""t"":7621},{""x"":964,""y"":529,""dx"":-7,""dy"":-22,""t"":7654},{""x"":963,""y"":534,""dx"":-8,""dy"":-17,""t"":7689},{""x"":962,""y"":529,""dx"":-9,""dy"":-22,""t"":7722},{""x"":945,""y"":536,""dx"":-26,""dy"":-15,""t"":7755},{""x"":936,""y"":528,""dx"":-35,""dy"":-23,""t"":7788},{""x"":942,""y"":535,""dx"":-29,""dy"":-16,""t"":7824},{""x"":939,""y"":536,""dx"":-32,""dy"":-15,""t"":7859},{""x"":931,""y"":531,""dx"":-40,""dy"":-20,""t"":7891},{""x"":934,""y"":550,""dx"":-37,""dy"":-1,""t"":7926},{""x"":924,""y"":541,""dx"":-47,""dy"":-10,""t"":7960},{""x"":943,""y"":535,""dx"":-28,""dy"":-16,""t"":7994},{""x"":958,""y"":516,""dx"":-13,""dy"":-35,""t"":8028},{""x"":988,""y"":530,""dx"":17,""dy"":-21,""t"":8061},{""x"":1003,""y"":520,""dx"":32,""dy"":-31,""t"":8097},{""x"":1024,""y"":554,""dx"":53,""dy"":3,""t"":8130},{""x"":1021,""y"":579,""dx"":50,""dy"":28,""t"":8163},{""x"":1018,""y"":600,""dx"":47,""dy"":49,""t"":8195},{""x"":1008,""y"":590,""dx"":37,""dy"":39,""t"":8231},{""x"":989,""y"":608,""dx"":18,""dy"":57,""t"":8266},{""x"":988,""y"":605,""dx"":17,""dy"":54,""t"":8299},{""x"":990,""y"":613,""dx"":19,""dy"":62,""t"":8334},{""x"":987,""y"":598,""dx"":16,""dy"":47,""t"":8368},{""x"":986,""y"":628,""dx"":15,""dy"":77,""t"":8403},{""x"":997,""y"":606,""dx"":26,""dy"":55,""t"":8436},{""x"":1010,""y"":612,""dx"":39,""dy"":61,""t"":8471},{""x"":1005,""y"":596,""dx"":34,""dy"":45,""t"":8504},{""x"":989,""y"":601,""dx"":18,""dy"":50,""t"":8538},{""x"":984,""y"":589,""dx"":13,""dy"":38,""t"":8571},{""x"":967,""y"":596,""dx"":-4,""dy"":45,""t"":8606},{""x"":984,""y"":611,""dx"":13,""dy"":60,""t"":8639},{""x"":989,""y"":586,""dx"":18,""dy"":35,""t"":8674},{""x"":990,""y"":593,""dx"":19,""dy"":42,""t"":8708},{""x"":980,""y"":572,""dx"":9,""dy"":21,""t"":8742},{""x"":975,""y"":584,""dx"":4,""dy"":33,""t"":8776},{""x"":991,""y"":570,""dx"":20,""dy"":19,""t"":8810},{""x"":995,""y"":583,""dx"":24,""dy"":32,""t"":8844},{""x"":999,""y"":571,""dx"":28,""dy"":20,""t"":8877},{""x"":1019,""y"":584,""dx"":48,""dy"":33,""t"":8911},{""x"":986,""y"":531,""dx"":15,""dy"":-20,""t"":8946},{""x"":1003,""y"":554,""dx"":32,""dy"":3,""t"":8980}],[{""x"":465,""y"":617,""dx"":-26,""dy"":-204,""t"":10034},{""x"":480,""y"":615,""dx"":-11,""dy"":-206,""t"":10067},{""x"":476,""y"":604,""dx"":-15,""dy"":-217,""t"":10101},{""x"":474,""y"":608,""dx"":-17,""dy"":-213,""t"":10136},{""x"":486,""y"":598,""dx"":-5,""dy"":-223,""t"":10168},{""x"":479,""y"":620,""dx"":-12,""dy"":-201,""t"":10204},{""x"":465,""y"":614,""dx"":-26,""dy"":-207,""t"":10238},{""x"":439,""y"":608,""dx"":-52,""dy"":-213,""t"":10313},{""x"":452,""y"":610,""dx"":-39,""dy"":-211,""t"":10340},{""x"":461,""y"":619,""dx"":-30,""dy"":-202,""t"":10374},{""x"":483,""y"":661,""dx"":-8,""dy"":-160,""t"":10408},{""x"":494,""y"":656,""dx"":3,""dy"":-165,""t"":10442},{""x"":504,""y"":685,""dx"":13,""dy"":-136,""t"":10476},{""x"":503,""y"":676,""dx"":12,""dy"":-145,""t"":10510},{""x"":524,""y"":673,""dx"":33,""dy"":-148,""t"":10544},{""x"":527,""y"":668,""dx"":36,""dy"":-153,""t"":10577},{""x"":503,""y"":643,""dx"":12,""dy"":-178,""t"":10612},{""x"":497,""y"":654,""dx"":6,""dy"":-167,""t"":10646},{""x"":505,""y"":730,""dx"":14,""dy"":-91,""t"":10680},{""x"":557,""y"":827,""dx"":66,""dy"":6,""t"":10713},{""x"":585,""y"":920,""dx"":94,""dy"":99,""t"":10749},{""x"":592,""y"":997,""dx"":101,""dy"":176,""t"":10782},{""x"":603,""y"":1031,""dx"":112,""dy"":210,""t"":10816},{""x"":596,""y"":1019,""dx"":105,""dy"":198,""t"":10850},{""x"":590,""y"":986,""dx"":99,""dy"":165,""t"":10884},{""x"":565,""y"":943,""dx"":74,""dy"":122,""t"":10917},{""x"":541,""y"":907,""dx"":50,""dy"":86,""t"":10952},{""x"":525,""y"":856,""dx"":34,""dy"":35,""t"":10987},{""x"":520,""y"":823,""dx"":29,""dy"":2,""t"":11019},{""x"":515,""y"":765,""dx"":24,""dy"":-56,""t"":11054},{""x"":521,""y"":737,""dx"":30,""dy"":-84,""t"":11089},{""x"":529,""y"":692,""dx"":38,""dy"":-129,""t"":11122},{""x"":541,""y"":661,""dx"":50,""dy"":-160,""t"":11156},{""x"":539,""y"":638,""dx"":48,""dy"":-183,""t"":11190},{""x"":532,""y"":628,""dx"":41,""dy"":-193,""t"":11223},{""x"":507,""y"":626,""dx"":16,""dy"":-195,""t"":11258},{""x"":510,""y"":604,""dx"":19,""dy"":-217,""t"":11292},{""x"":492,""y"":580,""dx"":1,""dy"":-241,""t"":11325},{""x"":484,""y"":571,""dx"":-7,""dy"":-250,""t"":11359},{""x"":484,""y"":583,""dx"":-7,""dy"":-238,""t"":11394},{""x"":478,""y"":616,""dx"":-13,""dy"":-205,""t"":11428},{""x"":456,""y"":605,""dx"":-35,""dy"":-216,""t"":11461},{""x"":455,""y"":606,""dx"":-36,""dy"":-215,""t"":11497},{""x"":424,""y"":584,""dx"":-67,""dy"":-237,""t"":11529},{""x"":443,""y"":630,""dx"":-48,""dy"":-191,""t"":11563},{""x"":446,""y"":643,""dx"":-45,""dy"":-178,""t"":11599},{""x"":472,""y"":656,""dx"":-19,""dy"":-165,""t"":11631},{""x"":465,""y"":651,""dx"":-26,""dy"":-170,""t"":11665},{""x"":504,""y"":655,""dx"":13,""dy"":-166,""t"":11700},{""x"":493,""y"":663,""dx"":2,""dy"":-158,""t"":11734},{""x"":487,""y"":657,""dx"":-4,""dy"":-164,""t"":11766},{""x"":484,""y"":648,""dx"":-7,""dy"":-173,""t"":11802},{""x"":509,""y"":662,""dx"":18,""dy"":-159,""t"":11835},{""x"":499,""y"":670,""dx"":8,""dy"":-151,""t"":11870},{""x"":470,""y"":665,""dx"":-21,""dy"":-156,""t"":11903},{""x"":485,""y"":666,""dx"":-6,""dy"":-155,""t"":11937},{""x"":473,""y"":673,""dx"":-18,""dy"":-148,""t"":11972},{""x"":477,""y"":664,""dx"":-14,""dy"":-157,""t"":12006}],[{""x"":1277,""y"":726,""dx"":-174,""dy"":-95,""t"":13026},{""x"":1290,""y"":706,""dx"":-161,""dy"":-115,""t"":13060},{""x"":1279,""y"":685,""dx"":-172,""dy"":-136,""t"":13095},{""x"":1307,""y"":681,""dx"":-144,""dy"":-140,""t"":13127},{""x"":1312,""y"":685,""dx"":-139,""dy"":-136,""t"":13161},{""x"":1371,""y"":688,""dx"":-80,""dy"":-133,""t"":13196},{""x"":1377,""y"":664,""dx"":-74,""dy"":-157,""t"":13231},{""x"":1381,""y"":679,""dx"":-70,""dy"":-142,""t"":13263},{""x"":1373,""y"":658,""dx"":-78,""dy"":-163,""t"":13298},{""x"":1380,""y"":639,""dx"":-71,""dy"":-182,""t"":13332},{""x"":1385,""y"":623,""dx"":-66,""dy"":-198,""t"":13363},{""x"":1381,""y"":633,""dx"":-70,""dy"":-188,""t"":13400},{""x"":1354,""y"":646,""dx"":-97,""dy"":-175,""t"":13434},{""x"":1327,""y"":682,""dx"":-124,""dy"":-139,""t"":13467},{""x"":1346,""y"":683,""dx"":-105,""dy"":-138,""t"":13501},{""x"":1362,""y"":688,""dx"":-89,""dy"":-133,""t"":13536},{""x"":1352,""y"":691,""dx"":-99,""dy"":-130,""t"":13570},{""x"":1346,""y"":700,""dx"":-105,""dy"":-121,""t"":13604},{""x"":1385,""y"":693,""dx"":-66,""dy"":-128,""t"":13638},{""x"":1366,""y"":685,""dx"":-85,""dy"":-136,""t"":13671},{""x"":1373,""y"":660,""dx"":-78,""dy"":-161,""t"":13706},{""x"":1369,""y"":647,""dx"":-82,""dy"":-174,""t"":13737},{""x"":1370,""y"":630,""dx"":-81,""dy"":-191,""t"":13774},{""x"":1357,""y"":615,""dx"":-94,""dy"":-206,""t"":13808},{""x"":1342,""y"":610,""dx"":-109,""dy"":-211,""t"":13842},{""x"":1331,""y"":602,""dx"":-120,""dy"":-219,""t"":13876},{""x"":1316,""y"":608,""dx"":-135,""dy"":-213,""t"":13911},{""x"":1306,""y"":621,""dx"":-145,""dy"":-200,""t"":13944},{""x"":1322,""y"":638,""dx"":-129,""dy"":-183,""t"":13978},{""x"":1338,""y"":656,""dx"":-113,""dy"":-165,""t"":14011},{""x"":1319,""y"":676,""dx"":-132,""dy"":-145,""t"":14046},{""x"":1335,""y"":668,""dx"":-116,""dy"":-153,""t"":14079},{""x"":1302,""y"":670,""dx"":-149,""dy"":-151,""t"":14113},{""x"":1321,""y"":667,""dx"":-130,""dy"":-154,""t"":14148},{""x"":1299,""y"":683,""dx"":-152,""dy"":-138,""t"":14182},{""x"":1285,""y"":676,""dx"":-166,""dy"":-145,""t"":14216},{""x"":1271,""y"":677,""dx"":-180,""dy"":-144,""t"":14250},{""x"":1244,""y"":710,""dx"":-207,""dy"":-111,""t"":14284},{""x"":1223,""y"":731,""dx"":-228,""dy"":-90,""t"":14318},{""x"":1228,""y"":739,""dx"":-223,""dy"":-82,""t"":14352},{""x"":1266,""y"":732,""dx"":-185,""dy"":-89,""t"":14386},{""x"":1257,""y"":741,""dx"":-194,""dy"":-80,""t"":14420},{""x"":1237,""y"":719,""dx"":-214,""dy"":-102,""t"":14454},{""x"":1219,""y"":703,""dx"":-232,""dy"":-118,""t"":14487},{""x"":1275,""y"":691,""dx"":-176,""dy"":-130,""t"":14523},{""x"":1311,""y"":704,""dx"":-140,""dy"":-117,""t"":14557},{""x"":1363,""y"":703,""dx"":-88,""dy"":-118,""t"":14589},{""x"":1355,""y"":695,""dx"":-96,""dy"":-126,""t"":14624},{""x"":1341,""y"":721,""dx"":-110,""dy"":-100,""t"":14658},{""x"":1368,""y"":703,""dx"":-83,""dy"":-118,""t"":14691},{""x"":1408,""y"":698,""dx"":-43,""dy"":-123,""t"":14726},{""x"":1405,""y"":679,""dx"":-46,""dy"":-142,""t"":14760},{""x"":1430,""y"":669,""dx"":-21,""dy"":-152,""t"":14794},{""x"":1461,""y"":670,""dx"":10,""dy"":-151,""t"":14827},{""x"":1450,""y"":671,""dx"":-1,""dy"":-150,""t"":14862},{""x"":1430,""y"":663,""dx"":-21,""dy"":-158,""t"":14895},{""x"":1433,""y"":656,""dx"":-18,""dy"":-165,""t"":14928},{""x"":1419,""y"":669,""dx"":-32,""dy"":-152,""t"":14964},{""x"":1344,""y"":657,""dx"":-107,""dy"":-164,""t"":14998}]]","[77.96610169491525,100,100,63.793103448275865,57.6271186440678]","[{""x"":65.11864406779661,""y"":161.4915254237288,""r"":30.91817652706398},{""x"":37.74576271186441,""y"":105.96610169491525,""r"":28.24615808761813},{""x"":14.084745762711865,""y"":-4.016949152542373,""r"":48.73978653166187},{""x"":10.120689655172415,""y"":-128.4655172413793,""r"":112.02400492866217},{""x"":-112.45762711864407,""y"":-145.35593220338984,""r"":53.543555928790994}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
