"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","3195","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3199","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9441","0.0-2.0-0.0","","","","","6238","{""name"":""张梦洋"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11065","0.0-2.0-1.0","","","","","1622","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","13265","0.0-3.0","","","","","2198"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","30224","0.0-4.0","","","","","","","","","1441","","","","","","","","","","","","","","","",""
"","html-button-response","6","31177","0.0-5.0-0.0","","","","","950","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42044","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","42688","0.0-5.0-2.0","","","","","644","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","59784","0.0-5.0-3.0","","","","","","","","","","[[{""x"":619,""y"":235,""dx"":128,""dy"":-46,""t"":990},{""x"":609,""y"":225,""dx"":118,""dy"":-56,""t"":1024},{""x"":606,""y"":213,""dx"":115,""dy"":-68,""t"":1058},{""x"":601,""y"":209,""dx"":110,""dy"":-72,""t"":1092},{""x"":628,""y"":194,""dx"":137,""dy"":-87,""t"":1126},{""x"":655,""y"":191,""dx"":164,""dy"":-90,""t"":1160},{""x"":669,""y"":182,""dx"":178,""dy"":-99,""t"":1194},{""x"":672,""y"":177,""dx"":181,""dy"":-104,""t"":1229},{""x"":693,""y"":183,""dx"":202,""dy"":-98,""t"":1262},{""x"":695,""y"":180,""dx"":204,""dy"":-101,""t"":1295},{""x"":709,""y"":171,""dx"":218,""dy"":-110,""t"":1330},{""x"":684,""y"":194,""dx"":193,""dy"":-87,""t"":1363},{""x"":657,""y"":218,""dx"":166,""dy"":-63,""t"":1398},{""x"":652,""y"":222,""dx"":161,""dy"":-59,""t"":1432},{""x"":637,""y"":221,""dx"":146,""dy"":-60,""t"":1466},{""x"":623,""y"":216,""dx"":132,""dy"":-65,""t"":1500},{""x"":619,""y"":204,""dx"":128,""dy"":-77,""t"":1534},{""x"":600,""y"":216,""dx"":109,""dy"":-65,""t"":1568},{""x"":570,""y"":234,""dx"":79,""dy"":-47,""t"":1601},{""x"":565,""y"":252,""dx"":74,""dy"":-29,""t"":1636},{""x"":576,""y"":239,""dx"":85,""dy"":-42,""t"":1669},{""x"":606,""y"":236,""dx"":115,""dy"":-45,""t"":1704},{""x"":626,""y"":234,""dx"":135,""dy"":-47,""t"":1738},{""x"":646,""y"":230,""dx"":155,""dy"":-51,""t"":1771},{""x"":669,""y"":231,""dx"":178,""dy"":-50,""t"":1806},{""x"":688,""y"":231,""dx"":197,""dy"":-50,""t"":1837},{""x"":688,""y"":227,""dx"":197,""dy"":-54,""t"":1874},{""x"":694,""y"":245,""dx"":203,""dy"":-36,""t"":1908},{""x"":689,""y"":269,""dx"":198,""dy"":-12,""t"":1941},{""x"":674,""y"":282,""dx"":183,""dy"":1,""t"":1976},{""x"":663,""y"":290,""dx"":172,""dy"":9,""t"":2009},{""x"":660,""y"":293,""dx"":169,""dy"":12,""t"":2043},{""x"":665,""y"":302,""dx"":174,""dy"":21,""t"":2078},{""x"":662,""y"":302,""dx"":171,""dy"":21,""t"":2112},{""x"":645,""y"":284,""dx"":154,""dy"":3,""t"":2146},{""x"":636,""y"":269,""dx"":145,""dy"":-12,""t"":2179},{""x"":649,""y"":254,""dx"":158,""dy"":-27,""t"":2214},{""x"":661,""y"":240,""dx"":170,""dy"":-41,""t"":2245},{""x"":671,""y"":216,""dx"":180,""dy"":-65,""t"":2282},{""x"":659,""y"":230,""dx"":168,""dy"":-51,""t"":2315},{""x"":655,""y"":229,""dx"":164,""dy"":-52,""t"":2349},{""x"":627,""y"":245,""dx"":136,""dy"":-36,""t"":2383},{""x"":599,""y"":287,""dx"":108,""dy"":6,""t"":2418},{""x"":561,""y"":314,""dx"":70,""dy"":33,""t"":2451},{""x"":532,""y"":338,""dx"":41,""dy"":57,""t"":2486},{""x"":507,""y"":360,""dx"":16,""dy"":79,""t"":2520},{""x"":506,""y"":360,""dx"":15,""dy"":79,""t"":2553},{""x"":538,""y"":367,""dx"":47,""dy"":86,""t"":2589},{""x"":692,""y"":397,""dx"":201,""dy"":116,""t"":2621},{""x"":881,""y"":404,""dx"":390,""dy"":123,""t"":2655},{""x"":1022,""y"":393,""dx"":531,""dy"":112,""t"":2690},{""x"":1137,""y"":382,""dx"":646,""dy"":101,""t"":2724},{""x"":1227,""y"":370,""dx"":736,""dy"":89,""t"":2757},{""x"":1289,""y"":351,""dx"":798,""dy"":70,""t"":2792},{""x"":1342,""y"":338,""dx"":851,""dy"":57,""t"":2825},{""x"":1372,""y"":354,""dx"":881,""dy"":73,""t"":2860},{""x"":1392,""y"":321,""dx"":901,""dy"":40,""t"":2894},{""x"":1414,""y"":306,""dx"":923,""dy"":25,""t"":2928},{""x"":1408,""y"":291,""dx"":917,""dy"":10,""t"":2962},{""x"":1438,""y"":270,""dx"":947,""dy"":-11,""t"":2996}],[{""x"":1431,""y"":328,""dx"":-20,""dy"":47,""t"":4016},{""x"":1407,""y"":329,""dx"":-44,""dy"":48,""t"":4050},{""x"":1395,""y"":325,""dx"":-56,""dy"":44,""t"":4084},{""x"":1386,""y"":321,""dx"":-65,""dy"":40,""t"":4117},{""x"":1429,""y"":346,""dx"":-22,""dy"":65,""t"":4151},{""x"":1429,""y"":358,""dx"":-22,""dy"":77,""t"":4186},{""x"":1450,""y"":371,""dx"":-1,""dy"":90,""t"":4220},{""x"":1448,""y"":379,""dx"":-3,""dy"":98,""t"":4254},{""x"":1457,""y"":377,""dx"":6,""dy"":96,""t"":4288},{""x"":1480,""y"":372,""dx"":29,""dy"":91,""t"":4322},{""x"":1494,""y"":376,""dx"":43,""dy"":95,""t"":4356},{""x"":1513,""y"":408,""dx"":62,""dy"":127,""t"":4390},{""x"":1522,""y"":429,""dx"":71,""dy"":148,""t"":4423},{""x"":1510,""y"":414,""dx"":59,""dy"":133,""t"":4459},{""x"":1502,""y"":427,""dx"":51,""dy"":146,""t"":4492},{""x"":1492,""y"":444,""dx"":41,""dy"":163,""t"":4526},{""x"":1477,""y"":427,""dx"":26,""dy"":146,""t"":4560},{""x"":1481,""y"":422,""dx"":30,""dy"":141,""t"":4595},{""x"":1481,""y"":458,""dx"":30,""dy"":177,""t"":4627},{""x"":1491,""y"":463,""dx"":40,""dy"":182,""t"":4661},{""x"":1486,""y"":452,""dx"":35,""dy"":171,""t"":4695},{""x"":1496,""y"":453,""dx"":45,""dy"":172,""t"":4730},{""x"":1488,""y"":467,""dx"":37,""dy"":186,""t"":4764},{""x"":1498,""y"":463,""dx"":47,""dy"":182,""t"":4798},{""x"":1494,""y"":475,""dx"":43,""dy"":194,""t"":4831},{""x"":1507,""y"":478,""dx"":56,""dy"":197,""t"":4867},{""x"":1478,""y"":493,""dx"":27,""dy"":212,""t"":4899},{""x"":1503,""y"":510,""dx"":52,""dy"":229,""t"":4934},{""x"":1478,""y"":494,""dx"":27,""dy"":213,""t"":4968},{""x"":1484,""y"":488,""dx"":33,""dy"":207,""t"":5002},{""x"":1466,""y"":457,""dx"":15,""dy"":176,""t"":5036},{""x"":1459,""y"":440,""dx"":8,""dy"":159,""t"":5070},{""x"":1443,""y"":407,""dx"":-8,""dy"":126,""t"":5104},{""x"":1422,""y"":407,""dx"":-29,""dy"":126,""t"":5138},{""x"":1443,""y"":439,""dx"":-8,""dy"":158,""t"":5172},{""x"":1431,""y"":427,""dx"":-20,""dy"":146,""t"":5206},{""x"":1447,""y"":420,""dx"":-4,""dy"":139,""t"":5239},{""x"":1453,""y"":420,""dx"":2,""dy"":139,""t"":5274},{""x"":1462,""y"":415,""dx"":11,""dy"":134,""t"":5307},{""x"":1487,""y"":461,""dx"":36,""dy"":180,""t"":5342},{""x"":1480,""y"":453,""dx"":29,""dy"":172,""t"":5376},{""x"":1484,""y"":493,""dx"":33,""dy"":212,""t"":5408},{""x"":1477,""y"":471,""dx"":26,""dy"":190,""t"":5444},{""x"":1464,""y"":456,""dx"":13,""dy"":175,""t"":5478},{""x"":1453,""y"":431,""dx"":2,""dy"":150,""t"":5512},{""x"":1462,""y"":419,""dx"":11,""dy"":138,""t"":5546},{""x"":1441,""y"":392,""dx"":-10,""dy"":111,""t"":5579},{""x"":1458,""y"":413,""dx"":7,""dy"":132,""t"":5614},{""x"":1453,""y"":390,""dx"":2,""dy"":109,""t"":5648},{""x"":1454,""y"":411,""dx"":3,""dy"":130,""t"":5682},{""x"":1468,""y"":416,""dx"":17,""dy"":135,""t"":5740},{""x"":1448,""y"":403,""dx"":-3,""dy"":122,""t"":5752},{""x"":1426,""y"":418,""dx"":-25,""dy"":137,""t"":5783},{""x"":1443,""y"":441,""dx"":-8,""dy"":160,""t"":5815},{""x"":1444,""y"":428,""dx"":-7,""dy"":147,""t"":5851},{""x"":1447,""y"":435,""dx"":-4,""dy"":154,""t"":5886},{""x"":1453,""y"":452,""dx"":2,""dy"":171,""t"":5920},{""x"":1442,""y"":446,""dx"":-9,""dy"":165,""t"":5954},{""x"":1459,""y"":454,""dx"":8,""dy"":173,""t"":5988}],[{""x"":928,""y"":523,""dx"":-43,""dy"":-28,""t"":7041},{""x"":947,""y"":512,""dx"":-24,""dy"":-39,""t"":7076},{""x"":972,""y"":521,""dx"":1,""dy"":-30,""t"":7110},{""x"":991,""y"":529,""dx"":20,""dy"":-22,""t"":7144},{""x"":1007,""y"":527,""dx"":36,""dy"":-24,""t"":7178},{""x"":1007,""y"":530,""dx"":36,""dy"":-21,""t"":7211},{""x"":1013,""y"":539,""dx"":42,""dy"":-12,""t"":7246},{""x"":996,""y"":533,""dx"":25,""dy"":-18,""t"":7280},{""x"":994,""y"":538,""dx"":23,""dy"":-13,""t"":7314},{""x"":986,""y"":526,""dx"":15,""dy"":-25,""t"":7348},{""x"":991,""y"":535,""dx"":20,""dy"":-16,""t"":7380},{""x"":993,""y"":536,""dx"":22,""dy"":-15,""t"":7416},{""x"":981,""y"":527,""dx"":10,""dy"":-24,""t"":7450},{""x"":983,""y"":514,""dx"":12,""dy"":-37,""t"":7483},{""x"":982,""y"":530,""dx"":11,""dy"":-21,""t"":7517},{""x"":979,""y"":520,""dx"":8,""dy"":-31,""t"":7552},{""x"":976,""y"":526,""dx"":5,""dy"":-25,""t"":7586},{""x"":980,""y"":535,""dx"":9,""dy"":-16,""t"":7620},{""x"":968,""y"":550,""dx"":-3,""dy"":-1,""t"":7654},{""x"":964,""y"":526,""dx"":-7,""dy"":-25,""t"":7688},{""x"":928,""y"":524,""dx"":-43,""dy"":-27,""t"":7722},{""x"":936,""y"":555,""dx"":-35,""dy"":4,""t"":7755},{""x"":940,""y"":579,""dx"":-31,""dy"":28,""t"":7789},{""x"":954,""y"":562,""dx"":-17,""dy"":11,""t"":7824},{""x"":975,""y"":572,""dx"":4,""dy"":21,""t"":7857},{""x"":957,""y"":566,""dx"":-14,""dy"":15,""t"":7892},{""x"":975,""y"":580,""dx"":4,""dy"":29,""t"":7926},{""x"":983,""y"":638,""dx"":12,""dy"":87,""t"":7960},{""x"":993,""y"":733,""dx"":22,""dy"":182,""t"":7993},{""x"":976,""y"":818,""dx"":5,""dy"":267,""t"":8027},{""x"":978,""y"":854,""dx"":7,""dy"":303,""t"":8062},{""x"":1002,""y"":841,""dx"":31,""dy"":290,""t"":8097},{""x"":1030,""y"":826,""dx"":59,""dy"":275,""t"":8130},{""x"":1015,""y"":783,""dx"":44,""dy"":232,""t"":8163},{""x"":1013,""y"":704,""dx"":42,""dy"":153,""t"":8198},{""x"":981,""y"":656,""dx"":10,""dy"":105,""t"":8233},{""x"":977,""y"":583,""dx"":6,""dy"":32,""t"":8265},{""x"":939,""y"":554,""dx"":-32,""dy"":3,""t"":8299},{""x"":924,""y"":502,""dx"":-47,""dy"":-49,""t"":8334},{""x"":886,""y"":474,""dx"":-85,""dy"":-77,""t"":8367},{""x"":869,""y"":459,""dx"":-102,""dy"":-92,""t"":8402},{""x"":862,""y"":444,""dx"":-109,""dy"":-107,""t"":8436},{""x"":844,""y"":436,""dx"":-127,""dy"":-115,""t"":8469},{""x"":845,""y"":435,""dx"":-126,""dy"":-116,""t"":8504},{""x"":840,""y"":414,""dx"":-131,""dy"":-137,""t"":8538},{""x"":865,""y"":467,""dx"":-106,""dy"":-84,""t"":8571},{""x"":884,""y"":475,""dx"":-87,""dy"":-76,""t"":8606},{""x"":890,""y"":487,""dx"":-81,""dy"":-64,""t"":8640},{""x"":902,""y"":496,""dx"":-69,""dy"":-55,""t"":8673},{""x"":920,""y"":516,""dx"":-51,""dy"":-35,""t"":8708},{""x"":940,""y"":535,""dx"":-31,""dy"":-16,""t"":8742},{""x"":977,""y"":528,""dx"":6,""dy"":-23,""t"":8776},{""x"":985,""y"":545,""dx"":14,""dy"":-6,""t"":8809},{""x"":990,""y"":558,""dx"":19,""dy"":7,""t"":8843},{""x"":975,""y"":565,""dx"":4,""dy"":14,""t"":8878},{""x"":977,""y"":547,""dx"":6,""dy"":-4,""t"":8913},{""x"":964,""y"":514,""dx"":-7,""dy"":-37,""t"":8943},{""x"":935,""y"":525,""dx"":-36,""dy"":-26,""t"":8980},{""x"":956,""y"":529,""dx"":-15,""dy"":-22,""t"":9014}],[{""x"":671,""y"":691,""dx"":180,""dy"":-130,""t"":10034},{""x"":669,""y"":701,""dx"":178,""dy"":-120,""t"":10067},{""x"":677,""y"":701,""dx"":186,""dy"":-120,""t"":10102},{""x"":691,""y"":700,""dx"":200,""dy"":-121,""t"":10136},{""x"":693,""y"":696,""dx"":202,""dy"":-125,""t"":10170},{""x"":687,""y"":704,""dx"":196,""dy"":-117,""t"":10203},{""x"":671,""y"":700,""dx"":180,""dy"":-121,""t"":10238},{""x"":652,""y"":696,""dx"":161,""dy"":-125,""t"":10272},{""x"":629,""y"":691,""dx"":138,""dy"":-130,""t"":10305},{""x"":637,""y"":706,""dx"":146,""dy"":-115,""t"":10340},{""x"":626,""y"":698,""dx"":135,""dy"":-123,""t"":10374},{""x"":619,""y"":699,""dx"":128,""dy"":-122,""t"":10408},{""x"":625,""y"":692,""dx"":134,""dy"":-129,""t"":10442},{""x"":631,""y"":709,""dx"":140,""dy"":-112,""t"":10475},{""x"":635,""y"":729,""dx"":144,""dy"":-92,""t"":10509},{""x"":638,""y"":745,""dx"":147,""dy"":-76,""t"":10541},{""x"":607,""y"":771,""dx"":116,""dy"":-50,""t"":10578},{""x"":609,""y"":789,""dx"":118,""dy"":-32,""t"":10612},{""x"":606,""y"":799,""dx"":115,""dy"":-22,""t"":10645},{""x"":614,""y"":813,""dx"":123,""dy"":-8,""t"":10680},{""x"":616,""y"":801,""dx"":125,""dy"":-20,""t"":10714},{""x"":611,""y"":803,""dx"":120,""dy"":-18,""t"":10747},{""x"":601,""y"":805,""dx"":110,""dy"":-16,""t"":10782},{""x"":591,""y"":807,""dx"":100,""dy"":-14,""t"":10815},{""x"":608,""y"":799,""dx"":117,""dy"":-22,""t"":10850},{""x"":609,""y"":818,""dx"":118,""dy"":-3,""t"":10884},{""x"":606,""y"":817,""dx"":115,""dy"":-4,""t"":10917},{""x"":604,""y"":816,""dx"":113,""dy"":-5,""t"":10949},{""x"":600,""y"":814,""dx"":109,""dy"":-7,""t"":10986},{""x"":619,""y"":830,""dx"":128,""dy"":9,""t"":11019},{""x"":605,""y"":838,""dx"":114,""dy"":17,""t"":11053},{""x"":602,""y"":842,""dx"":111,""dy"":21,""t"":11088},{""x"":620,""y"":816,""dx"":129,""dy"":-5,""t"":11122},{""x"":630,""y"":805,""dx"":139,""dy"":-16,""t"":11156},{""x"":622,""y"":802,""dx"":131,""dy"":-19,""t"":11190},{""x"":602,""y"":808,""dx"":111,""dy"":-13,""t"":11224},{""x"":604,""y"":805,""dx"":113,""dy"":-16,""t"":11258},{""x"":581,""y"":778,""dx"":90,""dy"":-43,""t"":11291},{""x"":571,""y"":790,""dx"":80,""dy"":-31,""t"":11326},{""x"":573,""y"":773,""dx"":82,""dy"":-48,""t"":11360},{""x"":567,""y"":785,""dx"":76,""dy"":-36,""t"":11394},{""x"":591,""y"":761,""dx"":100,""dy"":-60,""t"":11428},{""x"":586,""y"":769,""dx"":95,""dy"":-52,""t"":11462},{""x"":597,""y"":760,""dx"":106,""dy"":-61,""t"":11496},{""x"":608,""y"":746,""dx"":117,""dy"":-75,""t"":11530},{""x"":602,""y"":757,""dx"":111,""dy"":-64,""t"":11564},{""x"":594,""y"":759,""dx"":103,""dy"":-62,""t"":11598},{""x"":591,""y"":767,""dx"":100,""dy"":-54,""t"":11632},{""x"":591,""y"":765,""dx"":100,""dy"":-56,""t"":11666},{""x"":590,""y"":773,""dx"":99,""dy"":-48,""t"":11700},{""x"":590,""y"":778,""dx"":99,""dy"":-43,""t"":11734},{""x"":597,""y"":758,""dx"":106,""dy"":-63,""t"":11767},{""x"":592,""y"":755,""dx"":101,""dy"":-66,""t"":11802},{""x"":578,""y"":750,""dx"":87,""dy"":-71,""t"":11836},{""x"":574,""y"":762,""dx"":83,""dy"":-59,""t"":11870},{""x"":584,""y"":765,""dx"":93,""dy"":-56,""t"":11904},{""x"":571,""y"":754,""dx"":80,""dy"":-67,""t"":11938},{""x"":582,""y"":762,""dx"":91,""dy"":-59,""t"":11971},{""x"":575,""y"":760,""dx"":84,""dy"":-61,""t"":12006},{""x"":607,""y"":731,""dx"":116,""dy"":-90,""t"":12040}],[{""x"":1382,""y"":871,""dx"":-69,""dy"":50,""t"":13060},{""x"":1381,""y"":863,""dx"":-70,""dy"":42,""t"":13094},{""x"":1336,""y"":855,""dx"":-115,""dy"":34,""t"":13128},{""x"":1314,""y"":818,""dx"":-137,""dy"":-3,""t"":13162},{""x"":1315,""y"":816,""dx"":-136,""dy"":-5,""t"":13195},{""x"":1292,""y"":795,""dx"":-159,""dy"":-26,""t"":13229},{""x"":1251,""y"":801,""dx"":-200,""dy"":-20,""t"":13264},{""x"":1271,""y"":807,""dx"":-180,""dy"":-14,""t"":13298},{""x"":1249,""y"":811,""dx"":-202,""dy"":-10,""t"":13331},{""x"":1281,""y"":824,""dx"":-170,""dy"":3,""t"":13366},{""x"":1269,""y"":831,""dx"":-182,""dy"":10,""t"":13399},{""x"":1301,""y"":846,""dx"":-150,""dy"":25,""t"":13434},{""x"":1297,""y"":845,""dx"":-154,""dy"":24,""t"":13468},{""x"":1313,""y"":840,""dx"":-138,""dy"":19,""t"":13501},{""x"":1349,""y"":858,""dx"":-102,""dy"":37,""t"":13536},{""x"":1363,""y"":867,""dx"":-88,""dy"":46,""t"":13570},{""x"":1386,""y"":884,""dx"":-65,""dy"":63,""t"":13604},{""x"":1396,""y"":890,""dx"":-55,""dy"":69,""t"":13638},{""x"":1394,""y"":871,""dx"":-57,""dy"":50,""t"":13671},{""x"":1388,""y"":854,""dx"":-63,""dy"":33,""t"":13706},{""x"":1410,""y"":855,""dx"":-41,""dy"":34,""t"":13740},{""x"":1392,""y"":858,""dx"":-59,""dy"":37,""t"":13773},{""x"":1379,""y"":842,""dx"":-72,""dy"":21,""t"":13808},{""x"":1381,""y"":840,""dx"":-70,""dy"":19,""t"":13842},{""x"":1380,""y"":849,""dx"":-71,""dy"":28,""t"":13876},{""x"":1357,""y"":851,""dx"":-94,""dy"":30,""t"":13909},{""x"":1356,""y"":841,""dx"":-95,""dy"":20,""t"":13943},{""x"":1347,""y"":831,""dx"":-104,""dy"":10,""t"":13979},{""x"":1359,""y"":845,""dx"":-92,""dy"":24,""t"":14011},{""x"":1341,""y"":840,""dx"":-110,""dy"":19,""t"":14046},{""x"":1328,""y"":823,""dx"":-123,""dy"":2,""t"":14080},{""x"":1316,""y"":814,""dx"":-135,""dy"":-7,""t"":14112},{""x"":1319,""y"":807,""dx"":-132,""dy"":-14,""t"":14148},{""x"":1338,""y"":818,""dx"":-113,""dy"":-3,""t"":14182},{""x"":1328,""y"":811,""dx"":-123,""dy"":-10,""t"":14216},{""x"":1351,""y"":834,""dx"":-100,""dy"":13,""t"":14250},{""x"":1358,""y"":828,""dx"":-93,""dy"":7,""t"":14283},{""x"":1379,""y"":844,""dx"":-72,""dy"":23,""t"":14318},{""x"":1373,""y"":832,""dx"":-78,""dy"":11,""t"":14352},{""x"":1392,""y"":849,""dx"":-59,""dy"":28,""t"":14386},{""x"":1403,""y"":863,""dx"":-48,""dy"":42,""t"":14420},{""x"":1412,""y"":874,""dx"":-39,""dy"":53,""t"":14454},{""x"":1420,""y"":887,""dx"":-31,""dy"":66,""t"":14489},{""x"":1427,""y"":897,""dx"":-24,""dy"":76,""t"":14520},{""x"":1434,""y"":901,""dx"":-17,""dy"":80,""t"":14555},{""x"":1431,""y"":902,""dx"":-20,""dy"":81,""t"":14590},{""x"":1439,""y"":904,""dx"":-12,""dy"":83,""t"":14624},{""x"":1426,""y"":875,""dx"":-25,""dy"":54,""t"":14658},{""x"":1418,""y"":881,""dx"":-33,""dy"":60,""t"":14721},{""x"":1411,""y"":885,""dx"":-40,""dy"":64,""t"":14728},{""x"":1410,""y"":884,""dx"":-41,""dy"":63,""t"":14760},{""x"":1387,""y"":865,""dx"":-64,""dy"":44,""t"":14794},{""x"":1393,""y"":866,""dx"":-58,""dy"":45,""t"":14829},{""x"":1386,""y"":849,""dx"":-65,""dy"":28,""t"":14862},{""x"":1397,""y"":864,""dx"":-54,""dy"":43,""t"":14895},{""x"":1382,""y"":850,""dx"":-69,""dy"":29,""t"":14930},{""x"":1378,""y"":842,""dx"":-73,""dy"":21,""t"":14964},{""x"":1395,""y"":852,""dx"":-56,""dy"":31,""t"":14998},{""x"":1373,""y"":834,""dx"":-78,""dy"":13,""t"":15032}]]","[65,89.83050847457628,91.52542372881356,86.66666666666667,96.61016949152543]","[{""x"":259.48333333333335,""y"":-15.7,""r"":195.8227808436956},{""x"":12.661016949152541,""y"":143.77966101694915,""r"":38.40322286700459},{""x"":-14.728813559322035,""y"":7.576271186440678,""r"":45.24133631892256},{""x"":121.15,""y"":-57.43333333333333,""r"":63.35098990943132},{""x"":-87.71186440677967,""y"":28.728813559322035,""r"":40.57348163102736}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
