"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","16798","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","16804","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","20167","0.0-2.0-0.0","","","","","3360","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","21719","0.0-2.0-1.0","","","","","1551","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","23551","0.0-3.0","","","","","1829"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","27583","0.0-4.0","","","","","","","","","1440","","","","","","","","","","","","","","","",""
"","html-button-response","6","29943","0.0-5.0-0.0","","","","","2357","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","41914","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","44079","0.0-5.0-2.0","","","","","2164","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","61677","0.0-5.0-3.0","","","","","","","","","","[[{""x"":437,""y"":420,""dx"":-54,""dy"":139,""t"":990},{""x"":446,""y"":401,""dx"":-45,""dy"":120,""t"":1023},{""x"":445,""y"":414,""dx"":-46,""dy"":133,""t"":1058},{""x"":450,""y"":427,""dx"":-41,""dy"":146,""t"":1093},{""x"":454,""y"":436,""dx"":-37,""dy"":155,""t"":1126},{""x"":432,""y"":417,""dx"":-59,""dy"":136,""t"":1160},{""x"":427,""y"":423,""dx"":-64,""dy"":142,""t"":1194},{""x"":417,""y"":433,""dx"":-74,""dy"":152,""t"":1229},{""x"":430,""y"":427,""dx"":-61,""dy"":146,""t"":1261},{""x"":424,""y"":403,""dx"":-67,""dy"":122,""t"":1296},{""x"":426,""y"":381,""dx"":-65,""dy"":100,""t"":1333},{""x"":436,""y"":360,""dx"":-55,""dy"":79,""t"":1364},{""x"":443,""y"":335,""dx"":-48,""dy"":54,""t"":1398},{""x"":449,""y"":337,""dx"":-42,""dy"":56,""t"":1432},{""x"":449,""y"":325,""dx"":-42,""dy"":44,""t"":1466},{""x"":471,""y"":330,""dx"":-20,""dy"":49,""t"":1500},{""x"":476,""y"":318,""dx"":-15,""dy"":37,""t"":1534},{""x"":492,""y"":320,""dx"":1,""dy"":39,""t"":1569},{""x"":473,""y"":331,""dx"":-18,""dy"":50,""t"":1602},{""x"":469,""y"":335,""dx"":-22,""dy"":54,""t"":1635},{""x"":454,""y"":328,""dx"":-37,""dy"":47,""t"":1670},{""x"":457,""y"":338,""dx"":-34,""dy"":57,""t"":1704},{""x"":506,""y"":446,""dx"":15,""dy"":165,""t"":1738},{""x"":578,""y"":654,""dx"":87,""dy"":373,""t"":1773},{""x"":661,""y"":800,""dx"":170,""dy"":519,""t"":1805},{""x"":656,""y"":892,""dx"":165,""dy"":611,""t"":1840},{""x"":641,""y"":841,""dx"":150,""dy"":560,""t"":1874},{""x"":631,""y"":817,""dx"":140,""dy"":536,""t"":1909},{""x"":627,""y"":714,""dx"":136,""dy"":433,""t"":1943},{""x"":625,""y"":595,""dx"":134,""dy"":314,""t"":1976},{""x"":618,""y"":568,""dx"":127,""dy"":287,""t"":2009},{""x"":581,""y"":538,""dx"":90,""dy"":257,""t"":2044},{""x"":548,""y"":513,""dx"":57,""dy"":232,""t"":2076},{""x"":552,""y"":493,""dx"":61,""dy"":212,""t"":2112},{""x"":522,""y"":467,""dx"":31,""dy"":186,""t"":2146},{""x"":478,""y"":441,""dx"":-13,""dy"":160,""t"":2181},{""x"":494,""y"":419,""dx"":3,""dy"":138,""t"":2214},{""x"":466,""y"":417,""dx"":-25,""dy"":136,""t"":2248},{""x"":444,""y"":402,""dx"":-47,""dy"":121,""t"":2282},{""x"":430,""y"":390,""dx"":-61,""dy"":109,""t"":2317},{""x"":415,""y"":379,""dx"":-76,""dy"":98,""t"":2350},{""x"":404,""y"":374,""dx"":-87,""dy"":93,""t"":2384},{""x"":401,""y"":361,""dx"":-90,""dy"":80,""t"":2418},{""x"":389,""y"":363,""dx"":-102,""dy"":82,""t"":2452},{""x"":380,""y"":366,""dx"":-111,""dy"":85,""t"":2484},{""x"":389,""y"":370,""dx"":-102,""dy"":89,""t"":2520},{""x"":380,""y"":385,""dx"":-111,""dy"":104,""t"":2553},{""x"":399,""y"":388,""dx"":-92,""dy"":107,""t"":2588},{""x"":407,""y"":392,""dx"":-84,""dy"":111,""t"":2623},{""x"":410,""y"":393,""dx"":-81,""dy"":112,""t"":2656},{""x"":423,""y"":375,""dx"":-68,""dy"":94,""t"":2690},{""x"":422,""y"":378,""dx"":-69,""dy"":97,""t"":2723},{""x"":417,""y"":359,""dx"":-74,""dy"":78,""t"":2758},{""x"":408,""y"":344,""dx"":-83,""dy"":63,""t"":2793},{""x"":406,""y"":342,""dx"":-85,""dy"":61,""t"":2827},{""x"":397,""y"":345,""dx"":-94,""dy"":64,""t"":2860},{""x"":413,""y"":354,""dx"":-78,""dy"":73,""t"":2894},{""x"":402,""y"":356,""dx"":-89,""dy"":75,""t"":2928},{""x"":406,""y"":357,""dx"":-85,""dy"":76,""t"":2962},{""x"":411,""y"":365,""dx"":-80,""dy"":84,""t"":2996}],[{""x"":1573,""y"":147,""dx"":122,""dy"":-134,""t"":4016},{""x"":1570,""y"":150,""dx"":119,""dy"":-131,""t"":4050},{""x"":1566,""y"":153,""dx"":115,""dy"":-128,""t"":4082},{""x"":1546,""y"":143,""dx"":95,""dy"":-138,""t"":4118},{""x"":1549,""y"":145,""dx"":98,""dy"":-136,""t"":4153},{""x"":1540,""y"":134,""dx"":89,""dy"":-147,""t"":4186},{""x"":1520,""y"":120,""dx"":69,""dy"":-161,""t"":4221},{""x"":1505,""y"":126,""dx"":54,""dy"":-155,""t"":4254},{""x"":1502,""y"":128,""dx"":51,""dy"":-153,""t"":4289},{""x"":1496,""y"":135,""dx"":45,""dy"":-146,""t"":4322},{""x"":1503,""y"":135,""dx"":52,""dy"":-146,""t"":4356},{""x"":1505,""y"":119,""dx"":54,""dy"":-162,""t"":4390},{""x"":1472,""y"":121,""dx"":21,""dy"":-160,""t"":4423},{""x"":1463,""y"":114,""dx"":12,""dy"":-167,""t"":4457},{""x"":1476,""y"":126,""dx"":25,""dy"":-155,""t"":4492},{""x"":1490,""y"":146,""dx"":39,""dy"":-135,""t"":4525},{""x"":1513,""y"":147,""dx"":62,""dy"":-134,""t"":4559},{""x"":1517,""y"":138,""dx"":66,""dy"":-143,""t"":4594},{""x"":1517,""y"":136,""dx"":66,""dy"":-145,""t"":4628},{""x"":1500,""y"":145,""dx"":49,""dy"":-136,""t"":4662},{""x"":1481,""y"":138,""dx"":30,""dy"":-143,""t"":4696},{""x"":1457,""y"":130,""dx"":6,""dy"":-151,""t"":4730},{""x"":1440,""y"":122,""dx"":-11,""dy"":-159,""t"":4763},{""x"":1415,""y"":112,""dx"":-36,""dy"":-169,""t"":4799},{""x"":1411,""y"":112,""dx"":-40,""dy"":-169,""t"":4832},{""x"":1368,""y"":118,""dx"":-83,""dy"":-163,""t"":4866},{""x"":1371,""y"":117,""dx"":-80,""dy"":-164,""t"":4900},{""x"":1397,""y"":153,""dx"":-54,""dy"":-128,""t"":4934},{""x"":1423,""y"":182,""dx"":-28,""dy"":-99,""t"":4968},{""x"":1436,""y"":212,""dx"":-15,""dy"":-69,""t"":5003},{""x"":1446,""y"":237,""dx"":-5,""dy"":-44,""t"":5036},{""x"":1470,""y"":254,""dx"":19,""dy"":-27,""t"":5071},{""x"":1484,""y"":259,""dx"":33,""dy"":-22,""t"":5105},{""x"":1481,""y"":291,""dx"":30,""dy"":10,""t"":5138},{""x"":1472,""y"":253,""dx"":21,""dy"":-28,""t"":5172},{""x"":1481,""y"":269,""dx"":30,""dy"":-12,""t"":5207},{""x"":1504,""y"":284,""dx"":53,""dy"":3,""t"":5240},{""x"":1521,""y"":299,""dx"":70,""dy"":18,""t"":5274},{""x"":1491,""y"":268,""dx"":40,""dy"":-13,""t"":5308},{""x"":1463,""y"":215,""dx"":12,""dy"":-66,""t"":5342},{""x"":1431,""y"":171,""dx"":-20,""dy"":-110,""t"":5376},{""x"":1427,""y"":144,""dx"":-24,""dy"":-137,""t"":5410},{""x"":1418,""y"":121,""dx"":-33,""dy"":-160,""t"":5444},{""x"":1405,""y"":116,""dx"":-46,""dy"":-165,""t"":5477},{""x"":1398,""y"":110,""dx"":-53,""dy"":-171,""t"":5512},{""x"":1402,""y"":116,""dx"":-49,""dy"":-165,""t"":5546},{""x"":1424,""y"":120,""dx"":-27,""dy"":-161,""t"":5580},{""x"":1442,""y"":136,""dx"":-9,""dy"":-145,""t"":5614},{""x"":1457,""y"":150,""dx"":6,""dy"":-131,""t"":5646},{""x"":1472,""y"":170,""dx"":21,""dy"":-111,""t"":5682},{""x"":1495,""y"":202,""dx"":44,""dy"":-79,""t"":5716},{""x"":1512,""y"":225,""dx"":61,""dy"":-56,""t"":5751},{""x"":1521,""y"":239,""dx"":70,""dy"":-42,""t"":5784},{""x"":1522,""y"":243,""dx"":71,""dy"":-38,""t"":5818},{""x"":1527,""y"":251,""dx"":76,""dy"":-30,""t"":5852},{""x"":1522,""y"":241,""dx"":71,""dy"":-40,""t"":5886},{""x"":1524,""y"":221,""dx"":73,""dy"":-60,""t"":5920},{""x"":1531,""y"":224,""dx"":80,""dy"":-57,""t"":5955},{""x"":1535,""y"":228,""dx"":84,""dy"":-53,""t"":5988}],[{""x"":850,""y"":377,""dx"":-121,""dy"":-174,""t"":7009},{""x"":850,""y"":385,""dx"":-121,""dy"":-166,""t"":7043},{""x"":873,""y"":399,""dx"":-98,""dy"":-152,""t"":7076},{""x"":881,""y"":403,""dx"":-90,""dy"":-148,""t"":7111},{""x"":875,""y"":408,""dx"":-96,""dy"":-143,""t"":7144},{""x"":886,""y"":413,""dx"":-85,""dy"":-138,""t"":7178},{""x"":890,""y"":420,""dx"":-81,""dy"":-131,""t"":7213},{""x"":908,""y"":469,""dx"":-63,""dy"":-82,""t"":7244},{""x"":882,""y"":430,""dx"":-89,""dy"":-121,""t"":7281},{""x"":882,""y"":443,""dx"":-89,""dy"":-108,""t"":7314},{""x"":878,""y"":397,""dx"":-93,""dy"":-154,""t"":7348},{""x"":878,""y"":351,""dx"":-93,""dy"":-200,""t"":7382},{""x"":874,""y"":320,""dx"":-97,""dy"":-231,""t"":7416},{""x"":873,""y"":323,""dx"":-98,""dy"":-228,""t"":7450},{""x"":885,""y"":381,""dx"":-86,""dy"":-170,""t"":7485},{""x"":868,""y"":370,""dx"":-103,""dy"":-181,""t"":7519},{""x"":859,""y"":359,""dx"":-112,""dy"":-192,""t"":7553},{""x"":872,""y"":370,""dx"":-99,""dy"":-181,""t"":7586},{""x"":875,""y"":403,""dx"":-96,""dy"":-148,""t"":7620},{""x"":872,""y"":405,""dx"":-99,""dy"":-146,""t"":7652},{""x"":864,""y"":358,""dx"":-107,""dy"":-193,""t"":7688},{""x"":869,""y"":380,""dx"":-102,""dy"":-171,""t"":7722},{""x"":870,""y"":367,""dx"":-101,""dy"":-184,""t"":7757},{""x"":881,""y"":426,""dx"":-90,""dy"":-125,""t"":7790},{""x"":875,""y"":381,""dx"":-96,""dy"":-170,""t"":7823},{""x"":865,""y"":359,""dx"":-106,""dy"":-192,""t"":7858},{""x"":853,""y"":326,""dx"":-118,""dy"":-225,""t"":7892},{""x"":857,""y"":322,""dx"":-114,""dy"":-229,""t"":7926},{""x"":866,""y"":345,""dx"":-105,""dy"":-206,""t"":7960},{""x"":862,""y"":330,""dx"":-109,""dy"":-221,""t"":7995},{""x"":863,""y"":296,""dx"":-108,""dy"":-255,""t"":8028},{""x"":858,""y"":278,""dx"":-113,""dy"":-273,""t"":8062},{""x"":847,""y"":302,""dx"":-124,""dy"":-249,""t"":8096},{""x"":862,""y"":500,""dx"":-109,""dy"":-51,""t"":8130},{""x"":871,""y"":728,""dx"":-100,""dy"":177,""t"":8164},{""x"":913,""y"":877,""dx"":-58,""dy"":326,""t"":8198},{""x"":932,""y"":956,""dx"":-39,""dy"":405,""t"":8232},{""x"":955,""y"":999,""dx"":-16,""dy"":448,""t"":8267},{""x"":949,""y"":990,""dx"":-22,""dy"":439,""t"":8300},{""x"":922,""y"":918,""dx"":-49,""dy"":367,""t"":8335},{""x"":891,""y"":844,""dx"":-80,""dy"":293,""t"":8369},{""x"":890,""y"":803,""dx"":-81,""dy"":252,""t"":8402},{""x"":910,""y"":776,""dx"":-61,""dy"":225,""t"":8436},{""x"":938,""y"":743,""dx"":-33,""dy"":192,""t"":8470},{""x"":940,""y"":716,""dx"":-31,""dy"":165,""t"":8504},{""x"":958,""y"":691,""dx"":-13,""dy"":140,""t"":8539},{""x"":960,""y"":648,""dx"":-11,""dy"":97,""t"":8572},{""x"":968,""y"":612,""dx"":-3,""dy"":61,""t"":8607},{""x"":967,""y"":598,""dx"":-4,""dy"":47,""t"":8639},{""x"":944,""y"":555,""dx"":-27,""dy"":4,""t"":8673},{""x"":938,""y"":517,""dx"":-33,""dy"":-34,""t"":8708},{""x"":933,""y"":482,""dx"":-38,""dy"":-69,""t"":8742},{""x"":906,""y"":467,""dx"":-65,""dy"":-84,""t"":8776},{""x"":904,""y"":443,""dx"":-67,""dy"":-108,""t"":8810},{""x"":873,""y"":441,""dx"":-98,""dy"":-110,""t"":8844},{""x"":858,""y"":440,""dx"":-113,""dy"":-111,""t"":8878},{""x"":861,""y"":419,""dx"":-110,""dy"":-132,""t"":8912},{""x"":865,""y"":420,""dx"":-106,""dy"":-131,""t"":8946},{""x"":868,""y"":425,""dx"":-103,""dy"":-126,""t"":8980},{""x"":882,""y"":456,""dx"":-89,""dy"":-95,""t"":9014}],[{""x"":576,""y"":767,""dx"":85,""dy"":-54,""t"":10034},{""x"":577,""y"":758,""dx"":86,""dy"":-63,""t"":10068},{""x"":574,""y"":762,""dx"":83,""dy"":-59,""t"":10103},{""x"":561,""y"":755,""dx"":70,""dy"":-66,""t"":10136},{""x"":561,""y"":743,""dx"":70,""dy"":-78,""t"":10169},{""x"":558,""y"":732,""dx"":67,""dy"":-89,""t"":10204},{""x"":552,""y"":731,""dx"":61,""dy"":-90,""t"":10238},{""x"":551,""y"":727,""dx"":60,""dy"":-94,""t"":10272},{""x"":574,""y"":721,""dx"":83,""dy"":-100,""t"":10306},{""x"":573,""y"":726,""dx"":82,""dy"":-95,""t"":10340},{""x"":559,""y"":737,""dx"":68,""dy"":-84,""t"":10373},{""x"":547,""y"":737,""dx"":56,""dy"":-84,""t"":10409},{""x"":529,""y"":735,""dx"":38,""dy"":-86,""t"":10442},{""x"":534,""y"":729,""dx"":43,""dy"":-92,""t"":10476},{""x"":535,""y"":731,""dx"":44,""dy"":-90,""t"":10510},{""x"":524,""y"":734,""dx"":33,""dy"":-87,""t"":10544},{""x"":522,""y"":732,""dx"":31,""dy"":-89,""t"":10579},{""x"":510,""y"":730,""dx"":19,""dy"":-91,""t"":10612},{""x"":518,""y"":718,""dx"":27,""dy"":-103,""t"":10647},{""x"":521,""y"":716,""dx"":30,""dy"":-105,""t"":10680},{""x"":528,""y"":709,""dx"":37,""dy"":-112,""t"":10713},{""x"":544,""y"":710,""dx"":53,""dy"":-111,""t"":10749},{""x"":534,""y"":713,""dx"":43,""dy"":-108,""t"":10782},{""x"":525,""y"":716,""dx"":34,""dy"":-105,""t"":10814},{""x"":519,""y"":726,""dx"":28,""dy"":-95,""t"":10850},{""x"":516,""y"":718,""dx"":25,""dy"":-103,""t"":10884},{""x"":516,""y"":741,""dx"":25,""dy"":-80,""t"":10919},{""x"":530,""y"":738,""dx"":39,""dy"":-83,""t"":10952},{""x"":550,""y"":753,""dx"":59,""dy"":-68,""t"":10986},{""x"":540,""y"":761,""dx"":49,""dy"":-60,""t"":11021},{""x"":544,""y"":766,""dx"":53,""dy"":-55,""t"":11055},{""x"":555,""y"":773,""dx"":64,""dy"":-48,""t"":11088},{""x"":555,""y"":775,""dx"":64,""dy"":-46,""t"":11122},{""x"":551,""y"":781,""dx"":60,""dy"":-40,""t"":11156},{""x"":560,""y"":779,""dx"":69,""dy"":-42,""t"":11190},{""x"":568,""y"":777,""dx"":77,""dy"":-44,""t"":11221},{""x"":570,""y"":774,""dx"":79,""dy"":-47,""t"":11257},{""x"":580,""y"":766,""dx"":89,""dy"":-55,""t"":11292},{""x"":580,""y"":767,""dx"":89,""dy"":-54,""t"":11326},{""x"":573,""y"":766,""dx"":82,""dy"":-55,""t"":11360},{""x"":563,""y"":767,""dx"":72,""dy"":-54,""t"":11394},{""x"":556,""y"":758,""dx"":65,""dy"":-63,""t"":11428},{""x"":568,""y"":755,""dx"":77,""dy"":-66,""t"":11462},{""x"":581,""y"":754,""dx"":90,""dy"":-67,""t"":11496},{""x"":586,""y"":747,""dx"":95,""dy"":-74,""t"":11530},{""x"":602,""y"":746,""dx"":111,""dy"":-75,""t"":11564},{""x"":586,""y"":742,""dx"":95,""dy"":-79,""t"":11598},{""x"":591,""y"":741,""dx"":100,""dy"":-80,""t"":11633},{""x"":586,""y"":743,""dx"":95,""dy"":-78,""t"":11666},{""x"":592,""y"":738,""dx"":101,""dy"":-83,""t"":11700},{""x"":582,""y"":735,""dx"":91,""dy"":-86,""t"":11735},{""x"":574,""y"":736,""dx"":83,""dy"":-85,""t"":11768},{""x"":573,""y"":722,""dx"":82,""dy"":-99,""t"":11803},{""x"":578,""y"":717,""dx"":87,""dy"":-104,""t"":11836},{""x"":570,""y"":725,""dx"":79,""dy"":-96,""t"":11872},{""x"":570,""y"":729,""dx"":79,""dy"":-92,""t"":11904},{""x"":569,""y"":746,""dx"":78,""dy"":-75,""t"":11938},{""x"":568,""y"":734,""dx"":77,""dy"":-87,""t"":11973},{""x"":591,""y"":752,""dx"":100,""dy"":-69,""t"":12006}],[{""x"":1335,""y"":674,""dx"":-116,""dy"":-147,""t"":13026},{""x"":1318,""y"":687,""dx"":-133,""dy"":-134,""t"":13059},{""x"":1312,""y"":693,""dx"":-139,""dy"":-128,""t"":13094},{""x"":1302,""y"":702,""dx"":-149,""dy"":-119,""t"":13129},{""x"":1294,""y"":709,""dx"":-157,""dy"":-112,""t"":13159},{""x"":1316,""y"":711,""dx"":-135,""dy"":-110,""t"":13197},{""x"":1301,""y"":700,""dx"":-150,""dy"":-121,""t"":13230},{""x"":1298,""y"":693,""dx"":-153,""dy"":-128,""t"":13264},{""x"":1304,""y"":698,""dx"":-147,""dy"":-123,""t"":13298},{""x"":1302,""y"":704,""dx"":-149,""dy"":-117,""t"":13332},{""x"":1336,""y"":705,""dx"":-115,""dy"":-116,""t"":13366},{""x"":1336,""y"":709,""dx"":-115,""dy"":-112,""t"":13401},{""x"":1317,""y"":710,""dx"":-134,""dy"":-111,""t"":13434},{""x"":1302,""y"":710,""dx"":-149,""dy"":-111,""t"":13468},{""x"":1329,""y"":697,""dx"":-122,""dy"":-124,""t"":13502},{""x"":1315,""y"":699,""dx"":-136,""dy"":-122,""t"":13536},{""x"":1358,""y"":692,""dx"":-93,""dy"":-129,""t"":13570},{""x"":1354,""y"":686,""dx"":-97,""dy"":-135,""t"":13604},{""x"":1363,""y"":689,""dx"":-88,""dy"":-132,""t"":13638},{""x"":1366,""y"":688,""dx"":-85,""dy"":-133,""t"":13672},{""x"":1350,""y"":691,""dx"":-101,""dy"":-130,""t"":13705},{""x"":1341,""y"":696,""dx"":-110,""dy"":-125,""t"":13742},{""x"":1330,""y"":702,""dx"":-121,""dy"":-119,""t"":13773},{""x"":1348,""y"":698,""dx"":-103,""dy"":-123,""t"":13808},{""x"":1360,""y"":699,""dx"":-91,""dy"":-122,""t"":13843},{""x"":1366,""y"":696,""dx"":-85,""dy"":-125,""t"":13876},{""x"":1381,""y"":698,""dx"":-70,""dy"":-123,""t"":13910},{""x"":1365,""y"":699,""dx"":-86,""dy"":-122,""t"":13944},{""x"":1382,""y"":696,""dx"":-69,""dy"":-125,""t"":13978},{""x"":1396,""y"":710,""dx"":-55,""dy"":-111,""t"":14012},{""x"":1381,""y"":714,""dx"":-70,""dy"":-107,""t"":14046},{""x"":1374,""y"":717,""dx"":-77,""dy"":-104,""t"":14080},{""x"":1386,""y"":729,""dx"":-65,""dy"":-92,""t"":14114},{""x"":1396,""y"":736,""dx"":-55,""dy"":-85,""t"":14148},{""x"":1375,""y"":725,""dx"":-76,""dy"":-96,""t"":14183},{""x"":1373,""y"":729,""dx"":-78,""dy"":-92,""t"":14216},{""x"":1366,""y"":739,""dx"":-85,""dy"":-82,""t"":14250},{""x"":1379,""y"":745,""dx"":-72,""dy"":-76,""t"":14284},{""x"":1356,""y"":761,""dx"":-95,""dy"":-60,""t"":14317},{""x"":1349,""y"":756,""dx"":-102,""dy"":-65,""t"":14352},{""x"":1340,""y"":762,""dx"":-111,""dy"":-59,""t"":14384},{""x"":1326,""y"":771,""dx"":-125,""dy"":-50,""t"":14421},{""x"":1338,""y"":774,""dx"":-113,""dy"":-47,""t"":14454},{""x"":1340,""y"":783,""dx"":-111,""dy"":-38,""t"":14488},{""x"":1344,""y"":788,""dx"":-107,""dy"":-33,""t"":14521},{""x"":1346,""y"":791,""dx"":-105,""dy"":-30,""t"":14556},{""x"":1335,""y"":793,""dx"":-116,""dy"":-28,""t"":14590},{""x"":1338,""y"":787,""dx"":-113,""dy"":-34,""t"":14624},{""x"":1369,""y"":786,""dx"":-82,""dy"":-35,""t"":14658},{""x"":1408,""y"":772,""dx"":-43,""dy"":-49,""t"":14692},{""x"":1410,""y"":778,""dx"":-41,""dy"":-43,""t"":14726},{""x"":1402,""y"":781,""dx"":-49,""dy"":-40,""t"":14761},{""x"":1393,""y"":784,""dx"":-58,""dy"":-37,""t"":14792},{""x"":1396,""y"":793,""dx"":-55,""dy"":-28,""t"":14828},{""x"":1395,""y"":792,""dx"":-56,""dy"":-29,""t"":14862},{""x"":1412,""y"":790,""dx"":-39,""dy"":-31,""t"":14895},{""x"":1394,""y"":784,""dx"":-57,""dy"":-37,""t"":14930},{""x"":1395,""y"":779,""dx"":-56,""dy"":-42,""t"":14965},{""x"":1377,""y"":775,""dx"":-74,""dy"":-46,""t"":14998},{""x"":1358,""y"":790,""dx"":-93,""dy"":-31,""t"":15032}]]","[81.66666666666667,100,55.00000000000001,100,100]","[{""x"":-24.433333333333334,""y"":152.2,""r"":144.34866297393373},{""x"":28.661016949152543,""y"":-108.77966101694915,""r"":72.48923287292416},{""x"":-81.01666666666667,""y"":-55,""r"":191.18219883610948},{""x"":66.28813559322033,""y"":-78.33898305084746,""r"":28.713865417635134},{""x"":-97.2,""y"":-88.58333333333333,""r"":70.19478462234777}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
