"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","4180","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4186","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7425","0.0-2.0-0.0","","","","","3238","{""name"":""陈舒雨"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","9232","0.0-2.0-1.0","","","","","1806","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","10120","0.0-3.0","","","","","886"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","18629","0.0-4.0","","","","","","","","","1465","","","","","","","","","","","","","","","",""
"","html-button-response","6","20160","0.0-5.0-0.0","","","","","1529","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","31036","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","31887","0.0-5.0-2.0","","","","","851","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49174","0.0-5.0-3.0","","","","","","","","","","[[{""x"":302,""y"":234,""dx"":-189,""dy"":-47,""t"":991},{""x"":317,""y"":225,""dx"":-174,""dy"":-56,""t"":1024},{""x"":350,""y"":228,""dx"":-141,""dy"":-53,""t"":1057},{""x"":374,""y"":237,""dx"":-117,""dy"":-44,""t"":1091},{""x"":395,""y"":247,""dx"":-96,""dy"":-34,""t"":1125},{""x"":406,""y"":254,""dx"":-85,""dy"":-27,""t"":1160},{""x"":396,""y"":249,""dx"":-95,""dy"":-32,""t"":1193},{""x"":400,""y"":246,""dx"":-91,""dy"":-35,""t"":1227},{""x"":401,""y"":253,""dx"":-90,""dy"":-28,""t"":1262},{""x"":378,""y"":253,""dx"":-113,""dy"":-28,""t"":1296},{""x"":358,""y"":231,""dx"":-133,""dy"":-50,""t"":1330},{""x"":366,""y"":233,""dx"":-125,""dy"":-48,""t"":1365},{""x"":357,""y"":245,""dx"":-134,""dy"":-36,""t"":1399},{""x"":348,""y"":253,""dx"":-143,""dy"":-28,""t"":1432},{""x"":341,""y"":222,""dx"":-150,""dy"":-59,""t"":1466},{""x"":373,""y"":216,""dx"":-118,""dy"":-65,""t"":1499},{""x"":370,""y"":231,""dx"":-121,""dy"":-50,""t"":1533},{""x"":362,""y"":231,""dx"":-129,""dy"":-50,""t"":1568},{""x"":394,""y"":245,""dx"":-97,""dy"":-36,""t"":1602},{""x"":395,""y"":269,""dx"":-96,""dy"":-12,""t"":1637},{""x"":385,""y"":284,""dx"":-106,""dy"":3,""t"":1668},{""x"":369,""y"":258,""dx"":-122,""dy"":-23,""t"":1704},{""x"":350,""y"":251,""dx"":-141,""dy"":-30,""t"":1738},{""x"":365,""y"":260,""dx"":-126,""dy"":-21,""t"":1772},{""x"":331,""y"":250,""dx"":-160,""dy"":-31,""t"":1805},{""x"":330,""y"":247,""dx"":-161,""dy"":-34,""t"":1840},{""x"":343,""y"":243,""dx"":-148,""dy"":-38,""t"":1874},{""x"":367,""y"":247,""dx"":-124,""dy"":-34,""t"":1908},{""x"":347,""y"":237,""dx"":-144,""dy"":-44,""t"":1943},{""x"":369,""y"":247,""dx"":-122,""dy"":-34,""t"":1976},{""x"":381,""y"":257,""dx"":-110,""dy"":-24,""t"":2010},{""x"":383,""y"":249,""dx"":-108,""dy"":-32,""t"":2043},{""x"":415,""y"":262,""dx"":-76,""dy"":-19,""t"":2075},{""x"":422,""y"":284,""dx"":-69,""dy"":3,""t"":2113},{""x"":453,""y"":317,""dx"":-38,""dy"":36,""t"":2146},{""x"":454,""y"":306,""dx"":-37,""dy"":25,""t"":2180},{""x"":448,""y"":324,""dx"":-43,""dy"":43,""t"":2214},{""x"":442,""y"":316,""dx"":-49,""dy"":35,""t"":2249},{""x"":427,""y"":308,""dx"":-64,""dy"":27,""t"":2282},{""x"":409,""y"":269,""dx"":-82,""dy"":-12,""t"":2316},{""x"":413,""y"":266,""dx"":-78,""dy"":-15,""t"":2349},{""x"":407,""y"":273,""dx"":-84,""dy"":-8,""t"":2384},{""x"":391,""y"":269,""dx"":-100,""dy"":-12,""t"":2418},{""x"":394,""y"":262,""dx"":-97,""dy"":-19,""t"":2453},{""x"":396,""y"":249,""dx"":-95,""dy"":-32,""t"":2486},{""x"":402,""y"":240,""dx"":-89,""dy"":-41,""t"":2520},{""x"":374,""y"":234,""dx"":-117,""dy"":-47,""t"":2553},{""x"":368,""y"":251,""dx"":-123,""dy"":-30,""t"":2588},{""x"":374,""y"":223,""dx"":-117,""dy"":-58,""t"":2622},{""x"":375,""y"":233,""dx"":-116,""dy"":-48,""t"":2656},{""x"":378,""y"":247,""dx"":-113,""dy"":-34,""t"":2690},{""x"":387,""y"":273,""dx"":-104,""dy"":-8,""t"":2724},{""x"":391,""y"":261,""dx"":-100,""dy"":-20,""t"":2758},{""x"":396,""y"":281,""dx"":-95,""dy"":0,""t"":2792},{""x"":411,""y"":299,""dx"":-80,""dy"":18,""t"":2826},{""x"":412,""y"":306,""dx"":-79,""dy"":25,""t"":2860},{""x"":414,""y"":300,""dx"":-77,""dy"":19,""t"":2894},{""x"":412,""y"":317,""dx"":-79,""dy"":36,""t"":2928},{""x"":411,""y"":308,""dx"":-80,""dy"":27,""t"":2962}],[{""x"":1548,""y"":381,""dx"":97,""dy"":100,""t"":4017},{""x"":1514,""y"":354,""dx"":63,""dy"":73,""t"":4049},{""x"":1496,""y"":344,""dx"":45,""dy"":63,""t"":4084},{""x"":1453,""y"":310,""dx"":2,""dy"":29,""t"":4117},{""x"":1466,""y"":309,""dx"":15,""dy"":28,""t"":4151},{""x"":1453,""y"":307,""dx"":2,""dy"":26,""t"":4186},{""x"":1454,""y"":345,""dx"":3,""dy"":64,""t"":4220},{""x"":1468,""y"":365,""dx"":17,""dy"":84,""t"":4254},{""x"":1457,""y"":347,""dx"":6,""dy"":66,""t"":4288},{""x"":1451,""y"":338,""dx"":0,""dy"":57,""t"":4322},{""x"":1451,""y"":326,""dx"":0,""dy"":45,""t"":4357},{""x"":1456,""y"":326,""dx"":5,""dy"":45,""t"":4390},{""x"":1469,""y"":330,""dx"":18,""dy"":49,""t"":4424},{""x"":1469,""y"":368,""dx"":18,""dy"":87,""t"":4459},{""x"":1489,""y"":387,""dx"":38,""dy"":106,""t"":4491},{""x"":1470,""y"":397,""dx"":19,""dy"":116,""t"":4526},{""x"":1492,""y"":412,""dx"":41,""dy"":131,""t"":4560},{""x"":1511,""y"":417,""dx"":60,""dy"":136,""t"":4594},{""x"":1479,""y"":382,""dx"":28,""dy"":101,""t"":4628},{""x"":1455,""y"":411,""dx"":4,""dy"":130,""t"":4661},{""x"":1456,""y"":388,""dx"":5,""dy"":107,""t"":4697},{""x"":1449,""y"":386,""dx"":-2,""dy"":105,""t"":4730},{""x"":1453,""y"":378,""dx"":2,""dy"":97,""t"":4764},{""x"":1454,""y"":379,""dx"":3,""dy"":98,""t"":4797},{""x"":1458,""y"":392,""dx"":7,""dy"":111,""t"":4832},{""x"":1444,""y"":365,""dx"":-7,""dy"":84,""t"":4866},{""x"":1435,""y"":380,""dx"":-16,""dy"":99,""t"":4900},{""x"":1465,""y"":375,""dx"":14,""dy"":94,""t"":4934},{""x"":1497,""y"":387,""dx"":46,""dy"":106,""t"":4969},{""x"":1474,""y"":355,""dx"":23,""dy"":74,""t"":5002},{""x"":1494,""y"":370,""dx"":43,""dy"":89,""t"":5035},{""x"":1467,""y"":352,""dx"":16,""dy"":71,""t"":5069},{""x"":1460,""y"":354,""dx"":9,""dy"":73,""t"":5104},{""x"":1431,""y"":345,""dx"":-20,""dy"":64,""t"":5138},{""x"":1459,""y"":356,""dx"":8,""dy"":75,""t"":5172},{""x"":1497,""y"":369,""dx"":46,""dy"":88,""t"":5206},{""x"":1510,""y"":384,""dx"":59,""dy"":103,""t"":5238},{""x"":1511,""y"":394,""dx"":60,""dy"":113,""t"":5274},{""x"":1500,""y"":399,""dx"":49,""dy"":118,""t"":5308},{""x"":1512,""y"":383,""dx"":61,""dy"":102,""t"":5341},{""x"":1501,""y"":373,""dx"":50,""dy"":92,""t"":5377},{""x"":1480,""y"":375,""dx"":29,""dy"":94,""t"":5410},{""x"":1460,""y"":376,""dx"":9,""dy"":95,""t"":5444},{""x"":1432,""y"":379,""dx"":-19,""dy"":98,""t"":5478},{""x"":1429,""y"":369,""dx"":-22,""dy"":88,""t"":5512},{""x"":1435,""y"":378,""dx"":-16,""dy"":97,""t"":5546},{""x"":1448,""y"":384,""dx"":-3,""dy"":103,""t"":5580},{""x"":1463,""y"":387,""dx"":12,""dy"":106,""t"":5614},{""x"":1468,""y"":379,""dx"":17,""dy"":98,""t"":5648},{""x"":1458,""y"":378,""dx"":7,""dy"":97,""t"":5682},{""x"":1439,""y"":368,""dx"":-12,""dy"":87,""t"":5716},{""x"":1440,""y"":370,""dx"":-11,""dy"":89,""t"":5749},{""x"":1436,""y"":366,""dx"":-15,""dy"":85,""t"":5784},{""x"":1430,""y"":382,""dx"":-21,""dy"":101,""t"":5818},{""x"":1422,""y"":386,""dx"":-29,""dy"":105,""t"":5852},{""x"":1423,""y"":380,""dx"":-28,""dy"":99,""t"":5886},{""x"":1409,""y"":387,""dx"":-42,""dy"":106,""t"":5920},{""x"":1407,""y"":382,""dx"":-44,""dy"":101,""t"":5954},{""x"":1395,""y"":380,""dx"":-56,""dy"":99,""t"":5988}],[{""x"":960,""y"":552,""dx"":-11,""dy"":1,""t"":7042},{""x"":972,""y"":562,""dx"":1,""dy"":11,""t"":7076},{""x"":976,""y"":556,""dx"":5,""dy"":5,""t"":7110},{""x"":939,""y"":524,""dx"":-32,""dy"":-27,""t"":7143},{""x"":873,""y"":487,""dx"":-98,""dy"":-64,""t"":7178},{""x"":818,""y"":457,""dx"":-153,""dy"":-94,""t"":7210},{""x"":855,""y"":437,""dx"":-116,""dy"":-114,""t"":7246},{""x"":840,""y"":449,""dx"":-131,""dy"":-102,""t"":7280},{""x"":883,""y"":481,""dx"":-88,""dy"":-70,""t"":7315},{""x"":897,""y"":464,""dx"":-74,""dy"":-87,""t"":7349},{""x"":895,""y"":436,""dx"":-76,""dy"":-115,""t"":7382},{""x"":922,""y"":418,""dx"":-49,""dy"":-133,""t"":7416},{""x"":935,""y"":412,""dx"":-36,""dy"":-139,""t"":7449},{""x"":929,""y"":405,""dx"":-42,""dy"":-146,""t"":7483},{""x"":934,""y"":388,""dx"":-37,""dy"":-163,""t"":7517},{""x"":946,""y"":388,""dx"":-25,""dy"":-163,""t"":7552},{""x"":986,""y"":400,""dx"":15,""dy"":-151,""t"":7586},{""x"":951,""y"":431,""dx"":-20,""dy"":-120,""t"":7619},{""x"":927,""y"":427,""dx"":-44,""dy"":-124,""t"":7653},{""x"":905,""y"":434,""dx"":-66,""dy"":-117,""t"":7688},{""x"":908,""y"":453,""dx"":-63,""dy"":-98,""t"":7721},{""x"":925,""y"":465,""dx"":-46,""dy"":-86,""t"":7756},{""x"":946,""y"":473,""dx"":-25,""dy"":-78,""t"":7791},{""x"":925,""y"":496,""dx"":-46,""dy"":-55,""t"":7824},{""x"":932,""y"":472,""dx"":-39,""dy"":-79,""t"":7858},{""x"":933,""y"":486,""dx"":-38,""dy"":-65,""t"":7892},{""x"":931,""y"":479,""dx"":-40,""dy"":-72,""t"":7926},{""x"":942,""y"":496,""dx"":-29,""dy"":-55,""t"":7960},{""x"":947,""y"":508,""dx"":-24,""dy"":-43,""t"":7994},{""x"":953,""y"":517,""dx"":-18,""dy"":-34,""t"":8028},{""x"":955,""y"":513,""dx"":-16,""dy"":-38,""t"":8062},{""x"":972,""y"":524,""dx"":1,""dy"":-27,""t"":8096},{""x"":967,""y"":529,""dx"":-4,""dy"":-22,""t"":8130},{""x"":981,""y"":511,""dx"":10,""dy"":-40,""t"":8164},{""x"":992,""y"":513,""dx"":21,""dy"":-38,""t"":8198},{""x"":1001,""y"":493,""dx"":30,""dy"":-58,""t"":8232},{""x"":996,""y"":493,""dx"":25,""dy"":-58,""t"":8266},{""x"":997,""y"":497,""dx"":26,""dy"":-54,""t"":8300},{""x"":986,""y"":508,""dx"":15,""dy"":-43,""t"":8333},{""x"":994,""y"":498,""dx"":23,""dy"":-53,""t"":8368},{""x"":988,""y"":483,""dx"":17,""dy"":-68,""t"":8400},{""x"":997,""y"":491,""dx"":26,""dy"":-60,""t"":8437},{""x"":985,""y"":478,""dx"":14,""dy"":-73,""t"":8470},{""x"":991,""y"":493,""dx"":20,""dy"":-58,""t"":8503},{""x"":987,""y"":489,""dx"":16,""dy"":-62,""t"":8539},{""x"":983,""y"":493,""dx"":12,""dy"":-58,""t"":8572},{""x"":995,""y"":484,""dx"":24,""dy"":-67,""t"":8605},{""x"":996,""y"":499,""dx"":25,""dy"":-52,""t"":8640},{""x"":993,""y"":504,""dx"":22,""dy"":-47,""t"":8675},{""x"":996,""y"":523,""dx"":25,""dy"":-28,""t"":8708},{""x"":1001,""y"":523,""dx"":30,""dy"":-28,""t"":8742},{""x"":982,""y"":520,""dx"":11,""dy"":-31,""t"":8777},{""x"":965,""y"":517,""dx"":-6,""dy"":-34,""t"":8808},{""x"":980,""y"":509,""dx"":9,""dy"":-42,""t"":8844},{""x"":1003,""y"":512,""dx"":32,""dy"":-39,""t"":8878},{""x"":1014,""y"":523,""dx"":43,""dy"":-28,""t"":8913},{""x"":1029,""y"":553,""dx"":58,""dy"":2,""t"":8947},{""x"":1022,""y"":548,""dx"":51,""dy"":-3,""t"":8980},{""x"":1026,""y"":548,""dx"":55,""dy"":-3,""t"":9014}],[{""x"":549,""y"":732,""dx"":58,""dy"":-89,""t"":10033},{""x"":541,""y"":717,""dx"":50,""dy"":-104,""t"":10069},{""x"":525,""y"":695,""dx"":34,""dy"":-126,""t"":10102},{""x"":510,""y"":684,""dx"":19,""dy"":-137,""t"":10135},{""x"":497,""y"":663,""dx"":6,""dy"":-158,""t"":10170},{""x"":487,""y"":686,""dx"":-4,""dy"":-135,""t"":10204},{""x"":502,""y"":694,""dx"":11,""dy"":-127,""t"":10237},{""x"":527,""y"":708,""dx"":36,""dy"":-113,""t"":10272},{""x"":564,""y"":722,""dx"":73,""dy"":-99,""t"":10306},{""x"":543,""y"":708,""dx"":52,""dy"":-113,""t"":10340},{""x"":567,""y"":738,""dx"":76,""dy"":-83,""t"":10372},{""x"":596,""y"":735,""dx"":105,""dy"":-86,""t"":10407},{""x"":616,""y"":747,""dx"":125,""dy"":-74,""t"":10441},{""x"":643,""y"":769,""dx"":152,""dy"":-52,""t"":10476},{""x"":686,""y"":775,""dx"":195,""dy"":-46,""t"":10510},{""x"":719,""y"":794,""dx"":228,""dy"":-27,""t"":10545},{""x"":745,""y"":783,""dx"":254,""dy"":-38,""t"":10578},{""x"":694,""y"":762,""dx"":203,""dy"":-59,""t"":10612},{""x"":720,""y"":792,""dx"":229,""dy"":-29,""t"":10646},{""x"":680,""y"":788,""dx"":189,""dy"":-33,""t"":10680},{""x"":650,""y"":768,""dx"":159,""dy"":-53,""t"":10714},{""x"":617,""y"":752,""dx"":126,""dy"":-69,""t"":10747},{""x"":584,""y"":755,""dx"":93,""dy"":-66,""t"":10779},{""x"":557,""y"":733,""dx"":66,""dy"":-88,""t"":10816},{""x"":578,""y"":742,""dx"":87,""dy"":-79,""t"":10849},{""x"":617,""y"":750,""dx"":126,""dy"":-71,""t"":10883},{""x"":656,""y"":769,""dx"":165,""dy"":-52,""t"":10918},{""x"":688,""y"":790,""dx"":197,""dy"":-31,""t"":10951},{""x"":702,""y"":800,""dx"":211,""dy"":-21,""t"":10986},{""x"":710,""y"":805,""dx"":219,""dy"":-16,""t"":11020},{""x"":713,""y"":809,""dx"":222,""dy"":-12,""t"":11054},{""x"":707,""y"":808,""dx"":216,""dy"":-13,""t"":11088},{""x"":685,""y"":805,""dx"":194,""dy"":-16,""t"":11122},{""x"":652,""y"":788,""dx"":161,""dy"":-33,""t"":11156},{""x"":609,""y"":794,""dx"":118,""dy"":-27,""t"":11191},{""x"":586,""y"":774,""dx"":95,""dy"":-47,""t"":11223},{""x"":558,""y"":788,""dx"":67,""dy"":-33,""t"":11258},{""x"":604,""y"":773,""dx"":113,""dy"":-48,""t"":11292},{""x"":595,""y"":772,""dx"":104,""dy"":-49,""t"":11326},{""x"":626,""y"":780,""dx"":135,""dy"":-41,""t"":11360},{""x"":631,""y"":805,""dx"":140,""dy"":-16,""t"":11394},{""x"":638,""y"":777,""dx"":147,""dy"":-44,""t"":11428},{""x"":623,""y"":763,""dx"":132,""dy"":-58,""t"":11463},{""x"":684,""y"":753,""dx"":193,""dy"":-68,""t"":11496},{""x"":654,""y"":739,""dx"":163,""dy"":-82,""t"":11530},{""x"":661,""y"":737,""dx"":170,""dy"":-84,""t"":11564},{""x"":630,""y"":730,""dx"":139,""dy"":-91,""t"":11598},{""x"":651,""y"":727,""dx"":160,""dy"":-94,""t"":11632},{""x"":683,""y"":707,""dx"":192,""dy"":-114,""t"":11665},{""x"":646,""y"":711,""dx"":155,""dy"":-110,""t"":11699},{""x"":666,""y"":722,""dx"":175,""dy"":-99,""t"":11733},{""x"":618,""y"":713,""dx"":127,""dy"":-108,""t"":11768},{""x"":652,""y"":732,""dx"":161,""dy"":-89,""t"":11803},{""x"":608,""y"":708,""dx"":117,""dy"":-113,""t"":11837},{""x"":628,""y"":729,""dx"":137,""dy"":-92,""t"":11869},{""x"":587,""y"":716,""dx"":96,""dy"":-105,""t"":11905},{""x"":604,""y"":732,""dx"":113,""dy"":-89,""t"":11938},{""x"":627,""y"":708,""dx"":136,""dy"":-113,""t"":11969},{""x"":588,""y"":709,""dx"":97,""dy"":-112,""t"":12006}],[{""x"":1408,""y"":791,""dx"":-43,""dy"":-30,""t"":13027},{""x"":1390,""y"":769,""dx"":-61,""dy"":-52,""t"":13060},{""x"":1346,""y"":773,""dx"":-105,""dy"":-48,""t"":13094},{""x"":1349,""y"":784,""dx"":-102,""dy"":-37,""t"":13127},{""x"":1360,""y"":792,""dx"":-91,""dy"":-29,""t"":13163},{""x"":1360,""y"":779,""dx"":-91,""dy"":-42,""t"":13196},{""x"":1323,""y"":789,""dx"":-128,""dy"":-32,""t"":13230},{""x"":1322,""y"":783,""dx"":-129,""dy"":-38,""t"":13263},{""x"":1301,""y"":795,""dx"":-150,""dy"":-26,""t"":13297},{""x"":1316,""y"":811,""dx"":-135,""dy"":-10,""t"":13332},{""x"":1314,""y"":798,""dx"":-137,""dy"":-23,""t"":13366},{""x"":1314,""y"":807,""dx"":-137,""dy"":-14,""t"":13400},{""x"":1321,""y"":809,""dx"":-130,""dy"":-12,""t"":13435},{""x"":1335,""y"":820,""dx"":-116,""dy"":-1,""t"":13467},{""x"":1350,""y"":808,""dx"":-101,""dy"":-13,""t"":13502},{""x"":1356,""y"":834,""dx"":-95,""dy"":13,""t"":13534},{""x"":1366,""y"":863,""dx"":-85,""dy"":42,""t"":13570},{""x"":1377,""y"":862,""dx"":-74,""dy"":41,""t"":13604},{""x"":1368,""y"":832,""dx"":-83,""dy"":11,""t"":13638},{""x"":1368,""y"":847,""dx"":-83,""dy"":26,""t"":13673},{""x"":1369,""y"":856,""dx"":-82,""dy"":35,""t"":13705},{""x"":1340,""y"":812,""dx"":-111,""dy"":-9,""t"":13739},{""x"":1336,""y"":743,""dx"":-115,""dy"":-78,""t"":13774},{""x"":1337,""y"":760,""dx"":-114,""dy"":-61,""t"":13808},{""x"":1322,""y"":764,""dx"":-129,""dy"":-57,""t"":13843},{""x"":1329,""y"":750,""dx"":-122,""dy"":-71,""t"":13876},{""x"":1329,""y"":755,""dx"":-122,""dy"":-66,""t"":13911},{""x"":1329,""y"":759,""dx"":-122,""dy"":-62,""t"":13942},{""x"":1337,""y"":767,""dx"":-114,""dy"":-54,""t"":13978},{""x"":1321,""y"":741,""dx"":-130,""dy"":-80,""t"":14012},{""x"":1318,""y"":714,""dx"":-133,""dy"":-107,""t"":14046},{""x"":1293,""y"":709,""dx"":-158,""dy"":-112,""t"":14081},{""x"":1323,""y"":705,""dx"":-128,""dy"":-116,""t"":14114},{""x"":1359,""y"":721,""dx"":-92,""dy"":-100,""t"":14149},{""x"":1364,""y"":707,""dx"":-87,""dy"":-114,""t"":14182},{""x"":1355,""y"":688,""dx"":-96,""dy"":-133,""t"":14216},{""x"":1366,""y"":677,""dx"":-85,""dy"":-144,""t"":14250},{""x"":1398,""y"":680,""dx"":-53,""dy"":-141,""t"":14284},{""x"":1409,""y"":679,""dx"":-42,""dy"":-142,""t"":14318},{""x"":1395,""y"":685,""dx"":-56,""dy"":-136,""t"":14353},{""x"":1397,""y"":685,""dx"":-54,""dy"":-136,""t"":14386},{""x"":1389,""y"":676,""dx"":-62,""dy"":-145,""t"":14420},{""x"":1370,""y"":679,""dx"":-81,""dy"":-142,""t"":14454},{""x"":1359,""y"":695,""dx"":-92,""dy"":-126,""t"":14488},{""x"":1355,""y"":713,""dx"":-96,""dy"":-108,""t"":14522},{""x"":1350,""y"":713,""dx"":-101,""dy"":-108,""t"":14556},{""x"":1356,""y"":719,""dx"":-95,""dy"":-102,""t"":14590},{""x"":1360,""y"":727,""dx"":-91,""dy"":-94,""t"":14624},{""x"":1372,""y"":751,""dx"":-79,""dy"":-70,""t"":14657},{""x"":1386,""y"":769,""dx"":-65,""dy"":-52,""t"":14692},{""x"":1398,""y"":772,""dx"":-53,""dy"":-49,""t"":14726},{""x"":1395,""y"":769,""dx"":-56,""dy"":-52,""t"":14760},{""x"":1397,""y"":767,""dx"":-54,""dy"":-54,""t"":14794},{""x"":1392,""y"":771,""dx"":-59,""dy"":-50,""t"":14827},{""x"":1395,""y"":767,""dx"":-56,""dy"":-54,""t"":14862},{""x"":1378,""y"":787,""dx"":-73,""dy"":-34,""t"":14895},{""x"":1385,""y"":781,""dx"":-66,""dy"":-40,""t"":14930},{""x"":1382,""y"":770,""dx"":-69,""dy"":-51,""t"":14963},{""x"":1380,""y"":752,""dx"":-71,""dy"":-69,""t"":14998},{""x"":1379,""y"":752,""dx"":-72,""dy"":-69,""t"":15032}]]","[100,100,100,79.66101694915254,100]","[{""x"":-106.61016949152543,""y"":-21.508474576271187,""r"":29.341132214755802},{""x"":11.745762711864407,""y"":88.9322033898305,""r"":31.31444805050606},{""x"":-14.067796610169491,""y"":-64.1864406779661,""r"":43.37114600352743},{""x"":130.76271186440678,""y"":-72.44067796610169,""r"":51.59782212934779},{""x"":-93.53333333333333,""y"":-60.45,""r"":68.49873045469393}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
