"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","1596","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1601","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7561","0.0-2.0-0.0","","","","","5959","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8521","0.0-2.0-1.0","","","","","958","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8865","0.0-3.0","","","","","341"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","12401","0.0-4.0","","","","","","","","","1428","","","","","","","","","","","","","","","",""
"","html-button-response","6","12913","0.0-5.0-0.0","","","","","510","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","21749","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","22400","0.0-5.0-2.0","","","","","651","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","40244","0.0-5.0-3.0","","","","","","","","","","[[{""x"":411,""y"":408,""dx"":-80,""dy"":127,""t"":990},{""x"":374,""y"":429,""dx"":-117,""dy"":148,""t"":1024},{""x"":391,""y"":430,""dx"":-100,""dy"":149,""t"":1058},{""x"":388,""y"":425,""dx"":-103,""dy"":144,""t"":1092},{""x"":393,""y"":427,""dx"":-98,""dy"":146,""t"":1127},{""x"":374,""y"":382,""dx"":-117,""dy"":101,""t"":1160},{""x"":356,""y"":376,""dx"":-135,""dy"":95,""t"":1195},{""x"":373,""y"":353,""dx"":-118,""dy"":72,""t"":1225},{""x"":361,""y"":376,""dx"":-130,""dy"":95,""t"":1262},{""x"":360,""y"":374,""dx"":-131,""dy"":93,""t"":1295},{""x"":368,""y"":318,""dx"":-123,""dy"":37,""t"":1330},{""x"":407,""y"":309,""dx"":-84,""dy"":28,""t"":1364},{""x"":399,""y"":292,""dx"":-92,""dy"":11,""t"":1398},{""x"":434,""y"":275,""dx"":-57,""dy"":-6,""t"":1432},{""x"":438,""y"":279,""dx"":-53,""dy"":-2,""t"":1466},{""x"":445,""y"":281,""dx"":-46,""dy"":0,""t"":1500},{""x"":421,""y"":288,""dx"":-70,""dy"":7,""t"":1534},{""x"":366,""y"":329,""dx"":-125,""dy"":48,""t"":1568},{""x"":337,""y"":348,""dx"":-154,""dy"":67,""t"":1601},{""x"":309,""y"":370,""dx"":-182,""dy"":89,""t"":1636},{""x"":288,""y"":391,""dx"":-203,""dy"":110,""t"":1670},{""x"":297,""y"":378,""dx"":-194,""dy"":97,""t"":1705},{""x"":309,""y"":373,""dx"":-182,""dy"":92,""t"":1738},{""x"":317,""y"":383,""dx"":-174,""dy"":102,""t"":1772},{""x"":346,""y"":378,""dx"":-145,""dy"":97,""t"":1806},{""x"":345,""y"":366,""dx"":-146,""dy"":85,""t"":1840},{""x"":330,""y"":353,""dx"":-161,""dy"":72,""t"":1873},{""x"":324,""y"":342,""dx"":-167,""dy"":61,""t"":1909},{""x"":307,""y"":329,""dx"":-184,""dy"":48,""t"":1942},{""x"":282,""y"":333,""dx"":-209,""dy"":52,""t"":1976},{""x"":298,""y"":315,""dx"":-193,""dy"":34,""t"":2010},{""x"":341,""y"":326,""dx"":-150,""dy"":45,""t"":2044},{""x"":370,""y"":318,""dx"":-121,""dy"":37,""t"":2078},{""x"":363,""y"":316,""dx"":-128,""dy"":35,""t"":2111},{""x"":349,""y"":284,""dx"":-142,""dy"":3,""t"":2145},{""x"":372,""y"":263,""dx"":-119,""dy"":-18,""t"":2180},{""x"":361,""y"":296,""dx"":-130,""dy"":15,""t"":2214},{""x"":376,""y"":312,""dx"":-115,""dy"":31,""t"":2248},{""x"":359,""y"":338,""dx"":-132,""dy"":57,""t"":2282},{""x"":356,""y"":362,""dx"":-135,""dy"":81,""t"":2316},{""x"":345,""y"":365,""dx"":-146,""dy"":84,""t"":2350},{""x"":360,""y"":370,""dx"":-131,""dy"":89,""t"":2381},{""x"":373,""y"":350,""dx"":-118,""dy"":69,""t"":2418},{""x"":345,""y"":344,""dx"":-146,""dy"":63,""t"":2452},{""x"":336,""y"":319,""dx"":-155,""dy"":38,""t"":2487},{""x"":334,""y"":366,""dx"":-157,""dy"":85,""t"":2520},{""x"":294,""y"":340,""dx"":-197,""dy"":59,""t"":2554},{""x"":300,""y"":364,""dx"":-191,""dy"":83,""t"":2588},{""x"":313,""y"":348,""dx"":-178,""dy"":67,""t"":2622},{""x"":321,""y"":341,""dx"":-170,""dy"":60,""t"":2657},{""x"":339,""y"":366,""dx"":-152,""dy"":85,""t"":2690},{""x"":302,""y"":372,""dx"":-189,""dy"":91,""t"":2723},{""x"":327,""y"":400,""dx"":-164,""dy"":119,""t"":2757},{""x"":349,""y"":424,""dx"":-142,""dy"":143,""t"":2789},{""x"":345,""y"":426,""dx"":-146,""dy"":145,""t"":2827},{""x"":354,""y"":436,""dx"":-137,""dy"":155,""t"":2860},{""x"":343,""y"":415,""dx"":-148,""dy"":134,""t"":2894},{""x"":378,""y"":408,""dx"":-113,""dy"":127,""t"":2928},{""x"":395,""y"":400,""dx"":-96,""dy"":119,""t"":2962}],[{""x"":1463,""y"":176,""dx"":12,""dy"":-105,""t"":4016},{""x"":1451,""y"":180,""dx"":0,""dy"":-101,""t"":4050},{""x"":1445,""y"":202,""dx"":-6,""dy"":-79,""t"":4084},{""x"":1421,""y"":221,""dx"":-30,""dy"":-60,""t"":4119},{""x"":1410,""y"":231,""dx"":-41,""dy"":-50,""t"":4152},{""x"":1408,""y"":230,""dx"":-43,""dy"":-51,""t"":4186},{""x"":1416,""y"":232,""dx"":-35,""dy"":-49,""t"":4220},{""x"":1424,""y"":247,""dx"":-27,""dy"":-34,""t"":4254},{""x"":1407,""y"":242,""dx"":-44,""dy"":-39,""t"":4289},{""x"":1405,""y"":257,""dx"":-46,""dy"":-24,""t"":4321},{""x"":1369,""y"":308,""dx"":-82,""dy"":27,""t"":4356},{""x"":1339,""y"":350,""dx"":-112,""dy"":69,""t"":4389},{""x"":1359,""y"":345,""dx"":-92,""dy"":64,""t"":4424},{""x"":1303,""y"":312,""dx"":-148,""dy"":31,""t"":4457},{""x"":1321,""y"":312,""dx"":-130,""dy"":31,""t"":4492},{""x"":1358,""y"":293,""dx"":-93,""dy"":12,""t"":4526},{""x"":1362,""y"":296,""dx"":-89,""dy"":15,""t"":4560},{""x"":1380,""y"":295,""dx"":-71,""dy"":14,""t"":4594},{""x"":1399,""y"":325,""dx"":-52,""dy"":44,""t"":4627},{""x"":1414,""y"":341,""dx"":-37,""dy"":60,""t"":4662},{""x"":1433,""y"":322,""dx"":-18,""dy"":41,""t"":4696},{""x"":1443,""y"":307,""dx"":-8,""dy"":26,""t"":4731},{""x"":1447,""y"":275,""dx"":-4,""dy"":-6,""t"":4764},{""x"":1434,""y"":287,""dx"":-17,""dy"":6,""t"":4798},{""x"":1429,""y"":234,""dx"":-22,""dy"":-47,""t"":4832},{""x"":1419,""y"":266,""dx"":-32,""dy"":-15,""t"":4867},{""x"":1412,""y"":268,""dx"":-39,""dy"":-13,""t"":4900},{""x"":1400,""y"":268,""dx"":-51,""dy"":-13,""t"":4935},{""x"":1399,""y"":289,""dx"":-52,""dy"":8,""t"":4968},{""x"":1408,""y"":284,""dx"":-43,""dy"":3,""t"":5002},{""x"":1382,""y"":368,""dx"":-69,""dy"":87,""t"":5036},{""x"":1337,""y"":540,""dx"":-114,""dy"":259,""t"":5070},{""x"":1332,""y"":643,""dx"":-119,""dy"":362,""t"":5105},{""x"":1319,""y"":730,""dx"":-132,""dy"":449,""t"":5138},{""x"":1332,""y"":737,""dx"":-119,""dy"":456,""t"":5172},{""x"":1334,""y"":699,""dx"":-117,""dy"":418,""t"":5206},{""x"":1341,""y"":617,""dx"":-110,""dy"":336,""t"":5240},{""x"":1342,""y"":582,""dx"":-109,""dy"":301,""t"":5275},{""x"":1315,""y"":509,""dx"":-136,""dy"":228,""t"":5308},{""x"":1310,""y"":477,""dx"":-141,""dy"":196,""t"":5343},{""x"":1333,""y"":430,""dx"":-118,""dy"":149,""t"":5376},{""x"":1358,""y"":413,""dx"":-93,""dy"":132,""t"":5411},{""x"":1331,""y"":383,""dx"":-120,""dy"":102,""t"":5444},{""x"":1344,""y"":308,""dx"":-107,""dy"":27,""t"":5478},{""x"":1355,""y"":322,""dx"":-96,""dy"":41,""t"":5512},{""x"":1384,""y"":309,""dx"":-67,""dy"":28,""t"":5546},{""x"":1376,""y"":353,""dx"":-75,""dy"":72,""t"":5581},{""x"":1335,""y"":505,""dx"":-116,""dy"":224,""t"":5614},{""x"":1304,""y"":655,""dx"":-147,""dy"":374,""t"":5648},{""x"":1307,""y"":734,""dx"":-144,""dy"":453,""t"":5682},{""x"":1294,""y"":773,""dx"":-157,""dy"":492,""t"":5716},{""x"":1261,""y"":744,""dx"":-190,""dy"":463,""t"":5750},{""x"":1271,""y"":679,""dx"":-180,""dy"":398,""t"":5784},{""x"":1279,""y"":608,""dx"":-172,""dy"":327,""t"":5818},{""x"":1320,""y"":512,""dx"":-131,""dy"":231,""t"":5852},{""x"":1332,""y"":479,""dx"":-119,""dy"":198,""t"":5886},{""x"":1367,""y"":412,""dx"":-84,""dy"":131,""t"":5920},{""x"":1396,""y"":357,""dx"":-55,""dy"":76,""t"":5952},{""x"":1408,""y"":349,""dx"":-43,""dy"":68,""t"":5988}],[{""x"":1039,""y"":564,""dx"":68,""dy"":13,""t"":7008},{""x"":1040,""y"":563,""dx"":69,""dy"":12,""t"":7042},{""x"":1005,""y"":559,""dx"":34,""dy"":8,""t"":7075},{""x"":1033,""y"":544,""dx"":62,""dy"":-7,""t"":7110},{""x"":979,""y"":544,""dx"":8,""dy"":-7,""t"":7144},{""x"":985,""y"":528,""dx"":14,""dy"":-23,""t"":7178},{""x"":958,""y"":542,""dx"":-13,""dy"":-9,""t"":7212},{""x"":940,""y"":548,""dx"":-31,""dy"":-3,""t"":7245},{""x"":957,""y"":551,""dx"":-14,""dy"":0,""t"":7280},{""x"":928,""y"":554,""dx"":-43,""dy"":3,""t"":7314},{""x"":983,""y"":575,""dx"":12,""dy"":24,""t"":7348},{""x"":953,""y"":581,""dx"":-18,""dy"":30,""t"":7382},{""x"":946,""y"":599,""dx"":-25,""dy"":48,""t"":7416},{""x"":970,""y"":627,""dx"":-1,""dy"":76,""t"":7451},{""x"":974,""y"":635,""dx"":3,""dy"":84,""t"":7484},{""x"":955,""y"":619,""dx"":-16,""dy"":68,""t"":7517},{""x"":949,""y"":606,""dx"":-22,""dy"":55,""t"":7552},{""x"":975,""y"":614,""dx"":4,""dy"":63,""t"":7586},{""x"":1039,""y"":600,""dx"":68,""dy"":49,""t"":7621},{""x"":1049,""y"":605,""dx"":78,""dy"":54,""t"":7654},{""x"":1097,""y"":628,""dx"":126,""dy"":77,""t"":7688},{""x"":1060,""y"":608,""dx"":89,""dy"":57,""t"":7723},{""x"":1031,""y"":602,""dx"":60,""dy"":51,""t"":7755},{""x"":1009,""y"":610,""dx"":38,""dy"":59,""t"":7789},{""x"":995,""y"":597,""dx"":24,""dy"":46,""t"":7824},{""x"":978,""y"":592,""dx"":7,""dy"":41,""t"":7859},{""x"":965,""y"":587,""dx"":-6,""dy"":36,""t"":7892},{""x"":935,""y"":584,""dx"":-36,""dy"":33,""t"":7926},{""x"":909,""y"":582,""dx"":-62,""dy"":31,""t"":7957},{""x"":924,""y"":582,""dx"":-47,""dy"":31,""t"":7994},{""x"":910,""y"":570,""dx"":-61,""dy"":19,""t"":8028},{""x"":898,""y"":563,""dx"":-73,""dy"":12,""t"":8062},{""x"":892,""y"":571,""dx"":-79,""dy"":20,""t"":8096},{""x"":926,""y"":570,""dx"":-45,""dy"":19,""t"":8130},{""x"":990,""y"":620,""dx"":19,""dy"":69,""t"":8164},{""x"":1020,""y"":661,""dx"":49,""dy"":110,""t"":8198},{""x"":1068,""y"":682,""dx"":97,""dy"":131,""t"":8232},{""x"":1039,""y"":673,""dx"":68,""dy"":122,""t"":8266},{""x"":1037,""y"":665,""dx"":66,""dy"":114,""t"":8301},{""x"":973,""y"":622,""dx"":2,""dy"":71,""t"":8334},{""x"":960,""y"":605,""dx"":-11,""dy"":54,""t"":8369},{""x"":946,""y"":582,""dx"":-25,""dy"":31,""t"":8402},{""x"":930,""y"":577,""dx"":-41,""dy"":26,""t"":8436},{""x"":930,""y"":574,""dx"":-41,""dy"":23,""t"":8470},{""x"":987,""y"":588,""dx"":16,""dy"":37,""t"":8504},{""x"":983,""y"":579,""dx"":12,""dy"":28,""t"":8538},{""x"":967,""y"":588,""dx"":-4,""dy"":37,""t"":8571},{""x"":964,""y"":565,""dx"":-7,""dy"":14,""t"":8607},{""x"":992,""y"":526,""dx"":21,""dy"":-25,""t"":8641},{""x"":1042,""y"":555,""dx"":71,""dy"":4,""t"":8674},{""x"":1033,""y"":620,""dx"":62,""dy"":69,""t"":8708},{""x"":1082,""y"":629,""dx"":111,""dy"":78,""t"":8741},{""x"":1123,""y"":650,""dx"":152,""dy"":99,""t"":8776},{""x"":1108,""y"":688,""dx"":137,""dy"":137,""t"":8811},{""x"":1107,""y"":632,""dx"":136,""dy"":81,""t"":8844},{""x"":1155,""y"":654,""dx"":184,""dy"":103,""t"":8879},{""x"":1113,""y"":647,""dx"":142,""dy"":96,""t"":8911},{""x"":1086,""y"":633,""dx"":115,""dy"":82,""t"":8945},{""x"":1095,""y"":643,""dx"":124,""dy"":92,""t"":8980},{""x"":1102,""y"":740,""dx"":131,""dy"":189,""t"":9014}],[{""x"":726,""y"":860,""dx"":235,""dy"":39,""t"":10034},{""x"":733,""y"":839,""dx"":242,""dy"":18,""t"":10067},{""x"":743,""y"":838,""dx"":252,""dy"":17,""t"":10102},{""x"":761,""y"":867,""dx"":270,""dy"":46,""t"":10136},{""x"":790,""y"":886,""dx"":299,""dy"":65,""t"":10170},{""x"":803,""y"":897,""dx"":312,""dy"":76,""t"":10205},{""x"":747,""y"":867,""dx"":256,""dy"":46,""t"":10239},{""x"":729,""y"":839,""dx"":238,""dy"":18,""t"":10272},{""x"":694,""y"":852,""dx"":203,""dy"":31,""t"":10306},{""x"":680,""y"":828,""dx"":189,""dy"":7,""t"":10340},{""x"":635,""y"":827,""dx"":144,""dy"":6,""t"":10374},{""x"":580,""y"":830,""dx"":89,""dy"":9,""t"":10409},{""x"":555,""y"":826,""dx"":64,""dy"":5,""t"":10442},{""x"":625,""y"":848,""dx"":134,""dy"":27,""t"":10476},{""x"":595,""y"":867,""dx"":104,""dy"":46,""t"":10510},{""x"":588,""y"":835,""dx"":97,""dy"":14,""t"":10544},{""x"":570,""y"":825,""dx"":79,""dy"":4,""t"":10578},{""x"":570,""y"":818,""dx"":79,""dy"":-3,""t"":10612},{""x"":572,""y"":842,""dx"":81,""dy"":21,""t"":10646},{""x"":570,""y"":870,""dx"":79,""dy"":49,""t"":10680},{""x"":579,""y"":852,""dx"":88,""dy"":31,""t"":10714},{""x"":584,""y"":872,""dx"":93,""dy"":51,""t"":10748},{""x"":634,""y"":878,""dx"":143,""dy"":57,""t"":10782},{""x"":614,""y"":898,""dx"":123,""dy"":77,""t"":10816},{""x"":579,""y"":912,""dx"":88,""dy"":91,""t"":10850},{""x"":584,""y"":900,""dx"":93,""dy"":79,""t"":10884},{""x"":597,""y"":903,""dx"":106,""dy"":82,""t"":10918},{""x"":587,""y"":930,""dx"":96,""dy"":109,""t"":10952},{""x"":581,""y"":945,""dx"":90,""dy"":124,""t"":10986},{""x"":592,""y"":938,""dx"":101,""dy"":117,""t"":11020},{""x"":603,""y"":945,""dx"":112,""dy"":124,""t"":11054},{""x"":617,""y"":975,""dx"":126,""dy"":154,""t"":11089},{""x"":585,""y"":982,""dx"":94,""dy"":161,""t"":11120},{""x"":608,""y"":971,""dx"":117,""dy"":150,""t"":11157},{""x"":593,""y"":957,""dx"":102,""dy"":136,""t"":11190},{""x"":573,""y"":952,""dx"":82,""dy"":131,""t"":11225},{""x"":562,""y"":947,""dx"":71,""dy"":126,""t"":11258},{""x"":638,""y"":954,""dx"":147,""dy"":133,""t"":11293},{""x"":677,""y"":932,""dx"":186,""dy"":111,""t"":11326},{""x"":741,""y"":930,""dx"":250,""dy"":109,""t"":11360},{""x"":725,""y"":924,""dx"":234,""dy"":103,""t"":11394},{""x"":691,""y"":908,""dx"":200,""dy"":87,""t"":11428},{""x"":657,""y"":891,""dx"":166,""dy"":70,""t"":11462},{""x"":641,""y"":872,""dx"":150,""dy"":51,""t"":11496},{""x"":596,""y"":872,""dx"":105,""dy"":51,""t"":11528},{""x"":575,""y"":851,""dx"":84,""dy"":30,""t"":11564},{""x"":630,""y"":859,""dx"":139,""dy"":38,""t"":11597},{""x"":604,""y"":845,""dx"":113,""dy"":24,""t"":11633},{""x"":628,""y"":857,""dx"":137,""dy"":36,""t"":11666},{""x"":614,""y"":820,""dx"":123,""dy"":-1,""t"":11700},{""x"":633,""y"":853,""dx"":142,""dy"":32,""t"":11733},{""x"":634,""y"":848,""dx"":143,""dy"":27,""t"":11769},{""x"":660,""y"":882,""dx"":169,""dy"":61,""t"":11802},{""x"":661,""y"":914,""dx"":170,""dy"":93,""t"":11836},{""x"":710,""y"":960,""dx"":219,""dy"":139,""t"":11870},{""x"":711,""y"":971,""dx"":220,""dy"":150,""t"":11904},{""x"":726,""y"":951,""dx"":235,""dy"":130,""t"":11938},{""x"":759,""y"":940,""dx"":268,""dy"":119,""t"":11973},{""x"":799,""y"":952,""dx"":308,""dy"":131,""t"":12005}],[{""x"":1389,""y"":716,""dx"":-62,""dy"":-105,""t"":13061},{""x"":1401,""y"":714,""dx"":-50,""dy"":-107,""t"":13092},{""x"":1371,""y"":730,""dx"":-80,""dy"":-91,""t"":13128},{""x"":1340,""y"":721,""dx"":-111,""dy"":-100,""t"":13162},{""x"":1317,""y"":738,""dx"":-134,""dy"":-83,""t"":13195},{""x"":1313,""y"":744,""dx"":-138,""dy"":-77,""t"":13229},{""x"":1309,""y"":740,""dx"":-142,""dy"":-81,""t"":13264},{""x"":1306,""y"":756,""dx"":-145,""dy"":-65,""t"":13297},{""x"":1320,""y"":736,""dx"":-131,""dy"":-85,""t"":13332},{""x"":1331,""y"":750,""dx"":-120,""dy"":-71,""t"":13366},{""x"":1319,""y"":757,""dx"":-132,""dy"":-64,""t"":13401},{""x"":1316,""y"":763,""dx"":-135,""dy"":-58,""t"":13434},{""x"":1303,""y"":771,""dx"":-148,""dy"":-50,""t"":13465},{""x"":1291,""y"":798,""dx"":-160,""dy"":-23,""t"":13502},{""x"":1305,""y"":783,""dx"":-146,""dy"":-38,""t"":13536},{""x"":1309,""y"":764,""dx"":-142,""dy"":-57,""t"":13571},{""x"":1332,""y"":751,""dx"":-119,""dy"":-70,""t"":13604},{""x"":1333,""y"":757,""dx"":-118,""dy"":-64,""t"":13638},{""x"":1347,""y"":760,""dx"":-104,""dy"":-61,""t"":13672},{""x"":1362,""y"":746,""dx"":-89,""dy"":-75,""t"":13707},{""x"":1367,""y"":746,""dx"":-84,""dy"":-75,""t"":13740},{""x"":1345,""y"":744,""dx"":-106,""dy"":-77,""t"":13773},{""x"":1356,""y"":750,""dx"":-95,""dy"":-71,""t"":13808},{""x"":1360,""y"":755,""dx"":-91,""dy"":-66,""t"":13843},{""x"":1353,""y"":758,""dx"":-98,""dy"":-63,""t"":13876},{""x"":1346,""y"":746,""dx"":-105,""dy"":-75,""t"":13910},{""x"":1330,""y"":752,""dx"":-121,""dy"":-69,""t"":13943},{""x"":1352,""y"":769,""dx"":-99,""dy"":-52,""t"":13978},{""x"":1338,""y"":782,""dx"":-113,""dy"":-39,""t"":14012},{""x"":1350,""y"":756,""dx"":-101,""dy"":-65,""t"":14046},{""x"":1351,""y"":738,""dx"":-100,""dy"":-83,""t"":14081},{""x"":1360,""y"":714,""dx"":-91,""dy"":-107,""t"":14114},{""x"":1360,""y"":719,""dx"":-91,""dy"":-102,""t"":14148},{""x"":1362,""y"":716,""dx"":-89,""dy"":-105,""t"":14182},{""x"":1369,""y"":707,""dx"":-82,""dy"":-114,""t"":14217},{""x"":1347,""y"":695,""dx"":-104,""dy"":-126,""t"":14250},{""x"":1336,""y"":715,""dx"":-115,""dy"":-106,""t"":14284},{""x"":1326,""y"":732,""dx"":-125,""dy"":-89,""t"":14318},{""x"":1336,""y"":727,""dx"":-115,""dy"":-94,""t"":14352},{""x"":1331,""y"":730,""dx"":-120,""dy"":-91,""t"":14386},{""x"":1321,""y"":750,""dx"":-130,""dy"":-71,""t"":14419},{""x"":1344,""y"":744,""dx"":-107,""dy"":-77,""t"":14454},{""x"":1363,""y"":736,""dx"":-88,""dy"":-85,""t"":14488},{""x"":1379,""y"":756,""dx"":-72,""dy"":-65,""t"":14521},{""x"":1337,""y"":760,""dx"":-114,""dy"":-61,""t"":14556},{""x"":1322,""y"":779,""dx"":-129,""dy"":-42,""t"":14590},{""x"":1312,""y"":774,""dx"":-139,""dy"":-47,""t"":14624},{""x"":1303,""y"":764,""dx"":-148,""dy"":-57,""t"":14655},{""x"":1297,""y"":745,""dx"":-154,""dy"":-76,""t"":14692},{""x"":1282,""y"":761,""dx"":-169,""dy"":-60,""t"":14726},{""x"":1278,""y"":774,""dx"":-173,""dy"":-47,""t"":14760},{""x"":1290,""y"":782,""dx"":-161,""dy"":-39,""t"":14793},{""x"":1303,""y"":756,""dx"":-148,""dy"":-65,""t"":14827},{""x"":1336,""y"":771,""dx"":-115,""dy"":-50,""t"":14862},{""x"":1316,""y"":784,""dx"":-135,""dy"":-37,""t"":14896},{""x"":1312,""y"":775,""dx"":-139,""dy"":-46,""t"":14930},{""x"":1313,""y"":777,""dx"":-138,""dy"":-44,""t"":14964},{""x"":1293,""y"":772,""dx"":-158,""dy"":-49,""t"":14998},{""x"":1342,""y"":758,""dx"":-109,""dy"":-63,""t"":15032}]]","[77.96610169491525,69.49152542372882,96.66666666666667,69.49152542372882,100]","[{""x"":-137.64406779661016,""y"":74.57627118644068,""r"":49.1085045271356},{""x"":-81.89830508474576,""y"":115.98305084745763,""r"":125.05948598930519},{""x"":29.3,""y"":49.03333333333333,""r"":93.41023630069205},{""x"":153.88135593220338,""y"":68.89830508474576,""r"":77.48006202560082},{""x"":-118.2542372881356,""y"":-70.76271186440678,""r"":29.559516404274653}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
