"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","webgazer_targets_data","correct","response_target","response_answer"
"true","fullscreen","0","46461","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","46467","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","51484","0.0-2.0-0.0","","","","","5014","{""name"":""shh"",""age"":""27""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","53163","0.0-2.0-1.0","","","","","1678","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","54235","0.0-3.0","","","","","1070"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","58840","0.0-4.0","","","","","","","","","2301","","","","","","","","","","","","","","","",""
"","html-button-response","6","59547","0.0-5.0-0.0","","","","","706","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","69705","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","70315","0.0-5.0-2.0","","","","","609","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","87379","0.0-5.0-3.0","","","","","","","","","","[[{""x"":497,""y"":304,""dx"":6,""dy"":23,""t"":989},{""x"":496,""y"":300,""dx"":5,""dy"":19,""t"":1024},{""x"":506,""y"":296,""dx"":15,""dy"":15,""t"":1058},{""x"":529,""y"":303,""dx"":38,""dy"":22,""t"":1092},{""x"":548,""y"":305,""dx"":57,""dy"":24,""t"":1125},{""x"":553,""y"":301,""dx"":62,""dy"":20,""t"":1160},{""x"":561,""y"":312,""dx"":70,""dy"":31,""t"":1194},{""x"":567,""y"":322,""dx"":76,""dy"":41,""t"":1225},{""x"":567,""y"":326,""dx"":76,""dy"":45,""t"":1262},{""x"":570,""y"":327,""dx"":79,""dy"":46,""t"":1296},{""x"":587,""y"":317,""dx"":96,""dy"":36,""t"":1330},{""x"":573,""y"":322,""dx"":82,""dy"":41,""t"":1363},{""x"":563,""y"":325,""dx"":72,""dy"":44,""t"":1398},{""x"":554,""y"":330,""dx"":63,""dy"":49,""t"":1432},{""x"":548,""y"":328,""dx"":57,""dy"":47,""t"":1467},{""x"":557,""y"":321,""dx"":66,""dy"":40,""t"":1500},{""x"":545,""y"":321,""dx"":54,""dy"":40,""t"":1534},{""x"":549,""y"":315,""dx"":58,""dy"":34,""t"":1568},{""x"":531,""y"":314,""dx"":40,""dy"":33,""t"":1602},{""x"":536,""y"":309,""dx"":45,""dy"":28,""t"":1636},{""x"":548,""y"":300,""dx"":57,""dy"":19,""t"":1671},{""x"":562,""y"":293,""dx"":71,""dy"":12,""t"":1704},{""x"":562,""y"":309,""dx"":71,""dy"":28,""t"":1739},{""x"":511,""y"":314,""dx"":20,""dy"":33,""t"":1772},{""x"":496,""y"":329,""dx"":5,""dy"":48,""t"":1806},{""x"":508,""y"":325,""dx"":17,""dy"":44,""t"":1840},{""x"":477,""y"":322,""dx"":-14,""dy"":41,""t"":1874},{""x"":526,""y"":332,""dx"":35,""dy"":51,""t"":1908},{""x"":532,""y"":307,""dx"":41,""dy"":26,""t"":1943},{""x"":542,""y"":295,""dx"":51,""dy"":14,""t"":1975},{""x"":563,""y"":282,""dx"":72,""dy"":1,""t"":2011},{""x"":585,""y"":310,""dx"":94,""dy"":29,""t"":2044},{""x"":597,""y"":297,""dx"":106,""dy"":16,""t"":2078},{""x"":582,""y"":294,""dx"":91,""dy"":13,""t"":2112},{""x"":569,""y"":324,""dx"":78,""dy"":43,""t"":2146},{""x"":570,""y"":320,""dx"":79,""dy"":39,""t"":2180},{""x"":576,""y"":305,""dx"":85,""dy"":24,""t"":2213},{""x"":567,""y"":307,""dx"":76,""dy"":26,""t"":2248},{""x"":561,""y"":294,""dx"":70,""dy"":13,""t"":2282},{""x"":540,""y"":326,""dx"":49,""dy"":45,""t"":2315},{""x"":532,""y"":349,""dx"":41,""dy"":68,""t"":2350},{""x"":538,""y"":357,""dx"":47,""dy"":76,""t"":2385},{""x"":537,""y"":373,""dx"":46,""dy"":92,""t"":2417},{""x"":540,""y"":360,""dx"":49,""dy"":79,""t"":2452},{""x"":538,""y"":349,""dx"":47,""dy"":68,""t"":2486},{""x"":553,""y"":337,""dx"":62,""dy"":56,""t"":2520},{""x"":548,""y"":326,""dx"":57,""dy"":45,""t"":2554},{""x"":555,""y"":327,""dx"":64,""dy"":46,""t"":2588},{""x"":547,""y"":349,""dx"":56,""dy"":68,""t"":2622},{""x"":534,""y"":343,""dx"":43,""dy"":62,""t"":2657},{""x"":565,""y"":342,""dx"":74,""dy"":61,""t"":2690},{""x"":542,""y"":366,""dx"":51,""dy"":85,""t"":2724},{""x"":533,""y"":354,""dx"":42,""dy"":73,""t"":2758},{""x"":525,""y"":342,""dx"":34,""dy"":61,""t"":2790},{""x"":531,""y"":338,""dx"":40,""dy"":57,""t"":2827},{""x"":527,""y"":329,""dx"":36,""dy"":48,""t"":2861},{""x"":518,""y"":346,""dx"":27,""dy"":65,""t"":2895},{""x"":496,""y"":366,""dx"":5,""dy"":85,""t"":2928},{""x"":478,""y"":383,""dx"":-13,""dy"":102,""t"":2962}],[{""x"":1417,""y"":240,""dx"":-34,""dy"":-41,""t"":4014},{""x"":1365,""y"":263,""dx"":-86,""dy"":-18,""t"":4050},{""x"":1324,""y"":284,""dx"":-127,""dy"":3,""t"":4084},{""x"":1317,""y"":277,""dx"":-134,""dy"":-4,""t"":4118},{""x"":1304,""y"":288,""dx"":-147,""dy"":7,""t"":4152},{""x"":1312,""y"":302,""dx"":-139,""dy"":21,""t"":4187},{""x"":1298,""y"":307,""dx"":-153,""dy"":26,""t"":4219},{""x"":1330,""y"":315,""dx"":-121,""dy"":34,""t"":4255},{""x"":1363,""y"":312,""dx"":-88,""dy"":31,""t"":4288},{""x"":1396,""y"":331,""dx"":-55,""dy"":50,""t"":4322},{""x"":1425,""y"":334,""dx"":-26,""dy"":53,""t"":4356},{""x"":1445,""y"":341,""dx"":-6,""dy"":60,""t"":4390},{""x"":1452,""y"":349,""dx"":1,""dy"":68,""t"":4421},{""x"":1458,""y"":344,""dx"":7,""dy"":63,""t"":4458},{""x"":1467,""y"":336,""dx"":16,""dy"":55,""t"":4492},{""x"":1456,""y"":339,""dx"":5,""dy"":58,""t"":4525},{""x"":1466,""y"":354,""dx"":15,""dy"":73,""t"":4560},{""x"":1484,""y"":347,""dx"":33,""dy"":66,""t"":4594},{""x"":1515,""y"":320,""dx"":64,""dy"":39,""t"":4628},{""x"":1531,""y"":300,""dx"":80,""dy"":19,""t"":4662},{""x"":1566,""y"":279,""dx"":115,""dy"":-2,""t"":4696},{""x"":1598,""y"":262,""dx"":147,""dy"":-19,""t"":4730},{""x"":1616,""y"":247,""dx"":165,""dy"":-34,""t"":4764},{""x"":1550,""y"":283,""dx"":99,""dy"":2,""t"":4798},{""x"":1569,""y"":263,""dx"":118,""dy"":-18,""t"":4832},{""x"":1492,""y"":294,""dx"":41,""dy"":13,""t"":4866},{""x"":1424,""y"":319,""dx"":-27,""dy"":38,""t"":4906},{""x"":1374,""y"":352,""dx"":-77,""dy"":71,""t"":4939},{""x"":1361,""y"":374,""dx"":-90,""dy"":93,""t"":4968},{""x"":1334,""y"":379,""dx"":-117,""dy"":98,""t"":5001},{""x"":1350,""y"":353,""dx"":-101,""dy"":72,""t"":5036},{""x"":1339,""y"":340,""dx"":-112,""dy"":59,""t"":5071},{""x"":1364,""y"":349,""dx"":-87,""dy"":68,""t"":5105},{""x"":1363,""y"":337,""dx"":-88,""dy"":56,""t"":5138},{""x"":1357,""y"":349,""dx"":-94,""dy"":68,""t"":5172},{""x"":1357,""y"":352,""dx"":-94,""dy"":71,""t"":5206},{""x"":1370,""y"":360,""dx"":-81,""dy"":79,""t"":5240},{""x"":1392,""y"":372,""dx"":-59,""dy"":91,""t"":5274},{""x"":1408,""y"":362,""dx"":-43,""dy"":81,""t"":5307},{""x"":1421,""y"":351,""dx"":-30,""dy"":70,""t"":5342},{""x"":1426,""y"":328,""dx"":-25,""dy"":47,""t"":5377},{""x"":1442,""y"":313,""dx"":-9,""dy"":32,""t"":5410},{""x"":1454,""y"":297,""dx"":3,""dy"":16,""t"":5444},{""x"":1480,""y"":288,""dx"":29,""dy"":7,""t"":5478},{""x"":1497,""y"":297,""dx"":46,""dy"":16,""t"":5513},{""x"":1489,""y"":306,""dx"":38,""dy"":25,""t"":5546},{""x"":1521,""y"":302,""dx"":70,""dy"":21,""t"":5580},{""x"":1519,""y"":307,""dx"":68,""dy"":26,""t"":5614},{""x"":1540,""y"":305,""dx"":89,""dy"":24,""t"":5648},{""x"":1504,""y"":303,""dx"":53,""dy"":22,""t"":5682},{""x"":1532,""y"":310,""dx"":81,""dy"":29,""t"":5715},{""x"":1568,""y"":303,""dx"":117,""dy"":22,""t"":5750},{""x"":1592,""y"":290,""dx"":141,""dy"":9,""t"":5784},{""x"":1531,""y"":313,""dx"":80,""dy"":32,""t"":5818},{""x"":1518,""y"":332,""dx"":67,""dy"":51,""t"":5852},{""x"":1517,""y"":339,""dx"":66,""dy"":58,""t"":5885},{""x"":1494,""y"":319,""dx"":43,""dy"":38,""t"":5920},{""x"":1524,""y"":324,""dx"":73,""dy"":43,""t"":5955},{""x"":1493,""y"":317,""dx"":42,""dy"":36,""t"":5986}],[{""x"":1001,""y"":483,""dx"":30,""dy"":-68,""t"":7008},{""x"":994,""y"":484,""dx"":23,""dy"":-67,""t"":7042},{""x"":999,""y"":471,""dx"":28,""dy"":-80,""t"":7077},{""x"":1021,""y"":468,""dx"":50,""dy"":-83,""t"":7111},{""x"":1014,""y"":473,""dx"":43,""dy"":-78,""t"":7145},{""x"":1021,""y"":468,""dx"":50,""dy"":-83,""t"":7178},{""x"":1021,""y"":455,""dx"":50,""dy"":-96,""t"":7212},{""x"":1003,""y"":455,""dx"":32,""dy"":-96,""t"":7246},{""x"":986,""y"":446,""dx"":15,""dy"":-105,""t"":7280},{""x"":985,""y"":458,""dx"":14,""dy"":-93,""t"":7315},{""x"":983,""y"":464,""dx"":12,""dy"":-87,""t"":7348},{""x"":995,""y"":463,""dx"":24,""dy"":-88,""t"":7382},{""x"":993,""y"":475,""dx"":22,""dy"":-76,""t"":7415},{""x"":1020,""y"":500,""dx"":49,""dy"":-51,""t"":7450},{""x"":1023,""y"":503,""dx"":52,""dy"":-48,""t"":7484},{""x"":980,""y"":497,""dx"":9,""dy"":-54,""t"":7519},{""x"":997,""y"":516,""dx"":26,""dy"":-35,""t"":7552},{""x"":1017,""y"":517,""dx"":46,""dy"":-34,""t"":7584},{""x"":1004,""y"":558,""dx"":33,""dy"":7,""t"":7621},{""x"":987,""y"":596,""dx"":16,""dy"":45,""t"":7654},{""x"":997,""y"":620,""dx"":26,""dy"":69,""t"":7688},{""x"":1005,""y"":617,""dx"":34,""dy"":66,""t"":7723},{""x"":1003,""y"":622,""dx"":32,""dy"":71,""t"":7756},{""x"":1021,""y"":606,""dx"":50,""dy"":55,""t"":7790},{""x"":1010,""y"":601,""dx"":39,""dy"":50,""t"":7825},{""x"":997,""y"":597,""dx"":26,""dy"":46,""t"":7858},{""x"":980,""y"":582,""dx"":9,""dy"":31,""t"":7893},{""x"":970,""y"":565,""dx"":-1,""dy"":14,""t"":7927},{""x"":981,""y"":560,""dx"":10,""dy"":9,""t"":7959},{""x"":992,""y"":547,""dx"":21,""dy"":-4,""t"":7992},{""x"":998,""y"":528,""dx"":27,""dy"":-23,""t"":8028},{""x"":1013,""y"":526,""dx"":42,""dy"":-25,""t"":8061},{""x"":992,""y"":518,""dx"":21,""dy"":-33,""t"":8097},{""x"":1005,""y"":515,""dx"":34,""dy"":-36,""t"":8130},{""x"":998,""y"":511,""dx"":27,""dy"":-40,""t"":8163},{""x"":1019,""y"":518,""dx"":48,""dy"":-33,""t"":8198},{""x"":995,""y"":511,""dx"":24,""dy"":-40,""t"":8232},{""x"":978,""y"":520,""dx"":7,""dy"":-31,""t"":8266},{""x"":990,""y"":520,""dx"":19,""dy"":-31,""t"":8301},{""x"":992,""y"":531,""dx"":21,""dy"":-20,""t"":8334},{""x"":1014,""y"":498,""dx"":43,""dy"":-53,""t"":8368},{""x"":1001,""y"":511,""dx"":30,""dy"":-40,""t"":8402},{""x"":1013,""y"":518,""dx"":42,""dy"":-33,""t"":8436},{""x"":1012,""y"":523,""dx"":41,""dy"":-28,""t"":8470},{""x"":1022,""y"":527,""dx"":51,""dy"":-24,""t"":8504},{""x"":1022,""y"":539,""dx"":51,""dy"":-12,""t"":8538},{""x"":1034,""y"":533,""dx"":63,""dy"":-18,""t"":8572},{""x"":1027,""y"":543,""dx"":56,""dy"":-8,""t"":8606},{""x"":1034,""y"":541,""dx"":63,""dy"":-10,""t"":8640},{""x"":1033,""y"":535,""dx"":62,""dy"":-16,""t"":8674},{""x"":1019,""y"":525,""dx"":48,""dy"":-26,""t"":8708},{""x"":1029,""y"":518,""dx"":58,""dy"":-33,""t"":8741},{""x"":1008,""y"":521,""dx"":37,""dy"":-30,""t"":8775},{""x"":1014,""y"":521,""dx"":43,""dy"":-30,""t"":8810},{""x"":1013,""y"":518,""dx"":42,""dy"":-33,""t"":8844},{""x"":1016,""y"":522,""dx"":45,""dy"":-29,""t"":8878},{""x"":1017,""y"":518,""dx"":46,""dy"":-33,""t"":8912},{""x"":1014,""y"":527,""dx"":43,""dy"":-24,""t"":8947},{""x"":1014,""y"":533,""dx"":43,""dy"":-18,""t"":8980},{""x"":999,""y"":550,""dx"":28,""dy"":-1,""t"":9014}],[{""x"":559,""y"":746,""dx"":68,""dy"":-75,""t"":10034},{""x"":571,""y"":744,""dx"":80,""dy"":-77,""t"":10068},{""x"":578,""y"":748,""dx"":87,""dy"":-73,""t"":10101},{""x"":566,""y"":754,""dx"":75,""dy"":-67,""t"":10137},{""x"":593,""y"":746,""dx"":102,""dy"":-75,""t"":10169},{""x"":597,""y"":737,""dx"":106,""dy"":-84,""t"":10204},{""x"":584,""y"":752,""dx"":93,""dy"":-69,""t"":10237},{""x"":560,""y"":751,""dx"":69,""dy"":-70,""t"":10272},{""x"":541,""y"":774,""dx"":50,""dy"":-47,""t"":10307},{""x"":551,""y"":770,""dx"":60,""dy"":-51,""t"":10340},{""x"":544,""y"":786,""dx"":53,""dy"":-35,""t"":10374},{""x"":531,""y"":811,""dx"":40,""dy"":-10,""t"":10408},{""x"":511,""y"":830,""dx"":20,""dy"":9,""t"":10442},{""x"":514,""y"":809,""dx"":23,""dy"":-12,""t"":10475},{""x"":487,""y"":824,""dx"":-4,""dy"":3,""t"":10510},{""x"":464,""y"":827,""dx"":-27,""dy"":6,""t"":10544},{""x"":442,""y"":834,""dx"":-49,""dy"":13,""t"":10578},{""x"":453,""y"":834,""dx"":-38,""dy"":13,""t"":10611},{""x"":447,""y"":838,""dx"":-44,""dy"":17,""t"":10646},{""x"":451,""y"":820,""dx"":-40,""dy"":-1,""t"":10680},{""x"":450,""y"":820,""dx"":-41,""dy"":-1,""t"":10713},{""x"":495,""y"":814,""dx"":4,""dy"":-7,""t"":10748},{""x"":485,""y"":821,""dx"":-6,""dy"":0,""t"":10781},{""x"":486,""y"":826,""dx"":-5,""dy"":5,""t"":10816},{""x"":501,""y"":838,""dx"":10,""dy"":17,""t"":10850},{""x"":465,""y"":847,""dx"":-26,""dy"":26,""t"":10886},{""x"":482,""y"":836,""dx"":-9,""dy"":15,""t"":10918},{""x"":487,""y"":836,""dx"":-4,""dy"":15,""t"":10952},{""x"":453,""y"":836,""dx"":-38,""dy"":15,""t"":10986},{""x"":462,""y"":828,""dx"":-29,""dy"":7,""t"":11020},{""x"":479,""y"":837,""dx"":-12,""dy"":16,""t"":11053},{""x"":500,""y"":818,""dx"":9,""dy"":-3,""t"":11089},{""x"":480,""y"":827,""dx"":-11,""dy"":6,""t"":11122},{""x"":504,""y"":828,""dx"":13,""dy"":7,""t"":11154},{""x"":478,""y"":835,""dx"":-13,""dy"":14,""t"":11190},{""x"":518,""y"":862,""dx"":27,""dy"":41,""t"":11224},{""x"":494,""y"":856,""dx"":3,""dy"":35,""t"":11258},{""x"":533,""y"":855,""dx"":42,""dy"":34,""t"":11292},{""x"":515,""y"":844,""dx"":24,""dy"":23,""t"":11325},{""x"":502,""y"":844,""dx"":11,""dy"":23,""t"":11360},{""x"":493,""y"":849,""dx"":2,""dy"":28,""t"":11394},{""x"":503,""y"":835,""dx"":12,""dy"":14,""t"":11428},{""x"":525,""y"":841,""dx"":34,""dy"":20,""t"":11462},{""x"":547,""y"":825,""dx"":56,""dy"":4,""t"":11496},{""x"":547,""y"":832,""dx"":56,""dy"":11,""t"":11530},{""x"":564,""y"":800,""dx"":73,""dy"":-21,""t"":11561},{""x"":549,""y"":804,""dx"":58,""dy"":-17,""t"":11597},{""x"":525,""y"":788,""dx"":34,""dy"":-33,""t"":11633},{""x"":503,""y"":804,""dx"":12,""dy"":-17,""t"":11666},{""x"":486,""y"":828,""dx"":-5,""dy"":7,""t"":11700},{""x"":490,""y"":846,""dx"":-1,""dy"":25,""t"":11734},{""x"":511,""y"":823,""dx"":20,""dy"":2,""t"":11769},{""x"":504,""y"":830,""dx"":13,""dy"":9,""t"":11802},{""x"":503,""y"":837,""dx"":12,""dy"":16,""t"":11836},{""x"":487,""y"":815,""dx"":-4,""dy"":-6,""t"":11870},{""x"":534,""y"":819,""dx"":43,""dy"":-2,""t"":11905},{""x"":581,""y"":806,""dx"":90,""dy"":-15,""t"":11938},{""x"":552,""y"":826,""dx"":61,""dy"":5,""t"":11972},{""x"":555,""y"":813,""dx"":64,""dy"":-8,""t"":12007}],[{""x"":1538,""y"":739,""dx"":87,""dy"":-82,""t"":13026},{""x"":1454,""y"":736,""dx"":3,""dy"":-85,""t"":13061},{""x"":1428,""y"":751,""dx"":-23,""dy"":-70,""t"":13092},{""x"":1341,""y"":764,""dx"":-110,""dy"":-57,""t"":13128},{""x"":1357,""y"":765,""dx"":-94,""dy"":-56,""t"":13162},{""x"":1381,""y"":762,""dx"":-70,""dy"":-59,""t"":13196},{""x"":1397,""y"":753,""dx"":-54,""dy"":-68,""t"":13230},{""x"":1402,""y"":708,""dx"":-49,""dy"":-113,""t"":13264},{""x"":1379,""y"":707,""dx"":-72,""dy"":-114,""t"":13298},{""x"":1350,""y"":684,""dx"":-101,""dy"":-137,""t"":13332},{""x"":1364,""y"":695,""dx"":-87,""dy"":-126,""t"":13367},{""x"":1373,""y"":672,""dx"":-78,""dy"":-149,""t"":13400},{""x"":1370,""y"":673,""dx"":-81,""dy"":-148,""t"":13434},{""x"":1378,""y"":686,""dx"":-73,""dy"":-135,""t"":13468},{""x"":1388,""y"":707,""dx"":-63,""dy"":-114,""t"":13503},{""x"":1391,""y"":681,""dx"":-60,""dy"":-140,""t"":13536},{""x"":1398,""y"":696,""dx"":-53,""dy"":-125,""t"":13570},{""x"":1416,""y"":686,""dx"":-35,""dy"":-135,""t"":13605},{""x"":1424,""y"":667,""dx"":-27,""dy"":-154,""t"":13638},{""x"":1403,""y"":671,""dx"":-48,""dy"":-150,""t"":13672},{""x"":1402,""y"":694,""dx"":-49,""dy"":-127,""t"":13706},{""x"":1405,""y"":684,""dx"":-46,""dy"":-137,""t"":13740},{""x"":1414,""y"":695,""dx"":-37,""dy"":-126,""t"":13774},{""x"":1407,""y"":704,""dx"":-44,""dy"":-117,""t"":13808},{""x"":1423,""y"":724,""dx"":-28,""dy"":-97,""t"":13842},{""x"":1432,""y"":745,""dx"":-19,""dy"":-76,""t"":13876},{""x"":1438,""y"":766,""dx"":-13,""dy"":-55,""t"":13940},{""x"":1426,""y"":763,""dx"":-25,""dy"":-58,""t"":13948},{""x"":1412,""y"":755,""dx"":-39,""dy"":-66,""t"":13979},{""x"":1408,""y"":726,""dx"":-43,""dy"":-95,""t"":14012},{""x"":1389,""y"":704,""dx"":-62,""dy"":-117,""t"":14046},{""x"":1382,""y"":702,""dx"":-69,""dy"":-119,""t"":14080},{""x"":1381,""y"":712,""dx"":-70,""dy"":-109,""t"":14113},{""x"":1376,""y"":710,""dx"":-75,""dy"":-111,""t"":14148},{""x"":1387,""y"":717,""dx"":-64,""dy"":-104,""t"":14182},{""x"":1397,""y"":708,""dx"":-54,""dy"":-113,""t"":14217},{""x"":1392,""y"":703,""dx"":-59,""dy"":-118,""t"":14250},{""x"":1393,""y"":696,""dx"":-58,""dy"":-125,""t"":14284},{""x"":1391,""y"":700,""dx"":-60,""dy"":-121,""t"":14318},{""x"":1410,""y"":708,""dx"":-41,""dy"":-113,""t"":14353},{""x"":1406,""y"":688,""dx"":-45,""dy"":-133,""t"":14387},{""x"":1388,""y"":713,""dx"":-63,""dy"":-108,""t"":14420},{""x"":1376,""y"":720,""dx"":-75,""dy"":-101,""t"":14454},{""x"":1378,""y"":734,""dx"":-73,""dy"":-87,""t"":14488},{""x"":1384,""y"":704,""dx"":-67,""dy"":-117,""t"":14522},{""x"":1388,""y"":709,""dx"":-63,""dy"":-112,""t"":14556},{""x"":1389,""y"":720,""dx"":-62,""dy"":-101,""t"":14589},{""x"":1390,""y"":697,""dx"":-61,""dy"":-124,""t"":14625},{""x"":1402,""y"":692,""dx"":-49,""dy"":-129,""t"":14658},{""x"":1404,""y"":706,""dx"":-47,""dy"":-115,""t"":14692},{""x"":1407,""y"":718,""dx"":-44,""dy"":-103,""t"":14723},{""x"":1416,""y"":723,""dx"":-35,""dy"":-98,""t"":14760},{""x"":1395,""y"":665,""dx"":-56,""dy"":-156,""t"":14795},{""x"":1416,""y"":675,""dx"":-35,""dy"":-146,""t"":14829},{""x"":1414,""y"":687,""dx"":-37,""dy"":-134,""t"":14862},{""x"":1431,""y"":686,""dx"":-20,""dy"":-135,""t"":14896},{""x"":1437,""y"":681,""dx"":-14,""dy"":-140,""t"":14930},{""x"":1468,""y"":702,""dx"":17,""dy"":-119,""t"":14963},{""x"":1467,""y"":681,""dx"":16,""dy"":-140,""t"":14998},{""x"":1457,""y"":627,""dx"":6,""dy"":-194,""t"":15032}]]","[100,100,100,100,100]","[{""x"":52.186440677966104,""y"":43.05084745762712,""r"":26.975256518417304},{""x"":-4.033898305084746,""y"":36.847457627118644,""r"":80.56331762709485},{""x"":34.583333333333336,""y"":-27.9,""r"":41.57236020481228},{""x"":22.084745762711865,""y"":-6.3559322033898304,""r"":39.79606877465022},{""x"":-47.5,""y"":-113.55,""r"":37.614650162348184}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
