"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3895","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3901","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7155","0.0-2.0-0.0","","","","","3252","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8835","0.0-2.0-1.0","","","","","1679","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9611","0.0-3.0","","","","","773"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16102","0.0-4.0","","","","","","","","","2147","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17139","0.0-5.0-0.0","","","","","1035","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","33690","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","35435","0.0-5.0-2.0","","","","","1744","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","53227","0.0-5.0-3.0","","","","","","","","","","[[{""x"":426,""y"":334,""dx"":-65,""dy"":53,""t"":990},{""x"":431,""y"":329,""dx"":-60,""dy"":48,""t"":1024},{""x"":439,""y"":339,""dx"":-52,""dy"":58,""t"":1059},{""x"":444,""y"":363,""dx"":-47,""dy"":82,""t"":1092},{""x"":451,""y"":361,""dx"":-40,""dy"":80,""t"":1126},{""x"":455,""y"":354,""dx"":-36,""dy"":73,""t"":1160},{""x"":460,""y"":366,""dx"":-31,""dy"":85,""t"":1193},{""x"":459,""y"":374,""dx"":-32,""dy"":93,""t"":1228},{""x"":469,""y"":378,""dx"":-22,""dy"":97,""t"":1261},{""x"":478,""y"":380,""dx"":-13,""dy"":99,""t"":1293},{""x"":479,""y"":378,""dx"":-12,""dy"":97,""t"":1331},{""x"":486,""y"":382,""dx"":-5,""dy"":101,""t"":1364},{""x"":484,""y"":380,""dx"":-7,""dy"":99,""t"":1398},{""x"":488,""y"":372,""dx"":-3,""dy"":91,""t"":1432},{""x"":479,""y"":378,""dx"":-12,""dy"":97,""t"":1467},{""x"":504,""y"":314,""dx"":13,""dy"":33,""t"":1500},{""x"":499,""y"":336,""dx"":8,""dy"":55,""t"":1534},{""x"":532,""y"":274,""dx"":41,""dy"":-7,""t"":1569},{""x"":514,""y"":308,""dx"":23,""dy"":27,""t"":1602},{""x"":503,""y"":334,""dx"":12,""dy"":53,""t"":1636},{""x"":500,""y"":340,""dx"":9,""dy"":59,""t"":1670},{""x"":523,""y"":318,""dx"":32,""dy"":37,""t"":1704},{""x"":514,""y"":325,""dx"":23,""dy"":44,""t"":1738},{""x"":519,""y"":290,""dx"":28,""dy"":9,""t"":1772},{""x"":507,""y"":312,""dx"":16,""dy"":31,""t"":1806},{""x"":508,""y"":325,""dx"":17,""dy"":44,""t"":1840},{""x"":516,""y"":323,""dx"":25,""dy"":42,""t"":1875},{""x"":495,""y"":356,""dx"":4,""dy"":75,""t"":1908},{""x"":531,""y"":344,""dx"":40,""dy"":63,""t"":1942},{""x"":549,""y"":311,""dx"":58,""dy"":30,""t"":1976},{""x"":572,""y"":268,""dx"":81,""dy"":-13,""t"":2010},{""x"":580,""y"":262,""dx"":89,""dy"":-19,""t"":2045},{""x"":595,""y"":251,""dx"":104,""dy"":-30,""t"":2078},{""x"":562,""y"":286,""dx"":71,""dy"":5,""t"":2113},{""x"":580,""y"":276,""dx"":89,""dy"":-5,""t"":2146},{""x"":548,""y"":319,""dx"":57,""dy"":38,""t"":2180},{""x"":558,""y"":297,""dx"":67,""dy"":16,""t"":2214},{""x"":563,""y"":292,""dx"":72,""dy"":11,""t"":2248},{""x"":551,""y"":319,""dx"":60,""dy"":38,""t"":2282},{""x"":554,""y"":306,""dx"":63,""dy"":25,""t"":2317},{""x"":551,""y"":336,""dx"":60,""dy"":55,""t"":2350},{""x"":536,""y"":363,""dx"":45,""dy"":82,""t"":2384},{""x"":556,""y"":347,""dx"":65,""dy"":66,""t"":2418},{""x"":558,""y"":329,""dx"":67,""dy"":48,""t"":2453},{""x"":578,""y"":309,""dx"":87,""dy"":28,""t"":2484},{""x"":595,""y"":298,""dx"":104,""dy"":17,""t"":2520},{""x"":607,""y"":281,""dx"":116,""dy"":0,""t"":2554},{""x"":623,""y"":238,""dx"":132,""dy"":-43,""t"":2588},{""x"":627,""y"":225,""dx"":136,""dy"":-56,""t"":2622},{""x"":634,""y"":216,""dx"":143,""dy"":-65,""t"":2655},{""x"":641,""y"":201,""dx"":150,""dy"":-80,""t"":2690},{""x"":642,""y"":210,""dx"":151,""dy"":-71,""t"":2725},{""x"":622,""y"":242,""dx"":131,""dy"":-39,""t"":2758},{""x"":622,""y"":229,""dx"":131,""dy"":-52,""t"":2792},{""x"":612,""y"":222,""dx"":121,""dy"":-59,""t"":2826},{""x"":603,""y"":216,""dx"":112,""dy"":-65,""t"":2857},{""x"":600,""y"":198,""dx"":109,""dy"":-83,""t"":2894},{""x"":602,""y"":210,""dx"":111,""dy"":-71,""t"":2928},{""x"":578,""y"":243,""dx"":87,""dy"":-38,""t"":2962},{""x"":562,""y"":283,""dx"":71,""dy"":2,""t"":2996}],[{""x"":1503,""y"":317,""dx"":52,""dy"":36,""t"":4016},{""x"":1479,""y"":307,""dx"":28,""dy"":26,""t"":4048},{""x"":1454,""y"":309,""dx"":3,""dy"":28,""t"":4084},{""x"":1438,""y"":314,""dx"":-13,""dy"":33,""t"":4118},{""x"":1419,""y"":318,""dx"":-32,""dy"":37,""t"":4152},{""x"":1411,""y"":324,""dx"":-40,""dy"":43,""t"":4186},{""x"":1399,""y"":341,""dx"":-52,""dy"":60,""t"":4220},{""x"":1396,""y"":335,""dx"":-55,""dy"":54,""t"":4254},{""x"":1392,""y"":336,""dx"":-59,""dy"":55,""t"":4288},{""x"":1392,""y"":334,""dx"":-59,""dy"":53,""t"":4323},{""x"":1390,""y"":342,""dx"":-61,""dy"":61,""t"":4356},{""x"":1394,""y"":341,""dx"":-57,""dy"":60,""t"":4390},{""x"":1395,""y"":337,""dx"":-56,""dy"":56,""t"":4423},{""x"":1397,""y"":333,""dx"":-54,""dy"":52,""t"":4456},{""x"":1399,""y"":334,""dx"":-52,""dy"":53,""t"":4523},{""x"":1400,""y"":335,""dx"":-51,""dy"":54,""t"":4532},{""x"":1402,""y"":336,""dx"":-49,""dy"":55,""t"":4557},{""x"":1400,""y"":334,""dx"":-51,""dy"":53,""t"":4593},{""x"":1394,""y"":351,""dx"":-57,""dy"":70,""t"":4628},{""x"":1388,""y"":343,""dx"":-63,""dy"":62,""t"":4662},{""x"":1390,""y"":359,""dx"":-61,""dy"":78,""t"":4697},{""x"":1376,""y"":380,""dx"":-75,""dy"":99,""t"":4730},{""x"":1374,""y"":410,""dx"":-77,""dy"":129,""t"":4763},{""x"":1380,""y"":414,""dx"":-71,""dy"":133,""t"":4798},{""x"":1384,""y"":406,""dx"":-67,""dy"":125,""t"":4833},{""x"":1390,""y"":391,""dx"":-61,""dy"":110,""t"":4867},{""x"":1392,""y"":402,""dx"":-59,""dy"":121,""t"":4900},{""x"":1389,""y"":391,""dx"":-62,""dy"":110,""t"":4934},{""x"":1390,""y"":383,""dx"":-61,""dy"":102,""t"":4968},{""x"":1396,""y"":375,""dx"":-55,""dy"":94,""t"":5002},{""x"":1400,""y"":373,""dx"":-51,""dy"":92,""t"":5036},{""x"":1397,""y"":365,""dx"":-54,""dy"":84,""t"":5070},{""x"":1399,""y"":366,""dx"":-52,""dy"":85,""t"":5105},{""x"":1403,""y"":354,""dx"":-48,""dy"":73,""t"":5139},{""x"":1406,""y"":342,""dx"":-45,""dy"":61,""t"":5172},{""x"":1405,""y"":347,""dx"":-46,""dy"":66,""t"":5206},{""x"":1406,""y"":332,""dx"":-45,""dy"":51,""t"":5240},{""x"":1390,""y"":345,""dx"":-61,""dy"":64,""t"":5274},{""x"":1385,""y"":344,""dx"":-66,""dy"":63,""t"":5308},{""x"":1384,""y"":338,""dx"":-67,""dy"":57,""t"":5342},{""x"":1380,""y"":337,""dx"":-71,""dy"":56,""t"":5376},{""x"":1390,""y"":332,""dx"":-61,""dy"":51,""t"":5410},{""x"":1392,""y"":322,""dx"":-59,""dy"":41,""t"":5444},{""x"":1398,""y"":310,""dx"":-53,""dy"":29,""t"":5479},{""x"":1406,""y"":308,""dx"":-45,""dy"":27,""t"":5512},{""x"":1403,""y"":310,""dx"":-48,""dy"":29,""t"":5546},{""x"":1408,""y"":310,""dx"":-43,""dy"":29,""t"":5581},{""x"":1407,""y"":325,""dx"":-44,""dy"":44,""t"":5614},{""x"":1409,""y"":325,""dx"":-42,""dy"":44,""t"":5648},{""x"":1412,""y"":334,""dx"":-39,""dy"":53,""t"":5683},{""x"":1413,""y"":341,""dx"":-38,""dy"":60,""t"":5716},{""x"":1407,""y"":343,""dx"":-44,""dy"":62,""t"":5750},{""x"":1408,""y"":341,""dx"":-43,""dy"":60,""t"":5784},{""x"":1406,""y"":357,""dx"":-45,""dy"":76,""t"":5818},{""x"":1404,""y"":357,""dx"":-47,""dy"":76,""t"":5852},{""x"":1399,""y"":366,""dx"":-52,""dy"":85,""t"":5886},{""x"":1402,""y"":371,""dx"":-49,""dy"":90,""t"":5920},{""x"":1408,""y"":373,""dx"":-43,""dy"":92,""t"":5955},{""x"":1406,""y"":380,""dx"":-45,""dy"":99,""t"":5989}],[{""x"":1000,""y"":557,""dx"":29,""dy"":6,""t"":7042},{""x"":1012,""y"":561,""dx"":41,""dy"":10,""t"":7077},{""x"":1016,""y"":567,""dx"":45,""dy"":16,""t"":7111},{""x"":1021,""y"":571,""dx"":50,""dy"":20,""t"":7144},{""x"":1015,""y"":574,""dx"":44,""dy"":23,""t"":7178},{""x"":1020,""y"":584,""dx"":49,""dy"":33,""t"":7212},{""x"":1018,""y"":570,""dx"":47,""dy"":19,""t"":7246},{""x"":1034,""y"":586,""dx"":63,""dy"":35,""t"":7280},{""x"":1047,""y"":595,""dx"":76,""dy"":44,""t"":7313},{""x"":1033,""y"":593,""dx"":62,""dy"":42,""t"":7348},{""x"":1052,""y"":589,""dx"":81,""dy"":38,""t"":7382},{""x"":1074,""y"":599,""dx"":103,""dy"":48,""t"":7417},{""x"":1052,""y"":587,""dx"":81,""dy"":36,""t"":7450},{""x"":1036,""y"":578,""dx"":65,""dy"":27,""t"":7484},{""x"":1034,""y"":577,""dx"":63,""dy"":26,""t"":7518},{""x"":1036,""y"":568,""dx"":65,""dy"":17,""t"":7552},{""x"":1056,""y"":557,""dx"":85,""dy"":6,""t"":7585},{""x"":1072,""y"":548,""dx"":101,""dy"":-3,""t"":7618},{""x"":1061,""y"":545,""dx"":90,""dy"":-6,""t"":7654},{""x"":1033,""y"":535,""dx"":62,""dy"":-16,""t"":7688},{""x"":1033,""y"":534,""dx"":62,""dy"":-17,""t"":7723},{""x"":1009,""y"":547,""dx"":38,""dy"":-4,""t"":7756},{""x"":1009,""y"":541,""dx"":38,""dy"":-10,""t"":7790},{""x"":1042,""y"":539,""dx"":71,""dy"":-12,""t"":7823},{""x"":1054,""y"":520,""dx"":83,""dy"":-31,""t"":7858},{""x"":1060,""y"":527,""dx"":89,""dy"":-24,""t"":7892},{""x"":1065,""y"":525,""dx"":94,""dy"":-26,""t"":7927},{""x"":1059,""y"":533,""dx"":88,""dy"":-18,""t"":7960},{""x"":1038,""y"":528,""dx"":67,""dy"":-23,""t"":7994},{""x"":1045,""y"":539,""dx"":74,""dy"":-12,""t"":8026},{""x"":1037,""y"":545,""dx"":66,""dy"":-6,""t"":8062},{""x"":1020,""y"":538,""dx"":49,""dy"":-13,""t"":8096},{""x"":1004,""y"":540,""dx"":33,""dy"":-11,""t"":8130},{""x"":988,""y"":538,""dx"":17,""dy"":-13,""t"":8164},{""x"":994,""y"":545,""dx"":23,""dy"":-6,""t"":8198},{""x"":990,""y"":553,""dx"":19,""dy"":2,""t"":8232},{""x"":988,""y"":557,""dx"":17,""dy"":6,""t"":8267},{""x"":982,""y"":566,""dx"":11,""dy"":15,""t"":8300},{""x"":992,""y"":549,""dx"":21,""dy"":-2,""t"":8333},{""x"":1019,""y"":563,""dx"":48,""dy"":12,""t"":8368},{""x"":1050,""y"":556,""dx"":79,""dy"":5,""t"":8403},{""x"":1084,""y"":556,""dx"":113,""dy"":5,""t"":8436},{""x"":1070,""y"":558,""dx"":99,""dy"":7,""t"":8470},{""x"":1041,""y"":562,""dx"":70,""dy"":11,""t"":8504},{""x"":1087,""y"":570,""dx"":116,""dy"":19,""t"":8538},{""x"":1110,""y"":567,""dx"":139,""dy"":16,""t"":8572},{""x"":1129,""y"":548,""dx"":158,""dy"":-3,""t"":8606},{""x"":1132,""y"":538,""dx"":161,""dy"":-13,""t"":8640},{""x"":1129,""y"":523,""dx"":158,""dy"":-28,""t"":8675},{""x"":1112,""y"":515,""dx"":141,""dy"":-36,""t"":8708},{""x"":1100,""y"":512,""dx"":129,""dy"":-39,""t"":8742},{""x"":1084,""y"":509,""dx"":113,""dy"":-42,""t"":8776},{""x"":1070,""y"":522,""dx"":99,""dy"":-29,""t"":8811},{""x"":1064,""y"":528,""dx"":93,""dy"":-23,""t"":8845},{""x"":1045,""y"":530,""dx"":74,""dy"":-21,""t"":8878},{""x"":1050,""y"":540,""dx"":79,""dy"":-11,""t"":8913},{""x"":1064,""y"":554,""dx"":93,""dy"":3,""t"":8946},{""x"":1064,""y"":547,""dx"":93,""dy"":-4,""t"":8980},{""x"":1068,""y"":529,""dx"":97,""dy"":-22,""t"":9015}],[{""x"":629,""y"":584,""dx"":138,""dy"":-237,""t"":10035},{""x"":634,""y"":588,""dx"":143,""dy"":-233,""t"":10068},{""x"":643,""y"":598,""dx"":152,""dy"":-223,""t"":10103},{""x"":648,""y"":625,""dx"":157,""dy"":-196,""t"":10137},{""x"":647,""y"":619,""dx"":156,""dy"":-202,""t"":10170},{""x"":652,""y"":636,""dx"":161,""dy"":-185,""t"":10203},{""x"":656,""y"":643,""dx"":165,""dy"":-178,""t"":10238},{""x"":646,""y"":627,""dx"":155,""dy"":-194,""t"":10273},{""x"":632,""y"":644,""dx"":141,""dy"":-177,""t"":10306},{""x"":636,""y"":649,""dx"":145,""dy"":-172,""t"":10340},{""x"":626,""y"":656,""dx"":135,""dy"":-165,""t"":10373},{""x"":614,""y"":664,""dx"":123,""dy"":-157,""t"":10408},{""x"":608,""y"":669,""dx"":117,""dy"":-152,""t"":10442},{""x"":633,""y"":667,""dx"":142,""dy"":-154,""t"":10476},{""x"":625,""y"":670,""dx"":134,""dy"":-151,""t"":10510},{""x"":632,""y"":652,""dx"":141,""dy"":-169,""t"":10544},{""x"":635,""y"":665,""dx"":144,""dy"":-156,""t"":10578},{""x"":632,""y"":660,""dx"":141,""dy"":-161,""t"":10612},{""x"":625,""y"":657,""dx"":134,""dy"":-164,""t"":10646},{""x"":620,""y"":662,""dx"":129,""dy"":-159,""t"":10681},{""x"":602,""y"":655,""dx"":111,""dy"":-166,""t"":10714},{""x"":599,""y"":653,""dx"":108,""dy"":-168,""t"":10748},{""x"":595,""y"":656,""dx"":104,""dy"":-165,""t"":10782},{""x"":632,""y"":661,""dx"":141,""dy"":-160,""t"":10816},{""x"":616,""y"":657,""dx"":125,""dy"":-164,""t"":10850},{""x"":629,""y"":630,""dx"":138,""dy"":-191,""t"":10884},{""x"":613,""y"":640,""dx"":122,""dy"":-181,""t"":10918},{""x"":634,""y"":651,""dx"":143,""dy"":-170,""t"":10952},{""x"":644,""y"":641,""dx"":153,""dy"":-180,""t"":10986},{""x"":665,""y"":638,""dx"":174,""dy"":-183,""t"":11020},{""x"":655,""y"":643,""dx"":164,""dy"":-178,""t"":11054},{""x"":669,""y"":631,""dx"":178,""dy"":-190,""t"":11088},{""x"":684,""y"":628,""dx"":193,""dy"":-193,""t"":11123},{""x"":688,""y"":612,""dx"":197,""dy"":-209,""t"":11156},{""x"":691,""y"":598,""dx"":200,""dy"":-223,""t"":11187},{""x"":692,""y"":588,""dx"":201,""dy"":-233,""t"":11223},{""x"":678,""y"":604,""dx"":187,""dy"":-217,""t"":11258},{""x"":689,""y"":609,""dx"":198,""dy"":-212,""t"":11292},{""x"":698,""y"":618,""dx"":207,""dy"":-203,""t"":11326},{""x"":711,""y"":630,""dx"":220,""dy"":-191,""t"":11359},{""x"":715,""y"":636,""dx"":224,""dy"":-185,""t"":11395},{""x"":714,""y"":627,""dx"":223,""dy"":-194,""t"":11428},{""x"":718,""y"":628,""dx"":227,""dy"":-193,""t"":11462},{""x"":702,""y"":623,""dx"":211,""dy"":-198,""t"":11496},{""x"":688,""y"":627,""dx"":197,""dy"":-194,""t"":11530},{""x"":675,""y"":616,""dx"":184,""dy"":-205,""t"":11564},{""x"":673,""y"":616,""dx"":182,""dy"":-205,""t"":11595},{""x"":661,""y"":612,""dx"":170,""dy"":-209,""t"":11631},{""x"":657,""y"":615,""dx"":166,""dy"":-206,""t"":11667},{""x"":642,""y"":608,""dx"":151,""dy"":-213,""t"":11700},{""x"":646,""y"":611,""dx"":155,""dy"":-210,""t"":11734},{""x"":627,""y"":626,""dx"":136,""dy"":-195,""t"":11768},{""x"":630,""y"":626,""dx"":139,""dy"":-195,""t"":11802},{""x"":615,""y"":626,""dx"":124,""dy"":-195,""t"":11836},{""x"":633,""y"":640,""dx"":142,""dy"":-181,""t"":11871},{""x"":651,""y"":650,""dx"":160,""dy"":-171,""t"":11905},{""x"":662,""y"":640,""dx"":171,""dy"":-181,""t"":11939},{""x"":627,""y"":653,""dx"":136,""dy"":-168,""t"":11972},{""x"":629,""y"":637,""dx"":138,""dy"":-184,""t"":12006}],[{""x"":1457,""y"":623,""dx"":6,""dy"":-198,""t"":13026},{""x"":1451,""y"":620,""dx"":0,""dy"":-201,""t"":13061},{""x"":1445,""y"":633,""dx"":-6,""dy"":-188,""t"":13095},{""x"":1424,""y"":594,""dx"":-27,""dy"":-227,""t"":13129},{""x"":1420,""y"":604,""dx"":-31,""dy"":-217,""t"":13162},{""x"":1393,""y"":579,""dx"":-58,""dy"":-242,""t"":13194},{""x"":1381,""y"":578,""dx"":-70,""dy"":-243,""t"":13230},{""x"":1385,""y"":603,""dx"":-66,""dy"":-218,""t"":13264},{""x"":1390,""y"":617,""dx"":-61,""dy"":-204,""t"":13299},{""x"":1400,""y"":628,""dx"":-51,""dy"":-193,""t"":13332},{""x"":1396,""y"":610,""dx"":-55,""dy"":-211,""t"":13367},{""x"":1384,""y"":589,""dx"":-67,""dy"":-232,""t"":13400},{""x"":1368,""y"":593,""dx"":-83,""dy"":-228,""t"":13434},{""x"":1340,""y"":606,""dx"":-111,""dy"":-215,""t"":13468},{""x"":1339,""y"":626,""dx"":-112,""dy"":-195,""t"":13503},{""x"":1339,""y"":623,""dx"":-112,""dy"":-198,""t"":13535},{""x"":1337,""y"":608,""dx"":-114,""dy"":-213,""t"":13571},{""x"":1329,""y"":599,""dx"":-122,""dy"":-222,""t"":13604},{""x"":1322,""y"":574,""dx"":-129,""dy"":-247,""t"":13638},{""x"":1348,""y"":594,""dx"":-103,""dy"":-227,""t"":13672},{""x"":1340,""y"":580,""dx"":-111,""dy"":-241,""t"":13707},{""x"":1361,""y"":603,""dx"":-90,""dy"":-218,""t"":13740},{""x"":1375,""y"":625,""dx"":-76,""dy"":-196,""t"":13813},{""x"":1365,""y"":636,""dx"":-86,""dy"":-185,""t"":13842},{""x"":1361,""y"":632,""dx"":-90,""dy"":-189,""t"":13876},{""x"":1375,""y"":660,""dx"":-76,""dy"":-161,""t"":13911},{""x"":1388,""y"":671,""dx"":-63,""dy"":-150,""t"":13944},{""x"":1374,""y"":647,""dx"":-77,""dy"":-174,""t"":13977},{""x"":1363,""y"":621,""dx"":-88,""dy"":-200,""t"":14012},{""x"":1363,""y"":654,""dx"":-88,""dy"":-167,""t"":14047},{""x"":1361,""y"":676,""dx"":-90,""dy"":-145,""t"":14081},{""x"":1373,""y"":691,""dx"":-78,""dy"":-130,""t"":14114},{""x"":1372,""y"":692,""dx"":-79,""dy"":-129,""t"":14148},{""x"":1376,""y"":698,""dx"":-75,""dy"":-123,""t"":14182},{""x"":1382,""y"":696,""dx"":-69,""dy"":-125,""t"":14216},{""x"":1384,""y"":688,""dx"":-67,""dy"":-133,""t"":14250},{""x"":1387,""y"":686,""dx"":-64,""dy"":-135,""t"":14283},{""x"":1389,""y"":697,""dx"":-62,""dy"":-124,""t"":14319},{""x"":1392,""y"":690,""dx"":-59,""dy"":-131,""t"":14352},{""x"":1389,""y"":700,""dx"":-62,""dy"":-121,""t"":14386},{""x"":1384,""y"":707,""dx"":-67,""dy"":-114,""t"":14421},{""x"":1386,""y"":698,""dx"":-65,""dy"":-123,""t"":14454},{""x"":1393,""y"":714,""dx"":-58,""dy"":-107,""t"":14487},{""x"":1388,""y"":708,""dx"":-63,""dy"":-113,""t"":14522},{""x"":1392,""y"":700,""dx"":-59,""dy"":-121,""t"":14556},{""x"":1397,""y"":700,""dx"":-54,""dy"":-121,""t"":14590},{""x"":1398,""y"":689,""dx"":-53,""dy"":-132,""t"":14623},{""x"":1392,""y"":696,""dx"":-59,""dy"":-125,""t"":14658},{""x"":1388,""y"":686,""dx"":-63,""dy"":-135,""t"":14692},{""x"":1377,""y"":679,""dx"":-74,""dy"":-142,""t"":14726},{""x"":1368,""y"":673,""dx"":-83,""dy"":-148,""t"":14758},{""x"":1367,""y"":667,""dx"":-84,""dy"":-154,""t"":14794},{""x"":1368,""y"":693,""dx"":-83,""dy"":-128,""t"":14829},{""x"":1366,""y"":688,""dx"":-85,""dy"":-133,""t"":14862},{""x"":1369,""y"":687,""dx"":-82,""dy"":-134,""t"":14895},{""x"":1372,""y"":685,""dx"":-79,""dy"":-136,""t"":14930},{""x"":1373,""y"":691,""dx"":-78,""dy"":-130,""t"":14964},{""x"":1378,""y"":683,""dx"":-73,""dy"":-138,""t"":14998},{""x"":1382,""y"":676,""dx"":-69,""dy"":-145,""t"":15032}]]","[100,100,100,8.47457627118644,61.016949152542374]","[{""x"":46.56666666666667,""y"":24.833333333333332,""r"":93.90388478559726},{""x"":-48.69491525423729,""y"":66.11864406779661,""r"":19.168442477552148},{""x"":74.8135593220339,""y"":0.3898305084745763,""r"":33.65301934451923},{""x"":158.52542372881356,""y"":-187.1864406779661,""r"":32.34568029290821},{""x"":-72.08474576271186,""y"":-169.0677966101695,""r"":45.27911459936705}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","","",""
