"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","6714","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","6722","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","17184","0.0-2.0-0.0","","","","","10460","{""name"":""张梦洋"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","18880","0.0-2.0-1.0","","","","","1695","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","19352","0.0-3.0","","","","","470"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","26740","0.0-4.0","","","","","","","","","2150","","","","","","","","","","","","","","","",""
"","html-button-response","6","27815","0.0-5.0-0.0","","","","","1073","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","39093","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","40223","0.0-5.0-2.0","","","","","1130","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","57296","0.0-5.0-3.0","","","","","","","","","","[[{""x"":605,""y"":270,""dx"":114,""dy"":-11,""t"":990},{""x"":616,""y"":273,""dx"":125,""dy"":-8,""t"":1024},{""x"":600,""y"":275,""dx"":109,""dy"":-6,""t"":1057},{""x"":580,""y"":302,""dx"":89,""dy"":21,""t"":1093},{""x"":587,""y"":313,""dx"":96,""dy"":32,""t"":1126},{""x"":576,""y"":323,""dx"":85,""dy"":42,""t"":1160},{""x"":579,""y"":343,""dx"":88,""dy"":62,""t"":1194},{""x"":587,""y"":335,""dx"":96,""dy"":54,""t"":1228},{""x"":573,""y"":334,""dx"":82,""dy"":53,""t"":1262},{""x"":556,""y"":322,""dx"":65,""dy"":41,""t"":1296},{""x"":546,""y"":319,""dx"":55,""dy"":38,""t"":1330},{""x"":538,""y"":300,""dx"":47,""dy"":19,""t"":1365},{""x"":535,""y"":296,""dx"":44,""dy"":15,""t"":1398},{""x"":533,""y"":295,""dx"":42,""dy"":14,""t"":1432},{""x"":525,""y"":297,""dx"":34,""dy"":16,""t"":1466},{""x"":562,""y"":280,""dx"":71,""dy"":-1,""t"":1500},{""x"":549,""y"":284,""dx"":58,""dy"":3,""t"":1534},{""x"":540,""y"":278,""dx"":49,""dy"":-3,""t"":1568},{""x"":563,""y"":269,""dx"":72,""dy"":-12,""t"":1602},{""x"":552,""y"":261,""dx"":61,""dy"":-20,""t"":1635},{""x"":539,""y"":266,""dx"":48,""dy"":-15,""t"":1670},{""x"":541,""y"":276,""dx"":50,""dy"":-5,""t"":1704},{""x"":526,""y"":288,""dx"":35,""dy"":7,""t"":1739},{""x"":522,""y"":292,""dx"":31,""dy"":11,""t"":1772},{""x"":521,""y"":304,""dx"":30,""dy"":23,""t"":1806},{""x"":551,""y"":322,""dx"":60,""dy"":41,""t"":1840},{""x"":547,""y"":336,""dx"":56,""dy"":55,""t"":1871},{""x"":584,""y"":345,""dx"":93,""dy"":64,""t"":1907},{""x"":585,""y"":380,""dx"":94,""dy"":99,""t"":1941},{""x"":612,""y"":402,""dx"":121,""dy"":121,""t"":1976},{""x"":618,""y"":430,""dx"":127,""dy"":149,""t"":2010},{""x"":627,""y"":453,""dx"":136,""dy"":172,""t"":2044},{""x"":637,""y"":468,""dx"":146,""dy"":187,""t"":2079},{""x"":633,""y"":445,""dx"":142,""dy"":164,""t"":2112},{""x"":630,""y"":452,""dx"":139,""dy"":171,""t"":2146},{""x"":578,""y"":436,""dx"":87,""dy"":155,""t"":2180},{""x"":597,""y"":433,""dx"":106,""dy"":152,""t"":2214},{""x"":588,""y"":423,""dx"":97,""dy"":142,""t"":2248},{""x"":604,""y"":429,""dx"":113,""dy"":148,""t"":2283},{""x"":584,""y"":410,""dx"":93,""dy"":129,""t"":2316},{""x"":566,""y"":407,""dx"":75,""dy"":126,""t"":2349},{""x"":545,""y"":402,""dx"":54,""dy"":121,""t"":2385},{""x"":561,""y"":397,""dx"":70,""dy"":116,""t"":2418},{""x"":562,""y"":385,""dx"":71,""dy"":104,""t"":2452},{""x"":575,""y"":369,""dx"":84,""dy"":88,""t"":2486},{""x"":586,""y"":360,""dx"":95,""dy"":79,""t"":2519},{""x"":582,""y"":357,""dx"":91,""dy"":76,""t"":2554},{""x"":599,""y"":365,""dx"":108,""dy"":84,""t"":2588},{""x"":597,""y"":375,""dx"":106,""dy"":94,""t"":2622},{""x"":579,""y"":358,""dx"":88,""dy"":77,""t"":2656},{""x"":596,""y"":364,""dx"":105,""dy"":83,""t"":2690},{""x"":594,""y"":385,""dx"":103,""dy"":104,""t"":2724},{""x"":603,""y"":370,""dx"":112,""dy"":89,""t"":2757},{""x"":720,""y"":377,""dx"":229,""dy"":96,""t"":2792},{""x"":906,""y"":338,""dx"":415,""dy"":57,""t"":2826},{""x"":1053,""y"":316,""dx"":562,""dy"":35,""t"":2860},{""x"":1166,""y"":261,""dx"":675,""dy"":-20,""t"":2893},{""x"":1300,""y"":260,""dx"":809,""dy"":-21,""t"":2928},{""x"":1357,""y"":236,""dx"":866,""dy"":-45,""t"":2962},{""x"":1433,""y"":218,""dx"":942,""dy"":-63,""t"":2995}],[{""x"":1387,""y"":339,""dx"":-64,""dy"":58,""t"":4016},{""x"":1393,""y"":341,""dx"":-58,""dy"":60,""t"":4051},{""x"":1382,""y"":340,""dx"":-69,""dy"":59,""t"":4084},{""x"":1429,""y"":344,""dx"":-22,""dy"":63,""t"":4117},{""x"":1431,""y"":345,""dx"":-20,""dy"":64,""t"":4152},{""x"":1453,""y"":351,""dx"":2,""dy"":70,""t"":4186},{""x"":1432,""y"":335,""dx"":-19,""dy"":54,""t"":4220},{""x"":1418,""y"":326,""dx"":-33,""dy"":45,""t"":4254},{""x"":1457,""y"":328,""dx"":6,""dy"":47,""t"":4288},{""x"":1468,""y"":340,""dx"":17,""dy"":59,""t"":4322},{""x"":1489,""y"":333,""dx"":38,""dy"":52,""t"":4356},{""x"":1498,""y"":335,""dx"":47,""dy"":54,""t"":4390},{""x"":1521,""y"":341,""dx"":70,""dy"":60,""t"":4423},{""x"":1477,""y"":334,""dx"":26,""dy"":53,""t"":4457},{""x"":1474,""y"":340,""dx"":23,""dy"":59,""t"":4492},{""x"":1485,""y"":337,""dx"":34,""dy"":56,""t"":4526},{""x"":1496,""y"":328,""dx"":45,""dy"":47,""t"":4560},{""x"":1503,""y"":341,""dx"":52,""dy"":60,""t"":4595},{""x"":1516,""y"":354,""dx"":65,""dy"":73,""t"":4628},{""x"":1505,""y"":352,""dx"":54,""dy"":71,""t"":4662},{""x"":1493,""y"":358,""dx"":42,""dy"":77,""t"":4696},{""x"":1513,""y"":350,""dx"":62,""dy"":69,""t"":4730},{""x"":1505,""y"":333,""dx"":54,""dy"":52,""t"":4764},{""x"":1490,""y"":331,""dx"":39,""dy"":50,""t"":4798},{""x"":1481,""y"":342,""dx"":30,""dy"":61,""t"":4832},{""x"":1461,""y"":337,""dx"":10,""dy"":56,""t"":4866},{""x"":1450,""y"":337,""dx"":-1,""dy"":56,""t"":4900},{""x"":1448,""y"":305,""dx"":-3,""dy"":24,""t"":4934},{""x"":1402,""y"":287,""dx"":-49,""dy"":6,""t"":4968},{""x"":1433,""y"":263,""dx"":-18,""dy"":-18,""t"":5003},{""x"":1412,""y"":253,""dx"":-39,""dy"":-28,""t"":5033},{""x"":1448,""y"":242,""dx"":-3,""dy"":-39,""t"":5070},{""x"":1487,""y"":228,""dx"":36,""dy"":-53,""t"":5104},{""x"":1498,""y"":249,""dx"":47,""dy"":-32,""t"":5138},{""x"":1498,""y"":255,""dx"":47,""dy"":-26,""t"":5171},{""x"":1493,""y"":265,""dx"":42,""dy"":-16,""t"":5206},{""x"":1482,""y"":260,""dx"":31,""dy"":-21,""t"":5240},{""x"":1505,""y"":285,""dx"":54,""dy"":4,""t"":5273},{""x"":1505,""y"":290,""dx"":54,""dy"":9,""t"":5307},{""x"":1463,""y"":304,""dx"":12,""dy"":23,""t"":5342},{""x"":1463,""y"":304,""dx"":12,""dy"":23,""t"":5376},{""x"":1432,""y"":308,""dx"":-19,""dy"":27,""t"":5410},{""x"":1452,""y"":303,""dx"":1,""dy"":22,""t"":5442},{""x"":1432,""y"":307,""dx"":-19,""dy"":26,""t"":5479},{""x"":1428,""y"":305,""dx"":-23,""dy"":24,""t"":5512},{""x"":1452,""y"":306,""dx"":1,""dy"":25,""t"":5547},{""x"":1452,""y"":312,""dx"":1,""dy"":31,""t"":5580},{""x"":1437,""y"":272,""dx"":-14,""dy"":-9,""t"":5614},{""x"":1435,""y"":244,""dx"":-16,""dy"":-37,""t"":5648},{""x"":1418,""y"":216,""dx"":-33,""dy"":-65,""t"":5682},{""x"":1446,""y"":224,""dx"":-5,""dy"":-57,""t"":5717},{""x"":1452,""y"":243,""dx"":1,""dy"":-38,""t"":5749},{""x"":1469,""y"":260,""dx"":18,""dy"":-21,""t"":5784},{""x"":1489,""y"":264,""dx"":38,""dy"":-17,""t"":5818},{""x"":1507,""y"":272,""dx"":56,""dy"":-9,""t"":5853},{""x"":1462,""y"":324,""dx"":11,""dy"":43,""t"":5886},{""x"":1408,""y"":421,""dx"":-43,""dy"":140,""t"":5920},{""x"":1345,""y"":575,""dx"":-106,""dy"":294,""t"":5954},{""x"":1320,""y"":734,""dx"":-131,""dy"":453,""t"":5989}],[{""x"":946,""y"":1071,""dx"":-25,""dy"":520,""t"":7042},{""x"":998,""y"":1037,""dx"":27,""dy"":486,""t"":7076},{""x"":1010,""y"":975,""dx"":39,""dy"":424,""t"":7110},{""x"":1026,""y"":906,""dx"":55,""dy"":355,""t"":7144},{""x"":1034,""y"":844,""dx"":63,""dy"":293,""t"":7178},{""x"":1025,""y"":759,""dx"":54,""dy"":208,""t"":7212},{""x"":997,""y"":672,""dx"":26,""dy"":121,""t"":7246},{""x"":985,""y"":592,""dx"":14,""dy"":41,""t"":7281},{""x"":963,""y"":548,""dx"":-8,""dy"":-3,""t"":7314},{""x"":961,""y"":496,""dx"":-10,""dy"":-55,""t"":7348},{""x"":947,""y"":478,""dx"":-24,""dy"":-73,""t"":7382},{""x"":917,""y"":457,""dx"":-54,""dy"":-94,""t"":7416},{""x"":931,""y"":429,""dx"":-40,""dy"":-122,""t"":7450},{""x"":927,""y"":419,""dx"":-44,""dy"":-132,""t"":7485},{""x"":935,""y"":419,""dx"":-36,""dy"":-132,""t"":7518},{""x"":937,""y"":426,""dx"":-34,""dy"":-125,""t"":7551},{""x"":950,""y"":432,""dx"":-21,""dy"":-119,""t"":7585},{""x"":962,""y"":426,""dx"":-9,""dy"":-125,""t"":7620},{""x"":972,""y"":443,""dx"":1,""dy"":-108,""t"":7654},{""x"":956,""y"":452,""dx"":-15,""dy"":-99,""t"":7687},{""x"":961,""y"":450,""dx"":-10,""dy"":-101,""t"":7722},{""x"":959,""y"":449,""dx"":-12,""dy"":-102,""t"":7756},{""x"":977,""y"":443,""dx"":6,""dy"":-108,""t"":7790},{""x"":966,""y"":443,""dx"":-5,""dy"":-108,""t"":7824},{""x"":971,""y"":455,""dx"":0,""dy"":-96,""t"":7857},{""x"":1009,""y"":486,""dx"":38,""dy"":-65,""t"":7893},{""x"":1015,""y"":494,""dx"":44,""dy"":-57,""t"":7926},{""x"":1018,""y"":506,""dx"":47,""dy"":-45,""t"":7960},{""x"":1004,""y"":499,""dx"":33,""dy"":-52,""t"":7993},{""x"":996,""y"":503,""dx"":25,""dy"":-48,""t"":8028},{""x"":973,""y"":506,""dx"":2,""dy"":-45,""t"":8063},{""x"":969,""y"":509,""dx"":-2,""dy"":-42,""t"":8096},{""x"":978,""y"":498,""dx"":7,""dy"":-53,""t"":8130},{""x"":1003,""y"":482,""dx"":32,""dy"":-69,""t"":8164},{""x"":1010,""y"":497,""dx"":39,""dy"":-54,""t"":8198},{""x"":1010,""y"":513,""dx"":39,""dy"":-38,""t"":8231},{""x"":1042,""y"":544,""dx"":71,""dy"":-7,""t"":8266},{""x"":1017,""y"":533,""dx"":46,""dy"":-18,""t"":8300},{""x"":1013,""y"":562,""dx"":42,""dy"":11,""t"":8333},{""x"":1006,""y"":565,""dx"":35,""dy"":14,""t"":8368},{""x"":1006,""y"":611,""dx"":35,""dy"":60,""t"":8402},{""x"":985,""y"":594,""dx"":14,""dy"":43,""t"":8436},{""x"":1012,""y"":620,""dx"":41,""dy"":69,""t"":8470},{""x"":1005,""y"":608,""dx"":34,""dy"":57,""t"":8504},{""x"":1034,""y"":616,""dx"":63,""dy"":65,""t"":8539},{""x"":1025,""y"":611,""dx"":54,""dy"":60,""t"":8572},{""x"":1016,""y"":605,""dx"":45,""dy"":54,""t"":8604},{""x"":1027,""y"":607,""dx"":56,""dy"":56,""t"":8640},{""x"":1044,""y"":586,""dx"":73,""dy"":35,""t"":8674},{""x"":1053,""y"":592,""dx"":82,""dy"":41,""t"":8708},{""x"":1057,""y"":596,""dx"":86,""dy"":45,""t"":8742},{""x"":1047,""y"":600,""dx"":76,""dy"":49,""t"":8776},{""x"":925,""y"":644,""dx"":-46,""dy"":93,""t"":8810},{""x"":857,""y"":679,""dx"":-114,""dy"":128,""t"":8844},{""x"":766,""y"":709,""dx"":-205,""dy"":158,""t"":8879},{""x"":704,""y"":728,""dx"":-267,""dy"":177,""t"":8912},{""x"":620,""y"":738,""dx"":-351,""dy"":187,""t"":8946},{""x"":556,""y"":755,""dx"":-415,""dy"":204,""t"":8980},{""x"":484,""y"":717,""dx"":-487,""dy"":166,""t"":9013}],[{""x"":546,""y"":778,""dx"":55,""dy"":-43,""t"":10034},{""x"":557,""y"":782,""dx"":66,""dy"":-39,""t"":10068},{""x"":542,""y"":805,""dx"":51,""dy"":-16,""t"":10103},{""x"":536,""y"":810,""dx"":45,""dy"":-11,""t"":10136},{""x"":555,""y"":813,""dx"":64,""dy"":-8,""t"":10170},{""x"":570,""y"":815,""dx"":79,""dy"":-6,""t"":10202},{""x"":547,""y"":817,""dx"":56,""dy"":-4,""t"":10238},{""x"":536,""y"":823,""dx"":45,""dy"":2,""t"":10272},{""x"":554,""y"":784,""dx"":63,""dy"":-37,""t"":10306},{""x"":570,""y"":782,""dx"":79,""dy"":-39,""t"":10340},{""x"":562,""y"":747,""dx"":71,""dy"":-74,""t"":10374},{""x"":571,""y"":724,""dx"":80,""dy"":-97,""t"":10408},{""x"":579,""y"":746,""dx"":88,""dy"":-75,""t"":10442},{""x"":554,""y"":726,""dx"":63,""dy"":-95,""t"":10477},{""x"":552,""y"":727,""dx"":61,""dy"":-94,""t"":10510},{""x"":540,""y"":730,""dx"":49,""dy"":-91,""t"":10544},{""x"":548,""y"":733,""dx"":57,""dy"":-88,""t"":10578},{""x"":563,""y"":750,""dx"":72,""dy"":-71,""t"":10610},{""x"":537,""y"":767,""dx"":46,""dy"":-54,""t"":10646},{""x"":552,""y"":761,""dx"":61,""dy"":-60,""t"":10680},{""x"":564,""y"":749,""dx"":73,""dy"":-72,""t"":10715},{""x"":572,""y"":766,""dx"":81,""dy"":-55,""t"":10749},{""x"":552,""y"":766,""dx"":61,""dy"":-55,""t"":10781},{""x"":546,""y"":757,""dx"":55,""dy"":-64,""t"":10816},{""x"":518,""y"":764,""dx"":27,""dy"":-57,""t"":10850},{""x"":521,""y"":761,""dx"":30,""dy"":-60,""t"":10884},{""x"":513,""y"":763,""dx"":22,""dy"":-58,""t"":10919},{""x"":517,""y"":757,""dx"":26,""dy"":-64,""t"":10952},{""x"":520,""y"":757,""dx"":29,""dy"":-64,""t"":10986},{""x"":513,""y"":758,""dx"":22,""dy"":-63,""t"":11020},{""x"":547,""y"":776,""dx"":56,""dy"":-45,""t"":11054},{""x"":559,""y"":782,""dx"":68,""dy"":-39,""t"":11089},{""x"":554,""y"":786,""dx"":63,""dy"":-35,""t"":11122},{""x"":556,""y"":780,""dx"":65,""dy"":-41,""t"":11155},{""x"":544,""y"":776,""dx"":53,""dy"":-45,""t"":11190},{""x"":528,""y"":771,""dx"":37,""dy"":-50,""t"":11224},{""x"":517,""y"":776,""dx"":26,""dy"":-45,""t"":11258},{""x"":542,""y"":789,""dx"":51,""dy"":-32,""t"":11292},{""x"":539,""y"":775,""dx"":48,""dy"":-46,""t"":11326},{""x"":538,""y"":771,""dx"":47,""dy"":-50,""t"":11360},{""x"":530,""y"":793,""dx"":39,""dy"":-28,""t"":11394},{""x"":526,""y"":784,""dx"":35,""dy"":-37,""t"":11429},{""x"":525,""y"":787,""dx"":34,""dy"":-34,""t"":11462},{""x"":517,""y"":787,""dx"":26,""dy"":-34,""t"":11496},{""x"":500,""y"":779,""dx"":9,""dy"":-42,""t"":11530},{""x"":524,""y"":804,""dx"":33,""dy"":-17,""t"":11564},{""x"":517,""y"":808,""dx"":26,""dy"":-13,""t"":11598},{""x"":527,""y"":803,""dx"":36,""dy"":-18,""t"":11632},{""x"":515,""y"":825,""dx"":24,""dy"":4,""t"":11666},{""x"":520,""y"":843,""dx"":29,""dy"":22,""t"":11700},{""x"":510,""y"":853,""dx"":19,""dy"":32,""t"":11734},{""x"":528,""y"":863,""dx"":37,""dy"":42,""t"":11769},{""x"":549,""y"":866,""dx"":58,""dy"":45,""t"":11802},{""x"":543,""y"":861,""dx"":52,""dy"":40,""t"":11836},{""x"":573,""y"":869,""dx"":82,""dy"":48,""t"":11870},{""x"":590,""y"":867,""dx"":99,""dy"":46,""t"":11904},{""x"":601,""y"":867,""dx"":110,""dy"":46,""t"":11937},{""x"":658,""y"":822,""dx"":167,""dy"":1,""t"":11971},{""x"":708,""y"":819,""dx"":217,""dy"":-2,""t"":12006}],[{""x"":1385,""y"":640,""dx"":-66,""dy"":-181,""t"":13026},{""x"":1400,""y"":621,""dx"":-51,""dy"":-200,""t"":13061},{""x"":1426,""y"":613,""dx"":-25,""dy"":-208,""t"":13095},{""x"":1431,""y"":621,""dx"":-20,""dy"":-200,""t"":13127},{""x"":1408,""y"":626,""dx"":-43,""dy"":-195,""t"":13161},{""x"":1392,""y"":622,""dx"":-59,""dy"":-199,""t"":13197},{""x"":1380,""y"":651,""dx"":-71,""dy"":-170,""t"":13230},{""x"":1370,""y"":678,""dx"":-81,""dy"":-143,""t"":13264},{""x"":1338,""y"":698,""dx"":-113,""dy"":-123,""t"":13298},{""x"":1333,""y"":719,""dx"":-118,""dy"":-102,""t"":13332},{""x"":1324,""y"":746,""dx"":-127,""dy"":-75,""t"":13366},{""x"":1318,""y"":755,""dx"":-133,""dy"":-66,""t"":13400},{""x"":1303,""y"":752,""dx"":-148,""dy"":-69,""t"":13434},{""x"":1306,""y"":774,""dx"":-145,""dy"":-47,""t"":13468},{""x"":1281,""y"":790,""dx"":-170,""dy"":-31,""t"":13502},{""x"":1299,""y"":798,""dx"":-152,""dy"":-23,""t"":13536},{""x"":1321,""y"":773,""dx"":-130,""dy"":-48,""t"":13570},{""x"":1333,""y"":757,""dx"":-118,""dy"":-64,""t"":13604},{""x"":1356,""y"":750,""dx"":-95,""dy"":-71,""t"":13639},{""x"":1375,""y"":747,""dx"":-76,""dy"":-74,""t"":13672},{""x"":1373,""y"":744,""dx"":-78,""dy"":-77,""t"":13707},{""x"":1399,""y"":743,""dx"":-52,""dy"":-78,""t"":13740},{""x"":1420,""y"":742,""dx"":-31,""dy"":-79,""t"":13771},{""x"":1425,""y"":716,""dx"":-26,""dy"":-105,""t"":13808},{""x"":1437,""y"":718,""dx"":-14,""dy"":-103,""t"":13842},{""x"":1440,""y"":724,""dx"":-11,""dy"":-97,""t"":13876},{""x"":1443,""y"":724,""dx"":-8,""dy"":-97,""t"":13909},{""x"":1437,""y"":709,""dx"":-14,""dy"":-112,""t"":13944},{""x"":1434,""y"":706,""dx"":-17,""dy"":-115,""t"":13978},{""x"":1419,""y"":699,""dx"":-32,""dy"":-122,""t"":14012},{""x"":1401,""y"":683,""dx"":-50,""dy"":-138,""t"":14046},{""x"":1410,""y"":690,""dx"":-41,""dy"":-131,""t"":14080},{""x"":1410,""y"":697,""dx"":-41,""dy"":-124,""t"":14114},{""x"":1409,""y"":699,""dx"":-42,""dy"":-122,""t"":14149},{""x"":1408,""y"":701,""dx"":-43,""dy"":-120,""t"":14179},{""x"":1412,""y"":680,""dx"":-39,""dy"":-141,""t"":14216},{""x"":1406,""y"":687,""dx"":-45,""dy"":-134,""t"":14249},{""x"":1418,""y"":697,""dx"":-33,""dy"":-124,""t"":14284},{""x"":1397,""y"":710,""dx"":-54,""dy"":-111,""t"":14318},{""x"":1370,""y"":718,""dx"":-81,""dy"":-103,""t"":14352},{""x"":1347,""y"":732,""dx"":-104,""dy"":-89,""t"":14385},{""x"":1349,""y"":727,""dx"":-102,""dy"":-94,""t"":14421},{""x"":1365,""y"":717,""dx"":-86,""dy"":-104,""t"":14454},{""x"":1318,""y"":730,""dx"":-133,""dy"":-91,""t"":14488},{""x"":1324,""y"":741,""dx"":-127,""dy"":-80,""t"":14522},{""x"":1328,""y"":742,""dx"":-123,""dy"":-79,""t"":14556},{""x"":1341,""y"":763,""dx"":-110,""dy"":-58,""t"":14590},{""x"":1345,""y"":761,""dx"":-106,""dy"":-60,""t"":14624},{""x"":1340,""y"":743,""dx"":-111,""dy"":-78,""t"":14657},{""x"":1353,""y"":753,""dx"":-98,""dy"":-68,""t"":14692},{""x"":1363,""y"":754,""dx"":-88,""dy"":-67,""t"":14726},{""x"":1376,""y"":749,""dx"":-75,""dy"":-72,""t"":14760},{""x"":1381,""y"":744,""dx"":-70,""dy"":-77,""t"":14794},{""x"":1353,""y"":743,""dx"":-98,""dy"":-78,""t"":14828},{""x"":1324,""y"":748,""dx"":-127,""dy"":-73,""t"":14862},{""x"":1314,""y"":760,""dx"":-137,""dy"":-61,""t"":14896},{""x"":1336,""y"":768,""dx"":-115,""dy"":-53,""t"":14930},{""x"":1332,""y"":758,""dx"":-119,""dy"":-63,""t"":14964},{""x"":1326,""y"":760,""dx"":-125,""dy"":-61,""t"":14999},{""x"":1314,""y"":766,""dx"":-137,""dy"":-55,""t"":15032}]]","[81.66666666666667,96.61016949152543,81.35593220338984,98.30508474576271,93.33333333333333]","[{""x"":149.1,""y"":59.983333333333334,""r"":145.0967965581762},{""x"":6.288135593220339,""y"":38.52542372881356,""r"":51.67469735230356},{""x"":-13.389830508474576,""y"":32.6271186440678,""r"":106.15867317222305},{""x"":56.32203389830509,""y"":-32.86440677966102,""r"":35.156599638371176},{""x"":-81.4,""y"":-99.71666666666667,""r"":78.03337965374877}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
