"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","4935","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4941","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10262","0.0-2.0-0.0","","","","","5319","{""name"":""张梦洋"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12533","0.0-2.0-1.0","","","","","2270","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14118","0.0-3.0","","","","","1582"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20517","0.0-4.0","","","","","","","","","1415","","","","","","","","","","","","","","","",""
"","html-button-response","6","23622","0.0-5.0-0.0","","","","","3103","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","37456","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","38541","0.0-5.0-2.0","","","","","1085","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","57177","0.0-5.0-3.0","","","","","","","","","","[[{""x"":533,""y"":528,""dx"":42,""dy"":247,""t"":990},{""x"":530,""y"":525,""dx"":39,""dy"":244,""t"":1023},{""x"":531,""y"":517,""dx"":40,""dy"":236,""t"":1058},{""x"":524,""y"":512,""dx"":33,""dy"":231,""t"":1092},{""x"":522,""y"":519,""dx"":31,""dy"":238,""t"":1126},{""x"":516,""y"":529,""dx"":25,""dy"":248,""t"":1160},{""x"":508,""y"":535,""dx"":17,""dy"":254,""t"":1194},{""x"":508,""y"":536,""dx"":17,""dy"":255,""t"":1227},{""x"":491,""y"":487,""dx"":0,""dy"":206,""t"":1263},{""x"":471,""y"":446,""dx"":-20,""dy"":165,""t"":1296},{""x"":483,""y"":455,""dx"":-8,""dy"":174,""t"":1330},{""x"":470,""y"":425,""dx"":-21,""dy"":144,""t"":1363},{""x"":462,""y"":399,""dx"":-29,""dy"":118,""t"":1399},{""x"":455,""y"":381,""dx"":-36,""dy"":100,""t"":1432},{""x"":451,""y"":366,""dx"":-40,""dy"":85,""t"":1466},{""x"":458,""y"":350,""dx"":-33,""dy"":69,""t"":1500},{""x"":450,""y"":341,""dx"":-41,""dy"":60,""t"":1534},{""x"":444,""y"":387,""dx"":-47,""dy"":106,""t"":1568},{""x"":454,""y"":362,""dx"":-37,""dy"":81,""t"":1602},{""x"":444,""y"":365,""dx"":-47,""dy"":84,""t"":1636},{""x"":463,""y"":358,""dx"":-28,""dy"":77,""t"":1671},{""x"":472,""y"":354,""dx"":-19,""dy"":73,""t"":1703},{""x"":463,""y"":344,""dx"":-28,""dy"":63,""t"":1739},{""x"":460,""y"":344,""dx"":-31,""dy"":63,""t"":1772},{""x"":459,""y"":333,""dx"":-32,""dy"":52,""t"":1807},{""x"":464,""y"":336,""dx"":-27,""dy"":55,""t"":1840},{""x"":456,""y"":330,""dx"":-35,""dy"":49,""t"":1874},{""x"":453,""y"":335,""dx"":-38,""dy"":54,""t"":1908},{""x"":457,""y"":344,""dx"":-34,""dy"":63,""t"":1942},{""x"":463,""y"":353,""dx"":-28,""dy"":72,""t"":1977},{""x"":454,""y"":359,""dx"":-37,""dy"":78,""t"":2009},{""x"":457,""y"":350,""dx"":-34,""dy"":69,""t"":2044},{""x"":452,""y"":353,""dx"":-39,""dy"":72,""t"":2078},{""x"":450,""y"":362,""dx"":-41,""dy"":81,""t"":2113},{""x"":447,""y"":362,""dx"":-44,""dy"":81,""t"":2145},{""x"":462,""y"":366,""dx"":-29,""dy"":85,""t"":2180},{""x"":457,""y"":373,""dx"":-34,""dy"":92,""t"":2214},{""x"":461,""y"":370,""dx"":-30,""dy"":89,""t"":2248},{""x"":461,""y"":370,""dx"":-30,""dy"":89,""t"":2282},{""x"":468,""y"":367,""dx"":-23,""dy"":86,""t"":2316},{""x"":461,""y"":363,""dx"":-30,""dy"":82,""t"":2350},{""x"":468,""y"":373,""dx"":-23,""dy"":92,""t"":2384},{""x"":474,""y"":382,""dx"":-17,""dy"":101,""t"":2415},{""x"":478,""y"":385,""dx"":-13,""dy"":104,""t"":2452},{""x"":475,""y"":380,""dx"":-16,""dy"":99,""t"":2487},{""x"":457,""y"":384,""dx"":-34,""dy"":103,""t"":2520},{""x"":462,""y"":375,""dx"":-29,""dy"":94,""t"":2553},{""x"":449,""y"":381,""dx"":-42,""dy"":100,""t"":2587},{""x"":451,""y"":384,""dx"":-40,""dy"":103,""t"":2622},{""x"":447,""y"":382,""dx"":-44,""dy"":101,""t"":2657},{""x"":450,""y"":381,""dx"":-41,""dy"":100,""t"":2690},{""x"":454,""y"":383,""dx"":-37,""dy"":102,""t"":2725},{""x"":451,""y"":382,""dx"":-40,""dy"":101,""t"":2758},{""x"":448,""y"":382,""dx"":-43,""dy"":101,""t"":2790},{""x"":448,""y"":382,""dx"":-43,""dy"":101,""t"":2826},{""x"":468,""y"":385,""dx"":-23,""dy"":104,""t"":2861},{""x"":471,""y"":382,""dx"":-20,""dy"":101,""t"":2894},{""x"":489,""y"":377,""dx"":-2,""dy"":96,""t"":2928},{""x"":511,""y"":380,""dx"":20,""dy"":99,""t"":2961}],[{""x"":1429,""y"":523,""dx"":-22,""dy"":242,""t"":4016},{""x"":1394,""y"":524,""dx"":-57,""dy"":243,""t"":4050},{""x"":1370,""y"":528,""dx"":-81,""dy"":247,""t"":4084},{""x"":1348,""y"":533,""dx"":-103,""dy"":252,""t"":4118},{""x"":1333,""y"":535,""dx"":-118,""dy"":254,""t"":4151},{""x"":1318,""y"":536,""dx"":-133,""dy"":255,""t"":4186},{""x"":1309,""y"":535,""dx"":-142,""dy"":254,""t"":4219},{""x"":1302,""y"":530,""dx"":-149,""dy"":249,""t"":4254},{""x"":1309,""y"":523,""dx"":-142,""dy"":242,""t"":4288},{""x"":1309,""y"":521,""dx"":-142,""dy"":240,""t"":4322},{""x"":1308,""y"":504,""dx"":-143,""dy"":223,""t"":4357},{""x"":1309,""y"":490,""dx"":-142,""dy"":209,""t"":4387},{""x"":1317,""y"":494,""dx"":-134,""dy"":213,""t"":4423},{""x"":1329,""y"":478,""dx"":-122,""dy"":197,""t"":4458},{""x"":1338,""y"":467,""dx"":-113,""dy"":186,""t"":4492},{""x"":1328,""y"":448,""dx"":-123,""dy"":167,""t"":4526},{""x"":1334,""y"":443,""dx"":-117,""dy"":162,""t"":4560},{""x"":1343,""y"":435,""dx"":-108,""dy"":154,""t"":4593},{""x"":1350,""y"":425,""dx"":-101,""dy"":144,""t"":4628},{""x"":1377,""y"":425,""dx"":-74,""dy"":144,""t"":4662},{""x"":1403,""y"":413,""dx"":-48,""dy"":132,""t"":4695},{""x"":1420,""y"":434,""dx"":-31,""dy"":153,""t"":4730},{""x"":1425,""y"":426,""dx"":-26,""dy"":145,""t"":4764},{""x"":1425,""y"":444,""dx"":-26,""dy"":163,""t"":4798},{""x"":1423,""y"":432,""dx"":-28,""dy"":151,""t"":4832},{""x"":1425,""y"":426,""dx"":-26,""dy"":145,""t"":4866},{""x"":1432,""y"":406,""dx"":-19,""dy"":125,""t"":4900},{""x"":1445,""y"":397,""dx"":-6,""dy"":116,""t"":4933},{""x"":1467,""y"":407,""dx"":16,""dy"":126,""t"":4969},{""x"":1486,""y"":390,""dx"":35,""dy"":109,""t"":5001},{""x"":1493,""y"":378,""dx"":42,""dy"":97,""t"":5035},{""x"":1510,""y"":389,""dx"":59,""dy"":108,""t"":5070},{""x"":1509,""y"":381,""dx"":58,""dy"":100,""t"":5104},{""x"":1524,""y"":397,""dx"":73,""dy"":116,""t"":5137},{""x"":1515,""y"":399,""dx"":64,""dy"":118,""t"":5171},{""x"":1523,""y"":397,""dx"":72,""dy"":116,""t"":5206},{""x"":1509,""y"":401,""dx"":58,""dy"":120,""t"":5240},{""x"":1517,""y"":394,""dx"":66,""dy"":113,""t"":5274},{""x"":1514,""y"":401,""dx"":63,""dy"":120,""t"":5309},{""x"":1510,""y"":403,""dx"":59,""dy"":122,""t"":5341},{""x"":1496,""y"":397,""dx"":45,""dy"":116,""t"":5376},{""x"":1490,""y"":387,""dx"":39,""dy"":106,""t"":5411},{""x"":1491,""y"":382,""dx"":40,""dy"":101,""t"":5443},{""x"":1469,""y"":407,""dx"":18,""dy"":126,""t"":5478},{""x"":1461,""y"":417,""dx"":10,""dy"":136,""t"":5512},{""x"":1439,""y"":432,""dx"":-12,""dy"":151,""t"":5546},{""x"":1429,""y"":429,""dx"":-22,""dy"":148,""t"":5580},{""x"":1423,""y"":420,""dx"":-28,""dy"":139,""t"":5614},{""x"":1414,""y"":423,""dx"":-37,""dy"":142,""t"":5649},{""x"":1421,""y"":419,""dx"":-30,""dy"":138,""t"":5682},{""x"":1428,""y"":420,""dx"":-23,""dy"":139,""t"":5715},{""x"":1421,""y"":416,""dx"":-30,""dy"":135,""t"":5750},{""x"":1416,""y"":427,""dx"":-35,""dy"":146,""t"":5783},{""x"":1413,""y"":432,""dx"":-38,""dy"":151,""t"":5818},{""x"":1413,""y"":436,""dx"":-38,""dy"":155,""t"":5852},{""x"":1406,""y"":447,""dx"":-45,""dy"":166,""t"":5886},{""x"":1405,""y"":464,""dx"":-46,""dy"":183,""t"":5919},{""x"":1416,""y"":460,""dx"":-35,""dy"":179,""t"":5954},{""x"":1425,""y"":456,""dx"":-26,""dy"":175,""t"":5985}],[{""x"":1017,""y"":654,""dx"":46,""dy"":103,""t"":7008},{""x"":1018,""y"":653,""dx"":47,""dy"":102,""t"":7043},{""x"":1030,""y"":650,""dx"":59,""dy"":99,""t"":7076},{""x"":1018,""y"":653,""dx"":47,""dy"":102,""t"":7110},{""x"":1017,""y"":647,""dx"":46,""dy"":96,""t"":7144},{""x"":1023,""y"":642,""dx"":52,""dy"":91,""t"":7178},{""x"":1019,""y"":649,""dx"":48,""dy"":98,""t"":7212},{""x"":1024,""y"":651,""dx"":53,""dy"":100,""t"":7247},{""x"":1028,""y"":655,""dx"":57,""dy"":104,""t"":7280},{""x"":1033,""y"":646,""dx"":62,""dy"":95,""t"":7314},{""x"":1034,""y"":641,""dx"":63,""dy"":90,""t"":7348},{""x"":1043,""y"":642,""dx"":72,""dy"":91,""t"":7382},{""x"":1039,""y"":631,""dx"":68,""dy"":80,""t"":7417},{""x"":1055,""y"":636,""dx"":84,""dy"":85,""t"":7449},{""x"":1058,""y"":644,""dx"":87,""dy"":93,""t"":7486},{""x"":1057,""y"":652,""dx"":86,""dy"":101,""t"":7517},{""x"":1055,""y"":659,""dx"":84,""dy"":108,""t"":7550},{""x"":1056,""y"":661,""dx"":85,""dy"":110,""t"":7586},{""x"":1060,""y"":661,""dx"":89,""dy"":110,""t"":7619},{""x"":1069,""y"":661,""dx"":98,""dy"":110,""t"":7654},{""x"":1073,""y"":665,""dx"":102,""dy"":114,""t"":7688},{""x"":1073,""y"":671,""dx"":102,""dy"":120,""t"":7721},{""x"":1064,""y"":667,""dx"":93,""dy"":116,""t"":7756},{""x"":1067,""y"":665,""dx"":96,""dy"":114,""t"":7790},{""x"":1057,""y"":662,""dx"":86,""dy"":111,""t"":7824},{""x"":1054,""y"":661,""dx"":83,""dy"":110,""t"":7858},{""x"":1060,""y"":664,""dx"":89,""dy"":113,""t"":7892},{""x"":1062,""y"":655,""dx"":91,""dy"":104,""t"":7925},{""x"":1070,""y"":649,""dx"":99,""dy"":98,""t"":7997},{""x"":1071,""y"":642,""dx"":100,""dy"":91,""t"":8027},{""x"":1065,""y"":644,""dx"":94,""dy"":93,""t"":8062},{""x"":1058,""y"":636,""dx"":87,""dy"":85,""t"":8096},{""x"":1060,""y"":641,""dx"":89,""dy"":90,""t"":8131},{""x"":1065,""y"":638,""dx"":94,""dy"":87,""t"":8165},{""x"":1056,""y"":643,""dx"":85,""dy"":92,""t"":8198},{""x"":1050,""y"":637,""dx"":79,""dy"":86,""t"":8231},{""x"":1040,""y"":637,""dx"":69,""dy"":86,""t"":8266},{""x"":1039,""y"":627,""dx"":68,""dy"":76,""t"":8299},{""x"":1054,""y"":639,""dx"":83,""dy"":88,""t"":8334},{""x"":1040,""y"":628,""dx"":69,""dy"":77,""t"":8368},{""x"":1036,""y"":637,""dx"":65,""dy"":86,""t"":8402},{""x"":1026,""y"":602,""dx"":55,""dy"":51,""t"":8436},{""x"":1034,""y"":584,""dx"":63,""dy"":33,""t"":8470},{""x"":1042,""y"":599,""dx"":71,""dy"":48,""t"":8504},{""x"":1052,""y"":612,""dx"":81,""dy"":61,""t"":8538},{""x"":1059,""y"":627,""dx"":88,""dy"":76,""t"":8572},{""x"":1043,""y"":606,""dx"":72,""dy"":55,""t"":8607},{""x"":1060,""y"":619,""dx"":89,""dy"":68,""t"":8639},{""x"":1072,""y"":615,""dx"":101,""dy"":64,""t"":8674},{""x"":1075,""y"":621,""dx"":104,""dy"":70,""t"":8708},{""x"":1074,""y"":630,""dx"":103,""dy"":79,""t"":8741},{""x"":1065,""y"":639,""dx"":94,""dy"":88,""t"":8776},{""x"":1064,""y"":638,""dx"":93,""dy"":87,""t"":8810},{""x"":1071,""y"":630,""dx"":100,""dy"":79,""t"":8844},{""x"":1077,""y"":635,""dx"":106,""dy"":84,""t"":8878},{""x"":1068,""y"":650,""dx"":97,""dy"":99,""t"":8912},{""x"":1066,""y"":647,""dx"":95,""dy"":96,""t"":8946},{""x"":1070,""y"":661,""dx"":99,""dy"":110,""t"":8979},{""x"":1069,""y"":655,""dx"":98,""dy"":104,""t"":9015}],[{""x"":563,""y"":814,""dx"":72,""dy"":-7,""t"":10033},{""x"":586,""y"":809,""dx"":95,""dy"":-12,""t"":10067},{""x"":609,""y"":801,""dx"":118,""dy"":-20,""t"":10102},{""x"":621,""y"":795,""dx"":130,""dy"":-26,""t"":10136},{""x"":637,""y"":790,""dx"":146,""dy"":-31,""t"":10170},{""x"":640,""y"":789,""dx"":149,""dy"":-32,""t"":10204},{""x"":654,""y"":776,""dx"":163,""dy"":-45,""t"":10237},{""x"":659,""y"":766,""dx"":168,""dy"":-55,""t"":10272},{""x"":652,""y"":764,""dx"":161,""dy"":-57,""t"":10307},{""x"":656,""y"":762,""dx"":165,""dy"":-59,""t"":10339},{""x"":630,""y"":790,""dx"":139,""dy"":-31,""t"":10374},{""x"":601,""y"":796,""dx"":110,""dy"":-25,""t"":10408},{""x"":584,""y"":800,""dx"":93,""dy"":-21,""t"":10442},{""x"":603,""y"":799,""dx"":112,""dy"":-22,""t"":10476},{""x"":610,""y"":799,""dx"":119,""dy"":-22,""t"":10510},{""x"":573,""y"":794,""dx"":82,""dy"":-27,""t"":10545},{""x"":565,""y"":794,""dx"":74,""dy"":-27,""t"":10578},{""x"":579,""y"":790,""dx"":88,""dy"":-31,""t"":10612},{""x"":567,""y"":794,""dx"":76,""dy"":-27,""t"":10647},{""x"":569,""y"":800,""dx"":78,""dy"":-21,""t"":10680},{""x"":545,""y"":809,""dx"":54,""dy"":-12,""t"":10714},{""x"":530,""y"":806,""dx"":39,""dy"":-15,""t"":10748},{""x"":515,""y"":825,""dx"":24,""dy"":4,""t"":10782},{""x"":543,""y"":820,""dx"":52,""dy"":-1,""t"":10816},{""x"":527,""y"":819,""dx"":36,""dy"":-2,""t"":10850},{""x"":534,""y"":820,""dx"":43,""dy"":-1,""t"":10883},{""x"":515,""y"":815,""dx"":24,""dy"":-6,""t"":10918},{""x"":524,""y"":824,""dx"":33,""dy"":3,""t"":10952},{""x"":554,""y"":833,""dx"":63,""dy"":12,""t"":10986},{""x"":585,""y"":833,""dx"":94,""dy"":12,""t"":11020},{""x"":580,""y"":835,""dx"":89,""dy"":14,""t"":11054},{""x"":566,""y"":838,""dx"":75,""dy"":17,""t"":11088},{""x"":554,""y"":840,""dx"":63,""dy"":19,""t"":11120},{""x"":554,""y"":840,""dx"":63,""dy"":19,""t"":11155},{""x"":541,""y"":848,""dx"":50,""dy"":27,""t"":11189},{""x"":537,""y"":840,""dx"":46,""dy"":19,""t"":11224},{""x"":521,""y"":836,""dx"":30,""dy"":15,""t"":11258},{""x"":517,""y"":859,""dx"":26,""dy"":38,""t"":11293},{""x"":522,""y"":859,""dx"":31,""dy"":38,""t"":11327},{""x"":519,""y"":848,""dx"":28,""dy"":27,""t"":11360},{""x"":516,""y"":845,""dx"":25,""dy"":24,""t"":11393},{""x"":514,""y"":838,""dx"":23,""dy"":17,""t"":11428},{""x"":513,""y"":827,""dx"":22,""dy"":6,""t"":11462},{""x"":524,""y"":832,""dx"":33,""dy"":11,""t"":11497},{""x"":533,""y"":837,""dx"":42,""dy"":16,""t"":11528},{""x"":543,""y"":847,""dx"":52,""dy"":26,""t"":11564},{""x"":553,""y"":843,""dx"":62,""dy"":22,""t"":11599},{""x"":546,""y"":845,""dx"":55,""dy"":24,""t"":11632},{""x"":541,""y"":846,""dx"":50,""dy"":25,""t"":11666},{""x"":549,""y"":854,""dx"":58,""dy"":33,""t"":11700},{""x"":548,""y"":856,""dx"":57,""dy"":35,""t"":11734},{""x"":565,""y"":848,""dx"":74,""dy"":27,""t"":11768},{""x"":564,""y"":852,""dx"":73,""dy"":31,""t"":11802},{""x"":561,""y"":859,""dx"":70,""dy"":38,""t"":11836},{""x"":573,""y"":870,""dx"":82,""dy"":49,""t"":11869},{""x"":558,""y"":870,""dx"":67,""dy"":49,""t"":11904},{""x"":555,""y"":871,""dx"":64,""dy"":50,""t"":11939},{""x"":542,""y"":887,""dx"":51,""dy"":66,""t"":11972},{""x"":525,""y"":891,""dx"":34,""dy"":70,""t"":12007},{""x"":528,""y"":899,""dx"":37,""dy"":78,""t"":12039}],[{""x"":1346,""y"":786,""dx"":-105,""dy"":-35,""t"":13060},{""x"":1339,""y"":788,""dx"":-112,""dy"":-33,""t"":13094},{""x"":1332,""y"":790,""dx"":-119,""dy"":-31,""t"":13125},{""x"":1329,""y"":781,""dx"":-122,""dy"":-40,""t"":13162},{""x"":1325,""y"":777,""dx"":-126,""dy"":-44,""t"":13196},{""x"":1317,""y"":775,""dx"":-134,""dy"":-46,""t"":13230},{""x"":1313,""y"":773,""dx"":-138,""dy"":-48,""t"":13263},{""x"":1303,""y"":774,""dx"":-148,""dy"":-47,""t"":13298},{""x"":1297,""y"":774,""dx"":-154,""dy"":-47,""t"":13333},{""x"":1279,""y"":772,""dx"":-172,""dy"":-49,""t"":13366},{""x"":1263,""y"":770,""dx"":-188,""dy"":-51,""t"":13400},{""x"":1237,""y"":777,""dx"":-214,""dy"":-44,""t"":13434},{""x"":1217,""y"":778,""dx"":-234,""dy"":-43,""t"":13469},{""x"":1221,""y"":780,""dx"":-230,""dy"":-41,""t"":13501},{""x"":1216,""y"":786,""dx"":-235,""dy"":-35,""t"":13537},{""x"":1227,""y"":785,""dx"":-224,""dy"":-36,""t"":13570},{""x"":1230,""y"":787,""dx"":-221,""dy"":-34,""t"":13604},{""x"":1226,""y"":787,""dx"":-225,""dy"":-34,""t"":13638},{""x"":1228,""y"":788,""dx"":-223,""dy"":-33,""t"":13671},{""x"":1236,""y"":787,""dx"":-215,""dy"":-34,""t"":13705},{""x"":1236,""y"":786,""dx"":-215,""dy"":-35,""t"":13740},{""x"":1235,""y"":782,""dx"":-216,""dy"":-39,""t"":13774},{""x"":1250,""y"":772,""dx"":-201,""dy"":-49,""t"":13808},{""x"":1249,""y"":773,""dx"":-202,""dy"":-48,""t"":13842},{""x"":1247,""y"":774,""dx"":-204,""dy"":-47,""t"":13875},{""x"":1243,""y"":775,""dx"":-208,""dy"":-46,""t"":13910},{""x"":1229,""y"":780,""dx"":-222,""dy"":-41,""t"":13944},{""x"":1238,""y"":783,""dx"":-213,""dy"":-38,""t"":13978},{""x"":1234,""y"":784,""dx"":-217,""dy"":-37,""t"":14011},{""x"":1248,""y"":784,""dx"":-203,""dy"":-37,""t"":14046},{""x"":1251,""y"":777,""dx"":-200,""dy"":-44,""t"":14080},{""x"":1256,""y"":776,""dx"":-195,""dy"":-45,""t"":14114},{""x"":1267,""y"":774,""dx"":-184,""dy"":-47,""t"":14148},{""x"":1266,""y"":775,""dx"":-185,""dy"":-46,""t"":14181},{""x"":1273,""y"":776,""dx"":-178,""dy"":-45,""t"":14216},{""x"":1268,""y"":774,""dx"":-183,""dy"":-47,""t"":14250},{""x"":1269,""y"":773,""dx"":-182,""dy"":-48,""t"":14285},{""x"":1271,""y"":774,""dx"":-180,""dy"":-47,""t"":14317},{""x"":1259,""y"":774,""dx"":-192,""dy"":-47,""t"":14352},{""x"":1257,""y"":771,""dx"":-194,""dy"":-50,""t"":14386},{""x"":1262,""y"":768,""dx"":-189,""dy"":-53,""t"":14420},{""x"":1272,""y"":768,""dx"":-179,""dy"":-53,""t"":14454},{""x"":1255,""y"":777,""dx"":-196,""dy"":-44,""t"":14488},{""x"":1274,""y"":777,""dx"":-177,""dy"":-44,""t"":14522},{""x"":1274,""y"":787,""dx"":-177,""dy"":-34,""t"":14555},{""x"":1264,""y"":789,""dx"":-187,""dy"":-32,""t"":14590},{""x"":1253,""y"":791,""dx"":-198,""dy"":-30,""t"":14624},{""x"":1242,""y"":795,""dx"":-209,""dy"":-26,""t"":14658},{""x"":1246,""y"":802,""dx"":-205,""dy"":-19,""t"":14690},{""x"":1244,""y"":800,""dx"":-207,""dy"":-21,""t"":14727},{""x"":1258,""y"":791,""dx"":-193,""dy"":-30,""t"":14760},{""x"":1248,""y"":795,""dx"":-203,""dy"":-26,""t"":14793},{""x"":1265,""y"":796,""dx"":-186,""dy"":-25,""t"":14828},{""x"":1277,""y"":793,""dx"":-174,""dy"":-28,""t"":14862},{""x"":1286,""y"":782,""dx"":-165,""dy"":-39,""t"":14897},{""x"":1275,""y"":784,""dx"":-176,""dy"":-37,""t"":14930},{""x"":1271,""y"":786,""dx"":-180,""dy"":-35,""t"":14964},{""x"":1278,""y"":785,""dx"":-173,""dy"":-36,""t"":14998},{""x"":1288,""y"":788,""dx"":-163,""dy"":-33,""t"":15032}]]","[84.7457627118644,72.88135593220339,100,100,52.54237288135594]","[{""x"":-21.576271186440678,""y"":113.08474576271186,""r"":36.652055448906324},{""x"":-35.66101694915254,""y"":161.08474576271186,""r"":81.34413226573214},{""x"":80.76271186440678,""y"":90.79661016949153,""r"":20.8711798338934},{""x"":72.2,""y"":5.433333333333334,""r"":58.62183945450665},{""x"":-187.28813559322035,""y"":-39.54237288135593,""r"":20.74267452366531}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.32","validate","","","","","","","","","",""
