"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","3699","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3706","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10343","0.0-2.0-0.0","","","","","6635","{""name"":""蔡思琪"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","13975","0.0-2.0-1.0","","","","","3630","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14559","0.0-3.0","","","","","581"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","19647","0.0-4.0","","","","","","","","","1418","","","","","","","","","","","","","","","",""
"","html-button-response","6","20783","0.0-5.0-0.0","","","","","1134","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","33986","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","34917","0.0-5.0-2.0","","","","","931","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","51963","0.0-5.0-3.0","","","","","","","","","","[[{""x"":491,""y"":430,""dx"":0,""dy"":149,""t"":990},{""x"":486,""y"":424,""dx"":-5,""dy"":143,""t"":1024},{""x"":481,""y"":425,""dx"":-10,""dy"":144,""t"":1057},{""x"":477,""y"":435,""dx"":-14,""dy"":154,""t"":1092},{""x"":472,""y"":442,""dx"":-19,""dy"":161,""t"":1125},{""x"":468,""y"":440,""dx"":-23,""dy"":159,""t"":1159},{""x"":463,""y"":419,""dx"":-28,""dy"":138,""t"":1194},{""x"":476,""y"":437,""dx"":-15,""dy"":156,""t"":1229},{""x"":493,""y"":439,""dx"":2,""dy"":158,""t"":1262},{""x"":481,""y"":430,""dx"":-10,""dy"":149,""t"":1296},{""x"":481,""y"":416,""dx"":-10,""dy"":135,""t"":1331},{""x"":477,""y"":409,""dx"":-14,""dy"":128,""t"":1364},{""x"":481,""y"":425,""dx"":-10,""dy"":144,""t"":1398},{""x"":501,""y"":446,""dx"":10,""dy"":165,""t"":1431},{""x"":493,""y"":435,""dx"":2,""dy"":154,""t"":1466},{""x"":479,""y"":440,""dx"":-12,""dy"":159,""t"":1500},{""x"":503,""y"":442,""dx"":12,""dy"":161,""t"":1534},{""x"":511,""y"":433,""dx"":20,""dy"":152,""t"":1568},{""x"":504,""y"":417,""dx"":13,""dy"":136,""t"":1601},{""x"":508,""y"":416,""dx"":17,""dy"":135,""t"":1636},{""x"":505,""y"":407,""dx"":14,""dy"":126,""t"":1670},{""x"":506,""y"":409,""dx"":15,""dy"":128,""t"":1703},{""x"":505,""y"":411,""dx"":14,""dy"":130,""t"":1739},{""x"":486,""y"":381,""dx"":-5,""dy"":100,""t"":1772},{""x"":473,""y"":369,""dx"":-18,""dy"":88,""t"":1806},{""x"":474,""y"":357,""dx"":-17,""dy"":76,""t"":1838},{""x"":483,""y"":357,""dx"":-8,""dy"":76,""t"":1875},{""x"":472,""y"":352,""dx"":-19,""dy"":71,""t"":1908},{""x"":458,""y"":362,""dx"":-33,""dy"":81,""t"":1941},{""x"":454,""y"":355,""dx"":-37,""dy"":74,""t"":1975},{""x"":471,""y"":364,""dx"":-20,""dy"":83,""t"":2010},{""x"":472,""y"":367,""dx"":-19,""dy"":86,""t"":2044},{""x"":480,""y"":360,""dx"":-11,""dy"":79,""t"":2077},{""x"":482,""y"":367,""dx"":-9,""dy"":86,""t"":2112},{""x"":475,""y"":376,""dx"":-16,""dy"":95,""t"":2146},{""x"":470,""y"":391,""dx"":-21,""dy"":110,""t"":2179},{""x"":480,""y"":395,""dx"":-11,""dy"":114,""t"":2214},{""x"":493,""y"":400,""dx"":2,""dy"":119,""t"":2248},{""x"":495,""y"":395,""dx"":4,""dy"":114,""t"":2282},{""x"":485,""y"":390,""dx"":-6,""dy"":109,""t"":2316},{""x"":472,""y"":392,""dx"":-19,""dy"":111,""t"":2349},{""x"":462,""y"":395,""dx"":-29,""dy"":114,""t"":2384},{""x"":471,""y"":396,""dx"":-20,""dy"":115,""t"":2418},{""x"":465,""y"":399,""dx"":-26,""dy"":118,""t"":2451},{""x"":464,""y"":406,""dx"":-27,""dy"":125,""t"":2486},{""x"":455,""y"":410,""dx"":-36,""dy"":129,""t"":2519},{""x"":442,""y"":410,""dx"":-49,""dy"":129,""t"":2554},{""x"":438,""y"":426,""dx"":-53,""dy"":145,""t"":2588},{""x"":457,""y"":430,""dx"":-34,""dy"":149,""t"":2621},{""x"":484,""y"":407,""dx"":-7,""dy"":126,""t"":2656},{""x"":499,""y"":408,""dx"":8,""dy"":127,""t"":2690},{""x"":490,""y"":409,""dx"":-1,""dy"":128,""t"":2724},{""x"":488,""y"":432,""dx"":-3,""dy"":151,""t"":2758},{""x"":501,""y"":435,""dx"":10,""dy"":154,""t"":2792},{""x"":473,""y"":414,""dx"":-18,""dy"":133,""t"":2826},{""x"":465,""y"":435,""dx"":-26,""dy"":154,""t"":2860},{""x"":452,""y"":432,""dx"":-39,""dy"":151,""t"":2894},{""x"":444,""y"":433,""dx"":-47,""dy"":152,""t"":2927},{""x"":440,""y"":405,""dx"":-51,""dy"":124,""t"":2962}],[{""x"":1545,""y"":268,""dx"":94,""dy"":-13,""t"":4017},{""x"":1555,""y"":255,""dx"":104,""dy"":-26,""t"":4049},{""x"":1558,""y"":264,""dx"":107,""dy"":-17,""t"":4083},{""x"":1546,""y"":280,""dx"":95,""dy"":-1,""t"":4118},{""x"":1467,""y"":330,""dx"":16,""dy"":49,""t"":4153},{""x"":1286,""y"":512,""dx"":-165,""dy"":231,""t"":4186},{""x"":1162,""y"":633,""dx"":-289,""dy"":352,""t"":4220},{""x"":1132,""y"":694,""dx"":-319,""dy"":413,""t"":4254},{""x"":1173,""y"":738,""dx"":-278,""dy"":457,""t"":4288},{""x"":1177,""y"":718,""dx"":-274,""dy"":437,""t"":4322},{""x"":1206,""y"":644,""dx"":-245,""dy"":363,""t"":4356},{""x"":1230,""y"":606,""dx"":-221,""dy"":325,""t"":4390},{""x"":1246,""y"":536,""dx"":-205,""dy"":255,""t"":4424},{""x"":1291,""y"":463,""dx"":-160,""dy"":182,""t"":4459},{""x"":1313,""y"":446,""dx"":-138,""dy"":165,""t"":4491},{""x"":1359,""y"":392,""dx"":-92,""dy"":111,""t"":4526},{""x"":1387,""y"":344,""dx"":-64,""dy"":63,""t"":4559},{""x"":1408,""y"":321,""dx"":-43,""dy"":40,""t"":4593},{""x"":1429,""y"":292,""dx"":-22,""dy"":11,""t"":4627},{""x"":1438,""y"":284,""dx"":-13,""dy"":3,""t"":4662},{""x"":1440,""y"":259,""dx"":-11,""dy"":-22,""t"":4696},{""x"":1450,""y"":240,""dx"":-1,""dy"":-41,""t"":4729},{""x"":1456,""y"":219,""dx"":5,""dy"":-62,""t"":4764},{""x"":1449,""y"":206,""dx"":-2,""dy"":-75,""t"":4798},{""x"":1455,""y"":194,""dx"":4,""dy"":-87,""t"":4832},{""x"":1446,""y"":195,""dx"":-5,""dy"":-86,""t"":4866},{""x"":1451,""y"":226,""dx"":0,""dy"":-55,""t"":4900},{""x"":1461,""y"":246,""dx"":10,""dy"":-35,""t"":4934},{""x"":1468,""y"":255,""dx"":17,""dy"":-26,""t"":4967},{""x"":1473,""y"":251,""dx"":22,""dy"":-30,""t"":5001},{""x"":1490,""y"":227,""dx"":39,""dy"":-54,""t"":5034},{""x"":1486,""y"":262,""dx"":35,""dy"":-19,""t"":5071},{""x"":1480,""y"":288,""dx"":29,""dy"":7,""t"":5104},{""x"":1473,""y"":268,""dx"":22,""dy"":-13,""t"":5139},{""x"":1479,""y"":278,""dx"":28,""dy"":-3,""t"":5172},{""x"":1461,""y"":299,""dx"":10,""dy"":18,""t"":5206},{""x"":1448,""y"":298,""dx"":-3,""dy"":17,""t"":5239},{""x"":1438,""y"":287,""dx"":-13,""dy"":6,""t"":5274},{""x"":1442,""y"":274,""dx"":-9,""dy"":-7,""t"":5308},{""x"":1447,""y"":278,""dx"":-4,""dy"":-3,""t"":5342},{""x"":1442,""y"":259,""dx"":-9,""dy"":-22,""t"":5376},{""x"":1444,""y"":273,""dx"":-7,""dy"":-8,""t"":5410},{""x"":1442,""y"":275,""dx"":-9,""dy"":-6,""t"":5442},{""x"":1474,""y"":292,""dx"":23,""dy"":11,""t"":5478},{""x"":1459,""y"":295,""dx"":8,""dy"":14,""t"":5511},{""x"":1447,""y"":315,""dx"":-4,""dy"":34,""t"":5546},{""x"":1439,""y"":312,""dx"":-12,""dy"":31,""t"":5579},{""x"":1434,""y"":313,""dx"":-17,""dy"":32,""t"":5614},{""x"":1439,""y"":316,""dx"":-12,""dy"":35,""t"":5647},{""x"":1446,""y"":311,""dx"":-5,""dy"":30,""t"":5682},{""x"":1455,""y"":305,""dx"":4,""dy"":24,""t"":5716},{""x"":1482,""y"":314,""dx"":31,""dy"":33,""t"":5749},{""x"":1497,""y"":322,""dx"":46,""dy"":41,""t"":5783},{""x"":1490,""y"":318,""dx"":39,""dy"":37,""t"":5818},{""x"":1501,""y"":310,""dx"":50,""dy"":29,""t"":5852},{""x"":1503,""y"":314,""dx"":52,""dy"":33,""t"":5887},{""x"":1503,""y"":317,""dx"":52,""dy"":36,""t"":5920},{""x"":1506,""y"":303,""dx"":55,""dy"":22,""t"":5954},{""x"":1499,""y"":297,""dx"":48,""dy"":16,""t"":5988}],[{""x"":898,""y"":583,""dx"":-73,""dy"":32,""t"":7008},{""x"":905,""y"":595,""dx"":-66,""dy"":44,""t"":7040},{""x"":921,""y"":602,""dx"":-50,""dy"":51,""t"":7075},{""x"":938,""y"":611,""dx"":-33,""dy"":60,""t"":7109},{""x"":921,""y"":593,""dx"":-50,""dy"":42,""t"":7143},{""x"":929,""y"":577,""dx"":-42,""dy"":26,""t"":7178},{""x"":909,""y"":565,""dx"":-62,""dy"":14,""t"":7211},{""x"":897,""y"":543,""dx"":-74,""dy"":-8,""t"":7246},{""x"":886,""y"":517,""dx"":-85,""dy"":-34,""t"":7280},{""x"":901,""y"":529,""dx"":-70,""dy"":-22,""t"":7314},{""x"":915,""y"":550,""dx"":-56,""dy"":-1,""t"":7348},{""x"":923,""y"":550,""dx"":-48,""dy"":-1,""t"":7381},{""x"":927,""y"":571,""dx"":-44,""dy"":20,""t"":7416},{""x"":936,""y"":562,""dx"":-35,""dy"":11,""t"":7452},{""x"":931,""y"":577,""dx"":-40,""dy"":26,""t"":7484},{""x"":931,""y"":566,""dx"":-40,""dy"":15,""t"":7518},{""x"":914,""y"":541,""dx"":-57,""dy"":-10,""t"":7552},{""x"":920,""y"":536,""dx"":-51,""dy"":-15,""t"":7586},{""x"":912,""y"":534,""dx"":-59,""dy"":-17,""t"":7620},{""x"":917,""y"":526,""dx"":-54,""dy"":-25,""t"":7654},{""x"":924,""y"":520,""dx"":-47,""dy"":-31,""t"":7688},{""x"":904,""y"":504,""dx"":-67,""dy"":-47,""t"":7722},{""x"":928,""y"":493,""dx"":-43,""dy"":-58,""t"":7756},{""x"":949,""y"":492,""dx"":-22,""dy"":-59,""t"":7789},{""x"":938,""y"":479,""dx"":-33,""dy"":-72,""t"":7823},{""x"":943,""y"":473,""dx"":-28,""dy"":-78,""t"":7858},{""x"":949,""y"":462,""dx"":-22,""dy"":-89,""t"":7891},{""x"":953,""y"":480,""dx"":-18,""dy"":-71,""t"":7926},{""x"":946,""y"":467,""dx"":-25,""dy"":-84,""t"":7959},{""x"":949,""y"":461,""dx"":-22,""dy"":-90,""t"":7994},{""x"":929,""y"":490,""dx"":-42,""dy"":-61,""t"":8029},{""x"":922,""y"":493,""dx"":-49,""dy"":-58,""t"":8062},{""x"":929,""y"":478,""dx"":-42,""dy"":-73,""t"":8096},{""x"":915,""y"":489,""dx"":-56,""dy"":-62,""t"":8130},{""x"":895,""y"":507,""dx"":-76,""dy"":-44,""t"":8164},{""x"":903,""y"":512,""dx"":-68,""dy"":-39,""t"":8197},{""x"":878,""y"":526,""dx"":-93,""dy"":-25,""t"":8232},{""x"":864,""y"":556,""dx"":-107,""dy"":5,""t"":8266},{""x"":844,""y"":562,""dx"":-127,""dy"":11,""t"":8300},{""x"":860,""y"":540,""dx"":-111,""dy"":-11,""t"":8333},{""x"":860,""y"":551,""dx"":-111,""dy"":0,""t"":8368},{""x"":876,""y"":561,""dx"":-95,""dy"":10,""t"":8402},{""x"":895,""y"":576,""dx"":-76,""dy"":25,""t"":8436},{""x"":906,""y"":548,""dx"":-65,""dy"":-3,""t"":8470},{""x"":905,""y"":558,""dx"":-66,""dy"":7,""t"":8504},{""x"":908,""y"":536,""dx"":-63,""dy"":-15,""t"":8539},{""x"":915,""y"":520,""dx"":-56,""dy"":-31,""t"":8572},{""x"":920,""y"":507,""dx"":-51,""dy"":-44,""t"":8603},{""x"":935,""y"":494,""dx"":-36,""dy"":-57,""t"":8639},{""x"":939,""y"":497,""dx"":-32,""dy"":-54,""t"":8673},{""x"":946,""y"":483,""dx"":-25,""dy"":-68,""t"":8708},{""x"":954,""y"":473,""dx"":-17,""dy"":-78,""t"":8742},{""x"":961,""y"":477,""dx"":-10,""dy"":-74,""t"":8775},{""x"":959,""y"":491,""dx"":-12,""dy"":-60,""t"":8809},{""x"":936,""y"":495,""dx"":-35,""dy"":-56,""t"":8845},{""x"":913,""y"":484,""dx"":-58,""dy"":-67,""t"":8878},{""x"":931,""y"":489,""dx"":-40,""dy"":-62,""t"":8912},{""x"":935,""y"":490,""dx"":-36,""dy"":-61,""t"":8946},{""x"":918,""y"":481,""dx"":-53,""dy"":-70,""t"":8980},{""x"":896,""y"":466,""dx"":-75,""dy"":-85,""t"":9011}],[{""x"":732,""y"":1001,""dx"":241,""dy"":180,""t"":10033},{""x"":726,""y"":964,""dx"":235,""dy"":143,""t"":10068},{""x"":711,""y"":931,""dx"":220,""dy"":110,""t"":10102},{""x"":702,""y"":881,""dx"":211,""dy"":60,""t"":10135},{""x"":680,""y"":875,""dx"":189,""dy"":54,""t"":10171},{""x"":652,""y"":861,""dx"":161,""dy"":40,""t"":10201},{""x"":626,""y"":849,""dx"":135,""dy"":28,""t"":10239},{""x"":610,""y"":821,""dx"":119,""dy"":0,""t"":10272},{""x"":616,""y"":791,""dx"":125,""dy"":-30,""t"":10305},{""x"":605,""y"":768,""dx"":114,""dy"":-53,""t"":10340},{""x"":588,""y"":746,""dx"":97,""dy"":-75,""t"":10374},{""x"":592,""y"":756,""dx"":101,""dy"":-65,""t"":10407},{""x"":570,""y"":741,""dx"":79,""dy"":-80,""t"":10443},{""x"":572,""y"":722,""dx"":81,""dy"":-99,""t"":10476},{""x"":553,""y"":698,""dx"":62,""dy"":-123,""t"":10510},{""x"":560,""y"":699,""dx"":69,""dy"":-122,""t"":10544},{""x"":562,""y"":711,""dx"":71,""dy"":-110,""t"":10576},{""x"":570,""y"":715,""dx"":79,""dy"":-106,""t"":10612},{""x"":570,""y"":722,""dx"":79,""dy"":-99,""t"":10646},{""x"":557,""y"":721,""dx"":66,""dy"":-100,""t"":10679},{""x"":551,""y"":720,""dx"":60,""dy"":-101,""t"":10714},{""x"":542,""y"":718,""dx"":51,""dy"":-103,""t"":10748},{""x"":547,""y"":719,""dx"":56,""dy"":-102,""t"":10782},{""x"":553,""y"":716,""dx"":62,""dy"":-105,""t"":10816},{""x"":560,""y"":726,""dx"":69,""dy"":-95,""t"":10850},{""x"":565,""y"":716,""dx"":74,""dy"":-105,""t"":10883},{""x"":560,""y"":704,""dx"":69,""dy"":-117,""t"":10918},{""x"":553,""y"":717,""dx"":62,""dy"":-104,""t"":10952},{""x"":548,""y"":717,""dx"":57,""dy"":-104,""t"":10985},{""x"":559,""y"":728,""dx"":68,""dy"":-93,""t"":11020},{""x"":564,""y"":735,""dx"":73,""dy"":-86,""t"":11054},{""x"":581,""y"":737,""dx"":90,""dy"":-84,""t"":11088},{""x"":595,""y"":750,""dx"":104,""dy"":-71,""t"":11122},{""x"":592,""y"":746,""dx"":101,""dy"":-75,""t"":11156},{""x"":592,""y"":746,""dx"":101,""dy"":-75,""t"":11189},{""x"":582,""y"":736,""dx"":91,""dy"":-85,""t"":11224},{""x"":597,""y"":731,""dx"":106,""dy"":-90,""t"":11258},{""x"":592,""y"":716,""dx"":101,""dy"":-105,""t"":11292},{""x"":582,""y"":698,""dx"":91,""dy"":-123,""t"":11325},{""x"":569,""y"":693,""dx"":78,""dy"":-128,""t"":11359},{""x"":578,""y"":694,""dx"":87,""dy"":-127,""t"":11394},{""x"":576,""y"":709,""dx"":85,""dy"":-112,""t"":11428},{""x"":574,""y"":713,""dx"":83,""dy"":-108,""t"":11462},{""x"":573,""y"":708,""dx"":82,""dy"":-113,""t"":11497},{""x"":576,""y"":694,""dx"":85,""dy"":-127,""t"":11530},{""x"":574,""y"":684,""dx"":83,""dy"":-137,""t"":11564},{""x"":597,""y"":693,""dx"":106,""dy"":-128,""t"":11598},{""x"":603,""y"":694,""dx"":112,""dy"":-127,""t"":11632},{""x"":605,""y"":700,""dx"":114,""dy"":-121,""t"":11665},{""x"":607,""y"":701,""dx"":116,""dy"":-120,""t"":11699},{""x"":605,""y"":694,""dx"":114,""dy"":-127,""t"":11733},{""x"":593,""y"":691,""dx"":102,""dy"":-130,""t"":11768},{""x"":592,""y"":701,""dx"":101,""dy"":-120,""t"":11801},{""x"":597,""y"":708,""dx"":106,""dy"":-113,""t"":11836},{""x"":610,""y"":706,""dx"":119,""dy"":-115,""t"":11870},{""x"":617,""y"":701,""dx"":126,""dy"":-120,""t"":11904},{""x"":594,""y"":718,""dx"":103,""dy"":-103,""t"":11938},{""x"":608,""y"":710,""dx"":117,""dy"":-111,""t"":11971},{""x"":611,""y"":716,""dx"":120,""dy"":-105,""t"":12005}],[{""x"":1511,""y"":664,""dx"":60,""dy"":-157,""t"":13025},{""x"":1502,""y"":663,""dx"":51,""dy"":-158,""t"":13060},{""x"":1485,""y"":657,""dx"":34,""dy"":-164,""t"":13094},{""x"":1468,""y"":648,""dx"":17,""dy"":-173,""t"":13129},{""x"":1444,""y"":649,""dx"":-7,""dy"":-172,""t"":13161},{""x"":1440,""y"":657,""dx"":-11,""dy"":-164,""t"":13196},{""x"":1461,""y"":632,""dx"":10,""dy"":-189,""t"":13230},{""x"":1473,""y"":648,""dx"":22,""dy"":-173,""t"":13264},{""x"":1485,""y"":646,""dx"":34,""dy"":-175,""t"":13298},{""x"":1504,""y"":643,""dx"":53,""dy"":-178,""t"":13332},{""x"":1485,""y"":616,""dx"":34,""dy"":-205,""t"":13366},{""x"":1464,""y"":611,""dx"":13,""dy"":-210,""t"":13400},{""x"":1443,""y"":624,""dx"":-8,""dy"":-197,""t"":13433},{""x"":1437,""y"":625,""dx"":-14,""dy"":-196,""t"":13468},{""x"":1421,""y"":645,""dx"":-30,""dy"":-176,""t"":13502},{""x"":1406,""y"":625,""dx"":-45,""dy"":-196,""t"":13536},{""x"":1401,""y"":621,""dx"":-50,""dy"":-200,""t"":13570},{""x"":1407,""y"":622,""dx"":-44,""dy"":-199,""t"":13603},{""x"":1425,""y"":634,""dx"":-26,""dy"":-187,""t"":13639},{""x"":1419,""y"":634,""dx"":-32,""dy"":-187,""t"":13671},{""x"":1411,""y"":658,""dx"":-40,""dy"":-163,""t"":13705},{""x"":1404,""y"":679,""dx"":-47,""dy"":-142,""t"":13738},{""x"":1403,""y"":681,""dx"":-48,""dy"":-140,""t"":13774},{""x"":1384,""y"":689,""dx"":-67,""dy"":-132,""t"":13808},{""x"":1377,""y"":679,""dx"":-74,""dy"":-142,""t"":13841},{""x"":1387,""y"":681,""dx"":-64,""dy"":-140,""t"":13875},{""x"":1368,""y"":669,""dx"":-83,""dy"":-152,""t"":13910},{""x"":1360,""y"":656,""dx"":-91,""dy"":-165,""t"":13943},{""x"":1357,""y"":648,""dx"":-94,""dy"":-173,""t"":13977},{""x"":1384,""y"":664,""dx"":-67,""dy"":-157,""t"":14012},{""x"":1370,""y"":670,""dx"":-81,""dy"":-151,""t"":14045},{""x"":1360,""y"":682,""dx"":-91,""dy"":-139,""t"":14080},{""x"":1370,""y"":684,""dx"":-81,""dy"":-137,""t"":14113},{""x"":1379,""y"":686,""dx"":-72,""dy"":-135,""t"":14146},{""x"":1359,""y"":673,""dx"":-92,""dy"":-148,""t"":14183},{""x"":1370,""y"":673,""dx"":-81,""dy"":-148,""t"":14216},{""x"":1378,""y"":675,""dx"":-73,""dy"":-146,""t"":14250},{""x"":1381,""y"":677,""dx"":-70,""dy"":-144,""t"":14283},{""x"":1393,""y"":694,""dx"":-58,""dy"":-127,""t"":14318},{""x"":1391,""y"":699,""dx"":-60,""dy"":-122,""t"":14352},{""x"":1392,""y"":690,""dx"":-59,""dy"":-131,""t"":14386},{""x"":1417,""y"":675,""dx"":-34,""dy"":-146,""t"":14419},{""x"":1433,""y"":679,""dx"":-18,""dy"":-142,""t"":14454},{""x"":1420,""y"":688,""dx"":-31,""dy"":-133,""t"":14488},{""x"":1405,""y"":674,""dx"":-46,""dy"":-147,""t"":14521},{""x"":1407,""y"":676,""dx"":-44,""dy"":-145,""t"":14555},{""x"":1414,""y"":684,""dx"":-37,""dy"":-137,""t"":14589},{""x"":1406,""y"":650,""dx"":-45,""dy"":-171,""t"":14624},{""x"":1395,""y"":637,""dx"":-56,""dy"":-184,""t"":14659},{""x"":1385,""y"":637,""dx"":-66,""dy"":-184,""t"":14691},{""x"":1377,""y"":640,""dx"":-74,""dy"":-181,""t"":14726},{""x"":1391,""y"":641,""dx"":-60,""dy"":-180,""t"":14759},{""x"":1383,""y"":636,""dx"":-68,""dy"":-185,""t"":14793},{""x"":1400,""y"":643,""dx"":-51,""dy"":-178,""t"":14828},{""x"":1401,""y"":631,""dx"":-50,""dy"":-190,""t"":14862},{""x"":1417,""y"":651,""dx"":-34,""dy"":-170,""t"":14895},{""x"":1429,""y"":650,""dx"":-22,""dy"":-171,""t"":14930},{""x"":1415,""y"":665,""dx"":-36,""dy"":-156,""t"":14964},{""x"":1393,""y"":671,""dx"":-58,""dy"":-150,""t"":14997},{""x"":1400,""y"":679,""dx"":-51,""dy"":-142,""t"":15032}]]","[100,83.05084745762711,100,93.22033898305084,91.66666666666666]","[{""x"":-12.915254237288135,""y"":126.44067796610169,""r"":27.958771509811264},{""x"":-27.220338983050848,""y"":55.11864406779661,""r"":82.25020683248985},{""x"":-53.31666666666667,""y"":-27.85,""r"":63.52186321917574},{""x"":102.69491525423729,""y"":-79.01694915254237,""r"":43.47851767906871},{""x"":-38.55,""y"":-163.03333333333333,""r"":55.12062143519249}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
