"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","13602","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","13606","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","16920","0.0-2.0-0.0","","","","","3309","{""name"":""黎钰"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","17952","0.0-2.0-1.0","","","","","1031","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","18368","0.0-3.0","","","","","414"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","22984","0.0-4.0","","","","","","","","","2160","","","","","","","","","","","","","","","",""
"","html-button-response","6","24208","0.0-5.0-0.0","","","","","1222","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","35101","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","35871","0.0-5.0-2.0","","","","","770","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","53616","0.0-5.0-3.0","","","","","","","","","","[[{""x"":374,""y"":360,""dx"":-117,""dy"":79,""t"":990},{""x"":379,""y"":356,""dx"":-112,""dy"":75,""t"":1024},{""x"":390,""y"":351,""dx"":-101,""dy"":70,""t"":1059},{""x"":393,""y"":365,""dx"":-98,""dy"":84,""t"":1091},{""x"":391,""y"":380,""dx"":-100,""dy"":99,""t"":1127},{""x"":396,""y"":391,""dx"":-95,""dy"":110,""t"":1160},{""x"":401,""y"":422,""dx"":-90,""dy"":141,""t"":1193},{""x"":399,""y"":412,""dx"":-92,""dy"":131,""t"":1227},{""x"":396,""y"":403,""dx"":-95,""dy"":122,""t"":1259},{""x"":391,""y"":409,""dx"":-100,""dy"":128,""t"":1296},{""x"":406,""y"":434,""dx"":-85,""dy"":153,""t"":1331},{""x"":402,""y"":428,""dx"":-89,""dy"":147,""t"":1364},{""x"":413,""y"":455,""dx"":-78,""dy"":174,""t"":1398},{""x"":405,""y"":404,""dx"":-86,""dy"":123,""t"":1433},{""x"":392,""y"":364,""dx"":-99,""dy"":83,""t"":1465},{""x"":399,""y"":388,""dx"":-92,""dy"":107,""t"":1500},{""x"":397,""y"":378,""dx"":-94,""dy"":97,""t"":1555},{""x"":388,""y"":372,""dx"":-103,""dy"":91,""t"":1568},{""x"":382,""y"":369,""dx"":-109,""dy"":88,""t"":1602},{""x"":378,""y"":374,""dx"":-113,""dy"":93,""t"":1636},{""x"":376,""y"":378,""dx"":-115,""dy"":97,""t"":1668},{""x"":374,""y"":368,""dx"":-117,""dy"":87,""t"":1704},{""x"":381,""y"":372,""dx"":-110,""dy"":91,""t"":1737},{""x"":388,""y"":374,""dx"":-103,""dy"":93,""t"":1772},{""x"":386,""y"":357,""dx"":-105,""dy"":76,""t"":1805},{""x"":393,""y"":363,""dx"":-98,""dy"":82,""t"":1840},{""x"":383,""y"":359,""dx"":-108,""dy"":78,""t"":1874},{""x"":382,""y"":346,""dx"":-109,""dy"":65,""t"":1908},{""x"":378,""y"":348,""dx"":-113,""dy"":67,""t"":1941},{""x"":393,""y"":354,""dx"":-98,""dy"":73,""t"":1977},{""x"":401,""y"":358,""dx"":-90,""dy"":77,""t"":2011},{""x"":400,""y"":347,""dx"":-91,""dy"":66,""t"":2043},{""x"":396,""y"":350,""dx"":-95,""dy"":69,""t"":2077},{""x"":396,""y"":340,""dx"":-95,""dy"":59,""t"":2112},{""x"":388,""y"":335,""dx"":-103,""dy"":54,""t"":2146},{""x"":382,""y"":358,""dx"":-109,""dy"":77,""t"":2179},{""x"":389,""y"":392,""dx"":-102,""dy"":111,""t"":2215},{""x"":392,""y"":386,""dx"":-99,""dy"":105,""t"":2249},{""x"":403,""y"":385,""dx"":-88,""dy"":104,""t"":2282},{""x"":400,""y"":387,""dx"":-91,""dy"":106,""t"":2316},{""x"":397,""y"":382,""dx"":-94,""dy"":101,""t"":2350},{""x"":403,""y"":414,""dx"":-88,""dy"":133,""t"":2384},{""x"":413,""y"":443,""dx"":-78,""dy"":162,""t"":2419},{""x"":413,""y"":438,""dx"":-78,""dy"":157,""t"":2453},{""x"":415,""y"":433,""dx"":-76,""dy"":152,""t"":2486},{""x"":410,""y"":438,""dx"":-81,""dy"":157,""t"":2519},{""x"":417,""y"":457,""dx"":-74,""dy"":176,""t"":2553},{""x"":418,""y"":457,""dx"":-73,""dy"":176,""t"":2588},{""x"":406,""y"":445,""dx"":-85,""dy"":164,""t"":2623},{""x"":407,""y"":462,""dx"":-84,""dy"":181,""t"":2656},{""x"":406,""y"":457,""dx"":-85,""dy"":176,""t"":2690},{""x"":396,""y"":471,""dx"":-95,""dy"":190,""t"":2724},{""x"":399,""y"":473,""dx"":-92,""dy"":192,""t"":2758},{""x"":406,""y"":471,""dx"":-85,""dy"":190,""t"":2792},{""x"":402,""y"":455,""dx"":-89,""dy"":174,""t"":2825},{""x"":403,""y"":450,""dx"":-88,""dy"":169,""t"":2860},{""x"":402,""y"":433,""dx"":-89,""dy"":152,""t"":2894},{""x"":414,""y"":415,""dx"":-77,""dy"":134,""t"":2928},{""x"":422,""y"":428,""dx"":-69,""dy"":147,""t"":2962}],[{""x"":1567,""y"":489,""dx"":116,""dy"":208,""t"":4017},{""x"":1536,""y"":457,""dx"":85,""dy"":176,""t"":4050},{""x"":1528,""y"":464,""dx"":77,""dy"":183,""t"":4085},{""x"":1534,""y"":476,""dx"":83,""dy"":195,""t"":4118},{""x"":1530,""y"":505,""dx"":79,""dy"":224,""t"":4152},{""x"":1515,""y"":478,""dx"":64,""dy"":197,""t"":4186},{""x"":1499,""y"":465,""dx"":48,""dy"":184,""t"":4220},{""x"":1484,""y"":445,""dx"":33,""dy"":164,""t"":4254},{""x"":1476,""y"":425,""dx"":25,""dy"":144,""t"":4288},{""x"":1472,""y"":414,""dx"":21,""dy"":133,""t"":4322},{""x"":1460,""y"":388,""dx"":9,""dy"":107,""t"":4357},{""x"":1459,""y"":389,""dx"":8,""dy"":108,""t"":4390},{""x"":1471,""y"":420,""dx"":20,""dy"":139,""t"":4424},{""x"":1453,""y"":422,""dx"":2,""dy"":141,""t"":4457},{""x"":1455,""y"":414,""dx"":4,""dy"":133,""t"":4491},{""x"":1455,""y"":405,""dx"":4,""dy"":124,""t"":4526},{""x"":1465,""y"":397,""dx"":14,""dy"":116,""t"":4559},{""x"":1457,""y"":422,""dx"":6,""dy"":141,""t"":4593},{""x"":1449,""y"":409,""dx"":-2,""dy"":128,""t"":4627},{""x"":1433,""y"":404,""dx"":-18,""dy"":123,""t"":4662},{""x"":1427,""y"":426,""dx"":-24,""dy"":145,""t"":4697},{""x"":1450,""y"":428,""dx"":-1,""dy"":147,""t"":4729},{""x"":1465,""y"":445,""dx"":14,""dy"":164,""t"":4764},{""x"":1469,""y"":452,""dx"":18,""dy"":171,""t"":4799},{""x"":1472,""y"":458,""dx"":21,""dy"":177,""t"":4830},{""x"":1472,""y"":465,""dx"":21,""dy"":184,""t"":4867},{""x"":1472,""y"":468,""dx"":21,""dy"":187,""t"":4900},{""x"":1474,""y"":454,""dx"":23,""dy"":173,""t"":4934},{""x"":1479,""y"":449,""dx"":28,""dy"":168,""t"":4969},{""x"":1480,""y"":431,""dx"":29,""dy"":150,""t"":5001},{""x"":1481,""y"":418,""dx"":30,""dy"":137,""t"":5036},{""x"":1482,""y"":421,""dx"":31,""dy"":140,""t"":5070},{""x"":1485,""y"":412,""dx"":34,""dy"":131,""t"":5104},{""x"":1476,""y"":394,""dx"":25,""dy"":113,""t"":5138},{""x"":1475,""y"":403,""dx"":24,""dy"":122,""t"":5172},{""x"":1486,""y"":396,""dx"":35,""dy"":115,""t"":5205},{""x"":1494,""y"":391,""dx"":43,""dy"":110,""t"":5238},{""x"":1486,""y"":389,""dx"":35,""dy"":108,""t"":5273},{""x"":1481,""y"":389,""dx"":30,""dy"":108,""t"":5308},{""x"":1476,""y"":388,""dx"":25,""dy"":107,""t"":5342},{""x"":1470,""y"":399,""dx"":19,""dy"":118,""t"":5376},{""x"":1471,""y"":399,""dx"":20,""dy"":118,""t"":5410},{""x"":1464,""y"":420,""dx"":13,""dy"":139,""t"":5444},{""x"":1461,""y"":412,""dx"":10,""dy"":131,""t"":5478},{""x"":1466,""y"":430,""dx"":15,""dy"":149,""t"":5511},{""x"":1472,""y"":415,""dx"":21,""dy"":134,""t"":5546},{""x"":1466,""y"":428,""dx"":15,""dy"":147,""t"":5580},{""x"":1461,""y"":416,""dx"":10,""dy"":135,""t"":5614},{""x"":1465,""y"":421,""dx"":14,""dy"":140,""t"":5649},{""x"":1466,""y"":418,""dx"":15,""dy"":137,""t"":5681},{""x"":1458,""y"":416,""dx"":7,""dy"":135,""t"":5716},{""x"":1456,""y"":408,""dx"":5,""dy"":127,""t"":5750},{""x"":1452,""y"":404,""dx"":1,""dy"":123,""t"":5784},{""x"":1455,""y"":408,""dx"":4,""dy"":127,""t"":5818},{""x"":1449,""y"":407,""dx"":-2,""dy"":126,""t"":5853},{""x"":1450,""y"":406,""dx"":-1,""dy"":125,""t"":5886},{""x"":1461,""y"":409,""dx"":10,""dy"":128,""t"":5919},{""x"":1457,""y"":421,""dx"":6,""dy"":140,""t"":5953},{""x"":1455,""y"":424,""dx"":4,""dy"":143,""t"":5987}],[{""x"":879,""y"":621,""dx"":-92,""dy"":70,""t"":7041},{""x"":882,""y"":624,""dx"":-89,""dy"":73,""t"":7077},{""x"":893,""y"":633,""dx"":-78,""dy"":82,""t"":7110},{""x"":904,""y"":615,""dx"":-67,""dy"":64,""t"":7144},{""x"":932,""y"":566,""dx"":-39,""dy"":15,""t"":7178},{""x"":937,""y"":556,""dx"":-34,""dy"":5,""t"":7212},{""x"":936,""y"":539,""dx"":-35,""dy"":-12,""t"":7247},{""x"":939,""y"":543,""dx"":-32,""dy"":-8,""t"":7281},{""x"":952,""y"":529,""dx"":-19,""dy"":-22,""t"":7315},{""x"":958,""y"":533,""dx"":-13,""dy"":-18,""t"":7347},{""x"":972,""y"":554,""dx"":1,""dy"":3,""t"":7381},{""x"":977,""y"":577,""dx"":6,""dy"":26,""t"":7416},{""x"":979,""y"":606,""dx"":8,""dy"":55,""t"":7450},{""x"":969,""y"":617,""dx"":-2,""dy"":66,""t"":7484},{""x"":957,""y"":640,""dx"":-14,""dy"":89,""t"":7518},{""x"":972,""y"":616,""dx"":1,""dy"":65,""t"":7552},{""x"":978,""y"":608,""dx"":7,""dy"":57,""t"":7586},{""x"":983,""y"":622,""dx"":12,""dy"":71,""t"":7620},{""x"":997,""y"":622,""dx"":26,""dy"":71,""t"":7654},{""x"":984,""y"":631,""dx"":13,""dy"":80,""t"":7687},{""x"":985,""y"":626,""dx"":14,""dy"":75,""t"":7722},{""x"":988,""y"":635,""dx"":17,""dy"":84,""t"":7757},{""x"":995,""y"":632,""dx"":24,""dy"":81,""t"":7790},{""x"":999,""y"":620,""dx"":28,""dy"":69,""t"":7824},{""x"":999,""y"":586,""dx"":28,""dy"":35,""t"":7858},{""x"":1007,""y"":564,""dx"":36,""dy"":13,""t"":7891},{""x"":984,""y"":589,""dx"":13,""dy"":38,""t"":7928},{""x"":993,""y"":593,""dx"":22,""dy"":42,""t"":7961},{""x"":982,""y"":609,""dx"":11,""dy"":58,""t"":7994},{""x"":964,""y"":614,""dx"":-7,""dy"":63,""t"":8027},{""x"":948,""y"":629,""dx"":-23,""dy"":78,""t"":8061},{""x"":922,""y"":633,""dx"":-49,""dy"":82,""t"":8096},{""x"":918,""y"":654,""dx"":-53,""dy"":103,""t"":8131},{""x"":911,""y"":652,""dx"":-60,""dy"":101,""t"":8164},{""x"":908,""y"":637,""dx"":-63,""dy"":86,""t"":8198},{""x"":902,""y"":649,""dx"":-69,""dy"":98,""t"":8232},{""x"":908,""y"":654,""dx"":-63,""dy"":103,""t"":8265},{""x"":916,""y"":645,""dx"":-55,""dy"":94,""t"":8300},{""x"":920,""y"":658,""dx"":-51,""dy"":107,""t"":8335},{""x"":937,""y"":633,""dx"":-34,""dy"":82,""t"":8367},{""x"":952,""y"":611,""dx"":-19,""dy"":60,""t"":8400},{""x"":943,""y"":640,""dx"":-28,""dy"":89,""t"":8436},{""x"":963,""y"":632,""dx"":-8,""dy"":81,""t"":8471},{""x"":972,""y"":644,""dx"":1,""dy"":93,""t"":8504},{""x"":986,""y"":640,""dx"":15,""dy"":89,""t"":8537},{""x"":983,""y"":628,""dx"":12,""dy"":77,""t"":8573},{""x"":972,""y"":634,""dx"":1,""dy"":83,""t"":8605},{""x"":954,""y"":610,""dx"":-17,""dy"":59,""t"":8639},{""x"":957,""y"":620,""dx"":-14,""dy"":69,""t"":8673},{""x"":973,""y"":611,""dx"":2,""dy"":60,""t"":8708},{""x"":982,""y"":612,""dx"":11,""dy"":61,""t"":8742},{""x"":992,""y"":637,""dx"":21,""dy"":86,""t"":8777},{""x"":987,""y"":627,""dx"":16,""dy"":76,""t"":8809},{""x"":981,""y"":617,""dx"":10,""dy"":66,""t"":8844},{""x"":966,""y"":624,""dx"":-5,""dy"":73,""t"":8878},{""x"":957,""y"":624,""dx"":-14,""dy"":73,""t"":8911},{""x"":960,""y"":611,""dx"":-11,""dy"":60,""t"":8947},{""x"":966,""y"":599,""dx"":-5,""dy"":48,""t"":8981},{""x"":969,""y"":575,""dx"":-2,""dy"":24,""t"":9014}],[{""x"":509,""y"":699,""dx"":18,""dy"":-122,""t"":10034},{""x"":515,""y"":691,""dx"":24,""dy"":-130,""t"":10067},{""x"":500,""y"":696,""dx"":9,""dy"":-125,""t"":10103},{""x"":495,""y"":691,""dx"":4,""dy"":-130,""t"":10137},{""x"":505,""y"":701,""dx"":14,""dy"":-120,""t"":10169},{""x"":518,""y"":701,""dx"":27,""dy"":-120,""t"":10204},{""x"":517,""y"":688,""dx"":26,""dy"":-133,""t"":10238},{""x"":516,""y"":698,""dx"":25,""dy"":-123,""t"":10271},{""x"":515,""y"":692,""dx"":24,""dy"":-129,""t"":10306},{""x"":513,""y"":696,""dx"":22,""dy"":-125,""t"":10340},{""x"":511,""y"":699,""dx"":20,""dy"":-122,""t"":10372},{""x"":506,""y"":696,""dx"":15,""dy"":-125,""t"":10408},{""x"":493,""y"":701,""dx"":2,""dy"":-120,""t"":10441},{""x"":492,""y"":719,""dx"":1,""dy"":-102,""t"":10476},{""x"":490,""y"":709,""dx"":-1,""dy"":-112,""t"":10510},{""x"":489,""y"":713,""dx"":-2,""dy"":-108,""t"":10544},{""x"":493,""y"":722,""dx"":2,""dy"":-99,""t"":10609},{""x"":496,""y"":729,""dx"":5,""dy"":-92,""t"":10646},{""x"":499,""y"":734,""dx"":8,""dy"":-87,""t"":10682},{""x"":508,""y"":711,""dx"":17,""dy"":-110,""t"":10714},{""x"":515,""y"":721,""dx"":24,""dy"":-100,""t"":10747},{""x"":498,""y"":726,""dx"":7,""dy"":-95,""t"":10782},{""x"":487,""y"":727,""dx"":-4,""dy"":-94,""t"":10816},{""x"":505,""y"":724,""dx"":14,""dy"":-97,""t"":10850},{""x"":484,""y"":731,""dx"":-7,""dy"":-90,""t"":10885},{""x"":477,""y"":748,""dx"":-14,""dy"":-73,""t"":10917},{""x"":469,""y"":765,""dx"":-22,""dy"":-56,""t"":10952},{""x"":480,""y"":742,""dx"":-11,""dy"":-79,""t"":10986},{""x"":497,""y"":721,""dx"":6,""dy"":-100,""t"":11020},{""x"":525,""y"":746,""dx"":34,""dy"":-75,""t"":11054},{""x"":542,""y"":762,""dx"":51,""dy"":-59,""t"":11087},{""x"":536,""y"":762,""dx"":45,""dy"":-59,""t"":11122},{""x"":535,""y"":762,""dx"":44,""dy"":-59,""t"":11156},{""x"":549,""y"":759,""dx"":58,""dy"":-62,""t"":11190},{""x"":549,""y"":743,""dx"":58,""dy"":-78,""t"":11224},{""x"":530,""y"":744,""dx"":39,""dy"":-77,""t"":11257},{""x"":513,""y"":744,""dx"":22,""dy"":-77,""t"":11292},{""x"":498,""y"":736,""dx"":7,""dy"":-85,""t"":11326},{""x"":479,""y"":719,""dx"":-12,""dy"":-102,""t"":11359},{""x"":491,""y"":701,""dx"":0,""dy"":-120,""t"":11394},{""x"":502,""y"":696,""dx"":11,""dy"":-125,""t"":11428},{""x"":516,""y"":698,""dx"":25,""dy"":-123,""t"":11461},{""x"":536,""y"":715,""dx"":45,""dy"":-106,""t"":11496},{""x"":525,""y"":711,""dx"":34,""dy"":-110,""t"":11529},{""x"":515,""y"":706,""dx"":24,""dy"":-115,""t"":11562},{""x"":506,""y"":703,""dx"":15,""dy"":-118,""t"":11598},{""x"":527,""y"":711,""dx"":36,""dy"":-110,""t"":11632},{""x"":525,""y"":721,""dx"":34,""dy"":-100,""t"":11667},{""x"":515,""y"":730,""dx"":24,""dy"":-91,""t"":11699},{""x"":508,""y"":724,""dx"":17,""dy"":-97,""t"":11734},{""x"":499,""y"":721,""dx"":8,""dy"":-100,""t"":11768},{""x"":495,""y"":714,""dx"":4,""dy"":-107,""t"":11801},{""x"":500,""y"":719,""dx"":9,""dy"":-102,""t"":11836},{""x"":498,""y"":717,""dx"":7,""dy"":-104,""t"":11869},{""x"":487,""y"":707,""dx"":-4,""dy"":-114,""t"":11903},{""x"":485,""y"":714,""dx"":-6,""dy"":-107,""t"":11938},{""x"":493,""y"":722,""dx"":2,""dy"":-99,""t"":11970},{""x"":501,""y"":722,""dx"":10,""dy"":-99,""t"":12006}],[{""x"":1259,""y"":792,""dx"":-192,""dy"":-29,""t"":13027},{""x"":1242,""y"":778,""dx"":-209,""dy"":-43,""t"":13060},{""x"":1230,""y"":784,""dx"":-221,""dy"":-37,""t"":13094},{""x"":1262,""y"":801,""dx"":-189,""dy"":-20,""t"":13128},{""x"":1283,""y"":819,""dx"":-168,""dy"":-2,""t"":13161},{""x"":1281,""y"":817,""dx"":-170,""dy"":-4,""t"":13197},{""x"":1262,""y"":809,""dx"":-189,""dy"":-12,""t"":13231},{""x"":1285,""y"":791,""dx"":-166,""dy"":-30,""t"":13264},{""x"":1289,""y"":792,""dx"":-162,""dy"":-29,""t"":13299},{""x"":1292,""y"":818,""dx"":-159,""dy"":-3,""t"":13332},{""x"":1293,""y"":838,""dx"":-158,""dy"":17,""t"":13366},{""x"":1300,""y"":825,""dx"":-151,""dy"":4,""t"":13401},{""x"":1319,""y"":817,""dx"":-132,""dy"":-4,""t"":13433},{""x"":1308,""y"":813,""dx"":-143,""dy"":-8,""t"":13468},{""x"":1280,""y"":822,""dx"":-171,""dy"":1,""t"":13502},{""x"":1264,""y"":835,""dx"":-187,""dy"":14,""t"":13537},{""x"":1251,""y"":846,""dx"":-200,""dy"":25,""t"":13568},{""x"":1261,""y"":847,""dx"":-190,""dy"":26,""t"":13604},{""x"":1278,""y"":845,""dx"":-173,""dy"":24,""t"":13637},{""x"":1284,""y"":850,""dx"":-167,""dy"":29,""t"":13671},{""x"":1291,""y"":850,""dx"":-160,""dy"":29,""t"":13705},{""x"":1285,""y"":850,""dx"":-166,""dy"":29,""t"":13739},{""x"":1285,""y"":836,""dx"":-166,""dy"":15,""t"":13773},{""x"":1289,""y"":816,""dx"":-162,""dy"":-5,""t"":13808},{""x"":1280,""y"":811,""dx"":-171,""dy"":-10,""t"":13842},{""x"":1295,""y"":828,""dx"":-156,""dy"":7,""t"":13876},{""x"":1307,""y"":833,""dx"":-144,""dy"":12,""t"":13909},{""x"":1309,""y"":832,""dx"":-142,""dy"":11,""t"":13944},{""x"":1317,""y"":838,""dx"":-134,""dy"":17,""t"":13975},{""x"":1300,""y"":814,""dx"":-151,""dy"":-7,""t"":14012},{""x"":1305,""y"":816,""dx"":-146,""dy"":-5,""t"":14046},{""x"":1302,""y"":814,""dx"":-149,""dy"":-7,""t"":14079},{""x"":1296,""y"":804,""dx"":-155,""dy"":-17,""t"":14114},{""x"":1287,""y"":789,""dx"":-164,""dy"":-32,""t"":14148},{""x"":1293,""y"":773,""dx"":-158,""dy"":-48,""t"":14182},{""x"":1280,""y"":768,""dx"":-171,""dy"":-53,""t"":14216},{""x"":1264,""y"":769,""dx"":-187,""dy"":-52,""t"":14250},{""x"":1237,""y"":788,""dx"":-214,""dy"":-33,""t"":14284},{""x"":1208,""y"":793,""dx"":-243,""dy"":-28,""t"":14317},{""x"":1208,""y"":785,""dx"":-243,""dy"":-36,""t"":14353},{""x"":1219,""y"":779,""dx"":-232,""dy"":-42,""t"":14386},{""x"":1247,""y"":788,""dx"":-204,""dy"":-33,""t"":14420},{""x"":1221,""y"":790,""dx"":-230,""dy"":-31,""t"":14454},{""x"":1232,""y"":789,""dx"":-219,""dy"":-32,""t"":14487},{""x"":1245,""y"":784,""dx"":-206,""dy"":-37,""t"":14522},{""x"":1244,""y"":799,""dx"":-207,""dy"":-22,""t"":14556},{""x"":1247,""y"":807,""dx"":-204,""dy"":-14,""t"":14590},{""x"":1273,""y"":796,""dx"":-178,""dy"":-25,""t"":14624},{""x"":1293,""y"":805,""dx"":-158,""dy"":-16,""t"":14658},{""x"":1302,""y"":801,""dx"":-149,""dy"":-20,""t"":14692},{""x"":1313,""y"":808,""dx"":-138,""dy"":-13,""t"":14725},{""x"":1320,""y"":811,""dx"":-131,""dy"":-10,""t"":14760},{""x"":1329,""y"":798,""dx"":-122,""dy"":-23,""t"":14795},{""x"":1313,""y"":782,""dx"":-138,""dy"":-39,""t"":14827},{""x"":1289,""y"":800,""dx"":-162,""dy"":-21,""t"":14862},{""x"":1271,""y"":797,""dx"":-180,""dy"":-24,""t"":14897},{""x"":1251,""y"":794,""dx"":-200,""dy"":-27,""t"":14929},{""x"":1252,""y"":814,""dx"":-199,""dy"":-7,""t"":14964},{""x"":1240,""y"":816,""dx"":-211,""dy"":-5,""t"":14998},{""x"":1254,""y"":826,""dx"":-197,""dy"":5,""t"":15033}]]","[94.91525423728814,93.22033898305084,100,100,75]","[{""x"":-94.35593220338983,""y"":117.20338983050847,""r"":39.12494441523907},{""x"":22.47457627118644,""y"":143.16949152542372,""r"":25.40818734016003},{""x"":-13.694915254237289,""y"":61.88135593220339,""r"":37.834009011241235},{""x"":15.413793103448276,""y"":-101.6896551724138,""r"":32.69936357073602},{""x"":-175.73333333333332,""y"":-12.166666666666666,""r"":49.27522794070594}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.31","validate","","","","","","","","","",""
