"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1930","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1933","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7209","0.0-2.0-0.0","","","","","5274","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8577","0.0-2.0-1.0","","","","","1367","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9537","0.0-3.0","","","","","958"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","20401","0.0-4.0","","","","","","","","","719","","","","","","","","","","","","","","","","",""
"","html-button-response","6","22489","0.0-5.0-0.0","","","","","2086","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32949","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","33584","0.0-5.0-2.0","","","","","635","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","55481","0.0-5.0-3.0","","","","","","","","","","[[{""x"":585,""y"":43,""dx"":94,""dy"":-238,""t"":990},{""x"":565,""y"":-27,""dx"":74,""dy"":-308,""t"":1024},{""x"":576,""y"":27,""dx"":85,""dy"":-254,""t"":1057},{""x"":564,""y"":-33,""dx"":73,""dy"":-314,""t"":1091},{""x"":585,""y"":-58,""dx"":94,""dy"":-339,""t"":1126},{""x"":611,""y"":-74,""dx"":120,""dy"":-355,""t"":1159},{""x"":612,""y"":-101,""dx"":121,""dy"":-382,""t"":1194},{""x"":630,""y"":-110,""dx"":139,""dy"":-391,""t"":1228},{""x"":615,""y"":-127,""dx"":124,""dy"":-408,""t"":1262},{""x"":608,""y"":-116,""dx"":117,""dy"":-397,""t"":1295},{""x"":589,""y"":-112,""dx"":98,""dy"":-393,""t"":1330},{""x"":606,""y"":-103,""dx"":115,""dy"":-384,""t"":1364},{""x"":619,""y"":-85,""dx"":128,""dy"":-366,""t"":1398},{""x"":631,""y"":-68,""dx"":140,""dy"":-349,""t"":1430},{""x"":640,""y"":-58,""dx"":149,""dy"":-339,""t"":1466},{""x"":654,""y"":-36,""dx"":163,""dy"":-317,""t"":1500},{""x"":656,""y"":-33,""dx"":165,""dy"":-314,""t"":1534},{""x"":637,""y"":-38,""dx"":146,""dy"":-319,""t"":1568},{""x"":630,""y"":-37,""dx"":139,""dy"":-318,""t"":1602},{""x"":612,""y"":-27,""dx"":121,""dy"":-308,""t"":1636},{""x"":613,""y"":-33,""dx"":122,""dy"":-314,""t"":1670},{""x"":623,""y"":-21,""dx"":132,""dy"":-302,""t"":1703},{""x"":627,""y"":-38,""dx"":136,""dy"":-319,""t"":1738},{""x"":640,""y"":-27,""dx"":149,""dy"":-308,""t"":1772},{""x"":660,""y"":-9,""dx"":169,""dy"":-290,""t"":1806},{""x"":676,""y"":6,""dx"":185,""dy"":-275,""t"":1838},{""x"":642,""y"":27,""dx"":151,""dy"":-254,""t"":1874},{""x"":653,""y"":41,""dx"":162,""dy"":-240,""t"":1907},{""x"":594,""y"":20,""dx"":103,""dy"":-261,""t"":1943},{""x"":560,""y"":44,""dx"":69,""dy"":-237,""t"":1976},{""x"":574,""y"":54,""dx"":83,""dy"":-227,""t"":2009},{""x"":552,""y"":50,""dx"":61,""dy"":-231,""t"":2044},{""x"":568,""y"":55,""dx"":77,""dy"":-226,""t"":2078},{""x"":593,""y"":27,""dx"":102,""dy"":-254,""t"":2112},{""x"":589,""y"":-2,""dx"":98,""dy"":-283,""t"":2146},{""x"":608,""y"":-20,""dx"":117,""dy"":-301,""t"":2179},{""x"":605,""y"":-38,""dx"":114,""dy"":-319,""t"":2214},{""x"":624,""y"":-11,""dx"":133,""dy"":-292,""t"":2248},{""x"":627,""y"":-10,""dx"":136,""dy"":-291,""t"":2282},{""x"":646,""y"":-25,""dx"":155,""dy"":-306,""t"":2317},{""x"":640,""y"":-6,""dx"":149,""dy"":-287,""t"":2350},{""x"":651,""y"":-30,""dx"":160,""dy"":-311,""t"":2384},{""x"":642,""y"":-15,""dx"":151,""dy"":-296,""t"":2417},{""x"":660,""y"":-22,""dx"":169,""dy"":-303,""t"":2452},{""x"":647,""y"":-22,""dx"":156,""dy"":-303,""t"":2486},{""x"":619,""y"":-33,""dx"":128,""dy"":-314,""t"":2520},{""x"":631,""y"":1,""dx"":140,""dy"":-280,""t"":2554},{""x"":646,""y"":-18,""dx"":155,""dy"":-299,""t"":2588},{""x"":633,""y"":-13,""dx"":142,""dy"":-294,""t"":2622},{""x"":617,""y"":-15,""dx"":126,""dy"":-296,""t"":2656},{""x"":640,""y"":-53,""dx"":149,""dy"":-334,""t"":2690},{""x"":661,""y"":-59,""dx"":170,""dy"":-340,""t"":2724},{""x"":660,""y"":-61,""dx"":169,""dy"":-342,""t"":2757},{""x"":656,""y"":-40,""dx"":165,""dy"":-321,""t"":2793},{""x"":635,""y"":-15,""dx"":144,""dy"":-296,""t"":2825},{""x"":598,""y"":-14,""dx"":107,""dy"":-295,""t"":2859},{""x"":632,""y"":-17,""dx"":141,""dy"":-298,""t"":2894},{""x"":659,""y"":2,""dx"":168,""dy"":-279,""t"":2928},{""x"":642,""y"":34,""dx"":151,""dy"":-247,""t"":2962}],[{""x"":1754,""y"":366,""dx"":303,""dy"":85,""t"":4016},{""x"":1716,""y"":360,""dx"":265,""dy"":79,""t"":4050},{""x"":1719,""y"":340,""dx"":268,""dy"":59,""t"":4083},{""x"":1718,""y"":332,""dx"":267,""dy"":51,""t"":4117},{""x"":1690,""y"":319,""dx"":239,""dy"":38,""t"":4151},{""x"":1662,""y"":355,""dx"":211,""dy"":74,""t"":4186},{""x"":1496,""y"":408,""dx"":45,""dy"":127,""t"":4219},{""x"":1353,""y"":456,""dx"":-98,""dy"":175,""t"":4254},{""x"":1271,""y"":468,""dx"":-180,""dy"":187,""t"":4288},{""x"":1237,""y"":437,""dx"":-214,""dy"":156,""t"":4322},{""x"":1227,""y"":465,""dx"":-224,""dy"":184,""t"":4355},{""x"":1241,""y"":467,""dx"":-210,""dy"":186,""t"":4390},{""x"":1253,""y"":450,""dx"":-198,""dy"":169,""t"":4423},{""x"":1306,""y"":450,""dx"":-145,""dy"":169,""t"":4457},{""x"":1355,""y"":446,""dx"":-96,""dy"":165,""t"":4491},{""x"":1384,""y"":458,""dx"":-67,""dy"":177,""t"":4525},{""x"":1430,""y"":445,""dx"":-21,""dy"":164,""t"":4560},{""x"":1469,""y"":450,""dx"":18,""dy"":169,""t"":4593},{""x"":1504,""y"":436,""dx"":53,""dy"":155,""t"":4628},{""x"":1529,""y"":422,""dx"":78,""dy"":141,""t"":4662},{""x"":1551,""y"":409,""dx"":100,""dy"":128,""t"":4696},{""x"":1569,""y"":411,""dx"":118,""dy"":130,""t"":4729},{""x"":1585,""y"":407,""dx"":134,""dy"":126,""t"":4764},{""x"":1595,""y"":405,""dx"":144,""dy"":124,""t"":4797},{""x"":1600,""y"":418,""dx"":149,""dy"":137,""t"":4832},{""x"":1605,""y"":419,""dx"":154,""dy"":138,""t"":4866},{""x"":1608,""y"":424,""dx"":157,""dy"":143,""t"":4900},{""x"":1608,""y"":421,""dx"":157,""dy"":140,""t"":4934},{""x"":1613,""y"":430,""dx"":162,""dy"":149,""t"":4969},{""x"":1615,""y"":438,""dx"":164,""dy"":157,""t"":5000},{""x"":1611,""y"":438,""dx"":160,""dy"":157,""t"":5035},{""x"":1609,""y"":450,""dx"":158,""dy"":169,""t"":5070},{""x"":1609,""y"":408,""dx"":158,""dy"":127,""t"":5104},{""x"":1607,""y"":414,""dx"":156,""dy"":133,""t"":5138},{""x"":1602,""y"":403,""dx"":151,""dy"":122,""t"":5172},{""x"":1586,""y"":382,""dx"":135,""dy"":101,""t"":5206},{""x"":1591,""y"":369,""dx"":140,""dy"":88,""t"":5240},{""x"":1585,""y"":357,""dx"":134,""dy"":76,""t"":5274},{""x"":1585,""y"":368,""dx"":134,""dy"":87,""t"":5307},{""x"":1578,""y"":374,""dx"":127,""dy"":93,""t"":5342},{""x"":1590,""y"":392,""dx"":139,""dy"":111,""t"":5375},{""x"":1601,""y"":407,""dx"":150,""dy"":126,""t"":5408},{""x"":1606,""y"":414,""dx"":155,""dy"":133,""t"":5443},{""x"":1615,""y"":420,""dx"":164,""dy"":139,""t"":5478},{""x"":1623,""y"":415,""dx"":172,""dy"":134,""t"":5512},{""x"":1629,""y"":412,""dx"":178,""dy"":131,""t"":5546},{""x"":1625,""y"":418,""dx"":174,""dy"":137,""t"":5580},{""x"":1665,""y"":397,""dx"":214,""dy"":116,""t"":5614},{""x"":1679,""y"":395,""dx"":228,""dy"":114,""t"":5647},{""x"":1667,""y"":372,""dx"":216,""dy"":91,""t"":5681},{""x"":1665,""y"":400,""dx"":214,""dy"":119,""t"":5716},{""x"":1666,""y"":371,""dx"":215,""dy"":90,""t"":5750},{""x"":1665,""y"":350,""dx"":214,""dy"":69,""t"":5784},{""x"":1644,""y"":343,""dx"":193,""dy"":62,""t"":5849},{""x"":1640,""y"":334,""dx"":189,""dy"":53,""t"":5885},{""x"":1654,""y"":362,""dx"":203,""dy"":81,""t"":5920},{""x"":1662,""y"":365,""dx"":211,""dy"":84,""t"":5954},{""x"":1642,""y"":359,""dx"":191,""dy"":78,""t"":5988}],[{""x"":976,""y"":623,""dx"":5,""dy"":72,""t"":7005},{""x"":979,""y"":615,""dx"":8,""dy"":64,""t"":7041},{""x"":978,""y"":602,""dx"":7,""dy"":51,""t"":7076},{""x"":965,""y"":577,""dx"":-6,""dy"":26,""t"":7109},{""x"":952,""y"":565,""dx"":-19,""dy"":14,""t"":7144},{""x"":984,""y"":577,""dx"":13,""dy"":26,""t"":7178},{""x"":1002,""y"":575,""dx"":31,""dy"":24,""t"":7212},{""x"":992,""y"":584,""dx"":21,""dy"":33,""t"":7245},{""x"":971,""y"":571,""dx"":0,""dy"":20,""t"":7280},{""x"":988,""y"":584,""dx"":17,""dy"":33,""t"":7314},{""x"":1000,""y"":604,""dx"":29,""dy"":53,""t"":7348},{""x"":1007,""y"":617,""dx"":36,""dy"":66,""t"":7382},{""x"":984,""y"":604,""dx"":13,""dy"":53,""t"":7416},{""x"":984,""y"":599,""dx"":13,""dy"":48,""t"":7450},{""x"":987,""y"":615,""dx"":16,""dy"":64,""t"":7483},{""x"":1010,""y"":633,""dx"":39,""dy"":82,""t"":7517},{""x"":1017,""y"":643,""dx"":46,""dy"":92,""t"":7552},{""x"":1028,""y"":651,""dx"":57,""dy"":100,""t"":7586},{""x"":1013,""y"":622,""dx"":42,""dy"":71,""t"":7620},{""x"":993,""y"":605,""dx"":22,""dy"":54,""t"":7654},{""x"":996,""y"":617,""dx"":25,""dy"":66,""t"":7687},{""x"":1018,""y"":624,""dx"":47,""dy"":73,""t"":7722},{""x"":1044,""y"":644,""dx"":73,""dy"":93,""t"":7756},{""x"":1047,""y"":650,""dx"":76,""dy"":99,""t"":7789},{""x"":1042,""y"":612,""dx"":71,""dy"":61,""t"":7823},{""x"":1047,""y"":612,""dx"":76,""dy"":61,""t"":7857},{""x"":1031,""y"":594,""dx"":60,""dy"":43,""t"":7892},{""x"":1034,""y"":611,""dx"":63,""dy"":60,""t"":7925},{""x"":1041,""y"":619,""dx"":70,""dy"":68,""t"":7960},{""x"":1047,""y"":607,""dx"":76,""dy"":56,""t"":7993},{""x"":1013,""y"":580,""dx"":42,""dy"":29,""t"":8028},{""x"":1014,""y"":573,""dx"":43,""dy"":22,""t"":8062},{""x"":976,""y"":573,""dx"":5,""dy"":22,""t"":8096},{""x"":993,""y"":579,""dx"":22,""dy"":28,""t"":8129},{""x"":1001,""y"":569,""dx"":30,""dy"":18,""t"":8164},{""x"":1002,""y"":564,""dx"":31,""dy"":13,""t"":8198},{""x"":989,""y"":537,""dx"":18,""dy"":-14,""t"":8232},{""x"":984,""y"":531,""dx"":13,""dy"":-20,""t"":8266},{""x"":979,""y"":549,""dx"":8,""dy"":-2,""t"":8300},{""x"":997,""y"":540,""dx"":26,""dy"":-11,""t"":8333},{""x"":1018,""y"":575,""dx"":47,""dy"":24,""t"":8368},{""x"":1018,""y"":569,""dx"":47,""dy"":18,""t"":8402},{""x"":1017,""y"":588,""dx"":46,""dy"":37,""t"":8436},{""x"":1010,""y"":563,""dx"":39,""dy"":12,""t"":8469},{""x"":997,""y"":563,""dx"":26,""dy"":12,""t"":8503},{""x"":989,""y"":543,""dx"":18,""dy"":-8,""t"":8538},{""x"":980,""y"":540,""dx"":9,""dy"":-11,""t"":8569},{""x"":983,""y"":530,""dx"":12,""dy"":-21,""t"":8606},{""x"":993,""y"":556,""dx"":22,""dy"":5,""t"":8639},{""x"":990,""y"":533,""dx"":19,""dy"":-18,""t"":8674},{""x"":980,""y"":532,""dx"":9,""dy"":-19,""t"":8708},{""x"":960,""y"":531,""dx"":-11,""dy"":-20,""t"":8741},{""x"":954,""y"":507,""dx"":-17,""dy"":-44,""t"":8775},{""x"":956,""y"":531,""dx"":-15,""dy"":-20,""t"":8809},{""x"":978,""y"":541,""dx"":7,""dy"":-10,""t"":8843},{""x"":1004,""y"":556,""dx"":33,""dy"":5,""t"":8877},{""x"":1008,""y"":556,""dx"":37,""dy"":5,""t"":8912},{""x"":969,""y"":542,""dx"":-2,""dy"":-9,""t"":8945},{""x"":973,""y"":563,""dx"":2,""dy"":12,""t"":8980}],[{""x"":640,""y"":735,""dx"":149,""dy"":-86,""t"":10034},{""x"":625,""y"":744,""dx"":134,""dy"":-77,""t"":10067},{""x"":621,""y"":747,""dx"":130,""dy"":-74,""t"":10102},{""x"":613,""y"":767,""dx"":122,""dy"":-54,""t"":10135},{""x"":634,""y"":778,""dx"":143,""dy"":-43,""t"":10167},{""x"":646,""y"":766,""dx"":155,""dy"":-55,""t"":10204},{""x"":651,""y"":743,""dx"":160,""dy"":-78,""t"":10237},{""x"":638,""y"":756,""dx"":147,""dy"":-65,""t"":10273},{""x"":657,""y"":742,""dx"":166,""dy"":-79,""t"":10305},{""x"":674,""y"":761,""dx"":183,""dy"":-60,""t"":10340},{""x"":634,""y"":764,""dx"":143,""dy"":-57,""t"":10374},{""x"":604,""y"":782,""dx"":113,""dy"":-39,""t"":10408},{""x"":616,""y"":770,""dx"":125,""dy"":-51,""t"":10441},{""x"":624,""y"":766,""dx"":133,""dy"":-55,""t"":10475},{""x"":634,""y"":754,""dx"":143,""dy"":-67,""t"":10510},{""x"":669,""y"":771,""dx"":178,""dy"":-50,""t"":10543},{""x"":703,""y"":772,""dx"":212,""dy"":-49,""t"":10576},{""x"":700,""y"":761,""dx"":209,""dy"":-60,""t"":10612},{""x"":721,""y"":768,""dx"":230,""dy"":-53,""t"":10645},{""x"":720,""y"":760,""dx"":229,""dy"":-61,""t"":10679},{""x"":737,""y"":775,""dx"":246,""dy"":-46,""t"":10714},{""x"":737,""y"":783,""dx"":246,""dy"":-38,""t"":10748},{""x"":742,""y"":753,""dx"":251,""dy"":-68,""t"":10782},{""x"":731,""y"":745,""dx"":240,""dy"":-76,""t"":10816},{""x"":713,""y"":755,""dx"":222,""dy"":-66,""t"":10851},{""x"":696,""y"":752,""dx"":205,""dy"":-69,""t"":10884},{""x"":687,""y"":728,""dx"":196,""dy"":-93,""t"":10918},{""x"":699,""y"":736,""dx"":208,""dy"":-85,""t"":10952},{""x"":704,""y"":711,""dx"":213,""dy"":-110,""t"":10985},{""x"":728,""y"":737,""dx"":237,""dy"":-84,""t"":11019},{""x"":742,""y"":725,""dx"":251,""dy"":-96,""t"":11053},{""x"":756,""y"":730,""dx"":265,""dy"":-91,""t"":11088},{""x"":766,""y"":742,""dx"":275,""dy"":-79,""t"":11122},{""x"":759,""y"":750,""dx"":268,""dy"":-71,""t"":11156},{""x"":769,""y"":761,""dx"":278,""dy"":-60,""t"":11190},{""x"":771,""y"":743,""dx"":280,""dy"":-78,""t"":11224},{""x"":791,""y"":765,""dx"":300,""dy"":-56,""t"":11258},{""x"":785,""y"":762,""dx"":294,""dy"":-59,""t"":11291},{""x"":725,""y"":757,""dx"":234,""dy"":-64,""t"":11325},{""x"":728,""y"":756,""dx"":237,""dy"":-65,""t"":11359},{""x"":760,""y"":758,""dx"":269,""dy"":-63,""t"":11394},{""x"":715,""y"":745,""dx"":224,""dy"":-76,""t"":11427},{""x"":674,""y"":761,""dx"":183,""dy"":-60,""t"":11462},{""x"":671,""y"":765,""dx"":180,""dy"":-56,""t"":11496},{""x"":690,""y"":764,""dx"":199,""dy"":-57,""t"":11530},{""x"":704,""y"":779,""dx"":213,""dy"":-42,""t"":11564},{""x"":710,""y"":760,""dx"":219,""dy"":-61,""t"":11598},{""x"":714,""y"":760,""dx"":223,""dy"":-61,""t"":11632},{""x"":723,""y"":754,""dx"":232,""dy"":-67,""t"":11666},{""x"":688,""y"":754,""dx"":197,""dy"":-67,""t"":11700},{""x"":704,""y"":754,""dx"":213,""dy"":-67,""t"":11732},{""x"":702,""y"":764,""dx"":211,""dy"":-57,""t"":11768},{""x"":716,""y"":763,""dx"":225,""dy"":-58,""t"":11802},{""x"":709,""y"":770,""dx"":218,""dy"":-51,""t"":11836},{""x"":651,""y"":764,""dx"":160,""dy"":-57,""t"":11869},{""x"":658,""y"":767,""dx"":167,""dy"":-54,""t"":11903},{""x"":676,""y"":763,""dx"":185,""dy"":-58,""t"":11938},{""x"":674,""y"":768,""dx"":183,""dy"":-53,""t"":11972},{""x"":674,""y"":757,""dx"":183,""dy"":-64,""t"":12005}],[{""x"":1414,""y"":640,""dx"":-37,""dy"":-181,""t"":13026},{""x"":1398,""y"":664,""dx"":-53,""dy"":-157,""t"":13060},{""x"":1353,""y"":647,""dx"":-98,""dy"":-174,""t"":13093},{""x"":1333,""y"":648,""dx"":-118,""dy"":-173,""t"":13128},{""x"":1303,""y"":640,""dx"":-148,""dy"":-181,""t"":13162},{""x"":1291,""y"":656,""dx"":-160,""dy"":-165,""t"":13196},{""x"":1258,""y"":648,""dx"":-193,""dy"":-173,""t"":13230},{""x"":1217,""y"":652,""dx"":-234,""dy"":-169,""t"":13264},{""x"":1254,""y"":666,""dx"":-197,""dy"":-155,""t"":13297},{""x"":1262,""y"":690,""dx"":-189,""dy"":-131,""t"":13332},{""x"":1266,""y"":687,""dx"":-185,""dy"":-134,""t"":13366},{""x"":1248,""y"":670,""dx"":-203,""dy"":-151,""t"":13400},{""x"":1228,""y"":665,""dx"":-223,""dy"":-156,""t"":13434},{""x"":1234,""y"":634,""dx"":-217,""dy"":-187,""t"":13468},{""x"":1223,""y"":633,""dx"":-228,""dy"":-188,""t"":13503},{""x"":1239,""y"":630,""dx"":-212,""dy"":-191,""t"":13537},{""x"":1236,""y"":643,""dx"":-215,""dy"":-178,""t"":13570},{""x"":1248,""y"":647,""dx"":-203,""dy"":-174,""t"":13603},{""x"":1257,""y"":637,""dx"":-194,""dy"":-184,""t"":13637},{""x"":1261,""y"":648,""dx"":-190,""dy"":-173,""t"":13672},{""x"":1244,""y"":627,""dx"":-207,""dy"":-194,""t"":13706},{""x"":1267,""y"":653,""dx"":-184,""dy"":-168,""t"":13738},{""x"":1267,""y"":669,""dx"":-184,""dy"":-152,""t"":13774},{""x"":1243,""y"":681,""dx"":-208,""dy"":-140,""t"":13808},{""x"":1271,""y"":694,""dx"":-180,""dy"":-127,""t"":13841},{""x"":1286,""y"":685,""dx"":-165,""dy"":-136,""t"":13875},{""x"":1303,""y"":696,""dx"":-148,""dy"":-125,""t"":13909},{""x"":1285,""y"":698,""dx"":-166,""dy"":-123,""t"":13943},{""x"":1309,""y"":688,""dx"":-142,""dy"":-133,""t"":13977},{""x"":1336,""y"":693,""dx"":-115,""dy"":-128,""t"":14012},{""x"":1341,""y"":665,""dx"":-110,""dy"":-156,""t"":14045},{""x"":1350,""y"":693,""dx"":-101,""dy"":-128,""t"":14080},{""x"":1345,""y"":674,""dx"":-106,""dy"":-147,""t"":14114},{""x"":1358,""y"":666,""dx"":-93,""dy"":-155,""t"":14148},{""x"":1368,""y"":658,""dx"":-83,""dy"":-163,""t"":14182},{""x"":1376,""y"":668,""dx"":-75,""dy"":-153,""t"":14215},{""x"":1355,""y"":672,""dx"":-96,""dy"":-149,""t"":14249},{""x"":1361,""y"":676,""dx"":-90,""dy"":-145,""t"":14284},{""x"":1355,""y"":665,""dx"":-96,""dy"":-156,""t"":14318},{""x"":1346,""y"":637,""dx"":-105,""dy"":-184,""t"":14352},{""x"":1347,""y"":642,""dx"":-104,""dy"":-179,""t"":14386},{""x"":1338,""y"":659,""dx"":-113,""dy"":-162,""t"":14419},{""x"":1330,""y"":659,""dx"":-121,""dy"":-162,""t"":14453},{""x"":1333,""y"":669,""dx"":-118,""dy"":-152,""t"":14488},{""x"":1333,""y"":690,""dx"":-118,""dy"":-131,""t"":14521},{""x"":1344,""y"":709,""dx"":-107,""dy"":-112,""t"":14555},{""x"":1343,""y"":734,""dx"":-108,""dy"":-87,""t"":14589},{""x"":1343,""y"":749,""dx"":-108,""dy"":-72,""t"":14623},{""x"":1346,""y"":752,""dx"":-105,""dy"":-69,""t"":14658},{""x"":1355,""y"":758,""dx"":-96,""dy"":-63,""t"":14691},{""x"":1365,""y"":772,""dx"":-86,""dy"":-49,""t"":14726},{""x"":1364,""y"":738,""dx"":-87,""dy"":-83,""t"":14760},{""x"":1334,""y"":766,""dx"":-117,""dy"":-55,""t"":14793},{""x"":1337,""y"":767,""dx"":-114,""dy"":-54,""t"":14828},{""x"":1345,""y"":770,""dx"":-106,""dy"":-51,""t"":14896},{""x"":1348,""y"":781,""dx"":-103,""dy"":-40,""t"":14929},{""x"":1327,""y"":730,""dx"":-124,""dy"":-91,""t"":14965},{""x"":1304,""y"":704,""dx"":-147,""dy"":-117,""t"":14998}]]","[0,34.48275862068966,100,38.983050847457626,53.44827586206896]","[{""x"":130.4915254237288,""y"":-306.06779661016947,""r"":38.63048006733404},{""x"":113.89655172413794,""y"":122.46551724137932,""r"":103.56541964346212},{""x"":27,""y"":29.847457627118644,""r"":37.08450562311863},{""x"":203.96610169491527,""y"":-64.33898305084746,""r"":38.38472671577236},{""x"":-140.22413793103448,""y"":-139.06896551724137,""r"":83.34631760519089}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.20","validate","","","","","","","","","","",""
