"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","16983","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","16990","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","21179","0.0-2.0-0.0","","","","","4187","{""name"":""张小雨"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","22643","0.0-2.0-1.0","","","","","1462","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","23242","0.0-3.0","","","","","598"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","29602","0.0-4.0","","","","","","","","","1547","","","","","","","","","","","","","","","","",""
"","html-button-response","6","30627","0.0-5.0-0.0","","","","","1022","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","41951","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","42715","0.0-5.0-2.0","","","","","763","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","60363","0.0-5.0-3.0","","","","","","","","","","[[{""x"":464,""y"":262,""dx"":-27,""dy"":-19,""t"":990},{""x"":465,""y"":277,""dx"":-26,""dy"":-4,""t"":1024},{""x"":481,""y"":288,""dx"":-10,""dy"":7,""t"":1057},{""x"":491,""y"":262,""dx"":0,""dy"":-19,""t"":1091},{""x"":482,""y"":290,""dx"":-9,""dy"":9,""t"":1126},{""x"":472,""y"":296,""dx"":-19,""dy"":15,""t"":1159},{""x"":501,""y"":346,""dx"":10,""dy"":65,""t"":1194},{""x"":478,""y"":351,""dx"":-13,""dy"":70,""t"":1228},{""x"":476,""y"":340,""dx"":-15,""dy"":59,""t"":1262},{""x"":452,""y"":334,""dx"":-39,""dy"":53,""t"":1293},{""x"":462,""y"":384,""dx"":-29,""dy"":103,""t"":1329},{""x"":459,""y"":362,""dx"":-32,""dy"":81,""t"":1363},{""x"":430,""y"":346,""dx"":-61,""dy"":65,""t"":1397},{""x"":411,""y"":355,""dx"":-80,""dy"":74,""t"":1432},{""x"":420,""y"":358,""dx"":-71,""dy"":77,""t"":1465},{""x"":405,""y"":356,""dx"":-86,""dy"":75,""t"":1500},{""x"":404,""y"":355,""dx"":-87,""dy"":74,""t"":1534},{""x"":412,""y"":357,""dx"":-79,""dy"":76,""t"":1567},{""x"":399,""y"":357,""dx"":-92,""dy"":76,""t"":1602},{""x"":407,""y"":336,""dx"":-84,""dy"":55,""t"":1636},{""x"":420,""y"":339,""dx"":-71,""dy"":58,""t"":1670},{""x"":421,""y"":330,""dx"":-70,""dy"":49,""t"":1703},{""x"":424,""y"":320,""dx"":-67,""dy"":39,""t"":1738},{""x"":431,""y"":345,""dx"":-60,""dy"":64,""t"":1773},{""x"":424,""y"":357,""dx"":-67,""dy"":76,""t"":1806},{""x"":435,""y"":331,""dx"":-56,""dy"":50,""t"":1840},{""x"":449,""y"":357,""dx"":-42,""dy"":76,""t"":1874},{""x"":450,""y"":396,""dx"":-41,""dy"":115,""t"":1908},{""x"":434,""y"":395,""dx"":-57,""dy"":114,""t"":1941},{""x"":452,""y"":406,""dx"":-39,""dy"":125,""t"":1976},{""x"":433,""y"":397,""dx"":-58,""dy"":116,""t"":2010},{""x"":425,""y"":374,""dx"":-66,""dy"":93,""t"":2044},{""x"":435,""y"":354,""dx"":-56,""dy"":73,""t"":2078},{""x"":441,""y"":352,""dx"":-50,""dy"":71,""t"":2112},{""x"":442,""y"":344,""dx"":-49,""dy"":63,""t"":2146},{""x"":423,""y"":376,""dx"":-68,""dy"":95,""t"":2180},{""x"":420,""y"":400,""dx"":-71,""dy"":119,""t"":2214},{""x"":414,""y"":415,""dx"":-77,""dy"":134,""t"":2248},{""x"":417,""y"":450,""dx"":-74,""dy"":169,""t"":2282},{""x"":415,""y"":438,""dx"":-76,""dy"":157,""t"":2316},{""x"":432,""y"":424,""dx"":-59,""dy"":143,""t"":2349},{""x"":454,""y"":419,""dx"":-37,""dy"":138,""t"":2384},{""x"":472,""y"":434,""dx"":-19,""dy"":153,""t"":2418},{""x"":486,""y"":397,""dx"":-5,""dy"":116,""t"":2452},{""x"":497,""y"":383,""dx"":6,""dy"":102,""t"":2483},{""x"":481,""y"":392,""dx"":-10,""dy"":111,""t"":2519},{""x"":473,""y"":406,""dx"":-18,""dy"":125,""t"":2553},{""x"":494,""y"":379,""dx"":3,""dy"":98,""t"":2588},{""x"":518,""y"":381,""dx"":27,""dy"":100,""t"":2622},{""x"":522,""y"":398,""dx"":31,""dy"":117,""t"":2656},{""x"":516,""y"":380,""dx"":25,""dy"":99,""t"":2690},{""x"":514,""y"":406,""dx"":23,""dy"":125,""t"":2724},{""x"":500,""y"":412,""dx"":9,""dy"":131,""t"":2758},{""x"":529,""y"":428,""dx"":38,""dy"":147,""t"":2792},{""x"":672,""y"":411,""dx"":181,""dy"":130,""t"":2826},{""x"":883,""y"":359,""dx"":392,""dy"":78,""t"":2860},{""x"":1059,""y"":315,""dx"":568,""dy"":34,""t"":2892},{""x"":1215,""y"":316,""dx"":724,""dy"":35,""t"":2928},{""x"":1341,""y"":300,""dx"":850,""dy"":19,""t"":2962}],[{""x"":1412,""y"":359,""dx"":-39,""dy"":78,""t"":3982},{""x"":1403,""y"":371,""dx"":-48,""dy"":90,""t"":4016},{""x"":1407,""y"":382,""dx"":-44,""dy"":101,""t"":4050},{""x"":1401,""y"":404,""dx"":-50,""dy"":123,""t"":4085},{""x"":1402,""y"":417,""dx"":-49,""dy"":136,""t"":4118},{""x"":1396,""y"":414,""dx"":-55,""dy"":133,""t"":4152},{""x"":1392,""y"":419,""dx"":-59,""dy"":138,""t"":4186},{""x"":1403,""y"":407,""dx"":-48,""dy"":126,""t"":4220},{""x"":1421,""y"":417,""dx"":-30,""dy"":136,""t"":4254},{""x"":1426,""y"":394,""dx"":-25,""dy"":113,""t"":4288},{""x"":1427,""y"":379,""dx"":-24,""dy"":98,""t"":4321},{""x"":1429,""y"":366,""dx"":-22,""dy"":85,""t"":4356},{""x"":1435,""y"":383,""dx"":-16,""dy"":102,""t"":4389},{""x"":1429,""y"":385,""dx"":-22,""dy"":104,""t"":4423},{""x"":1423,""y"":386,""dx"":-28,""dy"":105,""t"":4455},{""x"":1410,""y"":384,""dx"":-41,""dy"":103,""t"":4491},{""x"":1403,""y"":392,""dx"":-48,""dy"":111,""t"":4525},{""x"":1401,""y"":392,""dx"":-50,""dy"":111,""t"":4559},{""x"":1406,""y"":411,""dx"":-45,""dy"":130,""t"":4593},{""x"":1411,""y"":422,""dx"":-40,""dy"":141,""t"":4628},{""x"":1413,""y"":430,""dx"":-38,""dy"":149,""t"":4662},{""x"":1429,""y"":437,""dx"":-22,""dy"":156,""t"":4696},{""x"":1441,""y"":443,""dx"":-10,""dy"":162,""t"":4730},{""x"":1441,""y"":422,""dx"":-10,""dy"":141,""t"":4763},{""x"":1429,""y"":415,""dx"":-22,""dy"":134,""t"":4798},{""x"":1442,""y"":408,""dx"":-9,""dy"":127,""t"":4832},{""x"":1453,""y"":398,""dx"":2,""dy"":117,""t"":4871},{""x"":1439,""y"":388,""dx"":-12,""dy"":107,""t"":4899},{""x"":1436,""y"":429,""dx"":-15,""dy"":148,""t"":4934},{""x"":1428,""y"":423,""dx"":-23,""dy"":142,""t"":4968},{""x"":1414,""y"":399,""dx"":-37,""dy"":118,""t"":5002},{""x"":1424,""y"":378,""dx"":-27,""dy"":97,""t"":5036},{""x"":1411,""y"":369,""dx"":-40,""dy"":88,""t"":5070},{""x"":1420,""y"":357,""dx"":-31,""dy"":76,""t"":5104},{""x"":1431,""y"":336,""dx"":-20,""dy"":55,""t"":5138},{""x"":1436,""y"":345,""dx"":-15,""dy"":64,""t"":5172},{""x"":1441,""y"":323,""dx"":-10,""dy"":42,""t"":5206},{""x"":1427,""y"":292,""dx"":-24,""dy"":11,""t"":5240},{""x"":1426,""y"":294,""dx"":-25,""dy"":13,""t"":5273},{""x"":1420,""y"":274,""dx"":-31,""dy"":-7,""t"":5308},{""x"":1430,""y"":251,""dx"":-21,""dy"":-30,""t"":5342},{""x"":1429,""y"":265,""dx"":-22,""dy"":-16,""t"":5376},{""x"":1438,""y"":267,""dx"":-13,""dy"":-14,""t"":5411},{""x"":1439,""y"":281,""dx"":-12,""dy"":0,""t"":5445},{""x"":1439,""y"":297,""dx"":-12,""dy"":16,""t"":5477},{""x"":1444,""y"":338,""dx"":-7,""dy"":57,""t"":5513},{""x"":1463,""y"":358,""dx"":12,""dy"":77,""t"":5545},{""x"":1453,""y"":359,""dx"":2,""dy"":78,""t"":5580},{""x"":1434,""y"":344,""dx"":-17,""dy"":63,""t"":5614},{""x"":1428,""y"":324,""dx"":-23,""dy"":43,""t"":5649},{""x"":1432,""y"":333,""dx"":-19,""dy"":52,""t"":5682},{""x"":1438,""y"":326,""dx"":-13,""dy"":45,""t"":5716},{""x"":1427,""y"":323,""dx"":-24,""dy"":42,""t"":5749},{""x"":1427,""y"":312,""dx"":-24,""dy"":31,""t"":5783},{""x"":1418,""y"":318,""dx"":-33,""dy"":37,""t"":5818},{""x"":1421,""y"":308,""dx"":-30,""dy"":27,""t"":5851},{""x"":1447,""y"":291,""dx"":-4,""dy"":10,""t"":5886},{""x"":1435,""y"":312,""dx"":-16,""dy"":31,""t"":5920},{""x"":1433,""y"":325,""dx"":-18,""dy"":44,""t"":5953},{""x"":1329,""y"":326,""dx"":-122,""dy"":45,""t"":5988}],[{""x"":972,""y"":431,""dx"":1,""dy"":-120,""t"":7008},{""x"":966,""y"":429,""dx"":-5,""dy"":-122,""t"":7042},{""x"":965,""y"":429,""dx"":-6,""dy"":-122,""t"":7076},{""x"":986,""y"":431,""dx"":15,""dy"":-120,""t"":7110},{""x"":974,""y"":441,""dx"":3,""dy"":-110,""t"":7144},{""x"":987,""y"":429,""dx"":16,""dy"":-122,""t"":7177},{""x"":984,""y"":431,""dx"":13,""dy"":-120,""t"":7211},{""x"":987,""y"":459,""dx"":16,""dy"":-92,""t"":7246},{""x"":988,""y"":459,""dx"":17,""dy"":-92,""t"":7280},{""x"":981,""y"":453,""dx"":10,""dy"":-98,""t"":7314},{""x"":1006,""y"":469,""dx"":35,""dy"":-82,""t"":7382},{""x"":1000,""y"":470,""dx"":29,""dy"":-81,""t"":7415},{""x"":994,""y"":470,""dx"":23,""dy"":-81,""t"":7450},{""x"":957,""y"":474,""dx"":-14,""dy"":-77,""t"":7484},{""x"":952,""y"":488,""dx"":-19,""dy"":-63,""t"":7518},{""x"":955,""y"":488,""dx"":-16,""dy"":-63,""t"":7552},{""x"":953,""y"":471,""dx"":-18,""dy"":-80,""t"":7585},{""x"":952,""y"":456,""dx"":-19,""dy"":-95,""t"":7618},{""x"":941,""y"":465,""dx"":-30,""dy"":-86,""t"":7654},{""x"":950,""y"":499,""dx"":-21,""dy"":-52,""t"":7688},{""x"":930,""y"":521,""dx"":-41,""dy"":-30,""t"":7721},{""x"":935,""y"":535,""dx"":-36,""dy"":-16,""t"":7756},{""x"":917,""y"":536,""dx"":-54,""dy"":-15,""t"":7791},{""x"":915,""y"":532,""dx"":-56,""dy"":-19,""t"":7824},{""x"":939,""y"":541,""dx"":-32,""dy"":-10,""t"":7858},{""x"":971,""y"":529,""dx"":0,""dy"":-22,""t"":7891},{""x"":984,""y"":523,""dx"":13,""dy"":-28,""t"":7926},{""x"":980,""y"":509,""dx"":9,""dy"":-42,""t"":7961},{""x"":975,""y"":493,""dx"":4,""dy"":-58,""t"":7994},{""x"":949,""y"":512,""dx"":-22,""dy"":-39,""t"":8025},{""x"":957,""y"":503,""dx"":-14,""dy"":-48,""t"":8062},{""x"":972,""y"":506,""dx"":1,""dy"":-45,""t"":8096},{""x"":965,""y"":492,""dx"":-6,""dy"":-59,""t"":8129},{""x"":955,""y"":472,""dx"":-16,""dy"":-79,""t"":8163},{""x"":938,""y"":469,""dx"":-33,""dy"":-82,""t"":8198},{""x"":936,""y"":464,""dx"":-35,""dy"":-87,""t"":8232},{""x"":938,""y"":445,""dx"":-33,""dy"":-106,""t"":8266},{""x"":944,""y"":431,""dx"":-27,""dy"":-120,""t"":8300},{""x"":925,""y"":426,""dx"":-46,""dy"":-125,""t"":8334},{""x"":933,""y"":413,""dx"":-38,""dy"":-138,""t"":8367},{""x"":912,""y"":422,""dx"":-59,""dy"":-129,""t"":8402},{""x"":918,""y"":412,""dx"":-53,""dy"":-139,""t"":8436},{""x"":925,""y"":418,""dx"":-46,""dy"":-133,""t"":8470},{""x"":937,""y"":420,""dx"":-34,""dy"":-131,""t"":8504},{""x"":959,""y"":421,""dx"":-12,""dy"":-130,""t"":8537},{""x"":957,""y"":417,""dx"":-14,""dy"":-134,""t"":8571},{""x"":951,""y"":440,""dx"":-20,""dy"":-111,""t"":8606},{""x"":959,""y"":452,""dx"":-12,""dy"":-99,""t"":8640},{""x"":972,""y"":479,""dx"":1,""dy"":-72,""t"":8674},{""x"":957,""y"":485,""dx"":-14,""dy"":-66,""t"":8708},{""x"":953,""y"":472,""dx"":-18,""dy"":-79,""t"":8741},{""x"":948,""y"":489,""dx"":-23,""dy"":-62,""t"":8776},{""x"":943,""y"":493,""dx"":-28,""dy"":-58,""t"":8810},{""x"":939,""y"":477,""dx"":-32,""dy"":-74,""t"":8844},{""x"":951,""y"":472,""dx"":-20,""dy"":-79,""t"":8878},{""x"":941,""y"":445,""dx"":-30,""dy"":-106,""t"":8912},{""x"":946,""y"":440,""dx"":-25,""dy"":-111,""t"":8946},{""x"":934,""y"":447,""dx"":-37,""dy"":-104,""t"":8980},{""x"":935,""y"":432,""dx"":-36,""dy"":-119,""t"":9014}],[{""x"":539,""y"":602,""dx"":48,""dy"":-219,""t"":10031},{""x"":573,""y"":589,""dx"":82,""dy"":-232,""t"":10068},{""x"":587,""y"":594,""dx"":96,""dy"":-227,""t"":10102},{""x"":587,""y"":599,""dx"":96,""dy"":-222,""t"":10136},{""x"":601,""y"":609,""dx"":110,""dy"":-212,""t"":10170},{""x"":604,""y"":601,""dx"":113,""dy"":-220,""t"":10205},{""x"":615,""y"":605,""dx"":124,""dy"":-216,""t"":10238},{""x"":601,""y"":604,""dx"":110,""dy"":-217,""t"":10272},{""x"":619,""y"":588,""dx"":128,""dy"":-233,""t"":10307},{""x"":618,""y"":578,""dx"":127,""dy"":-243,""t"":10340},{""x"":608,""y"":580,""dx"":117,""dy"":-241,""t"":10373},{""x"":582,""y"":606,""dx"":91,""dy"":-215,""t"":10408},{""x"":601,""y"":607,""dx"":110,""dy"":-214,""t"":10442},{""x"":619,""y"":600,""dx"":128,""dy"":-221,""t"":10476},{""x"":649,""y"":581,""dx"":158,""dy"":-240,""t"":10510},{""x"":642,""y"":614,""dx"":151,""dy"":-207,""t"":10545},{""x"":648,""y"":596,""dx"":157,""dy"":-225,""t"":10578},{""x"":642,""y"":586,""dx"":151,""dy"":-235,""t"":10612},{""x"":630,""y"":623,""dx"":139,""dy"":-198,""t"":10647},{""x"":633,""y"":610,""dx"":142,""dy"":-211,""t"":10680},{""x"":630,""y"":596,""dx"":139,""dy"":-225,""t"":10714},{""x"":639,""y"":576,""dx"":148,""dy"":-245,""t"":10747},{""x"":656,""y"":558,""dx"":165,""dy"":-263,""t"":10783},{""x"":649,""y"":560,""dx"":158,""dy"":-261,""t"":10816},{""x"":632,""y"":548,""dx"":141,""dy"":-273,""t"":10850},{""x"":614,""y"":532,""dx"":123,""dy"":-289,""t"":10883},{""x"":602,""y"":519,""dx"":111,""dy"":-302,""t"":10918},{""x"":579,""y"":553,""dx"":88,""dy"":-268,""t"":10952},{""x"":580,""y"":581,""dx"":89,""dy"":-240,""t"":10985},{""x"":574,""y"":586,""dx"":83,""dy"":-235,""t"":11019},{""x"":556,""y"":589,""dx"":65,""dy"":-232,""t"":11054},{""x"":548,""y"":585,""dx"":57,""dy"":-236,""t"":11088},{""x"":566,""y"":592,""dx"":75,""dy"":-229,""t"":11121},{""x"":562,""y"":595,""dx"":71,""dy"":-226,""t"":11156},{""x"":559,""y"":597,""dx"":68,""dy"":-224,""t"":11188},{""x"":572,""y"":593,""dx"":81,""dy"":-228,""t"":11224},{""x"":569,""y"":599,""dx"":78,""dy"":-222,""t"":11258},{""x"":572,""y"":598,""dx"":81,""dy"":-223,""t"":11291},{""x"":596,""y"":607,""dx"":105,""dy"":-214,""t"":11326},{""x"":599,""y"":608,""dx"":108,""dy"":-213,""t"":11360},{""x"":606,""y"":615,""dx"":115,""dy"":-206,""t"":11393},{""x"":618,""y"":629,""dx"":127,""dy"":-192,""t"":11428},{""x"":626,""y"":638,""dx"":135,""dy"":-183,""t"":11461},{""x"":610,""y"":636,""dx"":119,""dy"":-185,""t"":11496},{""x"":613,""y"":630,""dx"":122,""dy"":-191,""t"":11530},{""x"":605,""y"":634,""dx"":114,""dy"":-187,""t"":11564},{""x"":598,""y"":638,""dx"":107,""dy"":-183,""t"":11596},{""x"":599,""y"":639,""dx"":108,""dy"":-182,""t"":11631},{""x"":600,""y"":641,""dx"":109,""dy"":-180,""t"":11666},{""x"":602,""y"":654,""dx"":111,""dy"":-167,""t"":11700},{""x"":618,""y"":654,""dx"":127,""dy"":-167,""t"":11734},{""x"":614,""y"":646,""dx"":123,""dy"":-175,""t"":11768},{""x"":609,""y"":656,""dx"":118,""dy"":-165,""t"":11802},{""x"":606,""y"":652,""dx"":115,""dy"":-169,""t"":11835},{""x"":610,""y"":629,""dx"":119,""dy"":-192,""t"":11870},{""x"":720,""y"":603,""dx"":229,""dy"":-218,""t"":11904},{""x"":866,""y"":591,""dx"":375,""dy"":-230,""t"":11938},{""x"":988,""y"":592,""dx"":497,""dy"":-229,""t"":11973},{""x"":1110,""y"":587,""dx"":619,""dy"":-234,""t"":12005}],[{""x"":1363,""y"":626,""dx"":-88,""dy"":-195,""t"":13025},{""x"":1340,""y"":636,""dx"":-111,""dy"":-185,""t"":13060},{""x"":1325,""y"":638,""dx"":-126,""dy"":-183,""t"":13094},{""x"":1329,""y"":620,""dx"":-122,""dy"":-201,""t"":13128},{""x"":1318,""y"":630,""dx"":-133,""dy"":-191,""t"":13161},{""x"":1309,""y"":639,""dx"":-142,""dy"":-182,""t"":13194},{""x"":1317,""y"":627,""dx"":-134,""dy"":-194,""t"":13229},{""x"":1314,""y"":609,""dx"":-137,""dy"":-212,""t"":13265},{""x"":1299,""y"":613,""dx"":-152,""dy"":-208,""t"":13297},{""x"":1286,""y"":614,""dx"":-165,""dy"":-207,""t"":13332},{""x"":1281,""y"":609,""dx"":-170,""dy"":-212,""t"":13365},{""x"":1283,""y"":623,""dx"":-168,""dy"":-198,""t"":13400},{""x"":1291,""y"":618,""dx"":-160,""dy"":-203,""t"":13434},{""x"":1273,""y"":607,""dx"":-178,""dy"":-214,""t"":13468},{""x"":1278,""y"":600,""dx"":-173,""dy"":-221,""t"":13502},{""x"":1269,""y"":593,""dx"":-182,""dy"":-228,""t"":13536},{""x"":1274,""y"":598,""dx"":-177,""dy"":-223,""t"":13570},{""x"":1262,""y"":591,""dx"":-189,""dy"":-230,""t"":13603},{""x"":1284,""y"":569,""dx"":-167,""dy"":-252,""t"":13639},{""x"":1277,""y"":559,""dx"":-174,""dy"":-262,""t"":13673},{""x"":1310,""y"":564,""dx"":-141,""dy"":-257,""t"":13706},{""x"":1311,""y"":553,""dx"":-140,""dy"":-268,""t"":13740},{""x"":1320,""y"":551,""dx"":-131,""dy"":-270,""t"":13773},{""x"":1328,""y"":554,""dx"":-123,""dy"":-267,""t"":13807},{""x"":1336,""y"":556,""dx"":-115,""dy"":-265,""t"":13841},{""x"":1340,""y"":568,""dx"":-111,""dy"":-253,""t"":13876},{""x"":1338,""y"":560,""dx"":-113,""dy"":-261,""t"":13911},{""x"":1328,""y"":573,""dx"":-123,""dy"":-248,""t"":13943},{""x"":1305,""y"":572,""dx"":-146,""dy"":-249,""t"":13978},{""x"":1297,""y"":576,""dx"":-154,""dy"":-245,""t"":14012},{""x"":1297,""y"":582,""dx"":-154,""dy"":-239,""t"":14047},{""x"":1271,""y"":562,""dx"":-180,""dy"":-259,""t"":14080},{""x"":1255,""y"":565,""dx"":-196,""dy"":-256,""t"":14114},{""x"":1238,""y"":564,""dx"":-213,""dy"":-257,""t"":14147},{""x"":1229,""y"":569,""dx"":-222,""dy"":-252,""t"":14182},{""x"":1229,""y"":553,""dx"":-222,""dy"":-268,""t"":14216},{""x"":1220,""y"":558,""dx"":-231,""dy"":-263,""t"":14250},{""x"":1209,""y"":565,""dx"":-242,""dy"":-256,""t"":14283},{""x"":1211,""y"":558,""dx"":-240,""dy"":-263,""t"":14318},{""x"":1208,""y"":569,""dx"":-243,""dy"":-252,""t"":14353},{""x"":1202,""y"":567,""dx"":-249,""dy"":-254,""t"":14386},{""x"":1205,""y"":581,""dx"":-246,""dy"":-240,""t"":14419},{""x"":1204,""y"":580,""dx"":-247,""dy"":-241,""t"":14455},{""x"":1208,""y"":591,""dx"":-243,""dy"":-230,""t"":14489},{""x"":1206,""y"":609,""dx"":-245,""dy"":-212,""t"":14522},{""x"":1214,""y"":604,""dx"":-237,""dy"":-217,""t"":14555},{""x"":1225,""y"":605,""dx"":-226,""dy"":-216,""t"":14590},{""x"":1226,""y"":603,""dx"":-225,""dy"":-218,""t"":14624},{""x"":1222,""y"":608,""dx"":-229,""dy"":-213,""t"":14657},{""x"":1226,""y"":604,""dx"":-225,""dy"":-217,""t"":14691},{""x"":1218,""y"":606,""dx"":-233,""dy"":-215,""t"":14726},{""x"":1211,""y"":607,""dx"":-240,""dy"":-214,""t"":14758},{""x"":1216,""y"":608,""dx"":-235,""dy"":-213,""t"":14794},{""x"":1214,""y"":611,""dx"":-237,""dy"":-210,""t"":14828},{""x"":1207,""y"":595,""dx"":-244,""dy"":-226,""t"":14862},{""x"":1216,""y"":601,""dx"":-235,""dy"":-220,""t"":14896},{""x"":1213,""y"":599,""dx"":-238,""dy"":-222,""t"":14930},{""x"":1212,""y"":594,""dx"":-239,""dy"":-227,""t"":14964},{""x"":1214,""y"":590,""dx"":-237,""dy"":-231,""t"":14998},{""x"":1208,""y"":596,""dx"":-243,""dy"":-225,""t"":15031}]]","[91.52542372881356,100,100,0,0]","[{""x"":11.271186440677965,""y"":82.1864406779661,""r"":75.94192583034867},{""x"":-26.966666666666665,""y"":80.7,""r"":67.3349758270279},{""x"":-16,""y"":-84.44067796610169,""r"":36.495520418664114},{""x"":133.91525423728814,""y"":-219.16949152542372,""r"":45.0850643546791},{""x"":-187.35,""y"":-230.16666666666666,""r"":77.23966349183898}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.30","validate","","","","","","","","","","",""
