"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1929","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1934","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3857","0.0-2.0-0.0","","","","","1921","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5337","0.0-2.0-1.0","","","","","1479","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","5945","0.0-3.0","","","","","606"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17141","0.0-4.0","","","","","","","","","740","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17793","0.0-5.0-0.0","","","","","651","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","27712","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","28457","0.0-5.0-2.0","","","","","745","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45481","0.0-5.0-3.0","","","","","","","","","","[[{""x"":446,""y"":498,""dx"":-45,""dy"":217,""t"":990},{""x"":459,""y"":496,""dx"":-32,""dy"":215,""t"":1023},{""x"":477,""y"":511,""dx"":-14,""dy"":230,""t"":1055},{""x"":482,""y"":508,""dx"":-9,""dy"":227,""t"":1092},{""x"":474,""y"":486,""dx"":-17,""dy"":205,""t"":1126},{""x"":472,""y"":479,""dx"":-19,""dy"":198,""t"":1159},{""x"":470,""y"":447,""dx"":-21,""dy"":166,""t"":1194},{""x"":466,""y"":452,""dx"":-25,""dy"":171,""t"":1228},{""x"":466,""y"":440,""dx"":-25,""dy"":159,""t"":1262},{""x"":478,""y"":458,""dx"":-13,""dy"":177,""t"":1296},{""x"":480,""y"":457,""dx"":-11,""dy"":176,""t"":1330},{""x"":477,""y"":422,""dx"":-14,""dy"":141,""t"":1365},{""x"":473,""y"":423,""dx"":-18,""dy"":142,""t"":1398},{""x"":475,""y"":423,""dx"":-16,""dy"":142,""t"":1433},{""x"":463,""y"":439,""dx"":-28,""dy"":158,""t"":1466},{""x"":466,""y"":436,""dx"":-25,""dy"":155,""t"":1500},{""x"":469,""y"":430,""dx"":-22,""dy"":149,""t"":1533},{""x"":473,""y"":430,""dx"":-18,""dy"":149,""t"":1568},{""x"":481,""y"":427,""dx"":-10,""dy"":146,""t"":1602},{""x"":481,""y"":416,""dx"":-10,""dy"":135,""t"":1636},{""x"":489,""y"":430,""dx"":-2,""dy"":149,""t"":1670},{""x"":494,""y"":463,""dx"":3,""dy"":182,""t"":1704},{""x"":498,""y"":479,""dx"":7,""dy"":198,""t"":1737},{""x"":510,""y"":486,""dx"":19,""dy"":205,""t"":1773},{""x"":514,""y"":489,""dx"":23,""dy"":208,""t"":1806},{""x"":520,""y"":486,""dx"":29,""dy"":205,""t"":1840},{""x"":513,""y"":509,""dx"":22,""dy"":228,""t"":1873},{""x"":521,""y"":508,""dx"":30,""dy"":227,""t"":1908},{""x"":520,""y"":503,""dx"":29,""dy"":222,""t"":1941},{""x"":521,""y"":515,""dx"":30,""dy"":234,""t"":1976},{""x"":514,""y"":525,""dx"":23,""dy"":244,""t"":2010},{""x"":509,""y"":523,""dx"":18,""dy"":242,""t"":2043},{""x"":514,""y"":519,""dx"":23,""dy"":238,""t"":2078},{""x"":519,""y"":514,""dx"":28,""dy"":233,""t"":2111},{""x"":518,""y"":533,""dx"":27,""dy"":252,""t"":2145},{""x"":518,""y"":495,""dx"":27,""dy"":214,""t"":2180},{""x"":538,""y"":515,""dx"":47,""dy"":234,""t"":2214},{""x"":544,""y"":505,""dx"":53,""dy"":224,""t"":2249},{""x"":544,""y"":515,""dx"":53,""dy"":234,""t"":2282},{""x"":532,""y"":512,""dx"":41,""dy"":231,""t"":2316},{""x"":520,""y"":493,""dx"":29,""dy"":212,""t"":2350},{""x"":569,""y"":485,""dx"":78,""dy"":204,""t"":2385},{""x"":565,""y"":478,""dx"":74,""dy"":197,""t"":2418},{""x"":555,""y"":448,""dx"":64,""dy"":167,""t"":2451},{""x"":542,""y"":456,""dx"":51,""dy"":175,""t"":2487},{""x"":546,""y"":463,""dx"":55,""dy"":182,""t"":2519},{""x"":547,""y"":464,""dx"":56,""dy"":183,""t"":2554},{""x"":543,""y"":487,""dx"":52,""dy"":206,""t"":2588},{""x"":539,""y"":507,""dx"":48,""dy"":226,""t"":2620},{""x"":549,""y"":500,""dx"":58,""dy"":219,""t"":2655},{""x"":547,""y"":478,""dx"":56,""dy"":197,""t"":2690},{""x"":536,""y"":451,""dx"":45,""dy"":170,""t"":2723},{""x"":534,""y"":478,""dx"":43,""dy"":197,""t"":2758},{""x"":537,""y"":517,""dx"":46,""dy"":236,""t"":2792},{""x"":537,""y"":483,""dx"":46,""dy"":202,""t"":2826},{""x"":547,""y"":516,""dx"":56,""dy"":235,""t"":2860},{""x"":539,""y"":522,""dx"":48,""dy"":241,""t"":2894},{""x"":523,""y"":509,""dx"":32,""dy"":228,""t"":2928},{""x"":523,""y"":486,""dx"":32,""dy"":205,""t"":2962},{""x"":544,""y"":493,""dx"":53,""dy"":212,""t"":2996}],[{""x"":1422,""y"":340,""dx"":-29,""dy"":59,""t"":4016},{""x"":1424,""y"":355,""dx"":-27,""dy"":74,""t"":4050},{""x"":1403,""y"":359,""dx"":-48,""dy"":78,""t"":4084},{""x"":1397,""y"":350,""dx"":-54,""dy"":69,""t"":4119},{""x"":1399,""y"":325,""dx"":-52,""dy"":44,""t"":4152},{""x"":1404,""y"":358,""dx"":-47,""dy"":77,""t"":4187},{""x"":1407,""y"":386,""dx"":-44,""dy"":105,""t"":4217},{""x"":1402,""y"":373,""dx"":-49,""dy"":92,""t"":4254},{""x"":1398,""y"":361,""dx"":-53,""dy"":80,""t"":4288},{""x"":1388,""y"":389,""dx"":-63,""dy"":108,""t"":4321},{""x"":1374,""y"":402,""dx"":-77,""dy"":121,""t"":4356},{""x"":1361,""y"":397,""dx"":-90,""dy"":116,""t"":4390},{""x"":1346,""y"":419,""dx"":-105,""dy"":138,""t"":4424},{""x"":1339,""y"":426,""dx"":-112,""dy"":145,""t"":4458},{""x"":1341,""y"":420,""dx"":-110,""dy"":139,""t"":4492},{""x"":1359,""y"":402,""dx"":-92,""dy"":121,""t"":4525},{""x"":1330,""y"":414,""dx"":-121,""dy"":133,""t"":4560},{""x"":1327,""y"":389,""dx"":-124,""dy"":108,""t"":4594},{""x"":1323,""y"":383,""dx"":-128,""dy"":102,""t"":4627},{""x"":1330,""y"":411,""dx"":-121,""dy"":130,""t"":4662},{""x"":1333,""y"":403,""dx"":-118,""dy"":122,""t"":4696},{""x"":1337,""y"":414,""dx"":-114,""dy"":133,""t"":4730},{""x"":1349,""y"":413,""dx"":-102,""dy"":132,""t"":4764},{""x"":1364,""y"":431,""dx"":-87,""dy"":150,""t"":4799},{""x"":1268,""y"":428,""dx"":-183,""dy"":147,""t"":4833},{""x"":1278,""y"":450,""dx"":-173,""dy"":169,""t"":4866},{""x"":1280,""y"":469,""dx"":-171,""dy"":188,""t"":4900},{""x"":1286,""y"":444,""dx"":-165,""dy"":163,""t"":4934},{""x"":1314,""y"":443,""dx"":-137,""dy"":162,""t"":4969},{""x"":1234,""y"":426,""dx"":-217,""dy"":145,""t"":5002},{""x"":1259,""y"":437,""dx"":-192,""dy"":156,""t"":5036},{""x"":1279,""y"":457,""dx"":-172,""dy"":176,""t"":5069},{""x"":1187,""y"":410,""dx"":-264,""dy"":129,""t"":5104},{""x"":1143,""y"":407,""dx"":-308,""dy"":126,""t"":5138},{""x"":1208,""y"":433,""dx"":-243,""dy"":152,""t"":5172},{""x"":1274,""y"":458,""dx"":-177,""dy"":177,""t"":5206},{""x"":1342,""y"":459,""dx"":-109,""dy"":178,""t"":5239},{""x"":1386,""y"":482,""dx"":-65,""dy"":201,""t"":5273},{""x"":1435,""y"":489,""dx"":-16,""dy"":208,""t"":5308},{""x"":1457,""y"":489,""dx"":6,""dy"":208,""t"":5343},{""x"":1473,""y"":456,""dx"":22,""dy"":175,""t"":5376},{""x"":1483,""y"":440,""dx"":32,""dy"":159,""t"":5409},{""x"":1408,""y"":396,""dx"":-43,""dy"":115,""t"":5444},{""x"":1407,""y"":411,""dx"":-44,""dy"":130,""t"":5478},{""x"":1356,""y"":385,""dx"":-95,""dy"":104,""t"":5512},{""x"":1386,""y"":369,""dx"":-65,""dy"":88,""t"":5545},{""x"":1393,""y"":378,""dx"":-58,""dy"":97,""t"":5579},{""x"":1307,""y"":387,""dx"":-144,""dy"":106,""t"":5614},{""x"":1332,""y"":398,""dx"":-119,""dy"":117,""t"":5648},{""x"":1356,""y"":387,""dx"":-95,""dy"":106,""t"":5682},{""x"":1292,""y"":391,""dx"":-159,""dy"":110,""t"":5716},{""x"":1352,""y"":419,""dx"":-99,""dy"":138,""t"":5751},{""x"":1388,""y"":430,""dx"":-63,""dy"":149,""t"":5783},{""x"":1393,""y"":419,""dx"":-58,""dy"":138,""t"":5818},{""x"":1343,""y"":406,""dx"":-108,""dy"":125,""t"":5851},{""x"":1301,""y"":375,""dx"":-150,""dy"":94,""t"":5886},{""x"":1274,""y"":373,""dx"":-177,""dy"":92,""t"":5920},{""x"":1235,""y"":370,""dx"":-216,""dy"":89,""t"":5954},{""x"":1212,""y"":357,""dx"":-239,""dy"":76,""t"":5988}],[{""x"":953,""y"":851,""dx"":-18,""dy"":300,""t"":7008},{""x"":960,""y"":813,""dx"":-11,""dy"":262,""t"":7041},{""x"":959,""y"":720,""dx"":-12,""dy"":169,""t"":7076},{""x"":975,""y"":662,""dx"":4,""dy"":111,""t"":7109},{""x"":977,""y"":597,""dx"":6,""dy"":46,""t"":7143},{""x"":975,""y"":558,""dx"":4,""dy"":7,""t"":7178},{""x"":985,""y"":523,""dx"":14,""dy"":-28,""t"":7212},{""x"":977,""y"":498,""dx"":6,""dy"":-53,""t"":7246},{""x"":953,""y"":484,""dx"":-18,""dy"":-67,""t"":7280},{""x"":936,""y"":489,""dx"":-35,""dy"":-62,""t"":7315},{""x"":925,""y"":489,""dx"":-46,""dy"":-62,""t"":7348},{""x"":940,""y"":479,""dx"":-31,""dy"":-72,""t"":7382},{""x"":938,""y"":489,""dx"":-33,""dy"":-62,""t"":7416},{""x"":930,""y"":506,""dx"":-41,""dy"":-45,""t"":7450},{""x"":937,""y"":541,""dx"":-34,""dy"":-10,""t"":7484},{""x"":898,""y"":564,""dx"":-73,""dy"":13,""t"":7518},{""x"":893,""y"":577,""dx"":-78,""dy"":26,""t"":7552},{""x"":885,""y"":590,""dx"":-86,""dy"":39,""t"":7587},{""x"":862,""y"":582,""dx"":-109,""dy"":31,""t"":7620},{""x"":908,""y"":579,""dx"":-63,""dy"":28,""t"":7654},{""x"":927,""y"":575,""dx"":-44,""dy"":24,""t"":7688},{""x"":916,""y"":569,""dx"":-55,""dy"":18,""t"":7722},{""x"":932,""y"":569,""dx"":-39,""dy"":18,""t"":7755},{""x"":942,""y"":571,""dx"":-29,""dy"":20,""t"":7789},{""x"":957,""y"":587,""dx"":-14,""dy"":36,""t"":7823},{""x"":955,""y"":571,""dx"":-16,""dy"":20,""t"":7858},{""x"":972,""y"":566,""dx"":1,""dy"":15,""t"":7892},{""x"":995,""y"":524,""dx"":24,""dy"":-27,""t"":7925},{""x"":988,""y"":552,""dx"":17,""dy"":1,""t"":7959},{""x"":980,""y"":559,""dx"":9,""dy"":8,""t"":7993},{""x"":973,""y"":574,""dx"":2,""dy"":23,""t"":8028},{""x"":973,""y"":589,""dx"":2,""dy"":38,""t"":8062},{""x"":962,""y"":570,""dx"":-9,""dy"":19,""t"":8097},{""x"":943,""y"":566,""dx"":-28,""dy"":15,""t"":8129},{""x"":948,""y"":574,""dx"":-23,""dy"":23,""t"":8165},{""x"":953,""y"":581,""dx"":-18,""dy"":30,""t"":8195},{""x"":937,""y"":571,""dx"":-34,""dy"":20,""t"":8232},{""x"":943,""y"":587,""dx"":-28,""dy"":36,""t"":8266},{""x"":945,""y"":593,""dx"":-26,""dy"":42,""t"":8300},{""x"":933,""y"":613,""dx"":-38,""dy"":62,""t"":8334},{""x"":946,""y"":590,""dx"":-25,""dy"":39,""t"":8369},{""x"":954,""y"":607,""dx"":-17,""dy"":56,""t"":8402},{""x"":971,""y"":606,""dx"":0,""dy"":55,""t"":8436},{""x"":996,""y"":629,""dx"":25,""dy"":78,""t"":8470},{""x"":989,""y"":652,""dx"":18,""dy"":101,""t"":8504},{""x"":1008,""y"":617,""dx"":37,""dy"":66,""t"":8538},{""x"":1029,""y"":613,""dx"":58,""dy"":62,""t"":8572},{""x"":1046,""y"":590,""dx"":75,""dy"":39,""t"":8606},{""x"":1045,""y"":570,""dx"":74,""dy"":19,""t"":8641},{""x"":1081,""y"":556,""dx"":110,""dy"":5,""t"":8675},{""x"":1051,""y"":566,""dx"":80,""dy"":15,""t"":8707},{""x"":1042,""y"":583,""dx"":71,""dy"":32,""t"":8742},{""x"":1036,""y"":606,""dx"":65,""dy"":55,""t"":8778},{""x"":1047,""y"":619,""dx"":76,""dy"":68,""t"":8810},{""x"":1012,""y"":595,""dx"":41,""dy"":44,""t"":8844},{""x"":1009,""y"":611,""dx"":38,""dy"":60,""t"":8877},{""x"":1014,""y"":625,""dx"":43,""dy"":74,""t"":8912},{""x"":1017,""y"":616,""dx"":46,""dy"":65,""t"":8946},{""x"":1038,""y"":597,""dx"":67,""dy"":46,""t"":8979}],[{""x"":610,""y"":859,""dx"":119,""dy"":38,""t"":10034},{""x"":623,""y"":862,""dx"":132,""dy"":41,""t"":10068},{""x"":630,""y"":833,""dx"":139,""dy"":12,""t"":10102},{""x"":612,""y"":829,""dx"":121,""dy"":8,""t"":10136},{""x"":633,""y"":798,""dx"":142,""dy"":-23,""t"":10171},{""x"":630,""y"":809,""dx"":139,""dy"":-12,""t"":10205},{""x"":623,""y"":805,""dx"":132,""dy"":-16,""t"":10238},{""x"":643,""y"":792,""dx"":152,""dy"":-29,""t"":10272},{""x"":632,""y"":804,""dx"":141,""dy"":-17,""t"":10306},{""x"":622,""y"":814,""dx"":131,""dy"":-7,""t"":10341},{""x"":636,""y"":807,""dx"":145,""dy"":-14,""t"":10374},{""x"":630,""y"":798,""dx"":139,""dy"":-23,""t"":10409},{""x"":617,""y"":800,""dx"":126,""dy"":-21,""t"":10442},{""x"":630,""y"":785,""dx"":139,""dy"":-36,""t"":10476},{""x"":656,""y"":785,""dx"":165,""dy"":-36,""t"":10509},{""x"":650,""y"":776,""dx"":159,""dy"":-45,""t"":10544},{""x"":655,""y"":790,""dx"":164,""dy"":-31,""t"":10578},{""x"":649,""y"":787,""dx"":158,""dy"":-34,""t"":10612},{""x"":676,""y"":805,""dx"":185,""dy"":-16,""t"":10646},{""x"":672,""y"":809,""dx"":181,""dy"":-12,""t"":10680},{""x"":671,""y"":825,""dx"":180,""dy"":4,""t"":10714},{""x"":662,""y"":804,""dx"":171,""dy"":-17,""t"":10749},{""x"":674,""y"":804,""dx"":183,""dy"":-17,""t"":10781},{""x"":686,""y"":822,""dx"":195,""dy"":1,""t"":10816},{""x"":667,""y"":798,""dx"":176,""dy"":-23,""t"":10850},{""x"":652,""y"":769,""dx"":161,""dy"":-52,""t"":10884},{""x"":635,""y"":767,""dx"":144,""dy"":-54,""t"":10918},{""x"":647,""y"":768,""dx"":156,""dy"":-53,""t"":10953},{""x"":660,""y"":772,""dx"":169,""dy"":-49,""t"":10986},{""x"":660,""y"":766,""dx"":169,""dy"":-55,""t"":11020},{""x"":671,""y"":801,""dx"":180,""dy"":-20,""t"":11053},{""x"":661,""y"":804,""dx"":170,""dy"":-17,""t"":11089},{""x"":655,""y"":826,""dx"":164,""dy"":5,""t"":11122},{""x"":650,""y"":832,""dx"":159,""dy"":11,""t"":11155},{""x"":666,""y"":844,""dx"":175,""dy"":23,""t"":11191},{""x"":689,""y"":839,""dx"":198,""dy"":18,""t"":11224},{""x"":699,""y"":842,""dx"":208,""dy"":21,""t"":11258},{""x"":710,""y"":830,""dx"":219,""dy"":9,""t"":11292},{""x"":696,""y"":843,""dx"":205,""dy"":22,""t"":11326},{""x"":681,""y"":832,""dx"":190,""dy"":11,""t"":11358},{""x"":665,""y"":817,""dx"":174,""dy"":-4,""t"":11394},{""x"":711,""y"":837,""dx"":220,""dy"":16,""t"":11428},{""x"":737,""y"":845,""dx"":246,""dy"":24,""t"":11461},{""x"":762,""y"":874,""dx"":271,""dy"":53,""t"":11495},{""x"":788,""y"":877,""dx"":297,""dy"":56,""t"":11530},{""x"":812,""y"":882,""dx"":321,""dy"":61,""t"":11564},{""x"":815,""y"":880,""dx"":324,""dy"":59,""t"":11597},{""x"":825,""y"":904,""dx"":334,""dy"":83,""t"":11632},{""x"":837,""y"":948,""dx"":346,""dy"":127,""t"":11666},{""x"":842,""y"":953,""dx"":351,""dy"":132,""t"":11701},{""x"":816,""y"":941,""dx"":325,""dy"":120,""t"":11734},{""x"":788,""y"":939,""dx"":297,""dy"":118,""t"":11766},{""x"":765,""y"":920,""dx"":274,""dy"":99,""t"":11802},{""x"":753,""y"":887,""dx"":262,""dy"":66,""t"":11836},{""x"":734,""y"":866,""dx"":243,""dy"":45,""t"":11870},{""x"":765,""y"":864,""dx"":274,""dy"":43,""t"":11903},{""x"":751,""y"":868,""dx"":260,""dy"":47,""t"":11939},{""x"":740,""y"":857,""dx"":249,""dy"":36,""t"":11972},{""x"":751,""y"":884,""dx"":260,""dy"":63,""t"":12006}],[{""x"":1111,""y"":1040,""dx"":-340,""dy"":219,""t"":13060},{""x"":1159,""y"":1004,""dx"":-292,""dy"":183,""t"":13094},{""x"":1199,""y"":933,""dx"":-252,""dy"":112,""t"":13128},{""x"":1218,""y"":884,""dx"":-233,""dy"":63,""t"":13162},{""x"":1233,""y"":804,""dx"":-218,""dy"":-17,""t"":13196},{""x"":1248,""y"":769,""dx"":-203,""dy"":-52,""t"":13229},{""x"":1242,""y"":738,""dx"":-209,""dy"":-83,""t"":13264},{""x"":1264,""y"":698,""dx"":-187,""dy"":-123,""t"":13298},{""x"":1273,""y"":658,""dx"":-178,""dy"":-163,""t"":13329},{""x"":1299,""y"":648,""dx"":-152,""dy"":-173,""t"":13366},{""x"":1304,""y"":632,""dx"":-147,""dy"":-189,""t"":13399},{""x"":1311,""y"":625,""dx"":-140,""dy"":-196,""t"":13434},{""x"":1319,""y"":640,""dx"":-132,""dy"":-181,""t"":13468},{""x"":1331,""y"":625,""dx"":-120,""dy"":-196,""t"":13502},{""x"":1342,""y"":627,""dx"":-109,""dy"":-194,""t"":13536},{""x"":1335,""y"":628,""dx"":-116,""dy"":-193,""t"":13570},{""x"":1325,""y"":630,""dx"":-126,""dy"":-191,""t"":13605},{""x"":1319,""y"":637,""dx"":-132,""dy"":-184,""t"":13637},{""x"":1311,""y"":640,""dx"":-140,""dy"":-181,""t"":13671},{""x"":1316,""y"":639,""dx"":-135,""dy"":-182,""t"":13705},{""x"":1315,""y"":646,""dx"":-136,""dy"":-175,""t"":13740},{""x"":1303,""y"":658,""dx"":-148,""dy"":-163,""t"":13774},{""x"":1317,""y"":675,""dx"":-134,""dy"":-146,""t"":13807},{""x"":1309,""y"":691,""dx"":-142,""dy"":-130,""t"":13842},{""x"":1291,""y"":682,""dx"":-160,""dy"":-139,""t"":13876},{""x"":1298,""y"":685,""dx"":-153,""dy"":-136,""t"":13910},{""x"":1296,""y"":702,""dx"":-155,""dy"":-119,""t"":13944},{""x"":1269,""y"":703,""dx"":-182,""dy"":-118,""t"":13978},{""x"":1246,""y"":668,""dx"":-205,""dy"":-153,""t"":14012},{""x"":1226,""y"":675,""dx"":-225,""dy"":-146,""t"":14046},{""x"":1212,""y"":673,""dx"":-239,""dy"":-148,""t"":14081},{""x"":1205,""y"":653,""dx"":-246,""dy"":-168,""t"":14114},{""x"":1197,""y"":631,""dx"":-254,""dy"":-190,""t"":14148},{""x"":1198,""y"":654,""dx"":-253,""dy"":-167,""t"":14181},{""x"":1200,""y"":665,""dx"":-251,""dy"":-156,""t"":14216},{""x"":1211,""y"":690,""dx"":-240,""dy"":-131,""t"":14250},{""x"":1222,""y"":687,""dx"":-229,""dy"":-134,""t"":14284},{""x"":1212,""y"":677,""dx"":-239,""dy"":-144,""t"":14317},{""x"":1222,""y"":670,""dx"":-229,""dy"":-151,""t"":14352},{""x"":1220,""y"":692,""dx"":-231,""dy"":-129,""t"":14386},{""x"":1226,""y"":659,""dx"":-225,""dy"":-162,""t"":14420},{""x"":1204,""y"":670,""dx"":-247,""dy"":-151,""t"":14454},{""x"":1218,""y"":671,""dx"":-233,""dy"":-150,""t"":14488},{""x"":1207,""y"":707,""dx"":-244,""dy"":-114,""t"":14522},{""x"":1207,""y"":706,""dx"":-244,""dy"":-115,""t"":14555},{""x"":1213,""y"":720,""dx"":-238,""dy"":-101,""t"":14590},{""x"":1222,""y"":720,""dx"":-229,""dy"":-101,""t"":14624},{""x"":1227,""y"":713,""dx"":-224,""dy"":-108,""t"":14658},{""x"":1220,""y"":707,""dx"":-231,""dy"":-114,""t"":14692},{""x"":1233,""y"":717,""dx"":-218,""dy"":-104,""t"":14726},{""x"":1237,""y"":706,""dx"":-214,""dy"":-115,""t"":14760},{""x"":1238,""y"":705,""dx"":-213,""dy"":-116,""t"":14794},{""x"":1217,""y"":672,""dx"":-234,""dy"":-149,""t"":14828},{""x"":1224,""y"":676,""dx"":-227,""dy"":-145,""t"":14862},{""x"":1229,""y"":678,""dx"":-222,""dy"":-143,""t"":14893},{""x"":1238,""y"":690,""dx"":-213,""dy"":-131,""t"":14930},{""x"":1250,""y"":706,""dx"":-201,""dy"":-115,""t"":14964},{""x"":1264,""y"":745,""dx"":-187,""dy"":-76,""t"":14997},{""x"":1278,""y"":741,""dx"":-173,""dy"":-80,""t"":15032}]]","[38.333333333333336,69.49152542372882,96.61016949152543,64.40677966101694,6.779661016949152]","[{""x"":19.333333333333332,""y"":199.26666666666668,""r"":59.951950359073805},{""x"":-109,""y"":126.59322033898304,""r"":65.0892168308908},{""x"":-2,""y"":33.74576271186441,""r"":57.27850686307286},{""x"":200.15254237288136,""y"":12.525423728813559,""r"":66.11182886247748},{""x"":-200.4915254237288,""y"":-121.2542372881356,""r"":47.41916722467327}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
