"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1612","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1617","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3765","0.0-2.0-0.0","","","","","2147","{""name"":""张昊"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","5198","0.0-2.0-1.0","","","","","1432","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","6625","0.0-3.0","","","","","1425"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","21893","0.0-4.0","","","","","","","","","4842","","","","","","","","","","","","","","","","",""
"","html-button-response","6","22936","0.0-5.0-0.0","","","","","1040","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","32244","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","32825","0.0-5.0-2.0","","","","","581","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49780","0.0-5.0-3.0","","","","","","","","","","[[{""x"":532,""y"":344,""dx"":94.16665649414062,""dy"":93,""t"":988},{""x"":537,""y"":335,""dx"":99.16665649414062,""dy"":84,""t"":1024},{""x"":535,""y"":333,""dx"":97.16665649414062,""dy"":82,""t"":1057},{""x"":520,""y"":359,""dx"":82.16665649414062,""dy"":108,""t"":1092},{""x"":533,""y"":342,""dx"":95.16665649414062,""dy"":91,""t"":1127},{""x"":520,""y"":343,""dx"":82.16665649414062,""dy"":92,""t"":1158},{""x"":523,""y"":374,""dx"":85.16665649414062,""dy"":123,""t"":1193},{""x"":570,""y"":359,""dx"":132.16665649414062,""dy"":108,""t"":1230},{""x"":555,""y"":359,""dx"":117.16665649414062,""dy"":108,""t"":1261},{""x"":557,""y"":362,""dx"":119.16665649414062,""dy"":111,""t"":1298},{""x"":558,""y"":357,""dx"":120.16665649414062,""dy"":106,""t"":1327},{""x"":578,""y"":383,""dx"":140.16665649414062,""dy"":132,""t"":1364},{""x"":582,""y"":417,""dx"":144.16665649414062,""dy"":166,""t"":1401},{""x"":583,""y"":426,""dx"":145.16665649414062,""dy"":175,""t"":1429},{""x"":591,""y"":424,""dx"":153.16665649414062,""dy"":173,""t"":1465},{""x"":597,""y"":420,""dx"":159.16665649414062,""dy"":169,""t"":1498},{""x"":612,""y"":414,""dx"":174.16665649414062,""dy"":163,""t"":1533},{""x"":632,""y"":408,""dx"":194.16665649414062,""dy"":157,""t"":1569},{""x"":625,""y"":421,""dx"":187.16665649414062,""dy"":170,""t"":1601},{""x"":592,""y"":394,""dx"":154.16665649414062,""dy"":143,""t"":1636},{""x"":587,""y"":380,""dx"":149.16665649414062,""dy"":129,""t"":1668},{""x"":564,""y"":360,""dx"":126.16665649414062,""dy"":109,""t"":1704},{""x"":569,""y"":382,""dx"":131.16665649414062,""dy"":131,""t"":1736},{""x"":585,""y"":371,""dx"":147.16665649414062,""dy"":120,""t"":1770},{""x"":560,""y"":366,""dx"":122.16665649414062,""dy"":115,""t"":1807},{""x"":555,""y"":365,""dx"":117.16665649414062,""dy"":114,""t"":1841},{""x"":551,""y"":357,""dx"":113.16665649414062,""dy"":106,""t"":1873},{""x"":550,""y"":343,""dx"":112.16665649414062,""dy"":92,""t"":1910},{""x"":567,""y"":338,""dx"":129.16665649414062,""dy"":87,""t"":1939},{""x"":578,""y"":348,""dx"":140.16665649414062,""dy"":97,""t"":1976},{""x"":616,""y"":345,""dx"":178.16665649414062,""dy"":94,""t"":2009},{""x"":648,""y"":343,""dx"":210.16665649414062,""dy"":92,""t"":2042},{""x"":643,""y"":351,""dx"":205.16665649414062,""dy"":100,""t"":2079},{""x"":637,""y"":371,""dx"":199.16665649414062,""dy"":120,""t"":2109},{""x"":646,""y"":360,""dx"":208.16665649414062,""dy"":109,""t"":2146},{""x"":660,""y"":363,""dx"":222.16665649414062,""dy"":112,""t"":2199},{""x"":670,""y"":366,""dx"":232.16665649414062,""dy"":115,""t"":2211},{""x"":636,""y"":355,""dx"":198.16665649414062,""dy"":104,""t"":2248},{""x"":635,""y"":352,""dx"":197.16665649414062,""dy"":101,""t"":2278},{""x"":619,""y"":348,""dx"":181.16665649414062,""dy"":97,""t"":2316},{""x"":593,""y"":353,""dx"":155.16665649414062,""dy"":102,""t"":2351},{""x"":570,""y"":348,""dx"":132.16665649414062,""dy"":97,""t"":2382},{""x"":614,""y"":335,""dx"":176.16665649414062,""dy"":84,""t"":2417},{""x"":587,""y"":334,""dx"":149.16665649414062,""dy"":83,""t"":2454},{""x"":606,""y"":326,""dx"":168.16665649414062,""dy"":75,""t"":2484},{""x"":598,""y"":329,""dx"":160.16665649414062,""dy"":78,""t"":2521},{""x"":532,""y"":362,""dx"":94.16665649414062,""dy"":111,""t"":2552},{""x"":548,""y"":358,""dx"":110.16665649414062,""dy"":107,""t"":2588},{""x"":603,""y"":339,""dx"":165.16665649414062,""dy"":88,""t"":2624},{""x"":573,""y"":358,""dx"":135.16665649414062,""dy"":107,""t"":2654},{""x"":583,""y"":373,""dx"":145.16665649414062,""dy"":122,""t"":2688},{""x"":559,""y"":405,""dx"":121.16665649414062,""dy"":154,""t"":2721},{""x"":572,""y"":404,""dx"":134.16665649414062,""dy"":153,""t"":2758},{""x"":552,""y"":396,""dx"":114.16665649414062,""dy"":145,""t"":2793},{""x"":534,""y"":426,""dx"":96.16665649414062,""dy"":175,""t"":2824},{""x"":558,""y"":405,""dx"":120.16665649414062,""dy"":154,""t"":2861},{""x"":561,""y"":386,""dx"":123.16665649414062,""dy"":135,""t"":2897},{""x"":577,""y"":356,""dx"":139.16665649414062,""dy"":105,""t"":2927},{""x"":537,""y"":352,""dx"":99.16665649414062,""dy"":101,""t"":2962}],[{""x"":1224,""y"":220,""dx"":-67.5,""dy"":-31,""t"":3982},{""x"":1189,""y"":241,""dx"":-102.5,""dy"":-10,""t"":4016},{""x"":1170,""y"":249,""dx"":-121.5,""dy"":-2,""t"":4048},{""x"":1145,""y"":247,""dx"":-146.5,""dy"":-4,""t"":4085},{""x"":1124,""y"":231,""dx"":-167.5,""dy"":-20,""t"":4115},{""x"":1140,""y"":258,""dx"":-151.5,""dy"":7,""t"":4151},{""x"":1181,""y"":292,""dx"":-110.5,""dy"":41,""t"":4185},{""x"":1189,""y"":281,""dx"":-102.5,""dy"":30,""t"":4218},{""x"":1172,""y"":285,""dx"":-119.5,""dy"":34,""t"":4254},{""x"":1165,""y"":271,""dx"":-126.5,""dy"":20,""t"":4289},{""x"":1174,""y"":284,""dx"":-117.5,""dy"":33,""t"":4326},{""x"":1176,""y"":266,""dx"":-115.5,""dy"":15,""t"":4357},{""x"":1179,""y"":235,""dx"":-112.5,""dy"":-16,""t"":4388},{""x"":1162,""y"":223,""dx"":-129.5,""dy"":-28,""t"":4424},{""x"":1169,""y"":198,""dx"":-122.5,""dy"":-53,""t"":4457},{""x"":1172,""y"":187,""dx"":-119.5,""dy"":-64,""t"":4491},{""x"":1186,""y"":194,""dx"":-105.5,""dy"":-57,""t"":4527},{""x"":1188,""y"":195,""dx"":-103.5,""dy"":-56,""t"":4557},{""x"":1162,""y"":200,""dx"":-129.5,""dy"":-51,""t"":4593},{""x"":1172,""y"":209,""dx"":-119.5,""dy"":-42,""t"":4630},{""x"":1165,""y"":223,""dx"":-126.5,""dy"":-28,""t"":4660},{""x"":1199,""y"":256,""dx"":-92.5,""dy"":5,""t"":4697},{""x"":1189,""y"":253,""dx"":-102.5,""dy"":2,""t"":4727},{""x"":1232,""y"":265,""dx"":-59.5,""dy"":14,""t"":4763},{""x"":1253,""y"":252,""dx"":-38.5,""dy"":1,""t"":4800},{""x"":1237,""y"":259,""dx"":-54.5,""dy"":8,""t"":4830},{""x"":1217,""y"":249,""dx"":-74.5,""dy"":-2,""t"":4864},{""x"":1211,""y"":248,""dx"":-80.5,""dy"":-3,""t"":4904},{""x"":1180,""y"":239,""dx"":-111.5,""dy"":-12,""t"":4933},{""x"":1180,""y"":244,""dx"":-111.5,""dy"":-7,""t"":4968},{""x"":1181,""y"":248,""dx"":-110.5,""dy"":-3,""t"":4999},{""x"":1193,""y"":227,""dx"":-98.5,""dy"":-24,""t"":5037},{""x"":1159,""y"":226,""dx"":-132.5,""dy"":-25,""t"":5072},{""x"":1167,""y"":224,""dx"":-124.5,""dy"":-27,""t"":5103},{""x"":1164,""y"":223,""dx"":-127.5,""dy"":-28,""t"":5138},{""x"":1183,""y"":242,""dx"":-108.5,""dy"":-9,""t"":5169},{""x"":1182,""y"":247,""dx"":-109.5,""dy"":-4,""t"":5206},{""x"":1177,""y"":275,""dx"":-114.5,""dy"":24,""t"":5242},{""x"":1172,""y"":264,""dx"":-119.5,""dy"":13,""t"":5272},{""x"":1162,""y"":283,""dx"":-129.5,""dy"":32,""t"":5309},{""x"":1177,""y"":290,""dx"":-114.5,""dy"":39,""t"":5340},{""x"":1160,""y"":294,""dx"":-131.5,""dy"":43,""t"":5375},{""x"":1162,""y"":311,""dx"":-129.5,""dy"":60,""t"":5409},{""x"":1164,""y"":325,""dx"":-127.5,""dy"":74,""t"":5441},{""x"":1174,""y"":328,""dx"":-117.5,""dy"":77,""t"":5479},{""x"":1178,""y"":347,""dx"":-113.5,""dy"":96,""t"":5513},{""x"":1165,""y"":354,""dx"":-126.5,""dy"":103,""t"":5545},{""x"":1177,""y"":366,""dx"":-114.5,""dy"":115,""t"":5582},{""x"":1148,""y"":365,""dx"":-143.5,""dy"":114,""t"":5612},{""x"":1157,""y"":372,""dx"":-134.5,""dy"":121,""t"":5648},{""x"":1123,""y"":357,""dx"":-168.5,""dy"":106,""t"":5681},{""x"":1136,""y"":370,""dx"":-155.5,""dy"":119,""t"":5715},{""x"":1118,""y"":360,""dx"":-173.5,""dy"":109,""t"":5751},{""x"":1129,""y"":368,""dx"":-162.5,""dy"":117,""t"":5782},{""x"":1112,""y"":351,""dx"":-179.5,""dy"":100,""t"":5817},{""x"":1150,""y"":350,""dx"":-141.5,""dy"":99,""t"":5854},{""x"":1185,""y"":362,""dx"":-106.5,""dy"":111,""t"":5885},{""x"":1199,""y"":354,""dx"":-92.5,""dy"":103,""t"":5920},{""x"":1184,""y"":376,""dx"":-107.5,""dy"":125,""t"":5951}],[{""x"":628,""y"":503,""dx"":-236.66668701171875,""dy"":12,""t"":7005},{""x"":626,""y"":472,""dx"":-238.66668701171875,""dy"":-19,""t"":7041},{""x"":629,""y"":464,""dx"":-235.66668701171875,""dy"":-27,""t"":7078},{""x"":628,""y"":466,""dx"":-236.66668701171875,""dy"":-25,""t"":7108},{""x"":673,""y"":459,""dx"":-191.66668701171875,""dy"":-32,""t"":7146},{""x"":647,""y"":448,""dx"":-217.66668701171875,""dy"":-43,""t"":7175},{""x"":652,""y"":488,""dx"":-212.66668701171875,""dy"":-3,""t"":7211},{""x"":629,""y"":488,""dx"":-235.66668701171875,""dy"":-3,""t"":7247},{""x"":632,""y"":511,""dx"":-232.66668701171875,""dy"":20,""t"":7279},{""x"":609,""y"":513,""dx"":-255.66668701171875,""dy"":22,""t"":7312},{""x"":612,""y"":511,""dx"":-252.66668701171875,""dy"":20,""t"":7351},{""x"":606,""y"":507,""dx"":-258.66668701171875,""dy"":16,""t"":7381},{""x"":597,""y"":514,""dx"":-267.66668701171875,""dy"":23,""t"":7416},{""x"":606,""y"":483,""dx"":-258.66668701171875,""dy"":-8,""t"":7448},{""x"":603,""y"":464,""dx"":-261.66668701171875,""dy"":-27,""t"":7485},{""x"":604,""y"":478,""dx"":-260.66668701171875,""dy"":-13,""t"":7520},{""x"":597,""y"":475,""dx"":-267.66668701171875,""dy"":-16,""t"":7551},{""x"":648,""y"":478,""dx"":-216.66668701171875,""dy"":-13,""t"":7585},{""x"":662,""y"":504,""dx"":-202.66668701171875,""dy"":13,""t"":7617},{""x"":650,""y"":517,""dx"":-214.66668701171875,""dy"":26,""t"":7654},{""x"":654,""y"":536,""dx"":-210.66668701171875,""dy"":45,""t"":7689},{""x"":648,""y"":503,""dx"":-216.66668701171875,""dy"":12,""t"":7720},{""x"":596,""y"":495,""dx"":-268.66668701171875,""dy"":4,""t"":7757},{""x"":662,""y"":498,""dx"":-202.66668701171875,""dy"":7,""t"":7788},{""x"":676,""y"":472,""dx"":-188.66668701171875,""dy"":-19,""t"":7823},{""x"":701,""y"":467,""dx"":-163.66668701171875,""dy"":-24,""t"":7858},{""x"":724,""y"":449,""dx"":-140.66668701171875,""dy"":-42,""t"":7891},{""x"":758,""y"":448,""dx"":-106.66668701171875,""dy"":-43,""t"":7926},{""x"":779,""y"":457,""dx"":-85.66668701171875,""dy"":-34,""t"":7961},{""x"":743,""y"":467,""dx"":-121.66668701171875,""dy"":-24,""t"":7991},{""x"":715,""y"":475,""dx"":-149.66668701171875,""dy"":-16,""t"":8030},{""x"":705,""y"":458,""dx"":-159.66668701171875,""dy"":-33,""t"":8060},{""x"":688,""y"":458,""dx"":-176.66668701171875,""dy"":-33,""t"":8096},{""x"":711,""y"":453,""dx"":-153.66668701171875,""dy"":-38,""t"":8129},{""x"":695,""y"":418,""dx"":-169.66668701171875,""dy"":-73,""t"":8163},{""x"":694,""y"":415,""dx"":-170.66668701171875,""dy"":-76,""t"":8199},{""x"":698,""y"":402,""dx"":-166.66668701171875,""dy"":-89,""t"":8230},{""x"":675,""y"":440,""dx"":-189.66668701171875,""dy"":-51,""t"":8266},{""x"":627,""y"":449,""dx"":-237.66668701171875,""dy"":-42,""t"":8302},{""x"":621,""y"":446,""dx"":-243.66668701171875,""dy"":-45,""t"":8333},{""x"":589,""y"":466,""dx"":-275.66668701171875,""dy"":-25,""t"":8368},{""x"":559,""y"":460,""dx"":-305.66668701171875,""dy"":-31,""t"":8399},{""x"":580,""y"":460,""dx"":-284.66668701171875,""dy"":-31,""t"":8435},{""x"":636,""y"":462,""dx"":-228.66668701171875,""dy"":-29,""t"":8473},{""x"":667,""y"":458,""dx"":-197.66668701171875,""dy"":-33,""t"":8502},{""x"":680,""y"":451,""dx"":-184.66668701171875,""dy"":-40,""t"":8537},{""x"":673,""y"":450,""dx"":-191.66668701171875,""dy"":-41,""t"":8575},{""x"":652,""y"":440,""dx"":-212.66668701171875,""dy"":-51,""t"":8605},{""x"":661,""y"":439,""dx"":-203.66668701171875,""dy"":-52,""t"":8641},{""x"":684,""y"":446,""dx"":-180.66668701171875,""dy"":-45,""t"":8672},{""x"":683,""y"":451,""dx"":-181.66668701171875,""dy"":-40,""t"":8709},{""x"":681,""y"":453,""dx"":-183.66668701171875,""dy"":-38,""t"":8744},{""x"":702,""y"":453,""dx"":-162.66668701171875,""dy"":-38,""t"":8775},{""x"":719,""y"":452,""dx"":-145.66668701171875,""dy"":-39,""t"":8809},{""x"":733,""y"":454,""dx"":-131.66668701171875,""dy"":-37,""t"":8841},{""x"":737,""y"":458,""dx"":-127.66668701171875,""dy"":-33,""t"":8878},{""x"":730,""y"":443,""dx"":-134.66668701171875,""dy"":-48,""t"":8913},{""x"":716,""y"":460,""dx"":-148.66668701171875,""dy"":-31,""t"":8944},{""x"":734,""y"":464,""dx"":-130.66668701171875,""dy"":-27,""t"":8981}],[{""x"":496,""y"":634,""dx"":58.166656494140625,""dy"":-97,""t"":9997},{""x"":473,""y"":644,""dx"":35.166656494140625,""dy"":-87,""t"":10034},{""x"":489,""y"":625,""dx"":51.166656494140625,""dy"":-106,""t"":10065},{""x"":502,""y"":610,""dx"":64.16665649414062,""dy"":-121,""t"":10101},{""x"":502,""y"":599,""dx"":64.16665649414062,""dy"":-132,""t"":10137},{""x"":469,""y"":605,""dx"":31.166656494140625,""dy"":-126,""t"":10169},{""x"":478,""y"":606,""dx"":40.166656494140625,""dy"":-125,""t"":10205},{""x"":446,""y"":599,""dx"":8.166656494140625,""dy"":-132,""t"":10235},{""x"":476,""y"":595,""dx"":38.166656494140625,""dy"":-136,""t"":10272},{""x"":427,""y"":615,""dx"":-10.833343505859375,""dy"":-116,""t"":10304},{""x"":413,""y"":638,""dx"":-24.833343505859375,""dy"":-93,""t"":10338},{""x"":441,""y"":636,""dx"":3.166656494140625,""dy"":-95,""t"":10375},{""x"":426,""y"":657,""dx"":-11.833343505859375,""dy"":-74,""t"":10405},{""x"":444,""y"":647,""dx"":6.166656494140625,""dy"":-84,""t"":10440},{""x"":412,""y"":667,""dx"":-25.833343505859375,""dy"":-64,""t"":10478},{""x"":397,""y"":662,""dx"":-40.833343505859375,""dy"":-69,""t"":10508},{""x"":428,""y"":650,""dx"":-9.833343505859375,""dy"":-81,""t"":10544},{""x"":425,""y"":650,""dx"":-12.833343505859375,""dy"":-81,""t"":10576},{""x"":449,""y"":653,""dx"":11.166656494140625,""dy"":-78,""t"":10611},{""x"":442,""y"":633,""dx"":4.166656494140625,""dy"":-98,""t"":10647},{""x"":452,""y"":622,""dx"":14.166656494140625,""dy"":-109,""t"":10679},{""x"":486,""y"":639,""dx"":48.166656494140625,""dy"":-92,""t"":10712},{""x"":452,""y"":652,""dx"":14.166656494140625,""dy"":-79,""t"":10750},{""x"":412,""y"":652,""dx"":-25.833343505859375,""dy"":-79,""t"":10781},{""x"":397,""y"":656,""dx"":-40.833343505859375,""dy"":-75,""t"":10817},{""x"":382,""y"":663,""dx"":-55.833343505859375,""dy"":-68,""t"":10847},{""x"":367,""y"":662,""dx"":-70.83334350585938,""dy"":-69,""t"":10885},{""x"":370,""y"":681,""dx"":-67.83334350585938,""dy"":-50,""t"":10920},{""x"":445,""y"":665,""dx"":7.166656494140625,""dy"":-66,""t"":10950},{""x"":490,""y"":652,""dx"":52.166656494140625,""dy"":-79,""t"":10985},{""x"":461,""y"":650,""dx"":23.166656494140625,""dy"":-81,""t"":11018},{""x"":426,""y"":643,""dx"":-11.833343505859375,""dy"":-88,""t"":11053},{""x"":468,""y"":627,""dx"":30.166656494140625,""dy"":-104,""t"":11088},{""x"":439,""y"":629,""dx"":1.166656494140625,""dy"":-102,""t"":11121},{""x"":452,""y"":614,""dx"":14.166656494140625,""dy"":-117,""t"":11156},{""x"":448,""y"":644,""dx"":10.166656494140625,""dy"":-87,""t"":11192},{""x"":435,""y"":651,""dx"":-2.833343505859375,""dy"":-80,""t"":11223},{""x"":500,""y"":637,""dx"":62.166656494140625,""dy"":-94,""t"":11258},{""x"":511,""y"":613,""dx"":73.16665649414062,""dy"":-118,""t"":11289},{""x"":509,""y"":622,""dx"":71.16665649414062,""dy"":-109,""t"":11326},{""x"":490,""y"":620,""dx"":52.166656494140625,""dy"":-111,""t"":11358},{""x"":425,""y"":644,""dx"":-12.833343505859375,""dy"":-87,""t"":11391},{""x"":451,""y"":639,""dx"":13.166656494140625,""dy"":-92,""t"":11429},{""x"":422,""y"":648,""dx"":-15.833343505859375,""dy"":-83,""t"":11460},{""x"":462,""y"":640,""dx"":24.166656494140625,""dy"":-91,""t"":11498},{""x"":445,""y"":647,""dx"":7.166656494140625,""dy"":-84,""t"":11526},{""x"":447,""y"":655,""dx"":9.166656494140625,""dy"":-76,""t"":11562},{""x"":452,""y"":677,""dx"":14.166656494140625,""dy"":-54,""t"":11599},{""x"":430,""y"":684,""dx"":-7.833343505859375,""dy"":-47,""t"":11630},{""x"":374,""y"":698,""dx"":-63.833343505859375,""dy"":-33,""t"":11664},{""x"":352,""y"":688,""dx"":-85.83334350585938,""dy"":-43,""t"":11702},{""x"":399,""y"":679,""dx"":-38.833343505859375,""dy"":-52,""t"":11733},{""x"":408,""y"":661,""dx"":-29.833343505859375,""dy"":-70,""t"":11768},{""x"":422,""y"":654,""dx"":-15.833343505859375,""dy"":-77,""t"":11798},{""x"":436,""y"":640,""dx"":-1.833343505859375,""dy"":-91,""t"":11835},{""x"":462,""y"":620,""dx"":24.166656494140625,""dy"":-111,""t"":11872},{""x"":449,""y"":611,""dx"":11.166656494140625,""dy"":-120,""t"":11902},{""x"":449,""y"":626,""dx"":11.166656494140625,""dy"":-105,""t"":11937},{""x"":463,""y"":651,""dx"":25.166656494140625,""dy"":-80,""t"":11975}],[{""x"":1268,""y"":596,""dx"":-23.5,""dy"":-135,""t"":12992},{""x"":1261,""y"":622,""dx"":-30.5,""dy"":-109,""t"":13025},{""x"":1253,""y"":637,""dx"":-38.5,""dy"":-94,""t"":13059},{""x"":1244,""y"":649,""dx"":-47.5,""dy"":-82,""t"":13091},{""x"":1247,""y"":654,""dx"":-44.5,""dy"":-77,""t"":13125},{""x"":1244,""y"":660,""dx"":-47.5,""dy"":-71,""t"":13161},{""x"":1227,""y"":657,""dx"":-64.5,""dy"":-74,""t"":13198},{""x"":1235,""y"":666,""dx"":-56.5,""dy"":-65,""t"":13229},{""x"":1188,""y"":659,""dx"":-103.5,""dy"":-72,""t"":13265},{""x"":1195,""y"":670,""dx"":-96.5,""dy"":-61,""t"":13295},{""x"":1204,""y"":668,""dx"":-87.5,""dy"":-63,""t"":13332},{""x"":1196,""y"":671,""dx"":-95.5,""dy"":-60,""t"":13369},{""x"":1198,""y"":680,""dx"":-93.5,""dy"":-51,""t"":13398},{""x"":1170,""y"":664,""dx"":-121.5,""dy"":-67,""t"":13432},{""x"":1101,""y"":644,""dx"":-190.5,""dy"":-87,""t"":13466},{""x"":1089,""y"":651,""dx"":-202.5,""dy"":-80,""t"":13501},{""x"":1059,""y"":654,""dx"":-232.5,""dy"":-77,""t"":13537},{""x"":1062,""y"":658,""dx"":-229.5,""dy"":-73,""t"":13569},{""x"":1012,""y"":661,""dx"":-279.5,""dy"":-70,""t"":13604},{""x"":1050,""y"":658,""dx"":-241.5,""dy"":-73,""t"":13641},{""x"":1052,""y"":658,""dx"":-239.5,""dy"":-73,""t"":13672},{""x"":1125,""y"":679,""dx"":-166.5,""dy"":-52,""t"":13705},{""x"":1094,""y"":669,""dx"":-197.5,""dy"":-62,""t"":13738},{""x"":1110,""y"":676,""dx"":-181.5,""dy"":-55,""t"":13775},{""x"":1028,""y"":650,""dx"":-263.5,""dy"":-81,""t"":13808},{""x"":1037,""y"":669,""dx"":-254.5,""dy"":-62,""t"":13840},{""x"":1080,""y"":666,""dx"":-211.5,""dy"":-65,""t"":13878},{""x"":1083,""y"":650,""dx"":-208.5,""dy"":-81,""t"":13907},{""x"":1086,""y"":655,""dx"":-205.5,""dy"":-76,""t"":13944},{""x"":1078,""y"":671,""dx"":-213.5,""dy"":-60,""t"":13977},{""x"":1064,""y"":672,""dx"":-227.5,""dy"":-59,""t"":14010},{""x"":1081,""y"":691,""dx"":-210.5,""dy"":-40,""t"":14047},{""x"":1126,""y"":706,""dx"":-165.5,""dy"":-25,""t"":14078},{""x"":1138,""y"":743,""dx"":-153.5,""dy"":12,""t"":14113},{""x"":1184,""y"":743,""dx"":-107.5,""dy"":12,""t"":14150},{""x"":1214,""y"":736,""dx"":-77.5,""dy"":5,""t"":14181},{""x"":1182,""y"":723,""dx"":-109.5,""dy"":-8,""t"":14217},{""x"":1153,""y"":711,""dx"":-138.5,""dy"":-20,""t"":14247},{""x"":1145,""y"":717,""dx"":-146.5,""dy"":-14,""t"":14283},{""x"":1108,""y"":706,""dx"":-183.5,""dy"":-25,""t"":14320},{""x"":1076,""y"":697,""dx"":-215.5,""dy"":-34,""t"":14350},{""x"":1120,""y"":691,""dx"":-171.5,""dy"":-40,""t"":14384},{""x"":1158,""y"":699,""dx"":-133.5,""dy"":-32,""t"":14419},{""x"":1185,""y"":706,""dx"":-106.5,""dy"":-25,""t"":14454},{""x"":1178,""y"":683,""dx"":-113.5,""dy"":-48,""t"":14489},{""x"":1134,""y"":661,""dx"":-157.5,""dy"":-70,""t"":14519},{""x"":1078,""y"":661,""dx"":-213.5,""dy"":-70,""t"":14556},{""x"":1124,""y"":667,""dx"":-167.5,""dy"":-64,""t"":14592},{""x"":1172,""y"":693,""dx"":-119.5,""dy"":-38,""t"":14622},{""x"":1171,""y"":696,""dx"":-120.5,""dy"":-35,""t"":14658},{""x"":1219,""y"":716,""dx"":-72.5,""dy"":-15,""t"":14689},{""x"":1249,""y"":725,""dx"":-42.5,""dy"":-6,""t"":14725},{""x"":1232,""y"":725,""dx"":-59.5,""dy"":-6,""t"":14761},{""x"":1286,""y"":720,""dx"":-5.5,""dy"":-11,""t"":14792},{""x"":1254,""y"":717,""dx"":-37.5,""dy"":-14,""t"":14828},{""x"":1169,""y"":712,""dx"":-122.5,""dy"":-19,""t"":14860},{""x"":1129,""y"":703,""dx"":-162.5,""dy"":-28,""t"":14895},{""x"":1104,""y"":693,""dx"":-187.5,""dy"":-38,""t"":14928},{""x"":1079,""y"":662,""dx"":-212.5,""dy"":-69,""t"":14963},{""x"":1110,""y"":661,""dx"":-181.5,""dy"":-70,""t"":14998}]]","[67.79661016949152,94.91525423728814,45.76271186440678,100,68.33333333333333]","[{""x"":142.9293683585474,""y"":116.50847457627118,""r"":42.926341379826404},{""x"":-117.94067796610169,""y"":25.491525423728813,""r"":52.89976320225217},{""x"":-201.54804294392213,""y"":-23.728813559322035,""r"":50.09857562363805},{""x"":5.8107242907507946,""y"":-88.94915254237289,""r"":30.910649560437978},{""x"":-143.2,""y"":-51.7,""r"":101.02609054943807}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.38","validate","","","","","","","","","","",""
