"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2592","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2598","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","8924","0.0-2.0-0.0","","","","","6323","{""name"":""蔡思琪"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11442","0.0-2.0-1.0","","","","","2516","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","11930","0.0-3.0","","","","","486"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16541","0.0-4.0","","","","","","","","","1478","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17506","0.0-5.0-0.0","","","","","963","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","29498","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","30753","0.0-5.0-2.0","","","","","1254","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","48316","0.0-5.0-3.0","","","","","","","","","","[[{""x"":460,""y"":317,""dx"":-31,""dy"":36,""t"":990},{""x"":469,""y"":319,""dx"":-22,""dy"":38,""t"":1024},{""x"":489,""y"":308,""dx"":-2,""dy"":27,""t"":1059},{""x"":485,""y"":307,""dx"":-6,""dy"":26,""t"":1092},{""x"":498,""y"":301,""dx"":7,""dy"":20,""t"":1127},{""x"":501,""y"":305,""dx"":10,""dy"":24,""t"":1160},{""x"":511,""y"":312,""dx"":20,""dy"":31,""t"":1194},{""x"":507,""y"":327,""dx"":16,""dy"":46,""t"":1228},{""x"":500,""y"":325,""dx"":9,""dy"":44,""t"":1263},{""x"":475,""y"":318,""dx"":-16,""dy"":37,""t"":1296},{""x"":463,""y"":328,""dx"":-28,""dy"":47,""t"":1330},{""x"":450,""y"":332,""dx"":-41,""dy"":51,""t"":1364},{""x"":451,""y"":338,""dx"":-40,""dy"":57,""t"":1398},{""x"":469,""y"":350,""dx"":-22,""dy"":69,""t"":1432},{""x"":469,""y"":360,""dx"":-22,""dy"":79,""t"":1466},{""x"":454,""y"":345,""dx"":-37,""dy"":64,""t"":1499},{""x"":445,""y"":330,""dx"":-46,""dy"":49,""t"":1534},{""x"":451,""y"":323,""dx"":-40,""dy"":42,""t"":1568},{""x"":466,""y"":316,""dx"":-25,""dy"":35,""t"":1602},{""x"":453,""y"":318,""dx"":-38,""dy"":37,""t"":1636},{""x"":459,""y"":321,""dx"":-32,""dy"":40,""t"":1670},{""x"":452,""y"":323,""dx"":-39,""dy"":42,""t"":1704},{""x"":455,""y"":331,""dx"":-36,""dy"":50,""t"":1738},{""x"":479,""y"":324,""dx"":-12,""dy"":43,""t"":1772},{""x"":470,""y"":317,""dx"":-21,""dy"":36,""t"":1806},{""x"":496,""y"":304,""dx"":5,""dy"":23,""t"":1841},{""x"":471,""y"":298,""dx"":-20,""dy"":17,""t"":1874},{""x"":459,""y"":289,""dx"":-32,""dy"":8,""t"":1908},{""x"":444,""y"":298,""dx"":-47,""dy"":17,""t"":1942},{""x"":448,""y"":311,""dx"":-43,""dy"":30,""t"":1976},{""x"":446,""y"":329,""dx"":-45,""dy"":48,""t"":2010},{""x"":455,""y"":343,""dx"":-36,""dy"":62,""t"":2044},{""x"":456,""y"":356,""dx"":-35,""dy"":75,""t"":2077},{""x"":458,""y"":363,""dx"":-33,""dy"":82,""t"":2112},{""x"":461,""y"":379,""dx"":-30,""dy"":98,""t"":2146},{""x"":456,""y"":368,""dx"":-35,""dy"":87,""t"":2180},{""x"":457,""y"":373,""dx"":-34,""dy"":92,""t"":2214},{""x"":458,""y"":356,""dx"":-33,""dy"":75,""t"":2248},{""x"":473,""y"":341,""dx"":-18,""dy"":60,""t"":2282},{""x"":471,""y"":330,""dx"":-20,""dy"":49,""t"":2317},{""x"":487,""y"":337,""dx"":-4,""dy"":56,""t"":2349},{""x"":488,""y"":358,""dx"":-3,""dy"":77,""t"":2384},{""x"":490,""y"":367,""dx"":-1,""dy"":86,""t"":2417},{""x"":480,""y"":353,""dx"":-11,""dy"":72,""t"":2453},{""x"":470,""y"":341,""dx"":-21,""dy"":60,""t"":2483},{""x"":478,""y"":335,""dx"":-13,""dy"":54,""t"":2520},{""x"":480,""y"":334,""dx"":-11,""dy"":53,""t"":2554},{""x"":483,""y"":348,""dx"":-8,""dy"":67,""t"":2588},{""x"":486,""y"":336,""dx"":-5,""dy"":55,""t"":2621},{""x"":502,""y"":357,""dx"":11,""dy"":76,""t"":2656},{""x"":513,""y"":377,""dx"":22,""dy"":96,""t"":2690},{""x"":511,""y"":366,""dx"":20,""dy"":85,""t"":2724},{""x"":539,""y"":371,""dx"":48,""dy"":90,""t"":2758},{""x"":534,""y"":351,""dx"":43,""dy"":70,""t"":2792},{""x"":531,""y"":339,""dx"":40,""dy"":58,""t"":2827},{""x"":522,""y"":340,""dx"":31,""dy"":59,""t"":2861},{""x"":517,""y"":332,""dx"":26,""dy"":51,""t"":2891},{""x"":542,""y"":346,""dx"":51,""dy"":65,""t"":2928},{""x"":544,""y"":379,""dx"":53,""dy"":98,""t"":2962}],[{""x"":1626,""y"":326,""dx"":175,""dy"":45,""t"":4016},{""x"":1607,""y"":329,""dx"":156,""dy"":48,""t"":4050},{""x"":1602,""y"":341,""dx"":151,""dy"":60,""t"":4082},{""x"":1592,""y"":338,""dx"":141,""dy"":57,""t"":4118},{""x"":1574,""y"":341,""dx"":123,""dy"":60,""t"":4151},{""x"":1556,""y"":344,""dx"":105,""dy"":63,""t"":4186},{""x"":1550,""y"":342,""dx"":99,""dy"":61,""t"":4219},{""x"":1547,""y"":347,""dx"":96,""dy"":66,""t"":4254},{""x"":1545,""y"":341,""dx"":94,""dy"":60,""t"":4288},{""x"":1558,""y"":340,""dx"":107,""dy"":59,""t"":4323},{""x"":1543,""y"":341,""dx"":92,""dy"":60,""t"":4356},{""x"":1536,""y"":339,""dx"":85,""dy"":58,""t"":4390},{""x"":1564,""y"":343,""dx"":113,""dy"":62,""t"":4424},{""x"":1555,""y"":338,""dx"":104,""dy"":57,""t"":4458},{""x"":1547,""y"":334,""dx"":96,""dy"":53,""t"":4489},{""x"":1560,""y"":337,""dx"":109,""dy"":56,""t"":4527},{""x"":1569,""y"":339,""dx"":118,""dy"":58,""t"":4559},{""x"":1563,""y"":327,""dx"":112,""dy"":46,""t"":4593},{""x"":1565,""y"":323,""dx"":114,""dy"":42,""t"":4651},{""x"":1550,""y"":324,""dx"":99,""dy"":43,""t"":4667},{""x"":1532,""y"":334,""dx"":81,""dy"":53,""t"":4696},{""x"":1534,""y"":332,""dx"":83,""dy"":51,""t"":4729},{""x"":1533,""y"":336,""dx"":82,""dy"":55,""t"":4764},{""x"":1535,""y"":336,""dx"":84,""dy"":55,""t"":4800},{""x"":1540,""y"":338,""dx"":89,""dy"":57,""t"":4832},{""x"":1540,""y"":335,""dx"":89,""dy"":54,""t"":4866},{""x"":1539,""y"":333,""dx"":88,""dy"":52,""t"":4900},{""x"":1542,""y"":334,""dx"":91,""dy"":53,""t"":4934},{""x"":1539,""y"":344,""dx"":88,""dy"":63,""t"":4969},{""x"":1535,""y"":340,""dx"":84,""dy"":59,""t"":5002},{""x"":1540,""y"":314,""dx"":89,""dy"":33,""t"":5036},{""x"":1544,""y"":321,""dx"":93,""dy"":40,""t"":5070},{""x"":1556,""y"":326,""dx"":105,""dy"":45,""t"":5104},{""x"":1563,""y"":320,""dx"":112,""dy"":39,""t"":5138},{""x"":1561,""y"":344,""dx"":110,""dy"":63,""t"":5172},{""x"":1548,""y"":343,""dx"":97,""dy"":62,""t"":5206},{""x"":1529,""y"":356,""dx"":78,""dy"":75,""t"":5240},{""x"":1519,""y"":357,""dx"":68,""dy"":76,""t"":5274},{""x"":1528,""y"":359,""dx"":77,""dy"":78,""t"":5308},{""x"":1530,""y"":359,""dx"":79,""dy"":78,""t"":5343},{""x"":1536,""y"":345,""dx"":85,""dy"":64,""t"":5375},{""x"":1546,""y"":340,""dx"":95,""dy"":59,""t"":5410},{""x"":1555,""y"":352,""dx"":104,""dy"":71,""t"":5444},{""x"":1557,""y"":351,""dx"":106,""dy"":70,""t"":5478},{""x"":1559,""y"":358,""dx"":108,""dy"":77,""t"":5511},{""x"":1556,""y"":354,""dx"":105,""dy"":73,""t"":5546},{""x"":1558,""y"":344,""dx"":107,""dy"":63,""t"":5580},{""x"":1569,""y"":344,""dx"":118,""dy"":63,""t"":5614},{""x"":1573,""y"":347,""dx"":122,""dy"":66,""t"":5647},{""x"":1577,""y"":350,""dx"":126,""dy"":69,""t"":5681},{""x"":1575,""y"":352,""dx"":124,""dy"":71,""t"":5716},{""x"":1567,""y"":338,""dx"":116,""dy"":57,""t"":5751},{""x"":1570,""y"":342,""dx"":119,""dy"":61,""t"":5784},{""x"":1565,""y"":341,""dx"":114,""dy"":60,""t"":5818},{""x"":1554,""y"":333,""dx"":103,""dy"":52,""t"":5853},{""x"":1559,""y"":358,""dx"":108,""dy"":77,""t"":5887},{""x"":1556,""y"":346,""dx"":105,""dy"":65,""t"":5920},{""x"":1558,""y"":340,""dx"":107,""dy"":59,""t"":5954},{""x"":1577,""y"":354,""dx"":126,""dy"":73,""t"":5988}],[{""x"":933,""y"":520,""dx"":-38,""dy"":-31,""t"":7008},{""x"":934,""y"":532,""dx"":-37,""dy"":-19,""t"":7041},{""x"":933,""y"":530,""dx"":-38,""dy"":-21,""t"":7075},{""x"":954,""y"":511,""dx"":-17,""dy"":-40,""t"":7110},{""x"":947,""y"":487,""dx"":-24,""dy"":-64,""t"":7144},{""x"":967,""y"":468,""dx"":-4,""dy"":-83,""t"":7178},{""x"":963,""y"":457,""dx"":-8,""dy"":-94,""t"":7212},{""x"":959,""y"":472,""dx"":-12,""dy"":-79,""t"":7247},{""x"":955,""y"":480,""dx"":-16,""dy"":-71,""t"":7280},{""x"":928,""y"":462,""dx"":-43,""dy"":-89,""t"":7314},{""x"":921,""y"":449,""dx"":-50,""dy"":-102,""t"":7347},{""x"":931,""y"":451,""dx"":-40,""dy"":-100,""t"":7382},{""x"":930,""y"":462,""dx"":-41,""dy"":-89,""t"":7416},{""x"":923,""y"":467,""dx"":-48,""dy"":-84,""t"":7451},{""x"":915,""y"":480,""dx"":-56,""dy"":-71,""t"":7484},{""x"":914,""y"":502,""dx"":-57,""dy"":-49,""t"":7518},{""x"":916,""y"":492,""dx"":-55,""dy"":-59,""t"":7552},{""x"":922,""y"":473,""dx"":-49,""dy"":-78,""t"":7585},{""x"":913,""y"":453,""dx"":-58,""dy"":-98,""t"":7620},{""x"":917,""y"":446,""dx"":-54,""dy"":-105,""t"":7651},{""x"":927,""y"":435,""dx"":-44,""dy"":-116,""t"":7687},{""x"":926,""y"":423,""dx"":-45,""dy"":-128,""t"":7722},{""x"":937,""y"":450,""dx"":-34,""dy"":-101,""t"":7756},{""x"":950,""y"":473,""dx"":-21,""dy"":-78,""t"":7790},{""x"":968,""y"":472,""dx"":-3,""dy"":-79,""t"":7824},{""x"":971,""y"":489,""dx"":0,""dy"":-62,""t"":7859},{""x"":971,""y"":497,""dx"":0,""dy"":-54,""t"":7892},{""x"":995,""y"":516,""dx"":24,""dy"":-35,""t"":7926},{""x"":962,""y"":509,""dx"":-9,""dy"":-42,""t"":7960},{""x"":964,""y"":487,""dx"":-7,""dy"":-64,""t"":7994},{""x"":974,""y"":503,""dx"":3,""dy"":-48,""t"":8028},{""x"":984,""y"":518,""dx"":13,""dy"":-33,""t"":8060},{""x"":979,""y"":521,""dx"":8,""dy"":-30,""t"":8095},{""x"":973,""y"":522,""dx"":2,""dy"":-29,""t"":8130},{""x"":967,""y"":512,""dx"":-4,""dy"":-39,""t"":8164},{""x"":952,""y"":504,""dx"":-19,""dy"":-47,""t"":8197},{""x"":948,""y"":490,""dx"":-23,""dy"":-61,""t"":8232},{""x"":937,""y"":468,""dx"":-34,""dy"":-83,""t"":8266},{""x"":917,""y"":469,""dx"":-54,""dy"":-82,""t"":8300},{""x"":926,""y"":482,""dx"":-45,""dy"":-69,""t"":8335},{""x"":931,""y"":475,""dx"":-40,""dy"":-76,""t"":8368},{""x"":958,""y"":495,""dx"":-13,""dy"":-56,""t"":8402},{""x"":980,""y"":482,""dx"":9,""dy"":-69,""t"":8436},{""x"":983,""y"":498,""dx"":12,""dy"":-53,""t"":8470},{""x"":965,""y"":483,""dx"":-6,""dy"":-68,""t"":8504},{""x"":968,""y"":470,""dx"":-3,""dy"":-81,""t"":8538},{""x"":979,""y"":462,""dx"":8,""dy"":-89,""t"":8572},{""x"":964,""y"":448,""dx"":-7,""dy"":-103,""t"":8606},{""x"":970,""y"":432,""dx"":-1,""dy"":-119,""t"":8640},{""x"":940,""y"":426,""dx"":-31,""dy"":-125,""t"":8675},{""x"":947,""y"":426,""dx"":-24,""dy"":-125,""t"":8708},{""x"":942,""y"":453,""dx"":-29,""dy"":-98,""t"":8742},{""x"":950,""y"":453,""dx"":-21,""dy"":-98,""t"":8776},{""x"":941,""y"":468,""dx"":-30,""dy"":-83,""t"":8809},{""x"":954,""y"":468,""dx"":-17,""dy"":-83,""t"":8844},{""x"":952,""y"":465,""dx"":-19,""dy"":-86,""t"":8878},{""x"":945,""y"":473,""dx"":-26,""dy"":-78,""t"":8912},{""x"":953,""y"":471,""dx"":-18,""dy"":-80,""t"":8946},{""x"":959,""y"":455,""dx"":-12,""dy"":-96,""t"":8980}],[{""x"":519,""y"":601,""dx"":28,""dy"":-220,""t"":10033},{""x"":531,""y"":573,""dx"":40,""dy"":-248,""t"":10068},{""x"":530,""y"":558,""dx"":39,""dy"":-263,""t"":10102},{""x"":541,""y"":549,""dx"":50,""dy"":-272,""t"":10136},{""x"":535,""y"":553,""dx"":44,""dy"":-268,""t"":10169},{""x"":511,""y"":547,""dx"":20,""dy"":-274,""t"":10204},{""x"":498,""y"":548,""dx"":7,""dy"":-273,""t"":10238},{""x"":513,""y"":548,""dx"":22,""dy"":-273,""t"":10272},{""x"":519,""y"":559,""dx"":28,""dy"":-262,""t"":10306},{""x"":521,""y"":572,""dx"":30,""dy"":-249,""t"":10340},{""x"":537,""y"":586,""dx"":46,""dy"":-235,""t"":10375},{""x"":543,""y"":594,""dx"":52,""dy"":-227,""t"":10407},{""x"":547,""y"":586,""dx"":56,""dy"":-235,""t"":10442},{""x"":551,""y"":587,""dx"":60,""dy"":-234,""t"":10476},{""x"":562,""y"":595,""dx"":71,""dy"":-226,""t"":10510},{""x"":546,""y"":604,""dx"":55,""dy"":-217,""t"":10543},{""x"":545,""y"":617,""dx"":54,""dy"":-204,""t"":10578},{""x"":542,""y"":609,""dx"":51,""dy"":-212,""t"":10612},{""x"":546,""y"":619,""dx"":55,""dy"":-202,""t"":10646},{""x"":541,""y"":612,""dx"":50,""dy"":-209,""t"":10679},{""x"":534,""y"":604,""dx"":43,""dy"":-217,""t"":10714},{""x"":536,""y"":597,""dx"":45,""dy"":-224,""t"":10747},{""x"":533,""y"":590,""dx"":42,""dy"":-231,""t"":10782},{""x"":526,""y"":587,""dx"":35,""dy"":-234,""t"":10816},{""x"":535,""y"":597,""dx"":44,""dy"":-224,""t"":10850},{""x"":554,""y"":603,""dx"":63,""dy"":-218,""t"":10884},{""x"":549,""y"":603,""dx"":58,""dy"":-218,""t"":10918},{""x"":553,""y"":621,""dx"":62,""dy"":-200,""t"":10952},{""x"":546,""y"":623,""dx"":55,""dy"":-198,""t"":10987},{""x"":546,""y"":620,""dx"":55,""dy"":-201,""t"":11020},{""x"":553,""y"":626,""dx"":62,""dy"":-195,""t"":11054},{""x"":542,""y"":619,""dx"":51,""dy"":-202,""t"":11089},{""x"":554,""y"":615,""dx"":63,""dy"":-206,""t"":11122},{""x"":567,""y"":620,""dx"":76,""dy"":-201,""t"":11156},{""x"":596,""y"":620,""dx"":105,""dy"":-201,""t"":11190},{""x"":610,""y"":616,""dx"":119,""dy"":-205,""t"":11222},{""x"":620,""y"":603,""dx"":129,""dy"":-218,""t"":11258},{""x"":607,""y"":620,""dx"":116,""dy"":-201,""t"":11292},{""x"":593,""y"":610,""dx"":102,""dy"":-211,""t"":11327},{""x"":600,""y"":609,""dx"":109,""dy"":-212,""t"":11360},{""x"":600,""y"":601,""dx"":109,""dy"":-220,""t"":11393},{""x"":600,""y"":612,""dx"":109,""dy"":-209,""t"":11428},{""x"":604,""y"":606,""dx"":113,""dy"":-215,""t"":11462},{""x"":601,""y"":611,""dx"":110,""dy"":-210,""t"":11496},{""x"":592,""y"":596,""dx"":101,""dy"":-225,""t"":11530},{""x"":592,""y"":590,""dx"":101,""dy"":-231,""t"":11563},{""x"":590,""y"":587,""dx"":99,""dy"":-234,""t"":11597},{""x"":589,""y"":585,""dx"":98,""dy"":-236,""t"":11629},{""x"":568,""y"":590,""dx"":77,""dy"":-231,""t"":11665},{""x"":544,""y"":584,""dx"":53,""dy"":-237,""t"":11701},{""x"":550,""y"":597,""dx"":59,""dy"":-224,""t"":11734},{""x"":549,""y"":606,""dx"":58,""dy"":-215,""t"":11768},{""x"":563,""y"":606,""dx"":72,""dy"":-215,""t"":11801},{""x"":563,""y"":622,""dx"":72,""dy"":-199,""t"":11836},{""x"":580,""y"":618,""dx"":89,""dy"":-203,""t"":11893},{""x"":595,""y"":606,""dx"":104,""dy"":-215,""t"":11904},{""x"":583,""y"":612,""dx"":92,""dy"":-209,""t"":11937},{""x"":581,""y"":627,""dx"":90,""dy"":-194,""t"":11972},{""x"":571,""y"":633,""dx"":80,""dy"":-188,""t"":12006}],[{""x"":1433,""y"":613,""dx"":-18,""dy"":-208,""t"":13026},{""x"":1442,""y"":634,""dx"":-9,""dy"":-187,""t"":13061},{""x"":1461,""y"":624,""dx"":10,""dy"":-197,""t"":13094},{""x"":1464,""y"":635,""dx"":13,""dy"":-186,""t"":13128},{""x"":1441,""y"":637,""dx"":-10,""dy"":-184,""t"":13161},{""x"":1434,""y"":625,""dx"":-17,""dy"":-196,""t"":13194},{""x"":1436,""y"":619,""dx"":-15,""dy"":-202,""t"":13230},{""x"":1422,""y"":637,""dx"":-29,""dy"":-184,""t"":13264},{""x"":1403,""y"":656,""dx"":-48,""dy"":-165,""t"":13298},{""x"":1390,""y"":660,""dx"":-61,""dy"":-161,""t"":13332},{""x"":1384,""y"":670,""dx"":-67,""dy"":-151,""t"":13366},{""x"":1392,""y"":658,""dx"":-59,""dy"":-163,""t"":13400},{""x"":1421,""y"":632,""dx"":-30,""dy"":-189,""t"":13434},{""x"":1422,""y"":618,""dx"":-29,""dy"":-203,""t"":13467},{""x"":1417,""y"":619,""dx"":-34,""dy"":-202,""t"":13502},{""x"":1424,""y"":609,""dx"":-27,""dy"":-212,""t"":13536},{""x"":1429,""y"":623,""dx"":-22,""dy"":-198,""t"":13570},{""x"":1434,""y"":624,""dx"":-17,""dy"":-197,""t"":13604},{""x"":1432,""y"":607,""dx"":-19,""dy"":-214,""t"":13638},{""x"":1420,""y"":620,""dx"":-31,""dy"":-201,""t"":13672},{""x"":1422,""y"":592,""dx"":-29,""dy"":-229,""t"":13706},{""x"":1429,""y"":588,""dx"":-22,""dy"":-233,""t"":13740},{""x"":1428,""y"":575,""dx"":-23,""dy"":-246,""t"":13774},{""x"":1440,""y"":593,""dx"":-11,""dy"":-228,""t"":13808},{""x"":1440,""y"":608,""dx"":-11,""dy"":-213,""t"":13842},{""x"":1444,""y"":615,""dx"":-7,""dy"":-206,""t"":13876},{""x"":1447,""y"":621,""dx"":-4,""dy"":-200,""t"":13910},{""x"":1451,""y"":620,""dx"":0,""dy"":-201,""t"":13944},{""x"":1430,""y"":633,""dx"":-21,""dy"":-188,""t"":13977},{""x"":1439,""y"":640,""dx"":-12,""dy"":-181,""t"":14012},{""x"":1465,""y"":648,""dx"":14,""dy"":-173,""t"":14046},{""x"":1483,""y"":642,""dx"":32,""dy"":-179,""t"":14080},{""x"":1503,""y"":624,""dx"":52,""dy"":-197,""t"":14114},{""x"":1517,""y"":637,""dx"":66,""dy"":-184,""t"":14148},{""x"":1508,""y"":644,""dx"":57,""dy"":-177,""t"":14182},{""x"":1493,""y"":675,""dx"":42,""dy"":-146,""t"":14216},{""x"":1485,""y"":653,""dx"":34,""dy"":-168,""t"":14250},{""x"":1470,""y"":635,""dx"":19,""dy"":-186,""t"":14284},{""x"":1472,""y"":650,""dx"":21,""dy"":-171,""t"":14318},{""x"":1472,""y"":676,""dx"":21,""dy"":-145,""t"":14352},{""x"":1478,""y"":657,""dx"":27,""dy"":-164,""t"":14386},{""x"":1469,""y"":654,""dx"":18,""dy"":-167,""t"":14420},{""x"":1478,""y"":634,""dx"":27,""dy"":-187,""t"":14454},{""x"":1478,""y"":624,""dx"":27,""dy"":-197,""t"":14488},{""x"":1452,""y"":621,""dx"":1,""dy"":-200,""t"":14522},{""x"":1426,""y"":616,""dx"":-25,""dy"":-205,""t"":14556},{""x"":1410,""y"":607,""dx"":-41,""dy"":-214,""t"":14590},{""x"":1414,""y"":606,""dx"":-37,""dy"":-215,""t"":14624},{""x"":1390,""y"":586,""dx"":-61,""dy"":-235,""t"":14658},{""x"":1377,""y"":590,""dx"":-74,""dy"":-231,""t"":14693},{""x"":1383,""y"":594,""dx"":-68,""dy"":-227,""t"":14726},{""x"":1385,""y"":587,""dx"":-66,""dy"":-234,""t"":14760},{""x"":1389,""y"":581,""dx"":-62,""dy"":-240,""t"":14791},{""x"":1400,""y"":586,""dx"":-51,""dy"":-235,""t"":14828},{""x"":1412,""y"":583,""dx"":-39,""dy"":-238,""t"":14862},{""x"":1428,""y"":586,""dx"":-23,""dy"":-235,""t"":14896},{""x"":1430,""y"":593,""dx"":-21,""dy"":-228,""t"":14930},{""x"":1430,""y"":598,""dx"":-21,""dy"":-223,""t"":14964},{""x"":1413,""y"":617,""dx"":-38,""dy"":-204,""t"":14997}]]","[100,100,100,0,47.45762711864407]","[{""x"":-11.559322033898304,""y"":54.59322033898305,""r"":29.659142797933107},{""x"":104.30508474576271,""y"":59.40677966101695,""r"":16.232032693959344},{""x"":-22.11864406779661,""y"":-74.10169491525424,""r"":29.40553409172777},{""x"":67.42372881355932,""y"":-222.54237288135593,""r"":28.071322344675607},{""x"":-14.033898305084746,""y"":-198.8135593220339,""r"":30.948321781413195}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
