"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2888","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2894","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","5195","0.0-2.0-0.0","","","","","2299","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","6467","0.0-2.0-1.0","","","","","1270","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","7562","0.0-3.0","","","","","1094"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","15989","0.0-4.0","","","","","","","","","744","","","","","","","","","","","","","","","","",""
"","html-button-response","6","16763","0.0-5.0-0.0","","","","","771","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","26883","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","27466","0.0-5.0-2.0","","","","","583","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","44858","0.0-5.0-3.0","","","","","","","","","","[[{""x"":473,""y"":336,""dx"":-18,""dy"":55,""t"":991},{""x"":476,""y"":338,""dx"":-15,""dy"":57,""t"":1024},{""x"":474,""y"":324,""dx"":-17,""dy"":43,""t"":1058},{""x"":471,""y"":326,""dx"":-20,""dy"":45,""t"":1092},{""x"":463,""y"":321,""dx"":-28,""dy"":40,""t"":1127},{""x"":463,""y"":330,""dx"":-28,""dy"":49,""t"":1159},{""x"":462,""y"":330,""dx"":-29,""dy"":49,""t"":1193},{""x"":464,""y"":321,""dx"":-27,""dy"":40,""t"":1229},{""x"":467,""y"":316,""dx"":-24,""dy"":35,""t"":1260},{""x"":472,""y"":314,""dx"":-19,""dy"":33,""t"":1296},{""x"":464,""y"":321,""dx"":-27,""dy"":40,""t"":1330},{""x"":470,""y"":351,""dx"":-21,""dy"":70,""t"":1364},{""x"":461,""y"":354,""dx"":-30,""dy"":73,""t"":1398},{""x"":482,""y"":340,""dx"":-9,""dy"":59,""t"":1432},{""x"":491,""y"":319,""dx"":0,""dy"":38,""t"":1465},{""x"":472,""y"":297,""dx"":-19,""dy"":16,""t"":1499},{""x"":459,""y"":295,""dx"":-32,""dy"":14,""t"":1534},{""x"":457,""y"":299,""dx"":-34,""dy"":18,""t"":1568},{""x"":471,""y"":310,""dx"":-20,""dy"":29,""t"":1602},{""x"":465,""y"":334,""dx"":-26,""dy"":53,""t"":1635},{""x"":460,""y"":355,""dx"":-31,""dy"":74,""t"":1667},{""x"":466,""y"":338,""dx"":-25,""dy"":57,""t"":1703},{""x"":476,""y"":322,""dx"":-15,""dy"":41,""t"":1737},{""x"":476,""y"":294,""dx"":-15,""dy"":13,""t"":1772},{""x"":482,""y"":306,""dx"":-9,""dy"":25,""t"":1806},{""x"":468,""y"":266,""dx"":-23,""dy"":-15,""t"":1841},{""x"":455,""y"":274,""dx"":-36,""dy"":-7,""t"":1874},{""x"":452,""y"":267,""dx"":-39,""dy"":-14,""t"":1908},{""x"":472,""y"":265,""dx"":-19,""dy"":-16,""t"":1942},{""x"":463,""y"":286,""dx"":-28,""dy"":5,""t"":1976},{""x"":447,""y"":317,""dx"":-44,""dy"":36,""t"":2011},{""x"":441,""y"":275,""dx"":-50,""dy"":-6,""t"":2044},{""x"":450,""y"":298,""dx"":-41,""dy"":17,""t"":2078},{""x"":467,""y"":303,""dx"":-24,""dy"":22,""t"":2111},{""x"":473,""y"":302,""dx"":-18,""dy"":21,""t"":2146},{""x"":458,""y"":319,""dx"":-33,""dy"":38,""t"":2181},{""x"":447,""y"":289,""dx"":-44,""dy"":8,""t"":2214},{""x"":433,""y"":289,""dx"":-58,""dy"":8,""t"":2256},{""x"":409,""y"":283,""dx"":-82,""dy"":2,""t"":2288},{""x"":397,""y"":263,""dx"":-94,""dy"":-18,""t"":2316},{""x"":430,""y"":291,""dx"":-61,""dy"":10,""t"":2350},{""x"":421,""y"":257,""dx"":-70,""dy"":-24,""t"":2385},{""x"":402,""y"":257,""dx"":-89,""dy"":-24,""t"":2418},{""x"":421,""y"":292,""dx"":-70,""dy"":11,""t"":2452},{""x"":418,""y"":274,""dx"":-73,""dy"":-7,""t"":2486},{""x"":399,""y"":246,""dx"":-92,""dy"":-35,""t"":2520},{""x"":388,""y"":243,""dx"":-103,""dy"":-38,""t"":2554},{""x"":408,""y"":278,""dx"":-83,""dy"":-3,""t"":2588},{""x"":411,""y"":257,""dx"":-80,""dy"":-24,""t"":2622},{""x"":398,""y"":252,""dx"":-93,""dy"":-29,""t"":2656},{""x"":388,""y"":237,""dx"":-103,""dy"":-44,""t"":2690},{""x"":411,""y"":281,""dx"":-80,""dy"":0,""t"":2723},{""x"":399,""y"":249,""dx"":-92,""dy"":-32,""t"":2758},{""x"":415,""y"":287,""dx"":-76,""dy"":6,""t"":2793},{""x"":429,""y"":307,""dx"":-62,""dy"":26,""t"":2825},{""x"":441,""y"":323,""dx"":-50,""dy"":42,""t"":2857},{""x"":437,""y"":328,""dx"":-54,""dy"":47,""t"":2894},{""x"":427,""y"":320,""dx"":-64,""dy"":39,""t"":2928},{""x"":448,""y"":333,""dx"":-43,""dy"":52,""t"":2962}],[{""x"":1485,""y"":125,""dx"":34,""dy"":-156,""t"":4016},{""x"":1467,""y"":148,""dx"":16,""dy"":-133,""t"":4050},{""x"":1450,""y"":153,""dx"":-1,""dy"":-128,""t"":4084},{""x"":1434,""y"":146,""dx"":-17,""dy"":-135,""t"":4118},{""x"":1423,""y"":132,""dx"":-28,""dy"":-149,""t"":4151},{""x"":1410,""y"":153,""dx"":-41,""dy"":-128,""t"":4186},{""x"":1394,""y"":146,""dx"":-57,""dy"":-135,""t"":4219},{""x"":1378,""y"":150,""dx"":-73,""dy"":-131,""t"":4254},{""x"":1376,""y"":147,""dx"":-75,""dy"":-134,""t"":4287},{""x"":1382,""y"":157,""dx"":-69,""dy"":-124,""t"":4322},{""x"":1374,""y"":134,""dx"":-77,""dy"":-147,""t"":4357},{""x"":1367,""y"":130,""dx"":-84,""dy"":-151,""t"":4390},{""x"":1382,""y"":152,""dx"":-69,""dy"":-129,""t"":4423},{""x"":1397,""y"":146,""dx"":-54,""dy"":-135,""t"":4459},{""x"":1397,""y"":129,""dx"":-54,""dy"":-152,""t"":4492},{""x"":1406,""y"":115,""dx"":-45,""dy"":-166,""t"":4526},{""x"":1414,""y"":121,""dx"":-37,""dy"":-160,""t"":4560},{""x"":1415,""y"":91,""dx"":-36,""dy"":-190,""t"":4594},{""x"":1433,""y"":90,""dx"":-18,""dy"":-191,""t"":4627},{""x"":1420,""y"":51,""dx"":-31,""dy"":-230,""t"":4662},{""x"":1424,""y"":51,""dx"":-27,""dy"":-230,""t"":4696},{""x"":1424,""y"":30,""dx"":-27,""dy"":-251,""t"":4731},{""x"":1432,""y"":72,""dx"":-19,""dy"":-209,""t"":4765},{""x"":1413,""y"":98,""dx"":-38,""dy"":-183,""t"":4798},{""x"":1398,""y"":121,""dx"":-53,""dy"":-160,""t"":4829},{""x"":1396,""y"":149,""dx"":-55,""dy"":-132,""t"":4866},{""x"":1397,""y"":179,""dx"":-54,""dy"":-102,""t"":4900},{""x"":1417,""y"":206,""dx"":-34,""dy"":-75,""t"":4934},{""x"":1414,""y"":196,""dx"":-37,""dy"":-85,""t"":4968},{""x"":1423,""y"":186,""dx"":-28,""dy"":-95,""t"":5002},{""x"":1419,""y"":187,""dx"":-32,""dy"":-94,""t"":5036},{""x"":1424,""y"":174,""dx"":-27,""dy"":-107,""t"":5070},{""x"":1417,""y"":150,""dx"":-34,""dy"":-131,""t"":5104},{""x"":1424,""y"":143,""dx"":-27,""dy"":-138,""t"":5138},{""x"":1424,""y"":141,""dx"":-27,""dy"":-140,""t"":5172},{""x"":1426,""y"":104,""dx"":-25,""dy"":-177,""t"":5206},{""x"":1411,""y"":74,""dx"":-40,""dy"":-207,""t"":5238},{""x"":1407,""y"":86,""dx"":-44,""dy"":-195,""t"":5273},{""x"":1418,""y"":83,""dx"":-33,""dy"":-198,""t"":5308},{""x"":1412,""y"":117,""dx"":-39,""dy"":-164,""t"":5342},{""x"":1414,""y"":145,""dx"":-37,""dy"":-136,""t"":5376},{""x"":1415,""y"":188,""dx"":-36,""dy"":-93,""t"":5410},{""x"":1415,""y"":164,""dx"":-36,""dy"":-117,""t"":5444},{""x"":1428,""y"":137,""dx"":-23,""dy"":-144,""t"":5479},{""x"":1429,""y"":139,""dx"":-22,""dy"":-142,""t"":5512},{""x"":1417,""y"":137,""dx"":-34,""dy"":-144,""t"":5545},{""x"":1410,""y"":170,""dx"":-41,""dy"":-111,""t"":5581},{""x"":1413,""y"":140,""dx"":-38,""dy"":-141,""t"":5614},{""x"":1405,""y"":197,""dx"":-46,""dy"":-84,""t"":5648},{""x"":1399,""y"":194,""dx"":-52,""dy"":-87,""t"":5681},{""x"":1392,""y"":198,""dx"":-59,""dy"":-83,""t"":5717},{""x"":1397,""y"":162,""dx"":-54,""dy"":-119,""t"":5750},{""x"":1401,""y"":178,""dx"":-50,""dy"":-103,""t"":5786},{""x"":1394,""y"":170,""dx"":-57,""dy"":-111,""t"":5818},{""x"":1402,""y"":157,""dx"":-49,""dy"":-124,""t"":5852},{""x"":1410,""y"":168,""dx"":-41,""dy"":-113,""t"":5886},{""x"":1415,""y"":170,""dx"":-36,""dy"":-111,""t"":5920},{""x"":1406,""y"":171,""dx"":-45,""dy"":-110,""t"":5954},{""x"":1402,""y"":209,""dx"":-49,""dy"":-72,""t"":5988}],[{""x"":899,""y"":485,""dx"":-72,""dy"":-66,""t"":7042},{""x"":890,""y"":470,""dx"":-81,""dy"":-81,""t"":7076},{""x"":891,""y"":473,""dx"":-80,""dy"":-78,""t"":7110},{""x"":893,""y"":520,""dx"":-78,""dy"":-31,""t"":7144},{""x"":916,""y"":535,""dx"":-55,""dy"":-16,""t"":7177},{""x"":925,""y"":543,""dx"":-46,""dy"":-8,""t"":7212},{""x"":926,""y"":561,""dx"":-45,""dy"":10,""t"":7246},{""x"":943,""y"":560,""dx"":-28,""dy"":9,""t"":7280},{""x"":952,""y"":538,""dx"":-19,""dy"":-13,""t"":7315},{""x"":935,""y"":557,""dx"":-36,""dy"":6,""t"":7348},{""x"":921,""y"":594,""dx"":-50,""dy"":43,""t"":7382},{""x"":929,""y"":617,""dx"":-42,""dy"":66,""t"":7416},{""x"":934,""y"":618,""dx"":-37,""dy"":67,""t"":7449},{""x"":927,""y"":584,""dx"":-44,""dy"":33,""t"":7483},{""x"":922,""y"":573,""dx"":-49,""dy"":22,""t"":7518},{""x"":921,""y"":556,""dx"":-50,""dy"":5,""t"":7552},{""x"":936,""y"":563,""dx"":-35,""dy"":12,""t"":7586},{""x"":961,""y"":547,""dx"":-10,""dy"":-4,""t"":7620},{""x"":976,""y"":536,""dx"":5,""dy"":-15,""t"":7653},{""x"":988,""y"":531,""dx"":17,""dy"":-20,""t"":7688},{""x"":997,""y"":514,""dx"":26,""dy"":-37,""t"":7722},{""x"":1010,""y"":548,""dx"":39,""dy"":-3,""t"":7756},{""x"":1003,""y"":545,""dx"":32,""dy"":-6,""t"":7790},{""x"":1017,""y"":560,""dx"":46,""dy"":9,""t"":7825},{""x"":993,""y"":557,""dx"":22,""dy"":6,""t"":7858},{""x"":971,""y"":551,""dx"":0,""dy"":0,""t"":7892},{""x"":967,""y"":550,""dx"":-4,""dy"":-1,""t"":7926},{""x"":964,""y"":539,""dx"":-7,""dy"":-12,""t"":7960},{""x"":961,""y"":517,""dx"":-10,""dy"":-34,""t"":7994},{""x"":961,""y"":503,""dx"":-10,""dy"":-48,""t"":8028},{""x"":969,""y"":488,""dx"":-2,""dy"":-63,""t"":8062},{""x"":960,""y"":481,""dx"":-11,""dy"":-70,""t"":8095},{""x"":940,""y"":479,""dx"":-31,""dy"":-72,""t"":8130},{""x"":934,""y"":467,""dx"":-37,""dy"":-84,""t"":8164},{""x"":910,""y"":475,""dx"":-61,""dy"":-76,""t"":8198},{""x"":904,""y"":484,""dx"":-67,""dy"":-67,""t"":8232},{""x"":905,""y"":491,""dx"":-66,""dy"":-60,""t"":8265},{""x"":890,""y"":504,""dx"":-81,""dy"":-47,""t"":8299},{""x"":895,""y"":505,""dx"":-76,""dy"":-46,""t"":8334},{""x"":894,""y"":519,""dx"":-77,""dy"":-32,""t"":8368},{""x"":894,""y"":531,""dx"":-77,""dy"":-20,""t"":8399},{""x"":902,""y"":555,""dx"":-69,""dy"":4,""t"":8436},{""x"":905,""y"":542,""dx"":-66,""dy"":-9,""t"":8470},{""x"":906,""y"":539,""dx"":-65,""dy"":-12,""t"":8504},{""x"":913,""y"":532,""dx"":-58,""dy"":-19,""t"":8538},{""x"":914,""y"":550,""dx"":-57,""dy"":-1,""t"":8572},{""x"":918,""y"":552,""dx"":-53,""dy"":1,""t"":8606},{""x"":932,""y"":608,""dx"":-39,""dy"":57,""t"":8640},{""x"":943,""y"":580,""dx"":-28,""dy"":29,""t"":8674},{""x"":923,""y"":573,""dx"":-48,""dy"":22,""t"":8708},{""x"":914,""y"":561,""dx"":-57,""dy"":10,""t"":8742},{""x"":906,""y"":551,""dx"":-65,""dy"":0,""t"":8774},{""x"":908,""y"":569,""dx"":-63,""dy"":18,""t"":8811},{""x"":899,""y"":581,""dx"":-72,""dy"":30,""t"":8845},{""x"":909,""y"":596,""dx"":-62,""dy"":45,""t"":8877},{""x"":910,""y"":599,""dx"":-61,""dy"":48,""t"":8911},{""x"":905,""y"":618,""dx"":-66,""dy"":67,""t"":8946},{""x"":875,""y"":614,""dx"":-96,""dy"":63,""t"":8980},{""x"":864,""y"":617,""dx"":-107,""dy"":66,""t"":9014}],[{""x"":533,""y"":773,""dx"":42,""dy"":-48,""t"":10034},{""x"":541,""y"":776,""dx"":50,""dy"":-45,""t"":10068},{""x"":543,""y"":776,""dx"":52,""dy"":-45,""t"":10102},{""x"":559,""y"":788,""dx"":68,""dy"":-33,""t"":10136},{""x"":567,""y"":782,""dx"":76,""dy"":-39,""t"":10169},{""x"":576,""y"":791,""dx"":85,""dy"":-30,""t"":10204},{""x"":581,""y"":777,""dx"":90,""dy"":-44,""t"":10238},{""x"":581,""y"":766,""dx"":90,""dy"":-55,""t"":10271},{""x"":580,""y"":752,""dx"":89,""dy"":-69,""t"":10306},{""x"":573,""y"":746,""dx"":82,""dy"":-75,""t"":10339},{""x"":566,""y"":756,""dx"":75,""dy"":-65,""t"":10374},{""x"":559,""y"":766,""dx"":68,""dy"":-55,""t"":10405},{""x"":556,""y"":751,""dx"":65,""dy"":-70,""t"":10441},{""x"":548,""y"":758,""dx"":57,""dy"":-63,""t"":10476},{""x"":546,""y"":767,""dx"":55,""dy"":-54,""t"":10511},{""x"":533,""y"":756,""dx"":42,""dy"":-65,""t"":10544},{""x"":528,""y"":754,""dx"":37,""dy"":-67,""t"":10577},{""x"":543,""y"":774,""dx"":52,""dy"":-47,""t"":10612},{""x"":535,""y"":778,""dx"":44,""dy"":-43,""t"":10646},{""x"":532,""y"":774,""dx"":41,""dy"":-47,""t"":10680},{""x"":523,""y"":773,""dx"":32,""dy"":-48,""t"":10714},{""x"":524,""y"":779,""dx"":33,""dy"":-42,""t"":10748},{""x"":528,""y"":796,""dx"":37,""dy"":-25,""t"":10782},{""x"":532,""y"":805,""dx"":41,""dy"":-16,""t"":10816},{""x"":537,""y"":804,""dx"":46,""dy"":-17,""t"":10849},{""x"":561,""y"":831,""dx"":70,""dy"":10,""t"":10884},{""x"":601,""y"":827,""dx"":110,""dy"":6,""t"":10918},{""x"":574,""y"":796,""dx"":83,""dy"":-25,""t"":10952},{""x"":595,""y"":766,""dx"":104,""dy"":-55,""t"":10986},{""x"":595,""y"":780,""dx"":104,""dy"":-41,""t"":11020},{""x"":607,""y"":783,""dx"":116,""dy"":-38,""t"":11054},{""x"":577,""y"":782,""dx"":86,""dy"":-39,""t"":11088},{""x"":560,""y"":788,""dx"":69,""dy"":-33,""t"":11122},{""x"":539,""y"":777,""dx"":48,""dy"":-44,""t"":11156},{""x"":518,""y"":768,""dx"":27,""dy"":-53,""t"":11191},{""x"":545,""y"":774,""dx"":54,""dy"":-47,""t"":11225},{""x"":549,""y"":773,""dx"":58,""dy"":-48,""t"":11258},{""x"":568,""y"":766,""dx"":77,""dy"":-55,""t"":11291},{""x"":559,""y"":763,""dx"":68,""dy"":-58,""t"":11326},{""x"":529,""y"":755,""dx"":38,""dy"":-66,""t"":11399},{""x"":575,""y"":751,""dx"":84,""dy"":-70,""t"":11427},{""x"":598,""y"":768,""dx"":107,""dy"":-53,""t"":11462},{""x"":590,""y"":757,""dx"":99,""dy"":-64,""t"":11496},{""x"":630,""y"":782,""dx"":139,""dy"":-39,""t"":11529},{""x"":664,""y"":803,""dx"":173,""dy"":-18,""t"":11561},{""x"":678,""y"":817,""dx"":187,""dy"":-4,""t"":11598},{""x"":639,""y"":816,""dx"":148,""dy"":-5,""t"":11632},{""x"":650,""y"":827,""dx"":159,""dy"":6,""t"":11666},{""x"":621,""y"":806,""dx"":130,""dy"":-15,""t"":11700},{""x"":581,""y"":780,""dx"":90,""dy"":-41,""t"":11734},{""x"":555,""y"":767,""dx"":64,""dy"":-54,""t"":11767},{""x"":586,""y"":781,""dx"":95,""dy"":-40,""t"":11802},{""x"":616,""y"":788,""dx"":125,""dy"":-33,""t"":11836},{""x"":612,""y"":785,""dx"":121,""dy"":-36,""t"":11871},{""x"":643,""y"":760,""dx"":152,""dy"":-61,""t"":11904},{""x"":600,""y"":734,""dx"":109,""dy"":-87,""t"":11938},{""x"":563,""y"":712,""dx"":72,""dy"":-109,""t"":11969},{""x"":538,""y"":665,""dx"":47,""dy"":-156,""t"":12007},{""x"":535,""y"":695,""dx"":44,""dy"":-126,""t"":12040}],[{""x"":1493,""y"":475,""dx"":42,""dy"":-346,""t"":13060},{""x"":1490,""y"":481,""dx"":39,""dy"":-340,""t"":13094},{""x"":1481,""y"":452,""dx"":30,""dy"":-369,""t"":13129},{""x"":1447,""y"":444,""dx"":-4,""dy"":-377,""t"":13161},{""x"":1435,""y"":454,""dx"":-16,""dy"":-367,""t"":13196},{""x"":1441,""y"":469,""dx"":-10,""dy"":-352,""t"":13229},{""x"":1421,""y"":497,""dx"":-30,""dy"":-324,""t"":13264},{""x"":1411,""y"":518,""dx"":-40,""dy"":-303,""t"":13298},{""x"":1412,""y"":514,""dx"":-39,""dy"":-307,""t"":13332},{""x"":1399,""y"":535,""dx"":-52,""dy"":-286,""t"":13366},{""x"":1397,""y"":542,""dx"":-54,""dy"":-279,""t"":13400},{""x"":1393,""y"":545,""dx"":-58,""dy"":-276,""t"":13433},{""x"":1385,""y"":562,""dx"":-66,""dy"":-259,""t"":13468},{""x"":1373,""y"":573,""dx"":-78,""dy"":-248,""t"":13503},{""x"":1364,""y"":582,""dx"":-87,""dy"":-239,""t"":13534},{""x"":1353,""y"":591,""dx"":-98,""dy"":-230,""t"":13570},{""x"":1354,""y"":596,""dx"":-97,""dy"":-225,""t"":13605},{""x"":1343,""y"":603,""dx"":-108,""dy"":-218,""t"":13638},{""x"":1328,""y"":623,""dx"":-123,""dy"":-198,""t"":13671},{""x"":1345,""y"":667,""dx"":-106,""dy"":-154,""t"":13706},{""x"":1338,""y"":657,""dx"":-113,""dy"":-164,""t"":13740},{""x"":1346,""y"":651,""dx"":-105,""dy"":-170,""t"":13774},{""x"":1346,""y"":656,""dx"":-105,""dy"":-165,""t"":13808},{""x"":1336,""y"":661,""dx"":-115,""dy"":-160,""t"":13842},{""x"":1325,""y"":622,""dx"":-126,""dy"":-199,""t"":13876},{""x"":1321,""y"":630,""dx"":-130,""dy"":-191,""t"":13910},{""x"":1318,""y"":636,""dx"":-133,""dy"":-185,""t"":13941},{""x"":1328,""y"":657,""dx"":-123,""dy"":-164,""t"":13977},{""x"":1329,""y"":645,""dx"":-122,""dy"":-176,""t"":14012},{""x"":1353,""y"":611,""dx"":-98,""dy"":-210,""t"":14046},{""x"":1369,""y"":611,""dx"":-82,""dy"":-210,""t"":14079},{""x"":1375,""y"":593,""dx"":-76,""dy"":-228,""t"":14114},{""x"":1376,""y"":593,""dx"":-75,""dy"":-228,""t"":14148},{""x"":1381,""y"":598,""dx"":-70,""dy"":-223,""t"":14182},{""x"":1396,""y"":598,""dx"":-55,""dy"":-223,""t"":14216},{""x"":1396,""y"":599,""dx"":-55,""dy"":-222,""t"":14250},{""x"":1381,""y"":599,""dx"":-70,""dy"":-222,""t"":14285},{""x"":1354,""y"":615,""dx"":-97,""dy"":-206,""t"":14318},{""x"":1364,""y"":607,""dx"":-87,""dy"":-214,""t"":14352},{""x"":1352,""y"":596,""dx"":-99,""dy"":-225,""t"":14386},{""x"":1346,""y"":596,""dx"":-105,""dy"":-225,""t"":14420},{""x"":1345,""y"":599,""dx"":-106,""dy"":-222,""t"":14454},{""x"":1356,""y"":630,""dx"":-95,""dy"":-191,""t"":14488},{""x"":1369,""y"":549,""dx"":-82,""dy"":-272,""t"":14522},{""x"":1363,""y"":577,""dx"":-88,""dy"":-244,""t"":14555},{""x"":1375,""y"":597,""dx"":-76,""dy"":-224,""t"":14590},{""x"":1357,""y"":516,""dx"":-94,""dy"":-305,""t"":14624},{""x"":1387,""y"":538,""dx"":-64,""dy"":-283,""t"":14657},{""x"":1398,""y"":539,""dx"":-53,""dy"":-282,""t"":14692},{""x"":1422,""y"":515,""dx"":-29,""dy"":-306,""t"":14726},{""x"":1425,""y"":503,""dx"":-26,""dy"":-318,""t"":14760},{""x"":1446,""y"":503,""dx"":-5,""dy"":-318,""t"":14794},{""x"":1456,""y"":486,""dx"":5,""dy"":-335,""t"":14828},{""x"":1461,""y"":480,""dx"":10,""dy"":-341,""t"":14862},{""x"":1461,""y"":478,""dx"":10,""dy"":-343,""t"":14895},{""x"":1468,""y"":477,""dx"":17,""dy"":-344,""t"":14930},{""x"":1456,""y"":477,""dx"":5,""dy"":-344,""t"":14964},{""x"":1443,""y"":479,""dx"":-8,""dy"":-342,""t"":14999},{""x"":1450,""y"":497,""dx"":-1,""dy"":-324,""t"":15031}]]","[100,89.83050847457628,100,100,8.47457627118644]","[{""x"":-44.220338983050844,""y"":18.983050847457626,""r"":34.11915346475339},{""x"":-39.33898305084746,""y"":-139.35593220338984,""r"":34.62884421229592},{""x"":-41,""y"":-6.830508474576271,""r"":46.71980941510753},{""x"":79.76271186440678,""y"":-47.42372881355932,""r"":29.861237062207888},{""x"":-62.30508474576271,""y"":-258.3898305084746,""r"":60.98658613658606}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.32","validate","","","","","","","","","","",""
