"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","size","shapeORcolor","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2319","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2323","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","9910","0.0-2.0-0.0","","","","","7585","{""name"":""张梦洋"",""age"":""23""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","11390","0.0-2.0-1.0","","","","","1479","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","12110","0.0-3.0","","","","","717"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","22813","0.0-4.0","","","","","","","","","1438","","","","","","","","","","","","","","","","",""
"","html-button-response","6","24502","0.0-5.0-0.0","","","","","1687","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","37857","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","39118","0.0-5.0-2.0","","","","","1260","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","57152","0.0-5.0-3.0","","","","","","","","","","[[{""x"":530,""y"":204,""dx"":39,""dy"":-77,""t"":989},{""x"":519,""y"":232,""dx"":28,""dy"":-49,""t"":1025},{""x"":517,""y"":232,""dx"":26,""dy"":-49,""t"":1058},{""x"":523,""y"":259,""dx"":32,""dy"":-22,""t"":1092},{""x"":536,""y"":223,""dx"":45,""dy"":-58,""t"":1126},{""x"":538,""y"":208,""dx"":47,""dy"":-73,""t"":1159},{""x"":528,""y"":266,""dx"":37,""dy"":-15,""t"":1194},{""x"":536,""y"":297,""dx"":45,""dy"":16,""t"":1228},{""x"":559,""y"":236,""dx"":68,""dy"":-45,""t"":1261},{""x"":578,""y"":186,""dx"":87,""dy"":-95,""t"":1296},{""x"":581,""y"":169,""dx"":90,""dy"":-112,""t"":1330},{""x"":575,""y"":153,""dx"":84,""dy"":-128,""t"":1364},{""x"":584,""y"":119,""dx"":93,""dy"":-162,""t"":1398},{""x"":561,""y"":132,""dx"":70,""dy"":-149,""t"":1432},{""x"":560,""y"":132,""dx"":69,""dy"":-149,""t"":1467},{""x"":544,""y"":137,""dx"":53,""dy"":-144,""t"":1500},{""x"":545,""y"":186,""dx"":54,""dy"":-95,""t"":1534},{""x"":546,""y"":228,""dx"":55,""dy"":-53,""t"":1568},{""x"":539,""y"":277,""dx"":48,""dy"":-4,""t"":1603},{""x"":533,""y"":312,""dx"":42,""dy"":31,""t"":1637},{""x"":530,""y"":342,""dx"":39,""dy"":61,""t"":1670},{""x"":535,""y"":322,""dx"":44,""dy"":41,""t"":1704},{""x"":532,""y"":296,""dx"":41,""dy"":15,""t"":1738},{""x"":541,""y"":289,""dx"":50,""dy"":8,""t"":1772},{""x"":535,""y"":287,""dx"":44,""dy"":6,""t"":1806},{""x"":542,""y"":288,""dx"":51,""dy"":7,""t"":1841},{""x"":543,""y"":281,""dx"":52,""dy"":0,""t"":1874},{""x"":541,""y"":254,""dx"":50,""dy"":-27,""t"":1908},{""x"":528,""y"":263,""dx"":37,""dy"":-18,""t"":1942},{""x"":532,""y"":259,""dx"":41,""dy"":-22,""t"":1976},{""x"":543,""y"":241,""dx"":52,""dy"":-40,""t"":2009},{""x"":541,""y"":224,""dx"":50,""dy"":-57,""t"":2045},{""x"":542,""y"":226,""dx"":51,""dy"":-55,""t"":2076},{""x"":552,""y"":216,""dx"":61,""dy"":-65,""t"":2112},{""x"":556,""y"":267,""dx"":65,""dy"":-14,""t"":2147},{""x"":611,""y"":345,""dx"":120,""dy"":64,""t"":2180},{""x"":672,""y"":530,""dx"":181,""dy"":249,""t"":2214},{""x"":723,""y"":714,""dx"":232,""dy"":433,""t"":2248},{""x"":780,""y"":845,""dx"":289,""dy"":564,""t"":2282},{""x"":827,""y"":904,""dx"":336,""dy"":623,""t"":2316},{""x"":834,""y"":871,""dx"":343,""dy"":590,""t"":2350},{""x"":845,""y"":768,""dx"":354,""dy"":487,""t"":2384},{""x"":793,""y"":681,""dx"":302,""dy"":400,""t"":2418},{""x"":747,""y"":603,""dx"":256,""dy"":322,""t"":2450},{""x"":716,""y"":531,""dx"":225,""dy"":250,""t"":2486},{""x"":680,""y"":478,""dx"":189,""dy"":197,""t"":2519},{""x"":645,""y"":412,""dx"":154,""dy"":131,""t"":2554},{""x"":632,""y"":361,""dx"":141,""dy"":80,""t"":2589},{""x"":624,""y"":336,""dx"":133,""dy"":55,""t"":2622},{""x"":603,""y"":275,""dx"":112,""dy"":-6,""t"":2656},{""x"":588,""y"":242,""dx"":97,""dy"":-39,""t"":2690},{""x"":577,""y"":208,""dx"":86,""dy"":-73,""t"":2724},{""x"":571,""y"":223,""dx"":80,""dy"":-58,""t"":2758},{""x"":569,""y"":209,""dx"":78,""dy"":-72,""t"":2791},{""x"":569,""y"":192,""dx"":78,""dy"":-89,""t"":2827},{""x"":566,""y"":167,""dx"":75,""dy"":-114,""t"":2860},{""x"":566,""y"":154,""dx"":75,""dy"":-127,""t"":2894},{""x"":597,""y"":181,""dx"":106,""dy"":-100,""t"":2928},{""x"":585,""y"":130,""dx"":94,""dy"":-151,""t"":2962}],[{""x"":1627,""y"":128,""dx"":176,""dy"":-153,""t"":3981},{""x"":1617,""y"":104,""dx"":166,""dy"":-177,""t"":4017},{""x"":1608,""y"":86,""dx"":157,""dy"":-195,""t"":4047},{""x"":1582,""y"":75,""dx"":131,""dy"":-206,""t"":4083},{""x"":1529,""y"":67,""dx"":78,""dy"":-214,""t"":4118},{""x"":1486,""y"":84,""dx"":35,""dy"":-197,""t"":4152},{""x"":1478,""y"":73,""dx"":27,""dy"":-208,""t"":4185},{""x"":1450,""y"":53,""dx"":-1,""dy"":-228,""t"":4221},{""x"":1433,""y"":70,""dx"":-18,""dy"":-211,""t"":4254},{""x"":1407,""y"":41,""dx"":-44,""dy"":-240,""t"":4288},{""x"":1385,""y"":41,""dx"":-66,""dy"":-240,""t"":4322},{""x"":1383,""y"":33,""dx"":-68,""dy"":-248,""t"":4356},{""x"":1376,""y"":2,""dx"":-75,""dy"":-279,""t"":4390},{""x"":1391,""y"":11,""dx"":-60,""dy"":-270,""t"":4424},{""x"":1388,""y"":8,""dx"":-63,""dy"":-273,""t"":4458},{""x"":1382,""y"":8,""dx"":-69,""dy"":-273,""t"":4492},{""x"":1376,""y"":7,""dx"":-75,""dy"":-274,""t"":4527},{""x"":1379,""y"":6,""dx"":-72,""dy"":-275,""t"":4560},{""x"":1376,""y"":10,""dx"":-75,""dy"":-271,""t"":4593},{""x"":1377,""y"":22,""dx"":-74,""dy"":-259,""t"":4628},{""x"":1367,""y"":21,""dx"":-84,""dy"":-260,""t"":4662},{""x"":1362,""y"":27,""dx"":-89,""dy"":-254,""t"":4696},{""x"":1367,""y"":23,""dx"":-84,""dy"":-258,""t"":4730},{""x"":1363,""y"":27,""dx"":-88,""dy"":-254,""t"":4764},{""x"":1364,""y"":29,""dx"":-87,""dy"":-252,""t"":4798},{""x"":1369,""y"":11,""dx"":-82,""dy"":-270,""t"":4831},{""x"":1391,""y"":62,""dx"":-60,""dy"":-219,""t"":4866},{""x"":1384,""y"":41,""dx"":-67,""dy"":-240,""t"":4901},{""x"":1382,""y"":32,""dx"":-69,""dy"":-249,""t"":4934},{""x"":1369,""y"":30,""dx"":-82,""dy"":-251,""t"":4968},{""x"":1362,""y"":40,""dx"":-89,""dy"":-241,""t"":5002},{""x"":1353,""y"":49,""dx"":-98,""dy"":-232,""t"":5036},{""x"":1361,""y"":89,""dx"":-90,""dy"":-192,""t"":5070},{""x"":1370,""y"":135,""dx"":-81,""dy"":-146,""t"":5104},{""x"":1395,""y"":111,""dx"":-56,""dy"":-170,""t"":5138},{""x"":1414,""y"":81,""dx"":-37,""dy"":-200,""t"":5172},{""x"":1407,""y"":79,""dx"":-44,""dy"":-202,""t"":5206},{""x"":1441,""y"":86,""dx"":-10,""dy"":-195,""t"":5240},{""x"":1415,""y"":69,""dx"":-36,""dy"":-212,""t"":5274},{""x"":1403,""y"":114,""dx"":-48,""dy"":-167,""t"":5309},{""x"":1393,""y"":105,""dx"":-58,""dy"":-176,""t"":5342},{""x"":1384,""y"":105,""dx"":-67,""dy"":-176,""t"":5377},{""x"":1380,""y"":77,""dx"":-71,""dy"":-204,""t"":5409},{""x"":1384,""y"":53,""dx"":-67,""dy"":-228,""t"":5444},{""x"":1382,""y"":26,""dx"":-69,""dy"":-255,""t"":5479},{""x"":1387,""y"":29,""dx"":-64,""dy"":-252,""t"":5512},{""x"":1418,""y"":39,""dx"":-33,""dy"":-242,""t"":5546},{""x"":1431,""y"":60,""dx"":-20,""dy"":-221,""t"":5581},{""x"":1452,""y"":62,""dx"":1,""dy"":-219,""t"":5615},{""x"":1460,""y"":50,""dx"":9,""dy"":-231,""t"":5646},{""x"":1463,""y"":57,""dx"":12,""dy"":-224,""t"":5681},{""x"":1483,""y"":80,""dx"":32,""dy"":-201,""t"":5716},{""x"":1464,""y"":71,""dx"":13,""dy"":-210,""t"":5750},{""x"":1410,""y"":71,""dx"":-41,""dy"":-210,""t"":5784},{""x"":1340,""y"":85,""dx"":-111,""dy"":-196,""t"":5818},{""x"":1293,""y"":70,""dx"":-158,""dy"":-211,""t"":5852},{""x"":1269,""y"":75,""dx"":-182,""dy"":-206,""t"":5887},{""x"":1256,""y"":90,""dx"":-195,""dy"":-191,""t"":5921},{""x"":1235,""y"":83,""dx"":-216,""dy"":-198,""t"":5956},{""x"":1225,""y"":80,""dx"":-226,""dy"":-201,""t"":5988}],[{""x"":923,""y"":401,""dx"":-48,""dy"":-150,""t"":7008},{""x"":936,""y"":413,""dx"":-35,""dy"":-138,""t"":7041},{""x"":908,""y"":433,""dx"":-63,""dy"":-118,""t"":7076},{""x"":934,""y"":427,""dx"":-37,""dy"":-124,""t"":7110},{""x"":932,""y"":448,""dx"":-39,""dy"":-103,""t"":7144},{""x"":949,""y"":447,""dx"":-22,""dy"":-104,""t"":7178},{""x"":963,""y"":446,""dx"":-8,""dy"":-105,""t"":7210},{""x"":972,""y"":453,""dx"":1,""dy"":-98,""t"":7246},{""x"":992,""y"":443,""dx"":21,""dy"":-108,""t"":7281},{""x"":1008,""y"":436,""dx"":37,""dy"":-115,""t"":7315},{""x"":988,""y"":457,""dx"":17,""dy"":-94,""t"":7348},{""x"":990,""y"":501,""dx"":19,""dy"":-50,""t"":7382},{""x"":1004,""y"":610,""dx"":33,""dy"":59,""t"":7416},{""x"":946,""y"":765,""dx"":-25,""dy"":214,""t"":7449},{""x"":912,""y"":933,""dx"":-59,""dy"":382,""t"":7483},{""x"":901,""y"":1046,""dx"":-70,""dy"":495,""t"":7518},{""x"":899,""y"":1125,""dx"":-72,""dy"":574,""t"":7552},{""x"":903,""y"":1183,""dx"":-68,""dy"":632,""t"":7584},{""x"":922,""y"":1205,""dx"":-49,""dy"":654,""t"":7620},{""x"":950,""y"":1162,""dx"":-21,""dy"":611,""t"":7654},{""x"":980,""y"":1115,""dx"":9,""dy"":564,""t"":7688},{""x"":1015,""y"":1027,""dx"":44,""dy"":476,""t"":7723},{""x"":1034,""y"":939,""dx"":63,""dy"":388,""t"":7756},{""x"":1064,""y"":861,""dx"":93,""dy"":310,""t"":7790},{""x"":1057,""y"":779,""dx"":86,""dy"":228,""t"":7824},{""x"":1055,""y"":720,""dx"":84,""dy"":169,""t"":7857},{""x"":1055,""y"":677,""dx"":84,""dy"":126,""t"":7892},{""x"":1076,""y"":636,""dx"":105,""dy"":85,""t"":7926},{""x"":1075,""y"":608,""dx"":104,""dy"":57,""t"":7961},{""x"":1077,""y"":598,""dx"":106,""dy"":47,""t"":7994},{""x"":1044,""y"":604,""dx"":73,""dy"":53,""t"":8028},{""x"":1061,""y"":614,""dx"":90,""dy"":63,""t"":8061},{""x"":1032,""y"":578,""dx"":61,""dy"":27,""t"":8096},{""x"":1040,""y"":558,""dx"":69,""dy"":7,""t"":8130},{""x"":1022,""y"":548,""dx"":51,""dy"":-3,""t"":8165},{""x"":1040,""y"":538,""dx"":69,""dy"":-13,""t"":8198},{""x"":1021,""y"":529,""dx"":50,""dy"":-22,""t"":8232},{""x"":1006,""y"":498,""dx"":35,""dy"":-53,""t"":8266},{""x"":1005,""y"":535,""dx"":34,""dy"":-16,""t"":8300},{""x"":996,""y"":567,""dx"":25,""dy"":16,""t"":8334},{""x"":977,""y"":554,""dx"":6,""dy"":3,""t"":8369},{""x"":979,""y"":539,""dx"":8,""dy"":-12,""t"":8402},{""x"":966,""y"":524,""dx"":-5,""dy"":-27,""t"":8436},{""x"":985,""y"":541,""dx"":14,""dy"":-10,""t"":8470},{""x"":975,""y"":550,""dx"":4,""dy"":-1,""t"":8504},{""x"":976,""y"":539,""dx"":5,""dy"":-12,""t"":8538},{""x"":961,""y"":537,""dx"":-10,""dy"":-14,""t"":8572},{""x"":954,""y"":547,""dx"":-17,""dy"":-4,""t"":8606},{""x"":979,""y"":543,""dx"":8,""dy"":-8,""t"":8641},{""x"":973,""y"":525,""dx"":2,""dy"":-26,""t"":8674},{""x"":962,""y"":525,""dx"":-9,""dy"":-26,""t"":8708},{""x"":966,""y"":501,""dx"":-5,""dy"":-50,""t"":8742},{""x"":963,""y"":498,""dx"":-8,""dy"":-53,""t"":8776},{""x"":983,""y"":542,""dx"":12,""dy"":-9,""t"":8810},{""x"":990,""y"":521,""dx"":19,""dy"":-30,""t"":8844},{""x"":984,""y"":501,""dx"":13,""dy"":-50,""t"":8879},{""x"":997,""y"":527,""dx"":26,""dy"":-24,""t"":8913},{""x"":1002,""y"":531,""dx"":31,""dy"":-20,""t"":8946},{""x"":1025,""y"":542,""dx"":54,""dy"":-9,""t"":8981}],[{""x"":660,""y"":779,""dx"":169,""dy"":-42,""t"":10001},{""x"":667,""y"":804,""dx"":176,""dy"":-17,""t"":10034},{""x"":662,""y"":801,""dx"":171,""dy"":-20,""t"":10067},{""x"":646,""y"":804,""dx"":155,""dy"":-17,""t"":10101},{""x"":639,""y"":817,""dx"":148,""dy"":-4,""t"":10136},{""x"":627,""y"":799,""dx"":136,""dy"":-22,""t"":10170},{""x"":618,""y"":811,""dx"":127,""dy"":-10,""t"":10204},{""x"":617,""y"":797,""dx"":126,""dy"":-24,""t"":10238},{""x"":613,""y"":803,""dx"":122,""dy"":-18,""t"":10272},{""x"":657,""y"":797,""dx"":166,""dy"":-24,""t"":10306},{""x"":648,""y"":799,""dx"":157,""dy"":-22,""t"":10340},{""x"":692,""y"":790,""dx"":201,""dy"":-31,""t"":10375},{""x"":713,""y"":800,""dx"":222,""dy"":-21,""t"":10408},{""x"":724,""y"":823,""dx"":233,""dy"":2,""t"":10442},{""x"":710,""y"":831,""dx"":219,""dy"":10,""t"":10475},{""x"":722,""y"":838,""dx"":231,""dy"":17,""t"":10510},{""x"":738,""y"":849,""dx"":247,""dy"":28,""t"":10544},{""x"":716,""y"":851,""dx"":225,""dy"":30,""t"":10578},{""x"":729,""y"":844,""dx"":238,""dy"":23,""t"":10612},{""x"":711,""y"":856,""dx"":220,""dy"":35,""t"":10647},{""x"":679,""y"":835,""dx"":188,""dy"":14,""t"":10680},{""x"":646,""y"":824,""dx"":155,""dy"":3,""t"":10714},{""x"":665,""y"":814,""dx"":174,""dy"":-7,""t"":10748},{""x"":682,""y"":805,""dx"":191,""dy"":-16,""t"":10779},{""x"":701,""y"":823,""dx"":210,""dy"":2,""t"":10817},{""x"":673,""y"":799,""dx"":182,""dy"":-22,""t"":10851},{""x"":646,""y"":797,""dx"":155,""dy"":-24,""t"":10884},{""x"":658,""y"":793,""dx"":167,""dy"":-28,""t"":10918},{""x"":670,""y"":808,""dx"":179,""dy"":-13,""t"":10952},{""x"":653,""y"":815,""dx"":162,""dy"":-6,""t"":10986},{""x"":670,""y"":803,""dx"":179,""dy"":-18,""t"":11019},{""x"":674,""y"":811,""dx"":183,""dy"":-10,""t"":11054},{""x"":679,""y"":812,""dx"":188,""dy"":-9,""t"":11088},{""x"":689,""y"":796,""dx"":198,""dy"":-25,""t"":11121},{""x"":681,""y"":798,""dx"":190,""dy"":-23,""t"":11157},{""x"":674,""y"":800,""dx"":183,""dy"":-21,""t"":11187},{""x"":681,""y"":811,""dx"":190,""dy"":-10,""t"":11223},{""x"":672,""y"":815,""dx"":181,""dy"":-6,""t"":11259},{""x"":664,""y"":833,""dx"":173,""dy"":12,""t"":11292},{""x"":661,""y"":839,""dx"":170,""dy"":18,""t"":11325},{""x"":637,""y"":856,""dx"":146,""dy"":35,""t"":11360},{""x"":641,""y"":851,""dx"":150,""dy"":30,""t"":11395},{""x"":654,""y"":855,""dx"":163,""dy"":34,""t"":11428},{""x"":652,""y"":864,""dx"":161,""dy"":43,""t"":11462},{""x"":657,""y"":855,""dx"":166,""dy"":34,""t"":11496},{""x"":654,""y"":854,""dx"":163,""dy"":33,""t"":11531},{""x"":625,""y"":837,""dx"":134,""dy"":16,""t"":11564},{""x"":632,""y"":825,""dx"":141,""dy"":4,""t"":11598},{""x"":638,""y"":839,""dx"":147,""dy"":18,""t"":11632},{""x"":635,""y"":849,""dx"":144,""dy"":28,""t"":11666},{""x"":640,""y"":829,""dx"":149,""dy"":8,""t"":11700},{""x"":636,""y"":834,""dx"":145,""dy"":13,""t"":11734},{""x"":645,""y"":822,""dx"":154,""dy"":1,""t"":11768},{""x"":638,""y"":804,""dx"":147,""dy"":-17,""t"":11803},{""x"":629,""y"":809,""dx"":138,""dy"":-12,""t"":11837},{""x"":646,""y"":823,""dx"":155,""dy"":2,""t"":11870},{""x"":650,""y"":825,""dx"":159,""dy"":4,""t"":11905},{""x"":635,""y"":796,""dx"":144,""dy"":-25,""t"":11938},{""x"":659,""y"":800,""dx"":168,""dy"":-21,""t"":11973},{""x"":645,""y"":806,""dx"":154,""dy"":-15,""t"":12006}],[{""x"":1478,""y"":647,""dx"":27,""dy"":-174,""t"":13026},{""x"":1476,""y"":640,""dx"":25,""dy"":-181,""t"":13060},{""x"":1484,""y"":623,""dx"":33,""dy"":-198,""t"":13094},{""x"":1470,""y"":638,""dx"":19,""dy"":-183,""t"":13128},{""x"":1462,""y"":653,""dx"":11,""dy"":-168,""t"":13162},{""x"":1448,""y"":666,""dx"":-3,""dy"":-155,""t"":13195},{""x"":1437,""y"":679,""dx"":-14,""dy"":-142,""t"":13229},{""x"":1433,""y"":679,""dx"":-18,""dy"":-142,""t"":13264},{""x"":1432,""y"":662,""dx"":-19,""dy"":-159,""t"":13298},{""x"":1426,""y"":646,""dx"":-25,""dy"":-175,""t"":13332},{""x"":1409,""y"":641,""dx"":-42,""dy"":-180,""t"":13366},{""x"":1433,""y"":660,""dx"":-18,""dy"":-161,""t"":13400},{""x"":1444,""y"":685,""dx"":-7,""dy"":-136,""t"":13434},{""x"":1467,""y"":686,""dx"":16,""dy"":-135,""t"":13468},{""x"":1465,""y"":692,""dx"":14,""dy"":-129,""t"":13502},{""x"":1470,""y"":681,""dx"":19,""dy"":-140,""t"":13536},{""x"":1481,""y"":675,""dx"":30,""dy"":-146,""t"":13570},{""x"":1473,""y"":673,""dx"":22,""dy"":-148,""t"":13604},{""x"":1467,""y"":679,""dx"":16,""dy"":-142,""t"":13638},{""x"":1476,""y"":659,""dx"":25,""dy"":-162,""t"":13672},{""x"":1476,""y"":669,""dx"":25,""dy"":-152,""t"":13706},{""x"":1472,""y"":673,""dx"":21,""dy"":-148,""t"":13740},{""x"":1463,""y"":663,""dx"":12,""dy"":-158,""t"":13774},{""x"":1458,""y"":683,""dx"":7,""dy"":-138,""t"":13808},{""x"":1466,""y"":669,""dx"":15,""dy"":-152,""t"":13842},{""x"":1470,""y"":693,""dx"":19,""dy"":-128,""t"":13877},{""x"":1435,""y"":692,""dx"":-16,""dy"":-129,""t"":13910},{""x"":1421,""y"":682,""dx"":-30,""dy"":-139,""t"":13944},{""x"":1431,""y"":695,""dx"":-20,""dy"":-126,""t"":13979},{""x"":1424,""y"":727,""dx"":-27,""dy"":-94,""t"":14012},{""x"":1363,""y"":797,""dx"":-88,""dy"":-24,""t"":14046},{""x"":1227,""y"":889,""dx"":-224,""dy"":68,""t"":14080},{""x"":1085,""y"":994,""dx"":-366,""dy"":173,""t"":14114},{""x"":974,""y"":1060,""dx"":-477,""dy"":239,""t"":14148},{""x"":915,""y"":1125,""dx"":-536,""dy"":304,""t"":14182},{""x"":882,""y"":1168,""dx"":-569,""dy"":347,""t"":14216},{""x"":901,""y"":1174,""dx"":-550,""dy"":353,""t"":14251},{""x"":962,""y"":1149,""dx"":-489,""dy"":328,""t"":14284},{""x"":1011,""y"":1081,""dx"":-440,""dy"":260,""t"":14318},{""x"":1056,""y"":1021,""dx"":-395,""dy"":200,""t"":14349},{""x"":1112,""y"":970,""dx"":-339,""dy"":149,""t"":14387},{""x"":1146,""y"":895,""dx"":-305,""dy"":74,""t"":14421},{""x"":1205,""y"":858,""dx"":-246,""dy"":37,""t"":14454},{""x"":1237,""y"":811,""dx"":-214,""dy"":-10,""t"":14488},{""x"":1283,""y"":773,""dx"":-168,""dy"":-48,""t"":14522},{""x"":1304,""y"":731,""dx"":-147,""dy"":-90,""t"":14557},{""x"":1327,""y"":709,""dx"":-124,""dy"":-112,""t"":14590},{""x"":1343,""y"":684,""dx"":-108,""dy"":-137,""t"":14624},{""x"":1376,""y"":673,""dx"":-75,""dy"":-148,""t"":14658},{""x"":1407,""y"":661,""dx"":-44,""dy"":-160,""t"":14692},{""x"":1411,""y"":660,""dx"":-40,""dy"":-161,""t"":14725},{""x"":1411,""y"":662,""dx"":-40,""dy"":-159,""t"":14758},{""x"":1419,""y"":671,""dx"":-32,""dy"":-150,""t"":14794},{""x"":1439,""y"":649,""dx"":-12,""dy"":-172,""t"":14829},{""x"":1460,""y"":643,""dx"":9,""dy"":-178,""t"":14862},{""x"":1452,""y"":645,""dx"":1,""dy"":-176,""t"":14896},{""x"":1464,""y"":629,""dx"":13,""dy"":-192,""t"":14930},{""x"":1456,""y"":647,""dx"":5,""dy"":-174,""t"":14964},{""x"":1461,""y"":638,""dx"":10,""dy"":-183,""t"":14998}]]","[81.35593220338984,10,79.66101694915254,83.33333333333334,76.27118644067797]","[{""x"":101.28813559322033,""y"":34.30508474576271,""r"":108.38869084093602},{""x"":-48.03333333333333,""y"":-223.45,""r"":76.65202619423343},{""x"":16.864406779661017,""y"":75.27118644067797,""r"":105.29284616264648},{""x"":171.91666666666666,""y"":-1.7166666666666666,""r"":42.59237998090301},{""x"":-99.54237288135593,""y"":-72.23728813559322,""r"":136.54332384837073}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","","",""
