"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2636","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2642","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","6876","0.0-2.0-0.0","","","","","4228","{""name"":""范雨祥"",""age"":""22""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","7996","0.0-2.0-1.0","","","","","1119","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","8524","0.0-3.0","","","","","525"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","13627","0.0-4.0","","","","","","","","","2169","","","","","","","","","","","","","","","",""
"","html-button-response","6","14748","0.0-5.0-0.0","","","","","1119","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","24889","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","25659","0.0-5.0-2.0","","","","","770","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","42995","0.0-5.0-3.0","","","","","","","","","","[[{""x"":551,""y"":278,""dx"":60,""dy"":-3,""t"":990},{""x"":542,""y"":278,""dx"":51,""dy"":-3,""t"":1023},{""x"":535,""y"":270,""dx"":44,""dy"":-11,""t"":1059},{""x"":538,""y"":259,""dx"":47,""dy"":-22,""t"":1092},{""x"":532,""y"":262,""dx"":41,""dy"":-19,""t"":1126},{""x"":535,""y"":280,""dx"":44,""dy"":-1,""t"":1160},{""x"":533,""y"":294,""dx"":42,""dy"":13,""t"":1193},{""x"":524,""y"":267,""dx"":33,""dy"":-14,""t"":1228},{""x"":516,""y"":244,""dx"":25,""dy"":-37,""t"":1260},{""x"":524,""y"":244,""dx"":33,""dy"":-37,""t"":1295},{""x"":526,""y"":247,""dx"":35,""dy"":-34,""t"":1330},{""x"":512,""y"":254,""dx"":21,""dy"":-27,""t"":1365},{""x"":513,""y"":243,""dx"":22,""dy"":-38,""t"":1398},{""x"":523,""y"":219,""dx"":32,""dy"":-62,""t"":1432},{""x"":554,""y"":212,""dx"":63,""dy"":-69,""t"":1466},{""x"":565,""y"":206,""dx"":74,""dy"":-75,""t"":1500},{""x"":562,""y"":218,""dx"":71,""dy"":-63,""t"":1534},{""x"":569,""y"":215,""dx"":78,""dy"":-66,""t"":1567},{""x"":556,""y"":219,""dx"":65,""dy"":-62,""t"":1602},{""x"":558,""y"":227,""dx"":67,""dy"":-54,""t"":1636},{""x"":566,""y"":236,""dx"":75,""dy"":-45,""t"":1670},{""x"":569,""y"":235,""dx"":78,""dy"":-46,""t"":1704},{""x"":579,""y"":231,""dx"":88,""dy"":-50,""t"":1739},{""x"":563,""y"":248,""dx"":72,""dy"":-33,""t"":1772},{""x"":581,""y"":241,""dx"":90,""dy"":-40,""t"":1806},{""x"":562,""y"":259,""dx"":71,""dy"":-22,""t"":1840},{""x"":546,""y"":260,""dx"":55,""dy"":-21,""t"":1874},{""x"":540,""y"":286,""dx"":49,""dy"":5,""t"":1908},{""x"":522,""y"":275,""dx"":31,""dy"":-6,""t"":1942},{""x"":519,""y"":270,""dx"":28,""dy"":-11,""t"":1976},{""x"":516,""y"":273,""dx"":25,""dy"":-8,""t"":2009},{""x"":518,""y"":265,""dx"":27,""dy"":-16,""t"":2044},{""x"":514,""y"":230,""dx"":23,""dy"":-51,""t"":2079},{""x"":506,""y"":230,""dx"":15,""dy"":-51,""t"":2112},{""x"":507,""y"":206,""dx"":16,""dy"":-75,""t"":2146},{""x"":521,""y"":202,""dx"":30,""dy"":-79,""t"":2181},{""x"":522,""y"":208,""dx"":31,""dy"":-73,""t"":2214},{""x"":528,""y"":210,""dx"":37,""dy"":-71,""t"":2248},{""x"":551,""y"":202,""dx"":60,""dy"":-79,""t"":2281},{""x"":575,""y"":202,""dx"":84,""dy"":-79,""t"":2316},{""x"":577,""y"":196,""dx"":86,""dy"":-85,""t"":2350},{""x"":573,""y"":218,""dx"":82,""dy"":-63,""t"":2384},{""x"":579,""y"":207,""dx"":88,""dy"":-74,""t"":2417},{""x"":579,""y"":191,""dx"":88,""dy"":-90,""t"":2452},{""x"":578,""y"":177,""dx"":87,""dy"":-104,""t"":2484},{""x"":577,""y"":195,""dx"":86,""dy"":-86,""t"":2520},{""x"":559,""y"":201,""dx"":68,""dy"":-80,""t"":2554},{""x"":568,""y"":193,""dx"":77,""dy"":-88,""t"":2588},{""x"":559,""y"":195,""dx"":68,""dy"":-86,""t"":2622},{""x"":541,""y"":220,""dx"":50,""dy"":-61,""t"":2656},{""x"":540,""y"":216,""dx"":49,""dy"":-65,""t"":2691},{""x"":552,""y"":218,""dx"":61,""dy"":-63,""t"":2724},{""x"":564,""y"":218,""dx"":73,""dy"":-63,""t"":2758},{""x"":577,""y"":223,""dx"":86,""dy"":-58,""t"":2792},{""x"":580,""y"":231,""dx"":89,""dy"":-50,""t"":2825},{""x"":580,""y"":231,""dx"":89,""dy"":-50,""t"":2860},{""x"":580,""y"":231,""dx"":89,""dy"":-50,""t"":2892},{""x"":584,""y"":227,""dx"":93,""dy"":-54,""t"":2928},{""x"":592,""y"":247,""dx"":101,""dy"":-34,""t"":2963},{""x"":590,""y"":271,""dx"":99,""dy"":-10,""t"":2996}],[{""x"":1427,""y"":55,""dx"":-24,""dy"":-226,""t"":4016},{""x"":1404,""y"":69,""dx"":-47,""dy"":-212,""t"":4050},{""x"":1386,""y"":65,""dx"":-65,""dy"":-216,""t"":4084},{""x"":1370,""y"":48,""dx"":-81,""dy"":-233,""t"":4118},{""x"":1366,""y"":48,""dx"":-85,""dy"":-233,""t"":4152},{""x"":1370,""y"":64,""dx"":-81,""dy"":-217,""t"":4186},{""x"":1361,""y"":61,""dx"":-90,""dy"":-220,""t"":4220},{""x"":1360,""y"":56,""dx"":-91,""dy"":-225,""t"":4254},{""x"":1357,""y"":74,""dx"":-94,""dy"":-207,""t"":4287},{""x"":1361,""y"":72,""dx"":-90,""dy"":-209,""t"":4322},{""x"":1361,""y"":87,""dx"":-90,""dy"":-194,""t"":4356},{""x"":1364,""y"":101,""dx"":-87,""dy"":-180,""t"":4390},{""x"":1373,""y"":109,""dx"":-78,""dy"":-172,""t"":4424},{""x"":1372,""y"":100,""dx"":-79,""dy"":-181,""t"":4456},{""x"":1374,""y"":105,""dx"":-77,""dy"":-176,""t"":4493},{""x"":1372,""y"":100,""dx"":-79,""dy"":-181,""t"":4527},{""x"":1371,""y"":110,""dx"":-80,""dy"":-171,""t"":4560},{""x"":1373,""y"":108,""dx"":-78,""dy"":-173,""t"":4595},{""x"":1377,""y"":107,""dx"":-74,""dy"":-174,""t"":4628},{""x"":1378,""y"":127,""dx"":-73,""dy"":-154,""t"":4662},{""x"":1372,""y"":121,""dx"":-79,""dy"":-160,""t"":4696},{""x"":1369,""y"":130,""dx"":-82,""dy"":-151,""t"":4731},{""x"":1377,""y"":139,""dx"":-74,""dy"":-142,""t"":4764},{""x"":1373,""y"":125,""dx"":-78,""dy"":-156,""t"":4798},{""x"":1366,""y"":92,""dx"":-85,""dy"":-189,""t"":4832},{""x"":1365,""y"":79,""dx"":-86,""dy"":-202,""t"":4866},{""x"":1360,""y"":79,""dx"":-91,""dy"":-202,""t"":4900},{""x"":1355,""y"":75,""dx"":-96,""dy"":-206,""t"":4935},{""x"":1357,""y"":82,""dx"":-94,""dy"":-199,""t"":4968},{""x"":1360,""y"":97,""dx"":-91,""dy"":-184,""t"":5002},{""x"":1363,""y"":100,""dx"":-88,""dy"":-181,""t"":5036},{""x"":1362,""y"":106,""dx"":-89,""dy"":-175,""t"":5071},{""x"":1365,""y"":116,""dx"":-86,""dy"":-165,""t"":5104},{""x"":1364,""y"":110,""dx"":-87,""dy"":-171,""t"":5138},{""x"":1358,""y"":111,""dx"":-93,""dy"":-170,""t"":5172},{""x"":1361,""y"":116,""dx"":-90,""dy"":-165,""t"":5206},{""x"":1368,""y"":144,""dx"":-83,""dy"":-137,""t"":5240},{""x"":1375,""y"":169,""dx"":-76,""dy"":-112,""t"":5273},{""x"":1377,""y"":166,""dx"":-74,""dy"":-115,""t"":5336},{""x"":1379,""y"":163,""dx"":-72,""dy"":-118,""t"":5347},{""x"":1377,""y"":158,""dx"":-74,""dy"":-123,""t"":5375},{""x"":1375,""y"":125,""dx"":-76,""dy"":-156,""t"":5410},{""x"":1370,""y"":141,""dx"":-81,""dy"":-140,""t"":5444},{""x"":1372,""y"":145,""dx"":-79,""dy"":-136,""t"":5479},{""x"":1374,""y"":141,""dx"":-77,""dy"":-140,""t"":5511},{""x"":1373,""y"":128,""dx"":-78,""dy"":-153,""t"":5546},{""x"":1381,""y"":133,""dx"":-70,""dy"":-148,""t"":5580},{""x"":1370,""y"":110,""dx"":-81,""dy"":-171,""t"":5614},{""x"":1371,""y"":92,""dx"":-80,""dy"":-189,""t"":5648},{""x"":1367,""y"":76,""dx"":-84,""dy"":-205,""t"":5682},{""x"":1359,""y"":69,""dx"":-92,""dy"":-212,""t"":5716},{""x"":1352,""y"":61,""dx"":-99,""dy"":-220,""t"":5750},{""x"":1362,""y"":74,""dx"":-89,""dy"":-207,""t"":5784},{""x"":1367,""y"":77,""dx"":-84,""dy"":-204,""t"":5818},{""x"":1367,""y"":65,""dx"":-84,""dy"":-216,""t"":5852},{""x"":1372,""y"":78,""dx"":-79,""dy"":-203,""t"":5887},{""x"":1364,""y"":83,""dx"":-87,""dy"":-198,""t"":5920},{""x"":1369,""y"":89,""dx"":-82,""dy"":-192,""t"":5954},{""x"":1371,""y"":73,""dx"":-80,""dy"":-208,""t"":5989}],[{""x"":1079,""y"":560,""dx"":108,""dy"":9,""t"":7043},{""x"":1094,""y"":581,""dx"":123,""dy"":30,""t"":7076},{""x"":1086,""y"":592,""dx"":115,""dy"":41,""t"":7110},{""x"":1095,""y"":614,""dx"":124,""dy"":63,""t"":7144},{""x"":1085,""y"":599,""dx"":114,""dy"":48,""t"":7178},{""x"":1080,""y"":596,""dx"":109,""dy"":45,""t"":7212},{""x"":1106,""y"":595,""dx"":135,""dy"":44,""t"":7246},{""x"":1116,""y"":567,""dx"":145,""dy"":16,""t"":7280},{""x"":1115,""y"":582,""dx"":144,""dy"":31,""t"":7315},{""x"":1101,""y"":591,""dx"":130,""dy"":40,""t"":7348},{""x"":1082,""y"":600,""dx"":111,""dy"":49,""t"":7382},{""x"":1066,""y"":590,""dx"":95,""dy"":39,""t"":7416},{""x"":1050,""y"":582,""dx"":79,""dy"":31,""t"":7450},{""x"":1033,""y"":599,""dx"":62,""dy"":48,""t"":7484},{""x"":1026,""y"":581,""dx"":55,""dy"":30,""t"":7518},{""x"":1019,""y"":581,""dx"":48,""dy"":30,""t"":7552},{""x"":1012,""y"":576,""dx"":41,""dy"":25,""t"":7585},{""x"":1008,""y"":572,""dx"":37,""dy"":21,""t"":7618},{""x"":1007,""y"":576,""dx"":36,""dy"":25,""t"":7654},{""x"":1012,""y"":531,""dx"":41,""dy"":-20,""t"":7688},{""x"":1038,""y"":545,""dx"":67,""dy"":-6,""t"":7723},{""x"":1043,""y"":548,""dx"":72,""dy"":-3,""t"":7756},{""x"":1068,""y"":555,""dx"":97,""dy"":4,""t"":7790},{""x"":1075,""y"":582,""dx"":104,""dy"":31,""t"":7823},{""x"":1070,""y"":553,""dx"":99,""dy"":2,""t"":7858},{""x"":1052,""y"":573,""dx"":81,""dy"":22,""t"":7891},{""x"":1061,""y"":557,""dx"":90,""dy"":6,""t"":7926},{""x"":1048,""y"":569,""dx"":77,""dy"":18,""t"":7960},{""x"":1047,""y"":612,""dx"":76,""dy"":61,""t"":7994},{""x"":1046,""y"":648,""dx"":75,""dy"":97,""t"":8026},{""x"":1048,""y"":658,""dx"":77,""dy"":107,""t"":8063},{""x"":1056,""y"":625,""dx"":85,""dy"":74,""t"":8096},{""x"":1040,""y"":606,""dx"":69,""dy"":55,""t"":8131},{""x"":1027,""y"":618,""dx"":56,""dy"":67,""t"":8164},{""x"":1034,""y"":604,""dx"":63,""dy"":53,""t"":8198},{""x"":1016,""y"":581,""dx"":45,""dy"":30,""t"":8232},{""x"":1006,""y"":567,""dx"":35,""dy"":16,""t"":8266},{""x"":1012,""y"":580,""dx"":41,""dy"":29,""t"":8300},{""x"":1009,""y"":604,""dx"":38,""dy"":53,""t"":8334},{""x"":1022,""y"":618,""dx"":51,""dy"":67,""t"":8367},{""x"":1022,""y"":586,""dx"":51,""dy"":35,""t"":8402},{""x"":1023,""y"":612,""dx"":52,""dy"":61,""t"":8436},{""x"":1026,""y"":590,""dx"":55,""dy"":39,""t"":8470},{""x"":1042,""y"":564,""dx"":71,""dy"":13,""t"":8504},{""x"":1042,""y"":501,""dx"":71,""dy"":-50,""t"":8538},{""x"":1034,""y"":533,""dx"":63,""dy"":-18,""t"":8572},{""x"":1035,""y"":506,""dx"":64,""dy"":-45,""t"":8606},{""x"":1028,""y"":530,""dx"":57,""dy"":-21,""t"":8640},{""x"":1026,""y"":478,""dx"":55,""dy"":-73,""t"":8673},{""x"":1024,""y"":446,""dx"":53,""dy"":-105,""t"":8708},{""x"":1027,""y"":457,""dx"":56,""dy"":-94,""t"":8742},{""x"":1020,""y"":495,""dx"":49,""dy"":-56,""t"":8776},{""x"":1021,""y"":531,""dx"":50,""dy"":-20,""t"":8810},{""x"":1020,""y"":554,""dx"":49,""dy"":3,""t"":8844},{""x"":1012,""y"":478,""dx"":41,""dy"":-73,""t"":8878},{""x"":1011,""y"":526,""dx"":40,""dy"":-25,""t"":8913},{""x"":1015,""y"":556,""dx"":44,""dy"":5,""t"":8947},{""x"":1010,""y"":580,""dx"":39,""dy"":29,""t"":8980},{""x"":1003,""y"":552,""dx"":32,""dy"":1,""t"":9014}],[{""x"":373,""y"":702,""dx"":-118,""dy"":-119,""t"":10035},{""x"":378,""y"":680,""dx"":-113,""dy"":-141,""t"":10069},{""x"":411,""y"":662,""dx"":-80,""dy"":-159,""t"":10104},{""x"":456,""y"":673,""dx"":-35,""dy"":-148,""t"":10136},{""x"":479,""y"":663,""dx"":-12,""dy"":-158,""t"":10170},{""x"":481,""y"":631,""dx"":-10,""dy"":-190,""t"":10205},{""x"":504,""y"":629,""dx"":13,""dy"":-192,""t"":10238},{""x"":521,""y"":638,""dx"":30,""dy"":-183,""t"":10273},{""x"":539,""y"":650,""dx"":48,""dy"":-171,""t"":10306},{""x"":540,""y"":654,""dx"":49,""dy"":-167,""t"":10340},{""x"":546,""y"":662,""dx"":55,""dy"":-159,""t"":10374},{""x"":557,""y"":668,""dx"":66,""dy"":-153,""t"":10408},{""x"":538,""y"":701,""dx"":47,""dy"":-120,""t"":10442},{""x"":536,""y"":698,""dx"":45,""dy"":-123,""t"":10476},{""x"":538,""y"":695,""dx"":47,""dy"":-126,""t"":10510},{""x"":515,""y"":710,""dx"":24,""dy"":-111,""t"":10543},{""x"":501,""y"":692,""dx"":10,""dy"":-129,""t"":10578},{""x"":490,""y"":685,""dx"":-1,""dy"":-136,""t"":10612},{""x"":480,""y"":692,""dx"":-11,""dy"":-129,""t"":10646},{""x"":460,""y"":691,""dx"":-31,""dy"":-130,""t"":10679},{""x"":445,""y"":691,""dx"":-46,""dy"":-130,""t"":10714},{""x"":446,""y"":690,""dx"":-45,""dy"":-131,""t"":10748},{""x"":439,""y"":689,""dx"":-52,""dy"":-132,""t"":10782},{""x"":440,""y"":691,""dx"":-51,""dy"":-130,""t"":10815},{""x"":443,""y"":674,""dx"":-48,""dy"":-147,""t"":10850},{""x"":436,""y"":675,""dx"":-55,""dy"":-146,""t"":10885},{""x"":437,""y"":679,""dx"":-54,""dy"":-142,""t"":10917},{""x"":453,""y"":679,""dx"":-38,""dy"":-142,""t"":10952},{""x"":448,""y"":693,""dx"":-43,""dy"":-128,""t"":10986},{""x"":442,""y"":715,""dx"":-49,""dy"":-106,""t"":11019},{""x"":448,""y"":747,""dx"":-43,""dy"":-74,""t"":11054},{""x"":455,""y"":758,""dx"":-36,""dy"":-63,""t"":11088},{""x"":440,""y"":759,""dx"":-51,""dy"":-62,""t"":11122},{""x"":445,""y"":769,""dx"":-46,""dy"":-52,""t"":11157},{""x"":450,""y"":776,""dx"":-41,""dy"":-45,""t"":11187},{""x"":448,""y"":772,""dx"":-43,""dy"":-49,""t"":11224},{""x"":456,""y"":781,""dx"":-35,""dy"":-40,""t"":11258},{""x"":441,""y"":739,""dx"":-50,""dy"":-82,""t"":11292},{""x"":440,""y"":725,""dx"":-51,""dy"":-96,""t"":11326},{""x"":443,""y"":717,""dx"":-48,""dy"":-104,""t"":11360},{""x"":444,""y"":708,""dx"":-47,""dy"":-113,""t"":11394},{""x"":471,""y"":725,""dx"":-20,""dy"":-96,""t"":11428},{""x"":497,""y"":755,""dx"":6,""dy"":-66,""t"":11462},{""x"":506,""y"":756,""dx"":15,""dy"":-65,""t"":11496},{""x"":504,""y"":761,""dx"":13,""dy"":-60,""t"":11530},{""x"":502,""y"":766,""dx"":11,""dy"":-55,""t"":11561},{""x"":491,""y"":758,""dx"":0,""dy"":-63,""t"":11598},{""x"":513,""y"":753,""dx"":22,""dy"":-68,""t"":11632},{""x"":515,""y"":733,""dx"":24,""dy"":-88,""t"":11666},{""x"":538,""y"":748,""dx"":47,""dy"":-73,""t"":11700},{""x"":528,""y"":764,""dx"":37,""dy"":-57,""t"":11733},{""x"":537,""y"":786,""dx"":46,""dy"":-35,""t"":11768},{""x"":538,""y"":787,""dx"":47,""dy"":-34,""t"":11802},{""x"":522,""y"":761,""dx"":31,""dy"":-60,""t"":11836},{""x"":525,""y"":777,""dx"":34,""dy"":-44,""t"":11869},{""x"":533,""y"":770,""dx"":42,""dy"":-51,""t"":11904},{""x"":518,""y"":740,""dx"":27,""dy"":-81,""t"":11938},{""x"":520,""y"":763,""dx"":29,""dy"":-58,""t"":11973},{""x"":516,""y"":768,""dx"":25,""dy"":-53,""t"":12006}],[{""x"":1401,""y"":716,""dx"":-50,""dy"":-105,""t"":13027},{""x"":1416,""y"":737,""dx"":-35,""dy"":-84,""t"":13060},{""x"":1409,""y"":740,""dx"":-42,""dy"":-81,""t"":13095},{""x"":1432,""y"":737,""dx"":-19,""dy"":-84,""t"":13128},{""x"":1428,""y"":722,""dx"":-23,""dy"":-99,""t"":13159},{""x"":1427,""y"":723,""dx"":-24,""dy"":-98,""t"":13196},{""x"":1437,""y"":730,""dx"":-14,""dy"":-91,""t"":13230},{""x"":1432,""y"":727,""dx"":-19,""dy"":-94,""t"":13264},{""x"":1439,""y"":711,""dx"":-12,""dy"":-110,""t"":13298},{""x"":1440,""y"":705,""dx"":-11,""dy"":-116,""t"":13333},{""x"":1461,""y"":697,""dx"":10,""dy"":-124,""t"":13366},{""x"":1474,""y"":682,""dx"":23,""dy"":-139,""t"":13400},{""x"":1475,""y"":659,""dx"":24,""dy"":-162,""t"":13435},{""x"":1480,""y"":637,""dx"":29,""dy"":-184,""t"":13468},{""x"":1479,""y"":618,""dx"":28,""dy"":-203,""t"":13503},{""x"":1470,""y"":608,""dx"":19,""dy"":-213,""t"":13537},{""x"":1455,""y"":615,""dx"":4,""dy"":-206,""t"":13571},{""x"":1450,""y"":613,""dx"":-1,""dy"":-208,""t"":13605},{""x"":1431,""y"":632,""dx"":-20,""dy"":-189,""t"":13638},{""x"":1424,""y"":636,""dx"":-27,""dy"":-185,""t"":13672},{""x"":1417,""y"":628,""dx"":-34,""dy"":-193,""t"":13707},{""x"":1398,""y"":629,""dx"":-53,""dy"":-192,""t"":13740},{""x"":1394,""y"":627,""dx"":-57,""dy"":-194,""t"":13774},{""x"":1418,""y"":638,""dx"":-33,""dy"":-183,""t"":13808},{""x"":1418,""y"":636,""dx"":-33,""dy"":-185,""t"":13842},{""x"":1426,""y"":641,""dx"":-25,""dy"":-180,""t"":13876},{""x"":1411,""y"":664,""dx"":-40,""dy"":-157,""t"":13910},{""x"":1415,""y"":673,""dx"":-36,""dy"":-148,""t"":13945},{""x"":1417,""y"":674,""dx"":-34,""dy"":-147,""t"":13979},{""x"":1416,""y"":687,""dx"":-35,""dy"":-134,""t"":14012},{""x"":1436,""y"":699,""dx"":-15,""dy"":-122,""t"":14046},{""x"":1447,""y"":711,""dx"":-4,""dy"":-110,""t"":14081},{""x"":1469,""y"":715,""dx"":18,""dy"":-106,""t"":14115},{""x"":1474,""y"":716,""dx"":23,""dy"":-105,""t"":14148},{""x"":1486,""y"":703,""dx"":35,""dy"":-118,""t"":14182},{""x"":1496,""y"":698,""dx"":45,""dy"":-123,""t"":14216},{""x"":1493,""y"":688,""dx"":42,""dy"":-133,""t"":14249},{""x"":1487,""y"":672,""dx"":36,""dy"":-149,""t"":14292},{""x"":1482,""y"":663,""dx"":31,""dy"":-158,""t"":14332},{""x"":1474,""y"":670,""dx"":23,""dy"":-151,""t"":14354},{""x"":1469,""y"":659,""dx"":18,""dy"":-162,""t"":14386},{""x"":1484,""y"":693,""dx"":33,""dy"":-128,""t"":14420},{""x"":1489,""y"":690,""dx"":38,""dy"":-131,""t"":14454},{""x"":1493,""y"":656,""dx"":42,""dy"":-165,""t"":14488},{""x"":1465,""y"":647,""dx"":14,""dy"":-174,""t"":14522},{""x"":1451,""y"":619,""dx"":0,""dy"":-202,""t"":14556},{""x"":1431,""y"":610,""dx"":-20,""dy"":-211,""t"":14590},{""x"":1431,""y"":597,""dx"":-20,""dy"":-224,""t"":14624},{""x"":1409,""y"":599,""dx"":-42,""dy"":-222,""t"":14659},{""x"":1416,""y"":609,""dx"":-35,""dy"":-212,""t"":14692},{""x"":1395,""y"":615,""dx"":-56,""dy"":-206,""t"":14725},{""x"":1377,""y"":621,""dx"":-74,""dy"":-200,""t"":14758},{""x"":1369,""y"":614,""dx"":-82,""dy"":-207,""t"":14794},{""x"":1366,""y"":610,""dx"":-85,""dy"":-211,""t"":14828},{""x"":1363,""y"":615,""dx"":-88,""dy"":-206,""t"":14862},{""x"":1372,""y"":609,""dx"":-79,""dy"":-212,""t"":14896},{""x"":1370,""y"":615,""dx"":-81,""dy"":-206,""t"":14931},{""x"":1368,""y"":609,""dx"":-83,""dy"":-212,""t"":14964},{""x"":1359,""y"":624,""dx"":-92,""dy"":-197,""t"":14998},{""x"":1358,""y"":659,""dx"":-93,""dy"":-162,""t"":15032}]]","[100,50.847457627118644,100,100,68.33333333333333]","[{""x"":59.03333333333333,""y"":-47.483333333333334,""r"":51.0233957143545},{""x"":-81.23728813559322,""y"":-180.9322033898305,""r"":25.476341041976596},{""x"":71.89830508474576,""y"":17.52542372881356,""r"":41.305783709824375},{""x"":-8.694915254237289,""y"":-104.49152542372882,""r"":56.795312793400484},{""x"":-18.183333333333334,""y"":-160.21666666666667,""r"":85.02311977380373}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
