"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1558","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1561","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","3309","0.0-2.0-0.0","","","","","1746","{""name"":""scc"",""age"":""24""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","4405","0.0-2.0-1.0","","","","","1095","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","4941","0.0-3.0","","","","","534"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","16890","0.0-4.0","","","","","","","","","731","","","","","","","","","","","","","","","",""
"","html-button-response","6","17605","0.0-5.0-0.0","","","","","713","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","28364","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","29180","0.0-5.0-2.0","","","","","816","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","45913","0.0-5.0-3.0","","","","","","","","","","[[{""x"":497,""y"":316,""dx"":6,""dy"":35,""t"":991},{""x"":490,""y"":297,""dx"":-1,""dy"":16,""t"":1025},{""x"":469,""y"":284,""dx"":-22,""dy"":3,""t"":1058},{""x"":468,""y"":274,""dx"":-23,""dy"":-7,""t"":1093},{""x"":463,""y"":276,""dx"":-28,""dy"":-5,""t"":1126},{""x"":497,""y"":308,""dx"":6,""dy"":27,""t"":1160},{""x"":490,""y"":332,""dx"":-1,""dy"":51,""t"":1195},{""x"":525,""y"":380,""dx"":34,""dy"":99,""t"":1228},{""x"":499,""y"":341,""dx"":8,""dy"":60,""t"":1263},{""x"":497,""y"":331,""dx"":6,""dy"":50,""t"":1297},{""x"":523,""y"":384,""dx"":32,""dy"":103,""t"":1331},{""x"":570,""y"":423,""dx"":79,""dy"":142,""t"":1364},{""x"":560,""y"":394,""dx"":69,""dy"":113,""t"":1398},{""x"":540,""y"":384,""dx"":49,""dy"":103,""t"":1433},{""x"":526,""y"":384,""dx"":35,""dy"":103,""t"":1466},{""x"":509,""y"":371,""dx"":18,""dy"":90,""t"":1501},{""x"":494,""y"":358,""dx"":3,""dy"":77,""t"":1535},{""x"":473,""y"":363,""dx"":-18,""dy"":82,""t"":1568},{""x"":472,""y"":409,""dx"":-19,""dy"":128,""t"":1602},{""x"":479,""y"":382,""dx"":-12,""dy"":101,""t"":1636},{""x"":471,""y"":373,""dx"":-20,""dy"":92,""t"":1670},{""x"":499,""y"":411,""dx"":8,""dy"":130,""t"":1703},{""x"":472,""y"":430,""dx"":-19,""dy"":149,""t"":1737},{""x"":483,""y"":428,""dx"":-8,""dy"":147,""t"":1772},{""x"":475,""y"":447,""dx"":-16,""dy"":166,""t"":1807},{""x"":514,""y"":468,""dx"":23,""dy"":187,""t"":1840},{""x"":542,""y"":481,""dx"":51,""dy"":200,""t"":1874},{""x"":547,""y"":500,""dx"":56,""dy"":219,""t"":1908},{""x"":587,""y"":490,""dx"":96,""dy"":209,""t"":1942},{""x"":569,""y"":477,""dx"":78,""dy"":196,""t"":1976},{""x"":579,""y"":478,""dx"":88,""dy"":197,""t"":2010},{""x"":585,""y"":490,""dx"":94,""dy"":209,""t"":2044},{""x"":622,""y"":479,""dx"":131,""dy"":198,""t"":2078},{""x"":621,""y"":482,""dx"":130,""dy"":201,""t"":2111},{""x"":619,""y"":501,""dx"":128,""dy"":220,""t"":2146},{""x"":640,""y"":479,""dx"":149,""dy"":198,""t"":2180},{""x"":646,""y"":466,""dx"":155,""dy"":185,""t"":2215},{""x"":623,""y"":479,""dx"":132,""dy"":198,""t"":2248},{""x"":627,""y"":465,""dx"":136,""dy"":184,""t"":2282},{""x"":584,""y"":440,""dx"":93,""dy"":159,""t"":2316},{""x"":539,""y"":412,""dx"":48,""dy"":131,""t"":2350},{""x"":531,""y"":436,""dx"":40,""dy"":155,""t"":2384},{""x"":526,""y"":457,""dx"":35,""dy"":176,""t"":2416},{""x"":523,""y"":479,""dx"":32,""dy"":198,""t"":2452},{""x"":535,""y"":470,""dx"":44,""dy"":189,""t"":2487},{""x"":557,""y"":479,""dx"":66,""dy"":198,""t"":2520},{""x"":535,""y"":469,""dx"":44,""dy"":188,""t"":2554},{""x"":512,""y"":441,""dx"":21,""dy"":160,""t"":2587},{""x"":529,""y"":460,""dx"":38,""dy"":179,""t"":2623},{""x"":554,""y"":496,""dx"":63,""dy"":215,""t"":2656},{""x"":587,""y"":521,""dx"":96,""dy"":240,""t"":2690},{""x"":599,""y"":512,""dx"":108,""dy"":231,""t"":2724},{""x"":602,""y"":498,""dx"":111,""dy"":217,""t"":2759},{""x"":602,""y"":489,""dx"":111,""dy"":208,""t"":2792},{""x"":601,""y"":481,""dx"":110,""dy"":200,""t"":2824},{""x"":606,""y"":482,""dx"":115,""dy"":201,""t"":2859},{""x"":592,""y"":454,""dx"":101,""dy"":173,""t"":2894},{""x"":598,""y"":450,""dx"":107,""dy"":169,""t"":2928},{""x"":589,""y"":432,""dx"":98,""dy"":151,""t"":2961}],[{""x"":1450,""y"":569,""dx"":-1,""dy"":288,""t"":4016},{""x"":1473,""y"":532,""dx"":22,""dy"":251,""t"":4048},{""x"":1507,""y"":475,""dx"":56,""dy"":194,""t"":4084},{""x"":1502,""y"":453,""dx"":51,""dy"":172,""t"":4117},{""x"":1533,""y"":438,""dx"":82,""dy"":157,""t"":4151},{""x"":1543,""y"":432,""dx"":92,""dy"":151,""t"":4186},{""x"":1548,""y"":434,""dx"":97,""dy"":153,""t"":4220},{""x"":1548,""y"":422,""dx"":97,""dy"":141,""t"":4259},{""x"":1547,""y"":415,""dx"":96,""dy"":134,""t"":4289},{""x"":1539,""y"":402,""dx"":88,""dy"":121,""t"":4322},{""x"":1543,""y"":386,""dx"":92,""dy"":105,""t"":4356},{""x"":1521,""y"":382,""dx"":70,""dy"":101,""t"":4390},{""x"":1500,""y"":381,""dx"":49,""dy"":100,""t"":4422},{""x"":1510,""y"":369,""dx"":59,""dy"":88,""t"":4459},{""x"":1492,""y"":367,""dx"":41,""dy"":86,""t"":4492},{""x"":1482,""y"":388,""dx"":31,""dy"":107,""t"":4527},{""x"":1486,""y"":399,""dx"":35,""dy"":118,""t"":4560},{""x"":1476,""y"":402,""dx"":25,""dy"":121,""t"":4594},{""x"":1460,""y"":416,""dx"":9,""dy"":135,""t"":4628},{""x"":1473,""y"":424,""dx"":22,""dy"":143,""t"":4661},{""x"":1488,""y"":434,""dx"":37,""dy"":153,""t"":4696},{""x"":1477,""y"":442,""dx"":26,""dy"":161,""t"":4731},{""x"":1472,""y"":444,""dx"":21,""dy"":163,""t"":4764},{""x"":1454,""y"":418,""dx"":3,""dy"":137,""t"":4797},{""x"":1466,""y"":426,""dx"":15,""dy"":145,""t"":4833},{""x"":1466,""y"":397,""dx"":15,""dy"":116,""t"":4866},{""x"":1467,""y"":402,""dx"":16,""dy"":121,""t"":4900},{""x"":1461,""y"":408,""dx"":10,""dy"":127,""t"":4934},{""x"":1461,""y"":398,""dx"":10,""dy"":117,""t"":4968},{""x"":1471,""y"":430,""dx"":20,""dy"":149,""t"":5002},{""x"":1479,""y"":427,""dx"":28,""dy"":146,""t"":5036},{""x"":1492,""y"":431,""dx"":41,""dy"":150,""t"":5069},{""x"":1486,""y"":438,""dx"":35,""dy"":157,""t"":5104},{""x"":1470,""y"":466,""dx"":19,""dy"":185,""t"":5138},{""x"":1454,""y"":472,""dx"":3,""dy"":191,""t"":5172},{""x"":1479,""y"":498,""dx"":28,""dy"":217,""t"":5205},{""x"":1473,""y"":469,""dx"":22,""dy"":188,""t"":5239},{""x"":1465,""y"":461,""dx"":14,""dy"":180,""t"":5274},{""x"":1453,""y"":457,""dx"":2,""dy"":176,""t"":5308},{""x"":1432,""y"":424,""dx"":-19,""dy"":143,""t"":5342},{""x"":1432,""y"":429,""dx"":-19,""dy"":148,""t"":5376},{""x"":1430,""y"":403,""dx"":-21,""dy"":122,""t"":5410},{""x"":1428,""y"":405,""dx"":-23,""dy"":124,""t"":5444},{""x"":1430,""y"":366,""dx"":-21,""dy"":85,""t"":5477},{""x"":1435,""y"":379,""dx"":-16,""dy"":98,""t"":5511},{""x"":1456,""y"":387,""dx"":5,""dy"":106,""t"":5546},{""x"":1445,""y"":394,""dx"":-6,""dy"":113,""t"":5580},{""x"":1453,""y"":411,""dx"":2,""dy"":130,""t"":5614},{""x"":1470,""y"":420,""dx"":19,""dy"":139,""t"":5648},{""x"":1477,""y"":450,""dx"":26,""dy"":169,""t"":5682},{""x"":1461,""y"":474,""dx"":10,""dy"":193,""t"":5716},{""x"":1463,""y"":488,""dx"":12,""dy"":207,""t"":5750},{""x"":1460,""y"":493,""dx"":9,""dy"":212,""t"":5783},{""x"":1491,""y"":491,""dx"":40,""dy"":210,""t"":5817},{""x"":1507,""y"":483,""dx"":56,""dy"":202,""t"":5852},{""x"":1495,""y"":456,""dx"":44,""dy"":175,""t"":5887},{""x"":1507,""y"":427,""dx"":56,""dy"":146,""t"":5921},{""x"":1511,""y"":426,""dx"":60,""dy"":145,""t"":5955},{""x"":1531,""y"":420,""dx"":80,""dy"":139,""t"":5987}],[{""x"":994,""y"":459,""dx"":23,""dy"":-92,""t"":7008},{""x"":991,""y"":453,""dx"":20,""dy"":-98,""t"":7042},{""x"":990,""y"":448,""dx"":19,""dy"":-103,""t"":7076},{""x"":940,""y"":467,""dx"":-31,""dy"":-84,""t"":7110},{""x"":938,""y"":488,""dx"":-33,""dy"":-63,""t"":7144},{""x"":948,""y"":482,""dx"":-23,""dy"":-69,""t"":7178},{""x"":943,""y"":495,""dx"":-28,""dy"":-56,""t"":7211},{""x"":952,""y"":500,""dx"":-19,""dy"":-51,""t"":7246},{""x"":951,""y"":483,""dx"":-20,""dy"":-68,""t"":7280},{""x"":952,""y"":497,""dx"":-19,""dy"":-54,""t"":7314},{""x"":959,""y"":500,""dx"":-12,""dy"":-51,""t"":7348},{""x"":967,""y"":509,""dx"":-4,""dy"":-42,""t"":7381},{""x"":966,""y"":500,""dx"":-5,""dy"":-51,""t"":7416},{""x"":1000,""y"":486,""dx"":29,""dy"":-65,""t"":7450},{""x"":1012,""y"":509,""dx"":41,""dy"":-42,""t"":7484},{""x"":991,""y"":518,""dx"":20,""dy"":-33,""t"":7519},{""x"":1022,""y"":510,""dx"":51,""dy"":-41,""t"":7552},{""x"":1003,""y"":503,""dx"":32,""dy"":-48,""t"":7585},{""x"":992,""y"":498,""dx"":21,""dy"":-53,""t"":7618},{""x"":1000,""y"":481,""dx"":29,""dy"":-70,""t"":7654},{""x"":992,""y"":475,""dx"":21,""dy"":-76,""t"":7689},{""x"":1028,""y"":468,""dx"":57,""dy"":-83,""t"":7721},{""x"":1025,""y"":489,""dx"":54,""dy"":-62,""t"":7755},{""x"":1021,""y"":476,""dx"":50,""dy"":-75,""t"":7791},{""x"":1010,""y"":514,""dx"":39,""dy"":-37,""t"":7825},{""x"":976,""y"":549,""dx"":5,""dy"":-2,""t"":7857},{""x"":971,""y"":554,""dx"":0,""dy"":3,""t"":7892},{""x"":971,""y"":539,""dx"":0,""dy"":-12,""t"":7925},{""x"":969,""y"":545,""dx"":-2,""dy"":-6,""t"":7959},{""x"":968,""y"":549,""dx"":-3,""dy"":-2,""t"":7991},{""x"":982,""y"":499,""dx"":11,""dy"":-52,""t"":8028},{""x"":969,""y"":483,""dx"":-2,""dy"":-68,""t"":8061},{""x"":915,""y"":510,""dx"":-56,""dy"":-41,""t"":8097},{""x"":910,""y"":517,""dx"":-61,""dy"":-34,""t"":8129},{""x"":920,""y"":522,""dx"":-51,""dy"":-29,""t"":8163},{""x"":926,""y"":518,""dx"":-45,""dy"":-33,""t"":8199},{""x"":917,""y"":516,""dx"":-54,""dy"":-35,""t"":8231},{""x"":942,""y"":556,""dx"":-29,""dy"":5,""t"":8294},{""x"":963,""y"":580,""dx"":-8,""dy"":29,""t"":8305},{""x"":992,""y"":555,""dx"":21,""dy"":4,""t"":8335},{""x"":973,""y"":533,""dx"":2,""dy"":-18,""t"":8368},{""x"":969,""y"":520,""dx"":-2,""dy"":-31,""t"":8401},{""x"":983,""y"":535,""dx"":12,""dy"":-16,""t"":8436},{""x"":1001,""y"":558,""dx"":30,""dy"":7,""t"":8470},{""x"":1016,""y"":536,""dx"":45,""dy"":-15,""t"":8504},{""x"":1012,""y"":554,""dx"":41,""dy"":3,""t"":8538},{""x"":1007,""y"":557,""dx"":36,""dy"":6,""t"":8571},{""x"":994,""y"":584,""dx"":23,""dy"":33,""t"":8606},{""x"":968,""y"":592,""dx"":-3,""dy"":41,""t"":8640},{""x"":963,""y"":598,""dx"":-8,""dy"":47,""t"":8674},{""x"":952,""y"":575,""dx"":-19,""dy"":24,""t"":8708},{""x"":949,""y"":562,""dx"":-22,""dy"":11,""t"":8742},{""x"":949,""y"":568,""dx"":-22,""dy"":17,""t"":8776},{""x"":931,""y"":577,""dx"":-40,""dy"":26,""t"":8810},{""x"":933,""y"":590,""dx"":-38,""dy"":39,""t"":8844},{""x"":919,""y"":620,""dx"":-52,""dy"":69,""t"":8878},{""x"":942,""y"":605,""dx"":-29,""dy"":54,""t"":8912},{""x"":954,""y"":599,""dx"":-17,""dy"":48,""t"":8945},{""x"":961,""y"":619,""dx"":-10,""dy"":68,""t"":8981}],[{""x"":506,""y"":584,""dx"":15,""dy"":-237,""t"":10034},{""x"":539,""y"":596,""dx"":48,""dy"":-225,""t"":10068},{""x"":494,""y"":618,""dx"":3,""dy"":-203,""t"":10103},{""x"":525,""y"":637,""dx"":34,""dy"":-184,""t"":10136},{""x"":538,""y"":641,""dx"":47,""dy"":-180,""t"":10170},{""x"":549,""y"":653,""dx"":58,""dy"":-168,""t"":10204},{""x"":559,""y"":655,""dx"":68,""dy"":-166,""t"":10238},{""x"":572,""y"":663,""dx"":81,""dy"":-158,""t"":10272},{""x"":562,""y"":645,""dx"":71,""dy"":-176,""t"":10306},{""x"":611,""y"":625,""dx"":120,""dy"":-196,""t"":10341},{""x"":599,""y"":658,""dx"":108,""dy"":-163,""t"":10375},{""x"":641,""y"":657,""dx"":150,""dy"":-164,""t"":10408},{""x"":678,""y"":648,""dx"":187,""dy"":-173,""t"":10442},{""x"":690,""y"":653,""dx"":199,""dy"":-168,""t"":10476},{""x"":669,""y"":683,""dx"":178,""dy"":-138,""t"":10510},{""x"":662,""y"":689,""dx"":171,""dy"":-132,""t"":10544},{""x"":665,""y"":688,""dx"":174,""dy"":-133,""t"":10577},{""x"":647,""y"":702,""dx"":156,""dy"":-119,""t"":10611},{""x"":648,""y"":743,""dx"":157,""dy"":-78,""t"":10646},{""x"":615,""y"":751,""dx"":124,""dy"":-70,""t"":10680},{""x"":625,""y"":724,""dx"":134,""dy"":-97,""t"":10714},{""x"":640,""y"":752,""dx"":149,""dy"":-69,""t"":10748},{""x"":653,""y"":757,""dx"":162,""dy"":-64,""t"":10783},{""x"":629,""y"":761,""dx"":138,""dy"":-60,""t"":10817},{""x"":661,""y"":754,""dx"":170,""dy"":-67,""t"":10850},{""x"":646,""y"":773,""dx"":155,""dy"":-48,""t"":10885},{""x"":656,""y"":779,""dx"":165,""dy"":-42,""t"":10918},{""x"":646,""y"":772,""dx"":155,""dy"":-49,""t"":10952},{""x"":651,""y"":799,""dx"":160,""dy"":-22,""t"":10986},{""x"":613,""y"":805,""dx"":122,""dy"":-16,""t"":11020},{""x"":614,""y"":806,""dx"":123,""dy"":-15,""t"":11054},{""x"":634,""y"":794,""dx"":143,""dy"":-27,""t"":11088},{""x"":569,""y"":770,""dx"":78,""dy"":-51,""t"":11123},{""x"":592,""y"":770,""dx"":101,""dy"":-51,""t"":11156},{""x"":616,""y"":757,""dx"":125,""dy"":-64,""t"":11188},{""x"":597,""y"":768,""dx"":106,""dy"":-53,""t"":11223},{""x"":585,""y"":766,""dx"":94,""dy"":-55,""t"":11259},{""x"":601,""y"":771,""dx"":110,""dy"":-50,""t"":11292},{""x"":613,""y"":755,""dx"":122,""dy"":-66,""t"":11327},{""x"":624,""y"":765,""dx"":133,""dy"":-56,""t"":11361},{""x"":592,""y"":776,""dx"":101,""dy"":-45,""t"":11395},{""x"":600,""y"":799,""dx"":109,""dy"":-22,""t"":11428},{""x"":603,""y"":777,""dx"":112,""dy"":-44,""t"":11461},{""x"":567,""y"":771,""dx"":76,""dy"":-50,""t"":11497},{""x"":588,""y"":785,""dx"":97,""dy"":-36,""t"":11530},{""x"":613,""y"":783,""dx"":122,""dy"":-38,""t"":11562},{""x"":633,""y"":807,""dx"":142,""dy"":-14,""t"":11598},{""x"":632,""y"":806,""dx"":141,""dy"":-15,""t"":11633},{""x"":673,""y"":778,""dx"":182,""dy"":-43,""t"":11666},{""x"":631,""y"":767,""dx"":140,""dy"":-54,""t"":11700},{""x"":656,""y"":790,""dx"":165,""dy"":-31,""t"":11735},{""x"":658,""y"":810,""dx"":167,""dy"":-11,""t"":11767},{""x"":645,""y"":817,""dx"":154,""dy"":-4,""t"":11803},{""x"":670,""y"":767,""dx"":179,""dy"":-54,""t"":11836},{""x"":619,""y"":783,""dx"":128,""dy"":-38,""t"":11870},{""x"":616,""y"":786,""dx"":125,""dy"":-35,""t"":11905},{""x"":611,""y"":781,""dx"":120,""dy"":-40,""t"":11938},{""x"":625,""y"":775,""dx"":134,""dy"":-46,""t"":11973},{""x"":618,""y"":782,""dx"":127,""dy"":-39,""t"":12006}],[{""x"":1482,""y"":835,""dx"":31,""dy"":14,""t"":13026},{""x"":1458,""y"":816,""dx"":7,""dy"":-5,""t"":13061},{""x"":1466,""y"":811,""dx"":15,""dy"":-10,""t"":13094},{""x"":1471,""y"":807,""dx"":20,""dy"":-14,""t"":13126},{""x"":1472,""y"":806,""dx"":21,""dy"":-15,""t"":13161},{""x"":1458,""y"":841,""dx"":7,""dy"":20,""t"":13196},{""x"":1460,""y"":869,""dx"":9,""dy"":48,""t"":13230},{""x"":1433,""y"":884,""dx"":-18,""dy"":63,""t"":13264},{""x"":1427,""y"":903,""dx"":-24,""dy"":82,""t"":13298},{""x"":1424,""y"":900,""dx"":-27,""dy"":79,""t"":13332},{""x"":1409,""y"":910,""dx"":-42,""dy"":89,""t"":13366},{""x"":1398,""y"":889,""dx"":-53,""dy"":68,""t"":13400},{""x"":1380,""y"":917,""dx"":-71,""dy"":96,""t"":13434},{""x"":1397,""y"":896,""dx"":-54,""dy"":75,""t"":13468},{""x"":1391,""y"":888,""dx"":-60,""dy"":67,""t"":13502},{""x"":1399,""y"":881,""dx"":-52,""dy"":60,""t"":13537},{""x"":1407,""y"":864,""dx"":-44,""dy"":43,""t"":13569},{""x"":1404,""y"":881,""dx"":-47,""dy"":60,""t"":13604},{""x"":1396,""y"":879,""dx"":-55,""dy"":58,""t"":13638},{""x"":1393,""y"":843,""dx"":-58,""dy"":22,""t"":13671},{""x"":1395,""y"":824,""dx"":-56,""dy"":3,""t"":13706},{""x"":1415,""y"":821,""dx"":-36,""dy"":0,""t"":13740},{""x"":1414,""y"":825,""dx"":-37,""dy"":4,""t"":13774},{""x"":1405,""y"":829,""dx"":-46,""dy"":8,""t"":13807},{""x"":1397,""y"":822,""dx"":-54,""dy"":1,""t"":13842},{""x"":1399,""y"":813,""dx"":-52,""dy"":-8,""t"":13876},{""x"":1380,""y"":778,""dx"":-71,""dy"":-43,""t"":13909},{""x"":1378,""y"":774,""dx"":-73,""dy"":-47,""t"":13943},{""x"":1395,""y"":790,""dx"":-56,""dy"":-31,""t"":13977},{""x"":1400,""y"":811,""dx"":-51,""dy"":-10,""t"":14011},{""x"":1413,""y"":820,""dx"":-38,""dy"":-1,""t"":14047},{""x"":1431,""y"":835,""dx"":-20,""dy"":14,""t"":14079},{""x"":1419,""y"":850,""dx"":-32,""dy"":29,""t"":14114},{""x"":1428,""y"":852,""dx"":-23,""dy"":31,""t"":14149},{""x"":1413,""y"":877,""dx"":-38,""dy"":56,""t"":14183},{""x"":1409,""y"":869,""dx"":-42,""dy"":48,""t"":14215},{""x"":1381,""y"":880,""dx"":-70,""dy"":59,""t"":14250},{""x"":1400,""y"":894,""dx"":-51,""dy"":73,""t"":14284},{""x"":1416,""y"":873,""dx"":-35,""dy"":52,""t"":14319},{""x"":1399,""y"":883,""dx"":-52,""dy"":62,""t"":14349},{""x"":1409,""y"":840,""dx"":-42,""dy"":19,""t"":14386},{""x"":1432,""y"":821,""dx"":-19,""dy"":0,""t"":14420},{""x"":1438,""y"":820,""dx"":-13,""dy"":-1,""t"":14454},{""x"":1434,""y"":848,""dx"":-17,""dy"":27,""t"":14488},{""x"":1428,""y"":867,""dx"":-23,""dy"":46,""t"":14522},{""x"":1401,""y"":859,""dx"":-50,""dy"":38,""t"":14555},{""x"":1388,""y"":856,""dx"":-63,""dy"":35,""t"":14591},{""x"":1374,""y"":848,""dx"":-77,""dy"":27,""t"":14625},{""x"":1395,""y"":835,""dx"":-56,""dy"":14,""t"":14657},{""x"":1403,""y"":832,""dx"":-48,""dy"":11,""t"":14691},{""x"":1410,""y"":830,""dx"":-41,""dy"":9,""t"":14724},{""x"":1387,""y"":832,""dx"":-64,""dy"":11,""t"":14759},{""x"":1361,""y"":837,""dx"":-90,""dy"":16,""t"":14795},{""x"":1326,""y"":832,""dx"":-125,""dy"":11,""t"":14828},{""x"":1334,""y"":852,""dx"":-117,""dy"":31,""t"":14861},{""x"":1329,""y"":824,""dx"":-122,""dy"":3,""t"":14895},{""x"":1344,""y"":832,""dx"":-107,""dy"":11,""t"":14930},{""x"":1356,""y"":839,""dx"":-95,""dy"":18,""t"":14965},{""x"":1347,""y"":847,""dx"":-104,""dy"":26,""t"":14999}]]","[59.32203389830508,86.4406779661017,100,83.05084745762711,100]","[{""x"":52.440677966101696,""y"":145.66101694915255,""r"":73.42530359674029},{""x"":30.033898305084747,""y"":150.01694915254237,""r"":47.422565740938204},{""x"":-0.5932203389830508,""y"":-24.1864406779661,""r"":47.91921407198416},{""x"":123.98305084745763,""y"":-83.2542372881356,""r"":58.37994061529467},{""x"":-45.779661016949156,""y"":26.305084745762713,""r"":36.67848303154007}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
"","html-keyboard-response","10","46740","0.0-6.0-0.0","","","","","825"," ","","<p>识别实验：试验都以 500 毫秒的固定时间开始，然后会有一个 500 毫秒的fixation，接下来是100毫秒的单个项目展示，500毫秒的空白间隔后，会呈现一个四个项目的阵列。</p> <p>要求：记忆单个项目的<b>形状（该条件下，颜色为黑色）</b>或者<b>颜色（该条件下，形状为圆且颜色不为黑）</b>，忽略其拓扑特征，并在多个项目阵列中快速找到，</p>并根据数字键盘的 "" 4 "" ,"" 8 "","" 6 "","" 2 "" 进行选择响应，如果不记得或者不存在选择""5""。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","47812","0.0-6.0-1.0","","","","","569"," ","","<p>要求：记忆单个项目的颜色。</p><p>按"" ""键继续，实验开始。</p>","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","12","48830","0.0-6.0-2.0-0.0","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""6"",""6"",""5"",""4"",""6"",""4"",""4"",""6"",""2"",""6"",""5"",""2"",""4"",""2"",""5"",""8"",""6"",""4"",""4"",""5"",""2"",""4"",""6"",""8"",""8"",""5"",""2"",""2"",""8"",""8"",""2"",""2"",""5"",""8"",""8"",""5"",""4"",""4"",""8"",""6"",""5"",""6"",""5"",""4"",""6"",""2"",""8"",""2""]","1000","color","4","","","","","",""
"","canvas-keyboard-response","13","48938","0.0-6.0-2.0-1.0","","","","","null","null","","","","","","","","","recognition","[""8"",""5"",""6"",""6"",""5"",""4"",""6"",""4"",""4"",""6"",""2"",""6"",""5"",""2"",""4"",""2"",""5"",""8"",""6"",""4"",""4"",""5"",""2"",""4"",""6"",""8"",""8"",""5"",""2"",""2"",""8"",""8"",""2"",""2"",""5"",""8"",""8"",""5"",""4"",""4"",""8"",""6"",""5"",""6"",""5"",""4"",""6"",""2"",""8"",""2""]","1000","color","4","","","","","",""
