"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","2202","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2209","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","10654","0.0-2.0-0.0","","","","","8443","{""name"":""李苏亚"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","12932","0.0-2.0-1.0","","","","","2277","{""sex"":""男""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","14140","0.0-3.0","","","","","1206"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","18851","0.0-4.0","","","","","","","","","1451","","","","","","","","","","","","","","","",""
"","html-button-response","6","19676","0.0-5.0-0.0","","","","","822","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","42990","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","45435","0.0-5.0-2.0","","","","","2445","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","62505","0.0-5.0-3.0","","","","","","","","","","[[{""x"":555,""y"":520,""dx"":64,""dy"":239,""t"":990},{""x"":518,""y"":479,""dx"":27,""dy"":198,""t"":1025},{""x"":510,""y"":423,""dx"":19,""dy"":142,""t"":1057},{""x"":505,""y"":377,""dx"":14,""dy"":96,""t"":1090},{""x"":520,""y"":347,""dx"":29,""dy"":66,""t"":1125},{""x"":530,""y"":347,""dx"":39,""dy"":66,""t"":1160},{""x"":540,""y"":353,""dx"":49,""dy"":72,""t"":1195},{""x"":542,""y"":367,""dx"":51,""dy"":86,""t"":1228},{""x"":527,""y"":367,""dx"":36,""dy"":86,""t"":1262},{""x"":536,""y"":388,""dx"":45,""dy"":107,""t"":1296},{""x"":551,""y"":397,""dx"":60,""dy"":116,""t"":1329},{""x"":545,""y"":396,""dx"":54,""dy"":115,""t"":1363},{""x"":532,""y"":392,""dx"":41,""dy"":111,""t"":1398},{""x"":500,""y"":373,""dx"":9,""dy"":92,""t"":1432},{""x"":503,""y"":368,""dx"":12,""dy"":87,""t"":1466},{""x"":499,""y"":363,""dx"":8,""dy"":82,""t"":1500},{""x"":498,""y"":369,""dx"":7,""dy"":88,""t"":1534},{""x"":495,""y"":378,""dx"":4,""dy"":97,""t"":1567},{""x"":491,""y"":385,""dx"":0,""dy"":104,""t"":1602},{""x"":471,""y"":355,""dx"":-20,""dy"":74,""t"":1635},{""x"":480,""y"":363,""dx"":-11,""dy"":82,""t"":1669},{""x"":503,""y"":387,""dx"":12,""dy"":106,""t"":1704},{""x"":497,""y"":402,""dx"":6,""dy"":121,""t"":1738},{""x"":506,""y"":415,""dx"":15,""dy"":134,""t"":1772},{""x"":527,""y"":413,""dx"":36,""dy"":132,""t"":1805},{""x"":574,""y"":426,""dx"":83,""dy"":145,""t"":1840},{""x"":570,""y"":438,""dx"":79,""dy"":157,""t"":1875},{""x"":573,""y"":441,""dx"":82,""dy"":160,""t"":1908},{""x"":575,""y"":434,""dx"":84,""dy"":153,""t"":1941},{""x"":565,""y"":436,""dx"":74,""dy"":155,""t"":1975},{""x"":577,""y"":439,""dx"":86,""dy"":158,""t"":2010},{""x"":563,""y"":429,""dx"":72,""dy"":148,""t"":2044},{""x"":564,""y"":429,""dx"":73,""dy"":148,""t"":2077},{""x"":552,""y"":427,""dx"":61,""dy"":146,""t"":2112},{""x"":581,""y"":442,""dx"":90,""dy"":161,""t"":2146},{""x"":565,""y"":430,""dx"":74,""dy"":149,""t"":2179},{""x"":553,""y"":435,""dx"":62,""dy"":154,""t"":2213},{""x"":559,""y"":428,""dx"":68,""dy"":147,""t"":2247},{""x"":557,""y"":432,""dx"":66,""dy"":151,""t"":2289},{""x"":564,""y"":440,""dx"":73,""dy"":159,""t"":2325},{""x"":587,""y"":451,""dx"":96,""dy"":170,""t"":2350},{""x"":596,""y"":469,""dx"":105,""dy"":188,""t"":2384},{""x"":597,""y"":459,""dx"":106,""dy"":178,""t"":2418},{""x"":592,""y"":439,""dx"":101,""dy"":158,""t"":2452},{""x"":593,""y"":453,""dx"":102,""dy"":172,""t"":2486},{""x"":606,""y"":451,""dx"":115,""dy"":170,""t"":2519},{""x"":611,""y"":432,""dx"":120,""dy"":151,""t"":2553},{""x"":600,""y"":442,""dx"":109,""dy"":161,""t"":2589},{""x"":605,""y"":412,""dx"":114,""dy"":131,""t"":2622},{""x"":592,""y"":403,""dx"":101,""dy"":122,""t"":2654},{""x"":586,""y"":406,""dx"":95,""dy"":125,""t"":2689},{""x"":551,""y"":404,""dx"":60,""dy"":123,""t"":2723},{""x"":560,""y"":394,""dx"":69,""dy"":113,""t"":2758},{""x"":550,""y"":376,""dx"":59,""dy"":95,""t"":2792},{""x"":545,""y"":360,""dx"":54,""dy"":79,""t"":2825},{""x"":522,""y"":357,""dx"":31,""dy"":76,""t"":2860},{""x"":516,""y"":358,""dx"":25,""dy"":77,""t"":2894},{""x"":513,""y"":368,""dx"":22,""dy"":87,""t"":2927},{""x"":514,""y"":344,""dx"":23,""dy"":63,""t"":2962},{""x"":502,""y"":347,""dx"":11,""dy"":66,""t"":2996}],[{""x"":1478,""y"":243,""dx"":27,""dy"":-38,""t"":4016},{""x"":1478,""y"":257,""dx"":27,""dy"":-24,""t"":4050},{""x"":1458,""y"":231,""dx"":7,""dy"":-50,""t"":4083},{""x"":1433,""y"":218,""dx"":-18,""dy"":-63,""t"":4118},{""x"":1456,""y"":222,""dx"":5,""dy"":-59,""t"":4151},{""x"":1440,""y"":225,""dx"":-11,""dy"":-56,""t"":4185},{""x"":1435,""y"":250,""dx"":-16,""dy"":-31,""t"":4217},{""x"":1436,""y"":267,""dx"":-15,""dy"":-14,""t"":4253},{""x"":1454,""y"":272,""dx"":3,""dy"":-9,""t"":4288},{""x"":1441,""y"":270,""dx"":-10,""dy"":-11,""t"":4322},{""x"":1437,""y"":281,""dx"":-14,""dy"":0,""t"":4355},{""x"":1431,""y"":261,""dx"":-20,""dy"":-20,""t"":4390},{""x"":1420,""y"":242,""dx"":-31,""dy"":-39,""t"":4424},{""x"":1421,""y"":253,""dx"":-30,""dy"":-28,""t"":4457},{""x"":1444,""y"":246,""dx"":-7,""dy"":-35,""t"":4492},{""x"":1435,""y"":229,""dx"":-16,""dy"":-52,""t"":4526},{""x"":1433,""y"":272,""dx"":-18,""dy"":-9,""t"":4560},{""x"":1436,""y"":265,""dx"":-15,""dy"":-16,""t"":4593},{""x"":1442,""y"":233,""dx"":-9,""dy"":-48,""t"":4625},{""x"":1437,""y"":249,""dx"":-14,""dy"":-32,""t"":4661},{""x"":1432,""y"":278,""dx"":-19,""dy"":-3,""t"":4695},{""x"":1430,""y"":292,""dx"":-21,""dy"":11,""t"":4731},{""x"":1416,""y"":315,""dx"":-35,""dy"":34,""t"":4763},{""x"":1430,""y"":306,""dx"":-21,""dy"":25,""t"":4797},{""x"":1458,""y"":286,""dx"":7,""dy"":5,""t"":4832},{""x"":1415,""y"":301,""dx"":-36,""dy"":20,""t"":4866},{""x"":1423,""y"":268,""dx"":-28,""dy"":-13,""t"":4900},{""x"":1439,""y"":275,""dx"":-12,""dy"":-6,""t"":4934},{""x"":1422,""y"":292,""dx"":-29,""dy"":11,""t"":4967},{""x"":1418,""y"":308,""dx"":-33,""dy"":27,""t"":5002},{""x"":1411,""y"":320,""dx"":-40,""dy"":39,""t"":5035},{""x"":1424,""y"":286,""dx"":-27,""dy"":5,""t"":5069},{""x"":1412,""y"":307,""dx"":-39,""dy"":26,""t"":5104},{""x"":1409,""y"":311,""dx"":-42,""dy"":30,""t"":5137},{""x"":1405,""y"":308,""dx"":-46,""dy"":27,""t"":5172},{""x"":1398,""y"":299,""dx"":-53,""dy"":18,""t"":5207},{""x"":1395,""y"":289,""dx"":-56,""dy"":8,""t"":5240},{""x"":1404,""y"":298,""dx"":-47,""dy"":17,""t"":5273},{""x"":1418,""y"":293,""dx"":-33,""dy"":12,""t"":5308},{""x"":1421,""y"":266,""dx"":-30,""dy"":-15,""t"":5342},{""x"":1434,""y"":256,""dx"":-17,""dy"":-25,""t"":5376},{""x"":1445,""y"":229,""dx"":-6,""dy"":-52,""t"":5409},{""x"":1425,""y"":246,""dx"":-26,""dy"":-35,""t"":5443},{""x"":1404,""y"":234,""dx"":-47,""dy"":-47,""t"":5478},{""x"":1422,""y"":247,""dx"":-29,""dy"":-34,""t"":5512},{""x"":1400,""y"":228,""dx"":-51,""dy"":-53,""t"":5546},{""x"":1424,""y"":251,""dx"":-27,""dy"":-30,""t"":5580},{""x"":1410,""y"":238,""dx"":-41,""dy"":-43,""t"":5614},{""x"":1395,""y"":231,""dx"":-56,""dy"":-50,""t"":5648},{""x"":1389,""y"":223,""dx"":-62,""dy"":-58,""t"":5682},{""x"":1414,""y"":214,""dx"":-37,""dy"":-67,""t"":5716},{""x"":1426,""y"":225,""dx"":-25,""dy"":-56,""t"":5750},{""x"":1429,""y"":209,""dx"":-22,""dy"":-72,""t"":5784},{""x"":1413,""y"":225,""dx"":-38,""dy"":-56,""t"":5817},{""x"":1431,""y"":235,""dx"":-20,""dy"":-46,""t"":5852},{""x"":1436,""y"":235,""dx"":-15,""dy"":-46,""t"":5886},{""x"":1418,""y"":229,""dx"":-33,""dy"":-52,""t"":5920},{""x"":1424,""y"":241,""dx"":-27,""dy"":-40,""t"":5954},{""x"":1401,""y"":241,""dx"":-50,""dy"":-40,""t"":5988}],[{""x"":1018,""y"":504,""dx"":47,""dy"":-47,""t"":7008},{""x"":1033,""y"":510,""dx"":62,""dy"":-41,""t"":7041},{""x"":1058,""y"":505,""dx"":87,""dy"":-46,""t"":7075},{""x"":1059,""y"":498,""dx"":88,""dy"":-53,""t"":7109},{""x"":1060,""y"":515,""dx"":89,""dy"":-36,""t"":7144},{""x"":1035,""y"":512,""dx"":64,""dy"":-39,""t"":7179},{""x"":1036,""y"":525,""dx"":65,""dy"":-26,""t"":7212},{""x"":1053,""y"":528,""dx"":82,""dy"":-23,""t"":7245},{""x"":1046,""y"":515,""dx"":75,""dy"":-36,""t"":7280},{""x"":1031,""y"":487,""dx"":60,""dy"":-64,""t"":7313},{""x"":1033,""y"":502,""dx"":62,""dy"":-49,""t"":7348},{""x"":1035,""y"":502,""dx"":64,""dy"":-49,""t"":7381},{""x"":1031,""y"":509,""dx"":60,""dy"":-42,""t"":7415},{""x"":1045,""y"":508,""dx"":74,""dy"":-43,""t"":7450},{""x"":1049,""y"":516,""dx"":78,""dy"":-35,""t"":7484},{""x"":1052,""y"":487,""dx"":81,""dy"":-64,""t"":7518},{""x"":1054,""y"":492,""dx"":83,""dy"":-59,""t"":7552},{""x"":1077,""y"":460,""dx"":106,""dy"":-91,""t"":7585},{""x"":1058,""y"":451,""dx"":87,""dy"":-100,""t"":7620},{""x"":1058,""y"":467,""dx"":87,""dy"":-84,""t"":7654},{""x"":1071,""y"":458,""dx"":100,""dy"":-93,""t"":7688},{""x"":1067,""y"":455,""dx"":96,""dy"":-96,""t"":7722},{""x"":1066,""y"":471,""dx"":95,""dy"":-80,""t"":7756},{""x"":1075,""y"":464,""dx"":104,""dy"":-87,""t"":7790},{""x"":1071,""y"":468,""dx"":100,""dy"":-83,""t"":7822},{""x"":1064,""y"":473,""dx"":93,""dy"":-78,""t"":7858},{""x"":1077,""y"":473,""dx"":106,""dy"":-78,""t"":7891},{""x"":1058,""y"":492,""dx"":87,""dy"":-59,""t"":7925},{""x"":1055,""y"":492,""dx"":84,""dy"":-59,""t"":7960},{""x"":1057,""y"":505,""dx"":86,""dy"":-46,""t"":7993},{""x"":1028,""y"":495,""dx"":57,""dy"":-56,""t"":8029},{""x"":1027,""y"":503,""dx"":56,""dy"":-48,""t"":8062},{""x"":1028,""y"":499,""dx"":57,""dy"":-52,""t"":8096},{""x"":1015,""y"":501,""dx"":44,""dy"":-50,""t"":8130},{""x"":1000,""y"":501,""dx"":29,""dy"":-50,""t"":8163},{""x"":1011,""y"":514,""dx"":40,""dy"":-37,""t"":8198},{""x"":1022,""y"":524,""dx"":51,""dy"":-27,""t"":8230},{""x"":1043,""y"":516,""dx"":72,""dy"":-35,""t"":8265},{""x"":1052,""y"":476,""dx"":81,""dy"":-75,""t"":8300},{""x"":1085,""y"":455,""dx"":114,""dy"":-96,""t"":8334},{""x"":1084,""y"":427,""dx"":113,""dy"":-124,""t"":8368},{""x"":1094,""y"":404,""dx"":123,""dy"":-147,""t"":8402},{""x"":1084,""y"":426,""dx"":113,""dy"":-125,""t"":8436},{""x"":1071,""y"":429,""dx"":100,""dy"":-122,""t"":8469},{""x"":1082,""y"":417,""dx"":111,""dy"":-134,""t"":8504},{""x"":1085,""y"":408,""dx"":114,""dy"":-143,""t"":8538},{""x"":1079,""y"":427,""dx"":108,""dy"":-124,""t"":8571},{""x"":1068,""y"":450,""dx"":97,""dy"":-101,""t"":8605},{""x"":1068,""y"":459,""dx"":97,""dy"":-92,""t"":8640},{""x"":1064,""y"":474,""dx"":93,""dy"":-77,""t"":8674},{""x"":1065,""y"":484,""dx"":94,""dy"":-67,""t"":8708},{""x"":1071,""y"":504,""dx"":100,""dy"":-47,""t"":8742},{""x"":1068,""y"":495,""dx"":97,""dy"":-56,""t"":8775},{""x"":1062,""y"":503,""dx"":91,""dy"":-48,""t"":8809},{""x"":1048,""y"":513,""dx"":77,""dy"":-38,""t"":8844},{""x"":1033,""y"":512,""dx"":62,""dy"":-39,""t"":8878},{""x"":1025,""y"":506,""dx"":54,""dy"":-45,""t"":8911},{""x"":1020,""y"":515,""dx"":49,""dy"":-36,""t"":8946},{""x"":1022,""y"":514,""dx"":51,""dy"":-37,""t"":8980},{""x"":1019,""y"":501,""dx"":48,""dy"":-50,""t"":9013}],[{""x"":596,""y"":676,""dx"":105,""dy"":-145,""t"":10034},{""x"":601,""y"":665,""dx"":110,""dy"":-156,""t"":10068},{""x"":615,""y"":654,""dx"":124,""dy"":-167,""t"":10102},{""x"":622,""y"":661,""dx"":131,""dy"":-160,""t"":10135},{""x"":631,""y"":666,""dx"":140,""dy"":-155,""t"":10169},{""x"":644,""y"":681,""dx"":153,""dy"":-140,""t"":10204},{""x"":655,""y"":658,""dx"":164,""dy"":-163,""t"":10264},{""x"":671,""y"":665,""dx"":180,""dy"":-156,""t"":10278},{""x"":687,""y"":680,""dx"":196,""dy"":-141,""t"":10306},{""x"":683,""y"":700,""dx"":192,""dy"":-121,""t"":10341},{""x"":685,""y"":706,""dx"":194,""dy"":-115,""t"":10374},{""x"":664,""y"":682,""dx"":173,""dy"":-139,""t"":10408},{""x"":652,""y"":651,""dx"":161,""dy"":-170,""t"":10441},{""x"":637,""y"":660,""dx"":146,""dy"":-161,""t"":10477},{""x"":624,""y"":667,""dx"":133,""dy"":-154,""t"":10509},{""x"":616,""y"":671,""dx"":125,""dy"":-150,""t"":10544},{""x"":630,""y"":696,""dx"":139,""dy"":-125,""t"":10577},{""x"":626,""y"":693,""dx"":135,""dy"":-128,""t"":10612},{""x"":630,""y"":709,""dx"":139,""dy"":-112,""t"":10645},{""x"":631,""y"":712,""dx"":140,""dy"":-109,""t"":10679},{""x"":626,""y"":696,""dx"":135,""dy"":-125,""t"":10714},{""x"":629,""y"":692,""dx"":138,""dy"":-129,""t"":10749},{""x"":641,""y"":694,""dx"":150,""dy"":-127,""t"":10782},{""x"":648,""y"":700,""dx"":157,""dy"":-121,""t"":10815},{""x"":658,""y"":714,""dx"":167,""dy"":-107,""t"":10849},{""x"":677,""y"":705,""dx"":186,""dy"":-116,""t"":10884},{""x"":685,""y"":696,""dx"":194,""dy"":-125,""t"":10918},{""x"":663,""y"":674,""dx"":172,""dy"":-147,""t"":10952},{""x"":648,""y"":661,""dx"":157,""dy"":-160,""t"":10986},{""x"":636,""y"":648,""dx"":145,""dy"":-173,""t"":11020},{""x"":637,""y"":670,""dx"":146,""dy"":-151,""t"":11054},{""x"":628,""y"":642,""dx"":137,""dy"":-179,""t"":11089},{""x"":605,""y"":622,""dx"":114,""dy"":-199,""t"":11121},{""x"":609,""y"":646,""dx"":118,""dy"":-175,""t"":11157},{""x"":612,""y"":676,""dx"":121,""dy"":-145,""t"":11190},{""x"":614,""y"":701,""dx"":123,""dy"":-120,""t"":11224},{""x"":622,""y"":707,""dx"":131,""dy"":-114,""t"":11257},{""x"":612,""y"":697,""dx"":121,""dy"":-124,""t"":11292},{""x"":602,""y"":692,""dx"":111,""dy"":-129,""t"":11326},{""x"":627,""y"":700,""dx"":136,""dy"":-121,""t"":11360},{""x"":626,""y"":664,""dx"":135,""dy"":-157,""t"":11392},{""x"":635,""y"":668,""dx"":144,""dy"":-153,""t"":11428},{""x"":614,""y"":684,""dx"":123,""dy"":-137,""t"":11462},{""x"":600,""y"":702,""dx"":109,""dy"":-119,""t"":11496},{""x"":604,""y"":689,""dx"":113,""dy"":-132,""t"":11529},{""x"":621,""y"":693,""dx"":130,""dy"":-128,""t"":11564},{""x"":617,""y"":675,""dx"":126,""dy"":-146,""t"":11598},{""x"":608,""y"":677,""dx"":117,""dy"":-144,""t"":11632},{""x"":605,""y"":668,""dx"":114,""dy"":-153,""t"":11667},{""x"":593,""y"":681,""dx"":102,""dy"":-140,""t"":11699},{""x"":587,""y"":699,""dx"":96,""dy"":-122,""t"":11734},{""x"":594,""y"":682,""dx"":103,""dy"":-139,""t"":11768},{""x"":586,""y"":684,""dx"":95,""dy"":-137,""t"":11802},{""x"":578,""y"":693,""dx"":87,""dy"":-128,""t"":11836},{""x"":597,""y"":705,""dx"":106,""dy"":-116,""t"":11870},{""x"":602,""y"":714,""dx"":111,""dy"":-107,""t"":11903},{""x"":614,""y"":679,""dx"":123,""dy"":-142,""t"":11939},{""x"":627,""y"":685,""dx"":136,""dy"":-136,""t"":11972},{""x"":622,""y"":665,""dx"":131,""dy"":-156,""t"":12006}],[{""x"":1314,""y"":678,""dx"":-137,""dy"":-143,""t"":13060},{""x"":1328,""y"":674,""dx"":-123,""dy"":-147,""t"":13094},{""x"":1308,""y"":678,""dx"":-143,""dy"":-143,""t"":13127},{""x"":1279,""y"":678,""dx"":-172,""dy"":-143,""t"":13161},{""x"":1280,""y"":695,""dx"":-171,""dy"":-126,""t"":13196},{""x"":1254,""y"":695,""dx"":-197,""dy"":-126,""t"":13230},{""x"":1278,""y"":709,""dx"":-173,""dy"":-112,""t"":13264},{""x"":1263,""y"":707,""dx"":-188,""dy"":-114,""t"":13297},{""x"":1252,""y"":719,""dx"":-199,""dy"":-102,""t"":13332},{""x"":1244,""y"":730,""dx"":-207,""dy"":-91,""t"":13363},{""x"":1242,""y"":725,""dx"":-209,""dy"":-96,""t"":13400},{""x"":1242,""y"":724,""dx"":-209,""dy"":-97,""t"":13435},{""x"":1239,""y"":745,""dx"":-212,""dy"":-76,""t"":13468},{""x"":1247,""y"":747,""dx"":-204,""dy"":-74,""t"":13501},{""x"":1245,""y"":757,""dx"":-206,""dy"":-64,""t"":13536},{""x"":1247,""y"":763,""dx"":-204,""dy"":-58,""t"":13570},{""x"":1253,""y"":760,""dx"":-198,""dy"":-61,""t"":13603},{""x"":1258,""y"":760,""dx"":-193,""dy"":-61,""t"":13638},{""x"":1277,""y"":762,""dx"":-174,""dy"":-59,""t"":13673},{""x"":1275,""y"":761,""dx"":-176,""dy"":-60,""t"":13705},{""x"":1285,""y"":755,""dx"":-166,""dy"":-66,""t"":13740},{""x"":1294,""y"":752,""dx"":-157,""dy"":-69,""t"":13774},{""x"":1306,""y"":749,""dx"":-145,""dy"":-72,""t"":13808},{""x"":1304,""y"":753,""dx"":-147,""dy"":-68,""t"":13842},{""x"":1300,""y"":749,""dx"":-151,""dy"":-72,""t"":13876},{""x"":1289,""y"":755,""dx"":-162,""dy"":-66,""t"":13909},{""x"":1283,""y"":765,""dx"":-168,""dy"":-56,""t"":13944},{""x"":1283,""y"":761,""dx"":-168,""dy"":-60,""t"":13978},{""x"":1284,""y"":752,""dx"":-167,""dy"":-69,""t"":14012},{""x"":1282,""y"":738,""dx"":-169,""dy"":-83,""t"":14046},{""x"":1298,""y"":729,""dx"":-153,""dy"":-92,""t"":14079},{""x"":1283,""y"":719,""dx"":-168,""dy"":-102,""t"":14113},{""x"":1287,""y"":709,""dx"":-164,""dy"":-112,""t"":14148},{""x"":1298,""y"":710,""dx"":-153,""dy"":-111,""t"":14182},{""x"":1309,""y"":700,""dx"":-142,""dy"":-121,""t"":14216},{""x"":1307,""y"":695,""dx"":-144,""dy"":-126,""t"":14250},{""x"":1301,""y"":695,""dx"":-150,""dy"":-126,""t"":14283},{""x"":1310,""y"":701,""dx"":-141,""dy"":-120,""t"":14319},{""x"":1308,""y"":696,""dx"":-143,""dy"":-125,""t"":14352},{""x"":1316,""y"":696,""dx"":-135,""dy"":-125,""t"":14386},{""x"":1324,""y"":684,""dx"":-127,""dy"":-137,""t"":14420},{""x"":1326,""y"":689,""dx"":-125,""dy"":-132,""t"":14454},{""x"":1308,""y"":688,""dx"":-143,""dy"":-133,""t"":14488},{""x"":1299,""y"":684,""dx"":-152,""dy"":-137,""t"":14522},{""x"":1342,""y"":681,""dx"":-109,""dy"":-140,""t"":14556},{""x"":1351,""y"":684,""dx"":-100,""dy"":-137,""t"":14590},{""x"":1338,""y"":685,""dx"":-113,""dy"":-136,""t"":14624},{""x"":1323,""y"":676,""dx"":-128,""dy"":-145,""t"":14658},{""x"":1330,""y"":684,""dx"":-121,""dy"":-137,""t"":14692},{""x"":1287,""y"":685,""dx"":-164,""dy"":-136,""t"":14726},{""x"":1275,""y"":687,""dx"":-176,""dy"":-134,""t"":14760},{""x"":1305,""y"":692,""dx"":-146,""dy"":-129,""t"":14793},{""x"":1335,""y"":675,""dx"":-116,""dy"":-146,""t"":14828},{""x"":1313,""y"":673,""dx"":-138,""dy"":-148,""t"":14862},{""x"":1268,""y"":666,""dx"":-183,""dy"":-155,""t"":14896},{""x"":1239,""y"":655,""dx"":-212,""dy"":-166,""t"":14929},{""x"":1251,""y"":663,""dx"":-200,""dy"":-158,""t"":14963},{""x"":1243,""y"":663,""dx"":-208,""dy"":-158,""t"":14998},{""x"":1221,""y"":651,""dx"":-230,""dy"":-170,""t"":15031}]]","[93.33333333333333,100,100,57.6271186440678,57.6271186440678]","[{""x"":54.18333333333333,""y"":124.91666666666667,""r"":71.07856138218216},{""x"":-24.47457627118644,""y"":-21.322033898305083,""r"":32.508253653302795},{""x"":80.75,""y"":-66.06666666666666,""r"":46.830768838635734},{""x"":136.27118644067798,""y"":-139.76271186440678,""r"":27.896497871733164},{""x"":-164.05084745762713,""y"":-110.64406779661017,""r"":44.68659737619059}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","",""
