"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","type","size","webgazer_data","webgazer_targets","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","1606","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","1610","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","7542","0.0-2.0-0.0","","","","","5930","{""name"":""张梦洋"",""age"":""22""}","","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","8965","0.0-2.0-1.0","","","","","1422","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","9469","0.0-3.0","","","","","501"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","17053","0.0-4.0","","","","","","","","","16","","","","","","","","","","","","","","","","",""
"","html-button-response","6","17901","0.0-5.0-0.0","","","","","847","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","30239","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","31332","0.0-5.0-2.0","","","","","1093","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","49604","0.0-5.0-3.0","","","","","","","","","","[[{""x"":499,""y"":187,""dx"":8,""dy"":-94,""t"":990},{""x"":527,""y"":204,""dx"":36,""dy"":-77,""t"":1024},{""x"":503,""y"":203,""dx"":12,""dy"":-78,""t"":1057},{""x"":533,""y"":215,""dx"":42,""dy"":-66,""t"":1092},{""x"":507,""y"":235,""dx"":16,""dy"":-46,""t"":1126},{""x"":538,""y"":257,""dx"":47,""dy"":-24,""t"":1158},{""x"":550,""y"":285,""dx"":59,""dy"":4,""t"":1195},{""x"":540,""y"":298,""dx"":49,""dy"":17,""t"":1228},{""x"":507,""y"":305,""dx"":16,""dy"":24,""t"":1261},{""x"":524,""y"":323,""dx"":33,""dy"":42,""t"":1296},{""x"":521,""y"":302,""dx"":30,""dy"":21,""t"":1329},{""x"":518,""y"":290,""dx"":27,""dy"":9,""t"":1365},{""x"":535,""y"":314,""dx"":44,""dy"":33,""t"":1398},{""x"":513,""y"":326,""dx"":22,""dy"":45,""t"":1432},{""x"":469,""y"":310,""dx"":-22,""dy"":29,""t"":1466},{""x"":445,""y"":273,""dx"":-46,""dy"":-8,""t"":1500},{""x"":475,""y"":278,""dx"":-16,""dy"":-3,""t"":1534},{""x"":502,""y"":240,""dx"":11,""dy"":-41,""t"":1565},{""x"":504,""y"":263,""dx"":13,""dy"":-18,""t"":1601},{""x"":530,""y"":300,""dx"":39,""dy"":19,""t"":1636},{""x"":524,""y"":315,""dx"":33,""dy"":34,""t"":1671},{""x"":499,""y"":313,""dx"":8,""dy"":32,""t"":1704},{""x"":483,""y"":330,""dx"":-8,""dy"":49,""t"":1738},{""x"":460,""y"":339,""dx"":-31,""dy"":58,""t"":1772},{""x"":478,""y"":324,""dx"":-13,""dy"":43,""t"":1806},{""x"":516,""y"":319,""dx"":25,""dy"":38,""t"":1840},{""x"":520,""y"":339,""dx"":29,""dy"":58,""t"":1873},{""x"":488,""y"":345,""dx"":-3,""dy"":64,""t"":1908},{""x"":494,""y"":321,""dx"":3,""dy"":40,""t"":1941},{""x"":539,""y"":330,""dx"":48,""dy"":49,""t"":1977},{""x"":494,""y"":303,""dx"":3,""dy"":22,""t"":2011},{""x"":511,""y"":279,""dx"":20,""dy"":-2,""t"":2044},{""x"":518,""y"":296,""dx"":27,""dy"":15,""t"":2079},{""x"":509,""y"":316,""dx"":18,""dy"":35,""t"":2111},{""x"":529,""y"":336,""dx"":38,""dy"":55,""t"":2146},{""x"":498,""y"":349,""dx"":7,""dy"":68,""t"":2180},{""x"":514,""y"":333,""dx"":23,""dy"":52,""t"":2214},{""x"":492,""y"":338,""dx"":1,""dy"":57,""t"":2248},{""x"":503,""y"":306,""dx"":12,""dy"":25,""t"":2282},{""x"":494,""y"":309,""dx"":3,""dy"":28,""t"":2316},{""x"":473,""y"":271,""dx"":-18,""dy"":-10,""t"":2350},{""x"":463,""y"":284,""dx"":-28,""dy"":3,""t"":2384},{""x"":445,""y"":278,""dx"":-46,""dy"":-3,""t"":2417},{""x"":434,""y"":298,""dx"":-57,""dy"":17,""t"":2452},{""x"":438,""y"":299,""dx"":-53,""dy"":18,""t"":2487},{""x"":415,""y"":291,""dx"":-76,""dy"":10,""t"":2520},{""x"":429,""y"":291,""dx"":-62,""dy"":10,""t"":2554},{""x"":440,""y"":277,""dx"":-51,""dy"":-4,""t"":2588},{""x"":432,""y"":260,""dx"":-59,""dy"":-21,""t"":2622},{""x"":476,""y"":255,""dx"":-15,""dy"":-26,""t"":2657},{""x"":485,""y"":252,""dx"":-6,""dy"":-29,""t"":2689},{""x"":507,""y"":255,""dx"":16,""dy"":-26,""t"":2724},{""x"":526,""y"":257,""dx"":35,""dy"":-24,""t"":2756},{""x"":541,""y"":271,""dx"":50,""dy"":-10,""t"":2791},{""x"":537,""y"":282,""dx"":46,""dy"":1,""t"":2826},{""x"":547,""y"":284,""dx"":56,""dy"":3,""t"":2860},{""x"":553,""y"":289,""dx"":62,""dy"":8,""t"":2894},{""x"":567,""y"":292,""dx"":76,""dy"":11,""t"":2927},{""x"":582,""y"":307,""dx"":91,""dy"":26,""t"":2961},{""x"":571,""y"":306,""dx"":80,""dy"":25,""t"":2996}],[{""x"":1649,""y"":406,""dx"":198,""dy"":125,""t"":4016},{""x"":1639,""y"":401,""dx"":188,""dy"":120,""t"":4050},{""x"":1660,""y"":402,""dx"":209,""dy"":121,""t"":4084},{""x"":1666,""y"":410,""dx"":215,""dy"":129,""t"":4117},{""x"":1681,""y"":423,""dx"":230,""dy"":142,""t"":4152},{""x"":1671,""y"":411,""dx"":220,""dy"":130,""t"":4186},{""x"":1647,""y"":410,""dx"":196,""dy"":129,""t"":4220},{""x"":1668,""y"":417,""dx"":217,""dy"":136,""t"":4254},{""x"":1665,""y"":424,""dx"":214,""dy"":143,""t"":4288},{""x"":1674,""y"":425,""dx"":223,""dy"":144,""t"":4322},{""x"":1691,""y"":419,""dx"":240,""dy"":138,""t"":4356},{""x"":1696,""y"":422,""dx"":245,""dy"":141,""t"":4390},{""x"":1695,""y"":430,""dx"":244,""dy"":149,""t"":4424},{""x"":1690,""y"":416,""dx"":239,""dy"":135,""t"":4458},{""x"":1701,""y"":421,""dx"":250,""dy"":140,""t"":4492},{""x"":1708,""y"":424,""dx"":257,""dy"":143,""t"":4526},{""x"":1701,""y"":423,""dx"":250,""dy"":142,""t"":4560},{""x"":1694,""y"":417,""dx"":243,""dy"":136,""t"":4593},{""x"":1694,""y"":416,""dx"":243,""dy"":135,""t"":4629},{""x"":1697,""y"":419,""dx"":246,""dy"":138,""t"":4662},{""x"":1689,""y"":425,""dx"":238,""dy"":144,""t"":4695},{""x"":1682,""y"":430,""dx"":231,""dy"":149,""t"":4727},{""x"":1669,""y"":427,""dx"":218,""dy"":146,""t"":4764},{""x"":1670,""y"":428,""dx"":219,""dy"":147,""t"":4798},{""x"":1681,""y"":428,""dx"":230,""dy"":147,""t"":4832},{""x"":1636,""y"":404,""dx"":185,""dy"":123,""t"":4865},{""x"":1600,""y"":378,""dx"":149,""dy"":97,""t"":4901},{""x"":1610,""y"":391,""dx"":159,""dy"":110,""t"":4934},{""x"":1622,""y"":403,""dx"":171,""dy"":122,""t"":4967},{""x"":1620,""y"":403,""dx"":169,""dy"":122,""t"":5002},{""x"":1630,""y"":398,""dx"":179,""dy"":117,""t"":5036},{""x"":1640,""y"":406,""dx"":189,""dy"":125,""t"":5071},{""x"":1656,""y"":417,""dx"":205,""dy"":136,""t"":5104},{""x"":1650,""y"":412,""dx"":199,""dy"":131,""t"":5135},{""x"":1658,""y"":408,""dx"":207,""dy"":127,""t"":5172},{""x"":1658,""y"":416,""dx"":207,""dy"":135,""t"":5207},{""x"":1645,""y"":419,""dx"":194,""dy"":138,""t"":5239},{""x"":1638,""y"":420,""dx"":187,""dy"":139,""t"":5274},{""x"":1644,""y"":436,""dx"":193,""dy"":155,""t"":5308},{""x"":1599,""y"":408,""dx"":148,""dy"":127,""t"":5342},{""x"":1567,""y"":385,""dx"":116,""dy"":104,""t"":5376},{""x"":1570,""y"":399,""dx"":119,""dy"":118,""t"":5411},{""x"":1532,""y"":377,""dx"":81,""dy"":96,""t"":5444},{""x"":1523,""y"":389,""dx"":72,""dy"":108,""t"":5478},{""x"":1486,""y"":372,""dx"":35,""dy"":91,""t"":5512},{""x"":1496,""y"":387,""dx"":45,""dy"":106,""t"":5546},{""x"":1467,""y"":376,""dx"":16,""dy"":95,""t"":5580},{""x"":1471,""y"":362,""dx"":20,""dy"":81,""t"":5614},{""x"":1456,""y"":354,""dx"":5,""dy"":73,""t"":5648},{""x"":1453,""y"":352,""dx"":2,""dy"":71,""t"":5682},{""x"":1447,""y"":346,""dx"":-4,""dy"":65,""t"":5715},{""x"":1447,""y"":339,""dx"":-4,""dy"":58,""t"":5750},{""x"":1468,""y"":331,""dx"":17,""dy"":50,""t"":5784},{""x"":1492,""y"":341,""dx"":41,""dy"":60,""t"":5817},{""x"":1449,""y"":333,""dx"":-2,""dy"":52,""t"":5852},{""x"":1431,""y"":316,""dx"":-20,""dy"":35,""t"":5886},{""x"":1474,""y"":325,""dx"":23,""dy"":44,""t"":5920},{""x"":1455,""y"":325,""dx"":4,""dy"":44,""t"":5954},{""x"":1458,""y"":321,""dx"":7,""dy"":40,""t"":5988}],[{""x"":1039,""y"":528,""dx"":68,""dy"":-23,""t"":7011},{""x"":1028,""y"":538,""dx"":57,""dy"":-13,""t"":7043},{""x"":1001,""y"":513,""dx"":30,""dy"":-38,""t"":7076},{""x"":1022,""y"":521,""dx"":51,""dy"":-30,""t"":7110},{""x"":992,""y"":502,""dx"":21,""dy"":-49,""t"":7144},{""x"":962,""y"":558,""dx"":-9,""dy"":7,""t"":7178},{""x"":965,""y"":644,""dx"":-6,""dy"":93,""t"":7212},{""x"":965,""y"":739,""dx"":-6,""dy"":188,""t"":7246},{""x"":975,""y"":793,""dx"":4,""dy"":242,""t"":7280},{""x"":959,""y"":796,""dx"":-12,""dy"":245,""t"":7313},{""x"":960,""y"":795,""dx"":-11,""dy"":244,""t"":7348},{""x"":935,""y"":761,""dx"":-36,""dy"":210,""t"":7381},{""x"":922,""y"":681,""dx"":-49,""dy"":130,""t"":7416},{""x"":951,""y"":686,""dx"":-20,""dy"":135,""t"":7450},{""x"":935,""y"":616,""dx"":-36,""dy"":65,""t"":7484},{""x"":927,""y"":589,""dx"":-44,""dy"":38,""t"":7517},{""x"":917,""y"":545,""dx"":-54,""dy"":-6,""t"":7553},{""x"":922,""y"":511,""dx"":-49,""dy"":-40,""t"":7586},{""x"":916,""y"":482,""dx"":-55,""dy"":-69,""t"":7620},{""x"":912,""y"":451,""dx"":-59,""dy"":-100,""t"":7654},{""x"":956,""y"":430,""dx"":-15,""dy"":-121,""t"":7689},{""x"":961,""y"":409,""dx"":-10,""dy"":-142,""t"":7722},{""x"":978,""y"":394,""dx"":7,""dy"":-157,""t"":7755},{""x"":989,""y"":387,""dx"":18,""dy"":-164,""t"":7790},{""x"":996,""y"":388,""dx"":25,""dy"":-163,""t"":7824},{""x"":995,""y"":382,""dx"":24,""dy"":-169,""t"":7858},{""x"":994,""y"":378,""dx"":23,""dy"":-173,""t"":7890},{""x"":987,""y"":368,""dx"":16,""dy"":-183,""t"":7926},{""x"":978,""y"":368,""dx"":7,""dy"":-183,""t"":7960},{""x"":976,""y"":365,""dx"":5,""dy"":-186,""t"":7994},{""x"":1004,""y"":386,""dx"":33,""dy"":-165,""t"":8029},{""x"":1016,""y"":406,""dx"":45,""dy"":-145,""t"":8062},{""x"":1026,""y"":437,""dx"":55,""dy"":-114,""t"":8096},{""x"":1064,""y"":452,""dx"":93,""dy"":-99,""t"":8129},{""x"":1036,""y"":450,""dx"":65,""dy"":-101,""t"":8164},{""x"":1025,""y"":447,""dx"":54,""dy"":-104,""t"":8198},{""x"":995,""y"":461,""dx"":24,""dy"":-90,""t"":8232},{""x"":993,""y"":461,""dx"":22,""dy"":-90,""t"":8266},{""x"":992,""y"":460,""dx"":21,""dy"":-91,""t"":8298},{""x"":1015,""y"":465,""dx"":44,""dy"":-86,""t"":8334},{""x"":1015,""y"":475,""dx"":44,""dy"":-76,""t"":8367},{""x"":1040,""y"":486,""dx"":69,""dy"":-65,""t"":8401},{""x"":1018,""y"":477,""dx"":47,""dy"":-74,""t"":8437},{""x"":1013,""y"":476,""dx"":42,""dy"":-75,""t"":8470},{""x"":1010,""y"":475,""dx"":39,""dy"":-76,""t"":8505},{""x"":1012,""y"":466,""dx"":41,""dy"":-85,""t"":8538},{""x"":981,""y"":446,""dx"":10,""dy"":-105,""t"":8572},{""x"":985,""y"":454,""dx"":14,""dy"":-97,""t"":8606},{""x"":980,""y"":471,""dx"":9,""dy"":-80,""t"":8640},{""x"":966,""y"":481,""dx"":-5,""dy"":-70,""t"":8674},{""x"":977,""y"":476,""dx"":6,""dy"":-75,""t"":8708},{""x"":988,""y"":500,""dx"":17,""dy"":-51,""t"":8742},{""x"":997,""y"":487,""dx"":26,""dy"":-64,""t"":8776},{""x"":1027,""y"":487,""dx"":56,""dy"":-64,""t"":8811},{""x"":1026,""y"":472,""dx"":55,""dy"":-79,""t"":8844},{""x"":1029,""y"":462,""dx"":58,""dy"":-89,""t"":8878},{""x"":1041,""y"":466,""dx"":70,""dy"":-85,""t"":8912},{""x"":1071,""y"":474,""dx"":100,""dy"":-77,""t"":8946},{""x"":1064,""y"":488,""dx"":93,""dy"":-63,""t"":8980},{""x"":1053,""y"":478,""dx"":82,""dy"":-73,""t"":9014}],[{""x"":657,""y"":830,""dx"":166,""dy"":9,""t"":10033},{""x"":630,""y"":800,""dx"":139,""dy"":-21,""t"":10067},{""x"":649,""y"":811,""dx"":158,""dy"":-10,""t"":10102},{""x"":667,""y"":756,""dx"":176,""dy"":-65,""t"":10136},{""x"":641,""y"":766,""dx"":150,""dy"":-55,""t"":10170},{""x"":636,""y"":771,""dx"":145,""dy"":-50,""t"":10204},{""x"":620,""y"":770,""dx"":129,""dy"":-51,""t"":10239},{""x"":606,""y"":739,""dx"":115,""dy"":-82,""t"":10272},{""x"":608,""y"":705,""dx"":117,""dy"":-116,""t"":10303},{""x"":585,""y"":722,""dx"":94,""dy"":-99,""t"":10340},{""x"":583,""y"":697,""dx"":92,""dy"":-124,""t"":10374},{""x"":583,""y"":730,""dx"":92,""dy"":-91,""t"":10408},{""x"":579,""y"":754,""dx"":88,""dy"":-67,""t"":10442},{""x"":573,""y"":707,""dx"":82,""dy"":-114,""t"":10476},{""x"":593,""y"":729,""dx"":102,""dy"":-92,""t"":10510},{""x"":594,""y"":719,""dx"":103,""dy"":-102,""t"":10543},{""x"":588,""y"":751,""dx"":97,""dy"":-70,""t"":10578},{""x"":600,""y"":753,""dx"":109,""dy"":-68,""t"":10612},{""x"":602,""y"":776,""dx"":111,""dy"":-45,""t"":10646},{""x"":596,""y"":785,""dx"":105,""dy"":-36,""t"":10679},{""x"":601,""y"":760,""dx"":110,""dy"":-61,""t"":10714},{""x"":599,""y"":769,""dx"":108,""dy"":-52,""t"":10748},{""x"":592,""y"":757,""dx"":101,""dy"":-64,""t"":10782},{""x"":590,""y"":776,""dx"":99,""dy"":-45,""t"":10816},{""x"":592,""y"":774,""dx"":101,""dy"":-47,""t"":10850},{""x"":584,""y"":741,""dx"":93,""dy"":-80,""t"":10884},{""x"":594,""y"":747,""dx"":103,""dy"":-74,""t"":10917},{""x"":611,""y"":729,""dx"":120,""dy"":-92,""t"":10952},{""x"":620,""y"":730,""dx"":129,""dy"":-91,""t"":10986},{""x"":615,""y"":728,""dx"":124,""dy"":-93,""t"":11020},{""x"":625,""y"":748,""dx"":134,""dy"":-73,""t"":11053},{""x"":638,""y"":777,""dx"":147,""dy"":-44,""t"":11089},{""x"":645,""y"":804,""dx"":154,""dy"":-17,""t"":11122},{""x"":620,""y"":810,""dx"":129,""dy"":-11,""t"":11156},{""x"":637,""y"":824,""dx"":146,""dy"":3,""t"":11190},{""x"":641,""y"":820,""dx"":150,""dy"":-1,""t"":11224},{""x"":627,""y"":828,""dx"":136,""dy"":7,""t"":11259},{""x"":652,""y"":840,""dx"":161,""dy"":19,""t"":11292},{""x"":685,""y"":831,""dx"":194,""dy"":10,""t"":11326},{""x"":645,""y"":790,""dx"":154,""dy"":-31,""t"":11360},{""x"":632,""y"":795,""dx"":141,""dy"":-26,""t"":11393},{""x"":625,""y"":803,""dx"":134,""dy"":-18,""t"":11429},{""x"":620,""y"":810,""dx"":129,""dy"":-11,""t"":11461},{""x"":592,""y"":822,""dx"":101,""dy"":1,""t"":11496},{""x"":589,""y"":809,""dx"":98,""dy"":-12,""t"":11530},{""x"":597,""y"":780,""dx"":106,""dy"":-41,""t"":11565},{""x"":586,""y"":785,""dx"":95,""dy"":-36,""t"":11598},{""x"":595,""y"":749,""dx"":104,""dy"":-72,""t"":11632},{""x"":590,""y"":735,""dx"":99,""dy"":-86,""t"":11665},{""x"":586,""y"":745,""dx"":95,""dy"":-76,""t"":11700},{""x"":576,""y"":748,""dx"":85,""dy"":-73,""t"":11734},{""x"":604,""y"":744,""dx"":113,""dy"":-77,""t"":11767},{""x"":587,""y"":742,""dx"":96,""dy"":-79,""t"":11803},{""x"":603,""y"":750,""dx"":112,""dy"":-71,""t"":11836},{""x"":609,""y"":750,""dx"":118,""dy"":-71,""t"":11869},{""x"":617,""y"":767,""dx"":126,""dy"":-54,""t"":11904},{""x"":616,""y"":778,""dx"":125,""dy"":-43,""t"":11937},{""x"":586,""y"":784,""dx"":95,""dy"":-37,""t"":11972},{""x"":598,""y"":809,""dx"":107,""dy"":-12,""t"":12006},{""x"":559,""y"":812,""dx"":68,""dy"":-9,""t"":12040}],[{""x"":1432,""y"":813,""dx"":-19,""dy"":-8,""t"":13060},{""x"":1418,""y"":808,""dx"":-33,""dy"":-13,""t"":13094},{""x"":1408,""y"":789,""dx"":-43,""dy"":-32,""t"":13128},{""x"":1418,""y"":794,""dx"":-33,""dy"":-27,""t"":13162},{""x"":1396,""y"":806,""dx"":-55,""dy"":-15,""t"":13196},{""x"":1406,""y"":797,""dx"":-45,""dy"":-24,""t"":13230},{""x"":1402,""y"":797,""dx"":-49,""dy"":-24,""t"":13264},{""x"":1384,""y"":808,""dx"":-67,""dy"":-13,""t"":13297},{""x"":1392,""y"":801,""dx"":-59,""dy"":-20,""t"":13333},{""x"":1378,""y"":812,""dx"":-73,""dy"":-9,""t"":13366},{""x"":1366,""y"":821,""dx"":-85,""dy"":0,""t"":13400},{""x"":1353,""y"":801,""dx"":-98,""dy"":-20,""t"":13432},{""x"":1342,""y"":806,""dx"":-109,""dy"":-15,""t"":13467},{""x"":1357,""y"":801,""dx"":-94,""dy"":-20,""t"":13502},{""x"":1355,""y"":813,""dx"":-96,""dy"":-8,""t"":13536},{""x"":1351,""y"":817,""dx"":-100,""dy"":-4,""t"":13569},{""x"":1351,""y"":823,""dx"":-100,""dy"":2,""t"":13604},{""x"":1346,""y"":809,""dx"":-105,""dy"":-12,""t"":13638},{""x"":1354,""y"":819,""dx"":-97,""dy"":-2,""t"":13672},{""x"":1354,""y"":824,""dx"":-97,""dy"":3,""t"":13706},{""x"":1362,""y"":830,""dx"":-89,""dy"":9,""t"":13740},{""x"":1359,""y"":832,""dx"":-92,""dy"":11,""t"":13774},{""x"":1364,""y"":829,""dx"":-87,""dy"":8,""t"":13808},{""x"":1366,""y"":836,""dx"":-85,""dy"":15,""t"":13841},{""x"":1356,""y"":833,""dx"":-95,""dy"":12,""t"":13876},{""x"":1360,""y"":830,""dx"":-91,""dy"":9,""t"":13910},{""x"":1349,""y"":833,""dx"":-102,""dy"":12,""t"":13944},{""x"":1368,""y"":814,""dx"":-83,""dy"":-7,""t"":13979},{""x"":1347,""y"":816,""dx"":-104,""dy"":-5,""t"":14012},{""x"":1349,""y"":826,""dx"":-102,""dy"":5,""t"":14046},{""x"":1357,""y"":826,""dx"":-94,""dy"":5,""t"":14080},{""x"":1358,""y"":810,""dx"":-93,""dy"":-11,""t"":14114},{""x"":1383,""y"":818,""dx"":-68,""dy"":-3,""t"":14149},{""x"":1381,""y"":818,""dx"":-70,""dy"":-3,""t"":14182},{""x"":1390,""y"":804,""dx"":-61,""dy"":-17,""t"":14216},{""x"":1413,""y"":813,""dx"":-38,""dy"":-8,""t"":14250},{""x"":1410,""y"":822,""dx"":-41,""dy"":1,""t"":14284},{""x"":1404,""y"":833,""dx"":-47,""dy"":12,""t"":14317},{""x"":1430,""y"":827,""dx"":-21,""dy"":6,""t"":14352},{""x"":1425,""y"":834,""dx"":-26,""dy"":13,""t"":14386},{""x"":1426,""y"":843,""dx"":-25,""dy"":22,""t"":14420},{""x"":1428,""y"":839,""dx"":-23,""dy"":18,""t"":14454},{""x"":1415,""y"":818,""dx"":-36,""dy"":-3,""t"":14488},{""x"":1422,""y"":811,""dx"":-29,""dy"":-10,""t"":14522},{""x"":1406,""y"":819,""dx"":-45,""dy"":-2,""t"":14556},{""x"":1402,""y"":786,""dx"":-49,""dy"":-35,""t"":14590},{""x"":1403,""y"":782,""dx"":-48,""dy"":-39,""t"":14624},{""x"":1409,""y"":784,""dx"":-42,""dy"":-37,""t"":14658},{""x"":1430,""y"":792,""dx"":-21,""dy"":-29,""t"":14692},{""x"":1398,""y"":795,""dx"":-53,""dy"":-26,""t"":14726},{""x"":1400,""y"":801,""dx"":-51,""dy"":-20,""t"":14760},{""x"":1409,""y"":801,""dx"":-42,""dy"":-20,""t"":14794},{""x"":1398,""y"":800,""dx"":-53,""dy"":-21,""t"":14828},{""x"":1404,""y"":805,""dx"":-47,""dy"":-16,""t"":14862},{""x"":1386,""y"":759,""dx"":-65,""dy"":-62,""t"":14896},{""x"":1364,""y"":737,""dx"":-87,""dy"":-84,""t"":14929},{""x"":1341,""y"":711,""dx"":-110,""dy"":-110,""t"":14964},{""x"":1340,""y"":695,""dx"":-111,""dy"":-126,""t"":14997},{""x"":1341,""y"":682,""dx"":-110,""dy"":-139,""t"":15030}]]","[100,37.28813559322034,93.33333333333333,100,100]","[{""x"":11.733333333333333,""y"":9.783333333333333,""r"":65.64502356840765},{""x"":152.83050847457628,""y"":114.30508474576271,""r"":81.07604574663097},{""x"":20.233333333333334,""y"":-50.333333333333336,""r"":102.61051040086852},{""x"":118.5,""y"":-51.483333333333334,""r"":55.1837844431051},{""x"":-67.67796610169492,""y"":-15.864406779661017,""r"":33.25764940424131}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.42","validate","","","","","","","","","","",""
